@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC

@DATA
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,0.05,16,7.8455,23.4234,2130,2130,0.0441,4302.5714,24.3948,22.8507,23.6806,8.8106,0.0465,24.3948,22.7653,100
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,0.0001,0,826.5,90.3884,146021,147000,0,4.4891,139,66,82.3333,2313.5,0.0005,200,56.8571,35000
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1,0.05,16,7.2239,23.6895,2130,2130,0.0441,4302.2857,25.7534,22.8297,23.4317,8.0772,0.0465,25.7534,22.8274,100
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1,0.0001,8539,1612.5,91.8767,166897,168000,0,4.3256,140,64,91.5,1206,0.0005,202,53.2,40000
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S913491256-073-UNKNOWN.cnf,1,0.0001,6300,731.8,88.4753,125231,126000,0,5.2667,134,67.0769,83.6,919,0.0006,233,53.25,30000
SAT11/random/large/unif-k5-r20-v1500-c30000-S303265982-092-UNKNOWN.cnf,1,0.0033,269,61.4,66.4209,30000,30000,0.0083,26.0924,76.6875,60.7097,66.0435,79.6537,0.0146,90.0833,55.65,1500
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S31505198-038.UNKNOWN.cnf,1,0.0333,24,11.3072,31.7884,3195,3195,0.041,4163.2857,33.0958,30.8469,31.5157,12.501,0.0463,33.0958,30.3354,150
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S375894551-007.UNKNOWN.cnf,1,0.0333,24,11.9093,32.2049,3195,3195,0.041,4176.5714,33.7334,31.6269,31.972,12.9832,0.0463,33.7334,30.955,150
SAT11/random/medium/unif-k7-r89-v80-c7120-S1623694027-006.SATISFIABLE.cnf,1,0.0875,10,9.2549,28.5137,7120,7120,0.0111,4408.6,29.1253,28.4267,28.5106,9.4743,0.0111,29.1253,27.9901,80
SAT11/random/medium/unif-k7-r89-v80-c7120-S1901567697-013.UNKNOWN.cnf,1,0.0875,10,9.6484,28.42,7120,7120,0.0111,4418,29.1588,28.2044,28.3577,9.8159,0.0111,29.1588,27.8808,80
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S895193371-061.UNKNOWN.cnf,1,0.0077,78,12.1894,23.4231,1693,1704,0.0059,3928.5714,23.8866,23.1441,23.4128,14.7744,0.0366,23.8866,22.463,400
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S874954918-011.SATISFIABLE.cnf,1,0.0056,109,14.8334,31.2851,2331,2343,0.0043,3823.7143,38.1678,29.3663,30.0989,18.4348,0.021,38.1678,27.8871,550
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf,1,0.0012,505,52.6684,34.2843,10427,10500,0.0008,116.8571,36.9828,32.2734,34.3874,78.3389,0.0072,43.51,30.9029,2500
SAT11/random/medium/unif-k7-r89-v90-c8010-S2014736708-037.SATISFIABLE.cnf,1,0.0778,12,10.5066,31.249,8010,8010,0.0111,4372.2,32.2223,31.0778,31.0874,10.591,0.0111,32.2223,30.556,90
SAT11/random/medium/unif-k7-r89-v80-c7120-S199880667-010.UNKNOWN.cnf,1,0.0875,10,9.7029,28.5038,7120,7120,0.0111,4411.8,29.106,28.2257,28.4435,9.9186,0.0111,29.106,28.0041,80
SAT11/random/medium/unif-k7-r89-v60-c5340-S239039906-021.SATISFIABLE.cnf,1,0.1167,8,7.4326,22.6802,5340,5340,0.011,4487.6,23.0636,22.5787,22.5915,7.8041,0.011,23.0636,22.5249,60
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S643238994-057-UNKNOWN.cnf,1,0.0001,6393,669.8,82.2434,125159,126000,0,5.2165,116.25,63.2857,77.125,976,0.0006,261,55.5,30000
SAT11/random/medium/unif-k3-r4.26-v300-c1278-S1869766438-024.UNKNOWN.cnf,1,0.0102,58,9.5384,20.1429,1273,1278,0.0016,4003.8571,22.3901,18.9747,19.69,11.4905,0.0353,22.3901,18.2385,300
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S379804333-028-UNKNOWN.cnf,1,0.0001,6347,676.6,83.1979,125227,126000,0,5.9432,121,64.25,79,1425,0.0006,168,51.75,29999
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S899463426-096.UNKNOWN.cnf,1,0.0044,140,21.256,36.0361,2970,2982,0.0034,3689.7143,40.5037,34.5611,34.9964,27.2708,0.0266,40.5037,33.2303,700
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S222128792-011.SATISFIABLE.cnf,1,0.0068,88,12.6888,26.2126,1908,1917,0.0031,3891.4286,29.0817,25.1837,25.3925,15.5148,0.0288,29.0817,24.795,450
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S2088689288-085.SATISFIABLE.cnf,1,0.0068,88,11.8271,26.7516,1907,1917,0.0058,3908.7143,30.9341,24.8321,25.5448,14.2136,0.0336,30.9341,24.3399,450
SAT11/random/large/unif-k3-r4.2-v25000-c105000-S92008434-079-UNKNOWN.cnf,1,0.0001,5299,506.833,81.0534,104349,105000,0,6.7813,111.7143,63.5,79.8333,992.333,0.0008,161.25,49.9091,25000
SAT11/random/large/unif-k5-r20-v1500-c30000-S1305346115-067-UNKNOWN.cnf,1,0.0033,268,64.4104,65.762,30000,30000,0.0085,25.181,76.0588,60.0417,66.2632,80.7,0.0148,93.2,55.7391,1500
SAT11/random/medium/unif-k5-r21.3-v125-c2662-S1258495116-025.SATISFIABLE.cnf,1,0.04,20,9.4589,28.0695,2662,2662,0.0421,4224.1429,29.7435,27.3432,28.1858,10.4917,0.0466,29.7435,26.915,125
SAT11/random/medium/unif-k5-r21.3-v75-c1597-S445191369-092.SATISFIABLE.cnf,1,0.0667,12,6.4198,19.0161,1597,1597,0.0451,4394.5714,19.7982,18.5709,19.1001,7.3937,0.0463,19.7982,18.5133,75
SAT11/random/large/unif-k7-r85-v250-c21250-S1116436500-050-UNKNOWN.cnf,1,0.028,35,22.1167,48.6555,21250,21250,0.0117,223.9286,51.1828,47.0904,48.0049,21.6302,0.0117,60.0109,46.4354,250
SAT11/random/large/unif-k3-r4.2-v25000-c105000-S109959541-056-UNKNOWN.cnf,1,0.0001,5224,541,74.6257,104285,105000,0,6.3725,103.4,55.3333,72.875,749.333,0.0008,132.3333,47.7143,24999
SAT11/random/large/unif-k5-r20-v750-c15000-S64285713-004-UNKNOWN.cnf,1,0.0067,131,34.8528,50.5573,15000,15000,0.0159,64.4494,55.8182,47.25,50.9516,42.0714,0.0251,59.7333,45.5441,750
SAT11/random/medium/unif-k7-r89-v80-c7120-S1639347701-083.SATISFIABLE.cnf,1,0.0875,10,9.4727,28.4903,7120,7120,0.0111,4413.6,28.88,28.4063,28.4205,9.6793,0.0111,28.88,28.0547,80
SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0.1,9,8.571,25.6623,6230,6230,0.0111,4454.4,26.0076,25.5571,25.8168,8.8384,0.0111,26.0076,25.0936,70
SAT11/random/large/unif-k5-r20-v750-c15000-S957625236-045-UNKNOWN.cnf,1,0.0067,132,33.9111,51.0479,15000,15000,0.0155,65.2614,55.8542,48.28,51.0213,41.4089,0.0258,60.1032,46.3077,750
SAT11/random/large/unif-k3-r4.2-v5000-c21000-S901912629-090-UNKNOWN.cnf,1,0.0006,1035,90.2,42.0619,20886,21000,0.0002,47.7909,48.0588,38.925,41.7018,141.585,0.0034,52.7363,36.4615,5000
SAT11/random/large/unif-k5-r20-v1250-c25000-S313445894-099-UNKNOWN.cnf,1,0.004,222,53.1366,62.5204,25000,25000,0.0092,32.011,72.5574,57.3824,61.2308,68.7036,0.0178,76.9545,53.8095,1250
SAT11/random/large/unif-k7-r85-v250-c21250-S381985918-018-UNKNOWN.cnf,1,0.028,35,21.9315,49.6914,21250,21250,0.0117,239.3929,53.3141,48.1209,49.4682,21.7964,0.0117,58.9761,46.3158,250
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S380157195-014.SATISFIABLE.cnf,1,0.0069,87,12.8297,26.4906,1901,1917,0.0053,3925.5714,30.0567,25.0392,25.4252,15.6735,0.0279,30.0567,23.7679,450
SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1110880865-004.SATISFIABLE.cnf,1,0.0286,29,11.9206,35.9378,3727,3727,0.0392,4103.1429,39.0749,34.5153,35.031,13.2272,0.0456,39.0749,33.5832,175
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1336161514-068.UNKNOWN.cnf,1,0.05,16,7.846,23.5531,2130,2130,0.0437,4283.1429,25.2968,22.8011,23.3401,8.7535,0.0465,25.2968,22.7919,100
SAT11/random/medium/unif-k7-r89-v60-c5340-S1831136826-075.UNKNOWN.cnf,1,0.1167,8,7.6137,22.6427,5340,5340,0.011,4503.4,23.0966,22.5398,22.5671,7.8964,0.011,23.0966,22.2968,60
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S1114532273-035.SATISFIABLE.cnf,1,0.0056,109,15.4512,30.1399,2323,2343,0.0022,3809.5714,32.6095,28.8798,29.4887,19.0946,0.0232,32.6095,28.1707,550
SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1592669696-022.SATISFIABLE.cnf,1,0.0286,29,12.8424,35.4899,3727,3727,0.0373,4099.5714,36.9425,34.2444,35.5456,14.0357,0.0453,36.9425,33.9285,175
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S224791863-033.UNKNOWN.cnf,1,0.0051,120,16.7594,32.1957,2544,2556,0.0039,3815.4286,36.1614,30.5134,31.568,21.6727,0.0216,36.1614,29.7649,600
SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,0.0875,10,9.7005,28.5736,7120,7120,0.0111,4416.4,29.3166,28.3487,28.372,9.8338,0.0111,29.3166,28.2105,80
SAT11/random/medium/unif-k7-r89-v70-c6230-S2045410966-069.SATISFIABLE.cnf,1,0.1,9,8.5197,25.7436,6230,6230,0.0111,4433.2,26.182,25.6296,25.6631,8.815,0.0111,26.182,25.5792,70
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S1339958817-007.UNKNOWN.cnf,1,0.0051,119,19.2836,32.3752,2546,2556,0.0039,3779.4286,37.217,29.9869,30.3663,24.6545,0.0224,37.217,28.9764,600
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S1744841484-003.SATISFIABLE.cnf,1,0.0044,140,17.8645,36.1473,2969,2982,0.002,3648.7143,42.4387,34.025,34.4658,22.2332,0.0199,42.4387,33.9806,700
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S1386494586-003-UNKNOWN.cnf,1,0.0002,0,257.182,59.6007,62563,63000,0.0001,12.217,78.1429,50.5714,57.625,640.625,0.0012,105.0909,43.125,15000
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S690749326-001.UNKNOWN.cnf,1,0.0077,77,12.6254,23.8191,1694,1704,0.0059,3916.5714,25.4919,23.1007,24.1292,15.5977,0.0319,25.4919,21.327,400
SAT11/random/large/unif-k5-r20-v2000-c40000-S922811046-076-UNKNOWN.cnf,1,0.0025,364,79.9176,73.3461,40000,40000,0.0063,18.2727,87.8462,66.4706,71.5625,111.21,0.0122,109.1875,60.4545,2000
SAT11/random/medium/unif-k7-r89-v90-c8010-S1475406203-080.UNKNOWN.cnf,1,0.0778,12,10.455,31.3211,8010,8010,0.0111,4381.25,32.0622,31.2588,31.3308,10.6857,0.0111,32.0622,30.6324,90
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S1694067460-072.UNKNOWN.cnf,1,0.0056,108,16.2036,29.303,2330,2343,0.0043,3850.5714,33.0964,27.3653,27.8994,19.7899,0.0232,33.0964,26.8871,550
SAT11/random/medium/unif-k7-r89-v70-c6230-S1960545292-083.UNKNOWN.cnf,1,0.1,9,8.4507,25.759,6230,6230,0.0111,4441.8,26.0301,25.6508,25.7323,8.7236,0.0111,26.0301,25.5096,70
SAT11/random/medium/unif-k3-r4.26-v650-c2769-S510739670-068.UNKNOWN.cnf,1,0.0047,130,19.3754,34.1957,2758,2769,0.0036,3738.5714,38.9903,32.5426,33.0278,24.7669,0.0196,38.9903,30.6554,650
SAT11/random/medium/unif-k7-r89-v60-c5340-S385597856-055.SATISFIABLE.cnf,1,0.1167,8,7.2822,22.7553,5340,5340,0.011,4521.4,23.2204,22.6794,22.6887,7.7583,0.011,23.2204,22.3918,60
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S890760919-021.SATISFIABLE.cnf,1,0.0038,162,19.8817,33.708,3393,3408,0.0029,1845.9286,40.4099,29.0426,33.7156,24.8952,0.0165,40.5682,28.4388,800
SAT11/random/large/unif-k7-r85-v300-c25500-S926861876-013-UNKNOWN.cnf,1,0.0233,42,26.1501,52.079,25500,25500,0.0117,146.3438,54.2644,50.4254,52.3613,26.0178,0.0117,60.0224,48.9403,300
SAT11/random/large/unif-k5-r20-v1500-c30000-S64154096-097-UNKNOWN.cnf,1,0.0033,272,63.0916,66.3107,30000,30000,0.0085,24.7168,75.3793,61,65.913,78.2587,0.0157,89.1111,54.08,1500
SAT11/random/large/unif-k5-r20-v1250-c25000-S1103412232-098-UNKNOWN.cnf,1,0.004,225,52.6607,61.7119,25000,25000,0.0095,31.8519,70.6364,57.2188,61.375,68.7215,0.0176,83.16,52.3929,1250
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S471691933-060-UNKNOWN.cnf,1,0.0001,0,1607,100.28,167019,168000,0,3.6667,155,70.3333,91.8333,10367.5,0.0005,207,54.8,40000
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1406921020-013.UNKNOWN.cnf,1,0.0067,89,15.5153,25.9852,1912,1917,0.0021,3945,27.6225,25.6325,26.1844,19.2296,0.0262,27.6225,23.5663,450
SAT11/random/medium/unif-k3-r4.26-v650-c2769-S30721646-064.SATISFIABLE.cnf,1,0.0047,128,17.8345,33.9853,2752,2769,0.0036,3778.1429,38.5448,32.2526,32.9579,22.3185,0.0211,38.5448,32.07,650
SAT11/random/large/unif-k5-r20-v1500-c30000-S1793954886-065-UNKNOWN.cnf,1,0.0033,267,64.4846,68.4821,30000,30000,0.0085,24.1858,78.3478,63.9524,69.7083,81.0213,0.015,91.5,57.3125,1500
SAT11/random/medium/unif-k7-r89-v90-c8010-S1828831772-021.SATISFIABLE.cnf,1,0.0778,12,10.599,31.3803,8010,8010,0.0111,4401.75,31.873,31.3078,31.5558,10.6931,0.0111,31.873,30.7844,90
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1465579926-097.UNKNOWN.cnf,1,0.05,16,8.5583,23.2896,2130,2130,0.0441,4293.8571,23.9916,22.7303,23.4902,9.4485,0.0465,23.9916,22.3282,100
SAT11/random/medium/unif-k7-r89-v70-c6230-S560963242-048.UNKNOWN.cnf,1,0.1,9,8.5466,25.724,6230,6230,0.0111,4435.2,26.3452,25.4865,25.5722,8.8082,0.0111,26.3452,25.4337,70
SAT11/random/medium/unif-k7-r89-v50-c4450-S1082084494-034.UNKNOWN.cnf,1,0.14,6,6.3853,19.5631,4450,4450,0.011,4555.2,19.7432,19.403,19.6457,6.9257,0.011,19.7432,19.3015,50
SAT11/random/large/unif-k5-r20-v1000-c20000-S107009952-009-UNKNOWN.cnf,1,0.005,177,47.1092,56.684,20000,20000,0.0122,43.3529,64.7895,52.5556,55.55,54.7442,0.0213,68.697,50.439,1000
SAT11/random/large/unif-k5-r20-v750-c15000-S3662714-068-UNKNOWN.cnf,1,0.0067,131,36.5213,51.7941,15000,15000,0.0145,65.4556,57.087,49.0417,51.5393,42.8446,0.0268,62.4273,47.8472,750
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S816372663-049.UNKNOWN.cnf,1,0.0055,109,17.2262,30.5291,2335,2343,0.0043,3872,34.5779,29.2055,29.6781,21.7649,0.021,34.5779,28.386,550
SAT11/random/large/unif-k7-r85-v300-c25500-S1286362348-008-UNKNOWN.cnf,1,0.0233,42,25.7865,51.8292,25500,25500,0.0117,139.2941,54.5957,50.313,51.3095,25.6876,0.0117,60.2816,49.032,300
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S1023920765-089.SATISFIABLE.cnf,1,0.0076,79,10.9497,24.7939,1696,1704,0.0059,3895.4286,27.6125,23.9974,24.6048,13.1138,0.0283,27.6125,22.2991,400
SAT11/random/medium/unif-k3-r4.26-v500-c2130-S1514125851-037.UNKNOWN.cnf,1,0.0061,98,14.4062,28.2759,2119,2130,0.0047,3883.2857,34.0448,26.6677,27.3516,17.7379,0.0316,34.0448,25.8617,500
SAT11/random/medium/unif-k7-r89-v60-c5340-S969033069-088.SATISFIABLE.cnf,1,0.1167,8,7.4009,22.8044,5340,5340,0.011,4491.2,23.5207,22.6497,22.6949,7.9179,0.011,23.5207,22.2489,60
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S709305826-098-UNKNOWN.cnf,1,0.0001,8494,1787.25,96.1626,166812,168000,0,3.7283,139,72.3333,91,1425,0.0005,253.5,59.75,40000
SAT11/random/medium/unif-k7-r89-v70-c6230-S1351138814-007.SATISFIABLE.cnf,1,0.1,9,8.4032,25.8163,6230,6230,0.0111,4444.4,26.2869,25.5742,25.6599,8.7915,0.0111,26.2869,25.4811,70
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S43885340-006-UNKNOWN.cnf,1,0.0002,3129,257.417,65.3405,62521,63000,0,11.6822,85.2,55.125,63.8182,503.625,0.0012,110.3333,48.9091,15000
SAT11/random/medium/unif-k3-r4.26-v300-c1278-S1452052526-056.UNKNOWN.cnf,1,0.0102,58,10.8669,18.1934,1274,1278,0.0047,4051.5714,20.158,17.3745,17.8407,12.9098,0.0447,20.158,16.7186,300
SAT11/random/large/unif-k3-r4.2-v10000-c42000-S903594090-011-UNKNOWN.cnf,1,0.0003,2071,162.65,53.9201,41691,42000,0.0001,18.5,65.4,48.9286,54,272.882,0.0017,84.375,42.7059,10000
SAT11/random/large/unif-k3-r4.2-v10000-c42000-S709804505-031-UNKNOWN.cnf,1,0.0003,2096,177.143,54.1087,41704,42000,0.0001,18.5826,66.8889,47,54,565.824,0.0015,83.4167,41.75,10000
SAT11/random/large/unif-k5-r20-v2000-c40000-S1993071608-084-UNKNOWN.cnf,1,0.0025,359,80.5714,73.9585,40000,40000,0.006,17.925,87.6,65.8125,73,104.678,0.0122,128.7,60,2000
SAT11/random/medium/unif-k7-r89-v50-c4450-S1374457799-001.UNKNOWN.cnf,1,0.14,6,6.383,19.7041,4450,4450,0.011,4559.8,19.9328,19.6593,19.7488,6.9206,0.011,19.9328,19.3149,50
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1741857700-014.UNKNOWN.cnf,1,0.05,16,8.227,23.2501,2130,2130,0.0441,4292.4286,24.2734,22.6185,23.3463,9.1441,0.0465,24.2734,22.5391,100
SAT11/random/medium/unif-k5-r21.3-v75-c1597-S906725726-060.SATISFIABLE.cnf,1,0.0667,12,6.488,18.8073,1597,1597,0.0451,4399.7143,19.7261,18.3724,18.7116,7.4823,0.0463,19.7261,18.346,75
SAT11/random/medium/unif-k5-r21.3-v125-c2662-S1397972185-007.UNKNOWN.cnf,1,0.04,20,9.8453,27.6514,2662,2662,0.0424,4233.4286,29.4311,26.4645,27.8794,10.9292,0.0466,29.4311,26.3975,125
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S1383380994-043.SATISFIABLE.cnf,1,0.0051,120,16.1048,31.9067,2544,2556,0.0031,3853.8571,35.3533,30.1524,30.7453,20.3542,0.0208,35.3533,29.3627,600
SAT11/random/medium/unif-k7-r89-v80-c7120-S1254315629-032.SATISFIABLE.cnf,1,0.0875,10,9.5004,28.4094,7120,7120,0.0111,4403.4,29.0205,28.2267,28.426,9.8189,0.0111,29.0205,27.907,80
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S1081907273-083.UNKNOWN.cnf,1,0.0078,77,11.817,24.2877,1690,1704,0.0059,3933.2857,27.1109,23.0978,23.7399,14.06,0.0385,27.1109,21.9052,400
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S89508070-083-UNKNOWN.cnf,1,0.0012,510,44.4878,34.4051,10422,10500,0.0004,113.7158,37.166,32.7021,34.2881,60.753,0.0061,42.0112,31.3719,2500
SAT11/random/medium/unif-k7-r89-v60-c5340-S642174893-006.UNKNOWN.cnf,1,0.1167,8,7.2822,22.8807,5340,5340,0.011,4507.2,23.3596,22.7396,22.7875,7.601,0.011,23.3596,22.5878,60
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S707565158-096.SATISFIABLE.cnf,1,0.05,16,8.1699,23.6086,2130,2130,0.0423,4306,24.9503,22.8825,23.8384,9.042,0.0465,24.9503,22.8781,100
SAT11/random/medium/unif-k7-r89-v60-c5340-S1675230100-032.UNKNOWN.cnf,1,0.1167,8,7.5343,22.8437,5340,5340,0.011,4523,23.3776,22.7445,22.7835,7.854,0.011,23.3776,22.3981,60
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S1462223811-042.SATISFIABLE.cnf,1,0.0076,79,10.6086,24.9319,1699,1704,0.0053,3922,28.6596,23.5205,24.0384,12.6052,0.033,28.6596,21.6343,400
SAT11/random/medium/unif-k5-r21.3-v75-c1597-S25975519-056.SATISFIABLE.cnf,1,0.0667,12,6.5653,18.6596,1597,1597,0.0445,4405.7143,19.3372,18.3692,18.6188,7.5667,0.0463,19.3372,18.0883,75
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S2051088205-036.UNKNOWN.cnf,1,0.05,16,8.3467,23.3564,2130,2130,0.0441,4309.2857,24.4422,22.7322,23.535,9.1852,0.0465,24.4422,22.4558,100
SAT11/random/medium/unif-k7-r89-v70-c6230-S1805176884-064.UNKNOWN.cnf,1,0.1,9,8.467,25.7564,6230,6230,0.0111,4458.6,26.3543,25.523,25.5761,8.7631,0.0111,26.3543,25.3849,70
