@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC

@DATA
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.0548,0.1601,0.0598,0.0697,1.2804,0.1012,1.3487,0.0997,0.082,0.5453,0.6155,1280,0.0698,0.842,955,1376,1017,838,0.0451,0.0061,0.0188,19785,1.2642,0.1406,0.2261,0.9218,3073,17733,8,0,0.7411,0
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.038,0.2316,0.0806,0.1097,0.6081,0.3342,0.6029,0.3713,0.0163,0.2856,0.0803,3961,0.1583,0.5782,3892,3976,3892.6,3880,0,0.1857,0.3631,2130,2.7035,0.0423,0.7194,0.28,500,2124,5,0.0793,0.839,0
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.3222,0.2629,0.3561,0.373,1.1977,0.3797,0,0,0.4262,0.1231,0.3326,3975,0.3786,0.8477,3858,4112,3820.3,3683,0,0,0,232,0.6066,0.0782,0.068,0.0799,87,232,5,0,0.7797,0
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.0474,0.2337,0.0931,0.1247,0.711,0.7443,0.5775,0.3946,0.0253,0.2902,0.156,6,0.1765,0.5869,5,9,5.1825,3,0,0.2073,0.3874,126000,2.716,0.0635,0.6587,0.2938,30000,125000,6,0.0856,0.8508,0
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.185,0.1636,0.1935,0.2006,1.0987,0.2198,0.0152,0.8139,0.1111,0,0.5281,4869,0.2009,1.0372,4868,4891,4837.7,4797,0.8121,0.806,0.8154,672,0,0.9538,0.0479,0.231,120,660,3,0.8041,0.995,0
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.0015,0.05,0.0027,0.0034,0.835,0.0118,0.6848,0.1692,0,0.0977,0,48,0.0049,0.6497,41,54,42.594,36,0,0.0809,0.1523,20000,3.6579,0,0.626,0.082,1000,20000,3,0.0288,0.8452,0.2
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.024,0.1328,0.0786,0.1195,1.7619,0.443,0.4458,0.5643,4.8307,1.5143,1.6207,388,0.1472,0.7062,340,475,351.84,312,0.1229,0.4333,0.6206,388000,3.0647,0.385,0.8212,1.4341,131000,169000,9,0.1263,0.9099,0
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0001,0.0118,0.0001,0.0001,1.0012,0.0002,0.7341,0.0634,0,0.0408,0,4388,0.0002,0.6787,4251,4388,4187.8,4080,0,0.0259,0.0525,13600,4.1944,0,0.3728,0,160,13600,2,0.0138,0.868,0.1429
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.001,0.0469,0.0019,0.0023,0.8395,0.0121,0.641,0.1723,0,0.0957,0,4353,0.0037,0.6418,4187,4437,4221.6,4171,0,0.0748,0.1611,2769,3.5037,0,0.7725,0.0206,130,2769,3,0.0444,0.8585,0.2
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.0461,0.2333,0.0919,0.1235,0.7277,0.6623,0.567,0.3949,0.0275,0.2902,0.1744,66,0.1768,0.5878,56,77,60.067,51,0,0.2133,0.385,16800,2.7168,0.0673,0.6517,0.2929,4000,16684,5,0.0937,0.8336,0
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.0164,0.1236,0.0721,0.1191,1.8652,0.435,0.4497,0.6164,5.5414,1.7985,1.7163,395,0.1481,0.7279,289,395,266.25,263,0.1298,0.5122,0.6814,1100000,2.9222,0.4106,0.8171,1.6184,369000,456000,10,0.1059,0.8952,0
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.0018,0.1666,0.0151,0.0258,1.3599,0.2025,0.5844,0.5271,2.0774,0.5379,1.0226,75,0.032,1.0243,75,75,75,75,0.5776,0.2205,0.6352,856000,2.8292,0.4291,0.8788,0.5205,183000,358000,16,0.0552,1.0206,0
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.0015,0.05,0.0028,0.0035,0.829,0.0202,0.6712,0.1715,0,0.0991,0,36,0.005,0.6514,31,42,31.832,27,0,0.0804,0.1532,25000,3.6843,0,0.6575,0.0864,1250,25000,3,0.0304,0.8375,0.2
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0.031,0.0385,0.0312,0.0314,0,0.0319,0.0001,0.9305,0.037,0,0.0895,0,0.0316,0,0,0,0,0,0.9822,0.9304,0.9305,18954,0,2.3509,0.0094,0,728,18226,2,0.9303,0.9996,1
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.0418,0.232,0.084,0.1085,0.6795,0.2657,0.5749,0.378,0.0174,0.2831,0.1406,4036,0.1641,0.5772,3975,4090,3970.6,3908,0,0.2096,0.3795,1491,2.6435,0.0578,0.6645,0.2766,350,1483,4,0.0894,0.8459,0
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.4971,0.2118,0.4212,0.4999,2.9316,1,0.232,0.685,0.0807,4.3842,2.6115,2653,0.5,0.9222,1711,2822,1802.8,1323,0.1019,0.6105,0.7482,7095,3.0496,0.4536,0.4237,1.4947,1339,5851,4,0.5112,0.9613,0
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0,0.0112,0.0001,0.0001,0.9933,0.0002,0.7396,0.0625,0,0.0352,0,4480,0.0001,0.6819,4445,4577,4449.7,4410,0,0.029,0.0511,6230,3.8251,0,0.3653,0,70,6230,2,0.0175,0.8723,0.1429
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.001,0.0469,0.002,0.0024,0.8085,0.0102,0.6955,0.1752,0,0.1023,0,4243,0.004,0.6393,4113,4315,4156.3,4106,0,0.0808,0.144,3195,3.6006,0,0.7783,0.0264,150,3195,3,0.0393,0.8562,0.2
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.1562,0.0997,0.161,0.1608,1.1095,0.1712,0.0045,0.8845,0.0556,0,0.3424,4858,0.1658,1.0418,4838,4858,4784,4725,0.897,0.8846,0.8847,3630,0,1.4088,0.0269,0.2279,380,3610,3,0.88,0.997,0
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.4735,0.1672,0.4471,0.4991,2.5461,0.9999,0.1909,0.7352,0.0361,1.2435,2.0397,1844,0.4997,0.8835,1761,1930,1682,1702,0.0774,0.6663,0.7496,16065,3.1474,0.38,0.31,1.3838,2441,14090,6,0.6315,0.9103,0
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.012,0.163,0.032,0.0455,1.4994,0.0651,0.7198,0.2021,1.0667,0.9001,1.0891,3822,0.0647,0.7255,3740,3868,3736,3706,0.087,0.0296,0.1944,2464,1.6886,0.2145,0.7102,0.8863,744,2208,8,0.0069,0.837,0
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.0894,0.1369,0.111,0.1201,1.7119,0.2242,1.4477,0.0384,0,0.3387,0.9131,3424,0.151,0.8508,3043,3766,2867.6,2643,0,0.0018,0.0171,2176,1.4988,0.1543,0.2475,0.1199,298,2176,7,0.0002,0.963,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl032.cnf,1,0.0098,0.1973,0.0267,0.0457,1.4348,0.2894,0.6947,0.1836,1.744,1.1831,1.2565,1994,0.0519,0.9449,1693,1994,1668.8,1586,0.3246,0.093,0.1417,55724,1.8331,0.4376,0.9785,1.0531,18607,34365,29,0.0335,0.8951,0
SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf,1,0.0015,0.05,0.0029,0.0037,0.8332,0.0123,0.6919,0.1754,0,0.1006,0,57,0.0052,0.651,48,64,50.735,42,0,0.0764,0.1507,18000,3.6923,0,0.6604,0.0817,900,18000,3,0.0311,0.8421,0.2
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1136141672-041.cnf,1,0.0462,0.2337,0.0904,0.1263,0.6938,0.3191,0.594,0.381,0.0219,0.2941,0.1114,4025,0.1698,0.58,3959,4042,3938,3883,0,0.2107,0.3713,1785,2.7029,0.0579,0.6528,0.2874,420,1759,4,0.0777,0.8472,0
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,0.0402,0.1666,0.0751,0.1098,1.8983,0.4333,0.5309,0.4442,3.218,2.2849,1.689,495,0.1372,0.7574,448,536,437.6,403,0.2421,0.2671,0.4468,210000,2.996,0.4194,0.6085,1.6796,70167,99876,28,0.1295,0.9544,0
SAT_RACE2006/SAT-Race-Benchmarks/goldb-heqc-dalumul.cnf,1,0.0277,0.1565,0.0438,0.0543,1.2701,0.3031,0.2964,0.598,0.0067,4.4289,1.0597,424,0.0819,0.7327,374,486,375.95,316,0.2303,0.5013,0.6453,59991,2.1434,0.3548,0.633,2.8301,9426,59810,12,0.352,0.9057,0
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0.0215,0.0358,0.0216,0.0218,0,0.0221,0.0001,0.9295,0.0345,0,0.0847,0,0.0219,0,0,0,0,0,0.9833,0.9294,0.9295,23548,0,2.4435,0.0081,0,840,22708,2,0.9294,0.9987,1
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.0031,0.0356,0.0169,0.0256,0.9764,0.0826,0.325,0.8451,0.001,0.5915,0.8881,552,0.0406,0.4033,468,590,472.88,410,0.6731,0.9412,0.9683,108000,2.8181,0.6771,0.9193,0.2745,3857,108000,7,0.2221,0.9964,0
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.004,0.0468,0.0198,0.0289,1.0674,0.0797,0.3358,0.8185,0.0017,0.5971,0.9584,724,0.0426,0.4419,680,772,648.86,583,0.6285,0.9322,0.949,51668,2.8371,0.627,0.8989,0.2907,2420,51668,7,0.2618,0.9944,0
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0.035,0,0,0.6262,0,0,0.5268,0.0345,0,0.0975,2811,0,0.5881,2673,2866,2635,2527,0.0175,0.5268,0.5268,24825,0,0.303,0.0004,0,900,24825,3,0.5268,0.998,0
SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S2109328271-14.cnf,1,0.0015,0.05,0.0027,0.0033,0.8371,0.0134,0.6886,0.1623,0,0.0961,0,63,0.0048,0.6489,56,70,58.464,50,0,0.0711,0.1448,16000,3.6415,0,0.6447,0.0751,800,16000,3,0.0264,0.839,0.2
SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1426208256-08.cnf,1,0.0001,0.0118,0.0001,0.0001,1.0031,0.0002,0.652,0.0683,0,0.0352,0,4371,0.0001,0.6841,4326,4371,4246,4145,0,0.0317,0.0657,11900,4.0529,0,0.3277,0,140,11900,2,0.0138,0.8682,0.1429
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0.0001,0.0384,0.0144,0.0249,0.9573,0.0827,0.2756,0.8496,0.0017,0.6398,0.8605,540,0.0425,0.3974,416,633,456.96,348,0.6948,0.9343,0.9747,62900,2.8557,0.599,1.3461,0.3167,2420,62900,7,0.4601,0.9904,0
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1126657927-015.SATISFIABLE.cnf,1,0.001,0.047,0.0018,0.0022,0.8412,0.0061,0.7072,0.1602,0,0.0977,0,4254,0.0034,0.6584,4078,4267,4108.5,4038,0,0.0645,0.1372,3727,3.5974,0,0.631,0.0325,175,3727,3,0.0296,0.8549,0.2
SAT_Competition2009/CRAFTED/parity-games/instance_n5_i5_pp.cnf,1,0.0097,0.108,0.079,0.0769,1.6268,0.3695,0.6348,0.5078,0.4568,1.1086,1.2933,1918,0.2547,0.6768,1863,1918,1765.3,1515,0.1968,0.1598,0.5925,26264,3.4509,0.3012,1.2942,0.965,3655,23231,7,0.0592,0.9309,0
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0.042,0.25,0.042,0.042,0.5623,0.042,0,0,0,0,0,4469,0.042,0.5774,4468,4534,4434.8,4360,0,0,0,880,0,0,0.0001,0.0273,220,880,7,0,0.8742,0.3333
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.0249,0.1424,0.155,0.3138,0.7405,0.6587,0.3019,0.8162,1.0682,4.7326,0.0741,0,0.4075,1.2016,0,0,0,0,0.9903,0.6155,0.9468,4120000,1.3857,5.8326,1.0443,0.7991,757000,2570000,23,0.5074,1.7153,0
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S72635791-098-UNKNOWN.cnf,1,0.0015,0.05,0.0027,0.0034,0.8303,0.013,0.6891,0.1615,0,0.0988,0,46,0.0047,0.6504,42,58,44.383,38,0,0.0732,0.1458,20000,3.6754,0,0.6289,0.0835,1000,20000,3,0.0335,0.8427,0.2
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,0.4719,0.1631,0.4382,0.499,2.5306,0.9999,0.1873,0.7356,0.0407,1.2324,2.039,2169,0.4997,0.8811,2052,2225,1999.7,1972,0.0848,0.6662,0.7526,15960,3.0672,0.3857,0.3296,1.3286,2401,14145,6,0.6228,0.912,0
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1406921020-013.UNKNOWN.cnf,1,0.0406,0.2327,0.0839,0.1129,0.6283,0.3813,0.6048,0.3836,0.0112,0.2773,0.0593,4029,0.1595,0.579,3921,4064,3940.4,3879,0,0.1802,0.3772,1917,2.669,0.0454,0.6896,0.2746,450,1912,5,0.0797,0.8435,0
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,0.4733,0.1663,0.4444,0.499,2.5489,0.9999,0.1899,0.7348,0.041,1.1824,2.0383,1988,0.4997,0.8766,1820,2148,1817.4,1715,0.0809,0.6662,0.7497,16016,3.1852,0.3826,0.3142,1.3887,2435,14063,6,0.617,0.9128,0
SAT_Competition2011/SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.0003,0.0221,0.0112,0.0119,0.897,0.272,0.1168,0.9235,0.5513,0.2523,0.2671,4769,0.0125,1.0016,4681,4769,3610,1380,0.951,0.9432,0.9512,88373,2.759,0.5835,2.805,0.2918,2721,79229,5,0.7011,0.9999,0
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf,1,0.1041,0.05,0.1058,0.1075,0.9599,0.1115,0.0015,0.9351,0.0263,0,0.204,4886,0.1077,1.0234,4886,4886,4886,4886,0.9495,0.9339,0.9351,30460,0,2.1263,0.0182,0.262,1560,30420,3,0.9337,1.0009,0
SAT_Competition2007/random/OnTreshold/7SAT/v70/unif-k7-r89-v70-c6230-S1084572666-19.SAT.shuffled.cnf,1,0,0.0112,0.0001,0.0001,0.9952,0.0001,0.6741,0.0661,0,0.0352,0,4533,0.0001,0.678,4437,4541,4455,4385,0,0.0317,0.0572,6230,3.8251,0,0.3569,0,70,6230,2,0.0189,0.8743,0.1429
SAT-Race-2010-CNF/hardware-verification/velev/12pipe_q0_k.cnf,1,0,0.0193,0.0979,0.2199,0.6842,0.5,0.4528,0.8019,0.7335,3.6777,0.4957,0,0.36,0.3239,0,0,0,0,0.9229,0.8215,0.9995,4220000,5.0901,2.9494,1.6199,2.4033,137000,4090000,4,0,1.0386,0
