@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC

@DATA
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.0124,0.0842,0.9519,0,0.8333,0.7188,0,56.8601,0.0025,0.7968,43.5979,0,0,0.8802,?,1.8071,0.2047,53.0447,5.4935,?,0.59,0,0.9519,?,0.1932,3,0.0143,0.9968,53.9396,3,0.7815,215164,57.2606,4.9264,0.198,0,6.4664,0.2482,0.0006,1019.67,?,?,?,?,?,0.0017,0.1659,1,0.001,0.0033,?,0.0096,0.0281,2030,212532,0.0345,0.001,0.002,0.001,2.7203,0.3068,0.0836,0.0376,0.1934
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0,0.0001,0.6117,0.2295,0,0.5831,0.2295,32.4793,0.0114,0.5832,1.0772,0.2295,0.2295,0.5832,0.3252,0.4472,0.4506,0.5588,0,0.3492,0.5831,0.2295,0.8333,0.4,1.1161,4.6849,0.9821,0.478,32.4793,5,0.6644,528,34.9356,1.5657,0.0174,0.2295,0.0001,0.3482,0,4.3879,0.8944,0.4506,0.0952,0.0379,0.0126,0.0114,0.3333,1,0.0208,0.0227,0.0076,0.4167,0.0227,220,528,0,0.0091,0.0226,0.0114,0,0.3333,0.3333,0,0
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0,0.1476,0.9332,0.2259,0,0.9636,0.0085,0,0.0004,0.9849,38.4923,0.0119,0.0038,0.9935,?,0.8469,0.4533,21.2439,2.8077,?,0.0022,0.0232,0.8788,?,0.4809,5.4615,0.2326,0.9204,0,7,0.1985,1884008,0,2.7943,0.2462,0.0108,1.2403,0.6786,0,94,?,?,?,?,?,0.0001,0.9396,1,0,0.0002,?,0.0129,0.0059,24352,1884008,0.0002,0.0001,0.0001,0,0.6386,0.9766,0,0.1323,0.5908
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0408,0.0001,0.7577,0.0046,1,0.5027,0.0046,29.2469,0.0163,0.5027,6.8948,0.0046,0.0046,0.5028,?,0.592,0.682,6.7881,0,?,0.5026,0.0046,0.0306,?,0,2,0,1,29.2469,2,0.9528,12240,29.2469,0,0,0.0046,0.0003,0.1481,0.0082,0.0013,?,?,?,?,?,0.0163,0.0104,1,0.0305,0.0305,?,0.0306,0.0333,360,11760,0.3333,0.0056,0.0305,0.0163,0,0.0104,0.0104,0,0
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-30-19-20.sat05-1256.reshuffled-07.cnf,1,0.0003,0.0429,0.4985,0.1905,0,0.8653,0.0655,50.8289,0.0064,0.8877,38.0219,0.0982,0.0218,0.9277,?,1.4555,0.4109,21.8594,1.3924,?,0.7289,0.1116,0.0297,?,0.9766,3.1351,0.6408,0.4754,47.0143,4,0.5879,179315,59.4808,5.2586,0.7641,0.0622,0.6611,0.3293,0,5.1343,?,?,?,?,?,0.0031,0.2532,1,0.0004,0.0035,?,0.0087,0.0373,1555,179265,0.0322,0.0013,0.0018,0.0003,0.5927,0.9048,0,0.406,0.8425
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-1.sat05-2158.reshuffled-07.cnf,1,0,0,0.5024,0.042,0.3333,0,0.042,26.1346,0.0143,0,1.2135,0.042,0.042,0,0.0489,0,0,0.4996,0,0.3051,0,0.042,0,0.4,0.5623,6.0431,0.5774,0.5,26.1346,7,0.5934,840,26.2191,1.2305,0.0229,0.042,0.0001,0.4569,0.0036,11.5888,0.0091,0.0943,0.3,0.0179,0.0178,0.0143,0,1,0.006,0.0071,0.0167,0.25,0.0143,210,840,0,0.0143,0.0071,0.0143,0,0,0,0,0
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,0,0,0.2922,0.3833,0,0,0.3831,21.3289,0.025,0,1.0493,0.3832,0.3831,0,0,0,0,0.4919,0,0.5325,0,0.3832,0,0.5325,0.9882,8.2453,0.9265,0.3656,20.6901,9,0.3159,640,22.1489,1.5074,0.0909,0.3831,0.0001,0.5756,0.0031,3.1994,0,0,0.5325,0.0328,0.0328,0.025,0,1,0.0078,0.0094,0.0328,0.25,0.025,160,640,0,0.025,0.0086,0.025,0,0,0,0,0
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g2.cnf,1,0.0177,0.0218,0.9256,0,0.8333,0.7684,0,45.3485,0.0064,0.7789,24.1578,0,0,0.802,?,1.3923,0.2874,28.4218,4.7382,?,0.7447,0,0.9256,?,0.2703,3,0.0277,0.9923,45.0544,3,0.8123,43649,46.1742,4.2025,0.1849,0,4.4549,0.1083,0.0016,32.0559,?,?,?,?,?,0.0046,0.1734,1,0.0034,0.0098,?,0.0168,0.0486,720,42889,0.0556,0.0028,0.0059,0.0029,2.8604,0.3293,0.073,0.0439,0.1645
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.1157,1.3487,0.3628,0.1012,0,0,0.0665,28.2247,0.0074,0.0061,0.4409,0.0697,0.0548,0.1343,0.4223,0.1406,0.6154,0.2381,1.2642,0.3807,0,0.0698,0.0451,0.6364,1.2804,6.8981,0.842,0.401,28.2247,8,0.0498,19785,55.1071,2.2235,0.9218,0.0598,0.2261,0.7022,0.0002,190.561,0.7121,1.888,0.0386,0.0076,0.0026,0.0013,0.0256,1,0.0002,0.0036,0.0003,0.1602,0.0014,2840,17733,0.082,0.0007,0.0004,0.0005,0.7217,0.2727,0,0.0453,0.5453
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00080.sat05-1325.reshuffled-07.cnf,1,0.1312,0.4894,0.0446,0.4996,0,0.1544,0.4293,10.1159,0.2934,0.2856,8.0375,0.4675,0.361,0.7167,?,0.2485,1.54,6.5323,4.2116,?,0.0088,0.4824,0.0013,?,2.402,4.2025,0.7077,0.3847,9.9442,5,0.5085,11604,11.0323,2.771,0.471,0.4003,0.2276,1.241,0,1.7432,?,?,?,?,?,0.0312,0.5488,1,0.001,0.0081,?,0.0232,0.0546,238,10258,0.2101,0.0084,0.0041,0.0005,3.8085,0.9866,0,0.3217,1.3545
SAT_Competition2009/CRAFTED/edgematching/explicit/em_7_3_6_exp.cnf,1,0,0.3375,0.8469,0.0809,0,0.2758,0.0269,15.0009,0.005,0.7421,4.8371,0.0413,0.0033,0.9624,0.7721,0.577,0.9833,3.3667,2.8682,0.2881,0.0923,0.053,0.5979,0.5,1.117,5.7022,0.4888,0.7047,13.7785,7,0.1854,22887,18.9517,2.6388,0.2908,0.0259,0.7872,0.2918,0.0002,24.5971,1.4442,2.8154,0.004,0.042,0.0018,0.0018,0.7146,1,0.0003,0.0031,0.0001,0.064,0.0171,1465,22887,0.0055,0.0014,0.0022,0.0003,2.6431,0.913,0,0.2623,0.5431
SAT_Competition2011/SAT07/crafted/spence/hard/s113-100.cnf,1,0,1.6635,0.5,0.3245,1,0.0011,0.3217,16.0966,0.0508,0.0033,0.822,0.3225,0.314,0.0685,0.086,0,0,0.4951,0.3057,0.193,0.0001,0.3237,0,0.2,0,5.8661,0,1,16.0966,6,0.82,236,17.1418,0.1812,0.0515,0.3148,0.0597,0.3638,0.0127,1.0871,0.114,0.4271,0.1538,0.0508,0.0401,0.0265,0.0236,1,0.0254,0.0339,0.0381,0.4788,0.0265,113,236,0,0.0265,0.0258,0.0254,0.2557,0.3333,0,0.0855,0.1502
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0,0,0.3233,0.3797,0,0,0.3662,19.0963,0.069,0,1.452,0.373,0.3222,0,0.0467,0.0782,0.3326,1.2021,0.6066,0.4343,0,0.3786,0,0.4737,1.1977,5,0.8477,0.3879,19.0125,5,0.9971,232,19.2363,1.322,0.0799,0.3561,0.068,0.3396,0.0086,1.0062,0.1136,1.2022,0.4,0.0991,0.0902,0.0639,0,1,0.0216,0.0259,0.0647,0.2629,0.0656,61,232,0.4262,0.0492,0.0246,0.0517,0,0,0,0,0.1231
SAT_Competition2007/crafted/Medium/contest05/others/QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf,1,0.4619,0.1143,0.4329,0.9774,0,0.7446,0.0345,32.3552,0.0278,0.8135,6.2979,0.0398,0.0262,0.9234,0.8192,0.4589,1.091,4.528,3.1953,0.1137,0.0003,0.4198,0.3387,0.9592,1.3824,3.88,0.9132,0.4093,32.3552,5,0.5801,14889,33.1216,4.0521,0.522,0.0834,1.797,0.3613,0,13.1448,1.5667,2.5744,0.002,0.1595,0.0048,0.0113,0.8178,1,0.0001,0.0161,0.0004,0.0369,0.0319,376,10185,0.1489,0.0053,0.0114,0.0001,2.3702,1,0,0.1652,0.6596
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf,1,0,0,0.2946,0.3832,0,0,0.3831,22.0862,0.0286,0,1.1033,0.3832,0.3831,0,0,0,0,0.5264,0,0.5325,0,0.3832,0,0.5325,1.0038,7,0.9544,0.3643,20.7128,7,0.3338,560,22.3787,1.6138,0.0909,0.3831,0.0001,0.5926,0.0036,2.8108,0,0,0.5325,0.0375,0.0375,0.0286,0,1,0.0089,0.0107,0.0375,0.25,0.0286,140,560,0,0.0286,0.0098,0.0286,0,0,0,0,0
SAT_Competition2009/CRAFTED/Hard/contest04/others/ramsey.sat05-511.reshuffled-07.cnf,1,0,0,0.1047,0.0005,0,0,0.0005,30.6719,0.0392,0,1.8778,0.0005,0.0005,0,?,0,0,1.4088,0,?,0,0.0005,0,?,1.1311,2,0.8518,0.3057,30.6719,2,0.5688,6120,32.3808,3.4399,0,0.0005,0.0001,0.4691,0.0003,11.5101,?,?,?,?,?,0.0392,0,1,0.0248,0.0248,?,0.025,0.0392,153,6120,0,0.0392,0.0248,0.0392,0,0,0,0,0
SAT_Competition2011/SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf,1,0.0032,0,0.3339,0.3804,0,0,0.3644,26.6047,0.0253,0,1.0809,0.3717,0.3186,0,0.0681,0.0858,0.3798,0.742,0.6518,0.4452,0,0.3777,0,0.5325,1.23,6.8802,0.8484,0.3892,26.1054,7,0.9789,634,28.9112,1.4492,0.0857,0.3501,0.0776,0.3443,0.0032,1.0426,0.1287,1.4206,0.4,0.0364,0.0323,0.0231,0,1,0.0079,0.0095,0.0237,0.2658,0.0238,168,632,0.4167,0.0179,0.0089,0.019,0,0,0,0,0.1315
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.0182,0.0152,0.6424,0.2198,0,0.8041,0.1925,29.0587,0.0333,0.806,2.9631,0.2006,0.185,0.8242,0.3794,0.9539,0.5281,3.0021,0,0.1446,0.7776,0.2009,0.8121,0.1858,1.0987,3,1.0372,0.4599,29.0587,3,0.8708,672,29.1234,1.9213,0.231,0.1935,0.0479,0.103,0.003,2,0.9449,0.8485,0.0248,0.2864,0.0594,0.0333,0,1,0.0455,0.0985,0.0318,0.1636,0.1667,108,660,0.1111,0.0185,0.071,0.0333,0,0,0,0,0
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-17x30.cnf,1,0.0086,0.1556,0.7516,0,1,0.3048,0,28.7399,0.0039,0.3164,19.4733,0,0,0.376,?,0.5804,0.5976,17.3879,0,?,0.0044,0,0.0064,?,0,2,0,1,27.6741,2,0.6066,240210,29.1343,0,0,0,13.8583,0.3177,0.002,702.467,?,?,?,?,?,0.0039,0.0022,1,0.0064,0.0064,?,0.0064,0.0078,1530,238170,0.3333,0.0013,0.0064,0.0039,0,0.0022,0.0022,0,0
SAT_Competition2007/crafted/Medium/contest05/sabharwal/sat-strips-gripper-10t19.sat05-1143.reshuffled-07.cnf,1,0.1902,0.2081,0.616,0.2756,0,0.621,0.0006,17.2676,0.0031,0.9064,6.7556,0.0126,0.0001,0.9942,0.9156,0.4033,0.8195,3.7622,3.7306,0.0758,0.0038,0.1492,0.6806,0.5238,1.168,14.3455,0.9848,0.4608,17.2676,19,0.4159,53225,17.8108,4.1143,0.4882,0.0294,2.0204,0.2853,0,10.3624,0.7316,4.4553,0.0046,0.0235,0.0018,0.0013,0.4575,1,0.0002,0.0035,0.0001,0.0438,0.0112,1960,44720,0.7296,0.001,0.0013,0.0002,3.4877,1,0,0.2977,0.6008
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hidden-k3-s0-r5-n700-01-S2069048075.sat05-488.reshuffled-07.cnf,1,0.002,0.5903,0.4961,0.2992,0,0.0856,0.0342,28.6595,0.0094,0.2001,0.9808,0.0612,0.0189,0.559,0.227,0.042,0.0833,0.3077,2.7545,0.0913,0.0008,0.1009,0,0.2418,0.6373,4,0.5796,0.5036,28.6595,4,0.2631,3500,29.7633,2.3385,0.2588,0.0462,0.8491,0.3697,0,39.9026,0.2142,2.9971,0.0476,0.012,0.0066,0.0044,0.1992,1,0.0029,0.018,0.0026,0.1984,0.0058,693,3493,0.0101,0.0043,0.0086,0.0014,3.4378,0.7333,0,0.1542,0.2613
