@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE W_PRODUCTS NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE W_OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC

@DATA
Adder2-6-s-shuffled,1,0.216597,856.666667,0.55674,0.79617,0.726783,2.011384,2570,0.566513,195,1.308137,0.414678,2705,0.840854,2765,10.292308,8160,2426,0.56896,0.56896,0.433194,0.426414,1852,6.54792,0.354657,0.503657,7.415385,0.956611,11.259922,0.088603,3.707692,20.584615,1485
adder-4-sat-shuffled,1,1.049057,87,0.729904,0.370044,0.030189,3.883019,174,0.809953,106,3,0.14083,244,0.781498,280,9.018868,3110,16,0.862002,0.862002,1.984906,0.108165,8,6.328571,0.091318,0.917914,9.924528,0.741029,48.16092,0.159486,5.245283,16.792453,522
adder-6-sat-shuffled,1,1.052423,205.5,0.75084,0.331842,0.019063,4.399523,411,0.829222,237,3.091049,0.123948,570,0.805335,648,9.616034,8039,24,0.877595,0.877595,1.985703,0.094829,12,6.516975,0.084339,0.95336,10.548523,0.725786,55.703163,0.146162,5.590717,17.839662,1247
adder-8-sat-shuffled,1,1.053136,374,0.766531,0.30458,0.013937,4.839721,748,0.842999,420,3.131849,0.112944,1032,0.821982,1168,9.9,15668,32,0.888409,0.888409,1.984321,0.085781,16,6.601027,0.079142,0.983859,10.847619,0.719382,61.700535,0.136456,5.757143,18.333333,2280
adder-8-unsat-shuffled,1,0.377768,485,0.838756,0.192241,0.001737,9.205818,970,0.902284,212,3.106599,0.08235,1032,0.963248,1182,8.207547,22773,4,0.867836,0.867836,0.682588,0.071472,1,4.773266,0.12304,0.984509,7.415094,0.842752,80.549485,0.030826,4.103774,14.830189,2302
aim-100-1_6-yes1-3-50-shuffled,1,0.306905,177,0.594819,0.681185,0.530691,1.792839,354,0.642786,100,1.722467,0.304989,700,0.749129,454,4.8,1930,415,0.613409,0.613409,0.675192,0.322537,621,3.162996,0.280829,0.57147,5.28,0.8538,6.935028,0.149223,2.4,10.56,161
aim-100-1_6-yes1-3-90-shuffled,1,0.360902,138,0.598672,0.670363,0.506767,1.756391,276,0.642775,100,1.768617,0.298424,583,0.748992,376,4.8,1657,337,0.63613,0.63613,0.735338,0.304888,504,3.300532,0.256488,0.610865,4.89,0.835395,7.576087,0.150272,2.4,9.78,161
aim-100-2_0-yes1-2-50-shuffled,1,0.317073,198,0.595453,0.679395,0.52492,1.78579,396,0.642534,100,1.90121,0.293681,843,0.74928,496,5.98,2331,495,0.617577,0.617577,0.686108,0.319507,744,3.504032,0.276276,0.558827,6.47,0.821564,7.997475,0.149292,2.99,12.94,199
aim-100-2_0-yes1-2-90-shuffled,1,0.359375,161,0.598456,0.670968,0.50601,1.757212,322,0.642495,100,1.971564,0.288118,732,0.749194,422,5.98,2072,421,0.635431,0.635431,0.733173,0.305698,633,3.680095,0.257239,0.587601,6.1,0.805914,8.689441,0.150097,2.99,12.2,199
aim-100-3_4-yes1-1-90-shuffled,1,0.367626,230,0.599193,0.668912,0.504317,1.753957,460,0.642523,100,2.482143,0.264192,1219,0.750241,560,10.22,3468,701,0.639459,0.639459,0.741007,0.302722,1050,4.644643,0.25346,0.547264,10.3,0.739047,12.55,0.149654,5.11,20.6,340
aim-100-6_0-yes1-1-90-shuffled,1,0.369092,362,0.599539,0.667948,0.498561,1.752158,724,0.642796,100,2.951456,0.246211,2142,0.749519,824,17.96,6073,1213,0.64016,0.64016,0.743938,0.302114,1836,5.526699,0.252593,0.511433,18.1,0.689271,18.824586,0.150173,8.98,36.2,597
aim-100-6_0-yes1-3-90-shuffled,1,0.370066,361,0.599473,0.668132,0.501645,1.752467,722,0.642655,100,2.958637,0.246033,2134,0.75,822,18,6072,1220,0.640544,0.640544,0.744243,0.301841,1833,5.540146,0.252306,0.511877,18.1,0.688503,18.908587,0.149868,9,36.2,599
aim-100-6_0-yes1-4-90-shuffled,1,0.369852,361,0.599505,0.668043,0.500412,1.751236,722,0.6427,100,2.952555,0.246112,2135,0.749518,822,17.96,6060,1215,0.640405,0.640405,0.744646,0.301976,1833,5.53163,0.25231,0.511575,18.08,0.688811,18.804709,0.150165,8.98,36.16,595
aim-200-1_6-yes1-2-90-shuffled,1,0.360387,281,0.598505,0.670829,0.503351,1.760238,562,0.642083,200,1.762467,0.29806,1193,0.751748,762,4.84,3345,676,0.636633,0.636633,0.730454,0.305269,1023,3.292651,0.256801,0.610041,4.905,0.832761,7.52847,0.14858,2.42,9.81,320
aim-200-1_6-yes1-4-90-shuffled,1,0.359643,282,0.598265,0.6715,0.509308,1.760238,564,0.641736,200,1.757853,0.298532,1188,0.752,764,4.83,3343,684,0.63621,0.63621,0.728965,0.305864,1026,3.28534,0.257254,0.609433,4.895,0.833274,7.475177,0.14837,2.415,9.79,317
aim-200-2_0-yes1-2-90-shuffled,1,0.360961,322,0.59894,0.669618,0.504505,1.757958,644,0.642685,200,1.971564,0.287235,1469,0.750101,844,6.01,4149,840,0.63683,0.63683,0.733934,0.304779,1266,3.683649,0.256206,0.588788,6.11,0.803871,8.704969,0.149675,3.005,12.22,399
aim-200-3_4-yes1-1-90-shuffled,1,0.367207,459.5,0.599278,0.668675,0.505586,1.754595,919,0.642646,200,2.479893,0.264326,2431,0.75012,1119,10.19,6925,1403,0.639351,0.639351,0.740901,0.302774,2097,4.639857,0.253574,0.547361,10.28,0.739676,12.536453,0.149747,5.095,20.56,678
aim-200-3_4-yes1-4-90-shuffled,1,0.367398,461,0.599452,0.668191,0.50018,1.753508,922,0.642734,200,2.475045,0.264035,2453,0.75,1122,10.21,6933,1390,0.639647,0.639647,0.741274,0.302635,2103,4.634581,0.253281,0.547114,10.3,0.739045,12.490239,0.149863,5.105,20.6,676
aim-50-1_6-yes1-1-00-shuffled,1,0.262821,114,0.590909,0.692308,0.549145,1.824786,228,0.64147,50,1.683453,0.310489,431,0.752959,278,4.92,1144,257,0.596019,0.596019,0.619658,0.337248,387,3.053957,0.301573,0.542502,5.8,0.866003,6.447368,0.145979,2.46,11.6,81
aim-50-1_6-yes1-1-90-shuffled,1,0.369369,69,0.598311,0.671371,0.501502,1.753754,138,0.640967,50,1.771277,0.296293,296,0.754032,188,4.92,829,167,0.640411,0.640411,0.735736,0.302885,252,3.319149,0.253317,0.614605,4.9,0.825251,7.57971,0.147165,2.46,9.8,81
aim-50-1_6-yes1-2-00-shuffled,1,0.246253,114,0.59071,0.692878,0.537473,1.82227,228,0.64482,50,1.679856,0.314491,428,0.740356,278,4.6,1141,251,0.586369,0.586369,0.620985,0.341737,387,3.021583,0.308501,0.533243,5.8,0.885443,6.355263,0.153374,2.3,11.6,80
aim-50-1_6-yes1-2-50-shuffled,1,0.288945,91,0.593878,0.683849,0.515075,1.791457,182,0.64513,50,1.715517,0.308854,359,0.738832,232,4.6,980,205,0.603086,0.603086,0.670854,0.328032,318,3.125,0.288776,0.559318,5.34,0.87033,6.813187,0.155102,2.3,10.68,80
aim-50-1_6-yes1-3-00-shuffled,1,0.248927,114,0.59051,0.693452,0.555794,1.824034,228,0.643463,50,1.676259,0.314658,421,0.744048,278,4.64,1138,259,0.588235,0.588235,0.618026,0.341573,387,3.021583,0.307557,0.53572,5.76,0.88254,6.368421,0.151142,2.32,11.52,79
aim-50-1_6-yes1-4-50-shuffled,1,0.31701,88,0.594142,0.683099,0.525773,1.78866,176,0.64006,50,1.716814,0.303618,352,0.755282,226,4.92,956,204,0.618156,0.618156,0.675258,0.320845,309,3.172566,0.277197,0.576229,5.24,0.843524,6.903409,0.145397,2.46,10.48,79
aim-50-1_6-yes1-4-90-shuffled,1,0.371601,69,0.597813,0.672764,0.501511,1.752266,138,0.639629,50,1.760638,0.296774,295,0.756098,188,4.92,823,166,0.641379,0.641379,0.734139,0.303226,252,3.308511,0.252734,0.615775,4.86,0.823524,7.521739,0.145808,2.46,9.72,79
aim-50-2_0-yes1-1-90-shuffled,1,0.363855,80,0.599226,0.668821,0.510843,1.751807,160,0.642692,50,1.971429,0.286221,363,0.749596,210,6.04,1033,212,0.638239,0.638239,0.737349,0.303789,315,3.690476,0.254598,0.589545,6.12,0.801048,8.7,0.150048,3.02,12.24,100
aim-50-2_0-yes1-2-50-shuffled,1,0.3159,101,0.594915,0.680912,0.541841,1.786611,202,0.64187,50,1.896825,0.293625,422,0.750712,252,6.04,1180,259,0.617096,0.617096,0.682008,0.320243,378,3.496032,0.277119,0.557157,6.52,0.819883,7.940594,0.148305,3.02,13.04,100
aim-50-2_0-yes1-3-90-shuffled,1,0.362981,80,0.598456,0.670968,0.504808,1.754808,160,0.642265,50,1.980952,0.287034,366,0.75,210,6.04,1036,210,0.636986,0.636986,0.735577,0.304487,315,3.7,0.255792,0.589105,6.12,0.802365,8.75,0.149614,3.02,12.24,101
aim-50-3_4-yes1-2-90-shuffled,1,0.366522,114,0.59919,0.668919,0.505051,1.751804,228,0.643054,50,2.492806,0.264495,604,0.748069,278,10.16,1729,350,0.638386,0.638386,0.743146,0.302925,522,4.658273,0.253904,0.546533,10.3,0.740994,12.627193,0.150954,5.08,20.6,171
aim-50-3_4-yes1-3-90-shuffled,1,0.363506,115,0.599078,0.669231,0.50431,1.752874,230,0.643328,50,2.485714,0.265072,607,0.747115,280,10.12,1736,351,0.636885,0.636885,0.741379,0.303831,525,4.639286,0.255184,0.544881,10.32,0.74318,12.565217,0.151498,5.06,20.64,171
aim-50-6_0-yes1-3-50-shuffled,1,0.358974,193.5,0.59897,0.669533,0.513622,1.757212,387,0.642693,50,2.851259,0.248316,1093,0.749597,437,17.92,3107,641,0.636115,0.636115,0.732372,0.305561,953,5.331808,0.256839,0.506995,18.28,0.694966,17.865633,0.149984,8.96,36.56,295
aim-50-6_0-yes1-4-90-shuffled,1,0.371594,179,0.599735,0.667402,0.500413,1.749794,358,0.642778,50,2.965686,0.24556,1062,0.749586,408,18,3023,606,0.64134,0.64134,0.746491,0.301255,912,5.558824,0.251406,0.51234,18.08,0.687417,18.930168,0.150182,9,36.16,299
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.090828,589,0.571392,0.750112,0.520317,2.151479,2945,0.583302,96,2.20125,0.409161,4998,0.931869,3041,25.666667,15618,3483,0.57742,0.57742,0.181655,0.413145,4462,16.50707,0.389679,0.54982,12.666667,0.981912,66.241766,0.038929,6.333333,51.333333,2231
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.12517,1185.666667,0.571415,0.750041,0.508913,2.08292,7114,0.584612,235,2.495986,0.399161,13732,0.906117,7349,49.021277,42799,9335,0.579998,0.579998,0.250341,0.41018,12228,22.460063,0.374939,0.534873,19.540426,0.960935,87.690891,0.053646,9.770213,98.042553,6114
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7543,0.588151,0.700244,0.581874,2.217683,7543,0.588151,0,1.369482,0.411849,8796,1,7543,0,25082,6581,0.588151,0.588151,0,0.411849,6886,1.369482,0.411849,0.588151,0,1,6.639798,0,0,0,3443
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.049117,155.347826,0.573816,0.74272,0.515498,2.213716,14292,0.584931,91,2.351526,0.406458,25906,0.962976,14383,1484.747253,79360,17695,0.577091,0.577091,0.098235,0.413126,22608,348.669401,0.40494,0.556089,37.054945,0.979254,1795.336132,0.021245,18.527473,2969.494505,11213
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.018382,41.97561,0.577547,0.731461,0.564706,2.229412,1721,0.582333,40,1.478705,0.421936,2082,0.985955,1761,55,6164,1536,0.578826,0.578826,0.036765,0.416782,1762,98.168086,0.414341,0.58267,2.5,1.01022,406.605462,0.008112,1.25,110,841
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.050611,67.024691,0.57431,0.74122,0.5274,2.200349,5429,0.585139,80,2.038119,0.410014,8668,0.961711,5509,471,26376,6044,0.577728,0.577728,0.101222,0.412981,7538,262.698856,0.4037,0.560459,14.5,0.988316,1038.345552,0.02199,7.25,942,3689
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.046998,40.86,0.572065,0.748054,0.527745,2.215977,4086,0.585752,99,1.975149,0.414163,6298,0.964434,4185,311.393939,19316,4413,0.575121,0.575121,0.093997,0.412519,5576,308.780167,0.40759,0.565086,7.939394,0.999795,1165.682085,0.020346,3.969697,622.787879,2689
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.049839,201.317241,0.572631,0.746325,0.50619,2.221992,29191,0.585036,144,2.578899,0.405412,57332,0.962512,29335,3421.666667,177018,38595,0.575889,0.575889,0.099677,0.412955,50530,603.871553,0.405902,0.553883,52.777778,0.976981,3783.233325,0.021467,26.388889,6843.333333,25121
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.049241,89.69863,0.572007,0.74823,0.509098,2.223643,13096,0.586315,145,2.441961,0.407409,24442,0.962929,13241,1333.268966,75548,16563,0.575196,0.575196,0.098482,0.411791,21652,562.505853,0.406788,0.556901,22.096552,0.984829,2371.568723,0.021205,11.048276,2666.537931,10681
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.054378,152.424893,0.571744,0.749035,0.502997,2.218494,35515,0.585429,232,2.670266,0.40476,71893,0.959132,35747,4620.068966,222890,48174,0.575261,0.575261,0.108756,0.412392,63790,999.371975,0.40489,0.55196,44.896552,0.976333,5784.166578,0.023366,22.448276,9240.137931,31663
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.04504,41.807339,0.571518,0.749726,0.520087,2.224891,4557,0.586653,108,2.053591,0.413397,7254,0.965957,4665,344.444444,22358,5023,0.574414,0.574414,0.090081,0.411665,6458,346.191854,0.409026,0.565146,8.055556,1.00012,1265.721527,0.019456,4.027778,688.888889,3121
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.016249,55.242424,0.576866,0.733505,0.551117,2.244414,1823,0.58547,32,1.534232,0.417744,2247,0.987629,1855,44,6726,1628,0.577979,0.577979,0.032498,0.413842,1918,78.825876,0.415998,0.57973,3,1.007755,302.507954,0.007136,1.5,88,927
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.045244,133.680412,0.572948,0.745358,0.510326,2.227045,12967,0.585938,96,2.384598,0.406946,23669,0.965926,13063,1220,72942,16062,0.575912,0.575912,0.090487,0.412289,20830,367.310266,0.407529,0.557523,29.666667,0.982813,1688.409655,0.019522,14.833333,2440,10319
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.029851,34.254237,0.572319,0.747278,0.543881,2.239403,2021,0.585043,58,1.584416,0.418829,2522,0.977314,2079,98.068966,7702,1822,0.574247,0.574247,0.059701,0.413607,2234,145.326599,0.414697,0.575387,3.448276,1.009332,553.457694,0.012984,1.724138,196.137931,1059
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.049673,90.753425,0.571663,0.749283,0.508017,2.225375,13250,0.586496,145,2.457335,0.407041,24801,0.962622,13395,1371.268966,76846,16793,0.574862,0.574862,0.099347,0.411582,22040,564.695931,0.40697,0.556317,22.648276,0.984369,2367.504,0.021367,11.324138,2742.537931,10875
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.055938,127.452632,0.571709,0.749142,0.505901,2.214753,24216,0.585624,189,2.594878,0.404849,47733,0.957946,24405,3111.322751,147862,32151,0.575331,0.575331,0.111877,0.412151,42344,788.477812,0.404249,0.55194,37.619048,0.977007,4124.574042,0.024043,18.809524,6222.645503,20983
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.037623,25.137931,0.568471,0.759106,0.537077,2.242094,2187,0.585096,86,1.613726,0.421049,2741,0.97144,2273,134.627907,8500,1970,0.570768,0.570768,0.075245,0.413205,2502,215.976243,0.415294,0.573951,3.209302,1.014811,811.685414,0.016235,1.604651,269.255814,1165
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057064,142.669565,0.571117,0.750953,0.500587,2.217513,49221,0.585613,344,2.749279,0.404158,102159,0.957148,49565,6890.627907,317728,68214,0.574778,0.574778,0.114128,0.412096,91074,1520.351458,0.404409,0.550464,45.209302,0.975313,8869.010219,0.024474,22.604651,13781.255814,45193
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.073596,652,0.571386,0.750131,0.514998,2.185909,2608,0.585659,129,2.094995,0.416762,4307,0.944793,2737,10.418605,13378,2953,0.576193,0.576193,0.147192,0.411285,3822,11.814395,0.39707,0.566544,6.542636,1.005844,42.721242,0.031544,3.271318,20.837209,1911
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.05735,59.561798,0.574747,0.739896,0.524501,2.182214,5301,0.586126,88,1.997402,0.408155,8324,0.956558,5389,510.363636,25312,5780,0.578676,0.578676,0.114701,0.411686,7234,278.531082,0.400284,0.558905,14.363636,0.986183,1038.978683,0.024968,7.181818,1020.727273,3529
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.053099,189.246753,0.572797,0.745819,0.505029,2.214083,29144,0.585349,153,2.569751,0.404406,57089,0.960047,29297,3630.601307,176230,38358,0.576289,0.576289,0.106199,0.412488,50292,636.223811,0.404318,0.552799,52.718954,0.975292,3974.720045,0.022885,26.359477,7261.202614,24993
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.050238,37.576271,0.571642,0.749346,0.51707,2.211322,4434,0.587556,117,2.014063,0.412291,6939,0.961985,4551,367.076923,21398,4786,0.574897,0.574897,0.100475,0.41052,6188,361.990991,0.406627,0.564422,7.948718,0.999629,1247.454894,0.021731,3.974359,734.153846,2977
