@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC

@DATA
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,0.0047,0.3424,0.0007,0.2548,0.4676,2.5823,0.3768,0.934,0.4406,0.0806,0.0003,4.458,1.2997,0.3957,5.0736,0.0504
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,0,0.4888,0.0026,0,0.7878,1.7821,1,0.9625,0.2209,0.0253,0.0008,1.1161,0.6854,0,2.7912,0.0173
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,0,0.0105,0.0886,0.0165,0.5127,0.6385,0,0.6443,1.5326,0.1131,0.0004,9.7488,1.1552,0,10.4022,0.0667
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,0.0152,0.7538,0.4251,0.5846,0.774,0.0002,0.0152,0.8664,0,0.0082,0.425,20.6012,11.6955,0.3333,20.037,0.0167
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,0.9443,0.7188,0.7644,0.4568,0.4517,0.0932,0.947,0.7013,2.5469,0.0007,0.7097,196.581,2.4735,0,138.3,0.0024
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,0,0.231,0.0355,0.1105,0.6533,0.5914,0.0262,0.7689,1.4434,0.1643,0.0179,2.9395,1.8582,0,3.62,0.1667
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.9523,0.9523,0.791,1.8079,0.7814,0.082,0.9523,0.8974,2.6827,0.0026,0.7211,184.575,44.9564,0.0345,1242.18,0.0281
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,0.9829,0.9829,0.9785,2.4667,0.9186,0.0701,0.9829,0.9574,3.3344,0.0017,0.9566,5744.47,97.7881,0.0209,1273.77,0.0426
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,0.0073,0.2613,0.0001,0.0583,0.0566,3.1172,0.0332,0.1106,0.4008,0.0013,0.0001,822,0.2524,1.0256,373.5,0.0001
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.013,0.7532,0.408,0.5836,0.7325,0.0003,0.013,0.8098,0,0.0073,0.408,45.6368,11.9471,0.3333,47.1391,0.0147
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.0203,0.7551,0.457,0.5871,0.8507,0.0001,0.0203,0.9633,0,0.011,0.457,1.5435,7.0723,0.3333,0.6013,0.0222
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,0.9787,0.7464,0.8978,1.8278,0.9047,0.0217,0.9787,0.9711,3.0492,0.0071,0.8796,11.9654,38.6444,0.0345,45.4502,0.1
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.9511,0.7281,0.9432,0.5835,0.445,0.1168,0.9728,0.8863,2.4732,0.0019,0.7011,141.434,20.538,0.5513,18.45,0.0131
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,0,0.1265,0.56,0.8326,0.6767,0.1629,0.8735,0.809,2.8836,0.0321,0.5519,14.2115,11.2954,0,10.7719,0.0753
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,0.9714,0.9714,0.8722,1.989,0.8669,0.0254,0.9714,0.9483,3.2305,0.0036,0.857,346.25,53.1227,0.0327,35.494,0.0672
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,0.8333,0.8333,0.6919,0.9583,0.7902,0.0001,0.8333,0.8269,0,0.0289,0.6919,10.5361,2.6539,0,11.0207,0.0909
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,0.9819,0.9819,0.9705,2.5629,0.8838,0.0496,0.9819,0.9362,3.3492,0.0019,0.9515,25.5625,88.9836,0.0199,160.4,0.0406
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,0.0031,0.0831,0.657,1.105,0.7061,0.1013,0.9169,0.8066,3.3339,0.0295,0.6449,15.7566,23.0011,0,13.692,0.1034
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,0.0124,0.0782,0.6648,1.0967,0.6597,0.1024,0.9218,0.8034,3.5664,0.0291,0.6474,15.4287,22.3937,0,13.9374,0.1045
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.9299,0.9299,0.7848,1.3783,0.7373,0.0248,0.9299,0.9048,2.9323,0.0076,0.7734,24.5809,23.9299,0.0556,42.4065,0.0486
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0,0.0107,0.0647,0.016,0.5703,0.6574,0,0.6947,1.6947,0.1204,0.0375,6.1613,1.6871,0,7.1515,0.1053
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_390.cnf,1,0.0032,0.0873,0.6422,1.0699,0.6841,0.1077,0.9127,0.803,3.3218,0.0305,0.6301,20.8631,21.9479,0,13.3078,0.1026
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,1,0,0.2504,0.0025,0.1608,0.2067,1.4426,0,0.4878,0.9674,0.0277,0.0002,27.7525,1.572,0,27.6506,0.0169
./SAT11/crafted/skvortsov/battleship/battleship-16-16-unsat.cnf,1,0.8824,0.8824,0.7577,1.2368,0.8331,0.0002,0.8824,0.8745,0,0.0142,0.7576,16.5052,3.5387,0,15.9889,0.0625
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_506.cnf,1,0.0024,0.0769,0.6777,1.1742,0.7105,0.0904,0.9231,0.8383,3.3188,0.0239,0.6664,27.2359,27.3461,0,18.2982,0.0909
./SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.8333,0.6484,0.5832,0.4472,0.6879,0.0001,0.8333,0.8353,0,0.0156,0.5831,3.377,1.1568,0,5.8605,0.0313
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.0371,0.2945,0.0153,0.1226,0.2282,1.3536,0.1398,0.6422,1.0023,0.0201,0.0047,8.4172,0.33,1.1104,7.7162,0.0065
./SAT11/crafted/skvortsov/automata-synchronization/rnd_150_42_s.cnf,1,0.2481,0.5668,0.0814,0.3607,0.0758,0.9029,0.5538,0.2912,2.2265,0.2288,0.0339,23.3935,1.4237,1.6948,18.9421,0.0034
./SAT05/crafted/sabharwal05/ordering/gt-ordering/sat/gt-030.shuffled-as.sat05-1295.cnf,1,0.0175,0.5096,0.5267,0.3031,0.7089,0.0015,0.9988,0.9146,0.0252,0.0035,0.5267,1.261,11.0015,0,5.8135,0.0333
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes2.cnf,1,0.9494,0.9494,0.8085,1.7337,0.7862,0.0409,0.9494,0.8976,2.7378,0.0029,0.7825,525.9,40.4446,0.037,552.595,0.0302
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_505.cnf,1,0.0099,0.073,0.6803,1.1668,0.6685,0.0916,0.927,0.7873,3.5293,0.0235,0.668,22.1837,27.3145,0,14.9568,0.0909
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-17_279.cnf,1,0,0.1062,0.6083,0.9613,0.6938,0.1295,0.8938,0.81,2.8893,0.0217,0.6021,22.3273,15.8477,0,15.6557,0.0609
./SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0306,0.7577,0.5027,0.592,0.9528,0.0001,0.0306,0.9962,0,0.0163,0.5027,0.0069,6.8911,0.3333,0.2882,0.0333
./SAT05/crafted/sorge05/QG7a/gensys-ukn004.shuffled-as.sat05-3844.cnf,1,0.0794,0.14,0.6662,0.386,0.2363,0.2052,0.0985,0.5014,2.8275,0.0208,0.6063,51.2065,0.7141,0.0321,39.9948,0.0049
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_388.cnf,1,0,0.0915,0.6469,1.0759,0.7082,0.1062,0.9085,0.8318,2.9878,0.0159,0.6427,33.6683,21.2435,0,22.3005,0.0515
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes10.cnf,1,0.9546,0.9546,0.8496,1.9116,0.8414,0.1838,0.9546,0.9271,2.571,0.0021,0.6876,2695.93,51.0022,0.0313,956.105,0.0246
./SAT05/crafted/sabharwal05/pebbling/grid-pebbling/unsat/grid-pbl-0250.shuffled-as.sat05-1349.shuffled-as.sat05-1349.cnf,1,0.0018,0.3109,0,0.0275,0.2989,2.7129,0.0031,0.6806,0.3978,0.0045,0,7.9255,0.5364,53.8514,7.8171,0.0044
./SAT11/crafted/skvortsov/battleship/battleship-9-17-sat.cnf,1,0.8831,0.8831,0.8006,1.284,0.9026,0,0.8831,0.9273,0,0.0245,0.8006,0.8798,2.2866,0,1.8504,0.1111
./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf,1,0,0.8448,0.5808,0.2498,0.2713,0.1107,0.8448,0.7147,2.6708,0.0099,0.5395,61.9426,3.1008,0.3333,47.7751,0.0083
./SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,1,0.8372,0.8372,0.7569,1.0176,0.8838,0,0.8372,0.9116,0,0.0432,0.7569,1.0747,1.9216,0,1.8401,0.1429
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p15-s44266159.cnf,1,0.9682,0.9682,0.8619,1.7983,0.8665,0.03,0.9682,0.957,3.2079,0.0048,0.8374,99.2536,37.763,0.0394,92.1546,0.0787
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.9756,0.7118,0.8879,1.9114,0.8664,0.0212,0.9756,0.9522,3.1332,0.0058,0.8685,11.5737,39.5103,0.0345,8.6485,0.0769
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p15-s58217873.cnf,1,0.9669,0.9669,0.854,1.5366,0.8681,0.0382,0.9669,0.9466,3.3946,0.0065,0.8245,14.0778,30.9983,0.0476,13.4185,0.0971
./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf,1,0,0.8432,0.5674,0.2489,0.3025,0.1189,0.8432,0.6844,2.7486,0.0153,0.5258,51.8103,3.4495,0.3333,42.3919,0.0122
./SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,1,0.7619,0.7619,0.6799,0.7454,0.8885,0,0.7619,0.9249,0,0.0857,0.6799,1.0035,1.5092,0,1.326,0.2
./SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf,1,0.5255,0.5443,0.6636,0.7449,0.2832,0.3044,0.7192,0.8422,3.1098,0.0382,0.425,15.6248,2.6775,1.0575,11.2841,0.0443
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf,1,0.9536,0.9536,0.8497,1.8783,0.8653,0.191,0.9536,0.9403,2.651,0.002,0.6709,318.667,50.2069,0.0323,2068.63,0.0258
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.9822,0.9822,0.9304,2.3509,1,0.0001,0.9822,1,0,0.0042,0.9303,0.0195,13.5107,0.037,0.0009,0.0769
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-12_135.cnf,1,0,0.1451,0.5185,0.7362,0.6727,0.1935,0.8549,0.8003,2.7087,0.0432,0.5092,9.3027,8.702,0,8.1399,0.0889
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-15_218.cnf,1,0,0.119,0.5764,0.8775,0.682,0.1503,0.881,0.8151,2.9328,0.0275,0.5694,17.521,12.7827,0,13.5208,0.0688
./SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf,1,0.0101,0.3456,0.0015,0.2894,0.4858,2.3987,0.3899,0.9373,0.3503,0.0835,0.0007,4.1596,1.2794,0.4046,4.7117,0.0534
./SAT05/crafted/sorge05/QG7a/gensys-icl005.shuffled-as.sat05-3826.cnf,1,0.0801,0.1458,0.6664,0.3885,0.2363,0.2037,0.1014,0.5283,2.6471,0.0203,0.6251,51.67,0.7022,0.0325,40.2964,0.005
./SAT11/crafted/spence/sgen/sgen3-n140-s20078956-unsat.cnf,1,0,0.5034,0.003,0,0.8046,1.6665,1,0.9605,0.256,0.0308,0.0007,1.1037,0.746,0,2.6965,0.0213
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf,1,0.9694,0.7058,0.8742,1.7616,0.9219,0.0229,0.9694,0.9674,3.0694,0.0073,0.8568,8.8963,36.7272,0.0345,42.8065,0.1
./SAT11/crafted/skvortsov/battleship/battleship-14-27-sat.cnf,1,0.9261,0.9261,0.8577,1.6999,0.9182,0,0.9261,0.9355,0,0.0102,0.8577,1.4099,3.109,0,2.3693,0.0714
./SAT03/handmade/anton/UNSAT/SGI_30_70_22_70_7-dir.shuffled-as.sat03-154.cnf,1,0.9718,0.7131,0.8749,1.8073,0.9163,0.0244,0.9718,0.9665,2.9916,0.007,0.8584,7.5683,41.3467,0.0345,7.7368,0.0909
./SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf,1,0,0.3636,0,0.101,0.9922,0,0.1818,0.9986,0,0.0606,0,1.0228,1.3984,0.375,2.2246,0.0556
./SAT03/handmade/bevan/cnf/marg3x3add8.shuffled-as.sat03-1449.cnf,1,0,0.2545,0,0.0958,0.9909,0,0,0.9976,0,0.1429,0,1,1.6543,0,1.1544,0.122
./SAT05/crafted/sorge05/QG7a/gensys-ukn003.shuffled-as.sat05-3843.cnf,1,0.07,0.1264,0.6665,0.3783,0.2322,0.2049,0.0891,0.5297,2.8294,0.0203,0.6068,53.4433,0.6316,0.0352,42.0563,0.0045
./SAT11/crafted/skvortsov/battleship/battleship-13-13-unsat.cnf,1,0.8571,0.8571,0.7233,1.0778,0.8087,0.0001,0.8571,0.849,0,0.0211,0.7233,13.3747,3.0163,0,13.9373,0.0769
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-6_2072.cnf,1,0,0.1004,0.3464,0.518,0.3934,0.4999,0.5344,0.4943,3.9749,0.0115,0.1484,87.2564,6.9805,0.5737,51.4167,0.0114
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p30-s48700942.cnf,1,0.9713,0.9713,0.8762,1.9806,0.8475,0.0215,0.9713,0.9517,3.2793,0.0045,0.8626,16.9612,43.9567,0.0329,198.04,0.0679
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_464.cnf,1,0.0027,0.08,0.6667,1.1402,0.6915,0.0956,0.92,0.8052,3.3542,0.026,0.6542,20.4194,25.4655,0,14.3355,0.0948
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p30-s19690873.cnf,1,0.979,0.979,0.8845,2.2519,0.8265,0.0405,0.979,0.9153,3.1954,0.0026,0.8507,616.4,70.3192,0.025,1299.6,0.0513
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,1,0.9697,0.7195,0.8797,1.8913,0.9096,0.0153,0.9697,0.9583,2.8961,0.0071,0.8699,6.7374,36.4543,0.0345,46.7563,0.1
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_99_u.cnf,1,0.0323,0.2961,0.0153,0.1205,0.2088,1.3477,0.147,0.5971,1.0783,0.0203,0.0047,8.6223,0.3286,1.1029,7.8195,0.0065
./SAT04/handmade/anton/l4k4/lksat-n900-m6174-k4-l4-s819398222.used-as.sat04-929.cnf,1,0.0017,0.3081,0.1122,0.0323,0.117,0.6484,0.0112,0.2724,3.137,0.0157,0.042,31.42,0.6928,0.0905,30.0438,0.0062
./SAT04/handmade/anton/l5k3/lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf,1,0.0049,0.4563,0.2029,0.1261,0.1234,0.5943,0.8865,0.4112,3.4019,0.0107,0.0861,19.4106,0.7915,0.2078,20.2231,0.0081
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p15-s2076598.cnf,1,0.9871,0.9871,0.8899,1.6828,0.9234,0.03,0.9871,0.9647,3.108,0.0071,0.8666,23.9741,26.3538,0.0481,18.4692,0.1
./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf,1,0.2396,0.5419,0.0083,0.571,0.1566,1.2881,0.8762,0.4333,1.2453,0.0159,0.0074,108.052,0.6973,1.5319,97.9036,0.0319
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-18_312.cnf,1,0,0.1007,0.6225,1.0008,0.7052,0.1208,0.8993,0.8053,2.9611,0.0196,0.6173,29.7086,17.2726,0,19.6965,0.0577
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v1375c111739g4.cnf,1,0.9349,0.9349,0.7983,1.4666,0.7565,0.0205,0.9349,0.9073,2.8313,0.0059,0.7881,56.4521,26.832,0.05,14.8376,0.0433
./SAT05/crafted/roussel05/visbmc-PHNF/phnf-size10-exclusive-philo.used-as.sat04-988.shuffled-as.sat05-4195.cnf,1,0.8588,0.6449,0.791,0.8257,0.0273,0.2687,0.8591,0.0871,4.2441,0.0013,0.4955,4568.5,25.6627,0.1326,5121,0.0006
./SAT04/handmade/kexu/frb-0.8/frb45-21-1.used-as.sat04-883.cnf,1,0.9348,0.9348,0.7971,1.4682,0.7478,0.0193,0.9348,0.9059,2.8156,0.0052,0.7876,28.7069,27.6208,0.05,87.0537,0.0433
./SAT11/crafted/skvortsov/battleship/battleship-11-21-sat.cnf,1,0.9052,0.9052,0.8288,1.4642,0.9074,0,0.9052,0.9245,0,0.0165,0.8287,1.5199,2.6288,0,2.4794,0.0909
./SAT05/crafted/sorge05/QG7a/gensys-brn002.shuffled-as.sat05-3935.cnf,1,0.0801,0.1178,0.6662,0.3821,0.2475,0.1904,0.0909,0.572,2.7621,0.0131,0.6447,47.0583,0.6482,0.0398,36.7216,0.0056
./SAT04/handmade/kexu/frb-0.8/frb59-26-2.used-as.sat04-892.cnf,1,0.9463,0.9463,0.824,1.6619,0.726,0.0212,0.9463,0.9286,2.8117,0.0035,0.8122,43.092,36.5561,0.04,30.5,0.0325
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes2.cnf,1,0.9552,0.9552,0.7988,1.8716,0.8016,0.0812,0.9552,0.9243,2.697,0.0021,0.7334,55,49.8732,0.0323,703.75,0.0258
./SAT11/crafted/spence/sgen/sgen3-n260-s62321009-sat.cnf,1,0.8333,0.6298,0.5832,0.4472,0.6511,0.0001,0.8333,0.8229,0,0.0096,0.5831,4.9794,1.0406,0,8.7583,0.0192
./SAT11/crafted/mosoi/289/289-sat-6x19.cnf,1,0.0323,0.7581,0.509,0.5928,0.9662,0.0001,0.0323,0.9973,0,0.0172,0.509,0.0007,6.6574,0.3333,0.0004,0.0351
./SAT11/crafted/skvortsov/automata-synchronization/rnd_100_28_u.cnf,1,0.272,0.6326,0.0979,1.0135,0.1085,0.8553,0.5824,0.5299,2.1674,0.2187,0.0409,18.511,1.5156,1.4943,16.2543,0.0253
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0,0.1925,0.0077,0.0467,0.5555,0.8514,0.0003,0.7388,1.0364,0.0294,0.0036,9.0018,1.3049,0,10.306,0.0294
./SAT11/crafted/skvortsov/battleship/battleship-16-31-sat.cnf,1,0.9356,0.9356,0.8716,1.8405,0.9239,0,0.9356,0.9393,0,0.0078,0.8716,3.0186,3.4461,0,3.6968,0.0625
./SAT11/crafted/mosoi/289/289-unsat-9x32.cnf,1,0.012,0.753,0.3985,0.5831,0.7197,0.001,0.012,0.813,0,0.0069,0.3984,48.0057,12.7416,0.3333,48.1882,0.0139
./SAT11/crafted/skvortsov/battleship/battleship-15-29-sat.cnf,1,0.9312,0.9312,0.865,1.7716,0.9209,0,0.9312,0.9367,0,0.0089,0.865,1.955,3.2788,0,2.8741,0.0667
./SAT11/crafted/spence/sgen/sgen3-n140-s18527668-sat.cnf,1,0.8333,0.6756,0.5831,0.4472,0.6989,0.0001,0.8333,0.8357,0,0.0179,0.5831,3.0262,1.1919,0,5.2772,0.0357
./SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0.8333,0.6117,0.5832,0.4472,0.6645,0.0001,0.8333,0.8368,0,0.0114,0.5831,4.3764,1.0796,0,7.6201,0.0227
./SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0.0698,0.7674,0.619,0.6106,0.9992,0,0.0698,0.9999,0,0.0353,0.619,0,3.8406,0.3333,0,0.0741
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1327.5-n60-p15-s1351253.cnf,1,0.9798,0.9798,0.9857,2.6652,0.879,0.0687,0.9798,0.9283,3.4131,0.0012,0.9684,88.3333,109.81,0.0179,46903.8,0.0363
./SAT11/crafted/mosoi/289/289-unsat-17x27.cnf,1,0.0072,0.7518,0.3304,0.5808,0.6172,0.1569,0.0072,0.6698,0,0.0043,0.318,228.306,17.0365,0.3333,227.9,0.0087
./SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.1019,0.1419,0.6105,0.4536,0.4355,0.232,0.1759,0.8731,2.6907,0.7095,0.5112,14.9506,1.0203,0.0807,7.6118,0.0129
./SAT11/crafted/skvortsov/battleship/battleship-10-18-sat.cnf,1,0.8901,0.8901,0.8154,1.3315,0.8977,0,0.8901,0.9216,0,0.0209,0.8154,0.9264,2.4348,0,1.9359,0.1
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1150c84314gyes1.cnf,1,0.9349,0.9349,0.7982,1.4631,0.7691,0.0195,0.9349,0.9403,2.9075,0.0057,0.7887,27.0723,26.8379,0.05,14.6154,0.0433
