@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC

@DATA
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.0038,0.0129,0.0108,0.0119,0.4809,0.2259,0.1476,0.9558,0.0002,0.5907,0.4533,0,0.0232,0.2326,0,0,0,0,0.8788,0.9849,0.9876,1880000,2.8077,0.8469,1.2403,0.2462,24356,1880000,7,0.9636,0.9997,0,0.9935,0.3127,0.0001,0.9766,94,1.211,0.1986,0.9987,0.0022,0,11605,11627,0,11627,0.0001,0.9732,0.9396,0,0,0.4518,0.0008,5,64392,0,5.4615,0,0.0001,0.0001,5747.5,0,5747.5,0
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.0378,0.2306,0.0835,0.1147,0.7327,0.3832,0.6244,0.3674,0.0269,0.3002,0.163,3953,0.1706,0.5906,3901,3962,3903.4,3873,0,0.1756,0.3438,1785,2.7448,0.073,0.7322,0.2966,420,1774,4,0.0623,0.841,0,0.5326,0.3827,0.0146,1,14.635,0.853,0.318,0.682,0.0005,0.0037,81,99,0.0062,90,0.0073,0.9662,0.2137,22.295,22.295,0.5531,0.0216,4,17.772,3962,4,0.0098,0.0074,0.0074,89.94,99,90,23.155
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.0001,0.0118,0.0001,0.0001,1.0093,0.0002,0.7112,0.0672,0,0.0398,0,4373,0.0002,0.6756,4162,4373,4134,4033,0,0.0284,0.061,15300,4.2485,0,0.3721,0,180,15300,2,0.0117,0.8647,0.1429,0.0998,0.1638,0.0117,0.1242,16.546,0.8671,0.6357,0.1367,0.0028,0,24,35,0,29,0.0389,0,0.033,51.943,51.943,0.7355,0.0001,2,16.568,4373,2,0.0374,0.0389,0.0389,29.71,35,29,52.702
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0,0.0112,0.0001,0.0001,0.9999,0.0001,0.7402,0.0547,0,0.0429,0,4516,0.0001,0.6794,4509,4588,4477.5,4406,0,0.0175,0.0483,5785,3.8384,0,0.3991,0,65,5785,2,0.0095,0.875,0.1429,0.0784,0.1388,0.0111,0.0825,8.0183,0.8868,0.6863,0.1044,0.001,0,8,14,0,11,0.1077,0,0.0269,23.922,23.922,0.7661,0,2,8.5152,4588,2,0.015,0.1077,0.1077,11.287,14,11,24.017
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0,0.0193,0.0523,0.0134,0.5625,1,0.232,0.9248,0.1111,5.6053,0.3769,0,0.2684,0.2924,0,0,0,0,0.9475,0.9906,0.9999,2320000,5.0256,2.5842,2.474,3.4014,49112,2300000,4,0.6866,1.0128,0,1,5.2206,0.0001,1,6992,1.0206,0.2162,1,0,0,0,0,0.0095,0,0,0.9567,0.5357,0,0,0.5808,0,3,10453,0,3.8333,0,0.0001,0.0001,0,0,0,0
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.0548,0.1601,0.0598,0.0697,1.2804,0.1012,1.3487,0.0997,0.082,0.5453,0.6155,1280,0.0698,0.842,955,1376,1017,838,0.0451,0.0061,0.0188,19785,1.2642,0.1406,0.2261,0.9218,3073,17733,8,0,0.7411,0,0.1343,0.908,0.0004,0.2727,190.56,0.6913,0.0498,0.3249,0,0,442,480,0.1157,459,0.0007,0.2051,0.0256,28.225,28.225,0.2876,0.043,5,110.62,1376,6.8981,0.2142,0.0013,0.0013,458.5,475,457,55.107
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.038,0.2316,0.0806,0.1097,0.6081,0.3342,0.6029,0.3713,0.0163,0.2856,0.0803,3961,0.1583,0.5782,3892,3976,3892.6,3880,0,0.1857,0.3631,2130,2.7035,0.0423,0.7194,0.28,500,2124,5,0.0793,0.839,0,0.5516,0.3978,0.012,0.68,18.099,0.8532,0.311,0.6943,0,0.0034,99,118,0.0028,108,0.0061,0.9849,0.2024,25.819,25.819,0.5476,0.0206,4,22.355,3976,4.0041,0.0154,0.0061,0.0061,108.18,118,108,25.998
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.3222,0.2629,0.3561,0.373,1.1977,0.3797,0,0,0.4262,0.1231,0.3326,3975,0.3786,0.8477,3858,4112,3820.3,3683,0,0,0,232,0.6066,0.0782,0.068,0.0799,87,232,5,0,0.7797,0,0,0.437,0.0246,0,1.0062,0.835,0.9971,0,0,0.3149,5,9,0,7,0.0492,0.1035,0,19.013,19.096,0.9995,0.3189,5,1.8726,4112,5,0.05,0.0639,0.0639,6.9261,9,7,19.236
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.0474,0.2337,0.0931,0.1247,0.711,0.7443,0.5775,0.3946,0.0253,0.2902,0.156,6,0.1765,0.5869,5,9,5.1825,3,0,0.2073,0.3874,126000,2.716,0.0635,0.6587,0.2938,30000,125000,6,0.0856,0.8508,0,0.5705,0.4017,0.0002,1,884.86,0.8525,0.2247,0.7073,0,0.0008,6302,6372,0.0064,6358,0.0001,0.9653,0.2294,31,49.5,0.2645,0.0279,5,961.5,18,5.6705,0.5479,0.0001,0.0001,6394,6376,6394,59.4
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.185,0.1636,0.1935,0.2006,1.0987,0.2198,0.0152,0.8139,0.1111,0,0.5281,4869,0.2009,1.0372,4868,4891,4837.7,4797,0.8121,0.806,0.8154,672,0,0.9538,0.0479,0.231,120,660,3,0.8041,0.995,0,0.8242,0.3559,0.071,0,2,0.9954,0.8708,0.8258,0.7776,0.1848,36,49,0.0182,43,0.0185,0.8121,0,29.059,29.059,0.9039,0.1848,3,2.0573,4891,3,0.0085,0.0333,0.0333,42.415,49,42,29.123
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.0015,0.05,0.0027,0.0034,0.835,0.0118,0.6848,0.1692,0,0.0977,0,48,0.0049,0.6497,41,54,42.594,36,0,0.0809,0.1523,20000,3.6579,0,0.626,0.082,1000,20000,3,0.0288,0.8452,0.2,0.2433,0.2305,0.0165,0.3556,44.849,0.8663,0.4764,0.3306,0.0001,0.0002,177,208,0,193,0.005,0,0.0803,46.089,50.038,0.5923,0.001,3,55.559,92,3,0.2182,0.005,0.005,190.57,205,191,54.667
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.024,0.1328,0.0786,0.1195,1.7619,0.443,0.4458,0.5643,4.8307,1.5143,1.6207,388,0.1472,0.7062,340,475,351.84,312,0.1229,0.4333,0.6206,388000,3.0647,0.385,0.8212,1.4341,131000,169000,9,0.1263,0.9099,0,0.7406,1.8133,0.0001,0.9487,971.67,0.9552,0.0333,0.8512,0,0,6085,6140,1.2922,6129,0.0001,0.4693,0.1711,9.0179,9.6053,0.1622,0.0006,7,991.75,479,7.4831,0.1916,0.0002,0.0002,4608.3,6180,6120,10.56
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0001,0.0118,0.0001,0.0001,1.0012,0.0002,0.7341,0.0634,0,0.0408,0,4388,0.0002,0.6787,4251,4388,4187.8,4080,0,0.0259,0.0525,13600,4.1944,0,0.3728,0,160,13600,2,0.0138,0.868,0.1429,0.0945,0.1466,0.0117,0.1172,15.019,0.8655,0.6389,0.1247,0,0,21,32,0,26,0.0437,0,0.0311,47.623,47.623,0.7369,0.0001,2,14.929,4388,2,0.0338,0.0437,0.0437,26.437,32,26,47.79
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.001,0.0469,0.0019,0.0023,0.8395,0.0121,0.641,0.1723,0,0.0957,0,4353,0.0037,0.6418,4187,4437,4221.6,4171,0,0.0748,0.1611,2769,3.5037,0,0.7725,0.0206,130,2769,3,0.0444,0.8585,0.2,0.255,0.2359,0.045,0.2889,9.8506,0.8672,0.5494,0.3286,0.0052,0.0004,21,31,0,26,0.0385,0,0.0821,27.587,27.587,0.6946,0.0006,2,10.746,4437,2.9922,0.0253,0.0385,0.0385,25.834,31,26,28.54
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.0461,0.2333,0.0919,0.1235,0.7277,0.6623,0.567,0.3949,0.0275,0.2902,0.1744,66,0.1768,0.5878,56,77,60.067,51,0,0.2133,0.385,16800,2.7168,0.0673,0.6517,0.2929,4000,16684,5,0.0937,0.8336,0,0.5699,0.3962,0.0016,1,76.719,0.846,0.2529,0.7044,0.0004,0.0033,819,879,0.007,852,0.0008,0.9595,0.2285,31.717,34.978,0.3529,0.0279,4,115.28,155,4.9984,0.2953,0.0008,0.0008,847.35,871,849,37.099
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.0164,0.1236,0.0721,0.1191,1.8652,0.435,0.4497,0.6164,5.5414,1.7985,1.7163,395,0.1481,0.7279,289,395,266.25,263,0.1298,0.5122,0.6814,1100000,2.9222,0.4106,0.8171,1.6184,369000,456000,10,0.1059,0.8952,0,0.8418,2.1584,0.0001,0.9699,2192.5,1.36,0.0328,0.9245,0,0,15450,15450,1.4117,15457,0,0.483,0.1969,11.225,11.225,0.1732,0.0009,7,11511,395,8.6176,0.3713,0.0001,0.0001,0,0,0,11.875
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.0018,0.1666,0.0151,0.0258,1.3599,0.2025,0.5844,0.5271,2.0774,0.5379,1.0226,75,0.032,1.0243,75,75,75,75,0.5776,0.2205,0.6352,856000,2.8292,0.4291,0.8788,0.5205,183000,358000,16,0.0552,1.0206,0,0.805,0.5231,0,0.8095,5612,1.3376,0.1311,0.8578,0,0,0,20149,1.3917,20149,0,0.8998,0.2452,2.0133,2.0133,0.661,0,14,16813,75,14.912,0,0,0,0,0,0,2.0133
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.0015,0.05,0.0028,0.0035,0.829,0.0202,0.6712,0.1715,0,0.0991,0,36,0.005,0.6514,31,42,31.832,27,0,0.0804,0.1532,25000,3.6843,0,0.6575,0.0864,1250,25000,3,0.0304,0.8375,0.2,0.2445,0.2278,0.0137,0.3265,56.758,0.8566,0.4732,0.3328,0.0001,0.0003,223,258,0,241,0.004,0,0.0815,47.333,54.559,0.583,0.001,3,67.736,59,3,0.2265,0.004,0.004,238.77,255,239,57.294
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0.031,0.0385,0.0312,0.0314,0,0.0319,0.0001,0.9305,0.037,0,0.0895,0,0.0316,0,0,0,0,0,0.9822,0.9304,0.9305,18954,0,2.3509,0.0094,0,728,18226,2,0.9303,0.9996,1,0.9306,0,0.0385,0.3421,0.2229,0.9987,1,0.9307,0.9302,0.0306,310,344,0.0399,326,0.0028,0.9822,0.3421,0,0,1,0.0308,2,4.0787,0,2,0,0.0042,0.0042,326.37,343,327,0
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.0418,0.232,0.084,0.1085,0.6795,0.2657,0.5749,0.378,0.0174,0.2831,0.1406,4036,0.1641,0.5772,3975,4090,3970.6,3908,0,0.2096,0.3795,1491,2.6435,0.0578,0.6645,0.2766,350,1483,4,0.0894,0.8459,0,0.5321,0.3916,0.0171,0.7647,11.75,0.8618,0.3376,0.6861,0.0004,0.0064,68,84,0.0054,76,0.0087,0.9683,0.2207,20.862,20.862,0.5959,0.0264,4,14.306,4090,4,0.0172,0.0088,0.0088,76.013,84,76,21.113
