@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE mean_degree NUMERIC

@DATA
4-fullins-5-8.xml.watchless.minion.gz,1,0.27407,136,0.00603,0.007477,37.291365,37.291365
4-insertions-3-3.xml.watchless.minion.gz,1,0.450984,324,0.037975,0.050633,3.949367,3.949367
4-insertions-3-4.xml.watchless.minion.gz,1,0.450984,263,0.037975,0.050633,3.949367,3.949367
4-insertions-4-3.xml.watchless.minion.gz,1,0.331519,324,0.010526,0.016842,7.557895,7.557895
4-insertions-4-4.xml.watchless.minion.gz,1,0.331519,263,0.010526,0.016842,7.557895,7.557895
4-insertions-4-5.xml.watchless.minion.gz,1,0.331519,184,0.010526,0.016842,7.557895,7.557895
5-fullins-3-6.xml.watchless.minion.gz,1,0.274114,169,0.051948,0.045455,10.285714,10.285714
5-fullins-3-7.xml.watchless.minion.gz,1,0.274114,154,0.051948,0.045455,10.285714,10.285714
5-fullins-3-8.xml.watchless.minion.gz,1,0.274114,136,0.051948,0.045455,10.285714,10.285714
5-fullins-4-6.xml.watchless.minion.gz,1,0.158896,169,0.013825,0.013825,21.004608,21.004608
5-fullins-4-7.xml.watchless.minion.gz,1,0.158896,154,0.013825,0.013825,21.004608,21.004608
5-fullins-4-8.xml.watchless.minion.gz,1,0.158896,136,0.013825,0.013825,21.004608,21.004608
5-fullins-4-9.xml.watchless.minion.gz,1,0.158896,96,0.013825,0.013825,21.004608,21.004608
abb313GPIA-10.xml.watchless.minion.gz,1,1.089224,104,0.043674,0.041105,83.994862,68.53693
abb313GPIA-5.xml.watchless.minion.gz,1,1.089224,184,0.043674,0.041105,83.994862,68.53693
abb313GPIA-7.xml.watchless.minion.gz,1,1.089224,154,0.043674,0.041105,83.994862,68.53693
abb313GPIA-8.xml.watchless.minion.gz,1,1.089224,136,0.043674,0.041105,83.994862,68.53693
abb313GPIA-9.xml.watchless.minion.gz,1,1.089224,96,0.043674,0.041105,83.994862,68.53693
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.796046,136,0.05,0.07,4.61,7.12
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.795805,128,0.05,0.07,4.67,7.1
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.795776,128,0.05,0.07,4.68,7.34
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.795656,128,0.05,0.07,4.71,7.26
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.795656,136,0.06,0.08,4.71,8.2
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.796552,136,0.05,0.08,4.48,7.8
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.796287,136,0.05,0.08,4.55,7.96
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.79571,136,0.06,0.08,4.69,8.12
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.791291,128,0.07,0.09,5.81,8.96
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.790977,136,0.07,0.09,5.89,9.28
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.791635,136,0.06,0.09,5.72,8.9
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.79115,136,0.07,0.09,5.85,9.22
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.791037,136,0.07,0.105,5.88,10.34
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.791492,136,0.07,0.1,5.76,10.14
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.791431,136,0.08,0.1,5.77,9.88
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.791607,136,0.07,0.1,5.73,9.98
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.780003,136,0.11,0.15,9.59,14.94
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.780308,136,0.12,0.15,9.45,15
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.780538,136,0.11,0.15,9.36,14.76
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.780208,136,0.12,0.15,9.5,14.9
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.769331,136,0.2,0.24,16.74,24.14
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.769318,136,0.19,0.24,16.76,23.98
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.769267,136,0.2,0.25,16.81,24.66
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.769022,136,0.2,0.24,17.06,24.1
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.795331,128,0.025,0.035,4.72,7.4
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.795271,136,0.025,0.035,4.735,7.39
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.79557,136,0.025,0.035,4.66,7.36
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.795191,136,0.025,0.035,4.75,7.39
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.795749,136,0.03,0.04,4.615,8.36
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.796105,136,0.03,0.04,4.525,8.38
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.795703,136,0.025,0.04,4.625,8.07
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.795257,128,0.03,0.04,4.74,8.49
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.791154,136,0.035,0.045,5.785,9.26
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.791381,128,0.035,0.045,5.725,9.25
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.791097,136,0.03,0.045,5.8,9.25
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.790997,136,0.035,0.045,5.825,9.26
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.790984,136,0.035,0.055,5.83,10.36
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.791324,136,0.04,0.05,5.74,10.28
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.791054,136,0.04,0.05,5.81,10.32
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.790842,136,0.04,0.055,5.865,10.44
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.779643,136,0.06,0.075,9.68,15.5
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.779963,136,0.06,0.075,9.54,15.32
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.77981,136,0.06,0.075,9.605,15.4
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.779743,136,0.06,0.075,9.635,15.37
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.768757,136,0.12,0.1525,17.24,30.3
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.768523,136,0.12,0.155,17.5,30.54
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.768748,136,0.125,0.155,17.255,30.48
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.768699,136,0.12,0.155,17.305,30.3
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.79658,136,0.1,0.14,4.62,7.08
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.796826,136,0.1,0.14,4.56,7.08
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.796433,136,0.1,0.14,4.64,7
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.796679,145,0.1,0.14,4.58,6.88
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.798562,136,0.1,0.14,4.12,6.96
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.79658,136,0.1,0.16,4.62,7.6
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.798329,136,0.1,0.14,4.18,7
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.796826,136,0.1,0.14,4.56,7.72
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.792436,128,0.12,0.18,5.64,8.72
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.792021,136,0.14,0.18,5.74,8.6
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.791967,128,0.14,0.18,5.76,8.8
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.79249,136,0.12,0.16,5.62,8.16
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.791735,128,0.16,0.2,5.82,9.88
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.792436,136,0.14,0.2,5.64,9.6
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.79291,136,0.14,0.18,5.52,9.32
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.792302,136,0.14,0.2,5.66,9.32
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.780861,136,0.24,0.28,9.36,14.04
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.780167,136,0.22,0.28,9.66,14.16
aim-50-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.780167,128,0.22,0.28,9.66,14.32
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.780504,136,0.22,0.26,9.5,13.6
aim-50-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.768922,136,0.36,0.44,17.38,22.24
aim-50-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.769284,136,0.34,0.44,16.98,21.6
aim-50-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.770237,136,0.34,0.42,16.04,20.96
aim-50-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.769912,136,0.36,0.44,16.36,21.64
ash331GPIA-3.xml.watchless.minion.gz,1,0.236166,324,0.018127,0.019637,12.643505,12.63142
ash331GPIA-4.xml.watchless.minion.gz,1,0.236166,263,0.018127,0.019637,12.643505,12.63142
ash608GPIA-3.xml.watchless.minion.gz,1,0.232574,324,0.009868,0.010691,12.901316,12.901316
ash608GPIA-4.xml.watchless.minion.gz,1,0.232574,263,0.009868,0.010691,12.901316,12.901316
ash958GPIA-3.xml.watchless.minion.gz,1,0.230512,324,0.006785,0.006785,13.05428,13.05428
ash958GPIA-4.xml.watchless.minion.gz,1,0.230512,263,0.006785,0.006785,13.05428,13.05428
bf-0432-007_ext.xml.minion.converted.minion.gz,1,0.839212,260,0.006186,0.006186,4.782474,5.826804
bf-1355-075_ext.xml.minion.converted.minion.gz,1,0.816032,250,0.0044,0.00165,3.026403,4.045105
bf-1355-638_ext.xml.minion.converted.minion.gz,1,0.773016,253,0.007519,0.003759,1.503759,2.357143
bf-2670-001_ext.xml.minion.converted.minion.gz,1,0.861272,487,0.003215,0.001608,2.471865,2.758842
BlackHole-4-13-e-0_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808,0.129808,40.543269,40.538462
BlackHole-4-13-e-1_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808,0.129808,40.543269,40.538462
BlackHole-4-13-e-2_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808,0.129808,40.543269,40.538462
BlackHole-4-13-e-3_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808,0.129808,40.543269,40.538462
BlackHole-4-13-m-0_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808,0.129808,40.543269,40.538462
BlackHole-4-13-m-1_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808,0.129808,40.543269,40.538462
BlackHole-4-13-m-2_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808,0.129808,40.543269,40.538462
BlackHole-4-4-e-0_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-0_ext.xml.minion.conv.minion,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-1_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-1_ext.xml.minion.conv.minion,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-2_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-2_ext.xml.minion.conv.minion,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-3_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-3_ext.xml.minion.conv.minion,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-4_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-4_ext.xml.minion.conv.minion,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-5_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-5_ext.xml.minion.conv.minion,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-6_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-6_ext.xml.minion.conv.minion,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-7_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-7_ext.xml.minion.conv.minion,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-8_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-8_ext.xml.minion.conv.minion,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-9_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-4-e-9_ext.xml.minion.conv.minion,1,0.765547,119,0.265625,0.140625,13.453125,13.4375
BlackHole-4-7-e-0_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-e-1_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-e-2_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-e-3_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-e-4_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-e-5_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-e-6_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-e-7_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-e-8_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-e-9_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-h-0_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-h-1_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-h-2_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-h-3_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-h-4_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-h-5_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-h-6_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-h-7_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-h-8_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
BlackHole-4-7-h-9_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929,0.133929,22.508929,22.5
bqwh-15-106-0_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-10_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-11_ext.xml.minion.converted.minion.gz,1,0.813791,105,0.084906,0.113208,15.924528,11.433962
bqwh-15-106-11_glb.xml.minion.conv.minion,1,0.468439,145,0.113208,0.113208,6.490566,12.150943
bqwh-15-106-13_ext.xml.minion.converted.minion.gz,1,0.816022,96,0.075472,0.103774,16.169811,10.849057
bqwh-15-106-13_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-14_glb.xml.minion.conv.minion,1,0.44468,135,0.103774,0.113208,6.886792,12.169811
bqwh-15-106-15_ext.xml.minion.converted.minion.gz,1,0.81385,88,0.075472,0.113208,17.433962,11.132075
bqwh-15-106-15_glb.xml.minion.conv.minion,1,0.376238,104,0.113208,0.113208,8.301887,12.150943
bqwh-15-106-17_ext.xml.minion.converted.minion.gz,1,0.813643,83,0.075472,0.113208,17.575472,11.207547
bqwh-15-106-18_glb.xml.minion.conv.minion,1,0.419818,116,0.113208,0.113208,7.349057,12.150943
bqwh-15-106-19_ext.xml.minion.converted.minion.gz,1,0.812998,87,0.075472,0.103774,17.575472,10.962264
bqwh-15-106-19_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-1_ext.xml.minion.converted.minion.gz,1,0.812797,89,0.075472,0.103774,17.471698,10.886792
bqwh-15-106-1_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-20_glb.xml.minion.conv.minion,1,0.385393,109,0.113208,0.113208,8.084906,12.150943
bqwh-15-106-21_ext.xml.minion.converted.minion.gz,1,0.815304,98,0.075472,0.103774,16.330189,10.622642
bqwh-15-106-21_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-22_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-23_ext.xml.minion.converted.minion.gz,1,0.815014,96,0.075472,0.103774,16.726415,10.90566
bqwh-15-106-23_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-24_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-25_ext.xml.minion.converted.minion.gz,1,0.814489,88,0.084906,0.108491,17.273585,11.226415
bqwh-15-106-25_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-26_glb.xml.minion.conv.minion,1,0.37128,106,0.113208,0.113208,8.424528,12.150943
bqwh-15-106-27_ext.xml.minion.converted.minion.gz,1,0.814425,90,0.075472,0.103774,17.018868,10.830189
bqwh-15-106-28_glb.xml.minion.conv.minion,1,0.378533,105,0.113208,0.113208,8.245283,12.150943
bqwh-15-106-29_ext.xml.minion.converted.minion.gz,1,0.815775,96,0.075472,0.113208,16.575472,11.056604
bqwh-15-106-29_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-2_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-30_glb.xml.minion.conv.minion,1,0.346085,97,0.113208,0.113208,9.09434,12.150943
bqwh-15-106-31_ext.xml.minion.converted.minion.gz,1,0.815127,88,0.075472,0.113208,17.141509,11.358491
bqwh-15-106-31_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-32_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-33_ext.xml.minion.converted.minion.gz,1,0.815699,96,0.075472,0.103774,16.575472,10.943396
bqwh-15-106-33_glb.xml.minion.conv.minion,1,?,?,?,?,?,?
bqwh-15-106-34_glb.xml.minion.conv.minion,1,0.378161,105,0.113208,0.113208,8.254717,12.150943
