@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC

@DATA
abb313GPIA-10.xml.watchless.minion.gz,1,1.089224,104,0.043674,0.041105,83.994862,68.53693,0,104,0.076429,10,1557,104,1557,1557,0.440231,10
abb313GPIA-5.xml.watchless.minion.gz,1,1.089224,184,0.043674,0.041105,83.994862,68.53693,0,184,0.076429,5,1557,184,1557,1557,0.440231,5
abb313GPIA-7.xml.watchless.minion.gz,1,1.089224,154,0.043674,0.041105,83.994862,68.53693,0,154,0.076429,7,1557,154,1557,1557,0.440231,7
abb313GPIA-8.xml.watchless.minion.gz,1,1.089224,136,0.043674,0.041105,83.994862,68.53693,0,136,0.076429,8,1557,136,1557,1557,0.440231,8
abb313GPIA-9.xml.watchless.minion.gz,1,1.089224,96,0.043674,0.041105,83.994862,68.53693,0,96,0.076429,9,1557,96,1557,1557,0.440231,9
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.796046,136,0.05,0.07,4.61,7.12,154,131.24026,0.11,2,100,121,100,100,0.300758,2
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.795805,128,0.05,0.07,4.67,7.1,156,127.647436,0.09,2,100,114,100,100,0.291397,2
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.795776,128,0.05,0.07,4.68,7.34,156,126.884615,0.09,2,100,114,100,100,0.292261,2
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.795656,128,0.05,0.07,4.71,7.26,157,125.949045,0.11,2,100,114,100,100,0.283001,2
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.795656,136,0.06,0.08,4.71,8.2,157,127.726115,0.13,2,100,114,100,100,0.256906,2
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.796552,136,0.05,0.08,4.48,7.8,150,136.14,0.13,2,100,121,100,100,0.244708,2
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.796287,136,0.05,0.08,4.55,7.96,152,130.105263,0.1,2,100,121,100,100,0.262989,2
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.79571,136,0.06,0.08,4.69,8.12,157,130.146497,0.12,2,100,121,100,100,0.233664,2
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.791291,128,0.07,0.09,5.81,8.96,194,127.85567,0.11,2,100,121,100,100,0.256198,2
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.790977,136,0.07,0.09,5.89,9.28,197,129.040609,0.12,2,100,121,100,100,0.266276,2
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.791635,136,0.06,0.09,5.72,8.9,191,132.303665,0.1,2,100,121,100,100,0.240865,2
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.79115,136,0.07,0.09,5.85,9.22,195,127.6,0.12,2,100,121,100,100,0.266799,2
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.791037,136,0.07,0.105,5.88,10.34,196,128.943878,0.12,2,100,121,100,100,0.203524,2
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.791492,136,0.07,0.1,5.76,10.14,192,128.71875,0.11,2,100,114,100,100,0.210251,2
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.791431,136,0.08,0.1,5.77,9.88,193,128.911917,0.12,2,100,114,100,100,0.213915,2
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.791607,136,0.07,0.1,5.73,9.98,191,130.308901,0.11,2,100,114,100,100,0.208253,2
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.780003,136,0.11,0.15,9.59,14.94,320,132.43125,0.17,2,100,121,100,100,0.223638,2
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.780308,136,0.12,0.15,9.45,15,316,136.14557,0.18,2,100,121,100,100,0.22448,2
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.780538,136,0.11,0.15,9.36,14.76,312,135.653846,0.18,2,100,114,100,100,0.229624,2
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.780208,136,0.12,0.15,9.5,14.9,317,133.725552,0.17,2,100,114,100,100,0.224893,2
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.769331,136,0.2,0.24,16.74,24.14,559,135.445438,0.26,2,100,121,100,100,0.276498,2
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.769318,136,0.19,0.24,16.76,23.98,559,134.50805,0.25,2,100,121,100,100,0.275169,2
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.769267,136,0.2,0.25,16.81,24.66,561,133.966132,0.28,2,100,121,100,100,0.270754,2
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.769022,136,0.2,0.24,17.06,24.1,570,132.085965,0.26,2,100,121,100,100,0.271467,2
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.795331,128,0.025,0.035,4.72,7.4,315,126.387302,0.055,2,200,121,200,200,0.265766,2
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.795271,136,0.025,0.035,4.735,7.39,316,126.990506,0.065,2,200,114,200,200,0.274864,2
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.79557,136,0.025,0.035,4.66,7.36,311,128.553055,0.055,2,200,121,200,200,0.264593,2
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.795191,136,0.025,0.035,4.75,7.39,318,127.578616,0.06,2,200,121,200,200,0.270617,2
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.795749,136,0.03,0.04,4.615,8.36,308,129.62987,0.055,2,200,114,200,200,0.203094,2
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.796105,136,0.03,0.04,4.525,8.38,302,131.463576,0.085,2,200,121,200,200,0.207924,2
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.795703,136,0.025,0.04,4.625,8.07,309,130.414239,0.06,2,200,121,200,200,0.224664,2
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.795257,128,0.03,0.04,4.74,8.49,316,125.993671,0.06,2,200,114,200,200,0.213373,2
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.791154,136,0.035,0.045,5.785,9.26,386,128.178756,0.055,2,200,121,200,200,0.221781,2
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.791381,128,0.035,0.045,5.725,9.25,382,129.712042,0.055,2,200,121,200,200,0.222263,2
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.791097,136,0.03,0.045,5.8,9.25,387,128.891473,0.055,2,200,121,200,200,0.223516,2
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.790997,136,0.035,0.045,5.825,9.26,389,128.282776,0.06,2,200,121,200,200,0.220676,2
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.790984,136,0.035,0.055,5.83,10.36,389,128.323907,0.06,2,200,121,200,200,0.175146,2
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.791324,136,0.04,0.05,5.74,10.28,383,130.506527,0.06,2,200,114,200,200,0.168009,2
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.791054,136,0.04,0.05,5.81,10.32,388,130.451031,0.06,2,200,121,200,200,0.170337,2
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.790842,136,0.04,0.055,5.865,10.44,392,128.561224,0.06,2,200,121,200,200,0.170823,2
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.779643,136,0.06,0.075,9.68,15.5,646,131.900929,0.095,2,200,121,200,200,0.164085,2
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.779963,136,0.06,0.075,9.54,15.32,636,133.382075,0.09,2,200,121,200,200,0.163052,2
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.77981,136,0.06,0.075,9.605,15.4,641,132.792512,0.085,2,200,121,200,200,0.166277,2
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.779743,136,0.06,0.075,9.635,15.37,643,131.953344,0.095,2,200,121,200,200,0.16644,2
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.768757,136,0.12,0.1525,17.24,30.3,1152,128.321181,0.165,2,200,114,200,200,0.172551,2
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.768523,136,0.12,0.155,17.5,30.54,1169,128.079555,0.16,2,200,121,200,200,0.175753,2
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.768748,136,0.125,0.155,17.255,30.48,1152,128.948785,0.165,2,200,114,200,200,0.172687,2
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.768699,136,0.12,0.155,17.305,30.3,1156,128.551038,0.16,2,200,121,200,200,0.176531,2
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.79658,136,0.1,0.14,4.62,7.08,77,128.766234,0.2,2,50,114,50,50,0.337595,2
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.796826,136,0.1,0.14,4.56,7.08,76,130.631579,0.14,2,50,121,50,50,0.33219,2
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.796433,136,0.1,0.14,4.64,7,78,133.833333,0.18,2,50,121,50,50,0.312619,2
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.796679,145,0.1,0.14,4.58,6.88,77,133.701299,0.16,2,50,121,50,50,0.325632,2
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.798562,136,0.1,0.14,4.12,6.96,69,138.681159,0.16,2,50,114,50,50,0.329455,2
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.79658,136,0.1,0.16,4.62,7.6,77,130.441558,0.2,2,50,121,50,50,0.328612,2
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.798329,136,0.1,0.14,4.18,7,70,144.714286,0.22,2,50,121,50,50,0.307429,2
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.796826,136,0.1,0.14,4.56,7.72,76,132.526316,0.22,2,50,121,50,50,0.305962,2
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.792436,128,0.12,0.18,5.64,8.72,94,130.744681,0.22,2,50,121,50,50,0.299101,2
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.792021,136,0.14,0.18,5.74,8.6,96,130.854167,0.18,2,50,114,50,50,0.303186,2
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.791967,128,0.14,0.18,5.76,8.8,96,129.104167,0.18,2,50,121,50,50,0.308798,2
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.79249,136,0.12,0.16,5.62,8.16,94,134.297872,0.18,2,50,121,50,50,0.292651,2
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.791735,128,0.16,0.2,5.82,9.88,97,127.639175,0.22,2,50,114,50,50,0.266245,2
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.792436,136,0.14,0.2,5.64,9.6,94,132.202128,0.22,2,50,114,50,50,0.291019,2
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.79291,136,0.14,0.18,5.52,9.32,92,134.902174,0.22,2,50,121,50,50,0.254244,2
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.792302,136,0.14,0.2,5.66,9.32,95,131.578947,0.2,2,50,121,50,50,0.284263,2
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.780861,136,0.24,0.28,9.36,14.04,156,136.141026,0.3,2,50,121,50,50,0.344264,2
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.780167,136,0.22,0.28,9.66,14.16,161,133.881988,0.34,2,50,121,50,50,0.343478,2
aim-50-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.780167,128,0.22,0.28,9.66,14.32,161,130.869565,0.32,2,50,114,50,50,0.316866,2
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.780504,136,0.22,0.26,9.5,13.6,159,134.855346,0.3,2,50,121,50,50,0.335023,2
aim-50-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.768922,136,0.36,0.44,17.38,22.24,290,129.013793,0.46,2,50,114,50,50,0.466783,2
aim-50-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.769284,136,0.34,0.44,16.98,21.6,284,133.098592,0.48,2,50,121,50,50,0.451878,2
aim-50-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.770237,136,0.34,0.42,16.04,20.96,268,139.238806,0.44,2,50,121,50,50,0.430054,2
aim-50-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.769912,136,0.36,0.44,16.36,21.64,273,137.996337,0.46,2,50,121,50,50,0.453989,2
ash331GPIA-3.xml.watchless.minion.gz,1,0.236166,324,0.018127,0.019637,12.643505,12.63142,0,324,0.022659,3,662,324,662,662,0.040998,3
ash331GPIA-4.xml.watchless.minion.gz,1,0.236166,263,0.018127,0.019637,12.643505,12.63142,0,263,0.022659,4,662,263,662,662,0.040998,4
ash608GPIA-3.xml.watchless.minion.gz,1,0.232574,324,0.009868,0.010691,12.901316,12.901316,0,324,0.009868,3,1216,324,1216,1216,0.036705,3
ash608GPIA-4.xml.watchless.minion.gz,1,0.232574,263,0.009868,0.010691,12.901316,12.901316,0,263,0.009868,4,1216,263,1216,1216,0.036705,4
ash958GPIA-3.xml.watchless.minion.gz,1,0.230512,324,0.006785,0.006785,13.05428,13.05428,0,324,0.007829,3,1916,324,1916,1916,0.037053,3
ash958GPIA-4.xml.watchless.minion.gz,1,0.230512,263,0.006785,0.006785,13.05428,13.05428,0,263,0.007829,4,1916,263,1916,1916,0.037053,4
bf-0432-007_ext.xml.minion.converted.minion.gz,1,0.839212,260,0.006186,0.006186,4.782474,5.826804,1942,266.301081,0.01134,2,970,237,970,970,0.290862,1
bf-1355-075_ext.xml.minion.converted.minion.gz,1,0.816032,250,0.0044,0.00165,3.026403,4.045105,2047,182.930698,0.006051,2,1818,121,1818,1818,0.566259,1
