@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC

@DATA
aim-50-2_0-yes1-3-90-shuffled,1,0.362981,80
aim-50-3_4-yes1-2-90-shuffled,1,0.366522,114
aim-50-3_4-yes1-3-90-shuffled,1,0.363506,115
aim-50-6_0-yes1-3-50-shuffled,1,0.358974,193.5
aim-50-6_0-yes1-4-90-shuffled,1,0.371594,179
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.090828,589
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.12517,1185.666667
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7543
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.049117,155.347826
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.018382,41.97561
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.050611,67.024691
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.046998,40.86
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.049839,201.317241
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.049241,89.69863
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.054378,152.424893
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.04504,41.807339
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.016249,55.242424
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.045244,133.680412
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.029851,34.254237
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.049673,90.753425
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.055938,127.452632
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.037623,25.137931
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057064,142.669565
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.073596,652
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.05735,59.561798
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.053099,189.246753
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.050238,37.576271
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.061688,70.040816
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.054383,37.767857
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064824,69.247312
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.06941,120.185185
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.070741,154.892183
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057153,147.007782
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.045529,20.06422
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.055619,34.067485
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.066565,141.184805
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.115635,1513.166667
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7183
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.021311,38.302326
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.072795,138.389474
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.053165,45.268657
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.015498,57.413793
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064094,68.761364
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.059011,35.678899
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.053035,16.878261
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.067691,28.069767
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.151751,2118.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.037722,62.346939
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.050159,123.907216
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.052765,167.403101
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.059641,172.669291
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.051531,61.677686
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.05711,121.985782
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.064395,55.043011
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.085862,133.822511
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.060657,51.866242
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.068674,101.072993
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.069886,117.888179
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.070803,134.795455
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.071521,151.767263
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.04318,22.413333
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.059374,34.571429
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.075033,94.138462
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.058414,32.3875
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,0.067441,82.009404
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,0.133358,2735.666667
BLOCKS3i.5.3-shuffled,1,0.049447,141
BLOCKS3ii.5.2-shuffled,1,0.052826,139
BLOCKS3iii.5-shuffled,1,0.077929,126
BLOCKS4ii.7.2-shuffled,1,0.117033,454
BLOCKS4iii.7-shuffled,1,0.155799,424
blocks_enc_2_b3_ser--opt-9_-shuffled,1,0.074396,222
blocks_enc_2_b4_ser--opt-26_-shuffled,1,0.103973,1518
c1_BMC_p1_k2048-shuffled,1,0.033579,1101387
c1_BMC_p2_k1024-shuffled,1,0.066083,556139
c1_BMC_p2_k128-shuffled,1,0.431892,79047
c1_BMC_p2_k8-shuffled,1,0.783066,14328
c2_Debug_s5_f1_e1_v3-shuffled,1,2.874489,21446
c3_BMC_p1_k256-shuffled,1,0.323326,24963.5
c3_BMC_p2_k1024-shuffled,1,0.091591,92043.5
c3_BMC_p2_k2048-shuffled,1,0.046834,181483.5
c3_BMC_p2_k512-shuffled,1,0.175399,47323.5
c3_Debug_s3_f2_e2_v2-shuffled,1,0.007205,289060.5
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.015983,278
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.015961,278.5
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.001289,296
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.001288,296.5
C499.blif_0.10_0.20_0_0_inp_exact,1,0.015643,89.4
C499.blif_0.10_0.20_0_0_out_exact,1,0.013372,413
C499.blif_0.10_0.20_0_1_out_exact,1,0.013372,413
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.001547,446
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.001552,444
c4_BMC_p1_k1024-shuffled,1,0.071273,8390
c4_BMC_p1_k2048-shuffled,1,0.036263,16614
c4_BMC_p1_k512-shuffled,1,0.137783,4278
c4_BMC_p2_k2048-shuffled,1,0.036263,16614
c4_Debug_s3_f1_e1_v3-shuffled,1,5.989524,25156.5
c4_Debug_s3_f1_e2_v3-shuffled,1,5.989524,25156.5
c4_Debug_s3_f2_e1_v3-shuffled,1,0.078323,27181.5
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.028519,337.5
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.027762,2614.5
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,0.028515,337.5625
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.027758,2615
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.000131,2802.5
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.000131,2801.5
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.000131,2802.5
c5_BMC_p1_k32-shuffled,1,0.664117,16467.5
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.006184,2285
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.003172,2337
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.003171,2337.5
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.003203,2310.5
c6_BMC_p1_k1024-shuffled,1,0.031982,67844
c6_BMC_p1_k256-shuffled,1,0.122244,17468
c6_BMC_p2_k128-shuffled,1,0.230815,9072
c6_BMC_p2_k2048-shuffled,1,0.016116,135012
c6_BMC_p2_k64-shuffled,1,0.415195,4874
C880.blif_0.10_0.20_0_0_inp_exact,1,0.010212,93.636364
C880.blif_0.10_0.20_0_0_out_exact,1,0.008857,479.5
C880.blif_0.10_0.20_0_1_inp_exact,1,0.010212,93.636364
C880.blif_0.10_0.20_0_1_out_exact,1,0.008857,479.5
C880.blif_0.10_1.00_0_0_inp_exact,1,0.009195,504.5
C880.blif_0.10_1.00_0_0_out_exact,1,0.009419,490
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.009419,490
CHAIN23v.24-shuffled,1,0.004679,1633.5
cmu.dme1.B-f2,1,0.160359,469
cmu.dme1.B-f3,1,0.114317,816.5
cmu.dme1.B-f4-shuffled,1,0.092999,1209
cmu.dme2.B-f2,1,0.140765,601.5
cmu.periodic.N-d2-shuffled,1,0.088237,2475
cmu.periodic.N-d4-shuffled,1,0.108695,5629
cmu.periodic.N-f4-shuffled,1,0.109459,6009
comp.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.01083,76.5
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.001188,152.5
connect_5x4_3_R-shuffled,1,0.045291,453.090909
connect_5x4_4_W-shuffled,1,0.055098,391.272727
connect_6x5_4_D-shuffled,1,0.046359,617.875
connect_6x5_5_R-shuffled,1,0.055915,546.625
connect_7x6_4_R-shuffled,1,0.041609,900.954545
connect_7x6_6_W-shuffled,1,0.057258,725.318182
connect_8x7_3_D-shuffled,1,0.036135,1375.586207
connect_8x7_7_D-shuffled,1,0.057716,927.586207
connect_9x8_3_R-shuffled,1,0.03483,1795.72973
connect_9x8_6_D-shuffled,1,0.042567,1363.72973
connect_9x8_8_D-shuffled,1,0.058431,1153.567568
Core1108_tbm_02.tex.moduleQ3.2S.000007,1,0.30233,143.1
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,0.300926,142.6
Core1108_tbm_02.tex.moduleQ3.2S.000026,1,0.304902,145.1
Core1108_tbm_02.tex.moduleQ3.2S.000056,1,0.300623,142.6
Core1108_tbm_02.tex.moduleQ3.2S.000077,1,0.30233,143.1
Core1108_tbm_02.tex.moduleQ3.2S.000095,1,0.303121,144.1
Core1108_tbm_02.tex.moduleQ3.2S.000098,1,0.304513,144.6
Core1108_tbm_02.tex.moduleQ3.2S.000099,1,0.302423,143.6
Core1108_tbm_02.tex.moduleQ3.2S.000108,1,0.302423,143.6
Core1108_tbm_03.tex.module.000003,1,0.441907,67.3
Core1108_tbm_03.tex.module.000019,1,0.425532,61.3
Core1108_tbm_03.tex.module.000021,1,0.432341,61.3
Core1108_tbm_03.tex.module.000023,1,0.433931,61.3
Core1108_tbm_03.tex.module.000031,1,0.434662,62.3
Core1108_tbm_03.tex.module.000034,1,0.43089,61.8
Core1108_tbm_03.tex.module.000037,1,0.433526,59.4
Core1108_tbm_03.tex.module.000038,1,0.435418,58.9
Core1108_tbm_03.tex.module.000039,1,0.435418,58.9
Core1108_tbm_03.tex.module.000048,1,0.431442,58.4
Core1108_tbm_03.tex.module.000056,1,0.42698,56.4
Core1108_tbm_03.tex.module.000057,1,0.425798,55
Core1108_tbm_03.tex.module.000058,1,0.424588,53.6
Core1108_tbm_03.tex.module.000064,1,0.423348,53.1
Core1108_tbm_03.tex.module.000065,1,0.422078,52.6
Core1108_tbm_03.tex.module.000090,1,0.426913,47.9
Core1108_tbm_03.tex.module.000092,1,0.425606,46.5
Core1108_tbm_03.tex.moduleQ3.2S.000002,1,0.301744,135.6
Core1108_tbm_03.tex.moduleQ3.2S.000003,1,0.303342,136.1
Core1108_tbm_03.tex.moduleQ3.2S.000009,1,0.303792,136.6
Core1108_tbm_03.tex.moduleQ3.2S.000011,1,0.301398,135.6
Core1108_tbm_03.tex.moduleQ3.2S.000018,1,0.301744,135.6
Core1108_tbm_03.tex.moduleQ3.2S.000048,1,0.303792,136.6
Core1108_tbm_09.tex.module.000008,1,0.475916,111.2
Core1108_tbm_09.tex.module.000009,1,0.475916,111.2
Core1108_tbm_09.tex.module.000010,1,0.475916,111.2
Core1108_tbm_09.tex.module.000028,1,0.464789,94.7
Core1108_tbm_09.tex.module.000033,1,0.460847,90.2
Core1108_tbm_09.tex.moduleQ3.10S.000001,1,0.244533,292.9
Core1108_tbm_09.tex.moduleQ3.2S.000003,1,0.243545,291.9
Core1108_tbm_09.tex.moduleQ3.2S.000005,1,0.244533,292.9
Core1108_tbm_09.tex.moduleQ3.2S.000007,1,0.243069,291.9
Core1108_tbm_09.tex.moduleQ3.2S.000010,1,0.245766,294.4
Core1108_tbm_09.tex.moduleQ3.2S.000011,1,0.244533,292.9
Core1108_tbm_09.tex.moduleQ3.9S.000001,1,0.244533,292.9
Core1108_tbm_21.tex.module.000008,1,0.46034,66.7
Core1108_tbm_21.tex.module.000009,1,0.46034,66.7
Core1108_tbm_21.tex.module.000010,1,0.46034,66.7
Core1108_tbm_21.tex.module.000014,1,0.454545,62.2
Core1108_tbm_21.tex.module.000017,1,0.454545,62.2
Core1108_tbm_21.tex.module.000023,1,0.447635,57.7
Core1108_tbm_21.tex.module.000026,1,0.456081,57.7
Core1108_tbm_21.tex.module.000027,1,0.456081,57.7
Core1108_tbm_21.tex.module.000030,1,0.45657,58.7
Core1108_tbm_21.tex.module.000091,1,0.444271,38
Core1108_tbm_21.tex.moduleQ3.2S.000002,1,0.323557,126.5
Core1108_tbm_21.tex.moduleQ3.2S.000007,1,0.320724,124.5
Core1108_tbm_21.tex.moduleQ3.2S.000011,1,0.321144,125
Core1108_tbm_21.tex.moduleQ3.2S.000014,1,0.323145,126
Core1108_tbm_21.tex.moduleQ3.2S.000015,1,0.321144,125
Core1108_tbm_21.tex.moduleQ3.2S.000019,1,0.321144,125
Core1108_tbm_21.tex.moduleQ3.2S.000024,1,0.321144,125
Core1108_tbm_21.tex.moduleQ3.2S.000027,1,0.320724,124.5
Core1108_tbm_28.tex.moduleQ2.2S.000003,1,0.274889,150.875
counter_16,1,0.479891,97.058824
counter_32-shuffled,1,0.489613,193.030303
counter_8-shuffled,1,0.462192,49.111111
counter_e_16,1,0.477088,100
counter_e_8-shuffled,1,0.458234,52
counter_r_16,1,0.478768,100
counter_r_8-shuffled,1,0.461169,52
counter_re_16,1,0.476089,102.941176
cube_c11_par---13_-shuffled,1,5.170706,660
cube_c3_ser--opt-6_-shuffled,1,0.657895,85.5
cube_c5_ser---14_-shuffled,1,1.284069,322.5
cube_c7_ser---23_-shuffled,1,2.372263,735
cube_c9_par--opt-11_-shuffled,1,4.356648,459
eijk.S1238.S-d3-shuffled,1,0.128809,421
eijk.S1423.S-d4-shuffled,1,0.031779,1803
eijk.S208o.S-d4-shuffled,1,0.045283,46
eijk.S208o.S-f4-shuffled,1,0.056312,755
eijk.S298.S-f2-shuffled,1,0.100078,452
eijk.S298.S-f4,1,0.050924,1053
eijk.S344.S-f3,1,0.050234,1000
eijk.S349.S-f3,1,0.049088,988.5
eijk.S382.S-f4-shuffled,1,0.050382,1253.5
eijk.S386.S-f2,1,0.075082,849.5
eijk.S420.S-f2,1,0.080359,869
eijk.S526.S-f4-shuffled,1,0.052486,1856.5
eijk.S641.S-f2,1,0.065046,1058
eijk.S713.S-f2,1,0.064688,1063.5
emptyroom_e3_ser---19_-shuffled,1,0.510045,464
emptyroom_e3_ser--opt-20_-shuffled,1,0.488705,488
emptyroom_e4_par---21_-shuffled,1,1.664956,1024
emptyroom_e4_ser--opt-44_-shuffled,1,1.010173,2128
ev-pr-4x4-11-3-0-0-1-s-shuffled,1,0.177412,1202.333333
ev-pr-4x4-13-3-0-0-1-s-shuffled,1,0.180598,1231.571429
ev-pr-4x4-15-3-0-0-1-s-shuffled,1,0.182945,1253.5
ev-pr-4x4-17-3-0-0-1-lg-shuffled,1,0.15196,330.888889
ev-pr-4x4-17-3-0-0-1-s-shuffled,1,0.184745,1270.555556
ev-pr-4x4-5-3-0-0-1-lg-shuffled,1,0.125041,294.666667
ev-pr-4x4-5-3-0-0-1-s-shuffled,1,0.153105,997.666667
ev-pr-4x4-7-3-0-0-1-s-shuffled,1,0.165719,1100
ev-pr-4x4-9-3-0-0-1-lg-shuffled,1,0.141785,316.4
ev-pr-4x4-9-3-0-0-1-s-shuffled,1,0.172839,1161.4
