@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC

@DATA
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.46,0.555556,2,0.736667,1,0.333333,3,0.666667,0,600,200,0.991076,453.594,0,1.693646,300,0.203279,0.286397,221,0,1,920,0,1.995767,360,0.452248,200,200
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,9.637681,0.103759,19.275362,5.169925,19.275362,1,6,0.406858,2.584963,1,5.169925,0,0,4140,6650,0,6650,0,3.730763,1783.624125,-1,0.864757,280.732127,-1,2.584963,13300,0,3.730763,6650,0.700023,0,0
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,5.169925,28.640845,1,6,0.272923,2.584963,1,5.169925,0,0,5112,12201,0,12201,0,5.055056,2202.388051,0,0.376177,232.530678,0,2.584963,24402,0,5.055056,12201,0.713313,0,0
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,4,13.790896,1,4,0.335645,2,1,4,0,0,5624,9695,0,9695,0,2.317467,2812,0,0.474383,471.916903,0,2,19390,0,2.317467,9695,0.735868,0,0
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,4.643856,13.790896,1,5,0.419556,2.321928,1,4.643856,0,0,7030,9695,0,9695,0,2.317467,3264.630901,0.000001,0.935897,589.896129,0.000001,2.321928,19390,0,2.317467,9695,0.735868,0,0
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1.5,0.666667,4,2.666667,6.71,1,2,0.5,1,1,3,0,0,400,300,0.918296,416.9925,0,0,200,0.176777,0,100,0,1,900,0,0.932533,300,0.072384,0,0
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.93,2.441667,4.386667,0.555556,2,0.737286,1,0.333333,3,0.666667,0,600,200,0.990159,453.009038,0,1.690855,300,0.20338,0.242292,221.185714,0,1,920,0,2.092088,360,0.44655,200,200
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.33,2.4975,5.133333,0.5,2,0.667222,1,0.333333,3,0.666667,0,600,200,0.999982,516.407538,0,0.948572,300,0.200198,0,200.166667,0,1,1000,0,1.521737,400,0.438588,200,200
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,1.326667,0.753769,3.31,2.494975,5.106667,0.502513,2,0.670556,1,0.333333,3,0.666667,0,600,200,0.999927,513.237613,0,1.064214,300,0.200393,0,201.166667,0,1,996,0,1.638127,398,0.440577,200,200
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,3.778947,0.264624,7.557895,3.169925,7.557895,1,3,0.429377,1.584963,1,3.169925,0,0,1425,1795,0,1795,0,1.408585,752.857188,-1,0.882574,203.954183,-1,1.584963,3590,0,1.408585,1795,0.531234,0,0
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.7,1,2,0.500833,1,1,3,0,0,400,300,0.921593,416.407538,0,0.045415,200,0.177435,0,100.166667,0,1,900,0,0.905162,300,0.073119,0,0
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.453333,0.555556,2,0.737444,1,0.333333,3,0.666667,0,600,200,0.989197,452.424075,0,1.690855,300,0.203474,0.242292,221.233333,0,1,920,0,1.994514,360,0.451034,200,200
normalized-25s-smv.xml.mzn_AND_NODATA,1,1.868099,0.535303,7.048107,3.716095,12.044558,1,1.787658,0.396665,0.982142,1,15,0,0.228772,9067,9475,1.29745,14274.744639,0.745936,3.022216,3995,1.086168,2.518517,2011.882543,0.075937,1,28425,0,2.977039,9475,2.834897,0,0
normalized-44s-smv.xml.mzn_AND_NODATA,1,1.278788,0.781991,5.705051,4.35861,11.357576,1,1.761616,0.405183,0.971442,1,13,0,0.241877,872,633,1.455197,1073.868955,0.792342,3.364944,377,0.980102,2.104389,200.565823,0.093598,1,1899,0,3.425601,633,1.746067,0,0
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,2.2,0.454545,6.085,2.765909,10.2,1,2,0.329631,1,1,3,0,0,400,440,0.785075,637.132363,0,0.591386,200,0.153089,0,65.92619,0,1,1320,0,2.039848,440,0.103291,0,0
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.413333,0.555556,2,0.736222,1,0.333333,3,0.666667,0,600,200,0.991076,453.594,0,1.690126,300,0.203279,0.257372,220.866667,0,1,920,0,2.120722,360,0.446466,200,200
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.373333,0.555556,2,0.739222,1,0.333333,3,0.666667,0,600,200,0.989197,452.424075,0,1.709178,300,0.203474,0.300391,221.766667,0,1,920,0,2.113667,360,0.450441,200,200
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.7,1,2,0.500833,1,1,3,0,0,400,300,0.921593,416.407538,0,0.045415,200,0.177435,0,100.166667,0,1,900,0,0.97968,300,0.078978,0,0
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1.3,0.769231,3.3975,2.613462,5.665,1,2,0.60525,1,1,3,0,0,800,520,0.962529,706.603038,0,1.173211,400,0.186326,0.346981,242.1,0,1,1560,0,1.65962,520,0.21386,0,0
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1.3,0.769231,3.3975,2.613462,5.595,1,2,0.604917,1,1,3,0,0,800,520,0.962529,706.603038,0,1.166676,400,0.186326,0.296923,241.966667,0,1,1560,0,1.754486,520,0.211173,0,0
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,4.745614,0.210721,9.491228,5.169925,9.491228,1,6,0.786161,2.584963,1,5.169925,0,0,684,541,0,541,0,2.572158,294.685725,0,1.099409,89.62236,0,2.584963,1082,0,2.572158,541,0.522207,0,0
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,1.198333,0.834492,2.926667,2.442281,4.39,0.556328,2,0.737722,1,0.333333,3,0.666667,0,1200,400,0.990366,905.018075,0,1.692595,600,0.203358,0.218878,442.633333,0,1,1838,0,2.101026,719,0.443728,400,400
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,3.169925,13.790896,1,3,0.251734,1.584963,1,3.169925,0,0,4218,9695,0,9695,0,2.317467,2228.457276,-1,0.238234,353.937678,-1,1.584963,19390,0,2.317467,9695,0.735868,0,0
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,4.643856,13.18593,1,5,0.446332,2.321928,1,4.643856,0,0,2985,3936,0,3936,0,2.650763,1386.191073,0,0.982424,266.460072,0,2.321928,7872,0,2.650763,3936,0.644545,0,0
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.93,2.441667,4.43,0.555556,2,0.737056,1,0.333333,3,0.666667,0,1200,400,0.990159,906.018075,0,1.694765,600,0.20338,0.264765,442.233333,0,1,1840,0,2.017101,720,0.44627,400,400
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,9.637681,0.103759,19.275362,5.61471,19.275362,1,7,0.474668,2.807355,1,5.61471,0,0,4830,6650,0,6650,0,3.730763,1937.074896,0,0.972621,327.520814,0,2.807355,13300,0,3.730763,6650,0.700023,0,0
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,1.33,0.75188,3.323333,2.498747,5.186667,0.501253,2,0.668333,1,0.333333,3,0.666667,0,600,200,0.999995,515.407538,0,0.993203,300,0.2001,0,200.5,0,1,998,0,1.470759,399,0.441561,200,200
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.48,0.555556,2,0.736865,1,0.333333,3,0.666667,0,1200,400,0.991076,907.188,0,1.707944,600,0.203279,0.242292,442.119048,0,1,1840,0,1.956294,720,0.456341,400,400
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.931667,2.443056,4.426667,0.555556,2,0.736722,1,0.333333,3,0.666667,0,1200,400,0.990623,906.603038,0,1.689969,600,0.20333,0.272065,442.033333,0,1,1840,0,2.077507,720,0.446579,400,400
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,1.195,0.83682,2.916667,2.440725,4.43,0.55788,2,0.740921,1,0.333333,3,0.666667,0,1200,400,0.989838,901.84815,0,1.696523,600,0.203413,0.226794,444.552381,0,1,1834,0,2.075345,717,0.456617,400,400
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.146667,0.500626,2,0.667778,1,0.333333,3,0.666667,0,1200,400,0.99999,1031.815075,0,0.972158,600,0.200149,0,400.666667,0,1,1998,0,1.533759,799,0.439301,400,400
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.393333,0.555556,2,0.737833,1,0.333333,3,0.666667,0,1200,400,0.989197,904.84815,0,1.691436,600,0.203474,0.279274,442.7,0,1,1840,0,2.09155,720,0.443823,400,400
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.166667,0.500626,2,0.667778,1,0.333333,3,0.666667,0,1200,400,0.99999,1031.815075,0,0.972158,600,0.200149,0,400.666667,0,1,1998,0,1.50643,799,0.440178,400,400
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.325,2.496871,5.196667,0.500626,2,0.668056,1,0.333333,3,0.666667,0,1200,400,0.999972,1031.230113,0,0.982926,600,0.200247,0,400.833333,0,1,1998,0,1.442657,799,0.44167,400,400
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1.974684,0.50641,3.949367,3.169925,3.949367,1,3,0.784567,1.584963,1,3.169925,0,0,237,156,0,156,0,0.739735,125.212038,-1,0.097941,61.980769,-1,1.584963,312,0,0.739735,156,0.275902,0,0
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,10.502304,0.095217,21.004608,6,21.004608,1,8,0.516058,3,1,6,0,0,8680,11395,0,11395,0,3.541915,3255,0,0.943749,559.923169,0,3,22790,0,3.541915,11395,0.767947,0,0
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,1.326667,0.753769,3.306667,2.492462,5.14,0.502513,2,0.671111,1,0.333333,3,0.666667,0,600,200,0.999836,512.65265,0,1.079824,300,0.200582,0,201.333333,0,1,996,0,1.57248,398,0.442811,200,200
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1.3,0.769231,3.395,2.611538,5.59,1,2,0.6045,1,1,3,0,0,400,260,0.9638,353.009038,0,1.141914,200,0.186633,0.307268,120.9,0,1,780,0,1.739078,260,0.196934,0,0
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.406667,0.555556,2,0.736444,1,0.333333,3,0.666667,0,600,200,0.991076,453.594,0,1.700554,300,0.203279,0.226794,220.933333,0,1,920,0,2.090999,360,0.44399,200,200
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,4.643856,28.640845,1,5,0.227436,2.321928,1,4.643856,0,0,4260,12201,0,12201,0,5.055056,1978.282737,0.000001,0.185125,193.775565,0.000001,2.321928,24402,0,5.055056,12201,0.713313,0,0
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,1.798333,0.55607,4.725,2.627433,7.61,0.370714,2,0.552905,1,0.333333,3,0.666667,0,1200,400,0.952623,1475.019613,0,1.278513,600,0.184015,0.918296,331.742857,0,1,2558,0,2.156002,1079,0.530603,400,400
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.173333,0.852273,2.846667,2.426136,4.146667,0.568182,2,0.761111,1,0.333333,3,0.666667,0,300,100,0.9842,219.872188,0,1.675398,150,0.203828,0.272065,114.166667,0,1,452,0,2.364002,176,0.457044,100,100
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,2.2,0.454545,6.1,2.772727,10.24,1,2,0.328631,1,1,3,0,0,400,440,0.773227,638.88725,0,0.481202,200,0.15114,0,65.72619,0,1,1320,0,2.062447,440,0.104378,0,0
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1.5,0.666667,3.9975,2.665,6.69,1,2,0.500417,1,1,3,0,0,800,600,0.919953,833.400038,0,0.025212,400,0.177107,0,200.166667,0,1,1800,0,0.949456,600,0.073821,0,0
normalized-43s-smv.xml.mzn_AND_NODATA,1,1.966621,0.508486,6.894938,3.463829,11.444596,1,1.858003,0.386944,0.987359,1,15,0,0.187862,6791,7188,1.264645,10391.602876,0.589446,3.323245,3136,1.066552,1.749091,1414.280432,0.063734,1,21564,0,3.309212,7188,2.750762,0,0
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.931667,2.443056,4.44,0.555556,2,0.737111,1,0.333333,3,0.666667,0,1200,400,0.990623,906.603038,0,1.704794,600,0.20333,0.264765,442.266667,0,1,1840,0,2.052007,720,0.449872,400,400
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.61,1,2,0.604667,1,1,3,0,0,400,260,0.961237,353.594,0,1.173387,200,0.186016,0.307268,120.933333,0,1,780,0,1.759055,260,0.210754,0,0
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1.3,0.769231,3.395,2.611538,5.58,1,2,0.605929,1,1,3,0,0,400,260,0.9638,353.009038,0,1.158838,200,0.186633,0.327445,121.185714,0,1,780,0,1.760689,260,0.218285,0,0
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.931667,2.443056,4.443333,0.555556,2,0.736833,1,0.333333,3,0.666667,0,1200,400,0.990623,906.603038,0,1.700436,600,0.20333,0.257372,442.1,0,1,1840,0,2.024709,720,0.448052,400,400
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,2.636667,0.379267,7.231667,2.742731,12.48,0.252845,2,0.468954,1,0.333333,3,0.666667,0,1200,400,0.822598,2269.330938,0,1.344808,600,0.159377,0.918296,281.372222,0,1,3564,0,2.381853,1582,0.600175,400,400
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,16.626108,0.060146,33.252217,5.61471,33.252217,1,7,0.282717,2.807355,1,5.61471,0,0,14210,33751,0,33751,0,4.858298,5698.930492,0.000001,0.406676,573.914788,0.000001,2.807355,67502,0,4.858298,33751,0.844944,0,0
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1.5,0.666667,3.9975,2.665,6.73,1,2,0.500417,1,1,3,0,0,800,600,0.919953,833.400038,0,0.025212,400,0.177107,0,200.166667,0,1,1800,0,0.882662,600,0.070026,0,0
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,8.701235,0.114926,17.402469,5.169925,17.402469,1,6,0.434514,2.584963,1,5.169925,0,0,2430,3524,0,3524,0,3.790965,1046.909813,-1,0.918296,175.978122,-1,2.584963,7048,0,3.790965,3524,0.623264,0,0
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1.5,0.666667,4,2.666667,6.7,1,2,0.5,1,1,3,0,0,200,150,0.918296,208.49625,0,0,100,0.176777,0,50,0,1,450,0,0.881291,150,0.068397,0,0
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.715,1,2,0.500833,1,1,3,0,0,800,600,0.921593,832.815075,0,0.045415,400,0.177435,0,200.333333,0,1,1800,0,0.922841,600,0.074278,0,0
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,1.33,0.75188,3.323333,2.498747,5.126667,0.501253,2,0.668333,1,0.333333,3,0.666667,0,600,200,0.999995,515.407538,0,0.993203,300,0.2001,0,200.5,0,1,998,0,1.580294,399,0.439234,200,200
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,1.798333,0.55607,4.725,2.627433,7.573333,0.370714,2,0.552976,1,0.333333,3,0.666667,0,1200,400,0.952623,1475.019613,0,1.302519,600,0.184015,0.918296,331.785714,0,1,2558,0,2.2784,1079,0.532792,400,400
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1.5,0.666667,3.99,2.66,6.75,1,2,0.501667,1,1,3,0,0,400,300,0.924819,415.822575,0,0.080793,200,0.178086,0,100.333333,0,1,900,0,0.837356,300,0.073703,0,0
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1.509091,0.662651,7.236364,4.795181,49.290909,1,2,0.295613,1,1,64,0,0,440,332,2.097437,655.71776,0,1.899486,220,1.069877,0.37602,65.034921,0,1,996,0,2.099008,332,0.466524,0,0
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.333333,2.5,5.16,0.5,2,0.666667,1,0.333333,3,0.666667,0,600,200,1,516.9925,0,0.918296,300,0.2,0,200,0,1,1000,0,1.508074,400,0.439417,200,200
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.193333,0.500626,2,0.667778,1,0.333333,3,0.666667,0,1200,400,0.99999,1031.815075,0,0.972158,600,0.200149,0,400.666667,0,1,1998,0,1.449018,799,0.440748,400,400
