@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC

@DATA
aim-200-3_4-yes1-4-90-shuffled,1,0.367398,461,0.599452,0.668191,0.50018,1.753508,922,0.642734
aim-50-1_6-yes1-1-00-shuffled,1,0.262821,114,0.590909,0.692308,0.549145,1.824786,228,0.64147
aim-50-1_6-yes1-1-90-shuffled,1,0.369369,69,0.598311,0.671371,0.501502,1.753754,138,0.640967
aim-50-1_6-yes1-2-00-shuffled,1,0.246253,114,0.59071,0.692878,0.537473,1.82227,228,0.64482
aim-50-1_6-yes1-2-50-shuffled,1,0.288945,91,0.593878,0.683849,0.515075,1.791457,182,0.64513
aim-50-1_6-yes1-3-00-shuffled,1,0.248927,114,0.59051,0.693452,0.555794,1.824034,228,0.643463
aim-50-1_6-yes1-4-50-shuffled,1,0.31701,88,0.594142,0.683099,0.525773,1.78866,176,0.64006
aim-50-1_6-yes1-4-90-shuffled,1,0.371601,69,0.597813,0.672764,0.501511,1.752266,138,0.639629
aim-50-2_0-yes1-1-90-shuffled,1,0.363855,80,0.599226,0.668821,0.510843,1.751807,160,0.642692
aim-50-2_0-yes1-2-50-shuffled,1,0.3159,101,0.594915,0.680912,0.541841,1.786611,202,0.64187
aim-50-2_0-yes1-3-90-shuffled,1,0.362981,80,0.598456,0.670968,0.504808,1.754808,160,0.642265
aim-50-3_4-yes1-2-90-shuffled,1,0.366522,114,0.59919,0.668919,0.505051,1.751804,228,0.643054
aim-50-3_4-yes1-3-90-shuffled,1,0.363506,115,0.599078,0.669231,0.50431,1.752874,230,0.643328
aim-50-6_0-yes1-3-50-shuffled,1,0.358974,193.5,0.59897,0.669533,0.513622,1.757212,387,0.642693
aim-50-6_0-yes1-4-90-shuffled,1,0.371594,179,0.599735,0.667402,0.500413,1.749794,358,0.642778
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.090828,589,0.571392,0.750112,0.520317,2.151479,2945,0.583302
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.12517,1185.666667,0.571415,0.750041,0.508913,2.08292,7114,0.584612
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7543,0.588151,0.700244,0.581874,2.217683,7543,0.588151
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.049117,155.347826,0.573816,0.74272,0.515498,2.213716,14292,0.584931
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.018382,41.97561,0.577547,0.731461,0.564706,2.229412,1721,0.582333
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.050611,67.024691,0.57431,0.74122,0.5274,2.200349,5429,0.585139
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.046998,40.86,0.572065,0.748054,0.527745,2.215977,4086,0.585752
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.049839,201.317241,0.572631,0.746325,0.50619,2.221992,29191,0.585036
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.049241,89.69863,0.572007,0.74823,0.509098,2.223643,13096,0.586315
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.054378,152.424893,0.571744,0.749035,0.502997,2.218494,35515,0.585429
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.04504,41.807339,0.571518,0.749726,0.520087,2.224891,4557,0.586653
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.016249,55.242424,0.576866,0.733505,0.551117,2.244414,1823,0.58547
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.045244,133.680412,0.572948,0.745358,0.510326,2.227045,12967,0.585938
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.029851,34.254237,0.572319,0.747278,0.543881,2.239403,2021,0.585043
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.049673,90.753425,0.571663,0.749283,0.508017,2.225375,13250,0.586496
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.055938,127.452632,0.571709,0.749142,0.505901,2.214753,24216,0.585624
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.037623,25.137931,0.568471,0.759106,0.537077,2.242094,2187,0.585096
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057064,142.669565,0.571117,0.750953,0.500587,2.217513,49221,0.585613
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.073596,652,0.571386,0.750131,0.514998,2.185909,2608,0.585659
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.05735,59.561798,0.574747,0.739896,0.524501,2.182214,5301,0.586126
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.053099,189.246753,0.572797,0.745819,0.505029,2.214083,29144,0.585349
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.050238,37.576271,0.571642,0.749346,0.51707,2.211322,4434,0.587556
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.061688,70.040816,0.571528,0.749694,0.505452,2.200348,13728,0.586671
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.054383,37.767857,0.571996,0.748263,0.526159,2.200321,4230,0.586242
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064824,69.247312,0.57169,0.749201,0.51017,2.192725,12880,0.586116
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.06941,120.185185,0.571568,0.749572,0.503655,2.188702,35695,0.585311
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.070741,154.892183,0.571535,0.749675,0.501827,2.187449,57465,0.584965
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057153,147.007782,0.571752,0.749009,0.503088,2.212761,37781,0.585506
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.045529,20.06422,0.567702,0.761487,0.53401,2.222161,2187,0.584687
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.055619,34.067485,0.569792,0.755027,0.513884,2.213219,5553,0.587385
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.066565,141.184805,0.571119,0.750948,0.499798,2.198521,68757,0.585308
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.115635,1513.166667,0.571418,0.750032,0.503302,2.102006,9079,0.585457
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7183,0.594019,0.683448,0.599495,2.179818,7183,0.594019
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.021311,38.302326,0.580409,0.722922,0.57623,2.2,1647,0.58203
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.072795,138.389474,0.572847,0.745666,0.508388,2.173129,26294,0.584823
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.053165,45.268657,0.577039,0.732984,0.54358,2.168174,3033,0.583739
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.015498,57.413793,0.583333,0.714286,0.583605,2.200653,1665,0.582393
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064094,68.761364,0.572063,0.74806,0.51154,2.191306,12102,0.586046
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.059011,35.678899,0.572678,0.746182,0.528422,2.184553,3889,0.58528
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.053035,16.878261,0.566842,0.76416,0.542173,2.202556,1941,0.581699
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.067691,28.069767,0.569396,0.756245,0.516708,2.186939,4828,0.586019
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.151751,2118.5,0.571423,0.750016,0.501541,2.029803,16948,0.584729
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.037722,62.346939,0.578143,0.729675,0.523387,2.195775,3055,0.588681
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.050159,123.907216,0.573903,0.742455,0.505741,2.209863,12019,0.586661
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.052765,167.403101,0.573141,0.744772,0.50273,2.211755,21595,0.585893
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.059641,172.669291,0.573516,0.74363,0.505357,2.195378,21929,0.585549
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.051531,61.677686,0.572552,0.746566,0.50721,2.210968,7463,0.58811
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.05711,121.985782,0.571921,0.748495,0.500827,2.210683,25739,0.586249
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.064395,55.043011,0.574543,0.740514,0.522971,2.168518,5119,0.585655
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.085862,133.822511,0.572444,0.746897,0.505087,2.149821,30913,0.584612
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.060657,51.866242,0.571493,0.749803,0.508233,2.198749,8143,0.586975
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.068674,101.072993,0.57146,0.749903,0.501852,2.189973,27694,0.585687
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.069886,117.888179,0.571455,0.749918,0.500977,2.188496,36899,0.585422
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.070803,134.795455,0.571452,0.749928,0.500329,2.187354,47448,0.585208
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.071521,151.767263,0.571449,0.749936,0.49983,2.186445,59341,0.585033
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.04318,22.413333,0.572441,0.746906,0.547215,2.19209,1681,0.584075
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.059374,34.571429,0.571921,0.748494,0.52257,2.18851,3872,0.586515
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.075033,94.138462,0.571571,0.749563,0.504025,2.17595,24476,0.585436
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.058414,32.3875,0.569685,0.755357,0.510661,2.207048,5182,0.587686
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,0.067441,82.009404,0.570869,0.751715,0.501297,2.19541,26161,0.586125
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,0.133358,2735.666667,0.571425,0.750011,0.499912,2.066599,24621,0.584782
BLOCKS3i.5.3-shuffled,1,0.049447,141,0.606983,0.647492,0.44018,3.0861,282,0.622449
BLOCKS3ii.5.2-shuffled,1,0.052826,139,0.636961,0.569954,0.494644,2.663835,278,0.661958
BLOCKS3iii.5-shuffled,1,0.077929,126,0.703248,0.421973,0.413624,2.217984,252,0.713756
BLOCKS4ii.7.2-shuffled,1,0.117033,454,0.69301,0.442981,0.354157,2.495248,908,0.720795
BLOCKS4iii.7-shuffled,1,0.155799,424,0.765071,0.307068,0.251172,2.12855,848,0.782762
blocks_enc_2_b3_ser--opt-9_-shuffled,1,0.074396,222,0.698101,0.432458,0.466005,2.711097,444,0.661212
blocks_enc_2_b4_ser--opt-26_-shuffled,1,0.103973,1518,0.763818,0.309212,0.309172,2.497742,3036,0.698604
c1_BMC_p1_k2048-shuffled,1,0.033579,1101387,0.512647,0.950659,0.790047,2.233156,2202774,0.512835
c1_BMC_p2_k1024-shuffled,1,0.066083,556139,0.512122,0.95266,0.77792,2.229424,1112278,0.512471
c1_BMC_p2_k128-shuffled,1,0.431892,79047,0.507665,0.969804,0.641429,2.187424,158094,0.508929
c1_BMC_p2_k8-shuffled,1,0.783066,14328,0.503841,0.984751,0.448856,2.113253,28656,0.505031
c2_Debug_s5_f1_e1_v3-shuffled,1,2.874489,21446,0.507151,0.971799,0.101979,1.872267,64338,0.509154
c3_BMC_p1_k256-shuffled,1,0.323326,24963.5,0.487572,1.050977,0.634249,2.216507,49927,0.48599
c3_BMC_p2_k1024-shuffled,1,0.091591,92043.5,0.483398,1.068689,0.714365,2.245338,184087,0.482747
c3_BMC_p2_k2048-shuffled,1,0.046834,181483.5,0.482413,1.072911,0.729838,2.250906,362967,0.482055
c3_BMC_p2_k512-shuffled,1,0.175399,47323.5,0.48507,1.06156,0.68539,2.234911,94647,0.483983
c3_Debug_s3_f2_e2_v2-shuffled,1,0.007205,289060.5,0.677261,0.476536,0.025715,2.903736,578121,0.72442
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.015983,278,0.546586,0.829539,0.638638,2.257818,556,0.549821
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.015961,278.5,0.546226,0.830744,0.639139,2.25746,557,0.549433
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.001289,296,0.548469,0.823258,0.640232,2.29207,592,0.5516
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.001288,296.5,0.548134,0.824373,0.641339,2.291693,593,0.54817
C499.blif_0.10_0.20_0_0_inp_exact,1,0.015643,89.4,0.529218,0.889582,0.754791,2.337896,894,0.529513
C499.blif_0.10_0.20_0_0_out_exact,1,0.013372,413,0.529463,0.888705,0.749687,2.356038,826,0.532504
C499.blif_0.10_0.20_0_1_out_exact,1,0.013372,413,0.529288,0.889331,0.749687,2.356038,826,0.53231
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.001547,446,0.530655,0.884462,0.7471,2.37471,892,0.530695
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.001552,444,0.530735,0.884178,0.746315,2.375873,888,0.533743
c4_BMC_p1_k1024-shuffled,1,0.071273,8390,0.487941,1.049428,0.712275,2.275323,16780,0.487575
c4_BMC_p1_k2048-shuffled,1,0.036263,16614,0.487389,1.051749,0.724213,2.280192,33228,0.487192
c4_BMC_p1_k512-shuffled,1,0.137783,4278,0.488912,1.04536,0.689598,2.266073,8556,0.488276
c4_BMC_p2_k2048-shuffled,1,0.036263,16614,0.487389,1.051749,0.724213,2.280192,33228,0.487192
c4_Debug_s3_f1_e1_v3-shuffled,1,5.989524,25156.5,0.508285,0.967399,0.001866,1.629977,50313,0.512259
c4_Debug_s3_f1_e2_v3-shuffled,1,5.989524,25156.5,0.508284,0.967404,0.001868,1.629977,50313,0.512258
c4_Debug_s3_f2_e1_v3-shuffled,1,0.078323,27181.5,0.725155,0.379015,0.106721,2.490067,54363,0.76946
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.028519,337.5,0.556652,0.796455,0.592788,2.2494,5400,0.557421
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.027762,2614.5,0.557659,0.793211,0.585606,2.25745,5229,0.562461
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,0.028515,337.5625,0.556645,0.796476,0.592775,2.249366,5401,0.557415
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.027758,2615,0.557652,0.793233,0.585594,2.257414,5230,0.562453
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.000131,2802.5,0.557518,0.793665,0.585095,2.308536,5605,0.557524
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.000131,2801.5,0.557531,0.793622,0.584986,2.308617,5603,0.562006
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.000131,2802.5,0.557489,0.793756,0.585161,2.308536,5605,0.557496
c5_BMC_p1_k32-shuffled,1,0.664117,16467.5,0.507652,0.969852,0.537325,2.232373,32935,0.509407
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.006184,2285,0.569414,0.756192,0.374071,2.32629,4570,0.572449
