@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC

@DATA
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.0015,0.05,0.0028,0.0035,0.829,0.0202,0.6712,0.1715,0,0.0991,0,36,0.005,0.6514,31,42
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0.031,0.0385,0.0312,0.0314,0,0.0319,0.0001,0.9305,0.037,0,0.0895,0,0.0316,0,0,0
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.0418,0.232,0.084,0.1085,0.6795,0.2657,0.5749,0.378,0.0174,0.2831,0.1406,4036,0.1641,0.5772,3975,4090
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.4971,0.2118,0.4212,0.4999,2.9316,1,0.232,0.685,0.0807,4.3842,2.6115,2653,0.5,0.9222,1711,2822
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0,0.0112,0.0001,0.0001,0.9933,0.0002,0.7396,0.0625,0,0.0352,0,4480,0.0001,0.6819,4445,4577
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.001,0.0469,0.002,0.0024,0.8085,0.0102,0.6955,0.1752,0,0.1023,0,4243,0.004,0.6393,4113,4315
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.1562,0.0997,0.161,0.1608,1.1095,0.1712,0.0045,0.8845,0.0556,0,0.3424,4858,0.1658,1.0418,4838,4858
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.4735,0.1672,0.4471,0.4991,2.5461,0.9999,0.1909,0.7352,0.0361,1.2435,2.0397,1844,0.4997,0.8835,1761,1930
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.012,0.163,0.032,0.0455,1.4994,0.0651,0.7198,0.2021,1.0667,0.9001,1.0891,3822,0.0647,0.7255,3740,3868
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.0894,0.1369,0.111,0.1201,1.7119,0.2242,1.4477,0.0384,0,0.3387,0.9131,3424,0.151,0.8508,3043,3766
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl032.cnf,1,0.0098,0.1973,0.0267,0.0457,1.4348,0.2894,0.6947,0.1836,1.744,1.1831,1.2565,1994,0.0519,0.9449,1693,1994
SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf,1,0.0015,0.05,0.0029,0.0037,0.8332,0.0123,0.6919,0.1754,0,0.1006,0,57,0.0052,0.651,48,64
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1136141672-041.cnf,1,0.0462,0.2337,0.0904,0.1263,0.6938,0.3191,0.594,0.381,0.0219,0.2941,0.1114,4025,0.1698,0.58,3959,4042
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,0.0402,0.1666,0.0751,0.1098,1.8983,0.4333,0.5309,0.4442,3.218,2.2849,1.689,495,0.1372,0.7574,448,536
SAT_RACE2006/SAT-Race-Benchmarks/goldb-heqc-dalumul.cnf,1,0.0277,0.1565,0.0438,0.0543,1.2701,0.3031,0.2964,0.598,0.0067,4.4289,1.0597,424,0.0819,0.7327,374,486
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0.0215,0.0358,0.0216,0.0218,0,0.0221,0.0001,0.9295,0.0345,0,0.0847,0,0.0219,0,0,0
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.0031,0.0356,0.0169,0.0256,0.9764,0.0826,0.325,0.8451,0.001,0.5915,0.8881,552,0.0406,0.4033,468,590
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.004,0.0468,0.0198,0.0289,1.0674,0.0797,0.3358,0.8185,0.0017,0.5971,0.9584,724,0.0426,0.4419,680,772
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0.035,0,0,0.6262,0,0,0.5268,0.0345,0,0.0975,2811,0,0.5881,2673,2866
SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S2109328271-14.cnf,1,0.0015,0.05,0.0027,0.0033,0.8371,0.0134,0.6886,0.1623,0,0.0961,0,63,0.0048,0.6489,56,70
SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1426208256-08.cnf,1,0.0001,0.0118,0.0001,0.0001,1.0031,0.0002,0.652,0.0683,0,0.0352,0,4371,0.0001,0.6841,4326,4371
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0.0001,0.0384,0.0144,0.0249,0.9573,0.0827,0.2756,0.8496,0.0017,0.6398,0.8605,540,0.0425,0.3974,416,633
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1126657927-015.SATISFIABLE.cnf,1,0.001,0.047,0.0018,0.0022,0.8412,0.0061,0.7072,0.1602,0,0.0977,0,4254,0.0034,0.6584,4078,4267
SAT_Competition2009/CRAFTED/parity-games/instance_n5_i5_pp.cnf,1,0.0097,0.108,0.079,0.0769,1.6268,0.3695,0.6348,0.5078,0.4568,1.1086,1.2933,1918,0.2547,0.6768,1863,1918
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0.042,0.25,0.042,0.042,0.5623,0.042,0,0,0,0,0,4469,0.042,0.5774,4468,4534
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.0249,0.1424,0.155,0.3138,0.7405,0.6587,0.3019,0.8162,1.0682,4.7326,0.0741,0,0.4075,1.2016,0,0
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S72635791-098-UNKNOWN.cnf,1,0.0015,0.05,0.0027,0.0034,0.8303,0.013,0.6891,0.1615,0,0.0988,0,46,0.0047,0.6504,42,58
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,0.4719,0.1631,0.4382,0.499,2.5306,0.9999,0.1873,0.7356,0.0407,1.2324,2.039,2169,0.4997,0.8811,2052,2225
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1406921020-013.UNKNOWN.cnf,1,0.0406,0.2327,0.0839,0.1129,0.6283,0.3813,0.6048,0.3836,0.0112,0.2773,0.0593,4029,0.1595,0.579,3921,4064
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,0.4733,0.1663,0.4444,0.499,2.5489,0.9999,0.1899,0.7348,0.041,1.1824,2.0383,1988,0.4997,0.8766,1820,2148
SAT_Competition2011/SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.0003,0.0221,0.0112,0.0119,0.897,0.272,0.1168,0.9235,0.5513,0.2523,0.2671,4769,0.0125,1.0016,4681,4769
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf,1,0.1041,0.05,0.1058,0.1075,0.9599,0.1115,0.0015,0.9351,0.0263,0,0.204,4886,0.1077,1.0234,4886,4886
SAT_Competition2007/random/OnTreshold/7SAT/v70/unif-k7-r89-v70-c6230-S1084572666-19.SAT.shuffled.cnf,1,0,0.0112,0.0001,0.0001,0.9952,0.0001,0.6741,0.0661,0,0.0352,0,4533,0.0001,0.678,4437,4541
SAT-Race-2010-CNF/hardware-verification/velev/12pipe_q0_k.cnf,1,0,0.0193,0.0979,0.2199,0.6842,0.5,0.4528,0.8019,0.7335,3.6777,0.4957,0,0.36,0.3239,0,0
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S762724712-048.cnf,1,0.0478,0.2335,0.0931,0.1237,0.7245,0.6326,0.5914,0.39,0.0276,0.2884,0.1714,40,0.1758,0.5878,32,45
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v500-c2130-S9113894-047.SATISFIABLE.cnf,1,0.05,0.2313,0.0915,0.1211,0.6875,0.3458,0.5943,0.4027,0.0225,0.2784,0.124,3867,0.1689,0.5843,3818,3927
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1492329924-074.cnf,1,0.0009,0.0469,0.0018,0.0025,0.822,0.0095,0.7119,0.1559,0,0.102,0,4373,0.0033,0.6374,4273,4400
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_9_all.cnf,1,0,0.0416,0.0232,0.0368,0.9164,0.0955,0.2341,0.8459,0.0024,0.4995,0.8213,3355,0.0665,0.3917,3298,3372
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray02_32.cnf,1,0.0095,0.2222,0.0258,0.0387,1.3728,0.286,0.903,0.1193,1.0142,0.1969,1.1452,1073,0.0446,0.9124,849,1313
SAT_RACE2008/cmu-bmc-longmult15.cnf,1,0.012,0.1752,0.0267,0.0419,0.9448,0.1622,0.8521,0.2515,3.3276,1.179,1.0757,3845,0.0474,0.5176,3551,3845
SAT_RACE2008/schup-l2s-motst-2-k315.cnf,1,0.0333,0.1847,0.1013,0.1834,1.3062,0.3167,0.9095,0.2965,3.426,1.2442,1.1228,0,0.252,0.7365,0,0
SAT_Competition2011/SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.0216,0.2405,0.0331,0.0424,1.1292,0.1739,0.3302,0.7575,1.3431,0.8045,0.9808,0,0.0559,1.5565,0,0
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/60/unif-k7-r89-v60-c5340-S1858385213-060.cnf,1,0.0001,0.0112,0.0001,0.0001,1.0119,0.0002,0.7213,0.0764,0,0.038,0,4515,0.0001,0.6777,4460,4572
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v40000-c168000-S845438593-067-UNKNOWN.cnf,1,0.047,0.2336,0.0923,0.124,0.7206,0.9034,0.5851,0.3905,0.0263,0.2922,0.1644,5,0.1751,0.5881,3,6
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/2000/unif-k3-r4.2-v2000-c8400-S1442480583-017.cnf,1,0.0456,0.2348,0.0917,0.1246,0.6923,0.6266,0.5934,0.3878,0.0183,0.2879,0.1251,153,0.1767,0.5868,142,180
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/460/unif-k3-r4.25-v460-c1955-S2035161427-020.cnf,1,0.0464,0.2302,0.0906,0.1219,0.7292,0.2818,0.5479,0.4099,0.0291,0.291,0.17,3976,0.1737,0.59,3898,4056
SAT_Competition2009/CRAFTED/sgi/sgi-difficult7.cnf,1,0.0004,0.0248,0.0012,0.0016,0.0552,0.0055,0.0092,0.9085,0.037,0.1473,0.1255,0,0.0028,0.007,0,0
SAT_RACE2008/goldb-heqc-alu4mul.cnf,1,0.0302,0.1549,0.0489,0.0609,1.2715,0.3006,0.3192,0.6088,0.0057,3.6102,1.0617,799,0.0968,0.7312,720,825
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/diagnosis/UR-10-5p0.cnf,1,0.0021,0.1646,0.0193,0.0361,1.4502,0.1629,0.6006,0.5361,1.1123,0.7045,1.0735,41,0.053,0.9302,28,577
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v250-c1065-S931339469-052.UNKNOWN.cnf,1,0.0378,0.2295,0.079,0.1065,0.706,0.2612,0.5664,0.3758,0.0288,0.2855,0.1669,4126,0.1568,0.59,4118,4157
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s12930489-sat.cnf,1,0.2295,0.4167,0.2295,0.2295,1.1149,0.2295,0.0001,0.5832,0,0,0.4506,4647,0.2295,0.9858,4641,4714
SAT_Competition2009/CRAFTED/edgematching/fbcolors/em_12_2_4_fbc.cnf,1,0.0006,0.0618,0.0161,0.0018,1.2043,0.1533,0.2281,0.9104,0.004,2.1932,1.1396,84,0.0913,0.5356,72,91
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/480/unif-k3-r4.25-v480-c2040-S1002348653-090.cnf,1,0.0473,0.2327,0.0918,0.1241,0.6594,0.6026,0.5797,0.4026,0.0148,0.2862,0.1044,4016,0.168,0.5846,3842,4039
SAT_Competition2007/random/OnTreshold/3SAT/v600/unif-k3-r4.261-v600-c2556-S1104692480-03.SAT.shuffled.cnf,1,0.0469,0.2286,0.0911,0.125,0.761,0.3618,0.591,0.3972,0.0345,0.3072,0.2175,3824,0.1751,0.5964,3721,3913
SAT_Competition2007/random/OnTreshold/5SAT/v80/unif-k5-r21.3-v80-c1704-S1317485140-08.UNSAT.shuffled.cnf,1,0.0011,0.0469,0.0018,0.0022,0.8537,0.008,0.6321,0.1673,0,0.0861,0,4412,0.0029,0.6518,4333,4458
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g5.cnf,1,0,0.0169,0,0,0.2608,0,0.0248,0.7983,0.0556,0.2241,0.2767,3770,0,0.027,636,4030
SAT_Competition2009/CRAFTED/ramseycube/Q3inK10.cnf,1,0.4988,0.0006,0.4988,0.4988,0,0.4988,0,0,0,0,0,0,0.4988,0,0,0
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.0051,0.1739,0.0159,0.0254,1.3793,0.1312,0.5735,0.5673,0.9554,0.5444,1.0378,0,0.0298,0.9814,0,0
SAT_Competition2011/SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0.0032,0.0581,0.0035,0.0037,1.043,0.0043,0.8514,0.0249,0,0.0121,0.2162,4158,0.0039,0.6696,4077,4277
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_34.cnf,1,0,0.006,0,0,0.6745,0,0.0017,0.6918,0,0.0034,0.6733,1852,0,0.5473,1506,1852
SAT_Competition2009/CRAFTED/rbsat/crafted/unforced/rbsat-v1375c111739g6.cnf,1,0,0.012,0,0,0.2255,0,0.0162,0.8286,0.0417,0.1472,0.2365,213,0,0.0187,182,233
SAT_RACE2006/SAT-Race_TS_2/hoons-vbmc-s04-07.cnf,1,0.0656,0.2195,0.153,0.2403,1.4572,0.2404,0.7104,0.2541,2.8611,1.552,1.1609,2725,0.2403,0.6908,2725,2725
SAT_RACE2008/ibm-2002-30r-k85.cnf,1,0.0047,0.1296,0.0401,0.0541,1.5838,0.3217,0.5928,0.5441,1.072,0.9596,1.3418,75,0.1211,1.3182,75,75
SAT_RACE2006/SAT-Race_TS_1/manol-pipe-c6n.cnf,1,0.013,0.134,0.0716,0.1126,1.7799,0.4585,0.5306,0.5568,5.1268,1.2354,1.6694,663,0.152,0.752,605,703
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-09.cnf,1,0,0.0178,0.0966,0.2062,0.8933,0.5,0.4213,0.804,0.7069,3.3786,0.7387,0,0.3607,0.3844,0,0
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-240-2.shuffled-as.sat05-2519.cnf,1,0.0882,0.1423,0.1036,0.1103,1.617,0.1978,1.5449,0.0371,0,0.2691,0.7996,3372,0.126,0.8022,2674,3557
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.2295,0.4167,0.2295,0.2295,1.108,0.2295,0.0001,0.5832,0,0,0.4506,4606,0.2295,0.8849,4595,4626
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,0.1033,0.3236,0.1812,0.2397,1.353,1,0.5954,0.429,0.341,0.4002,1.0882,1304,0.3085,0.7609,1043,1394
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/400/unif-k3-r4.25-v400-c1700-S418266958-049.cnf,1,0.048,0.2326,0.0912,0.1253,0.6687,0.3361,0.5721,0.406,0.0152,0.2696,0.1162,4046,0.1623,0.5891,3899,4166
SAT-Race-2010-CNF/software-verification/nec/hard-12-U-7061.cnf,1,0.0022,0.1626,0.1269,0.2568,1.5021,0.5,0.447,0.7445,4.575,2.717,1.2648,0,0.3043,0.7429,0,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-24.cnf,1,0.0267,0.2152,0.0484,0.0581,1.2531,0.2965,0.8034,0.2067,0.8442,1.3478,1.0163,1559,0.0926,0.7076,1098,1559
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.0894,0.1369,0.111,0.1201,1.7119,0.2242,1.4477,0.0384,0,0.3387,0.9131,3424,0.151,0.8508,3043,3766
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S906020180-093.cnf,1,0.0469,0.2336,0.0911,0.1222,0.7138,0.5329,0.57,0.3938,0.0262,0.2832,0.1583,64,0.1734,0.5864,55,77
