@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC

@DATA
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.3222,0.2629,0.3561,0.373,1.1977,0.3797,0
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.0474,0.2337,0.0931,0.1247,0.711,0.7443,0.5775
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.185,0.1636,0.1935,0.2006,1.0987,0.2198,0.0152
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.0015,0.05,0.0027,0.0034,0.835,0.0118,0.6848
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.024,0.1328,0.0786,0.1195,1.7619,0.443,0.4458
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0001,0.0118,0.0001,0.0001,1.0012,0.0002,0.7341
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.001,0.0469,0.0019,0.0023,0.8395,0.0121,0.641
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.0461,0.2333,0.0919,0.1235,0.7277,0.6623,0.567
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.0164,0.1236,0.0721,0.1191,1.8652,0.435,0.4497
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.0018,0.1666,0.0151,0.0258,1.3599,0.2025,0.5844
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.0015,0.05,0.0028,0.0035,0.829,0.0202,0.6712
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0.031,0.0385,0.0312,0.0314,0,0.0319,0.0001
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.0418,0.232,0.084,0.1085,0.6795,0.2657,0.5749
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.4971,0.2118,0.4212,0.4999,2.9316,1,0.232
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0,0.0112,0.0001,0.0001,0.9933,0.0002,0.7396
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.001,0.0469,0.002,0.0024,0.8085,0.0102,0.6955
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.1562,0.0997,0.161,0.1608,1.1095,0.1712,0.0045
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.4735,0.1672,0.4471,0.4991,2.5461,0.9999,0.1909
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.012,0.163,0.032,0.0455,1.4994,0.0651,0.7198
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.0894,0.1369,0.111,0.1201,1.7119,0.2242,1.4477
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl032.cnf,1,0.0098,0.1973,0.0267,0.0457,1.4348,0.2894,0.6947
SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf,1,0.0015,0.05,0.0029,0.0037,0.8332,0.0123,0.6919
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1136141672-041.cnf,1,0.0462,0.2337,0.0904,0.1263,0.6938,0.3191,0.594
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,0.0402,0.1666,0.0751,0.1098,1.8983,0.4333,0.5309
SAT_RACE2006/SAT-Race-Benchmarks/goldb-heqc-dalumul.cnf,1,0.0277,0.1565,0.0438,0.0543,1.2701,0.3031,0.2964
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0.0215,0.0358,0.0216,0.0218,0,0.0221,0.0001
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.0031,0.0356,0.0169,0.0256,0.9764,0.0826,0.325
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.004,0.0468,0.0198,0.0289,1.0674,0.0797,0.3358
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0.035,0,0,0.6262,0,0
SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S2109328271-14.cnf,1,0.0015,0.05,0.0027,0.0033,0.8371,0.0134,0.6886
SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1426208256-08.cnf,1,0.0001,0.0118,0.0001,0.0001,1.0031,0.0002,0.652
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0.0001,0.0384,0.0144,0.0249,0.9573,0.0827,0.2756
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1126657927-015.SATISFIABLE.cnf,1,0.001,0.047,0.0018,0.0022,0.8412,0.0061,0.7072
SAT_Competition2009/CRAFTED/parity-games/instance_n5_i5_pp.cnf,1,0.0097,0.108,0.079,0.0769,1.6268,0.3695,0.6348
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0.042,0.25,0.042,0.042,0.5623,0.042,0
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.0249,0.1424,0.155,0.3138,0.7405,0.6587,0.3019
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S72635791-098-UNKNOWN.cnf,1,0.0015,0.05,0.0027,0.0034,0.8303,0.013,0.6891
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,0.4719,0.1631,0.4382,0.499,2.5306,0.9999,0.1873
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1406921020-013.UNKNOWN.cnf,1,0.0406,0.2327,0.0839,0.1129,0.6283,0.3813,0.6048
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,0.4733,0.1663,0.4444,0.499,2.5489,0.9999,0.1899
SAT_Competition2011/SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.0003,0.0221,0.0112,0.0119,0.897,0.272,0.1168
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf,1,0.1041,0.05,0.1058,0.1075,0.9599,0.1115,0.0015
SAT_Competition2007/random/OnTreshold/7SAT/v70/unif-k7-r89-v70-c6230-S1084572666-19.SAT.shuffled.cnf,1,0,0.0112,0.0001,0.0001,0.9952,0.0001,0.6741
SAT-Race-2010-CNF/hardware-verification/velev/12pipe_q0_k.cnf,1,0,0.0193,0.0979,0.2199,0.6842,0.5,0.4528
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S762724712-048.cnf,1,0.0478,0.2335,0.0931,0.1237,0.7245,0.6326,0.5914
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v500-c2130-S9113894-047.SATISFIABLE.cnf,1,0.05,0.2313,0.0915,0.1211,0.6875,0.3458,0.5943
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1492329924-074.cnf,1,0.0009,0.0469,0.0018,0.0025,0.822,0.0095,0.7119
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_9_all.cnf,1,0,0.0416,0.0232,0.0368,0.9164,0.0955,0.2341
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray02_32.cnf,1,0.0095,0.2222,0.0258,0.0387,1.3728,0.286,0.903
SAT_RACE2008/cmu-bmc-longmult15.cnf,1,0.012,0.1752,0.0267,0.0419,0.9448,0.1622,0.8521
SAT_RACE2008/schup-l2s-motst-2-k315.cnf,1,0.0333,0.1847,0.1013,0.1834,1.3062,0.3167,0.9095
SAT_Competition2011/SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.0216,0.2405,0.0331,0.0424,1.1292,0.1739,0.3302
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/60/unif-k7-r89-v60-c5340-S1858385213-060.cnf,1,0.0001,0.0112,0.0001,0.0001,1.0119,0.0002,0.7213
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v40000-c168000-S845438593-067-UNKNOWN.cnf,1,0.047,0.2336,0.0923,0.124,0.7206,0.9034,0.5851
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/2000/unif-k3-r4.2-v2000-c8400-S1442480583-017.cnf,1,0.0456,0.2348,0.0917,0.1246,0.6923,0.6266,0.5934
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/460/unif-k3-r4.25-v460-c1955-S2035161427-020.cnf,1,0.0464,0.2302,0.0906,0.1219,0.7292,0.2818,0.5479
SAT_Competition2009/CRAFTED/sgi/sgi-difficult7.cnf,1,0.0004,0.0248,0.0012,0.0016,0.0552,0.0055,0.0092
SAT_RACE2008/goldb-heqc-alu4mul.cnf,1,0.0302,0.1549,0.0489,0.0609,1.2715,0.3006,0.3192
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/diagnosis/UR-10-5p0.cnf,1,0.0021,0.1646,0.0193,0.0361,1.4502,0.1629,0.6006
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v250-c1065-S931339469-052.UNKNOWN.cnf,1,0.0378,0.2295,0.079,0.1065,0.706,0.2612,0.5664
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s12930489-sat.cnf,1,0.2295,0.4167,0.2295,0.2295,1.1149,0.2295,0.0001
SAT_Competition2009/CRAFTED/edgematching/fbcolors/em_12_2_4_fbc.cnf,1,0.0006,0.0618,0.0161,0.0018,1.2043,0.1533,0.2281
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/480/unif-k3-r4.25-v480-c2040-S1002348653-090.cnf,1,0.0473,0.2327,0.0918,0.1241,0.6594,0.6026,0.5797
SAT_Competition2007/random/OnTreshold/3SAT/v600/unif-k3-r4.261-v600-c2556-S1104692480-03.SAT.shuffled.cnf,1,0.0469,0.2286,0.0911,0.125,0.761,0.3618,0.591
SAT_Competition2007/random/OnTreshold/5SAT/v80/unif-k5-r21.3-v80-c1704-S1317485140-08.UNSAT.shuffled.cnf,1,0.0011,0.0469,0.0018,0.0022,0.8537,0.008,0.6321
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g5.cnf,1,0,0.0169,0,0,0.2608,0,0.0248
SAT_Competition2009/CRAFTED/ramseycube/Q3inK10.cnf,1,0.4988,0.0006,0.4988,0.4988,0,0.4988,0
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.0051,0.1739,0.0159,0.0254,1.3793,0.1312,0.5735
SAT_Competition2011/SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0.0032,0.0581,0.0035,0.0037,1.043,0.0043,0.8514
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_34.cnf,1,0,0.006,0,0,0.6745,0,0.0017
SAT_Competition2009/CRAFTED/rbsat/crafted/unforced/rbsat-v1375c111739g6.cnf,1,0,0.012,0,0,0.2255,0,0.0162
SAT_RACE2006/SAT-Race_TS_2/hoons-vbmc-s04-07.cnf,1,0.0656,0.2195,0.153,0.2403,1.4572,0.2404,0.7104
SAT_RACE2008/ibm-2002-30r-k85.cnf,1,0.0047,0.1296,0.0401,0.0541,1.5838,0.3217,0.5928
SAT_RACE2006/SAT-Race_TS_1/manol-pipe-c6n.cnf,1,0.013,0.134,0.0716,0.1126,1.7799,0.4585,0.5306
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-09.cnf,1,0,0.0178,0.0966,0.2062,0.8933,0.5,0.4213
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-240-2.shuffled-as.sat05-2519.cnf,1,0.0882,0.1423,0.1036,0.1103,1.617,0.1978,1.5449
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.2295,0.4167,0.2295,0.2295,1.108,0.2295,0.0001
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,0.1033,0.3236,0.1812,0.2397,1.353,1,0.5954
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/400/unif-k3-r4.25-v400-c1700-S418266958-049.cnf,1,0.048,0.2326,0.0912,0.1253,0.6687,0.3361,0.5721
SAT-Race-2010-CNF/software-verification/nec/hard-12-U-7061.cnf,1,0.0022,0.1626,0.1269,0.2568,1.5021,0.5,0.447
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-24.cnf,1,0.0267,0.2152,0.0484,0.0581,1.2531,0.2965,0.8034
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.0894,0.1369,0.111,0.1201,1.7119,0.2242,1.4477
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S906020180-093.cnf,1,0.0469,0.2336,0.0911,0.1222,0.7138,0.5329,0.57
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,0.0227,0.1745,0.0313,0.0398,1.0578,0.2389,1.594
SAT_Competition2011/SAT05/industrial/maris05/Rovers/rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0.0064,0.087,0.0399,0.0293,0.9256,0.3971,0.2331
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_fb_unknown.cnf,1,0,0.043,0.0432,0.064,0.4487,0.3589,0.9655
SAT_Competition2009/RANDOM/MEDIUM/7SAT/UNKNOWN/60/unif-k7-r89-v60-c5340-S1772751287-054.cnf,1,0,0.0112,0.0001,0.0001,1.007,0.0001,0.6653
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/560/unif-k3-r4.25-v560-c2380-S45592023-054.cnf,1,0.0483,0.2321,0.0928,0.1231,0.6805,0.3539,0.5409
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl008.sat05-2720.reshuffled-07.cnf,1,0.4909,0.2162,0.4474,0.4999,2.9077,1,0.2343
SAT_Competition2011/SAT09/CRAFTED/edgematching/compact/em_12_2_4_cmp.cnf,1,0.0442,0.0805,0.1195,0.1673,1.0709,0.4075,0.3001
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v945c61409gyes5.cnf,1,0,0.015,0,0,0.2437,0,0.0243
SAT_Competition2009/CRAFTED/Hard/contest04/connamacher/connm-ue-csp-sat-n800-d0.02-s925928766.sat05-538.reshuffled-07.cnf,1,0.0001,0.0611,0.0037,0.0078,1.0565,0.015,0.0986
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,1,0.0558,0.1467,0.1733,0.3173,0.7456,0.5906,0.3328
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf,1,0.3831,0.25,0.3831,0.3832,0.9678,0.3833,0
SAT_Competition2007/crafted/Hard/contest05/others/mod2c-rand3bip-sat-220-1.sat05-2488.reshuffled-07.cnf,1,0.0892,0.1403,0.1099,0.1213,1.6738,0.2363,1.4938
SAT_Competition2007/random/LargeSize/3SAT/v19000/unif-k3-r4.2-v19000-c79800-S1330787624-15.cnf,1,0.0466,0.2339,0.0922,0.124,0.708,0.9255,0.5829
SAT_RACE2008/velev-fvp-sat-3.0-b18.cnf,1,0.0006,0.0308,0.1745,0.2773,1.0885,0.5,0.2889
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1910317962-059.UNKNOWN.cnf,1,0.0406,0.2309,0.0813,0.1153,0.7033,0.3294,0.611
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/crypto/desgen/gss-17-s100.cnf,1,0.0216,0.2406,0.033,0.0424,1.1314,0.1711,0.3319
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-7x6.cnf,1,0.3528,0.0909,0.3528,0.3528,0,0.3528,0
SAT_Competition2007/random/OnTreshold/5SAT/v90/unif-k5-r21.3-v90-c1917-S1282416669-17.SAT.shuffled.cnf,1,0.001,0.0469,0.0018,0.0023,0.8222,0.006,0.7502
SAT_Competition2007/industrial/industrial/anbulagan/diag-sat/dated-10-19-s.cnf,1,0.0001,0.1508,0.0137,0.0239,1.291,0.1987,0.6074
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf,1,0,0.0123,0,0,0.8405,0.0001,0.0146
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/90/unif-k5-r21.3-v90-c1917-S845966893-046.cnf,1,0.0009,0.0469,0.0017,0.0022,0.826,0.0056,0.7244
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-ukn002.sat05-3842.reshuffled-07.cnf,1,0.4765,0.1681,0.4406,0.499,2.6066,0.9991,0.2011
SAT_Competition2011/SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf,1,0.0222,0.171,0.0308,0.0415,1.0359,0.2106,1.9015
SAT_Competition2009/CRAFTED/sgen/sat/sgen1-sat-180-100.cnf,1,0.2295,0.4167,0.2295,0.2295,0,0.2296,0.0001
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes8.cnf,1,0,0.0168,0,0,0.2692,0,0.02
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-12.sat05-2587.reshuffled-07.cnf,1,0.3677,0.2586,0.3649,0.3791,1.1751,0.3813,0
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_443.cnf,1,0,0.0085,0,0,0,0,0.0966
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-g7nidw.cnf,1,0.018,0.1345,0.0785,0.1204,1.854,0.4595,0.4793
SAT_Competition2011/SAT09/CRAFTED/parity-games/instance_n8_i8_pp_ci_ce.cnf,1,0.004,0.0636,0.0625,0.0653,1.5703,0.3587,0.5242
SAT_Competition2009/CRAFTED/parity-games/instance_n4_i4_pp_ci_ce.cnf,1,0.0116,0.1384,0.0868,0.1194,1.5959,0.361,0.7063
SAT_RACE2006/SAT-Race_TS_1/grieu-vmpc-s05-24s.cnf,1,0,0.0085,0,0,1.0494,0,0.0033
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-12-07-08.sat05-1251.reshuffled-07.cnf,1,0.0221,0.0503,0.1215,0.2094,1.393,0.2586,0.0402
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom13.cnf,1,0.0547,0.1827,0.0997,0.168,1.5391,0.2404,0.886
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.3418,0.3177,0.3335,0.3887,1.0749,0.3907,1.3536
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/440/unif-k3-r4.25-v440-c1870-S1339293988-069.cnf,1,0.0457,0.2313,0.0893,0.1239,0.7272,0.4078,0.5952
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libmsrpc_vc1225336-tseitin.cnf,1,0.0274,0.2003,0.0576,0.0651,1.4861,0.4996,0.6727
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v400-c1704-S1409021001-079.UNKNOWN.cnf,1,0.0449,0.2293,0.0884,0.1181,0.7374,0.3056,0.6048
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S446351158-079.SATISFIABLE.cnf,1,0.0011,0.047,0.0018,0.0021,0.8353,0.0057,0.7035
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.0002,0.0371,0.0125,0.0113,0.5612,0.1517,0.0751
SAT_RACE2008/simon-s02b-r4b1k1.1.cnf,1,0.0127,0.1484,0.0178,0.0222,1.3864,0.0827,0.3063
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-4_511.cnf,1,0.0043,0.1137,0.0285,0.0303,0,0.2667,0
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/90/unif-k5-r21.3-v90-c1917-S824721511-001.cnf,1,0.0009,0.0469,0.0016,0.0021,0.8127,0.0049,0.7012
SAT_Competition2009/CRAFTED/edgematching/fbcolors/em_14_7_3_fbc.cnf,1,0.0046,0.0701,0.047,0.0591,1.1833,0.2983,0.1253
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S45173584-020.cnf,1,0.0015,0.05,0.0027,0.0035,0.8266,0.0121,0.7221
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S445910413-047.cnf,1,0,0.0112,0.0001,0.0001,1.0077,0.0002,0.6592
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf,1,0.0088,0.1378,0.0504,0.0835,1.7862,0.2089,0.4984
