@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC

@DATA
5-fullins-4-7.xml.watchless.minion.gz,1,0.158896,154,0.013825
5-fullins-4-8.xml.watchless.minion.gz,1,0.158896,136,0.013825
5-fullins-4-9.xml.watchless.minion.gz,1,0.158896,96,0.013825
abb313GPIA-10.xml.watchless.minion.gz,1,1.089224,104,0.043674
abb313GPIA-5.xml.watchless.minion.gz,1,1.089224,184,0.043674
abb313GPIA-7.xml.watchless.minion.gz,1,1.089224,154,0.043674
abb313GPIA-8.xml.watchless.minion.gz,1,1.089224,136,0.043674
abb313GPIA-9.xml.watchless.minion.gz,1,1.089224,96,0.043674
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.796046,136,0.05
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.795805,128,0.05
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.795776,128,0.05
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.795656,128,0.05
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.795656,136,0.06
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.796552,136,0.05
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.796287,136,0.05
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.79571,136,0.06
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.791291,128,0.07
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.790977,136,0.07
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.791635,136,0.06
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.79115,136,0.07
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.791037,136,0.07
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.791492,136,0.07
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.791431,136,0.08
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.791607,136,0.07
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.780003,136,0.11
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.780308,136,0.12
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.780538,136,0.11
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.780208,136,0.12
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.769331,136,0.2
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.769318,136,0.19
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.769267,136,0.2
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.769022,136,0.2
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.795331,128,0.025
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.795271,136,0.025
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.79557,136,0.025
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.795191,136,0.025
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.795749,136,0.03
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.796105,136,0.03
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.795703,136,0.025
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.795257,128,0.03
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.791154,136,0.035
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.791381,128,0.035
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.791097,136,0.03
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.790997,136,0.035
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.790984,136,0.035
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.791324,136,0.04
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.791054,136,0.04
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.790842,136,0.04
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.779643,136,0.06
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.779963,136,0.06
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.77981,136,0.06
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.779743,136,0.06
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.768757,136,0.12
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.768523,136,0.12
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.768748,136,0.125
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.768699,136,0.12
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.79658,136,0.1
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.796826,136,0.1
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.796433,136,0.1
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.796679,145,0.1
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.798562,136,0.1
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.79658,136,0.1
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.798329,136,0.1
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.796826,136,0.1
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.792436,128,0.12
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.792021,136,0.14
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.791967,128,0.14
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.79249,136,0.12
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.791735,128,0.16
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.792436,136,0.14
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.79291,136,0.14
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.792302,136,0.14
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.780861,136,0.24
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.780167,136,0.22
aim-50-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.780167,128,0.22
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.780504,136,0.22
aim-50-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.768922,136,0.36
aim-50-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.769284,136,0.34
aim-50-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.770237,136,0.34
aim-50-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.769912,136,0.36
ash331GPIA-3.xml.watchless.minion.gz,1,0.236166,324,0.018127
ash331GPIA-4.xml.watchless.minion.gz,1,0.236166,263,0.018127
ash608GPIA-3.xml.watchless.minion.gz,1,0.232574,324,0.009868
ash608GPIA-4.xml.watchless.minion.gz,1,0.232574,263,0.009868
ash958GPIA-3.xml.watchless.minion.gz,1,0.230512,324,0.006785
ash958GPIA-4.xml.watchless.minion.gz,1,0.230512,263,0.006785
bf-0432-007_ext.xml.minion.converted.minion.gz,1,0.839212,260,0.006186
bf-1355-075_ext.xml.minion.converted.minion.gz,1,0.816032,250,0.0044
bf-1355-638_ext.xml.minion.converted.minion.gz,1,0.773016,253,0.007519
bf-2670-001_ext.xml.minion.converted.minion.gz,1,0.861272,487,0.003215
BlackHole-4-13-e-0_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808
BlackHole-4-13-e-1_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808
BlackHole-4-13-e-2_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808
BlackHole-4-13-e-3_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808
BlackHole-4-13-m-0_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808
BlackHole-4-13-m-1_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808
BlackHole-4-13-m-2_ext.xml.minion.converted.minion.gz,1,0.704805,45,0.254808
BlackHole-4-4-e-0_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625
BlackHole-4-4-e-0_ext.xml.minion.conv.minion,1,0.765547,119,0.265625
BlackHole-4-4-e-1_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625
BlackHole-4-4-e-1_ext.xml.minion.conv.minion,1,0.765547,119,0.265625
BlackHole-4-4-e-2_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625
BlackHole-4-4-e-2_ext.xml.minion.conv.minion,1,0.765547,119,0.265625
BlackHole-4-4-e-3_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625
BlackHole-4-4-e-3_ext.xml.minion.conv.minion,1,0.765547,119,0.265625
BlackHole-4-4-e-4_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625
BlackHole-4-4-e-4_ext.xml.minion.conv.minion,1,0.765547,119,0.265625
BlackHole-4-4-e-5_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625
BlackHole-4-4-e-5_ext.xml.minion.conv.minion,1,0.765547,119,0.265625
BlackHole-4-4-e-6_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625
BlackHole-4-4-e-6_ext.xml.minion.conv.minion,1,0.765547,119,0.265625
BlackHole-4-4-e-7_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625
BlackHole-4-4-e-7_ext.xml.minion.conv.minion,1,0.765547,119,0.265625
BlackHole-4-4-e-8_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625
BlackHole-4-4-e-8_ext.xml.minion.conv.minion,1,0.765547,119,0.265625
BlackHole-4-4-e-9_ext.xml.minion.converted.minion.gz,1,0.765547,119,0.265625
BlackHole-4-4-e-9_ext.xml.minion.conv.minion,1,0.765547,119,0.265625
BlackHole-4-7-e-0_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-e-1_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-e-2_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-e-3_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-e-4_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-e-5_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-e-6_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-e-7_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-e-8_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-e-9_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-h-0_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-h-1_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-h-2_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-h-3_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-h-4_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-h-5_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-h-6_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-h-7_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-h-8_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
BlackHole-4-7-h-9_ext.xml.minion.converted.minion.gz,1,0.731359,53,0.258929
bqwh-15-106-0_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-10_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-11_ext.xml.minion.converted.minion.gz,1,0.813791,105,0.084906
bqwh-15-106-11_glb.xml.minion.conv.minion,1,0.468439,145,0.113208
bqwh-15-106-13_ext.xml.minion.converted.minion.gz,1,0.816022,96,0.075472
bqwh-15-106-13_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-14_glb.xml.minion.conv.minion,1,0.44468,135,0.103774
bqwh-15-106-15_ext.xml.minion.converted.minion.gz,1,0.81385,88,0.075472
bqwh-15-106-15_glb.xml.minion.conv.minion,1,0.376238,104,0.113208
bqwh-15-106-17_ext.xml.minion.converted.minion.gz,1,0.813643,83,0.075472
bqwh-15-106-18_glb.xml.minion.conv.minion,1,0.419818,116,0.113208
bqwh-15-106-19_ext.xml.minion.converted.minion.gz,1,0.812998,87,0.075472
bqwh-15-106-19_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-1_ext.xml.minion.converted.minion.gz,1,0.812797,89,0.075472
bqwh-15-106-1_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-20_glb.xml.minion.conv.minion,1,0.385393,109,0.113208
bqwh-15-106-21_ext.xml.minion.converted.minion.gz,1,0.815304,98,0.075472
bqwh-15-106-21_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-22_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-23_ext.xml.minion.converted.minion.gz,1,0.815014,96,0.075472
bqwh-15-106-23_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-24_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-25_ext.xml.minion.converted.minion.gz,1,0.814489,88,0.084906
bqwh-15-106-25_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-26_glb.xml.minion.conv.minion,1,0.37128,106,0.113208
bqwh-15-106-27_ext.xml.minion.converted.minion.gz,1,0.814425,90,0.075472
bqwh-15-106-28_glb.xml.minion.conv.minion,1,0.378533,105,0.113208
bqwh-15-106-29_ext.xml.minion.converted.minion.gz,1,0.815775,96,0.075472
bqwh-15-106-29_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-2_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-30_glb.xml.minion.conv.minion,1,0.346085,97,0.113208
bqwh-15-106-31_ext.xml.minion.converted.minion.gz,1,0.815127,88,0.075472
bqwh-15-106-31_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-32_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-33_ext.xml.minion.converted.minion.gz,1,0.815699,96,0.075472
bqwh-15-106-33_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-34_glb.xml.minion.conv.minion,1,0.378161,105,0.113208
bqwh-15-106-35_ext.xml.minion.converted.minion.gz,1,0.810194,82,0.084906
bqwh-15-106-35_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-36_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-37_ext.xml.minion.converted.minion.gz,1,0.81485,98,0.075472
bqwh-15-106-37_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-38_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-39_ext.xml.minion.converted.minion.gz,1,0.812582,86,0.084906
bqwh-15-106-39_glb.xml.minion.conv.minion,1,0.357077,105,0.113208
bqwh-15-106-3_ext.xml.minion.converted.minion.gz,1,0.814517,89,0.075472
bqwh-15-106-3_glb.xml.minion.conv.minion,1,0.388101,108,0.113208
bqwh-15-106-40_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-41_ext.xml.minion.converted.minion.gz,1,0.814238,88,0.075472
bqwh-15-106-41_glb.xml.minion.conv.minion,1,0.383365,108,0.113208
bqwh-15-106-42_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-43_ext.xml.minion.converted.minion.gz,1,0.814929,89,0.075472
bqwh-15-106-43_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-44_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-45_ext.xml.minion.converted.minion.gz,1,0.812863,87,0.09434
bqwh-15-106-45_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-46_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-47_ext.xml.minion.converted.minion.gz,1,0.815404,96,0.075472
bqwh-15-106-47_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-48_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-49_ext.xml.minion.converted.minion.gz,1,0.814767,88,0.084906
bqwh-15-106-49_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-4_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-50_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-51_ext.xml.minion.converted.minion.gz,1,0.814144,87,0.084906
bqwh-15-106-51_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-53_ext.xml.minion.converted.minion.gz,1,0.815134,90,0.084906
bqwh-15-106-53_glb.xml.minion.conv.minion,1,0.40632,112,0.113208
bqwh-15-106-54_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-55_ext.xml.minion.converted.minion.gz,1,0.813846,86,0.084906
bqwh-15-106-55_glb.xml.minion.conv.minion,1,0.375078,104,0.113208
bqwh-15-106-56_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-57_ext.xml.minion.converted.minion.gz,1,0.809256,83,0.084906
bqwh-15-106-57_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-58_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-59_ext.xml.minion.converted.minion.gz,1,0.81274,87,0.084906
bqwh-15-106-59_glb.xml.minion.conv.minion,1,0.359391,98,0.113208
bqwh-15-106-5_ext.xml.minion.converted.minion.gz,1,0.812902,84,0.084906
bqwh-15-106-5_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-60_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-61_ext.xml.minion.converted.minion.gz,1,0.808669,82,0.084906
bqwh-15-106-61_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-62_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-63_ext.xml.minion.converted.minion.gz,1,0.814503,89,0.075472
bqwh-15-106-63_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-65_ext.xml.minion.converted.minion.gz,1,0.8151,89,0.075472
bqwh-15-106-65_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-66_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-67_ext.xml.minion.converted.minion.gz,1,0.815013,98,0.075472
bqwh-15-106-67_glb.xml.minion.conv.minion,1,0.398353,121,0.113208
bqwh-15-106-68_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-69_ext.xml.minion.converted.minion.gz,1,0.811536,87,0.09434
bqwh-15-106-69_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-6_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-70_glb.xml.minion.conv.minion,1,0.403611,108,0.113208
bqwh-15-106-71_ext.xml.minion.converted.minion.gz,1,0.81488,98,0.084906
bqwh-15-106-71_glb.xml.minion.conv.minion,1,0.407097,109,0.113208
bqwh-15-106-72_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-73_ext.xml.minion.converted.minion.gz,1,0.814376,89,0.075472
bqwh-15-106-73_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-74_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-75_ext.xml.minion.converted.minion.gz,1,0.812895,84,0.084906
bqwh-15-106-75_glb.xml.minion.conv.minion,1,0.359923,102,0.113208
bqwh-15-106-76_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-77_ext.xml.minion.converted.minion.gz,1,0.814681,106,0.075472
bqwh-15-106-77_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-78_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-79_ext.xml.minion.converted.minion.gz,1,0.815261,89,0.075472
bqwh-15-106-79_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-7_ext.xml.minion.converted.minion.gz,1,0.815281,96,0.075472
bqwh-15-106-7_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-80_glb.xml.minion.conv.minion,1,0.363999,102,0.113208
bqwh-15-106-81_ext.xml.minion.converted.minion.gz,1,0.814812,88,0.075472
bqwh-15-106-81_glb.xml.minion.conv.minion,1,0.386553,106,0.113208
bqwh-15-106-83_ext.xml.minion.converted.minion.gz,1,0.814694,90,0.084906
bqwh-15-106-83_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-84_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-85_ext.xml.minion.converted.minion.gz,1,0.814083,88,0.075472
bqwh-15-106-85_glb.xml.minion.conv.minion,1,0.379847,106,0.113208
bqwh-15-106-86_glb.xml.minion.conv.minion,1,0.356301,98,0.113208
bqwh-15-106-87_ext.xml.minion.converted.minion.gz,1,0.8119,88,0.075472
bqwh-15-106-87_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-88_glb.xml.minion.conv.minion,1,0.363693,104,0.113208
bqwh-15-106-89_ext.xml.minion.converted.minion.gz,1,0.813596,89,0.075472
bqwh-15-106-89_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-8_glb.xml.minion.conv.minion,1,?,?,?
bqwh-15-106-90_glb.xml.minion.conv.minion,1,0.40998,121,0.113208
