@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE v_sum_deg_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE dy_static_time NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE dy_tot_time NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE dy_fzn_time NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE gr_max_deg_vg NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC

@DATA
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,4,20.879736,1,4,0.248408,2,1,4,0,0,2428,6337,0,6337,0,3.833265,1214,0,0.318088,150.783695,0,2,12674,0,3.833265,6337,0.701374,0,0,0,12674,0,2537.644916,607,12674,0.488583,4,12674,607,0,11.640857,2,25348,0,0.666667,607,3.1,0,0.701374,3.127213,5.84,0.455654,30,0.69,0.019802,202,0.626101,202,0,5.277076,0
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,4,28.640845,1,4,0.181949,2,1,4,0,0,3408,12201,0,12201,0,5.055056,1704,0,0.04307,155.020452,0,2,24402,0,5.055056,12201,0.713313,0,0,0,24402,0,3942.949153,852,24402,0.473842,4,24402,852,0,9.669014,2,48804,0,0.5,852,4.2,0,0.713313,3.246226,7.85,0.305677,19,1.58,0.018605,215,-1,215,0,-1,0
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,8.701235,0.114926,17.402469,4.643856,17.402469,1,5,0.362095,2.321928,1,4.643856,0,0,2025,3524,0,3524,0,3.790965,940.380878,0,0.741247,146.648435,0,2.321928,7048,0,3.790965,3524,0.623264,0,0,0,8182.474606,0,1593.790885,405,7048,0.427097,5,7806.799294,405,0,12.088889,2,16364.949213,0,0.833333,405,0.8,0,0.623264,3.532405,2.86,0.790129,40,0.34,0.059524,84,0.497161,84,0,5.381285,0
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,5.169925,20.879736,1,6,0.372612,2.584963,1,5.169925,0,0,3642,6337,0,6337,0,3.833265,1569.072238,-1,0.801339,226.175542,-1,2.584963,12674,0,3.833265,6337,0.701374,0,0,0,16380.907367,0,2537.644916,607,12674,0.488583,6,15019.598421,607,0,11.640857,2,32761.814734,0,1,607,3.08,0,0.701374,3.127213,5.82,0.455654,30,0.68,0.029703,202,0.626101,202,0,5.277076,0
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,3.778947,0.264624,7.557895,4,7.557895,1,4,0.572503,2,1,4,0,0,1900,1795,0,1795,0,1.408585,950,0,0.110769,271.938911,0,2,3590,0,1.408585,1795,0.531234,0,0,0,3590,0,1353.561223,475,3590,0.243825,4,3590,475,0,54.625263,2,7180,0,1,475,0.19,0,0.531234,5.497163,2.43,0.404824,115,0.19,0.050633,79,0.838335,79,0,1.985377,0
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,5.142857,0.194444,10.285714,5.169925,10.285714,1,6,0.756897,2.584963,1,5.169925,0,0,924,792,0,792,0,2.448476,398.084225,0,1.061591,116.562068,0,2.584963,1584,0,2.448476,792,0.57589,0,0,0,2047.290301,0,486.142172,154,1584,0.435673,6,1877.153535,154,0,8.311688,2,4094.580601,0,1.5,154,0.05,0,0.57589,3.608672,2.15,0.709731,29,0.07,0.222222,27,0.392877,27,0,3.458095,0
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,5.142857,0.194444,10.285714,5.61471,10.285714,1,7,0.883046,2.807355,1,5.61471,0,0,1078,792,0,792,0,2.448476,432.332658,0,1.061591,135.98908,0,2.807355,1584,0,2.448476,792,0.57589,0,0,0,2223.425098,0,486.142172,154,1584,0.435673,7,1971.455484,154,0,8.311688,2,4446.850197,0,1.75,154,0.04,0,0.57589,3.608672,2.15,0.709731,29,0.07,0.259259,27,0.392877,27,0,3.458095,0
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,6.074257,0.164629,12.148515,4.643856,12.148515,1,5,0.491187,2.321928,1,4.643856,0,0,1010,1227,0,1227,0,2.997733,469.029475,-1,0.998231,99.219688,-1,2.321928,2454,0,2.997733,1227,0.548023,0,0,0,2849.005772,0,699.618418,202,2454,0.392361,5,2718.201684,202,0,13.158416,2,5698.011545,0,1,202,0.1,0,0.548023,4.181638,2.24,0.573638,46,0.1,0.074627,67,0.451873,67,0,4.102625,0
normalized-46s-smv.xml.mzn_AND_NODATA,1,1.723945,0.580065,6.377792,3.649874,10.408189,1,1.801489,0.378053,0.985662,1,13,0,0.221416,2904,2779,1.350737,4212.421278,0.71894,3.379324,1292,0.982006,2.301525,609.421674,0.067324,1,8337,0,3.302871,2779,2.315368,0,0,0,2739.153846,0,3315.849389,1612,10281,0.671302,2,4142.964099,1612,0,5.66129,3.699532,10143,0.970936,1,1612,1.6,1.352633,2.159785,3.719351,4.76,0.858983,28,1.08,0.009434,212,1.780413,357,0,4.955747,0
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,3.72242,0.268642,7.44484,3.169925,7.44484,1,3,0.439498,1.584963,1,3.169925,0,0,843,1046,0,1046,0,1.588719,445.374463,0,0.936117,123.499026,0,1.584963,2092,0,1.588719,1046,0.491696,0,0,0,1657.870776,0,793.13323,281,2092,0.258952,3,1741.013348,281,0,46.128114,2,3315.741552,0,0.75,281,0.07,0,0.491696,4.728864,2.22,0.296572,67,0.11,0.053571,56,0.654286,56,0,2.227353,0
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,3.865385,0.258706,7.730769,4,7.730769,1,4,0.590743,2,1,4,0,0,208,201,0,201,0,2.609496,104,0,0.890492,30.718615,0,2,402,0,2.609496,201,0.390634,0,0,0,402,0,148.237462,52,402,0.342333,4,402,52,0,6.403846,2,804,0,1,52,0.01,0,0.390634,2.666813,2.09,0.337233,9,0.03,0.266667,15,0.2922,15,0,3.659697,0
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.62,1,2,0.604333,1,1,3,0,0,400,260,0.961237,353.594,0,1.157745,200,0.186016,0.346981,120.866667,0,1,780,0,1.803639,260,0.214677,0,0,0,260,0,348.985078,200,680,0.150177,2,353.594,200,0,47.41,2.615385,680,0.186016,0.666667,200,0.02,0.961237,0.178905,5.333997,2.1,0.264871,74,0.05,0.4,5,0.270603,9,0,2.697578,0
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.46,0.555556,2,0.736667,1,0.333333,3,0.666667,0,600,200,0.991076,453.594,0,1.693646,300,0.203279,0.286397,221,0,1,920,0,1.995767,360,0.452248,200,200,0.444444,360,200,448.798859,300,880,0.272585,2,453.594,100,160,6.533333,2.444444,880,0.203279,1,100,0.02,0.991076,0.284318,3.606939,2.1,0.6535,25,0.05,0.4,5,0.436955,9,0,2.661092,0
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,9.637681,0.103759,19.275362,5.169925,19.275362,1,6,0.406858,2.584963,1,5.169925,0,0,4140,6650,0,6650,0,3.730763,1783.624125,-1,0.864757,280.732127,-1,2.584963,13300,0,3.730763,6650,0.700023,0,0,0,17190.00063,0,2794.838676,690,13300,0.449044,6,15761.45329,690,0,12.511594,2,34380.00126,0,1,690,2.77,0,0.700023,3.840313,5.6,0.494538,35,0.77,0.05042,119,0.582101,119,0,5.296715,0
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,5.169925,28.640845,1,6,0.272923,2.584963,1,5.169925,0,0,5112,12201,0,12201,0,5.055056,2202.388051,0,0.376177,232.530678,0,2.584963,24402,0,5.055056,12201,0.713313,0,0,0,31539.127471,0,3942.949153,852,24402,0.473842,6,28918.119037,852,0,9.669014,2,63078.254943,0,0.75,852,4.2,0,0.713313,3.246226,7.89,0.305677,19,1.62,0.027907,215,-1,215,0,-1,0
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,4,13.790896,1,4,0.335645,2,1,4,0,0,5624,9695,0,9695,0,2.317467,2812,0,0.474383,471.916903,0,2,19390,0,2.317467,9695,0.735868,0,0,0,19390,0,5153.0049,1406,19390,0.359898,4,19390,1406,0,54.478663,2,38780,0,0.8,1406,4.34,0,0.735868,5.608482,7.82,0.376342,134,1.41,0.014235,281,-1,281,0,-1,0
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,4.643856,13.790896,1,5,0.419556,2.321928,1,4.643856,0,0,7030,9695,0,9695,0,2.317467,3264.630901,0.000001,0.935897,589.896129,0.000001,2.321928,19390,0,2.317467,9695,0.735868,0,0,0,22511.09288,0,5153.0049,1406,19390,0.359898,5,21477.559352,1406,0,54.478663,2,45022.18576,0,1,1406,4.34,0,0.735868,5.608482,7.81,0.376342,134,1.4,0.017794,281,-1,281,0,-1,0
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1.5,0.666667,4,2.666667,6.71,1,2,0.5,1,1,3,0,0,400,300,0.918296,416.9925,0,0,200,0.176777,0,100,0,1,900,0,0.932533,300,0.072384,0,0,0,300,0,400,200,800,0,2,416.9925,200,0,41.105,2.666667,800,0.176777,0.5,200,0.02,0.918296,0,5.161123,2.1,0.274565,68,0.05,0.5,4,0.172323,7,0,1.579863,0
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.93,2.441667,4.386667,0.555556,2,0.737286,1,0.333333,3,0.666667,0,600,200,0.990159,453.009038,0,1.690855,300,0.20338,0.242292,221.185714,0,1,920,0,2.092088,360,0.44655,200,200,0.444444,360,200,448.318502,300,879,0.27143,2,453.009038,100,160,4.89,2.441667,879,0.20338,1,100,0.02,0.990159,0.286588,3.096106,0.14,0.643589,19,0.05,0.285714,7,0.435833,13,0,2.60937,0
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.33,2.4975,5.133333,0.5,2,0.667222,1,0.333333,3,0.666667,0,600,200,0.999982,516.407538,0,0.948572,300,0.200198,0,200.166667,0,1,1000,0,1.521737,400,0.438588,200,200,0.5,400,200,499.584963,300,999,0.352964,2,516.407538,100,200,4.006667,2.4975,999,0.200198,1,100,0.02,0.999982,0.282947,2.653228,2.11,0.575666,13,0.05,0.5,4,0.374985,7,0,1.475288,0
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,1.326667,0.753769,3.31,2.494975,5.106667,0.502513,2,0.670556,1,0.333333,3,0.666667,0,600,200,0.999927,513.237613,0,1.064214,300,0.200393,0,201.166667,0,1,996,0,1.638127,398,0.440577,200,200,0.497487,398,200,497.094738,300,993,0.349398,2,513.237613,100,198,4.086667,2.494975,993,0.200393,1,100,0.02,0.999927,0.2835,2.712271,2.11,0.540878,12,0.05,0.5,4,0.378606,7,0,1.656276,0
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,3.778947,0.264624,7.557895,3.169925,7.557895,1,3,0.429377,1.584963,1,3.169925,0,0,1425,1795,0,1795,0,1.408585,752.857188,-1,0.882574,203.954183,-1,1.584963,3590,0,1.408585,1795,0.531234,0,0,0,2845.007689,0,1353.561223,475,3590,0.243825,3,2987.68543,475,0,54.625263,2,5690.015378,0,0.75,475,0.2,0,0.531234,5.497163,2.43,0.404824,115,0.19,0.037975,79,0.838335,79,0,1.985377,0
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.7,1,2,0.500833,1,1,3,0,0,400,300,0.921593,416.407538,0,0.045415,200,0.177435,0,100.166667,0,1,900,0,0.905162,300,0.073119,0,0,0,300,0,399.584963,200,799,0.023472,2,416.407538,200,0,41.42,2.663333,799,0.177435,0.666667,200,0.01,0.921593,0.017655,5.084632,2.11,0.227717,69,0.05,0.5,4,0.17266,7,0,1.542002,0
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.453333,0.555556,2,0.737444,1,0.333333,3,0.666667,0,600,200,0.989197,452.424075,0,1.690855,300,0.203474,0.242292,221.233333,0,1,920,0,1.994514,360,0.451034,200,200,0.444444,360,200,448.096109,300,878,0.270911,2,452.424075,100,160,6.443333,2.438889,878,0.203474,1,100,0.02,0.989197,0.282028,3.544501,2.09,0.54416,20,0.04,0.333333,6,0.431055,11,0,2.587193,0
normalized-25s-smv.xml.mzn_AND_NODATA,1,1.868099,0.535303,7.048107,3.716095,12.044558,1,1.787658,0.396665,0.982142,1,15,0,0.228772,9067,9475,1.29745,14274.744639,0.745936,3.022216,3995,1.086168,2.518517,2011.882543,0.075937,1,28425,0,2.977039,9475,2.834897,0,0,0,9305.8,0,10157.090084,5072,35748,0.643642,2,13978.481033,5072,0,6.651617,3.772876,35210,1.068341,1,-1,4.47,1.332091,2.373003,3.907571,14.46,0.818126,39,7.84,0.005882,340,-1,631,0,-1,0
normalized-44s-smv.xml.mzn_AND_NODATA,1,1.278788,0.781991,5.705051,4.35861,11.357576,1,1.761616,0.405183,0.971442,1,13,0,0.241877,872,633,1.455197,1073.868955,0.792342,3.364944,377,0.980102,2.104389,200.565823,0.093598,1,1899,0,3.425601,633,1.746067,0,0,0,614.923077,0,954.530936,495,2824,0.673452,2,1042.419186,495,0,5.80404,4.461295,2759,0.958856,1,495,0.12,1.460184,1.836038,3.514837,2.35,0.950782,27,0.19,0.020833,96,1.371392,173,0,4.223542,0
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,2.2,0.454545,6.085,2.765909,10.2,1,2,0.329631,1,1,3,0,0,400,440,0.785075,637.132363,0,0.591386,200,0.153089,0,65.92619,0,1,1320,0,2.039848,440,0.103291,0,0,0,440,0,520.621498,200,1217,0.051819,2,637.132363,200,0,30.615,2.765909,1217,0.153089,0.4,200,0.02,0.785075,0.056398,4.831594,2.12,0.252562,51,0.06,0.25,8,0.154853,13,0,2.485011,0
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.413333,0.555556,2,0.736222,1,0.333333,3,0.666667,0,600,200,0.991076,453.594,0,1.690126,300,0.203279,0.257372,220.866667,0,1,920,0,2.120722,360,0.446466,200,200,0.444444,360,200,448.985078,300,880,0.272608,2,453.594,100,160,4.973333,2.444444,880,0.203279,1,100,0.02,0.991076,0.28158,3.109397,2.09,0.586657,14,0.04,0.4,5,0.43028,9,0,2.64541,0
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.373333,0.555556,2,0.739222,1,0.333333,3,0.666667,0,600,200,0.989197,452.424075,0,1.709178,300,0.203474,0.300391,221.766667,0,1,920,0,2.113667,360,0.450441,200,200,0.444444,360,200,447.401743,300,878,0.2718,2,452.424075,100,160,7.416667,2.438889,878,0.203474,1,100,0.02,0.989197,0.291527,3.784292,2.09,0.602327,23,0.04,0.333333,6,0.438574,10,0,2.677766,0
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.7,1,2,0.500833,1,1,3,0,0,400,300,0.921593,416.407538,0,0.045415,200,0.177435,0,100.166667,0,1,900,0,0.97968,300,0.078978,0,0,0,300,0,399.584963,200,799,0.023472,2,416.407538,200,0,43.885,2.663333,799,0.177435,0.666667,200,0.02,0.921593,0.017655,5.093431,2.1,0.231476,66,0.04,0.5,4,0.175829,7,0,1.631423,0
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1.3,0.769231,3.3975,2.613462,5.665,1,2,0.60525,1,1,3,0,0,800,520,0.962529,706.603038,0,1.173211,400,0.186326,0.346981,242.1,0,1,1560,0,1.65962,520,0.21386,0,0,0,520,0,697.251112,400,1359,0.150903,2,706.603038,400,0,70.09,2.613462,1359,0.186326,0.666667,400,0.05,0.962529,0.183692,6.048745,2.19,0.283018,139,0.1,0.333333,6,0.275311,10,0,2.749786,0
