@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE reducedClauses NUMERIC

@DATA
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.9299,0.9299,0.7848,1.3783,0.7373,0.0248,0.9299,0.9048,2.9323,0.0076,0.7734,24.5809,23.9299,0.0556,42.4065,0.0486,13.0574,48.4489,65.1125,0.7983,41.0017,57.2583,0.7384,44.7709,28.2714,0.7982,42641,65.1125,40.1006,0.9611,40.1006,43649,3,4.4534,0.0044,0.0014,3,0.0026,760,0.0467,0.2241,0.005,3,0.9957,0.1731,?,?,?,4.9022,324.91,0.0025,0.0922,0.2071,0.2128,0.0522,0.0026,4.4576,0.36,0.0045,0.8585,325,0.1028,0.0169,0.0236
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0,0.0107,0.0647,0.016,0.5703,0.6574,0,0.6947,1.6947,0.1204,0.0375,6.1613,1.6871,0,7.1515,0.1053,0.2791,18.4401,19.7884,0.1178,18.0426,19.0106,0.0348,18.5081,0.9785,0.0713,36888,19.7884,17.4623,0.1842,17.4623,36888,2,0.0013,0.0021,0.0006,2,0.0025,95,0.0436,0.1413,0.0025,2,0.9114,0.1839,?,?,?,1.6892,11.043,0.0711,0.0183,0.0642,0.3199,0.0852,0.0011,2.7985,0.136,0.1052,0.241,11,0.6253,0.0026,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_390.cnf,1,0.0032,0.0873,0.6422,1.0699,0.6841,0.1077,0.9127,0.803,3.3218,0.0305,0.6301,20.8631,21.9479,0,13.3078,0.1026,0.252,39.8879,42.5313,0.6932,36.6908,42.5313,0.6107,40.4414,24.563,0.6708,20607,42.5313,36.6908,0.0035,36.6908,20607,2.1031,2.3978,0.0129,0.001,2,0.0093,195,0.1547,0.2479,0.0094,3,0.9946,3.8385,?,?,?,4.9956,76.2231,0.0104,0.1275,0.2531,0.3579,0.0028,0.0089,4.7081,0.814,0.023,0.9782,76,0.2392,0.0095,0
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,1,0,0.2504,0.0025,0.1608,0.2067,1.4426,0,0.4878,0.9674,0.0277,0.0002,27.7525,1.572,0,27.6506,0.0169,0.1453,28.9103,42.1051,0.0391,26.0462,33.6687,0,32.4906,0.9852,0.0134,2596,42.1051,11.8748,0.4441,11.8748,2596,6.204,0.2011,0.0046,0.0012,6,0.0027,354,0.0454,0.3459,0.0034,7,0.962,0.1298,0.7019,0.0381,0.0206,1.4343,56.0509,0.0092,0,0.0261,0.2024,0.0336,0.003,1.8659,0.2,0.0128,0.3002,56,0.4208,0.1364,0
./SAT11/crafted/skvortsov/battleship/battleship-16-16-unsat.cnf,1,0.8824,0.8824,0.7577,1.2368,0.8331,0.0002,0.8824,0.8745,0,0.0142,0.7576,16.5052,3.5387,0,15.9889,0.0625,0.1419,80.3554,81.2825,0.7578,78.9748,81.2825,0.7575,80.8087,2.9757,0.7579,2176,81.2825,78.9748,0.0037,78.9748,2176,3,0.0023,0.0069,0.0069,3,0.085,256,0,0,0.085,3,0.9808,0.1163,0.0606,0.1103,0.026,0,95.801,0.0142,0.0323,0.0323,0,0.0073,0.0069,0,0.0323,0.0142,0.7581,96,0.2772,0.1176,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_506.cnf,1,0.0024,0.0769,0.6777,1.1742,0.7105,0.0904,0.9231,0.8383,3.3188,0.0239,0.6664,27.2359,27.3461,0,18.2982,0.0909,6.3842,58.792,65.3275,0.7191,52.4617,65.3275,0.6532,58.5868,31.1432,0.7016,34386,65.3275,52.4617,0.3938,52.4617,34386,2.0952,2.5317,0.0101,0.0006,2,0.0073,253,0.1569,0.2499,0.0073,3,0.9941,4.8589,?,?,?,5.2676,102.074,0.0079,0.1281,0.2522,0.3603,0.0404,0.007,4.9542,0.8382,0.0179,0.9836,102,0.2296,0.0074,0
./SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.8333,0.6484,0.5832,0.4472,0.6879,0.0001,0.8333,0.8353,0,0.0156,0.5831,3.377,1.1568,0,5.8605,0.0313,0.2577,30.3632,33.1963,0.5832,29.3702,30.3993,0.5831,30.1183,0.6404,0.5832,384,33.1963,29.0705,0.0066,29.0705,384,4.1321,0.0001,0.0156,0,4,0.0286,160,0,0,0.031,5,0.9343,0.2689,0.4,0.0521,0.0174,0,41.6908,0.0156,0.3333,0.3333,0.3902,0.0333,0.0085,1.4333,0.3333,0.0156,0.5833,42,0.3537,0.4167,0
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.0371,0.2945,0.0153,0.1226,0.2282,1.3536,0.1398,0.6422,1.0023,0.0201,0.0047,8.4172,0.33,1.1104,7.7162,0.0065,0.4112,15.0866,17.0097,0.1128,10.3493,13.3077,0.0001,11.9361,0.1286,0.0374,1939,70.0881,9.5839,0.5465,8.6826,2355,36.9301,0.2819,0.0057,0.0005,25,0.0031,1300,0.099,0.9092,0.0061,49,0.7184,0.3223,0.9048,0.0222,0.0176,1.3674,82.6688,0.0026,0,0.0611,0.8985,0.0509,0.0017,0.62,0.6667,0.0062,0.8133,83,0.3411,0.3177,0.2145
./SAT11/crafted/skvortsov/automata-synchronization/rnd_150_42_s.cnf,1,0.2481,0.5668,0.0814,0.3607,0.0758,0.9029,0.5538,0.2912,2.2265,0.2288,0.0339,23.3935,1.4237,1.6948,18.9421,0.0034,0.8017,17.3156,20.4465,0.2458,15.0051,19.393,0.0001,17.2678,0.2982,0.1899,14631,27.5365,11.9613,0.3276,11.132,23817,8.6322,0.2901,0.1698,0,6,0.0004,6384,0.2127,4.5721,0.0015,11,0.9302,0.1485,?,?,?,2.0783,429.355,0.0003,0,0.2689,6.0436,0.0205,0.0007,1.5016,0.9667,0.0015,0.9747,429,0.3186,0.1619,0.6278
./SAT05/crafted/sabharwal05/ordering/gt-ordering/sat/gt-030.shuffled-as.sat05-1295.cnf,1,0.0175,0.5096,0.5267,0.3031,0.7089,0.0015,0.9988,0.9146,0.0252,0.0035,0.5267,1.261,11.0015,0,5.8135,0.0333,21.1475,39.7944,56.8522,0.5268,33.3194,41.8503,0.5186,40.4414,9.087,0.5268,24824,56.8522,32.1439,0.2007,30.8127,24824,3,0.0142,0.0025,0.0011,3,0.0045,870,0.0007,0.0007,0.0046,3,0.998,0.5634,0.0678,0.0666,0.0046,0.023,277.453,0.0034,0.3176,0.3256,0.1774,0.0392,0.0017,3.1476,0.3412,0.0035,0.5465,277,0.2659,0.035,0
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes2.cnf,1,0.9494,0.9494,0.8085,1.7337,0.7862,0.0409,0.9494,0.8976,2.7378,0.0029,0.7825,525.9,40.4446,0.037,552.595,0.0302,6.2059,58.2835,64.8169,0.8314,54.3318,59.8145,0.7356,56.4847,48.0292,0.8351,168781,93.5385,51,0.3682,50.0085,171155,3,6.3213,0.0016,0.0006,3,0.0011,1820,0.0381,0.1671,0.0022,3,1.0365,7.0432,?,?,?,5.2316,808.95,0.0011,0.0753,0.174,0.1589,0.2333,0.0011,4.72,0.3043,0.0019,0.9154,823,0.1763,0.0104,0.0141
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_505.cnf,1,0.0099,0.073,0.6803,1.1668,0.6685,0.0916,0.927,0.7873,3.5293,0.0235,0.668,22.1837,27.3145,0,14.9568,0.0909,0.2364,44.5029,45.6619,0.7216,43.3438,45.6619,0.647,45.6619,30.593,0.702,34014,45.6619,43.3438,0.0489,43.3438,34014,2.1825,2.4589,0.0098,0.0005,2,0.0073,253,0.1569,0.2415,0.0074,3,0.9957,0.2336,?,?,?,5.2217,102.258,0.0078,0.1275,0.2778,0.3562,0.0019,0.0066,4.9709,0.8722,0.0175,0.9876,102,0.2203,0.0074,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-17_279.cnf,1,0,0.1062,0.6083,0.9613,0.6938,0.1295,0.8938,0.81,2.8893,0.0217,0.6021,22.3273,15.8477,0,15.6557,0.0609,0.2327,51.8289,58.0339,0.6592,48.9495,52.9108,0.5916,52.8652,16.5202,0.6206,21616,58.0339,47.9128,0.4908,47.9128,21616,2.9964,2.2495,0.009,0.0008,2,0.0099,279,0.1571,0.2615,0.011,3,0.9928,0.391,?,?,?,4.5749,103.087,0.0072,0.1225,0.2296,0.3704,0.0032,0.0065,4.1941,0.7821,0.0161,0.9714,103,0.2721,0.0129,0
./SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0306,0.7577,0.5027,0.592,0.9528,0.0001,0.0306,0.9962,0,0.0163,0.5027,0.0069,6.8911,0.3333,0.2882,0.0333,45.8912,29.2469,29.2469,0.5028,29.2469,29.2469,0.5026,29.2469,6.7749,0.5028,11760,29.2469,29.2469,0,29.2469,12240,2,0.0003,0.0082,0.0082,2,0.0305,480,0,0,0.0305,2,0.9985,49.5278,?,?,?,0,89.0253,0.0163,0.0104,0.0104,0,0.0219,0.0082,0,0.0104,0.0163,0.503,89,0.1459,0.0306,0.0408
./SAT05/crafted/sorge05/QG7a/gensys-ukn004.shuffled-as.sat05-3844.cnf,1,0.0794,0.14,0.6662,0.386,0.2363,0.2052,0.0985,0.5014,2.8275,0.0208,0.6063,51.2065,0.7141,0.0321,39.9948,0.0049,0.1991,16.0678,17.4026,0.735,15.6307,16.976,0,16.3387,0.0912,0.7762,16118,18.4147,14.8156,0.1801,12.0295,17983,4.8683,0.3457,0.0038,0,4,0.0001,2731,0.1557,1.2844,0.003,6,0.8883,0.1502,?,?,?,3.3564,129.994,0.0001,0,0.6011,2.4499,0.0263,0.0002,1.6937,1,0.0027,1,131,2.0563,0.1642,0.1157
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_388.cnf,1,0,0.0915,0.6469,1.0759,0.7082,0.1062,0.9085,0.8318,2.9878,0.0159,0.6427,33.6683,21.2435,0,22.3005,0.0515,0.1884,52.1581,56.8655,0.6903,49.3248,53.6056,0.6326,51.7031,23.8546,0.6564,41212,63.6138,48.7235,0.2483,47.9868,41212,2.9948,2.4221,0.0066,0.0005,2,0.0073,388,0.1594,0.2615,0.0081,3,0.9948,0.1925,?,?,?,5.1607,149.924,0.0052,0.1254,0.2314,0.3715,0.0021,0.0047,4.4052,0.8122,0.0117,0.9784,149,0.2089,0.0094,0
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes10.cnf,1,0.9546,0.9546,0.8496,1.9116,0.8414,0.1838,0.9546,0.9271,2.571,0.0021,0.6876,2695.93,51.0022,0.0313,956.105,0.0246,4.2196,84.4247,104.8772,0.8489,74.9182,88.0722,0.1356,81.5904,55.1258,0.8962,302680,109.3784,70.4737,0.5245,67.9664,305320,3,9.358,0.0012,0.0004,3,0.0009,2640,0.0321,0.1671,0.0017,3,1.0164,5.0777,?,?,?,5.4652,1158.78,0.0007,0.0624,0.1451,0.1589,0.0727,0.0007,4.9135,0.2985,0.0013,0.9986,1200,0.2205,0.0085,0.0087
./SAT05/crafted/sabharwal05/pebbling/grid-pebbling/unsat/grid-pbl-0250.shuffled-as.sat05-1349.shuffled-as.sat05-1349.cnf,1,0.0018,0.3109,0,0.0275,0.2989,2.7129,0.0031,0.6806,0.3978,0.0045,0,7.9255,0.5364,53.8514,7.8171,0.0044,0.2916,9.4616,14.5433,0.0519,6.8758,10.9715,0,8.201,0.1313,0,2229,25.5895,6.2137,1.0715,5.1273,124752,28.8618,0.011,0.0036,0,22,0.0022,62750,0.1052,0.0825,0.0055,33,0.907,0.4557,0.7818,0.0081,0.007,0.3976,71.3431,0.0022,0,0.0375,0.6651,0.029,0.0011,1.7982,0.5,0.0035,0.6039,71,0.6724,0.5132,54.9677
./SAT11/crafted/skvortsov/battleship/battleship-9-17-sat.cnf,1,0.8831,0.8831,0.8006,1.284,0.9026,0,0.8831,0.9273,0,0.0245,0.8006,0.8798,2.2866,0,1.8504,0.1111,0.4184,0,0,0.8006,0,0,0.8006,0,1.7426,0.8006,693,0,0,0,0,693,3,0,0.0115,0.0115,3,0.1732,153,0,0,0.1759,3,0.9872,0.6686,0.1053,0.1962,0.0459,0,56.8875,0.0245,0.0588,0.0588,0,0.0083,0.0115,0,0.0588,0.0245,0.8006,57,0.2703,0.2208,0
./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf,1,0,0.8448,0.5808,0.2498,0.2713,0.1107,0.8448,0.7147,2.6708,0.0099,0.5395,61.9426,3.1008,0.3333,47.7751,0.0083,0.1512,45.6649,47.561,0.6283,45.1105,47.5355,0.4265,46.4552,2.9724,0.6289,13008,47.561,41.6621,0.1162,41.6621,13289,6.4133,1.0254,0.0076,0.002,6,0.0009,1124,0.0591,0.349,0.0015,7,0.9664,0.0982,0.3977,0.0367,0.0061,3.3715,249.536,0.0025,0.2,0.3456,0.3555,0.009,0.003,2.3014,0.5,0.004,0.8178,249,0.2512,0.0648,0.0216
./SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,1,0.8372,0.8372,0.7569,1.0176,0.8838,0,0.8372,0.9116,0,0.0432,0.7569,1.0747,1.9216,0,1.8401,0.1429,0.3367,35.7445,37.273,0.757,35.2235,36.3196,0.7569,35.9611,1.4979,0.7569,301,37.273,33.9456,0.0032,33.9456,301,2.8313,0,0.0199,0.0199,2,0.2558,84,0,0,0.2591,3,0.9798,0.2446,0.1333,0.2392,0.0779,0,28.1224,0.0432,0.0769,0.0769,0,0.0181,0.0199,0,0.0769,0.0432,0.757,28,0.2619,0.2791,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p15-s44266159.cnf,1,0.9682,0.9682,0.8619,1.7983,0.8665,0.03,0.9682,0.957,3.2079,0.0048,0.8374,99.2536,37.763,0.0394,92.1546,0.0787,11.1013,58.1833,74.1814,0.8751,52.0458,71.232,0.7717,54.0684,39.9038,0.8796,66487,74.1814,49.2151,0.4195,49.2151,67279,2.9312,15.7362,0.0035,0.001,2,0.0028,792,0.0748,0.1289,0.0103,3,0.9946,10.7595,?,?,?,4.75,352.469,0.0025,0.1359,0.35,0.1754,0.0698,0.0025,4.6597,0.5058,0.0038,0.9289,353,0.1601,0.0115,0.0119
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.9756,0.7118,0.8879,1.9114,0.8664,0.0212,0.9756,0.9522,3.1332,0.0058,0.8685,11.5737,39.5103,0.0345,8.6485,0.0769,0.1977,64.1928,72.0557,0.8977,59.4153,67.8378,0.8382,62.8876,40.138,0.8994,66030,82.4975,57.779,0.7694,57.499,66810,2,3.1726,0.0044,0.0007,2,0.0114,780,0.0811,0.199,0.0114,2,0.9996,0.2183,?,?,?,4.5707,354.442,0.0021,0.1948,0.3938,0.4367,0.0002,0.0019,4.6273,0.5629,0.0037,0.9397,354.5,0.1591,0.0114,0.0118
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p15-s58217873.cnf,1,0.9669,0.9669,0.854,1.5366,0.8681,0.0382,0.9669,0.9466,3.3946,0.0065,0.8245,14.0778,30.9983,0.0476,13.4185,0.0971,0.0896,59.571,73.9372,0.8682,54.9899,60.5019,0.7183,60.2725,28.6553,0.8744,35036,73.9372,52.37,0.7524,52.37,35586,2.9523,4.5829,0.0049,0.0017,2,0.0078,550,0.0888,0.139,0.0104,3,0.9996,0.1068,?,?,?,4.4421,238.904,0.0033,0.1231,0.4225,0.1988,0.0003,0.0037,4.3437,0.5959,0.0052,0.9327,239,0.2085,0.015,0.0157
./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf,1,0,0.8432,0.5674,0.2489,0.3025,0.1189,0.8432,0.6844,2.7486,0.0153,0.5258,51.8103,3.4495,0.3333,42.3919,0.0122,0.6504,30.1261,32.5755,0.6203,28.5177,32.5755,0.4494,29.285,3.3594,0.6142,9504,32.5755,28.5177,0.0093,28.5177,9695,5.8601,1.1816,0.0118,0.0027,5,0.0012,764,0.0579,0.3889,0.0021,7,0.9661,0.1039,0.3931,0.0451,0.0092,3.4902,172.094,0.0034,0.2,0.3468,0.3921,0.0296,0.0044,2.4379,0.5,0.0058,0.8177,172,0.2539,0.0603,0.0201
./SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,1,0.7619,0.7619,0.6799,0.7454,0.8885,0,0.7619,0.9249,0,0.0857,0.6799,1.0035,1.5092,0,1.326,0.2,0.3624,0,0,0.6799,0,0,0.6799,0,1.3375,0.6799,105,0,0,0,0,105,2.7436,0.0001,0.0381,0.0381,2,0.3333,40,0,0,0.3429,3,0.9666,0.0589,0.1818,0.3048,0.1451,0,11.4864,0.0857,0.1111,0.1111,0,0.0499,0.0381,0,0.1111,0.0857,0.6799,11,0.2567,0.381,0
./SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf,1,0.5255,0.5443,0.6636,0.7449,0.2832,0.3044,0.7192,0.8422,3.1098,0.0382,0.425,15.6248,2.6775,1.0575,11.2841,0.0443,0.2501,0,0,0.7766,0,0,0.0007,0,1.0838,0.8126,2721,0,0,0,0,12666,5.3339,0.7789,0.0099,0,4,0.0004,1253,0.3265,1.0218,0.0091,6,0.9722,0.1761,0.957,0.118,0.0167,2.9994,83.1457,0.0004,0,0.6209,1.4145,0.0107,0.002,2.3061,1,0.0062,1,83,0.7477,0.2238,3.6549
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf,1,0.9536,0.9536,0.8497,1.8783,0.8653,0.191,0.9536,0.9403,2.651,0.002,0.6709,318.667,50.2069,0.0323,2068.63,0.0258,4.2994,79.3154,91.0714,0.8473,70.3905,81.4519,0.1467,78.7411,56.4269,0.8967,264031,113.6071,67.626,0.3819,67.2117,266431,3,6.4195,0.0012,0.0005,3,0.0009,2400,0.0351,0.1541,0.0019,3,1.0795,4.2549,?,?,?,5.3855,1053.52,0.001,0.0681,0.1494,0.1454,0.3234,0.0008,4.8095,0.2686,0.0015,0.9992,1089,0.1066,0.0088,0.0091
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.9822,0.9822,0.9304,2.3509,1,0.0001,0.9822,1,0,0.0042,0.9303,0.0195,13.5107,0.037,0.0009,0.0769,33.1361,0,0,0.9305,0,0,0.9302,0,13.5515,0.9305,18226,0,0,0,0,18954,2,0.0094,0.0028,0.0028,2,0.0385,728,0,0,0.0385,2,0.9996,38.5616,0.0769,0.1111,0.004,0,327.073,0.0042,0.3421,0.3421,0,0.0002,0.0028,0,0.3421,0.0042,0.9308,327,0.0373,0.0385,0.0399
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-12_135.cnf,1,0,0.1451,0.5185,0.7362,0.6727,0.1935,0.8549,0.8003,2.7087,0.0432,0.5092,9.3027,8.702,0,8.1399,0.0889,0.2778,27.6296,28.8626,0.5916,27.384,27.8709,0.4959,27.4099,8.015,0.5383,5251,28.8626,26.6204,0.007,26.6204,5251,2.9925,1.8631,0.0179,0.0023,2,0.0198,135,0.1497,0.2615,0.022,3,0.9857,0.7271,0.0541,0.2731,0.0636,3.8051,44.6106,0.015,0.1212,0.224,0.367,0.0091,0.0129,3.5045,0.6962,0.0319,0.9448,44,0.3512,0.0257,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-15_218.cnf,1,0,0.119,0.5764,0.8775,0.682,0.1503,0.881,0.8151,2.9328,0.0275,0.5694,17.521,12.7827,0,13.5208,0.0688,0.2346,43.4275,46.8134,0.6338,39.446,46.8134,0.5548,44.0231,13.0056,0.5926,13362,46.8134,39.446,0.009,39.446,13362,2.9954,2.1374,0.0115,0.0011,2,0.0126,218,0.1548,0.2614,0.014,3,0.9907,0.2327,?,?,?,4.4783,77.7156,0.0092,0.118,0.2276,0.3691,0.0046,0.0082,3.9401,0.7561,0.0203,0.9644,78,0.2799,0.0163,0
./SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf,1,0.0101,0.3456,0.0015,0.2894,0.4858,2.3987,0.3899,0.9373,0.3503,0.0835,0.0007,4.1596,1.2794,0.4046,4.7117,0.0534,0.4479,25.778,28.9743,0.0316,24.6417,26.5243,0.0003,25.1827,0.9764,0.0054,790,28.9743,24.4369,0.0247,24.4369,896,5.1077,1.0462,0.0165,0.0038,4,0.0076,184,0.0926,0.4774,0.0148,6,0.8653,0.4262,0.6606,0.1278,0.0499,1.6908,23.6217,0.0152,0,0.0163,0.3093,0.0633,0.0092,1.9569,0.7436,0.0301,0.371,24,0.3907,0.1658,0.1342
./SAT05/crafted/sorge05/QG7a/gensys-icl005.shuffled-as.sat05-3826.cnf,1,0.0801,0.1458,0.6664,0.3885,0.2363,0.2037,0.1014,0.5283,2.6471,0.0203,0.6251,51.67,0.7022,0.0325,40.2964,0.005,0.1934,18.8034,21.3884,0.7356,17.1527,20.6433,0,18.2685,0.0812,0.7777,16566,22.7067,16.4056,0.0889,15.8453,18312,4.7938,0.3399,0.0058,0,4,0.0001,2703,0.1499,1.2286,0.0032,6,0.8891,0.1283,?,?,?,3.2128,131.433,0.0001,0,0.6019,2.4977,0.0262,0.0002,1.7374,1,0.0027,1,131,0.4394,0.158,0.1054
./SAT11/crafted/spence/sgen/sgen3-n140-s20078956-unsat.cnf,1,0,0.5034,0.003,0,0.8046,1.6665,1,0.9605,0.256,0.0308,0.0007,1.1037,0.746,0,2.6965,0.0213,0.5425,20.2516,26.0189,0.0326,18.8597,19.9514,0.0001,19.2993,0.4445,0.0113,292,26.0189,18.0832,0.0719,18.0832,292,6,0.0473,0.0205,0,6,0.0205,141,0.0856,0.124,0.0208,6,0.8394,0.3053,0.2,0.0411,0.0319,0.256,20.3158,0.0205,0,0.0236,0.4708,0.0808,0.0107,1.6295,0.3333,0.0213,0.2167,20,0.3521,0.4829,0
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf,1,0.9694,0.7058,0.8742,1.7616,0.9219,0.0229,0.9694,0.9674,3.0694,0.0073,0.8568,8.8963,36.7272,0.0345,42.8065,0.1,15.5556,96.4415,113.7666,0.8885,79.1165,113.7666,0.8328,113.7666,33.8019,0.8938,46388,113.7666,79.1165,0.9433,79.1165,46988,2.9983,3.706,0.005,0.0008,2,0.0043,600,0.09,0.1589,0.0079,3,0.9965,6.6556,?,?,?,4.1117,269.985,0.0033,0.1386,0.3519,0.4245,0.057,0.0024,4.7716,0.4982,0.005,0.9251,271,0.2123,0.0125,0.0129
./SAT11/crafted/skvortsov/battleship/battleship-14-27-sat.cnf,1,0.9261,0.9261,0.8577,1.6999,0.9182,0,0.9261,0.9355,0,0.0102,0.8577,1.4099,3.109,0,2.3693,0.0714,0.4158,130.7841,134.2651,0.8577,127.303,134.2651,0.8577,134.2651,2.4353,0.8577,2653,134.2651,127.303,0.007,127.303,2653,3,0.0001,0.0049,0.0049,3,0.0965,378,0,0,0.0982,3,0.9918,0.5712,0.069,0.1323,0.0195,0,155.788,0.0102,0.037,0.037,0,0.0029,0.0049,0,0.037,0.0102,0.8577,156,0.2558,0.1425,0
