@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_75 NUMERIC

@DATA
1-insertions-5-5.xml.watchless.minion.gz,1,0.243809,184,0.039604,0.049505,12.148515,12.148515,0,184,0.331683,5,202,184,202,202,0,5,1227,0.060141,0.331683,5,0.009901,0.009901,184,0.032959,21,17,0.149959,184,5,0.024752,6.657663,23
1-insertions-5-6.xml.watchless.minion.gz,1,0.243809,169,0.039604,0.049505,12.148515,12.148515,0,169,0.331683,6,202,169,202,202,0,6,1227,0.060141,0.331683,6,0.009901,0.009901,169,0.032959,18,14,0.137734,169,6,0.024752,6.657663,19
1-insertions-6-4.xml.watchless.minion.gz,1,0.159787,263,0.023064,0.029654,20.879736,20.879736,0,263,0.332784,4,607,263,607,607,0,4,6337,0.034398,0.332784,4,0.003295,0.003295,263,0.024126,27,26,0.041502,263,4,0.009885,14.644509,27
1-insertions-6-5.xml.watchless.minion.gz,1,0.159787,184,0.023064,0.029654,20.879736,20.879736,0,184,0.332784,5,607,184,607,607,0,5,6337,0.034398,0.332784,5,0.003295,0.003295,184,0.024126,21,17,0.029036,184,5,0.009885,14.644509,23
1-insertions-6-6.xml.watchless.minion.gz,1,0.159787,169,0.023064,0.029654,20.879736,20.879736,0,169,0.332784,6,607,169,607,607,0,6,6337,0.034398,0.332784,6,0.003295,0.003295,169,0.024126,18,14,0.026669,169,6,0.009885,14.644509,19
1-insertions-6-7.xml.watchless.minion.gz,1,0.159787,154,0.023064,0.029654,20.879736,20.879736,0,154,0.332784,7,607,154,607,607,0,7,6337,0.034398,0.332784,7,0.003295,0.003295,154,0.024126,13,13,0.024302,154,7,0.009885,14.644509,16
2-fullins-3-4.xml.watchless.minion.gz,1,0.331856,263,0.096154,0.134615,7.730769,7.730769,0,263,0.288462,4,52,263,52,52,0.063836,4,201,0.148669,0.288462,4,0.038462,0.038462,263,0.058075,27,26,1.308458,263,4,0.076923,3.019904,27
2-fullins-3-5.xml.watchless.minion.gz,1,0.331856,184,0.096154,0.134615,7.730769,7.730769,0,184,0.288462,5,52,184,52,52,0.063836,5,201,0.148669,0.288462,5,0.038462,0.038462,184,0.058075,21,17,0.915423,184,5,0.076923,3.019904,23
2-fullins-4-4.xml.watchless.minion.gz,1,0.205428,263,0.04717,0.061321,15.292453,15.292453,0,263,0.259434,4,212,263,212,212,0.021882,4,1621,0.072134,0.259434,4,0.009434,0.009434,263,0.038637,27,26,0.162246,263,4,0.028302,8.191075,27
2-fullins-4-5.xml.watchless.minion.gz,1,0.205428,184,0.04717,0.061321,15.292453,15.292453,0,184,0.259434,5,212,184,212,212,0.021882,5,1621,0.072134,0.259434,5,0.009434,0.009434,184,0.038637,21,17,0.11351,184,5,0.028302,8.191075,23
2-fullins-4-6.xml.watchless.minion.gz,1,0.205428,169,0.04717,0.061321,15.292453,15.292453,0,169,0.259434,6,212,169,212,212,0.021882,6,1621,0.072134,0.259434,6,0.009434,0.009434,169,0.038637,18,14,0.104257,169,6,0.028302,8.191075,19
2-fullins-5-4.xml.watchless.minion.gz,1,0.122158,263,0.021127,0.029343,28.640845,28.640845,0,263,0.252347,4,852,263,852,852,0.007851,4,12201,0.033616,0.252347,4,0.002347,0.002347,263,0.023979,27,26,0.021556,263,4,0.00939,20.42989,27
2-fullins-5-5.xml.watchless.minion.gz,1,0.122158,184,0.021127,0.029343,28.640845,28.640845,0,184,0.252347,5,852,184,852,852,0.007851,5,12201,0.033616,0.252347,5,0.002347,0.002347,184,0.023979,21,17,0.015081,184,5,0.00939,20.42989,23
2-fullins-5-6.xml.watchless.minion.gz,1,0.122158,169,0.021127,0.029343,28.640845,28.640845,0,169,0.252347,6,852,169,852,852,0.007851,6,12201,0.033616,0.252347,6,0.002347,0.002347,169,0.023979,18,14,0.013851,169,6,0.00939,20.42989,19
2-fullins-5-7.xml.watchless.minion.gz,1,0.122158,154,0.021127,0.029343,28.640845,28.640845,0,154,0.252347,7,852,154,852,852,0.007851,7,12201,0.033616,0.252347,7,0.002347,0.002347,154,0.023979,13,13,0.012622,154,7,0.00939,20.42989,16
2-insertions-3-3.xml.watchless.minion.gz,1,0.458347,324,0.081081,0.108108,3.891892,3.891892,0,324,0.243243,3,37,324,37,37,0,3,72,0.105186,0.243243,3,0.054054,0.054054,324,0.025743,33,32,4.5,324,3,0.081081,0.952487,35
2-insertions-3-4.xml.watchless.minion.gz,1,0.458347,263,0.081081,0.108108,3.891892,3.891892,0,263,0.243243,4,37,263,37,37,0,4,72,0.105186,0.243243,4,0.054054,0.054054,263,0.025743,27,26,3.652778,263,4,0.081081,0.952487,27
2-insertions-4-3.xml.watchless.minion.gz,1,0.340533,324,0.033557,0.053691,7.261745,7.261745,0,324,0.248322,3,149,324,149,149,0,3,541,0.048737,0.248322,3,0.013423,0.013423,324,0.021708,33,32,0.598891,324,3,0.026846,3.234454,35
2-insertions-4-4.xml.watchless.minion.gz,1,0.340533,263,0.033557,0.053691,7.261745,7.261745,0,263,0.248322,4,149,263,149,149,0,4,541,0.048737,0.248322,4,0.013423,0.013423,263,0.021708,27,26,0.486137,263,4,0.026846,3.234454,27
2-insertions-4-5.xml.watchless.minion.gz,1,0.340533,184,0.033557,0.053691,7.261745,7.261745,0,184,0.248322,5,149,184,149,149,0,5,541,0.048737,0.248322,5,0.013423,0.013423,184,0.021708,21,17,0.340111,184,5,0.026846,3.234454,23
2-insertions-5-3.xml.watchless.minion.gz,1,0.229052,324,0.015075,0.020101,13.18593,13.18593,0,324,0.249581,3,597,324,597,597,0,3,3936,0.022087,0.249581,3,0.00335,0.00335,324,0.014236,33,32,0.082317,324,3,0.008375,8.498927,35
2-insertions-5-4.xml.watchless.minion.gz,1,0.229052,263,0.015075,0.020101,13.18593,13.18593,0,263,0.249581,4,597,263,597,597,0,4,3936,0.022087,0.249581,4,0.00335,0.00335,263,0.014236,27,26,0.066819,263,4,0.008375,8.498927,27
2-insertions-5-5.xml.watchless.minion.gz,1,0.229052,184,0.015075,0.020101,13.18593,13.18593,0,184,0.249581,5,597,184,597,597,0,5,3936,0.022087,0.249581,5,0.00335,0.00335,184,0.014236,21,17,0.046748,184,5,0.008375,8.498927,23
2-insertions-5-6.xml.watchless.minion.gz,1,0.229052,169,0.015075,0.020101,13.18593,13.18593,0,169,0.249581,6,597,169,597,597,0,6,3936,0.022087,0.249581,6,0.00335,0.00335,169,0.014236,18,14,0.042937,169,6,0.008375,8.498927,19
3-fullins-3-5.xml.watchless.minion.gz,1,0.3083,184,0.075,0.0875,8.65,8.65,0,184,0.2375,5,80,184,80,80,0.051742,5,346,0.108125,0.2375,5,0.025,0.025,184,0.049847,21,17,0.531792,184,5,0.05,3.987794,23
3-fullins-3-6.xml.watchless.minion.gz,1,0.3083,169,0.075,0.0875,8.65,8.65,0,169,0.2375,6,80,169,80,80,0.051742,6,346,0.108125,0.2375,6,0.025,0.025,169,0.049847,18,14,0.488439,169,6,0.05,3.987794,19
3-fullins-4-5.xml.watchless.minion.gz,1,0.185323,184,0.02716,0.037037,17.402469,17.402469,0,184,0.207407,5,405,184,405,405,0.01485,5,3524,0.042969,0.207407,5,0.004938,0.004938,184,0.026781,21,17,0.052213,184,5,0.014815,10.846334,23
3-fullins-4-6.xml.watchless.minion.gz,1,0.185323,169,0.02716,0.037037,17.402469,17.402469,0,169,0.207407,6,405,169,405,405,0.01485,6,3524,0.042969,0.207407,6,0.004938,0.004938,169,0.026781,18,14,0.047957,169,6,0.014815,10.846334,19
3-fullins-4-7.xml.watchless.minion.gz,1,0.185323,154,0.02716,0.037037,17.402469,17.402469,0,154,0.207407,7,405,154,405,405,0.01485,7,3524,0.042969,0.207407,7,0.004938,0.004938,154,0.026781,13,13,0.0437,154,7,0.014815,10.846334,16
3-fullins-5-5.xml.watchless.minion.gz,1,0.10708,184,0.010345,0.014286,33.252217,33.252217,0,184,0.201478,5,2030,184,2030,2030,0.004678,5,33751,0.01638,0.201478,5,0.000985,0.000985,184,0.013841,21,17,0.005452,184,5,0.003941,28.096271,23
3-fullins-5-6.xml.watchless.minion.gz,1,0.10708,169,0.010345,0.014286,33.252217,33.252217,0,169,0.201478,6,2030,169,2030,2030,0.004678,6,33751,0.01638,0.201478,6,0.000985,0.000985,169,0.013841,18,14,0.005007,169,6,0.003941,28.096271,19
3-fullins-5-7.xml.watchless.minion.gz,1,0.10708,154,0.010345,0.014286,33.252217,33.252217,0,154,0.201478,7,2030,154,2030,2030,0.004678,7,33751,0.01638,0.201478,7,0.000985,0.000985,154,0.013841,13,13,0.004563,154,7,0.003941,28.096271,16
3-fullins-5-8.xml.watchless.minion.gz,1,0.10708,136,0.010345,0.014286,33.252217,33.252217,0,136,0.201478,8,2030,136,2030,2030,0.004678,8,33751,0.01638,0.201478,8,0.000985,0.000985,136,0.013841,13,9,0.00403,136,8,0.003941,28.096271,20
3-insertions-3-3.xml.watchless.minion.gz,1,0.453656,324,0.053571,0.071429,3.928571,3.928571,0,324,0.196429,3,56,324,56,56,0,3,110,0.070153,0.196429,3,0.035714,0.035714,324,0.01844,33,32,2.945455,324,3,0.053571,1.032631,35
3-insertions-3-4.xml.watchless.minion.gz,1,0.453656,263,0.053571,0.071429,3.928571,3.928571,0,263,0.196429,4,56,263,56,56,0,4,110,0.070153,0.196429,4,0.035714,0.035714,263,0.01844,27,26,2.390909,263,4,0.053571,1.032631,27
3-insertions-4-3.xml.watchless.minion.gz,1,0.334833,324,0.017794,0.02847,7.44484,7.44484,0,324,0.199288,3,281,324,281,281,0,3,1046,0.026494,0.199288,3,0.007117,0.007117,324,0.013027,33,32,0.309751,324,3,0.014235,3.660599,35
3-insertions-4-4.xml.watchless.minion.gz,1,0.334833,263,0.017794,0.02847,7.44484,7.44484,0,263,0.199288,4,281,263,281,281,0,4,1046,0.026494,0.199288,4,0.007117,0.007117,263,0.013027,27,26,0.251434,263,4,0.014235,3.660599,27
3-insertions-4-5.xml.watchless.minion.gz,1,0.334833,184,0.017794,0.02847,7.44484,7.44484,0,184,0.199288,5,281,184,281,281,0,5,1046,0.026494,0.199288,5,0.007117,0.007117,184,0.013027,21,17,0.175908,184,5,0.014235,3.660599,23
3-insertions-5-3.xml.watchless.minion.gz,1,0.221368,324,0.006401,0.01138,13.790896,13.790896,0,324,0.199858,3,1406,324,1406,1406,0,3,9695,0.009809,0.199858,3,0.001422,0.001422,324,0.007218,33,32,0.033419,324,3,0.003556,10.148279,35
3-insertions-5-4.xml.watchless.minion.gz,1,0.221368,263,0.006401,0.01138,13.790896,13.790896,0,263,0.199858,4,1406,263,1406,1406,0,4,9695,0.009809,0.199858,4,0.001422,0.001422,263,0.007218,27,26,0.027127,263,4,0.003556,10.148279,27
3-insertions-5-5.xml.watchless.minion.gz,1,0.221368,184,0.006401,0.01138,13.790896,13.790896,0,184,0.199858,5,1406,184,1406,1406,0,5,9695,0.009809,0.199858,5,0.001422,0.001422,184,0.007218,21,17,0.018979,184,5,0.003556,10.148279,23
3-insertions-5-6.xml.watchless.minion.gz,1,0.221368,169,0.006401,0.01138,13.790896,13.790896,0,169,0.199858,6,1406,169,1406,1406,0,6,9695,0.009809,0.199858,6,0.001422,0.001422,169,0.007218,18,14,0.017432,169,6,0.003556,10.148279,19
4-fullins-3-6.xml.watchless.minion.gz,1,0.289676,169,0.061404,0.061404,9.491228,9.491228,0,169,0.201754,6,114,169,114,114,0.044685,6,541,0.083256,0.201754,6,0.017544,0.017544,169,0.043477,18,14,0.312384,169,6,0.035088,4.956381,19
4-fullins-3-7.xml.watchless.minion.gz,1,0.289676,154,0.061404,0.061404,9.491228,9.491228,0,154,0.201754,7,114,154,114,114,0.044685,7,541,0.083256,0.201754,7,0.017544,0.017544,154,0.043477,13,13,0.284658,154,7,0.035088,4.956381,16
4-fullins-4-6.xml.watchless.minion.gz,1,0.170563,169,0.018841,0.021739,19.275362,19.275362,0,169,0.172464,6,690,169,690,690,0.011068,6,6650,0.027935,0.172464,6,0.002899,0.002899,169,0.019555,18,14,0.025414,169,6,0.008696,13.493191,19
4-fullins-4-7.xml.watchless.minion.gz,1,0.170563,154,0.018841,0.021739,19.275362,19.275362,0,154,0.172464,7,690,154,690,690,0.011068,7,6650,0.027935,0.172464,7,0.002899,0.002899,154,0.019555,13,13,0.023158,154,7,0.008696,13.493191,16
4-fullins-4-8.xml.watchless.minion.gz,1,0.170563,136,0.018841,0.021739,19.275362,19.275362,0,136,0.172464,8,690,136,690,690,0.011068,8,6650,0.027935,0.172464,8,0.002899,0.002899,136,0.019555,13,9,0.020451,136,8,0.008696,13.493191,20
4-fullins-5-5.xml.watchless.minion.gz,1,0.27407,184,0.00603,0.007477,37.291365,37.291365,0,184,0.167631,5,4146,184,4146,4146,0.003157,5,77305,0.008995,0.167631,5,0.000482,0.000482,184,0.008725,21,17,0.00238,184,5,0.00193,36.175725,23
4-fullins-5-6.xml.watchless.minion.gz,1,0.27407,169,0.00603,0.007477,37.291365,37.291365,0,169,0.167631,6,4146,169,4146,4146,0.003157,6,77305,0.008995,0.167631,6,0.000482,0.000482,169,0.008725,18,14,0.002186,169,6,0.00193,36.175725,19
4-fullins-5-7.xml.watchless.minion.gz,1,0.27407,154,0.00603,0.007477,37.291365,37.291365,0,154,0.167631,7,4146,154,4146,4146,0.003157,7,77305,0.008995,0.167631,7,0.000482,0.000482,154,0.008725,13,13,0.001992,154,7,0.00193,36.175725,16
4-fullins-5-8.xml.watchless.minion.gz,1,0.27407,136,0.00603,0.007477,37.291365,37.291365,0,136,0.167631,8,4146,136,4146,4146,0.003157,8,77305,0.008995,0.167631,8,0.000482,0.000482,136,0.008725,13,9,0.001759,136,8,0.00193,36.175725,20
4-insertions-3-3.xml.watchless.minion.gz,1,0.450984,324,0.037975,0.050633,3.949367,3.949367,0,324,0.164557,3,79,324,79,79,0,3,156,0.049992,0.164557,3,0.025316,0.025316,324,0.013793,33,32,2.076923,324,3,0.037975,1.089637,35
4-insertions-3-4.xml.watchless.minion.gz,1,0.450984,263,0.037975,0.050633,3.949367,3.949367,0,263,0.164557,4,79,263,79,79,0,4,156,0.049992,0.164557,4,0.025316,0.025316,263,0.013793,27,26,1.685897,263,4,0.037975,1.089637,27
4-insertions-4-3.xml.watchless.minion.gz,1,0.331519,324,0.010526,0.016842,7.557895,7.557895,0,324,0.166316,3,475,324,475,475,0,3,1795,0.015911,0.166316,3,0.004211,0.004211,324,0.008453,33,32,0.180501,324,3,0.008421,4.015013,35
4-insertions-4-4.xml.watchless.minion.gz,1,0.331519,263,0.010526,0.016842,7.557895,7.557895,0,263,0.166316,4,475,263,475,475,0,4,1795,0.015911,0.166316,4,0.004211,0.004211,263,0.008453,27,26,0.146518,263,4,0.008421,4.015013,27
4-insertions-4-5.xml.watchless.minion.gz,1,0.331519,184,0.010526,0.016842,7.557895,7.557895,0,184,0.166316,5,475,184,475,475,0,5,1795,0.015911,0.166316,5,0.004211,0.004211,184,0.008453,21,17,0.102507,184,5,0.008421,4.015013,23
5-fullins-3-6.xml.watchless.minion.gz,1,0.274114,169,0.051948,0.045455,10.285714,10.285714,0,169,0.175325,6,154,169,154,154,0.039801,6,792,0.06679,0.175325,6,0.012987,0.012987,169,0.038464,18,14,0.213384,169,6,0.025974,5.923445,19
5-fullins-3-7.xml.watchless.minion.gz,1,0.274114,154,0.051948,0.045455,10.285714,10.285714,0,154,0.175325,7,154,154,154,154,0.039801,7,792,0.06679,0.175325,7,0.012987,0.012987,154,0.038464,13,13,0.194444,154,7,0.025974,5.923445,16
5-fullins-3-8.xml.watchless.minion.gz,1,0.274114,136,0.051948,0.045455,10.285714,10.285714,0,136,0.175325,8,154,136,154,154,0.039801,8,792,0.06679,0.175325,8,0.012987,0.012987,136,0.038464,13,9,0.171717,136,8,0.025974,5.923445,20
5-fullins-4-6.xml.watchless.minion.gz,1,0.158896,169,0.013825,0.013825,21.004608,21.004608,0,169,0.147465,6,1085,169,1085,1085,0.008712,6,11395,0.019359,0.147465,6,0.001843,0.001843,169,0.014867,18,14,0.014831,169,6,0.00553,16.13043,19
5-fullins-4-7.xml.watchless.minion.gz,1,0.158896,154,0.013825,0.013825,21.004608,21.004608,0,154,0.147465,7,1085,154,1085,1085,0.008712,7,11395,0.019359,0.147465,7,0.001843,0.001843,154,0.014867,13,13,0.013515,154,7,0.00553,16.13043,16
5-fullins-4-8.xml.watchless.minion.gz,1,0.158896,136,0.013825,0.013825,21.004608,21.004608,0,136,0.147465,8,1085,136,1085,1085,0.008712,8,11395,0.019359,0.147465,8,0.001843,0.001843,136,0.014867,13,9,0.011935,136,8,0.00553,16.13043,20
5-fullins-4-9.xml.watchless.minion.gz,1,0.158896,96,0.013825,0.013825,21.004608,21.004608,0,96,0.147465,9,1085,96,1085,1085,0.008712,9,11395,0.019359,0.147465,9,0.001843,0.001843,96,0.014867,11,10,0.008425,96,9,0.00553,16.13043,13
abb313GPIA-10.xml.watchless.minion.gz,1,1.089224,104,0.043674,0.041105,83.994862,68.53693,0,104,0.076429,10,1557,104,1557,1557,0.440231,10,65390,0.044019,0.096981,10,0.001285,0.001285,104,0.012787,11,8,0.00159,104,10,0,19.908705,12
abb313GPIA-5.xml.watchless.minion.gz,1,1.089224,184,0.043674,0.041105,83.994862,68.53693,0,184,0.076429,5,1557,184,1557,1557,0.440231,5,65390,0.044019,0.096981,5,0.001285,0.001285,184,0.012787,21,17,0.002814,184,5,0,19.908705,23
abb313GPIA-7.xml.watchless.minion.gz,1,1.089224,154,0.043674,0.041105,83.994862,68.53693,0,154,0.076429,7,1557,154,1557,1557,0.440231,7,65390,0.044019,0.096981,7,0.001285,0.001285,154,0.012787,13,13,0.002355,154,7,0,19.908705,16
abb313GPIA-8.xml.watchless.minion.gz,1,1.089224,136,0.043674,0.041105,83.994862,68.53693,0,136,0.076429,8,1557,136,1557,1557,0.440231,8,65390,0.044019,0.096981,8,0.001285,0.001285,136,0.012787,13,9,0.00208,136,8,0,19.908705,20
abb313GPIA-9.xml.watchless.minion.gz,1,1.089224,96,0.043674,0.041105,83.994862,68.53693,0,96,0.076429,9,1557,96,1557,1557,0.440231,9,65390,0.044019,0.096981,9,0.001285,0.001285,96,0.012787,11,10,0.001468,96,9,0,19.908705,13
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.796046,136,0.05,0.07,4.61,7.12,154,131.24026,0.11,2,100,121,100,100,0.300758,2,154,0.0712,0.14,2,0.029935,0.029935,114,0.016204,13,11.25,0.852209,121,2,0.05,1.62037,14.75
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.795805,128,0.05,0.07,4.67,7.1,156,127.647436,0.09,2,100,114,100,100,0.291397,2,156,0.071,0.11,2,0.029936,0.029936,114,0.013229,12.8,11,0.818253,121,2,0.04,1.322876,14.75
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.795776,128,0.05,0.07,4.68,7.34,156,126.884615,0.09,2,100,114,100,100,0.292261,2,156,0.0734,0.12,2,0.03,0.03,114,0.015951,13,11,0.813363,121,2,0.05,1.595118,14.75
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.795656,128,0.05,0.07,4.71,7.26,157,125.949045,0.11,2,100,114,100,100,0.283001,2,157,0.0726,0.13,2,0.03,0.03,114,0.01671,13,11.25,0.802223,121,2,0.04,1.671048,14.75
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.795656,136,0.06,0.08,4.71,8.2,157,127.726115,0.13,2,100,114,100,100,0.256906,2,157,0.082,0.13,2,0.03,0.03,114,0.019079,13,11,0.813542,121,2,0.04,1.907878,14.75
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.796552,136,0.05,0.08,4.48,7.8,150,136.14,0.13,2,100,121,100,100,0.244708,2,150,0.078,0.15,2,0.029867,0.029867,114,0.019131,13.222222,11.25,0.9076,121,2,0.04,1.913113,16
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.796287,136,0.05,0.08,4.55,7.96,152,130.105263,0.1,2,100,121,100,100,0.262989,2,152,0.0796,0.12,2,0.029934,0.029934,114,0.017025,13,11,0.855956,121,2,0.04,1.702469,14.8
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.79571,136,0.06,0.08,4.69,8.12,157,130.146497,0.12,2,100,121,100,100,0.233664,2,157,0.0812,0.14,2,0.029873,0.029873,114,0.018126,13,11,0.828959,121,2,0.05,1.812622,14.75
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.791291,128,0.07,0.09,5.81,8.96,194,127.85567,0.11,2,100,121,100,100,0.256198,2,194,0.0896,0.11,2,0.029948,0.029948,114,0.011307,13,11.833333,0.65905,121,2,0.06,1.130664,14.166667
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.790977,136,0.07,0.09,5.89,9.28,197,129.040609,0.12,2,100,121,100,100,0.266276,2,197,0.0928,0.12,2,0.029898,0.029898,114,0.011232,13,11.833333,0.655028,121,2,0.07,1.12321,14.166667
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.791635,136,0.06,0.09,5.72,8.9,191,132.303665,0.1,2,100,121,100,100,0.240865,2,191,0.089,0.12,2,0.029948,0.029948,114,0.01253,13,11.833333,0.692689,121,2,0.06,1.252996,14.2
