@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC

@DATA
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.62,1,2,0.604333
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.46,0.555556,2,0.736667
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,9.637681,0.103759,19.275362,5.169925,19.275362,1,6,0.406858
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,5.169925,28.640845,1,6,0.272923
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,4,13.790896,1,4,0.335645
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,4.643856,13.790896,1,5,0.419556
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1.5,0.666667,4,2.666667,6.71,1,2,0.5
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.93,2.441667,4.386667,0.555556,2,0.737286
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.33,2.4975,5.133333,0.5,2,0.667222
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,1.326667,0.753769,3.31,2.494975,5.106667,0.502513,2,0.670556
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,3.778947,0.264624,7.557895,3.169925,7.557895,1,3,0.429377
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.7,1,2,0.500833
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.453333,0.555556,2,0.737444
normalized-25s-smv.xml.mzn_AND_NODATA,1,1.868099,0.535303,7.048107,3.716095,12.044558,1,1.787658,0.396665
normalized-44s-smv.xml.mzn_AND_NODATA,1,1.278788,0.781991,5.705051,4.35861,11.357576,1,1.761616,0.405183
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,2.2,0.454545,6.085,2.765909,10.2,1,2,0.329631
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.413333,0.555556,2,0.736222
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.373333,0.555556,2,0.739222
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.7,1,2,0.500833
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1.3,0.769231,3.3975,2.613462,5.665,1,2,0.60525
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1.3,0.769231,3.3975,2.613462,5.595,1,2,0.604917
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,4.745614,0.210721,9.491228,5.169925,9.491228,1,6,0.786161
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,1.198333,0.834492,2.926667,2.442281,4.39,0.556328,2,0.737722
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,3.169925,13.790896,1,3,0.251734
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,4.643856,13.18593,1,5,0.446332
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.93,2.441667,4.43,0.555556,2,0.737056
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,9.637681,0.103759,19.275362,5.61471,19.275362,1,7,0.474668
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,1.33,0.75188,3.323333,2.498747,5.186667,0.501253,2,0.668333
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.48,0.555556,2,0.736865
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.931667,2.443056,4.426667,0.555556,2,0.736722
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,1.195,0.83682,2.916667,2.440725,4.43,0.55788,2,0.740921
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.146667,0.500626,2,0.667778
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.393333,0.555556,2,0.737833
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.166667,0.500626,2,0.667778
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.325,2.496871,5.196667,0.500626,2,0.668056
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1.974684,0.50641,3.949367,3.169925,3.949367,1,3,0.784567
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,10.502304,0.095217,21.004608,6,21.004608,1,8,0.516058
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,1.326667,0.753769,3.306667,2.492462,5.14,0.502513,2,0.671111
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1.3,0.769231,3.395,2.611538,5.59,1,2,0.6045
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.406667,0.555556,2,0.736444
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,4.643856,28.640845,1,5,0.227436
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,1.798333,0.55607,4.725,2.627433,7.61,0.370714,2,0.552905
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.173333,0.852273,2.846667,2.426136,4.146667,0.568182,2,0.761111
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,2.2,0.454545,6.1,2.772727,10.24,1,2,0.328631
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1.5,0.666667,3.9975,2.665,6.69,1,2,0.500417
normalized-43s-smv.xml.mzn_AND_NODATA,1,1.966621,0.508486,6.894938,3.463829,11.444596,1,1.858003,0.386944
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.931667,2.443056,4.44,0.555556,2,0.737111
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.61,1,2,0.604667
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1.3,0.769231,3.395,2.611538,5.58,1,2,0.605929
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.931667,2.443056,4.443333,0.555556,2,0.736833
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,2.636667,0.379267,7.231667,2.742731,12.48,0.252845,2,0.468954
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,16.626108,0.060146,33.252217,5.61471,33.252217,1,7,0.282717
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1.5,0.666667,3.9975,2.665,6.73,1,2,0.500417
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,8.701235,0.114926,17.402469,5.169925,17.402469,1,6,0.434514
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1.5,0.666667,4,2.666667,6.7,1,2,0.5
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.715,1,2,0.500833
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,1.33,0.75188,3.323333,2.498747,5.126667,0.501253,2,0.668333
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,1.798333,0.55607,4.725,2.627433,7.573333,0.370714,2,0.552976
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1.5,0.666667,3.99,2.66,6.75,1,2,0.501667
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1.509091,0.662651,7.236364,4.795181,49.290909,1,2,0.295613
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.333333,2.5,5.16,0.5,2,0.666667
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.193333,0.500626,2,0.667778
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,10.502304,0.095217,21.004608,5.61471,21.004608,1,7,0.451551
normalized-army13-24bt.xml.mzn_AND_NODATA,1,2.214286,0.451613,12.265306,5.539171,137.967347,1,2,0.201246
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,1.19,0.840336,2.9,2.436975,4.393333,0.560224,2,0.744111
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,2.2,0.454545,6.095,2.770455,10.425,1,2,0.328857
normalized-anna-10.xml.mzn_AND_NODATA,1,3.572464,0.279919,7.144928,6.643856,7.144928,1,10,3.763869
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,1.328333,0.752823,3.316667,2.496863,5.106667,0.501882,2,0.669444
normalized-army12-21bt.xml.mzn_AND_NODATA,1,2.200935,0.454352,12.058411,5.478769,118.088785,1,2,0.201373
normalized-army10-14ls.xml.mzn_AND_NODATA,1,1.506329,0.663866,7.696203,5.109244,76.316456,1,2,0.280994
normalized-army12-21ls.xml.mzn_AND_NODATA,1,1.504673,0.664596,8.056075,5.354037,110.682243,1,2,0.272422
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,3.4625,0.288809,9.87,2.850542,17.75,1,2,0.202917
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,3.48,0.287356,9.9275,2.85273,17.855,1,2,0.201653
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,1.795,0.557103,4.715,2.626741,7.59,0.371402,2,0.553623
normalized-army10-14bt.xml.mzn_AND_NODATA,1,2.170886,0.460641,11.518987,5.306122,83.221519,1,2,0.203979
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,7.646226,0.130783,15.292453,4.643856,15.292453,1,5,0.396645
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.325,2.496871,5.136667,0.500626,2,0.668056
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,3.4725,0.287977,9.8975,2.850252,17.885,1,2,0.202278
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.306667,0.555556,2,0.737333
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,2.648333,0.377596,7.266667,2.743864,12.613333,0.251731,2,0.468185
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,2.2,0.454545,6.095,2.770455,10.31,1,2,0.328905
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.333333,2.5,5.206667,0.5,2,0.666667
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,2.1975,0.455063,6.0875,2.770193,10.36,1,2,0.329464
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.328333,2.49625,5.2,0.5,2,0.6675
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,2.2,0.454545,6.095,2.770455,10.415,1,2,0.328935
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.6,1,2,0.604
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.68,1,2,0.602333
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,1.3,0.769231,3.38,2.6,5.48,1,2,0.607333
normalized-anna-9.xml.mzn_AND_NODATA,1,3.572464,0.279919,7.144928,6.33985,7.144928,1,9,3.387482
normalized-army9-12ls.xml.mzn_AND_NODATA,1,1.507519,0.663342,7.481203,4.962594,61.902256,1,2,0.287301
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,3.49,0.286533,9.95,2.851003,17.975,1,2,0.201125
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,0.781905,1.278928,3.428571,4.384896,53.285714,1,2,0.795918
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,1.3,0.769231,3.39,2.607692,5.59,1,2,0.60675
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,0.778571,1.284404,3.428571,4.40367,63.285714,1,2,0.795918
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,6.450658,0.155023,12.901316,4,12.901316,1,4,0.328255
normalized-army9-12bt.xml.mzn_AND_NODATA,1,2.154135,0.464223,11.157895,5.179756,68.105263,1,2,0.20725
normalized-22s-smv.xml.mzn_AND_NODATA,1,2.203509,0.453822,7.934002,3.56741,12.895572,1,1.879031,0.397666
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,1.5,0.666667,3.9975,2.665,6.73,1,2,0.500417
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.326667,2.495,5.166667,0.5,2,0.667778
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,0.809524,1.235294,3.5,4.323529,45.5,1,2,0.8125
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,2.2,0.454545,6.095,2.770455,10.4,1,2,0.328964
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,10.502304,0.095217,21.004608,5.169925,21.004608,1,6,0.387044
normalized-army13-24ls.xml.mzn_AND_NODATA,1,1.504082,0.664858,8.208163,5.457259,130.681633,1,2,0.269517
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,1.3,0.769231,3.3975,2.613462,5.64,1,2,0.605083
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,0.786905,1.270802,3.428571,4.357035,43.285714,1,2,0.795918
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.146667,0.500626,2,0.667778
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,0.77619,1.288344,3.428571,4.417178,73.285714,1,2,0.795918
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,2.638333,0.379027,7.24,2.744157,12.513333,0.252685,2,0.468796
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.333333,2.5,5.146667,0.5,2,0.666667
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,0.814286,1.22807,3.5,4.298246,38.5,1,2,0.8125
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,0.85,1.176471,3.6,4.235294,39.8,1,2,0.84
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,0.801587,1.247525,3.5,4.366337,66.5,1,2,0.8125
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,0.829365,1.205742,3.555556,4.287081,45.666667,1,2,0.82716
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,0.952206,1.050193,3.764706,3.953668,20.294118,1,2,0.896194
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,0.771905,1.295497,3.428571,4.441703,103.285714,1,2,0.795918
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,6.52714,0.153206,13.05428,4,13.05428,1,4,0.323664
normalized-army11-17bt.xml.mzn_AND_NODATA,1,2.186486,0.457355,11.775676,5.385661,99.372973,1,2,0.202985
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,1.48995,0.671164,3.349964,2.226451,4.313711,1,1.879397,0.583881
normalized-anna-8.xml.mzn_AND_NODATA,1,3.572464,0.279919,7.144928,6,7.144928,1,8,3.011095
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,0.906593,1.10303,3.714286,4.09697,30.142857,1,2,0.877551
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,0.798701,1.252033,3.5,4.382114,80.5,1,2,0.8125
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,0.821429,1.217391,3.5,4.26087,31.5,1,2,0.8125
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,2.2,0.454545,6.1,2.772727,10.42,1,2,0.328601
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,0.84127,1.188679,3.555556,4.226415,31.666667,1,2,0.82716
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,0.843056,1.186161,3.6,4.270181,51.8,1,2,0.84
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,0.774405,1.291314,3.428571,4.427364,83.285714,1,2,0.795918
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,34.268465,0.029181,68.53693,6,68.53693,1,8,0.12892
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,0.893939,1.118644,3.666667,4.101695,26,1,2,0.861111
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,16.626108,0.060146,33.252217,4.643856,33.252217,1,5,0.20194
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,0.847475,1.179976,3.636364,4.290822,93.909091,1,2,0.85124
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,0.869697,1.149826,3.636364,4.181185,33.909091,1,2,0.85124
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,0.823413,1.214458,3.555556,4.318072,59.666667,1,2,0.82716
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,34.268465,0.029181,68.53693,6.33985,68.53693,1,9,0.145035
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,0.773016,1.293634,3.428571,4.435318,93.285714,1,2,0.795918
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,0.931373,1.073684,3.764706,4.042105,28.294118,1,2,0.896194
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,0.795918,1.25641,3.5,4.397436,101.5,1,2,0.8125
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.93,2.441667,4.393333,0.555556,2,0.736333
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,1.245283,0.80303,2.962264,7.300251,12.169811,0,8.858491,2.97327
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,1.940385,0.515362,4.813942,2.443013,6.233654,1,1.878846,0.487891
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,0.930952,1.074169,3.75,4.028133,25.25,1,2,0.890625
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,0.8,1.25,3.5,4.375,73.5,1,2,0.8125
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,3.450505,0.289813,6.69697,2.579661,6.492929,0.227752,3.622222,0.69024
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,0.904429,1.10567,3.692308,4.082474,26.076923,1,2,0.869822
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,0.905556,1.104294,3.75,4.141104,49.25,1,2,0.890625
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,1.597936,0.625807,3.772936,2.347495,4.948624,1,1.835321,0.48366
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,1.219858,0.819767,2.964539,7.994046,13.702128,0,10.524823,3.520095
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652,0.053478,3,0.284872
normalized-bibd-8-70-35-4-15_glb.xml.mzn_AND_NODATA,1,0.819841,1.219748,3.555556,4.336883,73.666667,1,2,0.82716
normalized-aim-50-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.413333,0.555556,2,0.737111
normalized-BlackHole-4-4-e-9_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652,0.053478,3,0.284872
normalized-bibd-10-60-18-3-4_glb.xml.mzn_AND_NODATA,1,0.85303,1.172291,3.636364,4.262877,63.909091,1,2,0.85124
normalized-bqwh-18-141-23_glb.xml.mzn_AND_NODATA,1,1.234043,0.810345,2.978723,8.514029,13.702128,0,12.234043,4.086288
normalized-bqwh-18-141-21_ext.xml.mzn_AND_NODATA,1,3.5,0.285714,6.794562,2.635897,6.589124,0.22486,3.971299,0.748323
normalized-bqwh-18-141-14_ext.xml.mzn_AND_NODATA,1,3.514329,0.284549,6.820513,2.664309,6.612368,0.224034,4.126697,0.788505
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,3.768688,0.265344,7.339915,2.647275,7.142454,0.212575,4.098731,0.719138
normalized-bibd-9-108-36-3-9_glb.xml.mzn_AND_NODATA,1,0.831481,1.202673,3.6,4.329621,111.8,1,2,0.84
normalized-aim-200-3-4-sat-2_ext.xml.mzn_AND_NODATA,1,1.798333,0.55607,4.728333,2.629286,7.606667,0.370714,2,0.552734
normalized-bqwh-18-141-27_ext.xml.mzn_AND_NODATA,1,3.424471,0.292016,6.641994,2.696197,6.435045,0.229819,4.194864,0.798832
normalized-bqwh-18-141-29_ext.xml.mzn_AND_NODATA,1,3.605572,0.277349,7.010264,2.6593,6.809384,0.220008,4.1261,0.753197
normalized-BlackHole-4-4-e-3_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652,0.053478,3,0.284872
normalized-bqwh-18-141-14_glb.xml.mzn_AND_NODATA,1,1.234043,0.810345,2.978723,8.43134,13.702128,0,12,4.008274
normalized-4-fullins-5-8.xml.mzn_AND_NODATA,1,18.645683,0.053632,37.291365,6,37.291365,1,8,0.296535
normalized-bqwh-18-141-23_ext.xml.mzn_AND_NODATA,1,3.714706,0.2692,7.226471,2.638758,7.023529,0.213381,4.122059,0.764266
normalized-bqwh-18-141-19_glb.xml.mzn_AND_NODATA,1,1.198582,0.83432,2.943262,8.37669,13.702128,0,11.432624,3.834515
normalized-bibd-9-72-24-3-6_glb.xml.mzn_AND_NODATA,1,0.836111,1.196013,3.6,4.305648,75.8,1,2,0.84
normalized-bqwh-18-141-2_ext.xml.mzn_AND_NODATA,1,3.630339,0.275456,7.057437,2.631365,6.854197,0.218256,3.991163,0.734357
normalized-bibd-12-44-11-3-2_glb.xml.mzn_AND_NODATA,1,0.881702,1.134171,3.692308,4.187707,48.076923,1,2,0.869822
normalized-4-fullins-5-5.xml.mzn_AND_NODATA,1,18.645683,0.053632,37.291365,4.643856,37.291365,1,5,0.185335
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,0.803571,1.244444,3.5,4.355556,59.5,1,2,0.8125
normalized-bqwh-18-141-22_glb.xml.mzn_AND_NODATA,1,1.248227,0.801136,2.992908,8.565795,13.702128,0,12.553191,4.186761
normalized-BlackHole-4-4-e-6_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652,0.053478,3,0.284872
normalized-bqwh-18-141-17_ext.xml.mzn_AND_NODATA,1,3.366972,0.297003,6.524465,2.653523,6.314985,0.23297,3.958716,0.759909
normalized-bibd-7-49-21-3-7_glb.xml.mzn_AND_NODATA,1,0.806122,1.240506,3.5,4.341772,52.5,1,2,0.8125
