@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VG_mean NUMERIC

@DATA
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.0002,0.0002,1371.43,0.0002,0.0003,3804,3840,308.067,18000,3863,3808.6,0,3309.43,3760,3874,0.0004
SAT_Competition2007/random/OnTreshold/7SAT/v75/unif-k7-r89-v75-c6675-S1762817022-10.UNSAT.shuffled.cnf,1,0.0933,0.0933,9.5164,0.0933,0.0933,13,16,8.9854,75,13,12.8971,10,12.8651,10,16,0.0111
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/110/unif-k5-r21.3-v110-c2343-S257485978-084.cnf,1,0.0455,0.0455,9.8923,0.0455,0.0455,22,27,8.9041,110,22,21.9807,17,21.9356,18,27,0.0456
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S1172355929-14.SAT.shuffled.cnf,1,0.0048,0.0048,20.4265,0.0047,0.0079,140,152,16.5324,650,140,140.333,129,140.408,130,152,0.0095
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/100/unif-k5-r21.3-v100-c2130-S1920888253-090.cnf,1,0.05,0.05,8.7154,0.05,0.05,20,25,7.8161,100,20,20.0942,16,20.1016,16,24,0.046
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1909130260-19-SAT.cnf,1,0.0012,0.0012,45.5847,0.0008,0.0035,539,557,37.1889,3500,537,538.215,515,536.403,517,561,0.0024
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S236776564-037.SATISFIABLE.cnf,1,0.04,0.04,10.7963,0.04,0.04,25,30,9.6553,125,25,24.8788,20,24.9176,20,30,0.0451
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1516725086-012.UNKNOWN.cnf,1,0.1,0.1,8.9636,0.1,0.1,12,15,8.6014,70,12,12.0504,9,12.0581,9,15,0.0111
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/220/unif-k7-r85-v220-c18700-S1961115887-052.cnf,1,0.0318,0.0318,19.5931,0.0318,0.0318,36,42,20.0629,220,36,36,30,36.0753,30,42,0.0117
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/500/unif-k3-r4.25-v500-c2125-S1494961823-060.cnf,1,0.0062,0.0062,17.4766,0.0061,0.0102,107,117,14.3831,500,108,107.542,98,107.667,98,117,0.0123
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S248192082-054.UNKNOWN.cnf,1,0.0052,0.0052,22.0558,0.0052,0.0086,128,139,17.357,600,128,127.932,118,128.049,117,138,0.0104
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/520/unif-k3-r4.25-v520-c2210-S227954525-082.cnf,1,0.0059,0.0059,18.3676,0.0059,0.0078,113,123,14.8412,520,113,113.096,104,113.286,103,124,0.0117
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/900/unif-k5-r20-v900-c18000-S1119648091-064.cnf,1,0.0056,0.0056,50.1095,0.0056,0.0056,172,187,40.7395,900,172,172.177,159,172.208,158,185,0.0179
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1617626827-069.SATISFIABLE.cnf,1,0.0069,0.0069,15.3263,0.0068,0.0113,98,107,12.4421,450,98,97.9555,89,97.9801,89,107,0.0136
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S869604189-077.UNKNOWN.cnf,1,0.0051,0.0051,23.1834,0.0051,0.0068,131,142,18.656,600,130,130.654,120,130.431,120,141,0.01
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,0.1,0.1,8.7181,0.1,0.1,12,15,8.4534,70,12,12.1367,9,12.0972,9,15,0.0111
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S1510966387-018.cnf,1,0.0003,0.0003,437.2,0.0003,0.0005,2547,2577,228,12000,2554.5,2546.45,0,2299.5,2504,2599,0.0005
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.0389,0.0389,16.5683,0.0389,0.0389,29,35,16.5455,180,29,29.6766,25,29.7098,24,35,0.0117
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0.1077,0.1077,8.5152,0.1077,0.1077,11,14,8.0183,65,11,11.2707,8,11.2868,8,14,0.0111
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S139794312-098.cnf,1,0.0008,0.0008,110.587,0.0008,0.0015,851,876,73.313,4000,853,849.574,819,851.661,816,877,0.0016
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1295462378-089.cnf,1,0.0389,0.0389,16.4436,0.0389,0.0389,30,35,16.9709,180,30,29.7648,25,29.971,25,36,0.0117
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/75/unif-k7-r89-v75-c6675-S819692891-023.cnf,1,0.0933,0.0933,9.3947,0.0933,0.0933,13,16,8.972,75,13,12.9642,10,12.9799,10,16,0.0111
SAT_Competition2007/random/2+p/p0.9/v990/unif2p-p0.9-v990-c3583-S516218553-20-SAT.cnf,1,0.0032,0.0032,26.034,0.0021,0.0064,205,218,20.2177,990,205,204.688,192,204.819,191,218,0.0062
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/400/unif-k3-r4.25-v400-c1700-S419666888-007.cnf,1,0.008,0.008,13.6748,0.0078,0.0131,85,94,11.193,400,85,84.9997,76,84.8677,77,93,0.0158
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S252359291-002.SATISFIABLE.cnf,1,0.0051,0.0051,20.6966,0.0051,0.0085,131,141,16.557,600,130,130.4,120,130.384,119,141,0.0102
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S285324961-078-UNKNOWN.cnf,1,0.0001,0.0001,946.5,0.0001,0.0002,6362,6370,2758.71,30000,6397.5,5436.86,6334,6397.5,0,6334,0.0002
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S34055288-072.SATISFIABLE.cnf,1,0.04,0.04,9.7014,0.04,0.04,25,30,8.6685,125,25,25.0874,20,25.0527,20,30,0.0452
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v700-c2982-S812011128-009.SATISFIABLE.cnf,1,0.0044,0.0044,22.5126,0.0044,0.0073,152,164,17.6738,700,152,152.195,141,152.384,140,164,0.0087
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S506401817-075.UNKNOWN.cnf,1,0.0051,0.0051,25.5682,0.0051,0.0085,129,140,20.5025,600,129,129.468,119,129.25,119,140,0.0101
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/440/unif-k3-r4.25-v440-c1870-S1112524719-021.cnf,1,0.0071,0.0071,15.3033,0.007,0.0141,94,104,12.6312,440,94,94.2871,85,94.3491,85,104,0.0141
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S650356257-052.cnf,1,0.0003,0.0003,432.5,0.0003,0.0004,2531,2584,234.739,12000,2552.5,2539.22,2470,2364.21,2504,2579,0.0005
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S541740666-063-UNKNOWN.cnf,1,0.005,0.005,53.7224,0.005,0.005,191,207,44.5358,1000,191,191.279,177,191.7,178,207,0.0165
SAT_Competition2007/random/LargeSize/5SAT/v600/unif-k5-r20-v600-c12000-S1556473581-06.cnf,1,0.0083,0.0083,34.0797,0.0083,0.0083,115,127,28.0362,600,115,115.132,105,115.258,104,126,0.0243
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v250-c21250-S317257086-003-UNKNOWN.cnf,1,0.028,0.028,21.7953,0.028,0.028,42,49,22.0776,250,41,41.6614,35,41.2177,35,48,0.0117
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v550-c2343-S943066845-088.UNKNOWN.cnf,1,0.0056,0.0056,24.0121,0.0056,0.0074,118,129,19.2121,550,118,118.42,108,118.127,108,128,0.011
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/460/unif-k3-r4.25-v460-c1955-S321371087-018.cnf,1,0.0068,0.0068,13.1467,0.0067,0.0089,100,109,11.0115,460,100,99.778,91,99.8806,90,110,0.0134
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v250-c21250-S655589261-059-UNKNOWN.cnf,1,0.028,0.028,21.7645,0.028,0.028,41,48,22.3873,250,41,41.4119,35,41.0161,35,48,0.0117
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/540/unif-k3-r4.25-v540-c2295-S1137823545-077.cnf,1,0.0057,0.0057,19.1984,0.0057,0.0095,117,127,15.3372,540,116,116.618,106,116.392,107,127,0.0113
SAT_Competition2007/random/2+p/p0.9/v1170/unif2p-p0.9-v1170-c4235-S622482268-08-UNKNOWN.cnf,1,0.0027,0.0027,34.7205,0.0018,0.0045,238,253,26.6429,1170,239,237.967,224,238.521,223,253,0.0053
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v15000-c63000-S38529837-091-UNKNOWN.cnf,1,0.0002,0.0002,1004.33,0.0002,0.0004,3187,3255,264,15000,3189,3198.19,0,2841.11,3126,3244,0.0004
SAT_Competition2007/random/2+p/p0.8/v1665/unif2p-p0.8-v1665-c5178-S1363528912-04-SAT.cnf,1,0.002,0.002,33.5139,0.0014,0.0055,311,328,26.9339,1665,311,311.154,295,311.145,296,328,0.004
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/560/unif-k3-r4.25-v560-c2380-S688769362-007.cnf,1,0.0056,0.0056,19.7035,0.0055,0.0092,119,130,16.1215,560,120,119.422,109,119.573,109,130,0.0112
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S1036996799-006.cnf,1,0.0082,0.0082,12.3751,0.0081,0.0136,82,91,10.0821,380,82,82.6059,74,82.5433,74,91,0.0162
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S1804335510-002.cnf,1,0.0081,0.0081,12.837,0.008,0.0134,83,92,10.7822,380,83,83.2452,75,83.0862,75,92,0.0158
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1100/unif-k5-r20-v1100-c22000-S1388268034-092.cnf,1,0.0045,0.0045,61.2559,0.0045,0.0045,210,225,49.3402,1100,210,210.352,195,210.691,196,226,0.0152
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0437,0.0437,14.9294,0.0437,0.0437,26,32,15.0191,160,26,26.5309,21,26.4366,21,32,0.0117
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1223878722-065.cnf,1,0.1077,0.1077,8.4612,0.1077,0.1077,11,14,7.9626,65,11,11.3157,8,11.271,8,14,0.0111
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.0385,0.0385,10.7459,0.0385,0.0385,26,31,9.8506,130,26,25.9668,21,25.8344,21,31,0.045
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S326477539-068.cnf,1,0.0081,0.0081,12.6361,0.008,0.0107,83,92,10.5131,380,83,82.7771,74,82.7028,74,91,0.0158
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/8000/unif-k3-r4.2-v8000-c33600-S195213520-027.cnf,1,0.0004,0.0004,277,0.0004,0.0006,1712,1738,121.789,8000,1710,1711.66,1659,1652.1,1688,1747,0.0008
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1771223975-021.cnf,1,0.0455,0.0455,9.1162,0.0455,0.0455,22,27,8.1174,110,22,22.1211,18,22.1134,18,27,0.0455
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v10000-c42000-S677627694-051-UNKNOWN.cnf,1,0.0003,0.0003,253.6,0.0003,0.0005,2122.5,2163,167.269,10000,2123.5,2126.19,2074,2123.6,2084,2152,0.0006
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S762724712-048.cnf,1,0.0005,0.0005,158.736,0.0005,0.0009,1275.5,1305,99.4483,6000,1265,1275.76,1238,1269,1242,1296,0.0011
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v650-c2769-S466707249-079.SATISFIABLE.cnf,1,0.0048,0.0048,22.002,0.0047,0.0079,140,152,17.4839,650,140,140.279,129,140.311,129,152,0.0095
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S1933199449-033.cnf,1,0.0008,0.0008,109.254,0.0008,0.0015,848.5,876,67.3684,4000,849,850.421,823,842.864,828,877,0.0016
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v400-c34000-S927774663-037-UNKNOWN.cnf,1,0.0175,0.0175,33.0777,0.0175,0.0175,65,75,33.3432,400,66,65.4719,57,66.1529,57,74,0.0117
SAT_Competition2007/random/OnTreshold/7SAT/v70/unif-k7-r89-v70-c6230-S1504426817-07.UNSAT.shuffled.cnf,1,0.1,0.1,8.8318,0.1,0.1,12,15,8.501,70,12,12.1,9,12.1131,9,15,0.0111
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S1885965779-049.UNKNOWN.cnf,1,0.0052,0.0052,23.9601,0.0051,0.0085,129,140,18.9474,600,129,129.004,118,128.866,119,140,0.0102
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S2127524023-19.UNSAT.shuffled.cnf,1,0.0048,0.0048,25.3073,0.0047,0.0079,139,151,19.8507,650,140,139.454,128,139.615,128,151,0.0094
SAT_Competition2007/random/OnTreshold/5SAT/v80/unif-k5-r21.3-v80-c1704-S1210495375-04.SAT.shuffled.cnf,1,0.0625,0.0625,7.6478,0.0625,0.0625,16,20,6.7779,80,16,16.2299,12,16.1955,13,20,0.0462
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/140/unif-k7-r85-v140-c11900-S74035269-088.cnf,1,0.05,0.05,13.3066,0.05,0.05,23,28,13.2656,140,23,23.4002,19,23.3571,19,28,0.0117
SAT_Competition2007/random/2+p/p0.8/v1295/unif2p-p0.8-v1295-c4027-S1209647106-12-SAT.cnf,1,0.0027,0.0027,23.5312,0.0018,0.0063,238,253,20.4183,1295,238,238.78,223,238.027,225,253,0.0054
SAT_Competition2007/random/LargeSize/5SAT/v600/unif-k5-r20-v600-c12000-S883927618-10.cnf,1,0.0083,0.0083,33.3269,0.0083,0.0083,115,126,28.3045,600,115,115.445,104,114.603,105,125,0.0243
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S956556686-037.cnf,1,0.0389,0.0389,16.6381,0.0389,0.0389,30,36,16.9196,180,30,29.9879,24,29.8014,24,35,0.0117
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S1405262666-07.UNSAT.shuffled.cnf,1,0.0385,0.0385,10.7706,0.0385,0.0385,26,31,9.7574,130,26,25.8615,21,25.8754,21,31,0.0449
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/360/unif-k3-r4.25-v360-c1530-S1448866403-060.cnf,1,0.0086,0.0086,14.1006,0.0085,0.0142,78,86,11.6677,360,78,77.9345,70,78.019,70,86,0.0167
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/520/unif-k3-r4.25-v520-c2210-S1161147107-031.cnf,1,0.006,0.006,15.6644,0.0059,0.0098,114,123,12.7778,520,113,113.564,103,113.203,104,123,0.0117
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S1818856267-075.UNKNOWN.cnf,1,0.0875,0.0875,9.5942,0.0875,0.0875,14,17,9.3559,80,14,13.822,10,13.7571,10,17,0.0111
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S873866006-055.UNKNOWN.cnf,1,0.0333,0.0333,12.302,0.0333,0.0333,30,35,11.2339,150,30,29.8031,24,29.8055,25,35,0.0439
SAT_Competition2007/random/OnTreshold/5SAT/v120/unif-k5-r21.3-v120-c2556-S1191693850-19.SAT.shuffled.cnf,1,0.0417,0.0417,9.9023,0.0417,0.0417,24,29,8.9762,120,24,24.0247,19,23.9824,19,29,0.0452
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1965764400-19.SAT.shuffled.cnf,1,0.0063,0.0063,15.8344,0.0062,0.0103,107,117,12.7071,500,107,107.186,97,107.001,98,117,0.0125
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0.1,0.1,8.8539,0.1,0.1,12,15,8.5122,70,12,12.0523,9,12.0692,9,15,0.0111
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1049921489-034.cnf,1,0.0389,0.0389,15.902,0.0389,0.0389,30,36,16.4579,180,30,29.8896,25,30.2082,24,36,0.0117
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v300-c25500-S942666749-061-UNKNOWN.cnf,1,0.0233,0.0233,26.2527,0.0233,0.0233,50,57,26.5953,300,49,49.6233,42,49.1749,42,56,0.0117
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/500/unif-k3-r4.25-v500-c2125-S602463346-055.cnf,1,0.0062,0.0062,16.2457,0.0062,0.0082,108,118,13.1613,500,108,108.096,98,107.975,98,118,0.0124
SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S411047518-16.cnf,1,0.0063,0.0063,44.9287,0.0063,0.0063,153,168,36.0322,800,154,154.041,140,153.463,142,168,0.0196
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/160/unif-k7-r85-v160-c13600-S1178729443-051.cnf,1,0.0437,0.0437,14.8985,0.0437,0.0437,26,31,15.2701,160,27,26.4019,21,26.6331,21,32,0.0117
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.0333,0.0333,11.9307,0.0333,0.0333,30,35,10.8596,150,30,29.6547,25,29.9195,25,35,0.0439
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v700-c2982-S171669125-021.SATISFIABLE.cnf,1,0.0044,0.0044,20.3647,0.0044,0.0073,151,163,16.3695,700,152,151.355,140,151.513,140,163,0.0089
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S945664020-055-UNKNOWN.cnf,1,0.005,0.005,54.0394,0.005,0.005,191,204,43.5751,1000,191,190.729,177,191.403,175,206,0.0165
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S1835046931-014.cnf,1,0.0008,0.0008,109.189,0.0008,0.0013,851,887,71.2547,4000,854,854.67,824,853.099,829,880,0.0016
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S679764311-04.cnf,1,0.0437,0.0437,14.9354,0.0437,0.0437,26,32,15.3153,160,26,26.4924,22,26.6073,21,32,0.0117
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v150-c12750-S93401285-051-UNKNOWN.cnf,1,0.0467,0.0467,14.1663,0.0467,0.0467,25,30,14.3452,150,25,24.6778,20,24.8596,20,30,0.0117
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/560/unif-k3-r4.25-v560-c2380-S1750991629-037.cnf,1,0.0055,0.0055,22.2431,0.0054,0.0091,121,132,17.4679,560,121,121.436,111,120.918,112,132,0.0108
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S727005963-093.SATISFIABLE.cnf,1,0.0051,0.0051,19.6305,0.0051,0.0068,130,141,16.0063,600,131,130.748,120,130.708,120,141,0.0101
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S2100934911-025.cnf,1,0.0005,0.0005,194.953,0.0005,0.0009,1275,1310,103.673,6000,1283,1275.62,1257,1256.84,1244,1320,0.001
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v750-c15000-S3662714-068-UNKNOWN.cnf,1,0.0067,0.0067,43.9566,0.0067,0.0067,144,157,37.4472,750,143,143.586,130,143.045,131,156,0.0207
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S1986560013-06.cnf,1,0.0002,0.0002,862,0.0002,0.0005,2754,2801,216.706,13000,2758,2761.35,2713,2510,2714,2792,0.0005
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v650-c2769-S29470018-050.UNKNOWN.cnf,1,0.0048,0.0048,24.435,0.0048,0.0079,139,150,19.2663,650,139,138.419,127,138.564,127,150,0.0096
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/800/unif-k5-r20-v800-c16000-S1185462553-011.cnf,1,0.0063,0.0063,44.6276,0.0063,0.0063,153,166,36.8425,800,153,152.539,141,153.566,140,167,0.0197
SAT_Competition2007/random/2+p/p0.9/v810/unif2p-p0.9-v810-c2932-S1274825698-06-SAT.cnf,1,0.0039,0.0039,22.9875,0.0026,0.0065,167,178,18.3907,810,167,166.107,154,166.33,154,178,0.0077
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v400-c34000-S1897807474-073-UNKNOWN.cnf,1,0.0175,0.0175,33.3343,0.0175,0.0175,65.5,75,32.8111,400,67,65.5852,57,66.2384,56,75,0.0117
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v500-c2130-S261841674-082.SATISFIABLE.cnf,1,0.0061,0.0061,17.2209,0.0061,0.0081,110,120,13.8031,500,110,110.035,100,109.889,101,120,0.012
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S365559754-09-UNSAT.cnf,1,0.0006,0.0006,83.2474,0.0004,0.0021,990.5,1016,69.8208,6500,990,981.434,960,989.103,964,1013,0.0013
