@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC

@DATA
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,1.9442,0.7131,2.357,2.3864,0.1129,1.2355,0.1831,34035,0.0735,0.074,0.0079,0.0112,0.2875,1.0258,0.0001,0.0003,0.7143,0,0.0005,0.0005,0.9697,0.0377,447.851,0.2087,0.6128,1.2175,0.0074,0.0003,6232,0,0.0059,0.3782
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,1.471,2.5291,1.8012,0.2585,0.207,1.1089,0.083,63826,0.3877,0.0471,0.0104,0.0107,0.1496,2.8796,0.0003,0.0008,0.9432,0.0758,0.0009,0.0009,0.9787,0.0137,167.75,0.8251,0.3812,2.0685,0.006,0.0004,5295,0,0.0064,0.8626
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,3.0829,0.4451,2.733,2.1373,0.1565,0.4511,0.178,248601,0.2499,0.0322,0.0001,0.0002,0.2053,0.4571,0,0,0.7647,0,0.0001,0.0001,0.9829,0.0155,2788.8,0.6568,0.892,1.0132,0.0002,0,44244,0,0.0003,0.8079
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,3.0944,0.4013,2.6926,2.1871,0.1552,0.4251,0.1843,185161,0.2522,0.0323,0.0002,0.0002,0.2037,0.4279,0,0,0.7333,0,0.0001,0.0001,0.9902,0.0158,665.833,0.6706,0.8874,1.006,0.0002,0.0001,34133,0,0.0004,0.8056
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,4.0238,9.1027,4.077,0.0753,0.2372,1.8279,0.0439,4281700,0.5002,0.1988,0.0033,0.0068,0.5,7.206,0,0,0.9852,0,0,0,1,0.0485,116496,0.9971,0.9471,0.5717,0.0155,0,188087,0,0.0035,0.9996
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,4.0371,3.3798,5.2307,0.7117,0.3273,2.3481,0.0178,4556456,0.5141,0.3607,0.0011,0.0043,0.5,2.4637,0,0,0.9849,0,0,0,1,0.0967,61053,0.9995,0.9406,0.7405,0.0033,0,81160,0,0.0043,1
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,3.0198,2.5235,3.1072,5.2587,0.1655,1.9106,0.1611,277657,0.1496,0.1094,0.0045,0.0097,0.4377,1.6879,0,0,1,0,0.0001,0.0001,1,0.0459,2460.5,0.4015,0.8536,1.2399,0.008,0,44729,0,0.004,0.8011
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,3.5936,1.2092,3.62,2.2488,0.1598,1.0416,0.1359,396985,0.22,0.0871,0.0004,0.0008,0.3401,1.2791,0,0,0.7333,0,0.0001,0.0001,1,0.0323,2466.5,0.6558,0.6631,1.6117,0.0008,0,53933,0,0.0005,0.8338
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,3.0829,0.4451,2.733,2.1373,0.1565,0.4511,0.178,248601,0.2499,0.0321,0.0001,0.0002,0.2055,0.4571,0,0,0.7647,0,0.0001,0.0001,0.9829,0.0155,2918.2,0.6567,0.892,1.0132,0.0002,0,44244,0,0.0003,0.8081
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,2.8925,0.4866,2.5651,1.0622,0.1624,0.4772,0.1789,590731,0.2652,0.0308,0,0.0001,0.1485,0.4875,0,0,0.7895,0,0,0,0.9451,0.0161,4009,0.744,0.8708,1.0274,0.0001,0,105677,0,0.0001,0.8376
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,1.6082,3.0847,1.7815,3.0716,0.0874,2.1576,0.2186,136385,0.0915,0.0791,0.0038,0.0248,1,2.1243,0,0,1,0,0.0001,0.0001,1,0.0615,1666.67,0.156,0.8913,0.7897,0.0062,0.0001,29820,0,0.0024,0.1919
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,4.0371,3.3798,5.2304,0.7117,0.3273,2.3481,0.0178,4556496,0.5141,0.3607,0.0011,0.0043,0.5,2.4637,0,0,0.9848,0,0,0,1,0.0967,54249,0.9995,0.9406,0.7405,0.0033,0,81160,0,0.0043,1
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,1.782,0.291,2.6635,0.5733,0.0691,0.28,0.2042,2204,0.0509,0.1317,0.0059,0.0154,0.135,0.3008,0.0023,0.0032,0.25,0,0.0078,0.0078,0.3961,0.0676,29.6313,0.0252,0.4828,0.8766,0.0068,0.0044,450,0.0009,0.0111,0.1022
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,2.0203,0.6056,2.7282,2.3211,0.0712,1.0087,0.2072,279680,0.061,0.1155,0.0003,0.0005,0.438,0.8703,0,0,0.8261,0,0.0001,0.0001,1,0.0543,3287.33,0.1209,0.7211,1.001,0.0005,0,57963,0,0.0009,0.2679
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,1.7705,0.2829,2.6419,0.515,0.0683,0.2773,0.2023,2976,0.0501,0.1317,0.0044,0.0114,0.135,0.2931,0.0017,0.0024,0.25,0,0.0059,0.0059,0.3961,0.068,38.9153,0.0252,0.4731,0.8682,0.005,0.0033,602,0.0007,0.0083,0.1023
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,1.6649,1.9072,1.7591,0.2666,0.326,0.6947,0.0571,9579475,0.4263,0.0733,0.0004,0.0004,0.5,2.1746,0,0,0.9938,0.0003,0,0,0.999,0.0354,1196960,0.9835,0.9978,0.1789,0.0006,0,547237,0,0.0024,0.9919
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,2.898,0.5067,2.5698,1.092,0.1634,0.4918,0.176,708950,0.2637,0.0301,0,0.0001,0.1588,0.5009,0,0,0.8,0,0,0,0.9626,0.0158,12347,0.7566,0.8754,1.0292,0.0001,0,124771,0,0.0001,0.8425
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,2.7564,0.8793,4.0874,0.0308,0.0605,0.942,0.1019,4453032,0.0726,0.3457,0,0.0001,0.5,0.7653,0,0,0.5,0,0,0,1,0.2415,263404,0.5335,0.3436,0.8757,0.0001,0,453566,0,0.0002,0.6818
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,2.821,0.5444,2.5548,0.9554,0.1635,0.5111,0.1739,742042,0.2625,0.0298,0,0.0001,0.1312,0.5372,0,0,0.8182,0,0,0,0.9464,0.0159,11553,0.7541,0.8711,1.0378,0.0001,0,129041,0,0.0001,0.8379
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,3.0944,0.4013,2.6926,2.1871,0.1552,0.4251,0.1843,185161,0.2522,0.0323,0.0002,0.0002,0.2037,0.4279,0,0,0.7333,0,0.0001,0.0001,0.9902,0.0158,1266.6,0.6706,0.8874,1.006,0.0002,0.0001,34133,0,0.0004,0.8056
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,3.2658,3.4805,3.2201,6.9416,0.1921,3.268,0.1531,440409,0.2178,0.4009,0.0018,0.0049,0.5,2.7759,0,0,0.9858,0,0.0001,0.0001,1,0.2014,23017.7,0.7295,0.6942,1.6907,0.0052,0,67417,0,0.0096,0.9999
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,4.0219,3.6567,4.8329,0.1772,0.2414,3.4105,0.025,7992369,0.3373,0.5,0.0059,0.0062,0.5,3.7814,0,0,0.9618,0,0,0,1,0.1099,842493,0.9811,0.9692,0.9077,0.0062,0,199855,0,0.0008,0.9995
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,0.9718,0.6085,2.3627,1.5064,0.0385,0.4883,0.1696,157349,0.0205,0.0485,0.0002,0.0005,0.1579,0.5909,0,0.0001,0.3333,0,0.0001,0.0001,0.6755,0.0312,2521.29,0.0104,0.5407,0.9018,0.0002,0.0001,26689,0,0.0002,0.0878
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,1.6455,1.2728,2.6941,8.085,0.1052,1.2705,0.1443,98894,0.061,0.084,0.0008,0.0022,0.26,1.0073,0,0.0001,0.9403,0,0.0003,0.0003,0.9845,0.037,1051.94,0.0635,0.5433,1.1992,0.0014,0.0001,14271,0,0.0046,0.2249
SAT_RACE2008/post-c32s-ss-8.cnf,1,1.76,1.065,2.1911,2.9061,0.124,0.8326,0.2086,65966,0.19,0.1335,0.002,0.003,0.217,1.2377,0.0001,0.0001,0.9592,0,0.0002,0.0002,0.9901,0.0658,483.192,0.6957,0.8711,1.0619,0.0089,0.0001,13761,0,0.0073,0.7286
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,1.8364,1.515,4.8535,0.0891,0.0506,1.116,0.0454,697544,0.0314,0.1562,0.0006,0.0011,0.3768,2.39,0,0,0.5556,0,0.0001,0.0001,1,0.0436,7131.5,0.1663,0.1929,0.627,0.0008,0.0001,31688,0,0.0003,0.4163
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,3.1041,1.4973,3.0333,3.1589,0.1635,1.9526,0.1138,73221,0.3658,0.126,0.0039,0.0041,1,1.2379,0,0.0002,1,0,0.0004,0.0004,1,0.0629,405.184,0.6832,0.7589,1.2942,0.0116,0.0002,8333,0,0.0012,0.7361
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,2.7152,1.548,2.9175,5.0535,0.1496,1.4393,0.1295,302951,0.1729,0.1496,0.0014,0.0031,0.4628,1.923,0,0,0.9732,0,0.0001,0.0001,1,0.0744,1965,0.6495,0.4602,1.6396,0.002,0.0001,39231,0,0.0009,0.7691
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,2.9052,1.5143,3.0647,4.8307,0.1516,1.4341,0.1328,169202,0.1711,0.1473,0.0041,0.0086,0.443,1.8133,0,0.0001,0.9487,0,0.0002,0.0002,1,0.0786,971.667,0.6206,0.4693,1.6207,0.0065,0.0001,22468,0,0.0016,0.7406
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0.3614,0.0058,0.7668,0,0.0021,0.086,0.0085,67872,0.5229,0,0.0045,0.0046,0,0.0058,0.0013,0.0045,0.5333,0.6857,0.0046,0.0046,0.704,0,18.5919,0.6934,0.9993,0.6749,0.0026,0.0035,576,0.0044,0.0417,0.6934
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,2.4435,1.552,2.6774,0.1466,0.1231,0.5487,0.1484,14244,0.1386,0.0259,0.0072,0.016,0.0827,1.6283,0.0013,0.0006,0.7273,0,0.0015,0.0015,0.9762,0.0178,63.1886,0.8851,0.8234,0.9445,0.0099,0.0009,2114,0.0001,0.0114,0.9142
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,2.6677,1.086,4.1294,0.675,0.2792,0.9001,0.0114,67183,0.2882,0.0232,0.0096,0.0189,0.1719,0.8587,0.0001,0.0035,0.9284,0.0096,0.0056,0.0056,0.9638,0.0054,357.75,0.5448,0.8911,0.5773,0.0068,0.0026,763,0.0001,0.0315,0.592
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,3.3454,0.9423,3.4864,2.6433,0.1366,0.7595,0.1562,54690,0.1777,0.0849,0.002,0.0042,0.3221,0.8578,0.0001,0.0002,0.6923,0,0.0004,0.0004,0.9835,0.0331,474.197,0.6283,0.6952,1.5217,0.0039,0.0002,8543,0,0.0014,0.8108
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,1.6787,1.4593,4.9338,0.0534,0.0395,1.0746,0.0416,760817,0.0227,0.1493,0.0006,0.0011,0.3432,2.4028,0,0,0.5,0,0.0001,0.0001,1,0.0397,1586,0.1451,0.1885,0.6182,0.0007,0.0001,31632,0,0.0003,0.4137
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,2.9405,1.3359,3.1408,4.7944,0.1548,1.2956,0.1341,123377,0.1757,0.1482,0.0027,0.0067,0.439,1.5948,0,0.0001,0.9658,0,0.0002,0.0002,1,0.079,1030.76,0.6132,0.4697,1.6385,0.007,0.0001,16544,0,0.002,0.7318
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,3.0643,0.5586,2.8214,1.9531,0.1595,0.5364,0.1628,551972,0.2463,0.0317,0.0001,0.0001,0.2021,0.5332,0,0,0.8182,0,0,0,0.9499,0.0148,52781,0.6454,0.9035,1.021,0.0001,0,89874,0,0.0001,0.8105
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,2.8303,1.7985,2.9222,5.5414,0.1523,1.6184,0.1236,456317,0.1969,0.1481,0.0016,0.0034,0.435,2.1584,0,0,0.9699,0,0.0001,0.0001,1,0.0721,2192.5,0.6814,0.483,1.7163,0.0019,0,56393,0,0.0007,0.8418
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,2.8716,1.9496,2.8718,3.0739,0.136,1.0773,0.2187,80000,0.1862,0.3185,0.0127,0.0197,0.9998,1.5718,0,0.0001,1,0,0.0002,0.0002,1,0.1651,695.923,0.2098,0.7678,1.3846,0.0045,0.0001,17498,0,0.005,0.4758
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,4.0488,7.5865,4.3628,0.1264,0.2587,1.3152,0.0429,3193200,0.4607,0.3485,0.0094,0.0187,0.5,5.2458,0,0,1,0,0,0,1,0.0854,81595,0.9969,0.953,0.9783,0.0103,0,136989,0,0.0265,0.9999
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,2.8848,0.4219,2.5265,1.1328,0.1602,0.4483,0.1882,408968,0.2707,0.0327,0.0001,0.0001,0.1341,0.4355,0,0,0.7333,0,0,0,0.9361,0.0169,3268.5,0.7517,0.8637,1.0079,0.0001,0,76968,0,0.0001,0.834
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,2.6334,2.0992,3.9039,55.6739,0.1396,0.923,0.0192,255997,0.0949,0.4164,0.0007,0.017,0.5,1.6196,0,0.0001,0.8,0,0.0014,0.0014,0.9966,0.2,338.222,0.0659,0.0352,1.0838,0.0012,0.0004,4925,0,0.013,0.2531
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,2.6131,1.1579,4.1497,0.6139,0.2849,0.9829,0.0067,215680,0.2881,0.0175,0.0058,0.0114,0.1933,0.9143,0,0.0019,0.9392,0.0006,0.0031,0.0031,0.9718,0.0052,169.5,0.5652,0.9173,0.4562,0.0038,0.0014,1435,0,0.023,0.7069
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,1.7617,0.2778,2.6242,0.4801,0.0678,0.2757,0.2012,3748,0.0496,0.1317,0.0035,0.0091,0.135,0.2743,0.0013,0.0019,0.25,0,0.0047,0.0047,0.3961,0.0682,48.3278,0.0252,0.4674,0.863,0.004,0.0027,754,0.0005,0.0066,0.1024
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,4.2573,1.8552,5.724,11.0477,0.312,1.6992,0.0234,453005,0.4002,0.4541,0.0052,0.0055,0.5,2.5013,0,0.0004,0.9909,0,0.0005,0.0005,1,0.1515,671.727,0.8752,0.7843,1.4949,0.0047,0.0002,10611,0,0.0557,0.9552
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1,2.0475,0.2991,2.4287,0.4541,0.0901,0.5956,0.241,4834,0.0776,0.072,0.005,0.0052,0.3218,0.5948,0.001,0.0011,0.5,0,0.0026,0.0026,0.8527,0.0486,67.1916,0.1759,0.8775,0.9511,0.0072,0.0017,1165,0.0004,0.0215,0.3456
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-17-u.cnf,1,2.8612,0.5262,2.5867,0.9945,0.1632,0.4989,0.1752,854488,0.2635,0.0292,0,0,0.1344,0.5202,0,0,0.8095,0,0,0,0.9626,0.0157,17977,0.7644,0.8711,1.0364,0,0,149672,0,0.0001,0.845
SAT_Competition2007/industrial/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,3.0944,0.4013,2.6926,2.1871,0.1552,0.4251,0.1843,185161,0.2522,0.0323,0.0002,0.0002,0.2037,0.4279,0,0,0.7333,0,0.0001,0.0001,0.9902,0.0158,753.333,0.6706,0.8874,1.006,0.0002,0.0001,34133,0,0.0004,0.8056
