@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_75 NUMERIC
@ATTRIBUTE median_degree NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE maximum_degree NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_literal_tightness_0 NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC
@ATTRIBUTE stats_literal_tightness_100 NUMERIC
@ATTRIBUTE stats_literal_tightness_coeff_of_variation NUMERIC
@ATTRIBUTE width_of_graph NUMERIC
@ATTRIBUTE width_of_ordering NUMERIC
@ATTRIBUTE stats_literal_tightness_mean NUMERIC
@ATTRIBUTE stats_dom_mean NUMERIC
@ATTRIBUTE minimum_degree NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE normalised_SAC_literals NUMERIC
@ATTRIBUTE stats_table_proportion NUMERIC
@ATTRIBUTE stats_arity_75 NUMERIC
@ATTRIBUTE stats_arity_25 NUMERIC
@ATTRIBUTE stats_unary_proportion NUMERIC
@ATTRIBUTE stats_arity_0 NUMERIC
@ATTRIBUTE stats_lex_proportion NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE stats_arity_50 NUMERIC
@ATTRIBUTE stats_lex_count NUMERIC
@ATTRIBUTE stats_or_atleastk_count NUMERIC
@ATTRIBUTE stats_arity_100 NUMERIC
@ATTRIBUTE stats_or_atleastk_proportion NUMERIC
@ATTRIBUTE stats_dom_not2_2_ratio NUMERIC
@ATTRIBUTE stats_unary_count NUMERIC
@ATTRIBUTE stats_binary_proportion NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_alldiff_count NUMERIC

@DATA
1-insertions-5-5.xml.watchless.minion.gz,1,0.243809,184,0.039604,0.049505,12.148515,12.148515,0,184,0.331683,5,202,184,202,202,0,5,1227,0.060141,0.331683,5,0.009901,0.009901,184,0.032959,21,17,0.149959,184,5,0.024752,6.657663,23,10,184,67,0.06044,16,5,23,0.148324,8,67,20,5,5,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
1-insertions-5-6.xml.watchless.minion.gz,1,0.243809,169,0.039604,0.049505,12.148515,12.148515,0,169,0.331683,6,202,169,202,202,0,6,1227,0.060141,0.331683,6,0.009901,0.009901,169,0.032959,18,14,0.137734,169,6,0.024752,6.657663,19,10,169,67,0.06044,13,6,20,0.153623,8,67,16.666667,6,5,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
1-insertions-6-4.xml.watchless.minion.gz,1,0.159787,263,0.023064,0.029654,20.879736,20.879736,0,263,0.332784,4,607,263,607,607,0,4,6337,0.034398,0.332784,4,0.003295,0.003295,263,0.024126,27,26,0.041502,263,4,0.009885,14.644509,27,18,263,202,0.034455,20,4,27,0.116619,14,202,25,4,6,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
1-insertions-6-5.xml.watchless.minion.gz,1,0.159787,184,0.023064,0.029654,20.879736,20.879736,0,184,0.332784,5,607,184,607,607,0,5,6337,0.034398,0.332784,5,0.003295,0.003295,184,0.024126,21,17,0.029036,184,5,0.009885,14.644509,23,18,184,202,0.034455,16,5,23,0.148324,14,202,20,5,6,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
1-insertions-6-6.xml.watchless.minion.gz,1,0.159787,169,0.023064,0.029654,20.879736,20.879736,0,169,0.332784,6,607,169,607,607,0,6,6337,0.034398,0.332784,6,0.003295,0.003295,169,0.024126,18,14,0.026669,169,6,0.009885,14.644509,19,18,169,202,0.034455,13,6,20,0.153623,14,202,16.666667,6,6,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
1-insertions-6-7.xml.watchless.minion.gz,1,0.159787,154,0.023064,0.029654,20.879736,20.879736,0,154,0.332784,7,607,154,607,607,0,7,6337,0.034398,0.332784,7,0.003295,0.003295,154,0.024126,13,13,0.024302,154,7,0.009885,14.644509,16,18,154,202,0.034455,12,7,19,0.15748,14,202,14.285714,7,6,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-fullins-3-4.xml.watchless.minion.gz,1,0.331856,263,0.096154,0.134615,7.730769,7.730769,0,263,0.288462,4,52,263,52,52,0.063836,4,201,0.148669,0.288462,4,0.038462,0.038462,263,0.058075,27,26,1.308458,263,4,0.076923,3.019904,27,7,263,15,0.151584,20,4,27,0.116619,5,15,25,4,4,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-fullins-3-5.xml.watchless.minion.gz,1,0.331856,184,0.096154,0.134615,7.730769,7.730769,0,184,0.288462,5,52,184,52,52,0.063836,5,201,0.148669,0.288462,5,0.038462,0.038462,184,0.058075,21,17,0.915423,184,5,0.076923,3.019904,23,7,184,15,0.151584,16,5,23,0.148324,5,15,20,5,4,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-fullins-4-4.xml.watchless.minion.gz,1,0.205428,263,0.04717,0.061321,15.292453,15.292453,0,263,0.259434,4,212,263,212,212,0.021882,4,1621,0.072134,0.259434,4,0.009434,0.009434,263,0.038637,27,26,0.162246,263,4,0.028302,8.191075,27,13,263,55,0.072476,20,4,27,0.116619,10,55,25,4,6,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-fullins-4-5.xml.watchless.minion.gz,1,0.205428,184,0.04717,0.061321,15.292453,15.292453,0,184,0.259434,5,212,184,212,212,0.021882,5,1621,0.072134,0.259434,5,0.009434,0.009434,184,0.038637,21,17,0.11351,184,5,0.028302,8.191075,23,13,184,55,0.072476,16,5,23,0.148324,10,55,20,5,6,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-fullins-4-6.xml.watchless.minion.gz,1,0.205428,169,0.04717,0.061321,15.292453,15.292453,0,169,0.259434,6,212,169,212,212,0.021882,6,1621,0.072134,0.259434,6,0.009434,0.009434,169,0.038637,18,14,0.104257,169,6,0.028302,8.191075,19,13,169,55,0.072476,13,6,20,0.153623,10,55,16.666667,6,6,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-fullins-5-4.xml.watchless.minion.gz,1,0.122158,263,0.021127,0.029343,28.640845,28.640845,0,263,0.252347,4,852,263,852,852,0.007851,4,12201,0.033616,0.252347,4,0.002347,0.002347,263,0.023979,27,26,0.021556,263,4,0.00939,20.42989,27,25,263,215,0.033656,20,4,27,0.116619,18,215,25,4,8,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-fullins-5-5.xml.watchless.minion.gz,1,0.122158,184,0.021127,0.029343,28.640845,28.640845,0,184,0.252347,5,852,184,852,852,0.007851,5,12201,0.033616,0.252347,5,0.002347,0.002347,184,0.023979,21,17,0.015081,184,5,0.00939,20.42989,23,25,184,215,0.033656,16,5,23,0.148324,18,215,20,5,8,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-fullins-5-6.xml.watchless.minion.gz,1,0.122158,169,0.021127,0.029343,28.640845,28.640845,0,169,0.252347,6,852,169,852,852,0.007851,6,12201,0.033616,0.252347,6,0.002347,0.002347,169,0.023979,18,14,0.013851,169,6,0.00939,20.42989,19,25,169,215,0.033656,13,6,20,0.153623,18,215,16.666667,6,8,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-fullins-5-7.xml.watchless.minion.gz,1,0.122158,154,0.021127,0.029343,28.640845,28.640845,0,154,0.252347,7,852,154,852,852,0.007851,7,12201,0.033616,0.252347,7,0.002347,0.002347,154,0.023979,13,13,0.012622,154,7,0.00939,20.42989,16,25,154,215,0.033656,12,7,19,0.15748,18,215,14.285714,7,8,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-insertions-3-3.xml.watchless.minion.gz,1,0.458347,324,0.081081,0.108108,3.891892,3.891892,0,324,0.243243,3,37,324,37,37,0,3,72,0.105186,0.243243,3,0.054054,0.054054,324,0.025743,33,32,4.5,324,3,0.081081,0.952487,35,4,324,9,0.108108,32,3,35,0.037417,3,9,33.333333,3,3,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-insertions-3-4.xml.watchless.minion.gz,1,0.458347,263,0.081081,0.108108,3.891892,3.891892,0,263,0.243243,4,37,263,37,37,0,4,72,0.105186,0.243243,4,0.054054,0.054054,263,0.025743,27,26,3.652778,263,4,0.081081,0.952487,27,4,263,9,0.108108,20,4,27,0.116619,3,9,25,4,3,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-insertions-4-3.xml.watchless.minion.gz,1,0.340533,324,0.033557,0.053691,7.261745,7.261745,0,324,0.248322,3,149,324,149,149,0,3,541,0.048737,0.248322,3,0.013423,0.013423,324,0.021708,33,32,0.598891,324,3,0.026846,3.234454,35,8,324,37,0.049066,32,3,35,0.037417,5,37,33.333333,3,4,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-insertions-4-4.xml.watchless.minion.gz,1,0.340533,263,0.033557,0.053691,7.261745,7.261745,0,263,0.248322,4,149,263,149,149,0,4,541,0.048737,0.248322,4,0.013423,0.013423,263,0.021708,27,26,0.486137,263,4,0.026846,3.234454,27,8,263,37,0.049066,20,4,27,0.116619,5,37,25,4,4,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-insertions-4-5.xml.watchless.minion.gz,1,0.340533,184,0.033557,0.053691,7.261745,7.261745,0,184,0.248322,5,149,184,149,149,0,5,541,0.048737,0.248322,5,0.013423,0.013423,184,0.021708,21,17,0.340111,184,5,0.026846,3.234454,23,8,184,37,0.049066,16,5,23,0.148324,5,37,20,5,4,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-insertions-5-3.xml.watchless.minion.gz,1,0.229052,324,0.015075,0.020101,13.18593,13.18593,0,324,0.249581,3,597,324,597,597,0,3,3936,0.022087,0.249581,3,0.00335,0.00335,324,0.014236,33,32,0.082317,324,3,0.008375,8.498927,35,12,324,149,0.022124,32,3,35,0.037417,9,149,33.333333,3,5,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-insertions-5-4.xml.watchless.minion.gz,1,0.229052,263,0.015075,0.020101,13.18593,13.18593,0,263,0.249581,4,597,263,597,597,0,4,3936,0.022087,0.249581,4,0.00335,0.00335,263,0.014236,27,26,0.066819,263,4,0.008375,8.498927,27,12,263,149,0.022124,20,4,27,0.116619,9,149,25,4,5,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-insertions-5-5.xml.watchless.minion.gz,1,0.229052,184,0.015075,0.020101,13.18593,13.18593,0,184,0.249581,5,597,184,597,597,0,5,3936,0.022087,0.249581,5,0.00335,0.00335,184,0.014236,21,17,0.046748,184,5,0.008375,8.498927,23,12,184,149,0.022124,16,5,23,0.148324,9,149,20,5,5,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
2-insertions-5-6.xml.watchless.minion.gz,1,0.229052,169,0.015075,0.020101,13.18593,13.18593,0,169,0.249581,6,597,169,597,597,0,6,3936,0.022087,0.249581,6,0.00335,0.00335,169,0.014236,18,14,0.042937,169,6,0.008375,8.498927,19,12,169,149,0.022124,13,6,20,0.153623,9,149,16.666667,6,5,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-fullins-3-5.xml.watchless.minion.gz,1,0.3083,184,0.075,0.0875,8.65,8.65,0,184,0.2375,5,80,184,80,80,0.051742,5,346,0.108125,0.2375,5,0.025,0.025,184,0.049847,21,17,0.531792,184,5,0.05,3.987794,23,7,184,19,0.109494,16,5,23,0.148324,6,19,20,5,4,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-fullins-3-6.xml.watchless.minion.gz,1,0.3083,169,0.075,0.0875,8.65,8.65,0,169,0.2375,6,80,169,80,80,0.051742,6,346,0.108125,0.2375,6,0.025,0.025,169,0.049847,18,14,0.488439,169,6,0.05,3.987794,19,7,169,19,0.109494,13,6,20,0.153623,6,19,16.666667,6,4,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-fullins-4-5.xml.watchless.minion.gz,1,0.185323,184,0.02716,0.037037,17.402469,17.402469,0,184,0.207407,5,405,184,405,405,0.01485,5,3524,0.042969,0.207407,5,0.004938,0.004938,184,0.026781,21,17,0.052213,184,5,0.014815,10.846334,23,15,184,84,0.043075,16,5,23,0.148324,11,84,20,5,6,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-fullins-4-6.xml.watchless.minion.gz,1,0.185323,169,0.02716,0.037037,17.402469,17.402469,0,169,0.207407,6,405,169,405,405,0.01485,6,3524,0.042969,0.207407,6,0.004938,0.004938,169,0.026781,18,14,0.047957,169,6,0.014815,10.846334,19,15,169,84,0.043075,13,6,20,0.153623,11,84,16.666667,6,6,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-fullins-4-7.xml.watchless.minion.gz,1,0.185323,154,0.02716,0.037037,17.402469,17.402469,0,154,0.207407,7,405,154,405,405,0.01485,7,3524,0.042969,0.207407,7,0.004938,0.004938,154,0.026781,13,13,0.0437,154,7,0.014815,10.846334,16,15,154,84,0.043075,12,7,19,0.15748,11,84,14.285714,7,6,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-fullins-5-5.xml.watchless.minion.gz,1,0.10708,184,0.010345,0.014286,33.252217,33.252217,0,184,0.201478,5,2030,184,2030,2030,0.004678,5,33751,0.01638,0.201478,5,0.000985,0.000985,184,0.013841,21,17,0.005452,184,5,0.003941,28.096271,23,29,184,409,0.016388,16,5,23,0.148324,21,409,20,5,8,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-fullins-5-6.xml.watchless.minion.gz,1,0.10708,169,0.010345,0.014286,33.252217,33.252217,0,169,0.201478,6,2030,169,2030,2030,0.004678,6,33751,0.01638,0.201478,6,0.000985,0.000985,169,0.013841,18,14,0.005007,169,6,0.003941,28.096271,19,29,169,409,0.016388,13,6,20,0.153623,21,409,16.666667,6,8,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-fullins-5-7.xml.watchless.minion.gz,1,0.10708,154,0.010345,0.014286,33.252217,33.252217,0,154,0.201478,7,2030,154,2030,2030,0.004678,7,33751,0.01638,0.201478,7,0.000985,0.000985,154,0.013841,13,13,0.004563,154,7,0.003941,28.096271,16,29,154,409,0.016388,12,7,19,0.15748,21,409,14.285714,7,8,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-fullins-5-8.xml.watchless.minion.gz,1,0.10708,136,0.010345,0.014286,33.252217,33.252217,0,136,0.201478,8,2030,136,2030,2030,0.004678,8,33751,0.01638,0.201478,8,0.000985,0.000985,136,0.013841,13,9,0.00403,136,8,0.003941,28.096271,20,29,136,409,0.016388,6,8,20,0.401995,21,409,12.5,8,8,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-insertions-3-3.xml.watchless.minion.gz,1,0.453656,324,0.053571,0.071429,3.928571,3.928571,0,324,0.196429,3,56,324,56,56,0,3,110,0.070153,0.196429,3,0.035714,0.035714,324,0.01844,33,32,2.945455,324,3,0.053571,1.032631,35,4,324,11,0.071429,32,3,35,0.037417,3,11,33.333333,3,3,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-insertions-3-4.xml.watchless.minion.gz,1,0.453656,263,0.053571,0.071429,3.928571,3.928571,0,263,0.196429,4,56,263,56,56,0,4,110,0.070153,0.196429,4,0.035714,0.035714,263,0.01844,27,26,2.390909,263,4,0.053571,1.032631,27,4,263,11,0.071429,20,4,27,0.116619,3,11,25,4,3,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-insertions-4-3.xml.watchless.minion.gz,1,0.334833,324,0.017794,0.02847,7.44484,7.44484,0,324,0.199288,3,281,324,281,281,0,3,1046,0.026494,0.199288,3,0.007117,0.007117,324,0.013027,33,32,0.309751,324,3,0.014235,3.660599,35,8,324,56,0.026589,32,3,35,0.037417,5,56,33.333333,3,4,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-insertions-4-4.xml.watchless.minion.gz,1,0.334833,263,0.017794,0.02847,7.44484,7.44484,0,263,0.199288,4,281,263,281,281,0,4,1046,0.026494,0.199288,4,0.007117,0.007117,263,0.013027,27,26,0.251434,263,4,0.014235,3.660599,27,8,263,56,0.026589,20,4,27,0.116619,5,56,25,4,4,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-insertions-4-5.xml.watchless.minion.gz,1,0.334833,184,0.017794,0.02847,7.44484,7.44484,0,184,0.199288,5,281,184,281,281,0,5,1046,0.026494,0.199288,5,0.007117,0.007117,184,0.013027,21,17,0.175908,184,5,0.014235,3.660599,23,8,184,56,0.026589,16,5,23,0.148324,5,56,20,5,4,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-insertions-5-3.xml.watchless.minion.gz,1,0.221368,324,0.006401,0.01138,13.790896,13.790896,0,324,0.199858,3,1406,324,1406,1406,0,3,9695,0.009809,0.199858,3,0.001422,0.001422,324,0.007218,33,32,0.033419,324,3,0.003556,10.148279,35,16,324,281,0.009816,32,3,35,0.037417,9,281,33.333333,3,5,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
3-insertions-5-4.xml.watchless.minion.gz,1,0.221368,263,0.006401,0.01138,13.790896,13.790896,0,263,0.199858,4,1406,263,1406,1406,0,4,9695,0.009809,0.199858,4,0.001422,0.001422,263,0.007218,27,26,0.027127,263,4,0.003556,10.148279,27,16,263,281,0.009816,20,4,27,0.116619,9,281,25,4,5,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0
