@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC

@DATA
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.0124,0.0842,0.9519,0,0.8333,0.7188,0,56.8601,0.0025,0.7968,43.5979,0,0,0.8802,?,1.8071
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0,0.0001,0.6117,0.2295,0,0.5831,0.2295,32.4793,0.0114,0.5832,1.0772,0.2295,0.2295,0.5832,0.3252,0.4472
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0,0.1476,0.9332,0.2259,0,0.9636,0.0085,0,0.0004,0.9849,38.4923,0.0119,0.0038,0.9935,?,0.8469
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0408,0.0001,0.7577,0.0046,1,0.5027,0.0046,29.2469,0.0163,0.5027,6.8948,0.0046,0.0046,0.5028,?,0.592
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-30-19-20.sat05-1256.reshuffled-07.cnf,1,0.0003,0.0429,0.4985,0.1905,0,0.8653,0.0655,50.8289,0.0064,0.8877,38.0219,0.0982,0.0218,0.9277,?,1.4555
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-1.sat05-2158.reshuffled-07.cnf,1,0,0,0.5024,0.042,0.3333,0,0.042,26.1346,0.0143,0,1.2135,0.042,0.042,0,0.0489,0
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,0,0,0.2922,0.3833,0,0,0.3831,21.3289,0.025,0,1.0493,0.3832,0.3831,0,0,0
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g2.cnf,1,0.0177,0.0218,0.9256,0,0.8333,0.7684,0,45.3485,0.0064,0.7789,24.1578,0,0,0.802,?,1.3923
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.1157,1.3487,0.3628,0.1012,0,0,0.0665,28.2247,0.0074,0.0061,0.4409,0.0697,0.0548,0.1343,0.4223,0.1406
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00080.sat05-1325.reshuffled-07.cnf,1,0.1312,0.4894,0.0446,0.4996,0,0.1544,0.4293,10.1159,0.2934,0.2856,8.0375,0.4675,0.361,0.7167,?,0.2485
SAT_Competition2009/CRAFTED/edgematching/explicit/em_7_3_6_exp.cnf,1,0,0.3375,0.8469,0.0809,0,0.2758,0.0269,15.0009,0.005,0.7421,4.8371,0.0413,0.0033,0.9624,0.7721,0.577
SAT_Competition2011/SAT07/crafted/spence/hard/s113-100.cnf,1,0,1.6635,0.5,0.3245,1,0.0011,0.3217,16.0966,0.0508,0.0033,0.822,0.3225,0.314,0.0685,0.086,0
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0,0,0.3233,0.3797,0,0,0.3662,19.0963,0.069,0,1.452,0.373,0.3222,0,0.0467,0.0782
SAT_Competition2007/crafted/Medium/contest05/others/QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf,1,0.4619,0.1143,0.4329,0.9774,0,0.7446,0.0345,32.3552,0.0278,0.8135,6.2979,0.0398,0.0262,0.9234,0.8192,0.4589
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf,1,0,0,0.2946,0.3832,0,0,0.3831,22.0862,0.0286,0,1.1033,0.3832,0.3831,0,0,0
SAT_Competition2009/CRAFTED/Hard/contest04/others/ramsey.sat05-511.reshuffled-07.cnf,1,0,0,0.1047,0.0005,0,0,0.0005,30.6719,0.0392,0,1.8778,0.0005,0.0005,0,?,0
SAT_Competition2011/SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf,1,0.0032,0,0.3339,0.3804,0,0,0.3644,26.6047,0.0253,0,1.0809,0.3717,0.3186,0,0.0681,0.0858
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.0182,0.0152,0.6424,0.2198,0,0.8041,0.1925,29.0587,0.0333,0.806,2.9631,0.2006,0.185,0.8242,0.3794,0.9539
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-17x30.cnf,1,0.0086,0.1556,0.7516,0,1,0.3048,0,28.7399,0.0039,0.3164,19.4733,0,0,0.376,?,0.5804
SAT_Competition2007/crafted/Medium/contest05/sabharwal/sat-strips-gripper-10t19.sat05-1143.reshuffled-07.cnf,1,0.1902,0.2081,0.616,0.2756,0,0.621,0.0006,17.2676,0.0031,0.9064,6.7556,0.0126,0.0001,0.9942,0.9156,0.4033
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hidden-k3-s0-r5-n700-01-S2069048075.sat05-488.reshuffled-07.cnf,1,0.002,0.5903,0.4961,0.2992,0,0.0856,0.0342,28.6595,0.0094,0.2001,0.9808,0.0612,0.0189,0.559,0.227,0.042
SAT_Competition2009/CRAFTED/edgematching/explicit/em_11_3_4_exp.cnf,1,0,0.26,0.9005,0.0601,0,0.9376,0.01,20.6051,0.0009,0.9648,12.9135,0.0242,0.006,0.9862,?,0.7667
SAT_Competition2007/crafted/Medium/contest05/pebbling/sat-pbl-00400.sat05-1322.reshuffled-07.cnf,1,0.0172,0.4802,0.0522,0.4994,0,0.1395,0.4376,8.5822,0.1098,0.3635,5.9822,0.4715,0.3746,0.7497,?,0.24
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes7.cnf,1,0.0126,0.0869,0.9523,0,0.8,0.7182,0,54.2945,0.0026,0.7894,41.9114,0,0,0.8815,?,1.8075
SAT_Competition2007/crafted/Medium/contest05/others/QG-gensys-brn008.sat05-2685.reshuffled-07.cnf,1,0.2415,0.2349,0.1118,1,0,0.5377,0.4996,11.6017,0.6456,0.6647,0.8645,0.4999,0.4947,0.7998,?,0.4317
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG8-gensys-ukn005.sat05-3584.reshuffled-07.cnf,1,0.1316,0.2088,0.1554,0.5,0,0.6667,0.4948,31.5315,0.0451,0.8,5.6508,0.5,0,0.9951,?,0.3599
SAT_Competition2011/SAT04/handmade/hirsch03/hgen8-n320-01-S1432474240.shuffled-as.sat03-890.used-as.sat04-841.cnf,1,0.1711,0.1806,0.5831,0.4643,0,0.4484,0.2757,32.1482,0.0217,0.5314,0.9831,0.3303,0.2654,0.627,0.3882,0.5727
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes5.cnf,1,0.0177,0.0197,0.9252,0,0.8182,0.7698,0,46.4618,0.0063,0.7788,24.6901,0,0,0.8021,?,1.3906
SAT_Competition2009/CRAFTED/Hard/contest02/hgen2-v500-s1216665065.sat05-467.reshuffled-07.cnf,1,0,0.9563,0.5023,0.0975,0.3333,0.0099,0.0784,35.5037,0.0069,0.0228,0.7624,0.0846,0.0692,0.1543,0.0444,0
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.2145,1.3536,0.2945,0.3907,0,0.0047,0.3853,9.5839,0.0201,0.0153,0.3306,0.3887,0.3418,0.1855,0.1608,0.1226
SAT_Competition2009/CRAFTED/rbsat/random/forced/rbsat-v760c43649gyes1.cnf,1,0.0228,0.0247,0.9284,0,0.6,0.7709,0,46.3279,0.0068,0.7818,24.1377,0,0,0.808,?,1.3765
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-16-10-11.sat05-1253.reshuffled-07.cnf,1,0.0018,0.0312,0.4642,0.1935,0,0.8153,0.0828,35.2666,0.0209,0.8208,12.8518,0.1601,0.0193,0.8369,?,1.001
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-230-3.shuffled-as.sat05-2505.cnf,1,0,1.5117,0.2633,0.1901,0,0.0004,0.1042,8.3323,0.0257,0.0032,1.5698,0.119,0.0923,0.0347,0.1589,0.1374
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0.093,0,0.7674,0.343,1,0.619,0.3429,35.2217,0.0353,0.619,3.8687,0.3429,0.3429,0.6191,0.6898,0.6106
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s34713902-sat.cnf,1,0,0.0001,0.6713,0.2295,0,0.5831,0.2295,29.6164,0.0139,0.5832,1.1291,0.2295,0.2295,0.5832,0.3252,0.4472
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-14x8.cnf,1,0.0426,0.0001,0.758,0.006,1,0.5077,0.006,30.7394,0.0175,0.5077,6.6725,0.006,0.006,0.5077,?,0.5926
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.0055,0.0045,0.6632,0.1712,0,0.88,0.1608,59.106,0.0105,0.8846,4.5895,0.1608,0.1562,0.8888,0.3027,1.4088
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes10.cnf,1,0.0108,0.1795,0.9561,0.0023,0.8667,0.6798,0,59.6358,0.0021,0.8486,54.2698,0,0,0.9364,?,1.9062
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v1820c171155gyes6.cnf,1,0.0107,0.0422,0.9477,0,0.8889,0.7796,0,63.6571,0.0027,0.805,38.6442,0,0,0.8548,?,1.7405
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl004.sat05-2716.reshuffled-07.cnf,1,0.2099,0.2301,0.1132,1,0,0.5529,0.4995,13.2415,0.6068,0.6651,0.7673,0.4999,0.4923,0.7998,?,0.4169
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.1402,0.1909,0.1143,0.9999,0,0.6315,0.496,14.3094,0.0204,0.6663,0.6705,0.4991,0.4735,0.8261,?,0.38
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x39.cnf,1,0.0052,0.3374,0.751,0.5,1,0.3476,0.2689,28.9153,0.0024,0.5804,32.2208,0.3496,0.1988,0.8119,?,0.5792
SAT_Competition2007/crafted/spence/hard/s97-100.cnf,1,0,1.4321,0.5,0.3232,1,0.0009,0.3199,15.4512,0.0441,0.0036,0.9032,0.3214,0.3132,0.0616,0.0846,0
SAT_Competition2009/CRAFTED/Hard/contest04/connamacher/connm-ue-csp-sat-n1200-d-0.02-s383740539.sat05-534.reshuffled-07.cnf,1,0.0219,0.1,0.4453,0.0176,0.1429,0.5454,0.0012,26.1271,0.0092,0.5813,3.0742,0.0089,0.0006,0.67,0.3055,0.2489
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.1159,0.7198,0.4416,0.0651,0,0.0069,0.0454,19.2391,0.0435,0.0296,1.139,0.0455,0.012,0.3509,0.3858,0.2145
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0,1.4477,0.2495,0.2242,0,0.0002,0.1044,17.3457,0.0331,0.0018,1.5751,0.1201,0.0894,0.0479,0.1809,0.1543
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1820c171155gyes3.cnf,1,0.0141,0.0409,0.9494,0,0.8333,0.7825,0,51,0.0029,0.8085,38.2766,0,0,0.8559,?,1.7337
SAT_Competition2009/CRAFTED/sgi/new-difficult-28-302-26-75.cnf,1,0.0153,0.018,0.9769,0.0004,0.9048,0.8817,0,49.5974,0.0054,0.8939,30.3323,0,0,0.9129,?,1.9073
SAT_Competition2009/CRAFTED/edgematching/compact/em_8_4_5_cmp.cnf,1,0,0.3639,0.644,0.3407,0,0.2416,0.0215,15.0823,0.0078,0.6211,1.5101,0.1709,0.0122,0.9638,1.5363,0.6702
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v2640c305320g2.cnf,1,0.0108,0.1789,0.9559,0.0047,0.8,0.6782,0,60.949,0.0022,0.8514,47.7567,0,0,0.9362,?,1.9067
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-12-12-unsat.cnf,1,0,0.0001,0.8462,0.0416,1,0.7086,0.0415,46.2762,0.0246,0.7087,2.7285,0.0415,0.0414,0.7088,0.3348,1.0197
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-127-100.cnf,1,0,1.5741,0.5,0.3252,1,0.0014,0.3225,17.4313,0.0336,0.004,0.7952,0.3237,0.3157,0.0526,0.0747,0
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-13_160.cnf,1,0,0.1774,0.1352,0.0009,1,0.531,0,30.8131,0.0368,0.5437,9.8656,0.0001,0,0.6339,?,0.7857
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,0,0,0.2922,0.3833,0,0,0.3831,21.3289,0.025,0,1.0537,0.3832,0.3831,0,0,0
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00090.sat05-1326.reshuffled-07.cnf,1,0.0903,0.4412,0.0744,0.4979,0,0.2114,0.4335,10.3527,0.2644,0.3487,5.3458,0.4741,0.372,0.7594,?,0.2214
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0.037,0.0001,0.9834,0.0221,1,0.9294,0.0216,0,0.0036,0.9294,14.5318,0.0218,0.0215,0.9296,?,2.4435
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0,0.325,0.8706,0.0826,0,0.2221,0.0142,19.8297,0.0021,0.9412,8.4804,0.0256,0.0031,0.9797,?,0.6771
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v945c61409gyes8.cnf,1,0.0156,0.0167,0.9326,0,0.8462,0.7871,0,46.9743,0.0049,0.7961,27.4461,0,0,0.8153,?,1.4701
SAT_Competition2007/crafted/spence/medium/s69-100.cnf,1,0,1.2847,0.5,0.3195,1,0.0007,0.3132,11.5139,0.0608,0.0036,1.0508,0.3177,0.3095,0.0697,0.0973,0
SAT_Competition2007/crafted/Hard/contest05/QG/QG7-dead-dnd001.sat05-3419.reshuffled-07.cnf,1,0.623,0.2017,0.4253,0.9994,0,0.599,0.4841,31.5492,0.0366,0.7197,3.8525,0.4983,0.0078,0.8436,0.8773,0.7021
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.0161,0.0187,0.944,0,0.8,0.8115,0,43.9733,0.0041,0.8217,33.5871,0,0,0.8429,?,1.6249
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g8.cnf,1,0.0241,0.0242,0.9309,0,0.6,0.7755,0,42.7593,0.0068,0.787,24.3055,0,0,0.814,?,1.3778
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0,0.3358,0.8459,0.0797,0,0.2618,0.0168,16.682,0.0034,0.9322,6.4903,0.0289,0.004,0.9734,0.733,0.627
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x40.cnf,1,0.0051,0.3413,0.751,0.5,1,0.3387,0.2671,29.4734,0.0024,0.5804,34.0197,0.3482,0.1964,0.8139,?,0.5792
SAT_Competition2009/CRAFTED/Hard/contest04/others/CompositeRSA576.sat05-509.reshuffled-07.cnf,1,0.0124,1.7068,0.2793,0.5,0,0,0.5,0,0.0035,0,20.3712,0.5,0.3798,0.1429,?,0.2273
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-5x41.cnf,1,0.0245,0.0003,0.7546,0.0001,1,0.4463,0.0001,23.8678,0.0096,0.4464,7.9812,0.0001,0.0001,0.4465,?,0.5862
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g4.cnf,1,0.024,0.0257,0.9304,0.0001,0.7143,0.7736,0,61.9951,0.006,0.7846,24.2979,0,0,0.8121,?,1.3773
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0,0.4998,0,0,0.5267,0,37.5582,0.0035,0.5267,11.0297,0,0,0.5268,0.0703,0.3031
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-19_348.cnf,1,0,0.1147,0.0913,0,1,0.6164,0,34.2231,0.0339,0.6319,20.085,0,0,0.7086,?,1.033
SAT_Competition2009/CRAFTED/parity-games/instance_n6_i6_pp_ci_ce.cnf,1,0.101,0.586,0.7836,0.3602,0,0.0791,0.0352,16.687,0.0139,0.1756,1.7855,0.0693,0.008,0.8266,?,0.3197
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hgen7-n390-02-S178568232.sat05-479.reshuffled-07.cnf,1,0,0,0.5,0.0404,0.3333,0,0.0369,29.6801,0.0093,0,0.9799,0.0384,0.0223,0,0.0725,0
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0,0.2756,0.8734,0.0826,0,0.4601,0.0003,26.7436,0.0031,0.9343,8.4074,0.0249,0.0001,0.9771,?,0.599
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_18_80_10-dir.shuffled-as.sat03-140.cnf,1,0.0135,0.0216,0.7307,0.0001,0,0.8559,0,57.4828,0.0083,0.8635,35.3847,0,0,0.8958,?,1.7708
SAT_Competition2009/CRAFTED/sgi/satsgi-n25himBHm27-p0-q251.cnf,1,0.0416,0.0001,0.9815,0.0413,1,0.9323,0.0406,0,0.0045,0.9323,13.0061,0.0408,0.0404,0.9325,?,2.3032
SAT_Competition2009/CRAFTED/sgi/satsgi-n22himBHm25-p0-q229.cnf,1,0.0464,0,0.9805,0.0624,1,0.9331,0.0623,0,0.0055,0.9332,11.8019,0.0623,0.0623,0.9332,0.3401,2.1956
SAT_Competition2011/SAT09/CRAFTED/modcircuits/mod4block_3vars_7gates.cnf,1,1.2242,1.2961,0.4588,1,0,0.0001,0.1594,15.9327,0.0807,0.0003,14.3579,0.4602,0.0028,0.7681,?,0.3084
SAT_Competition2007/crafted/Hard/contest03/others/color-11-3.sat05-445.reshuffled-07.cnf,1,0.0395,0.3394,0.2022,0.0001,0,0.037,0,27.8536,0.0219,0.0453,3.1751,0,0,0.075,?,0.1939
SAT_Competition2011/SAT11/crafted/manthey/sudoku-single-hard/sudoku_81x81_unknown.cnf,1,0,0.0916,0.9647,0.0042,1,0.7566,0.0031,7.9048,0.0003,0.8182,8.6845,0.0034,0.0027,0.8931,0.1872,0.5154
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s33098896-unsat.cnf,1,0,1.8056,0.5376,0.3262,0.3333,0.0009,0.3238,22.4748,0.0242,0.0027,0.6672,0.3253,0.3217,0.0171,0.064,0
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0,0,0.5068,0.042,0.3333,0,0.042,26.7559,0.0136,0,1.2251,0.042,0.042,0,0.0619,0
SAT_Competition2009/CRAFTED/edgematching/all/em_12_2_4_all.cnf,1,0.0001,0.232,0.92,0.0663,0,0.9589,0.0003,41.1852,0.0007,0.9886,18.3392,0.0013,0.0002,0.99,?,0.7754
SAT_Competition2009/CRAFTED/sgen/sat/sgen1-sat-230-100.cnf,1,0,0.0001,0.8333,0.2296,1,0.5831,0.2295,34.609,0.0109,0.5831,1.0681,0.2295,0.2295,0.5832,0.3252,0.4472
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-6x34.cnf,1,0.0238,0.0002,0.7545,0.0001,1,0.4431,0.0001,23.9542,0.0097,0.4431,8.8152,0.0001,0.0001,0.4432,?,0.5859
SAT_Competition2009/CRAFTED/edgematching/compact/em_7_3_6_cmp.cnf,1,0,0.4244,0.698,0.3397,0,0.1091,0.0218,15.0561,0.0099,0.6406,1.5696,0.1492,0.0119,0.95,1.3015,0.5989
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,0.1283,0.1873,0.1602,0.9999,0,0.6228,0.4958,15.0051,0.0204,0.6662,0.7627,0.499,0.4719,0.826,?,0.3857
SAT_Competition2007/crafted/Hard/contest05/counting-php/harder-fphp-035-034.sat05-1235.reshuffled-07.cnf,1,0.0307,0.0002,0.7479,0.01,0,0.9297,0.0099,78.655,0.0026,0.9298,17.0014,0.0099,0.0098,0.9301,?,1.8863
SAT_Competition2011/SAT09/CRAFTED/ramseycube/Q3inK10.cnf,1,0,0,0.5,0.4988,1,0,0.4988,0,0.2667,0,7.1352,0.4988,0.4988,0,?,0
SAT_Competition2009/CRAFTED/ramseycube/Q3inK09.cnf,1,0,0,0.5,0.4997,1,0,0.4997,0,0.3333,0,2.2279,0.4997,0.4997,0,?,0
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,0.1389,0.1899,0.157,0.9999,0,0.617,0.496,14.2297,0.0129,0.6662,0.6975,0.499,0.4733,0.8263,?,0.3826
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-12.sat05-2587.reshuffled-07.cnf,1,0,0,0.3017,0.3813,0,0,0.3741,16.7215,0.069,0,1.4676,0.3791,0.3677,0,0.038,0.0645
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-4x35.cnf,1,0.0381,0.0001,0.7571,0.003,1,0.4948,0.003,0,0.014,0.4948,7.6112,0.003,0.003,0.4948,?,0.591
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s55656844-unsat.cnf,1,0,1.5509,0.5238,0.3248,0.3333,0.0014,0.3223,19.1468,0.0357,0.0045,0.7955,0.3231,0.3157,0.0581,0.0768,0
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.0173,0.0001,0.7532,0,1,0.408,0,23.8227,0.0073,0.408,12.2036,0,0,0.4081,?,0.5836
SAT_Competition2009/CRAFTED/parity-games/instance_n7_i8_pp.cnf,1,0.0829,0.5387,0.7991,0.3654,0,0.0701,0.0296,15.5466,0.0105,0.3317,2.1626,0.0684,0.0057,0.8446,?,0.3306
SAT_Competition2007/crafted/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0.0267,0.2671,0.6494,0.5,0,0.4958,0.0576,0,0.0013,0.7927,21.6649,0.1626,0.007,0.9864,?,0.8254
