@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC

@DATA
0,0.0007,0,1.8349,?,0.0355,0,0.1934,0.3803
0.0001,0.0021,0.0002,1.8747,0.1715,0.0331,0.2323,0.2469,0.6516
0.0001,0.0036,0.0001,2.2761,?,0.1092,0.4881,0.0619,0.192
0,0.0187,0,4.2384,?,0.0854,0,0.4809,0.5705
0.0001,0.0005,0.0001,2.0559,?,0.0017,0.2065,0.548,0.8282
0.0002,0.0464,0.0001,2.2248,?,0.0474,0.2003,0.1363,0.5363
0,0.0054,0,2.1163,?,0.0503,0,0.02,0.0912
0,0.0007,0,2.984,?,0.0323,1.2976,0.0249,0.0996
0.0025,0.0187,0.0007,2.4978,0.5038,0.0679,0.3438,0.3346,0.6387
?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?
0,0.0004,0,2.1565,?,0.0974,0.6572,0.5944,0.6843
0.0007,0.0149,0.0006,2.6461,0.2117,0.0535,0.2537,0.1209,0.5613
0.0001,0.0005,0,2.1218,0.3574,0.1929,0.1962,0.0194,0.0419
0,0.0112,0,4.1987,?,0.0727,0,0.2236,0.4664
0,0.0004,0,2.1938,?,0.0971,0.6591,0.5785,0.7058
0,0.0002,0,2.8025,?,0.3707,0,0.0805,0.2577
0.0003,0.015,0.0008,1.6707,?,0.0097,0.2096,0.2979,0.6236
0.0001,0.0025,0.0001,2.5389,?,0.0546,1.529,0.071,0.2
0.0001,0.0032,0,1.9207,?,0.0855,1.4312,0.0767,0.2489
0,0.0113,0,5.0522,?,0.0567,0,0.2543,0.3529
0.0001,0.0029,0.0001,2.4782,?,0.0548,0.2848,0.0855,0.7711
0,0.0056,0,2.267,0.2646,0.0552,1.094,0.0168,0.1562
0,0.0001,0,1.8461,?,0.2415,0,0.08,0.1306
0.0017,0.0306,0.0015,1.8436,0.2904,0.043,0.2609,0.2084,0.9519
0.0001,0.0074,0.0001,2.603,?,0.0698,3.0097,0.3294,0.4339
0,0.0007,0,1.436,?,0.1694,0,0.331,0.532
0,0.0002,0,1.8171,?,0.0011,0.3811,0.4269,0.6835
0.0005,0.0674,0.0005,2.761,?,0.081,0.3543,0.3895,0.69
0.0015,0.002,0.002,0.5792,?,0,0.1334,0.7231,0.9219
0.0003,0.0064,0.0002,2.4074,0.1018,0.0984,0.2327,0.1002,0.4416
0.0001,0.0002,0,2.4032,0.1626,0.0158,0.847,0.1957,0.7053
0.0001,0.0011,0.0001,2.3717,0.1608,0.0775,1.3864,0.5798,0.706
0,0.0026,0,2.6864,?,0.0879,0,0.1592,0.2719
0.0001,0.0003,0,2.7185,0.2269,0.0678,1.2891,0.3604,0.6058
0.0004,0.0081,0.0003,2.0225,0.1538,0.0622,0.2801,0.2224,0.9094
0.0005,0.0034,0.0003,1.4332,0.1533,0.0246,0.206,0.1266,0.5681
0.0001,0.004,0.0001,2.4085,0.1514,0.0508,0.3459,0.051,0.1933
0,0.0001,0,1.7247,?,0.001,0.8026,0.4787,0.7263
0,0.0001,0,2.7642,0.1047,0.0188,0,0.1299,0.3648
0.0001,0.0021,0.0001,1.9082,0.1235,0.037,0.187,0.0741,0.6665
0.0001,0.0249,0.0001,2.4957,?,0.1685,0.3393,0.0667,0.4055
0.0001,0.0019,0.0001,1.8764,0.1729,0.033,0.2267,0.2545,0.6783
0.0011,0.0048,0.0008,1.9923,0.1834,0.0486,0.3464,0.4576,0.9933
0.0012,0.0109,0.0009,2.2852,0.1802,0.0309,0.2612,0.1904,0.567
0.0004,0.0072,0.0003,1.3071,0.1488,0.0347,0.3078,0.1007,0.5105
0.0002,0.002,0.0001,4.5933,?,0.0123,0.7217,0.2554,0.3324
0.0003,0.006,0.0002,2.3827,0.0992,0.0997,0.2379,0.0964,0.4252
0.0002,0.0053,0.0001,2.3559,?,0.1022,0.2244,0.0861,0.3379
0.0136,0.0438,0.0114,3.077,0.1682,0.0399,0.2974,0.4226,0.9506
0.005,0.019,0.0042,2.9305,0.1263,0.0284,0.4873,0.6376,0.875
0,0.0009,0,3.1963,?,0.1647,0.4758,0.3335,0.7
0,0.0007,0,3.087,?,0.0865,0.965,0.3888,0.7199
0.0027,0.0091,0.0019,1.9276,0.3155,0.0682,0.351,0.2167,0.5187
0,0.0009,0,3.2084,?,0.1654,0.4943,0.3773,0.7457
0.0001,0.0012,0,2.2597,?,0.0552,1.2943,0.0706,0.2035
0.0002,0.0174,0.0008,1.6176,?,0.1092,0,0.2449,0.513
0.0004,0.017,0.0004,2.5499,0.1396,0.1264,0.2373,0.1285,0.5344
0,0.0007,0,2.8477,0.2051,0.0321,0.1243,0.0562,0.6272
?,?,?,?,?,?,?,?,?
0.0001,0.0028,0.0001,2.537,?,0.0504,0.2438,0.0666,0.8105
?,?,?,?,?,?,?,?,?
0,0.0018,0,1.9755,?,0.064,0,0.1901,0.5939
0.0025,0.0119,0.001,2.0727,0.2971,0.0774,0.3625,0.239,0.5918
0.0009,0.0034,0.0006,1.8453,0.2051,0.0426,0.2539,0.5408,0.9726
0.0001,0.0011,0,2.2975,0.1381,0.0397,0.5693,0.0284,0.1122
0.0033,0.0114,0.0024,1.9881,0.317,0.068,0.3585,0.2396,0.581
0.0001,0.0045,0.0001,1.9891,?,0.0807,1.0714,0.0987,0.4789
0,0.0076,0,2.3933,?,0.0759,0.7819,0.0198,0.0543
0.0026,0.0189,0.0035,4.0078,?,0.0054,0.3441,0.5018,0.7899
?,?,?,?,0,?,?,?,?
0.0017,0.0023,0.0023,0.6027,?,0,0.1156,0.7867,0.932
0,0.0008,0,3.1002,?,0.0865,0.7424,0.4573,0.8342
0.0001,0.0003,0.0001,2.0382,0.3003,0.0313,0.6362,0.0311,0.0952
0.0007,0.003,0.0005,1.9148,0.1853,0.0443,0.2354,0.3992,0.9778
0,0.0008,0,1.2974,?,0.1561,0,0.3985,0.5561
0.002,0.0026,0.0025,0.6298,?,0,0.1143,0.8079,0.9231
0.0002,0.0056,0.0001,2.3667,0.0968,0.101,0.2637,0.0927,0.3355
0.0001,0.0067,0.0001,2.6686,?,0.0689,0.1472,0.3605,0.5122
0.001,0.0081,0.0015,3.6364,?,0.0098,1.1221,0.656,0.8349
0.0008,0.0064,0.0011,3.8026,?,0.1164,0,0.6444,0.7863
0,0.0034,0,3.3303,?,0.0418,0,0.0596,0.1589
0.0001,0.0032,0,2.2531,?,0.1109,0.8714,0.0576,0.1619
0.0001,0.0005,0.0001,2.3058,0.2547,0.0308,0.2719,0.0345,0.1053
0,0.001,0,2.8216,?,0.0446,1.0052,0.0871,0.231
0,0.0001,0,2.7578,0.1064,0.0186,0,0.1472,0.417
0.0001,0.0014,0,1.8681,?,0.0657,1.7815,0.239,0.4901
0,0.0044,0,5.065,?,0.0967,0,0.1287,0.2326
0.0002,0.0047,0.0001,2.3327,?,0.1044,2.2802,0.0787,0.409
0.0003,0.0127,0.0009,1.9837,?,0.0108,0.8463,0.2444,0.6518
0,0.0001,0,2.6095,0.1157,0.0198,0.768,0.1596,0.6704
0.0004,0.0017,0.0003,1.893,0.1889,0.0424,0.2737,0.4046,0.98
0.0004,0.0107,0.0008,1.8687,?,0.0137,0.2674,0.2886,0.6488
0.0005,0.0233,0.0004,1.7502,?,0.1531,0.2511,0.168,0.6818
0.0017,0.0079,0.0007,2.0499,0.2936,0.0779,0.3155,0.201,0.4727
0,0.0014,0,1.3635,?,0.155,1.0279,0.3862,0.5621
0.0001,0.0011,0,2.3594,?,0.0436,0.5618,0.2498,0.5731
0,0.0144,0,1.7932,?,0.0902,0,0.1629,0.5136
0.0001,0.0005,0.0001,2.3065,0.2546,0.0308,0.2124,0.0353,0.1079
0,0.0006,0,1.791,?,0.0354,0,0.2313,0.3376
0.0013,0.0059,0.0005,2.0269,0.2919,0.0782,0.2888,0.1801,0.4759
0,0.0001,0,2.2754,0.1556,0.0161,0,0.1836,0.6394
0.0001,0.0008,0,1.619,0.1624,0.0203,0.5814,0.3018,0.8621
0.0002,0.002,0.0002,1.8785,0.1723,0.0331,0.211,0.2924,0.7123
0.0001,0.0014,0,2.8098,0.2112,0.0349,1.3326,0.0602,0.138
0.0013,0.0097,0.0018,3.781,?,0.0092,0.9129,0.6283,0.8237
0,0.0002,0,2.5958,0.1227,0.0194,1.574,0.2381,0.6683
0.0001,0.0017,0.0001,2.9204,?,0.0538,0.3846,0.3784,0.7565
0.0001,0.0033,0,1.9249,?,0.085,1.3924,0.0656,0.2549
0.0091,0.019,0.0054,2.0872,0.1245,0.2328,0.1459,0.761,0.9521
0,0.0096,0,4.1841,?,0.0784,0,0.1256,0.389
0,0.0005,0,1.7092,?,0.0355,0,0.1649,0.2925
0.0002,0.0018,0.0001,4.574,?,0.0159,2.2063,0.3081,0.3901
0,0.0001,0,2.6311,0.1156,0.0199,0,0.1713,0.5523
0.0001,0.0014,0,2.2615,?,0.0552,1.9339,0.0793,0.1881
0,0.0185,0,2.0604,?,0.0976,0,0.044,0.2033
0,0.0101,0,4.2104,?,0.0659,0,0.22,0.349
0.0077,0.014,0.0049,2.1507,0.135,0.1896,0.0787,0.7743,0.8655
0,0.0028,0,0.9542,?,0.0197,0,0.3798,0.9706
0.0003,0.0028,0,0.8827,?,0.4528,0.7853,0.0156,0.0382
0,0.0094,0,2.5546,?,0.0482,0.8611,0.1621,0.5221
0,0.0032,0,3.2977,?,0.0422,0,0.2103,0.2103
0,0.0074,0,2.2536,?,0.0506,0,0.0299,0.106
0,0.0001,0,2.7349,0.1042,0.0165,0,0.1765,0.557
0.0005,0.0168,0.0011,1.7559,?,0.0247,0.3788,0.2847,0.7317
0.0002,0.0163,0.0007,1.5735,?,0.1154,0,0.2526,0.649
0,0.0065,0,5.1309,?,0.0465,0,0.0133,0.0133
0,0.0001,0,1.6965,?,0.001,1.4142,0.4275,0.6698
0,0.014,0,1.7338,?,0.1138,0,0.4035,0.7485
0.0001,0.0027,0,2.1971,0.2881,0.0434,1.0738,0.0435,0.1629
0,0.0002,0,2.4536,0.1555,0.0155,1.1905,0.1634,0.6979
0.0001,0.0018,0.0001,1.8787,0.1729,0.033,0.5743,0.2428,0.6929
0.0013,0.0092,0.0004,2.4556,0.4949,0.0684,0.2825,0.2705,0.4475
0,0.0001,0,2.5859,0.1401,0.0138,0.8837,0.1567,0.696
0.0001,0.0033,0,2.2601,?,0.1104,1.6624,0.061,0.2276
0.0001,0.0048,0.0001,2.2388,?,0.0751,0.9308,0.069,0.198
0,0.0003,0,1.9021,?,0.0015,0.9844,0.5069,0.8332
0,0.0006,0,3.0505,?,0.0349,1.1085,0.0383,0.0906
0,0.0004,0,2.6173,?,0.2008,0,0.1779,0.2479
0.0023,0.0166,0.0031,4.1667,?,0.0054,0.7024,0.5136,0.7715
0.0128,0.0453,0.0124,1.6935,0.0961,0.3963,0.1161,0.9736,0.9982
0.0087,0.038,0.0064,2.4488,0.1935,0.0422,0.2693,0.4398,0.9639
0.0001,0.0039,0.0001,1.9687,?,0.0825,1.7702,0.0825,0.2546
0,0.0015,0,1.102,?,0.0102,0.3282,0.575,0.879
0.0001,0.0041,0.0001,1.9748,?,0.0819,1.4044,0.0984,0.3387
0,0.0013,0,2.1097,?,0.0724,1.0719,0.0185,0.0444
0.0005,0.0129,0.0009,1.6735,?,0.0187,0.5013,0.3217,0.7419
0.0001,0.0048,0.0001,1.4618,0.1309,0.0343,1.941,0.0555,0.1311
0,0.0001,0,3.0606,0.098,0.0121,0.6908,0.1574,0.5902
0.0001,0.0197,0.0001,2.4085,?,0.1651,2.8384,0.0585,0.2507
0.0001,0.0041,0.0001,2.2973,?,0.1069,2.779,0.0649,0.2824
0.0004,0.0121,0.0009,2.0064,?,0.0149,0.4242,0.2576,0.7377
0.0001,0.0041,0,1.4763,?,0.0255,1.5473,0.2598,0.8342
0,0.0005,0,1.3025,?,0.1552,1.3759,0.3213,0.5423
0,0.0001,0,2.67,0.1138,0.0196,0,0.2165,0.6185
0.0003,0.0041,0.0002,2.7981,?,0.0625,1.4071,0.0736,0.7006
0.0001,0.0234,0.0001,2.4139,?,0.1636,0.2549,0.0706,0.4623
0,0.0033,0,2.4748,?,0.0399,1.2231,0.0269,0.1015
0.0005,0.0025,0.0004,2.6886,0.2662,0.063,0.3216,0.1699,0.4767
0,0.0004,0,1.686,?,0.0354,0,0.1944,0.3084
0.0122,0.0457,0.0082,2.2939,0.2022,0.0444,0.2797,0.4705,0.9373
0,0.0002,0,2.6295,?,0.1614,0.0072,0.1692,0.3522
0.0001,0.0077,0.0001,2.5451,?,0.0703,2.1146,0.3021,0.4067
0,0.0003,0,3.2232,?,0.0401,0.1143,0.0629,0.1622
0,0.0001,0,2.7188,0.1051,0.0186,0,0.1315,0.6611
0.0001,0.0008,0,1.626,0.1629,0.0207,1.3742,0.2857,0.7466
0,0.0064,0,2.1867,?,0.0406,1.0144,0.0331,0.1365
0.0021,0.006,0.0013,2.008,0.2698,0.0492,0.2799,0.2542,0.9888
0.0001,0.0019,0.0001,1.8776,0.1726,0.0329,0.5294,0.2093,0.6568
0.0024,0.0031,0.0031,0.6689,?,0,0.1217,0.791,0.9317
0,0.0011,0,1.1483,?,0.018,1.1328,0.5575,0.9402
0.0023,0.0166,0.0031,4.1937,?,0.0055,0.3211,0.5246,0.7484
0.0001,0.0101,0.0002,3.3338,?,0.0288,0.6111,0.3437,0.7304
0,0.0043,0,5.059,?,0.0968,0,0.2409,0.4296
0,0.0078,0,4.9541,?,0.0511,0,0.2608,0.5205
0.0001,0.0036,0.0001,2.7406,?,0.0528,2.9351,0.056,0.2239
0.0001,0.0039,0.0001,2.2904,?,0.1077,1.8725,0.0663,0.2656
0,0.0021,0,1.7607,?,0.0611,0,0.198,0.6923
0,0.0007,0,1.3285,?,0.1549,1.345,0.3305,0.6084
0.0005,0.0011,0.0004,1.7437,0.3655,0.048,1.6179,0.1021,0.4736
?,?,?,?,?,?,?,?,?
0.0001,0.0043,0.0001,1.9867,?,0.0813,1.6516,0.0932,0.3555
0.0001,0.001,0,2.511,?,0.0336,1.6398,0.1939,0.6377
0.0001,0.0113,0.0001,2.1687,0.2847,0.0526,0.5755,0.0431,0.3102
0.0001,0.0069,0.0001,2.6514,?,0.0691,1.7819,0.3614,0.485
0,0.0004,0,1.3631,?,0.1733,1.4142,0.1994,0.443
0,0.0038,0,1.7779,?,0.0362,1.0276,0.0601,0.1909
?,?,?,?,?,?,?,?,?
0.0002,0.0153,0.0006,1.5422,?,0.0868,0,0.365,0.6038
0.0001,0.0003,0,2.7796,0.1231,0.0155,1.0935,0.1814,0.6039
0.0002,0.0007,0.0002,4.062,?,0.0032,0.3846,0.3753,0.5461
0.0014,0.0134,0.001,2.3435,0.156,0.0583,0.3014,0.324,0.9847
0.0001,0.0037,0.0001,2.2822,?,0.1085,0.9696,0.0625,0.1976
0.0001,0.0091,0.0001,2.4153,?,0.0772,1.4943,0.083,0.2198
0.0083,0.0152,0.0051,2.0668,0.1471,0.2074,0.0834,0.7808,0.8763
0,0.0003,0,3.2232,?,0.0401,0.4058,0.077,0.1609
0.0001,0.001,0,2.4264,?,0.0432,0.4543,0.2499,0.6421
0.0001,0.0035,0,2.4122,?,0.0665,0.2012,0.0543,0.412
0.0001,0.0148,0.0001,4.5605,?,0.2445,0.4514,0.1831,0.3564
0.0001,0.0003,0.0001,2.0375,0.3004,0.0313,1.6297,0.0304,0.078
0.0002,0.0162,0.0002,4.4733,?,0.0477,0.375,0.2086,0.5715
0.0001,0.0005,0.0001,2.3062,0.2547,0.0308,1.7856,0.0339,0.108
0,0.0006,0,2.2335,?,0.0856,1.0047,0.5666,0.723
0.0001,0.007,0.0001,2.6639,?,0.0795,1.3152,0.0389,0.1212
0,0.0021,0,1.8201,?,0.0379,0,0.0188,0.0652
0,0.0005,0,1.2698,?,0.1565,0,0.3748,0.4559
0.0011,0.0058,0.0008,2.4762,0.184,0.0415,0.2463,0.2349,0.8381
0,0.0015,0,1.4897,?,0.0334,0,0.029,0.0455
0.0044,0.0154,0.0032,2.0382,0.3195,0.0676,0.3707,0.2681,0.6344
0.0001,0.0034,0,2.6363,?,0.0522,1.2996,0.0482,0.1375
0,0.003,0,2.2655,0.2799,0.0515,1.3009,0.0294,0.1588
0,0.002,0,2.1397,?,0.0549,0,0.0334,0.1357
0.0001,0.0035,0.0001,2.6372,?,0.0547,1.1765,0.0539,0.5039
0.0001,0.0005,0.0001,2.0658,0.2765,0.0312,0.128,0.0331,0.0875
0.0003,0.0029,0.0002,4.2518,?,0.0178,1.0417,0.3383,0.5384
0,0.0001,0,2.6083,0.1403,0.0138,0.2536,0.2241,0.643
0,0.0165,0,4.2321,?,0.057,0,0.4519,0.6491
0,0.0001,0,3.0818,0.0958,0.0116,0.7003,0.2038,0.4765
0,0.0005,0,2.2559,0.2613,0.0543,0.424,0.048,0.0911
0,0.0004,0,1.8034,?,0.0412,0,0.1489,0.3183
0.0002,0.005,0.0001,2.342,?,0.1033,0.6991,0.0791,0.2808
0.0074,0.0133,0.0048,2.1193,0.1157,0.0723,0.0596,0.7351,0.8335
0.0001,0.0023,0.0001,2.1351,0.369,0.067,0.1575,0.0261,0.0479
0.0001,0.0016,0.0001,2.9125,?,0.0538,1.3591,0.3784,0.7335
0.0001,0.0034,0,1.9345,?,0.0846,1.9021,0.0808,0.3049
0.0001,0.0043,0.0001,2.4382,0.2095,0.1101,0.7004,0.0673,0.6826
0.0001,0.0039,0.0001,2.2962,?,0.0677,0.3026,0.1335,0.2867
0,0.0001,0,2.2372,0.1505,0.0189,0,0.3083,0.7253
?,?,?,?,?,?,?,?,?
0.0008,0.0099,0.0005,1.6827,0.1642,0.0346,0.2652,0.1863,0.5944
0.0001,0.0011,0,2.4163,?,0.0397,1.0144,0.27,0.5207
0,0.0004,0,1.2878,?,0.1553,1.4142,0.3664,0.5241
?,?,?,?,?,?,?,?,?
0,0.001,0,2.7703,?,0.1466,0.4691,0.093,0.3852
0.0016,0.0021,0.0021,0.5905,?,0,0.077,0.7687,0.9287
0,0.0005,0,1.7236,?,0.0352,0,0.2088,0.3172
?,?,?,?,?,?,?,?,?
0.005,0.0245,0.0023,2.1308,0.3095,0.0766,0.3491,0.3155,0.7712
0,0.0003,0,2.7226,0.2255,0.0668,0.3775,0.3631,0.6174
0,0.0002,0,1.7626,?,0.0011,0.5982,0.4449,0.8009
0.0002,0.0183,0.0008,1.4857,?,0.0123,0,0.3142,0.6072
0.0002,0.0199,0.0008,1.682,?,0.1192,0,0.249,0.5773
0,0.0165,0,4.2319,?,0.0571,0,0.5592,0.6132
0.0032,0.0059,0.0027,2.2116,0.171,0.054,0.2807,0.3792,0.851
0.0001,0.0038,0,2.6354,?,0.0523,1.0004,0.0478,0.1338
0.0001,0.016,0.0001,4.7172,?,0.0821,0,0.2738,0.6713
0.0001,0.0148,0.0001,2.2667,?,0.0475,1.5494,0.0369,0.3273
0,0.0005,0,2.3447,0.2418,0.0667,0.6021,0.2078,0.4856
0.0001,0.0007,0.0001,2.4561,0.1739,0.0616,1.3233,0.0399,0.1908
0.0002,0.0062,0.0003,4.5246,?,0.1567,0.9208,0.4958,0.7074
0,0.0005,0,2.788,?,0.1208,0.9157,0.11,0.2378
0.0008,0.0061,0.0002,2.4354,?,0.0687,0.3831,0.2368,0.3962
0.0001,0.0011,0.0001,2.3388,0.1611,0.0776,0.131,0.5738,0.6979
0,0.0001,0,2.7334,0.1047,0.0145,0,0.1709,0.5352
0.0001,0.0041,0.0001,1.8689,?,0.0609,0.8154,0.1919,0.7499
0.0002,0.0162,0.0007,1.6171,?,0.0951,0,0.2976,0.4259
0.0001,0.0019,0.0001,1.876,0.1724,0.0329,0.557,0.2294,0.6118
0,0.0018,0,2.4862,?,0.0767,1.2695,0.0209,0.0861
0.0015,0.0236,0.0013,2.4489,0.2235,0.0578,0.2709,0.1373,0.5953
0.0001,0.0123,0.0005,1.4187,?,0.088,0,0.2555,0.3213
0.0002,0.0052,0.0001,2.4584,0.3443,0.0243,0.5621,0.0095,0.0681
0,0.0007,0,3.5187,?,0.1318,0,0.3304,0.6594
0,0.0018,0,2.5478,?,0.0758,0.2117,0.0253,0.1168
0.0003,0.0103,0.0007,1.524,?,0.0097,0.4883,0.3045,0.6691
0.0003,0.0019,0.0001,2.4165,?,0.0672,0.3206,0.1595,0.268
0,0,0,2.3141,0.1467,0.0156,0,0.1809,0.7234
0,0.0104,0,2.2405,?,0.0576,1.0316,0.1145,0.3357
