@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE cl_num_min NUMERIC

@DATA
./SAT11/crafted/skvortsov/battleship/battleship-13-13-unsat.cnf,1,0.8571,0.8571,0.7233,1.0778,0.8087,0.0001,0.849,0.8571,0.7233,0.0211,0,13.3747,3.0163,13.9373,0,0.0917,0.0769,0.7234,55.5155,52.6828,57.4435,0.7232,57.4435,2.308,1183,56.4201,1183,0.7234,57.4435,52.6828,52.6828,0.0015,0.0014,2,0.0101,0.0101,0.142,2,0.142,169,0,0,2,0.9764,0.0779,0.0741,0.1319,0.0377,0.0211,0.0101,0.0103,0.0211,59.0252,0.04,0,0.04,0.1142,0,0.04,0.7236,0,0.3014,0.1429,0,0.974,0,169,0.0099,1,1,0,0.0118,0.4101,50,68,1,0.0211,0,59,0,0.1501,0.0369,4905,4897,4915,4897,4915,0.0372,0.0372,0.0372,0.0371,0.7234,0.0372,0.0371,0.0373,0.0373,4915,59.1344,68,0.0653,0.022,1.0206,0.142,51,0.7235,0.4101,0.3286,4905.6667,0.0127,0,0.1127,0,59,0.4101,4897
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-6_2072.cnf,1,0,0.1004,0.3464,0.518,0.3934,0.4999,0.4943,0.5344,0.1484,0.0115,3.9749,87.2564,6.9805,51.4167,0.5737,0.3334,0.0114,0.5751,33.8989,31,43.7551,0.0003,37.3098,3.8478,88789,31.3713,159039,0.6016,49.2521,29.3109,28.6573,0.4951,5.6306,3,0,0.0034,0.0029,3,0.0056,2071,0.3058,0.4083,3,0.9857,3.2271,?,?,?,0.0011,0.0008,0.0061,0.004,433.295,0.3206,6.0071,0.9825,0.1198,0.6587,0,0.9994,4.8996,0.861,0.0148,0.7912,0.994,0.3454,1316,0.0698,0.775,0.2,0,0.0023,0.9982,418,456,1,0.004,0.9346,438,0.1536,0.219,0.1797,505,480,610,422,939,0,0,0,0,0.794,0,0,0.0043,0,1535,436.306,455,?,?,?,0.0075,423,0.9912,?,?,619.25,?,0,0.124,0,443,?,404
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p30-s48700942.cnf,1,0.9713,0.9713,0.8762,1.9806,0.8475,0.0215,0.9517,0.9713,0.8626,0.0045,3.2793,16.9612,43.9567,198.04,0.0329,10.4124,0.0679,0.8892,79.8784,71.8761,101.9509,0.821,79.9623,43.6786,92488,73.7455,93431,0.8919,101.9509,71.8571,71.8571,0.8681,5.9158,2,0.0009,0.0032,0.0099,2,0.0099,943,0.0722,0.2146,2,0.9917,0.2285,?,?,?,0.0014,0.0021,0.0898,0.0032,428.984,0.3237,5.1203,0.5447,0.0949,0.233,0.1457,0.9403,4.7226,0.179,0.0099,0.0102,0.9997,0.01,913,0.0003,0.9984,0.875,0,0.0022,0.1744,412,449,1,0.0032,0.1196,433,0,0.1412,0.1431,583,133,678,110,1590,0,0,0,0,0.9032,0,0,0.0001,0,1590,429.54,454,?,?,?,0.0099,409,0.9121,?,?,618.8,?,0,0.0978,0,432.5,?,110
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_464.cnf,1,0.0027,0.08,0.6667,1.1402,0.6915,0.0956,0.8052,0.92,0.6542,0.026,3.3542,20.4194,25.4655,14.3355,0,1.7188,0.0948,0.7112,55.0646,52.2301,57.899,0.6427,57.899,28.9393,28991,57.899,28991,0.6928,57.899,52.2301,52.2301,0.0051,2.4657,2.1039,0.0008,0.0109,0.0079,2,0.008,232,0.1563,0.2491,3,0.9957,0.2529,?,?,?,0.0087,0.0076,0.0106,0.0195,92.9231,0.253,5.0918,0.8275,0.0949,0.3597,0.127,0.9814,4.8262,0.2373,0.008,0,0.9974,0,232,0.0019,1,1,0,0.0086,0.2994,81,104,1,0.0195,0,93,0.0019,0.2148,0.0515,4103,4061,4103,4061,4103,0,0,0,0,0.7247,0,0,0,0,4103,92.5424,104,?,?,?,0.008,82,0.7824,?,?,4082,?,0.3336,0.0987,0.145,93,?,4061
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p30-s19690873.cnf,1,0.979,0.979,0.8845,2.2519,0.8265,0.0405,0.9153,0.979,0.8507,0.0026,3.1954,616.4,70.3192,1299.6,0.025,5.8027,0.0513,0.9031,86.0347,75.45,110.4516,0.7573,98.4074,75.1825,251637,82.5106,253275,0.91,110.4516,73.7978,73.7978,1.3678,9.4155,2,0.0004,0.0019,0.0063,2,0.0063,1638,0.0724,0.2295,2,1.0679,6.3565,?,?,?,0.0007,0.0012,0.3773,0.0018,741.6,0.3454,5.7931,0.5797,0.1541,0.2592,0.1684,0.9771,5.5454,0.2401,0.0064,0.0065,1.0165,0.0066,1598,0.1094,0.9991,0.9167,0,0.0013,0.142,736,776,1,0.0018,0.0977,758,0,0.352,0.1597,47,27,89,22,440,0,0,0,0,0.9285,0,0,0.0001,0,440,741.029,783,?,?,?,0.0063,737,0.9438,?,?,109.3333,?,0,0.1756,0,762,?,22
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,1,0.9697,0.7195,0.8797,1.8913,0.9096,0.0153,0.9583,0.9697,0.8699,0.0071,2.8961,6.7374,36.4543,46.7563,0.0345,13.616,0.1,0.8886,67.9415,66.4901,75.7054,0.8478,75.7054,37.4356,45474,75.0119,46074,0.8899,75.7054,54.5587,54.5587,0.8979,2.5197,2,0.001,0.005,0.0127,2,0.0127,600,0.0591,0.1382,2,1.0205,0.2026,?,?,?,0.0036,0.0025,0.3139,0.0051,271.97,0.328,4.2017,0.422,0.0422,0.3911,0.1861,0.9147,4.3551,0.126,0.0128,0.0132,0.9998,1.0163,580,0.0002,0.4885,0,0,0.0034,0.1562,258,287,1,0.0051,0.8556,272,0,0.152,0.1256,2361,698,4735,151,4735,0,0,0,0,0.8993,0,0,0,0,4735,269.626,285,?,?,?,0.0127,256,0.9051,?,?,1986.25,?,0,0.0772,0,270,?,151
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_99_u.cnf,1,0.0323,0.2961,0.0153,0.1205,0.2088,1.3477,0.5971,0.147,0.0047,0.0203,1.0783,8.6223,0.3286,7.8195,1.1029,0.4874,0.0065,0.115,16.3118,11.6383,16.2552,0.0002,14.5721,0.1301,1918,13.283,2332,0.0374,66.5724,9.8555,7.4163,0.5248,0.2805,36.8511,0.0005,0.0099,0.0031,25,0.0062,1287,0.1137,0.9113,49,0.7181,0.3276,0.8889,0.0271,0.0177,0.0026,0.0018,0.0959,0.0062,82.0256,0.0669,1.4364,0.6667,0.0754,0.9106,0,0.7732,0.6288,0.3487,0.3191,0.2158,0.7213,0.9479,612,0.0495,0.2855,0,0,0.0033,0.495,74,90,1,0.0062,1.0856,82,0.3995,0.223,0.8062,1299,915,1515,692,1979,0.3494,0.3887,0.3851,0.157,0.1856,0.3334,0.0229,0.3907,0.3904,3690,82.0085,90,0.4722,0.0021,0.1967,0.0125,74,0.2257,1.6831,0.1428,1349.0357,0.1337,3.2034,0.0781,0.1855,82,1.8413,582
./SAT04/handmade/anton/l4k4/lksat-n900-m6174-k4-l4-s819398222.used-as.sat04-929.cnf,1,0.0017,0.3081,0.1122,0.0323,0.117,0.6484,0.2724,0.0112,0.042,0.0157,3.137,31.42,0.6928,30.0438,0.0905,0.3913,0.0062,0.2353,19.2666,3.6169,33.3209,0.0001,32.4778,0.2403,5781,30.9019,6174,0.2198,33.3209,2.929,2.929,0.7371,0.8625,5.1005,0.0002,0.0054,0.0009,5,0.0022,880,0.0978,0.4176,6,0.8117,0.1653,0.5842,0.0192,0.0102,0.0017,0.0015,0.0467,0.0049,157.873,0.1259,3.125,0.5714,0.0549,0.4651,0,0.737,2.7428,0.3504,0.1396,0.068,0.8159,0.8892,807,0.0317,0.3696,0,0,0.0025,0.0696,147,169,1,0.0049,1.0097,158,0.4088,0.23,0.694,3047,402,3683,155,3691,0.0238,0.1127,0.0534,0.0077,0.3514,0.0766,0.0001,0.3281,0.1859,3691,157.551,169,0.1766,0.0021,0.2341,0.0067,146,0.4498,4.0244,0.2489,1987.25,0.065,0.3262,0.065,0.0589,158,2.8154,155
./SAT04/handmade/anton/l5k3/lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf,1,0.0049,0.4563,0.2029,0.1261,0.1234,0.5943,0.4112,0.8865,0.0861,0.0107,3.4019,19.4106,0.7915,20.2231,0.2078,0.3062,0.0081,0.3938,26.002,24.7226,30.0419,0.001,26.7912,0.2524,3075,25.6211,3357,0.379,30.0419,23.9726,23.9726,0.1206,0.8596,5.0014,0,0.0052,0.0007,4,0.0058,895,0.1997,0.4156,6,0.8468,0.2233,0.5238,0.0179,0.0069,0.0003,0.0019,0.0312,0.0042,156.563,0.2512,3.0176,1,0.0586,0.5014,0,1,2.4312,0.3457,0.241,0.0917,0.8445,0.6136,741,0.0279,0.4802,0,0,0.0027,0.4319,145,168,1,0.0042,0.9602,156.5,0.4154,0.2242,0.0771,3808,3654,3829,2653,3937,0.0555,0.1697,0.106,0.0281,0.562,0.1271,0.0017,0.8861,0.2301,3937,156.599,168,0.1597,0.0016,0.3139,0.0159,145,0.7112,3.2709,0.3538,3608,0.0531,0.1819,0.0587,0.0382,157,3.029,2653
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p15-s2076598.cnf,1,0.9871,0.9871,0.8899,1.6828,0.9234,0.03,0.9647,0.9871,0.8666,0.0071,3.108,23.9741,26.3538,18.4692,0.0481,13.4794,0.1,0.9025,62.7245,60.768,66.2984,0.7885,65.7796,20.4521,29189,62.4168,29734,0.9057,69.5094,59.4328,58.2773,1.0183,1.3865,2,0.002,0.0061,0.0178,2,0.0178,545,0.0792,0.1849,2,0.998,14.9625,?,?,?,0.0028,0.0038,0.0379,0.0047,239.014,0.5953,4.4672,0.8506,0.0638,0.226,0.3793,0.986,4.3907,0.2716,0.0178,0.0187,0.9973,0.0048,520,0.0448,0.9998,0.8462,0,0.0038,0.1118,225,254,1,0.0047,0.0223,240,0,0.1208,0.0502,696,626,944,502,2236,0,0.0001,0,0,0.9226,0.0001,0,0.0007,0.0004,4634,237.471,252,?,?,?,0.0178,224,0.9288,?,?,1133.0833,?,0,0.0599,0,238,?,268
./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf,1,0.2396,0.5419,0.0083,0.571,0.1566,1.2881,0.4333,0.8762,0.0074,0.0159,1.2453,108.052,0.6973,97.9036,1.5319,0.3683,0.0319,0.1154,27.9922,26.2355,31.3898,0,30.1887,0.284,8702,27.2943,14813,0.0975,34.7442,23.2688,22.5911,0.5472,0.834,6.1168,0.0001,0.008,0.0006,4,0.0013,5008,0.1153,1.1141,7,0.8388,0.1444,0.5818,0.0163,0.0044,0.0009,0.0007,0.0715,0.0015,391.695,0.1032,1.2303,0.5556,0.0377,1.0236,0,0.8471,1.9041,0.4734,0.2273,0.7023,0.8432,0.7424,1978,0.0178,0.4775,0,0,0.001,0.9063,373,411,1,0.0015,1.2015,391,1.3821,0.3462,0.1179,697,683,1414,530,1640,0.021,0.0365,0.0297,0.0206,0.159,0.0332,0,0.2091,0.0372,2412,392.243,412,0.1235,0.0009,1.0505,0.0138,374,0.1946,2.9571,0.7017,996.8462,0.0144,0.7634,0.0706,0.0845,394,2.3953,477
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-18_312.cnf,1,0,0.1007,0.6225,1.0008,0.7052,0.1208,0.8053,0.8993,0.6173,0.0196,2.9611,29.7086,17.2726,19.6965,0,2.9179,0.0577,0.6706,52.668,50.3461,63.5646,0.6057,53.5572,18.4885,26889,52.4241,26889,0.633,63.5646,46.7898,46.7898,0.9014,2.3066,2.9936,0.0007,0.0081,0.009,2,0.0099,312,0.1581,0.2615,3,0.9946,3.6691,?,?,?,0.0064,0.0058,0.0332,0.0145,117.508,0.2304,4.9432,0.7919,0.0913,0.3709,0.1258,0.9739,4.2648,0.2453,0.0116,0,0.9946,0,312,0.0391,1,1,0,0.0096,0.3267,105,130,1,0.0145,0,118,0.0711,0.22,0.0901,870,619,1156,471,4316,0,0,0,0,0.6863,0,0,0,0,4316,117.659,130,?,?,?,0.0116,105,0.7599,?,?,1252,?,0.0389,0.0907,0.0267,118,?,471
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v1375c111739g4.cnf,1,0.9349,0.9349,0.7983,1.4666,0.7565,0.0205,0.9073,0.9349,0.7881,0.0059,2.8313,56.4521,26.832,14.8376,0.05,0.2192,0.0433,0.8093,57.6833,49.2006,78.9836,0.76,60.987,32.2747,60246,56.3143,61409,0.8094,78.9836,48.1599,45.1149,0.9051,6.763,3,0.0011,0.0035,0.0022,3,0.0042,945,0.0444,0.1879,3,0.9987,7.5757,?,?,?,0.0019,0.0021,0.0004,0.0036,406.744,0.1925,4.9117,0.4058,0.0767,0.1826,0.105,0.875,4.4389,0.123,0.0149,0.0193,1.0027,0.0236,900,0.0466,0.9939,0.75,0,0.0022,0.2616,391,426,1,0.0036,0.2427,409,0.1704,0.1271,0.1699,614,322,1031,319,2821,0,0,0,0,0.8192,0,0,0,0,2821,410.244,427,?,?,?,0.0069,392,0.8295,?,?,839.4,?,0,0.0334,0,411,?,230
./SAT05/crafted/roussel05/visbmc-PHNF/phnf-size10-exclusive-philo.used-as.sat04-988.shuffled-as.sat05-4195.cnf,1,0.8588,0.6449,0.791,0.8257,0.0273,0.2687,0.0871,0.8591,0.4955,0.0013,4.2441,4568.5,25.6627,5121,0.1326,0,0.0006,0.8356,0,0,0,0,0,18.7974,1667873,0,1711065,0.931,0,0,0,0,1.1746,6.3333,0,0.0007,0,6,0.0001,36304,0.2005,0.8252,7,1.0147,0.1803,?,?,?,0,0,0,0.0001,6849.5,0.3404,5.5809,0.967,1.4142,0.8519,0,1,5.0413,0.5514,0.0192,0.0259,1.006,1.0213,32054,0.0122,0.467,0,0,0.0001,0.6065,0,0,1,0.0001,1.2318,6849.5,0.794,0,0,0,0,0,0,0,0.0073,0.1627,0.0568,0.0001,0.9863,0.1054,0,0.5,0.292,0,0,0,?,?,?,0.0009,0,0.9987,?,?,0,?,0.6365,0,0.0744,0,?,0
./SAT04/handmade/kexu/frb-0.8/frb45-21-1.used-as.sat04-883.cnf,1,0.9348,0.9348,0.7971,1.4682,0.7478,0.0193,0.9059,0.9348,0.7876,0.0052,2.8156,28.7069,27.6208,87.0537,0.05,11.6992,0.0433,0.8085,52.0444,41.3651,69.9413,0.7632,69.866,32.2678,60686,49.8923,61855,0.8082,70.0155,40.5753,39.7735,0.786,4.7234,3,0.0012,0.0031,0.0025,3,0.0042,945,0.0412,0.1787,3,0.9938,0.1572,?,?,?,0.0021,0.0021,0.0702,0.0036,408.129,0.1903,4.9521,0.323,0.0354,0.1737,0.0929,0.8559,4.4267,0.0862,0.0148,0.0193,0.9996,0.0236,900,0.0003,0.9939,0.8182,0,0.0022,0.2623,392,425,1,0.0036,0.2428,408,0.1866,0.1383,0.2277,393,299,1464,288,1677,0,0,0,0,0.8195,0,0,0,0,2022,407.941,427,?,?,?,0.0064,394,0.8291,?,?,781.9091,?,0,0.0787,0,410,?,287
./SAT11/crafted/skvortsov/battleship/battleship-11-21-sat.cnf,1,0.9052,0.9052,0.8288,1.4642,0.9074,0,0.9245,0.9052,0.8287,0.0165,0,1.5199,2.6288,2.4794,0,1.2217,0.0909,0.8288,88.215,84.1817,90.8046,0.8287,90.8046,2.0464,1276,89.6588,1276,0.8288,90.8046,84.1817,84.1817,0.0026,0.0001,2.9522,0.0078,0.0078,0.1724,2,0.1728,231,0,0,3,0.9886,0.515,0.087,0.1646,0.0312,0.0165,0.0078,0.0288,0.0165,89.842,0.0476,0,0.0476,0.085,0,0.0476,0.8288,0,0.2574,0.181,0,0.985,0,231,0.0053,1,1,0,0.0087,0.3136,80,100,1,0.0165,0,90,0.0097,0.1289,0.0328,4832,4821,4851,4821,4851,0.233,0.233,0.233,0.233,0.8288,0.233,0.2329,0.233,0.233,4851,89.8848,100,0.0796,0.0172,1.383,0.1803,80,0.8288,0.3136,0.2851,4834.6667,0.0095,0.1921,0.0857,0.0723,90,0.3136,4821
./SAT05/crafted/sorge05/QG7a/gensys-brn002.shuffled-as.sat05-3935.cnf,1,0.0801,0.1178,0.6662,0.3821,0.2475,0.1904,0.572,0.0909,0.6447,0.0131,2.7621,47.0583,0.6482,36.7216,0.0398,0.199,0.0056,0.7366,16.072,15.0624,17.4731,0,17.2879,0.0878,13794,16.115,15897,0.7496,17.9554,14.2137,12.3961,0.2306,0.3236,4.8962,0,0.0031,0.0001,4,0.0034,2401,0.1483,1.1941,6,0.889,0.134,?,?,?,0.0001,0.0002,0.0293,0.0031,121.845,0.6139,3.192,1,0.0708,2.0884,0,1,1.7158,0.5221,0.1674,0.1525,0.9133,0.8806,2309,0.0256,0.311,0,0,0.0009,2.0261,111,132,1,0.0031,2.5376,122,1.3171,0.4766,0.0913,1832,1376,1979,1169,2052,0.4729,0.499,0.496,0.1679,0.8242,0.4491,0.0851,0.9999,0.4997,2197,121.122,132,?,?,?,0.0181,110,0.854,?,?,1690.9333,?,0.4906,0.0706,0.0766,121,?,785
./SAT04/handmade/kexu/frb-0.8/frb59-26-2.used-as.sat04-892.cnf,1,0.9463,0.9463,0.824,1.6619,0.726,0.0212,0.9286,0.9463,0.8122,0.0035,2.8117,43.092,36.5561,30.5,0.04,2.1412,0.0325,0.8362,59.9934,47.4342,78.8876,0.7816,77.2057,42.7295,130262,53.0986,132295,0.8367,108.4075,46.8798,46.1424,1.0367,5.0976,3,0.0008,0.0021,0.0015,3,0.0026,1534,0.0414,0.192,3,0.9994,0.1247,?,?,?,0.0014,0.0013,0.0024,0.0022,681.517,0.1814,5.2853,0.3722,0.0289,0.1855,0.0796,0.8957,4.7382,0.075,0.0113,0.0156,0.9998,0.0174,1475,0.0001,0.9959,0.7778,0,0.0014,0.2246,656,705,1,0.0022,0.2102,682,0.1903,0.1227,0.3019,277,228,355,222,423,0,0,0,0,0.8497,0,0,0,0,1654,674.438,707,?,?,?,0.0044,657,0.8581,?,?,378.6667,?,0,0.1299,0,684.5,?,89
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes2.cnf,1,0.9552,0.9552,0.7988,1.8716,0.8016,0.0812,0.9243,0.9552,0.7334,0.0021,2.697,55,49.8732,703.75,0.0323,4.2899,0.0258,0.8382,66.1533,55.7167,86.3,0.5503,70.7101,52.6108,263277,63.8314,266431,0.86,89.0732,55.2975,54.8372,0.3572,14.3093,3,0.0004,0.0012,0.0009,3,0.0017,2400,0.0363,0.1811,3,1.0122,0.1174,?,?,?,0.0008,0.0008,0.0567,0.0014,1096.92,0.1685,5.5209,0.3028,0.0203,0.1717,0.0794,0.9328,4.9595,0.0989,0.0088,0.012,0.9998,0.013,2325,0,0.9972,0.75,0,0.0009,0.194,1068,1120,1,0.0014,0.1833,1097.5,0.188,0.2188,0.17,158,138,179,50,182,0,0,0,0,0.8874,0,0,0,0,195,1038.4,1119,?,?,?,0.0027,1053,0.9096,?,?,142.1538,?,0,0.2363,0,1090,?,41
./SAT11/crafted/spence/sgen/sgen3-n260-s62321009-sat.cnf,1,0.8333,0.6298,0.5832,0.4472,0.6511,0.0001,0.8229,0.8333,0.5831,0.0096,0,4.9794,1.0406,8.7583,0,0.2081,0.0192,0.5832,41.6567,38.8604,46.649,0.5831,46.0446,0.5184,624,40.3032,624,0.5832,46.649,38.0401,38.0401,0.0087,0.0001,4.973,0,0.008,0.0176,4,0.0191,260,0,0,5,0.9285,0.2271,0.4,0.0321,0.0107,0.0096,0.0052,0.0259,0.0096,67.1823,0.3333,0,0.3333,0.1086,0.4023,0.3333,0.5833,1.4287,0.3386,0.4167,0,0.9009,0.8947,260,0.0261,0.5237,0,0,0.0077,0.4506,58,76,1,0.0096,1.118,67,0.0213,0.1978,0.0817,4454,4430,4459,4351,4466,0.2295,0.2295,0.2295,0.2295,0.5832,0.2295,0.2294,0.2295,0.2295,4466,67.086,77,0.3492,0.0064,0.8944,0.0192,58,0.5832,0.4506,0.3252,4432.3333,0.0952,0.1243,0.1078,0.0326,67,0.4506,4351
