@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC

@DATA
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,0.0199,0.7664,0.7369,0.548,0.0897,0.5197,0.2964,25.5212,0.4209,0.4802,10.5492,0.3132,0.1834,0.04,0.0119,6.2076
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,0.0014,0.8702,0.9718,0.9513,0.0873,0.46,0.9005,104.85,0.5,0.4925,63.4109,0.8123,0.2947,0.0022,0.0078,43.1752
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,0.0001,0.4944,0.6399,0.9211,0.0847,1.1372,0.1224,23.3968,1,0.4848,12.4783,0.6128,0.1749,0.0304,0.4043,11.1825
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,0.0005,0.4142,0.4806,0.9531,0.0854,3.3207,0.7698,0,0.2823,0.7688,0,0.8343,0.2633,0.0166,0.123,0
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,0.0009,0.3687,0.7582,0.7174,0.0778,0.3075,0.2359,235.1361,0.2859,0.456,30.6903,0.3393,0.1192,0.0034,0.0097,7.7433
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0,1.9187,0.5235,0.9899,0.1064,2.1996,0.5524,136.7586,0.4995,0.6938,65.2521,0.8491,0.2535,0.174,0.1753,42.9939
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,0.0033,1.9844,1.2726,0.9545,0.2382,1.6114,0.9764,575.7273,0.5282,0.379,281.4514,0.9254,0.1651,0.0367,0.559,150.1111
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0,2.6384,0.593,1,0.0358,15.7202,0.9069,0,0.5,0.7212,0,0.9971,0.2372,0,0,0
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,0,2.1534,0.5229,1,0.1086,395.696,0.9087,0,1,0.7691,0,0.9918,0.2634,0,0,0
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.0173,0.169,0.6663,0.2234,0.107,0.5128,0.0223,23.2378,0.135,0.4544,21.9839,0.0253,0.0707,0.067,0.0925,21.7873
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.0001,0.6135,0.3541,0.9071,0.0113,3.0823,0.0943,28.8832,0.1517,0.8736,26.4462,0.8508,0.2169,0,0,25.3253
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,0.0017,0.4893,1.0234,0.8834,0.03,1.8712,0.6431,150.3333,0.0931,0.3912,54.819,0.582,0.1615,0.2635,1.4142,31.2727
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,0.0268,0.5581,0.6638,0.586,0.0793,0.2569,0.1471,33.6678,0.2465,0.3862,19.6951,0.5507,0.1821,0.0082,0.007,14.1997
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,0,0.2865,0.5485,0.6977,0,41.1292,0.3917,38.9025,0,0.5939,36.4418,0.6928,0.002,0.0003,0.0434,34.7874
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,0.0028,1.0023,0.9215,0.9685,0.2764,6.4773,0.401,0,0.5,0.3373,0,0.6386,0.249,0,0,0
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,0.0171,0.1795,0.7224,0.2222,0.0959,0.7541,0.0364,0,0.1342,0.4475,0,0.0175,0.0746,0.0731,0.1266,0
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0.0001,0.503,1.0067,0.8792,0.028,1.612,0.6423,9.5321,0.1349,0.3982,9.5321,0.7515,0.1602,0.0662,0.0059,9.5321
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1,0.025,2.0421,1.2721,0.9844,0.2604,3.6048,0.9812,0,0.5342,0.3801,0,0.9176,0.1645,0,0,0
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0,0.4802,0.9944,0.8796,0.0255,2.3706,0.5987,16.6592,0.1437,0.3878,16.6592,0.7406,0.1634,0,0,16.6592
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1,0.0336,0.7205,0.6773,0.5997,0.1711,0.3231,0.1177,28.1126,0.2404,0.4219,24.4611,0.1567,0.2461,0.0305,0.0071,20.3748
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1,0.0086,3.3608,0.5025,0.9945,0.0577,23.3785,0.961,0,0.5,0.7901,0,0.9835,0.3259,0,0,0
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.0134,1.0765,1.5565,0.9252,0.0424,0.6295,0.6633,0,0.1739,0.188,0,0.853,0.1522,0.0033,0.0098,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,1,0.0326,0.7182,0.6771,0.5983,0.171,0.1749,0.1192,31.1259,0.2404,0.4231,24.6828,0.1568,0.2457,0.0041,0.0083,21.5799
SAT_RACE08/cnf/velev-vliw-uns-4.0-9-i1.cnf,1,0,2.9522,0.752,1,0.0912,140.876,0.6001,0,0.5,0.5373,0,0.9969,0.2587,0,0,0
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,1,0,1.2589,0.6895,0.9676,0.0003,2.5072,0.9575,174.64,0.1694,0.6691,174.64,0.9218,0.2521,0.0003,0.0037,174.64
./SAT03/industrial/goldberg/hard_eq_check/k2mul.miter.shuffled-as.sat03-355.cnf,1,0.0171,0.4234,0.7466,0.7804,0.0577,0.3107,0.2298,14.7017,0.3026,0.4619,11.1035,0.6883,0.0773,0.0073,0.0203,10.0491
./SAT11/application/fuhs/AProVE11/AProVE11-07.cnf,1,0.0216,0.2352,0.6562,0.4743,0.0621,0.9953,0.1576,15.6047,0.3049,0.3663,9.7174,0.1503,0.0677,0,0,6.7647
SAT_RACE06/ibm-2002-21r-k95.cnf,1,0.0004,0.6949,0.9999,0.92,0.0475,1.9354,0.5208,39.155,0.3573,0.3724,32.5834,0.6552,0.164,0.2972,0.6667,29.8735
./SAT11/application/kullmann/AES/Benchmarks/128/aes_128_1_keyfind_1.cnf,1,0.0024,0.2664,0.7444,0.0908,0.1221,0.3251,0.04,28.4741,0.1505,0.3513,19.6602,0.0016,0.018,0.0373,0.0592,16.8962
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT11/application/leberre/2dimensionalstrippacking/E15N15.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.045-NOTKNOWN.cnf,1,0.0029,2.0203,1.2613,0.9771,0.2674,2.2244,0.9782,0,0.5294,0.3836,0,0.9466,0.1615,0.0258,0.866,0
./SAT07/industrial/fuhs/hard/AProVE07-01.cnf,1,0.0028,0.6425,0.6862,0.6364,0.0739,0.4755,0.1962,65.9261,0.2424,0.3772,34.9818,0.1741,0.1553,0.0115,0.029,25.4213
./SAT03/industrial/li/li-test4/li-test4-100.shuffled-as.sat03-370.cnf,1,0.0935,2.0614,0.7466,0.4703,0.2503,0.1771,0.1001,18.006,0.3924,0.4502,5.0146,0.1201,0.2885,0.0056,0.0127,3.5
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,1,0,2.3209,0.5136,1,0.0747,2147.7,0.9186,0,1,0.777,0,0.9978,0.2614,0,0,0
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.045-NOTKNOWN.cnf,1,0.0028,2.0117,1.2724,0.9772,0.2674,2.2629,0.9787,830.1,0.5294,0.3795,830.1,0.9469,0.1648,0.0248,0.866,830.1
./SAT03/industrial/schuppan/l2s/valves-gates-1-k617-unsat.shuffled-as.sat03-412.cnf,1,0.1476,1.1789,0.7175,0.6586,0.5,2.4647,0.1786,0,0.5,0.4763,0,0.293,0.1635,0,0,0
./SAT11/application/leberre/2dimensionalstrippacking/E05F18.cnf,1,0.0002,0.6184,0.4389,0.9054,0.0066,2.2266,0.1383,26.7918,0.1505,0.8147,23.4198,0.8327,0.2197,0.0659,1.4142,21.2688
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin.cnf,1,0.0007,0.3486,0.7084,0.695,0.0832,0.4752,0.1742,354.619,0.2541,0.4595,70.9834,0.3256,0.1051,0.0398,0.0054,10.6108
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top30.cnf,1,0.0313,0.5773,0.6614,0.5916,0.0825,0.5673,0.1414,27.4281,0.2478,0.381,20.0913,0.5528,0.1846,0.1638,0.4899,17.7641
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_11_ooo.cnf,1,0,2.8577,0.4526,1,0.0123,189.118,0.8928,0,0.5,0.8073,0,1,0.2832,0,0,0
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtswvtms14x8p1-tseitin.cnf,1,0,0.4942,0.5997,0.8049,0.0777,0.4718,0.1765,28.8828,0.3234,0.5636,21.2316,0.3712,0.1379,0.0046,0.0132,19.2205
./SAT11/application/fuhs/AProVE11/AProVE11-11.cnf,1,0.0208,0.2564,0.7506,0.4822,0.0635,0.6328,0.1823,16.1104,0.3182,0.3507,14.6931,0.1793,0.0893,0.054,0.0065,13.4373
./SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.0519,0.207,2.124,0.8319,0.3295,7.5949,0.1396,0,0.5,0.0881,0,0.5335,0.0605,0,0,0
./SAT07/industrial/fuhs/medium/AProVE07-21.cnf,1,0.0105,0.2967,0.6166,0.5773,0.0469,0.5805,0.2034,44.7557,0.2681,0.339,35.2172,0.166,0.0957,0.0201,0.0447,30.6977
./SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k45.cnf,1,0.0007,0.6415,0.7733,0.9068,0.1384,0.6303,0.3348,20.6508,0.2916,0.4138,14.211,0.0483,0.1557,0.4439,0.267,10.1595
./SAT11/application/rintanen/SATPlanning/transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-SAT.cnf,1,0.0136,4.3411,1.2125,0.9952,0.3283,5.1623,0.9874,0,0.799,0.4031,0,0.9375,0.2355,0,0,0
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.050-NOTKNOWN.cnf,1,0,1.2819,0.6844,0.9823,0,3.4731,0.9585,497.6667,0.1855,0.6725,347.5208,0.9323,0.2539,0,0.0014,330.4
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf,1,0,1.9281,0.5093,0.9809,0.1075,4.6466,0.5851,91,0.4956,0.7163,54.0179,0.8903,0.2233,0.0156,0.1191,41.9466
./SAT05/industrial/grieu05/vmpc/vmpc_36.renamed-as.sat05-1922.cnf,1,0,0.2928,0.5471,0.6919,0,59.2591,0.394,49.0307,0,0.5957,46.7545,0.6919,0.0012,0.1598,0.142,42.7177
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom12.cnf,1,0.0115,0.706,0.685,0.5947,0.164,0.1638,0.1608,53.0094,0.2404,0.4436,44.605,0.1588,0.2404,0.0095,0.0198,37.9864
./SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0.0001,0.4555,1.0463,0.8596,0.0262,0.5799,0.6356,25.3062,0.2037,0.3767,14.2579,0.6706,0.1552,0.013,0.0069,3.2097
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf,1,0.0025,1.9209,1.2703,0.943,0.218,0.9744,0.9709,549.2727,0.5198,0.3787,285.8921,0.916,0.1659,0.0569,0.3318,179.6404
SAT-Race-2010-CNF/software-verification/nec/hard-18-U-10652.cnf,1,0,2.9214,0.7687,1,0.1563,3.8092,0.4402,0,0.5,0.5,0,0.9971,0.2239,0,0,0
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-17-step20.cnf,1,0.0011,0.9322,0.9718,0.9554,0.0708,1.1365,0.8938,116.272,0.4859,0.4909,58.7308,0.8311,0.2925,0.0243,0.441,22.6188
./SAT09/APPLICATIONS/bitverif/maxxor/maxxor032.cnf,1,0.0213,0.6025,0.7644,0.5187,0.0956,0.5757,0.2537,34.1275,0.4432,0.4464,18.6821,0.2604,0.1758,0.0095,0.0201,15.25
./SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray04_32.cnf,1,0.0094,0.3531,0.9075,0.2174,0.0387,0.1696,0.3405,20.4649,0.286,0.3615,14.0854,0.1223,0.0713,0.0096,0.0229,11.576
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-bobsmhdlc2-tseitin.cnf,1,0.0043,0.3446,0.7917,0.6612,0.0647,0.2158,0.2386,18.7504,0.3296,0.4266,12.4678,0.3101,0.1198,0.0062,0.0143,11.0167
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.070-NOTKNOWN.cnf,1,0,1.2893,0.6828,0.9827,0,8.7988,0.9588,0,0.1855,0.6736,0,0.9333,0.2545,0.4016,1.4142,0
./SAT09/APPLICATIONS/diagnosis/UTI-20-10p1.cnf,1,0,0.4363,0.9082,0.9512,0.0352,2.7937,0.512,21.2353,0.0811,0.4003,5.5076,0.7791,0.1485,0,0,1
./SAT09/APPLICATIONS/c32sat/post-c32s-gcdm16-23.cnf,1,0.0151,0.5451,0.5895,0.7081,0.0403,0.2961,0.0741,50.6299,0.2556,0.3964,28.2328,0.0632,0.1052,0.005,0.0136,22.6167
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp3-tseitin.cnf,1,0.0058,1.1904,0.7532,0.9574,0.243,0.1916,0.1894,0,0.9999,0.4198,0,0.2085,0.137,0.2292,0.2292,0
./SAT09/APPLICATIONS/crypto/desgen/gss-21-s100.cnf,1,0.0133,1.0745,1.5427,0.9253,0.0425,0.6282,0.6596,0,0.1731,0.1914,0,0.8522,0.1525,0.004,0.0114,0
./SAT02/industrial/goldberg/rand_net/rand_net60-25-10.shuffled.cnf,1,0.0098,0.822,0.8668,0.7604,0.062,0.5561,0.4984,41.868,0.2921,0.4762,32.1773,0.4975,0.1238,0.1525,0.0537,27.4591
./SAT02/industrial/dellacherie/comb/comb1.shuffled.cnf,1,0.0052,0.3644,0.7882,0.6082,0.0373,0.4589,0.3049,36.863,0.3276,0.4833,25.9926,0.2704,0.0928,0.0139,0.0355,23.4669
./SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate032.cnf,1,0.0117,0.3086,0.8011,0.3212,0.0466,0.1694,0.316,0,0.2787,0.3653,0,0.0917,0.0676,0.01,0.0219,0
./SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0,0.8023,1.0326,0.6926,0.0002,2.8642,0.7657,0,1,0.4471,0,0.4921,0.0352,0.0013,0.0119,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom13.cnf,1,0.0169,0.7063,0.6827,0.5945,0.168,0.1681,0.1544,49.2159,0.2404,0.4407,36.8879,0.1584,0.2397,0.0068,0.015,26.5318
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,0.0212,0.7069,0.6797,0.5937,0.17,0.1465,0.1424,33.7874,0.2404,0.4362,31.1839,0.1577,0.2415,0.0071,0.0132,30.9132
./SAT05/industrial/maris05/Rovers/rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0.0018,0.8084,0.2793,0.9629,0.0293,4.2519,0.816,0,0.3971,0.8901,0,0.8581,0.1983,0.0056,0.0984,0
./SAT04/industrial/vangelder/cnf-color/myciel6-tr.used-as.sat04-320.cnf,1,0.0001,0.7067,0.1301,0.7546,0.0419,2.1647,0.8536,42.4251,0.1168,0.9634,33.9205,0.7047,0.1777,0.0442,0.0763,31.5698
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step16.cnf,1,0,2.9956,0.9348,1,0.4147,10.2159,0.9717,0,0.5,0.5285,0,0.9504,0.3148,0.0134,1.4142,0
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step16.cnf,1,0,1.7785,0.9218,0.9748,0.0369,5.33,0.9636,550.5,0.4918,0.5336,239.8172,0.9018,0.309,0.0429,0.6667,121.0741
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.0164,0.1624,0.5919,0.2247,0.1115,0.3364,0.0149,51.5068,0.135,0.4671,38.1191,0.0252,0.0678,0.0374,0.0604,22.0616
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,0,2.9933,0.9351,1,0.4214,9.7596,0.9718,0,0.5,0.5283,0,0.9512,0.3145,0.0057,1.4142,0
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,1,0.0016,0.4264,0.7079,0.6831,0.0834,0.4345,0.2783,20.7296,0.2115,0.5141,16.1606,0.4565,0.1405,0.0217,0.0121,14.3323
./SAT11/application/leberre/2dimensionalstrippacking/E05F20.cnf,1,0.0097,0.5796,0.252,0.9943,0.1586,3.6675,0.0489,25.7726,0.5,0.9314,23.5424,0.9504,0.2294,0,0,21.3122
./SAT04/industrial/hoonsang/vis-bmc/all.used-as.sat04-986.cnf,1,0.0006,1.2677,0.6574,0.6423,0.2401,0.5823,0.1409,36.3921,0.2721,0.4795,24.6571,0.1864,0.3252,0.0061,0.0176,19.657
SAT_RACE08/Q1/SAT_dat.k80_04.cnf,1,0.0008,0.6552,1.1177,0.8864,0.0477,0.5432,0.5867,19.2019,0.7341,0.3431,15.0612,0.5462,0.1523,0.0025,0.0053,12.9157
SAT_RACE06/velev-npe-1.0-9dlx-b71.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf,1,0.0002,0.4904,0.6381,0.7854,0.0835,0.3687,0.1794,24.1732,0.2089,0.5453,20.523,0.5885,0.1227,0.0036,0.0086,18.623
./SAT11/application/leberre/2dimensionalstrippacking/E07N15.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor128.cnf,1,0.0253,0.8792,0.7192,0.6048,0.1021,1.1858,0.2829,42.1483,0.4681,0.4959,42.1483,0.3073,0.1872,0,0,42.1483
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_2_keyfind_1.cnf,1,0.0035,0.2575,0.7394,0.1518,0.1343,0.2911,0.0623,40.1166,0.1449,0.4086,27.8822,0.0099,0.0542,0.04,0.0587,24.5916
./SAT02/industrial/goldberg/rand_net/rand_net60-30-1.shuffled.cnf,1,0.0102,0.7633,0.8706,0.7345,0.0556,0.4231,0.526,0,0.2851,0.4804,0,0.4862,0.107,0.0516,0.0588,0
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,1,0.0032,0.3386,0.7469,0.6679,0.0583,0.3206,0.2859,17.5205,0.2229,0.4964,12.1679,0.385,0.1074,0.0052,0.0123,9.8833
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.0165,0.1635,0.6051,0.2247,0.1112,0.3658,0.0161,31.5659,0.135,0.4648,28.9047,0.0252,0.0683,0.0404,0.0679,27.1097
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.0242,0.5407,0.6702,0.586,0.0784,0.2281,0.1582,30.9532,0.2397,0.3944,20.0386,0.5318,0.1801,0.0084,0.0062,16.2277
SAT_RACE08/cnf/manol-pipe-c10nidw.cnf,1,0.0016,0.3822,0.7011,0.91,0.1204,1.113,0.1239,28.7568,0.4428,0.3773,18.3807,0.6558,0.1472,0.041,0.0129,12.2343
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0,0.9288,0.5657,0.9394,0.0003,16.0824,0.028,85.9658,0.1719,0.4564,85.9658,0.5447,0.2792,0.0069,0.2058,85.9658
./SAT05/industrial/maris05/DriverLog/driverlog1_ks99i.renamed-as.sat05-3951.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT05/industrial/grieu05/vmpc/vmpc_34.renamed-as.sat05-1926.cnf,1,0,0.292,0.5473,0.6917,0,54.62,0.3937,50.0518,0,0.5955,45.2346,0.6917,0.0013,0.0055,0.1304,46.3645
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,0,1.7765,0.9221,0.9749,0.0373,3.9763,0.9636,99.6,0.4918,0.5334,84.681,0.9015,0.3087,0.0001,0.005,77.4545
