@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE CLAUSES NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE LITERALS NUMERIC

@DATA
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.333275,0.571386,652,0.750131,1911,2.185909,2737,20.837209,0.39707,2608,0.566544,5734,0.073596,0.031544,0.147192,13378
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.320236,0.574747,59.561798,0.739896,3529,2.182214,5389,1020.727273,0.400284,5301,0.558905,11020,0.05735,0.024968,0.114701,25312
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.329063,0.572797,189.246753,0.745819,24993,2.214083,29297,7261.202614,0.404318,29144,0.552799,75952,0.053099,0.022885,0.106199,176230
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321629,0.571642,37.576271,0.749346,2977,2.211322,4551,734.153846,0.406627,4434,0.564422,9256,0.050238,0.021731,0.100475,21398
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.328103,0.571528,70.040816,0.749694,11313,2.200348,13923,3531.220513,0.401925,13728,0.552723,34480,0.061688,0.026547,0.123376,80122
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.320904,0.571996,37.767857,0.748263,2797,2.200321,4341,778.162162,0.404452,4230,0.562837,8716,0.054383,0.023552,0.108765,20126
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.327708,0.57169,69.247312,0.749201,10505,2.192725,13065,3486.4,0.400398,12880,0.551587,32056,0.064824,0.027913,0.129648,74446
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330348,0.571568,120.185185,0.749572,31907,2.188702,35991,11917.283784,0.39861,35695,0.54624,96586,0.06941,0.029821,0.138819,224806
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.331071,0.571535,154.892183,0.749675,52735,2.187449,57835,20483.578378,0.39809,57465,0.544644,159286,0.070741,0.030375,0.141481,370966
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330516,0.571752,147.007782,0.749009,33825,2.212761,38037,10404.328125,0.403688,37781,0.5509,102340,0.057153,0.02456,0.114305,238152
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.313494,0.567702,20.06422,0.761487,1143,2.222161,2295,352.148148,0.412616,2187,0.575083,3646,0.045529,0.019682,0.091059,8434
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.324537,0.569792,34.067485,0.755027,3997,2.213219,5715,1106.790123,0.406281,5553,0.561789,12316,0.055619,0.023928,0.111237,28628
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.331656,0.571119,141.184805,0.750948,64129,2.198521,69243,23122.312757,0.400332,68757,0.546406,193360,0.066565,0.028548,0.13313,450848
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.333319,0.571418,1513.166667,0.750032,7924,2.102006,9349,102.740741,0.379023,9079,0.537379,23773,0.115635,0.049559,0.231271,55469
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.294955,0.594019,7183,0.683448,2923,2.179818,7183,0,0.405981,7183,0.594019,9910,0,0,0,21602
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.302049,0.580409,38.302326,0.722922,737,2.2,1689,114.095238,0.410088,1647,0.585465,2440,0.021311,0.009503,0.042623,5472
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.328287,0.572847,138.389474,0.745666,22269,2.173129,26483,8890.539683,0.395758,26294,0.545345,67834,0.072795,0.031395,0.145591,157288
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.312658,0.577039,45.268657,0.732984,1729,2.168174,3099,483.939394,0.399587,3033,0.565713,5530,0.053165,0.023374,0.106329,12578
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.302202,0.583333,57.413793,0.714286,741,2.200653,1693,85.142857,0.409722,1665,0.586082,2452,0.015498,0.006944,0.030995,5472
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.32693,0.572063,68.761364,0.74806,9717,2.191306,12277,3168.914286,0.400305,12102,0.552303,29722,0.064094,0.027633,0.128188,68940
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.318761,0.572678,35.678899,0.746182,2501,2.184553,3997,736.222222,0.401694,3889,0.562242,7846,0.059011,0.025628,0.118022,18066
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.308946,0.566842,16.878261,0.76416,967,2.202556,2055,341.649123,0.410185,1941,0.575812,3130,0.053035,0.022973,0.10607,7226
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.322417,0.569396,28.069767,0.756245,3377,2.186939,4999,1127.298246,0.401455,4828,0.559383,10474,0.067691,0.029148,0.135383,24324
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.333326,0.571423,2118.5,0.750016,15468,2.029803,17347,247.859649,0.36354,16948,0.518308,46405,0.151751,0.065037,0.303502,108277
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.313278,0.578143,62.346939,0.729675,1661,2.195775,3103,310,0.405248,3055,0.570357,5302,0.037722,0.016609,0.075443,12042
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.325854,0.573903,123.907216,0.742455,9251,2.209863,12115,2438,0.404385,12019,0.556602,28390,0.050159,0.021712,0.100317,65586
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.328148,0.573141,167.403101,0.744772,17911,2.211755,21723,5120,0.404089,21595,0.553633,54582,0.052765,0.02277,0.105529,126482
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.327513,0.573516,172.669291,0.74363,17913,2.195378,22055,5878.888889,0.400717,21929,0.550897,54694,0.059641,0.025767,0.119282,126598
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.324962,0.572552,61.677686,0.746566,5499,2.210968,7583,1384.133333,0.405179,7463,0.559132,16922,0.051531,0.022269,0.103061,39158
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.329675,0.571921,121.985782,0.748495,22317,2.210683,25949,6725.847619,0.403515,25739,0.551822,67694,0.05711,0.024564,0.11422,157382
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.319996,0.574543,55.043011,0.740514,3399,2.168518,5211,1092.608696,0.397426,5119,0.556335,10622,0.064395,0.02803,0.128789,24402
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.328967,0.572444,133.822511,0.746897,26643,2.149821,31143,12629.408696,0.390571,30913,0.539443,80990,0.085862,0.036985,0.171725,188022
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.325951,0.571493,51.866242,0.749803,6255,2.198749,8299,1859.948718,0.402363,8143,0.555796,19190,0.060657,0.026144,0.121313,44522
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.329985,0.57146,101.072993,0.749903,24405,2.189973,27967,8843.091575,0.399032,27694,0.547295,73958,0.068674,0.029508,0.137348,172124
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330511,0.571455,117.888179,0.749918,33143,2.188496,37211,12407.948718,0.398528,36899,0.546017,100278,0.069886,0.030016,0.139771,233474
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.330896,0.571452,134.795455,0.749928,43225,2.187354,47799,16594.393162,0.398147,47448,0.545053,130630,0.070803,0.030401,0.141606,304232
