@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC

@DATA
./SAT05/crafted/roussel05/visbmc-PHNF/phnf-size10-exclusive-philo.used-as.sat04-988.shuffled-as.sat05-4195.cnf,1,0.6449,1.0213,0.8588,0.6065,25.6627,4568.5
./SAT04/handmade/kexu/frb-0.8/frb45-21-1.used-as.sat04-883.cnf,1,0.9348,0.0236,0.9348,0.2623,27.6208,28.7069
./SAT11/crafted/skvortsov/battleship/battleship-11-21-sat.cnf,1,0.9052,0,0.9052,0.3136,2.6288,1.5199
./SAT05/crafted/sorge05/QG7a/gensys-brn002.shuffled-as.sat05-3935.cnf,1,0.1178,0.8806,0.0801,2.0261,0.6482,47.0583
./SAT04/handmade/kexu/frb-0.8/frb59-26-2.used-as.sat04-892.cnf,1,0.9463,0.0174,0.9463,0.2246,36.5561,43.092
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes2.cnf,1,0.9552,0.013,0.9552,0.194,49.8732,55
./SAT11/crafted/spence/sgen/sgen3-n260-s62321009-sat.cnf,1,0.6298,0.8947,0.8333,0.4506,1.0406,4.9794
./SAT11/crafted/mosoi/289/289-sat-6x19.cnf,1,0.7581,0,0.0323,0.6867,6.6574,0.0007
./SAT11/crafted/skvortsov/automata-synchronization/rnd_100_28_u.cnf,1,0.6326,0.6266,0.272,1.5594,1.5156,18.511
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0.1925,0.6696,0,0.2162,1.3049,9.0018
./SAT11/crafted/skvortsov/battleship/battleship-16-31-sat.cnf,1,0.9356,0,0.9356,0.2389,3.4461,3.0186
./SAT11/crafted/mosoi/289/289-unsat-9x32.cnf,1,0.753,0,0.012,0.6204,12.7416,48.0057
./SAT11/crafted/skvortsov/battleship/battleship-15-29-sat.cnf,1,0.9312,0,0.9312,0.2505,3.2788,1.955
./SAT11/crafted/spence/sgen/sgen3-n140-s18527668-sat.cnf,1,0.6756,0.9534,0.8333,0.4506,1.1919,3.0262
./SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0.6117,0.9821,0.8333,0.4506,1.0796,4.3764
./SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0.7674,0,0.0698,0.7761,3.8406,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1327.5-n60-p15-s1351253.cnf,1,0.9798,0.005,0.9798,0.1482,109.81,88.3333
./SAT11/crafted/mosoi/289/289-unsat-17x27.cnf,1,0.7518,0,0.0072,0.6008,17.0365,228.306
./SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.1419,0.9222,0.1019,2.6115,1.0203,14.9506
./SAT11/crafted/skvortsov/battleship/battleship-10-18-sat.cnf,1,0.8901,0,0.8901,0.3463,2.4348,0.9264
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1150c84314gyes1.cnf,1,0.9349,0.0236,0.9349,0.2605,26.8379,27.0723
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_508.cnf,1,0.077,0,0.0025,0.2904,27.5149,22.3921
./SAT05/crafted/sabharwal05/counting/php/unsat/easier/php-010-008.shuffled-as.sat05-1171.cnf,1,0.5667,1.1471,0.7667,0.6033,2.5407,2
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-24_567.cnf,1,0.0707,0,0.0088,0.3102,30.3236,27.7181
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g5.cnf,1,0.9519,0.0143,0.9519,0.2047,42.2852,53.5417
./SAT11/crafted/mosoi/289/289-sat-4x35.cnf,1,0.7571,0,0.0286,0.676,7.5948,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p15-s54275047.cnf,1,0.9757,0.0074,0.9757,0.163,75.7992,38.5806
./SAT05/crafted/sabharwal05/counting/php/unsat/easier/php-045-035.shuffled-as.sat05-1181.cnf,1,0.6999,1.0205,0.9438,0.2212,10.9682,12.9289
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g3.cnf,1,0.9523,0.0142,0.9523,0.2041,43.9316,53
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_445.cnf,1,0.0753,0,0.0112,0.3344,24.4192,23.0805
./SAT11/crafted/spence/sgen/sgen3-n300-s12830984-sat.cnf,1,0.6361,0.9873,0.8333,0.4506,1.0144,5.5777
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_060.shuffled.cnf,1,0.2105,0.7008,0,0.4757,1.6243,4.1504
./SAT05/crafted/lynce05/social-golfer-problem/sgp_5-6-8.shuffled-as.sat05-2669.cnf,1,0.6758,0.9623,0.798,0.6593,9.0277,822
./SAT09/CRAFTED/parity-games/instance_n8_i8_pp_ci_ce.cnf,1,0.8164,0.6201,0.1575,1.2695,2.5805,844.889
./SAT04/handmade/connamacher/connm-d0.02/connm-ue-csp-sat-n800-d0.02-s111845174.used-as.sat04-958.cnf,1,0.8423,0.4669,0,0.4852,3.4226,49.8299
./SAT04/handmade/kexu/frb-0.8/frb59-26-1.used-as.sat04-891.cnf,1,0.9463,0.0174,0.9463,0.2239,36.3003,276.616
./SAT09/CRAFTED/edgematching/fbcolors/em_8_4_5_fbc.cnf,1,0.7631,0.5509,0.4286,1.1418,3.5783,29.0846
./SAT05/crafted/sorge05/QG7a/gensys-ukn006.shuffled-as.sat05-3846.cnf,1,0.1384,0.878,0.0727,2.135,0.6452,51.6197
./SAT11/crafted/skvortsov/battleship/battleship-6-9-unsat.cnf,1,0.7895,0,0.7895,0.5147,1.7588,1.0574
./SAT11/crafted/skvortsov/automata-synchronization/crn_20_361_s.cnf,1,0.2739,0.9728,0.0153,0.2972,0.1959,31.6777
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g6.cnf,1,0.4111,0.597,0.0337,1.5069,11.4962,12.1485
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-220-3.shuffled-as.sat05-2490.cnf,1,0.2555,0.8294,0,0.7595,1.5759,24.3157
./SAT05/crafted/sabharwal05/counting/fphp/unsat/harder/fphp-030-029.shuffled-as.sat05-1234.cnf,1,0.729,1.0211,0.9646,0.1573,14.5742,1
./SAT02/handmade/pehoushek/twentyvars/7cnf20_90000_90000_7.shuffled.cnf,1,0.0685,0.6873,0,0,2.5884,1.9969
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes3.cnf,1,0.9545,0.0126,0.9545,0.1939,49.5251,64
./SAT03/handmade/anton/UNSAT/SGI_30_70_29_50_3-dir.shuffled-as.sat03-179.cnf,1,0.6839,1.0092,0.9662,0.1647,38.5622,12.7917
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes2.cnf,1,0.9534,0.0132,0.9534,0.1972,45.0726,54.5294
./SAT03/handmade/stanion/hwb/hwb-n28-01-S136611085.shuffled-as.sat03-1627.cnf,1,0.3472,0.7724,0.0101,1.1838,1.294,4.3166
./SAT04/handmade/kexu/frb-0.6/frb80-14-2.used-as.sat04-880.cnf,1,0.9049,0.0425,0.9049,0.3513,15.5662,42.2937
./SAT11/crafted/skvortsov/battleship/battleship-10-19-sat.cnf,1,0.8953,0,0.8953,0.3353,2.4202,0.3796
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1521_s.cnf,1,0.2615,0.9866,0.0069,0.1647,0.2739,455.2
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v945c61409gyes1.cnf,1,0.933,0.0239,0.933,0.2642,26.9584,26.9686
./SAT11/crafted/spence/sgen/sgen3-n240-s78945233-sat.cnf,1,0.6406,0.9852,0.8333,0.4506,1.0583,4.663
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-5_4231.cnf,1,0.0997,0.0509,0,0.3476,1.9432,170.5
./SAT07/crafted/spence/hard/s113-100.cnf,1,0.5,0,0,0,0.8284,1.0868
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-5_4232.cnf,1,0.0997,0.0474,0,0.345,2.2986,160.5
./SAT11/crafted/mosoi/289/289-unsat-6x34.cnf,1,0.7545,0,0.0179,0.6419,8.9036,12.3425
./SAT11/crafted/mosoi/289/289-sat-6x8.cnf,1,0.7697,0,0.0789,0.7941,3.5405,0
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1820c171155gyes3.cnf,1,0.944,0.0184,0.944,0.2317,34.3049,38.71
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_60_1-dir.shuffled-as.sat03-167.cnf,1,0.7289,1.0202,0.966,0.1686,38.5468,31.0703
./SAT11/crafted/mosoi/289/289-sat-9x13.cnf,1,0.7576,0,0.0303,0.6811,6.8892,0.0046
./SAT11/crafted/mosoi/289/289-sat-12x14.cnf,1,0.7551,0,0.0205,0.6509,7.7862,0.0411
./SAT09/CRAFTED/edgematching/compact/em_12_2_4_cmp.cnf,1,0.6253,0.4832,0.1112,1.0192,2.6966,1446.37
./SAT03/handmade/anton/UNSAT/SGI_30_60_29_30_6-dir.shuffled-as.sat03-130.cnf,1,0.7352,1.0077,0.98,0.1198,36.237,10.5625
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-4_512.cnf,1,0.5,0,0,0,1.0291,18.3205
./SAT04/handmade/marijn/equilarge-l/equilarge_l2.used-as.sat04-894.cnf,1,0.5045,0.3924,0.0763,0.594,0.4517,90.7405
./SAT05/crafted/sorge05/QG7/dead-dnd003.shuffled-as.sat05-3109.cnf,1,0.5164,0.9228,0.5065,1.4978,6.0914,13.8978
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2400c266431g10.cnf,1,0.9554,0.0129,0.9554,0.1943,46.1257,61.7241
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_3-log.shuffled-as.sat03-109.cnf,1,0.0106,0.8063,0,0.0081,1.289,10.7641
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_443.cnf,1,0.0753,0,0.0112,0.3344,24.4672,17.1252
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-16_238.cnf,1,0.1119,0,0,0.3506,13.681,16.2529
./SAT03/handmade/anton/UNSAT/SGI_30_70_21_60_7-log.shuffled-as.sat03-151.cnf,1,0.0114,0.8095,0,0.0082,1.5338,6.9102
./SAT11/crafted/spence/sgen/sgen3-n190-s29985700-unsat.cnf,1,0.5,0.5759,0,0,0.6532,1.1276
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p30-s33692332.cnf,1,0.9793,0.0072,0.9793,0.1304,57.9307,650.414
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes6.cnf,1,0.9259,0.0277,0.9259,0.2824,24.4985,23.006
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_1-log.shuffled-as.sat03-107.cnf,1,0.0104,0.8062,0,0.0083,1.2817,9.9479
./SAT02/handmade/simon/satex-challenges/par32-3.shuffled.cnf,1,0.4086,0.8047,0.0805,0.8658,0.5539,44.5087
./SAT11/crafted/skvortsov/battleship/battleship-14-14-unsat.cnf,1,0.8667,0,0.8667,0.3927,3.2711,12.9404
./SAT11/crafted/mosoi/289/289-sat-4x8.cnf,1,0.7813,0,0.125,0.8688,2.638,0
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes7.cnf,1,0.956,0.0124,0.956,0.1903,52.8931,63.9545
./SAT11/crafted/mosoi/289/289-unsat-21x14.cnf,1,0.7529,0,0.0114,0.6183,10.1197,43.403
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes5.cnf,1,0.9405,0.0207,0.9405,0.2433,30.5551,32.7113
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1504.5-n60-p30-s88600538.cnf,1,0.987,0.0035,0.987,0.0929,131.404,21234.2
./SAT05/crafted/sorge05/QG7a/gensys-ukn009.shuffled-as.sat05-3849.cnf,1,0.1382,0.884,0.0712,2.1405,0.6236,53.422
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes3.cnf,1,0.9548,0.013,0.9548,0.1949,50.4158,1199.59
./SAT03/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,0.7612,1.0138,0.9893,0.0719,32.4504,11.5349
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-5-5_34309.cnf,1,0.5,0,0,0,0.9618,1693
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2100c215164gyes4.cnf,1,0.9506,0.0144,0.9506,0.207,46.8651,599.912
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0.9397,0.0208,0.9397,0.2459,29.9518,32.9006
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1327.5-n60-p30-s52708253.cnf,1,0.9834,0.004,0.9834,0.1076,169.254,544.25
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-240-3.shuffled-as.sat05-2520.cnf,1,0.2583,0.8136,0,0.824,1.5756,26.4657
./SAT09/CRAFTED/parity-games/instance_n9_i9_pp.cnf,1,0.8316,0.5975,0.145,1.2398,7.3133,2544
./SAT11/crafted/skvortsov/battleship/battleship-12-23-sat.cnf,1,0.9134,0,0.9134,0.2947,2.7287,0.3374
./SAT11/crafted/mosoi/289/289-unsat-5x41.cnf,1,0.7546,0,0.0184,0.6438,7.956,4.7159
