@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_max NUMERIC

@DATA
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,0.0009,0.3687,0.7582,0.7174,0.0778,0.3075,0.2359,235.1361
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0,1.9187,0.5235,0.9899,0.1064,2.1996,0.5524,136.7586
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,0.0033,1.9844,1.2726,0.9545,0.2382,1.6114,0.9764,575.7273
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0,2.6384,0.593,1,0.0358,15.7202,0.9069,0
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,0,2.1534,0.5229,1,0.1086,395.696,0.9087,0
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.0173,0.169,0.6663,0.2234,0.107,0.5128,0.0223,23.2378
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.0001,0.6135,0.3541,0.9071,0.0113,3.0823,0.0943,28.8832
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,0.0017,0.4893,1.0234,0.8834,0.03,1.8712,0.6431,150.3333
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,0.0268,0.5581,0.6638,0.586,0.0793,0.2569,0.1471,33.6678
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,0,0.2865,0.5485,0.6977,0,41.1292,0.3917,38.9025
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,0.0028,1.0023,0.9215,0.9685,0.2764,6.4773,0.401,0
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,0.0171,0.1795,0.7224,0.2222,0.0959,0.7541,0.0364,0
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0.0001,0.503,1.0067,0.8792,0.028,1.612,0.6423,9.5321
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1,0.025,2.0421,1.2721,0.9844,0.2604,3.6048,0.9812,0
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0,0.4802,0.9944,0.8796,0.0255,2.3706,0.5987,16.6592
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1,0.0336,0.7205,0.6773,0.5997,0.1711,0.3231,0.1177,28.1126
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1,0.0086,3.3608,0.5025,0.9945,0.0577,23.3785,0.961,0
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.0134,1.0765,1.5565,0.9252,0.0424,0.6295,0.6633,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,1,0.0326,0.7182,0.6771,0.5983,0.171,0.1749,0.1192,31.1259
SAT_RACE08/cnf/velev-vliw-uns-4.0-9-i1.cnf,1,0,2.9522,0.752,1,0.0912,140.876,0.6001,0
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,1,0,1.2589,0.6895,0.9676,0.0003,2.5072,0.9575,174.64
./SAT03/industrial/goldberg/hard_eq_check/k2mul.miter.shuffled-as.sat03-355.cnf,1,0.0171,0.4234,0.7466,0.7804,0.0577,0.3107,0.2298,14.7017
./SAT11/application/fuhs/AProVE11/AProVE11-07.cnf,1,0.0216,0.2352,0.6562,0.4743,0.0621,0.9953,0.1576,15.6047
SAT_RACE06/ibm-2002-21r-k95.cnf,1,0.0004,0.6949,0.9999,0.92,0.0475,1.9354,0.5208,39.155
./SAT11/application/kullmann/AES/Benchmarks/128/aes_128_1_keyfind_1.cnf,1,0.0024,0.2664,0.7444,0.0908,0.1221,0.3251,0.04,28.4741
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf,1,?,?,?,?,?,?,?,?
./SAT11/application/leberre/2dimensionalstrippacking/E15N15.cnf,1,?,?,?,?,?,?,?,?
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.045-NOTKNOWN.cnf,1,0.0029,2.0203,1.2613,0.9771,0.2674,2.2244,0.9782,0
./SAT07/industrial/fuhs/hard/AProVE07-01.cnf,1,0.0028,0.6425,0.6862,0.6364,0.0739,0.4755,0.1962,65.9261
./SAT03/industrial/li/li-test4/li-test4-100.shuffled-as.sat03-370.cnf,1,0.0935,2.0614,0.7466,0.4703,0.2503,0.1771,0.1001,18.006
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,1,0,2.3209,0.5136,1,0.0747,2147.7,0.9186,0
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.045-NOTKNOWN.cnf,1,0.0028,2.0117,1.2724,0.9772,0.2674,2.2629,0.9787,830.1
./SAT03/industrial/schuppan/l2s/valves-gates-1-k617-unsat.shuffled-as.sat03-412.cnf,1,0.1476,1.1789,0.7175,0.6586,0.5,2.4647,0.1786,0
./SAT11/application/leberre/2dimensionalstrippacking/E05F18.cnf,1,0.0002,0.6184,0.4389,0.9054,0.0066,2.2266,0.1383,26.7918
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin.cnf,1,0.0007,0.3486,0.7084,0.695,0.0832,0.4752,0.1742,354.619
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top30.cnf,1,0.0313,0.5773,0.6614,0.5916,0.0825,0.5673,0.1414,27.4281
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_11_ooo.cnf,1,0,2.8577,0.4526,1,0.0123,189.118,0.8928,0
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtswvtms14x8p1-tseitin.cnf,1,0,0.4942,0.5997,0.8049,0.0777,0.4718,0.1765,28.8828
./SAT11/application/fuhs/AProVE11/AProVE11-11.cnf,1,0.0208,0.2564,0.7506,0.4822,0.0635,0.6328,0.1823,16.1104
./SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.0519,0.207,2.124,0.8319,0.3295,7.5949,0.1396,0
./SAT07/industrial/fuhs/medium/AProVE07-21.cnf,1,0.0105,0.2967,0.6166,0.5773,0.0469,0.5805,0.2034,44.7557
./SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k45.cnf,1,0.0007,0.6415,0.7733,0.9068,0.1384,0.6303,0.3348,20.6508
./SAT11/application/rintanen/SATPlanning/transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-SAT.cnf,1,0.0136,4.3411,1.2125,0.9952,0.3283,5.1623,0.9874,0
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.050-NOTKNOWN.cnf,1,0,1.2819,0.6844,0.9823,0,3.4731,0.9585,497.6667
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf,1,0,1.9281,0.5093,0.9809,0.1075,4.6466,0.5851,91
./SAT05/industrial/grieu05/vmpc/vmpc_36.renamed-as.sat05-1922.cnf,1,0,0.2928,0.5471,0.6919,0,59.2591,0.394,49.0307
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom12.cnf,1,0.0115,0.706,0.685,0.5947,0.164,0.1638,0.1608,53.0094
./SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0.0001,0.4555,1.0463,0.8596,0.0262,0.5799,0.6356,25.3062
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf,1,0.0025,1.9209,1.2703,0.943,0.218,0.9744,0.9709,549.2727
SAT-Race-2010-CNF/software-verification/nec/hard-18-U-10652.cnf,1,0,2.9214,0.7687,1,0.1563,3.8092,0.4402,0
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-17-step20.cnf,1,0.0011,0.9322,0.9718,0.9554,0.0708,1.1365,0.8938,116.272
./SAT09/APPLICATIONS/bitverif/maxxor/maxxor032.cnf,1,0.0213,0.6025,0.7644,0.5187,0.0956,0.5757,0.2537,34.1275
./SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray04_32.cnf,1,0.0094,0.3531,0.9075,0.2174,0.0387,0.1696,0.3405,20.4649
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-bobsmhdlc2-tseitin.cnf,1,0.0043,0.3446,0.7917,0.6612,0.0647,0.2158,0.2386,18.7504
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.070-NOTKNOWN.cnf,1,0,1.2893,0.6828,0.9827,0,8.7988,0.9588,0
./SAT09/APPLICATIONS/diagnosis/UTI-20-10p1.cnf,1,0,0.4363,0.9082,0.9512,0.0352,2.7937,0.512,21.2353
./SAT09/APPLICATIONS/c32sat/post-c32s-gcdm16-23.cnf,1,0.0151,0.5451,0.5895,0.7081,0.0403,0.2961,0.0741,50.6299
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp3-tseitin.cnf,1,0.0058,1.1904,0.7532,0.9574,0.243,0.1916,0.1894,0
./SAT09/APPLICATIONS/crypto/desgen/gss-21-s100.cnf,1,0.0133,1.0745,1.5427,0.9253,0.0425,0.6282,0.6596,0
./SAT02/industrial/goldberg/rand_net/rand_net60-25-10.shuffled.cnf,1,0.0098,0.822,0.8668,0.7604,0.062,0.5561,0.4984,41.868
./SAT02/industrial/dellacherie/comb/comb1.shuffled.cnf,1,0.0052,0.3644,0.7882,0.6082,0.0373,0.4589,0.3049,36.863
./SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate032.cnf,1,0.0117,0.3086,0.8011,0.3212,0.0466,0.1694,0.316,0
./SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0,0.8023,1.0326,0.6926,0.0002,2.8642,0.7657,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom13.cnf,1,0.0169,0.7063,0.6827,0.5945,0.168,0.1681,0.1544,49.2159
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,0.0212,0.7069,0.6797,0.5937,0.17,0.1465,0.1424,33.7874
./SAT05/industrial/maris05/Rovers/rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0.0018,0.8084,0.2793,0.9629,0.0293,4.2519,0.816,0
./SAT04/industrial/vangelder/cnf-color/myciel6-tr.used-as.sat04-320.cnf,1,0.0001,0.7067,0.1301,0.7546,0.0419,2.1647,0.8536,42.4251
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step16.cnf,1,0,2.9956,0.9348,1,0.4147,10.2159,0.9717,0
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step16.cnf,1,0,1.7785,0.9218,0.9748,0.0369,5.33,0.9636,550.5
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.0164,0.1624,0.5919,0.2247,0.1115,0.3364,0.0149,51.5068
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,0,2.9933,0.9351,1,0.4214,9.7596,0.9718,0
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,1,0.0016,0.4264,0.7079,0.6831,0.0834,0.4345,0.2783,20.7296
./SAT11/application/leberre/2dimensionalstrippacking/E05F20.cnf,1,0.0097,0.5796,0.252,0.9943,0.1586,3.6675,0.0489,25.7726
./SAT04/industrial/hoonsang/vis-bmc/all.used-as.sat04-986.cnf,1,0.0006,1.2677,0.6574,0.6423,0.2401,0.5823,0.1409,36.3921
SAT_RACE08/Q1/SAT_dat.k80_04.cnf,1,0.0008,0.6552,1.1177,0.8864,0.0477,0.5432,0.5867,19.2019
SAT_RACE06/velev-npe-1.0-9dlx-b71.cnf,1,?,?,?,?,?,?,?,?
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf,1,0.0002,0.4904,0.6381,0.7854,0.0835,0.3687,0.1794,24.1732
./SAT11/application/leberre/2dimensionalstrippacking/E07N15.cnf,1,?,?,?,?,?,?,?,?
./SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor128.cnf,1,0.0253,0.8792,0.7192,0.6048,0.1021,1.1858,0.2829,42.1483
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_2_keyfind_1.cnf,1,0.0035,0.2575,0.7394,0.1518,0.1343,0.2911,0.0623,40.1166
./SAT02/industrial/goldberg/rand_net/rand_net60-30-1.shuffled.cnf,1,0.0102,0.7633,0.8706,0.7345,0.0556,0.4231,0.526,0
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,1,0.0032,0.3386,0.7469,0.6679,0.0583,0.3206,0.2859,17.5205
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.0165,0.1635,0.6051,0.2247,0.1112,0.3658,0.0161,31.5659
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.0242,0.5407,0.6702,0.586,0.0784,0.2281,0.1582,30.9532
SAT_RACE08/cnf/manol-pipe-c10nidw.cnf,1,0.0016,0.3822,0.7011,0.91,0.1204,1.113,0.1239,28.7568
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0,0.9288,0.5657,0.9394,0.0003,16.0824,0.028,85.9658
./SAT05/industrial/maris05/DriverLog/driverlog1_ks99i.renamed-as.sat05-3951.cnf,1,?,?,?,?,?,?,?,?
./SAT05/industrial/grieu05/vmpc/vmpc_34.renamed-as.sat05-1926.cnf,1,0,0.292,0.5473,0.6917,0,54.62,0.3937,50.0518
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,0,1.7765,0.9221,0.9749,0.0373,3.9763,0.9636,99.6
./SAT09/APPLICATIONS/crypto/md5gen/gus-md5-12.cnf,1,0.0004,0.1787,0.4535,0.3927,0.0398,0.2457,0.0613,10.4082
./SAT02/industrial/goldberg/rand_net/rand_net60-40-10.shuffled.cnf,1,0.0099,0.6972,0.8781,0.747,0.0586,0.4472,0.5295,40.996
./SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.030-NOTKNOWN.cnf,1,0.0112,5.9293,1.205,0.9961,0.3129,6.8181,0.9909,0
./SAT05/industrial/grieu05/vmpc/vmpc_32.renamed-as.sat05-1919.cnf,1,0,0.291,0.5475,0.6916,0,51.9241,0.3933,50.7928
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom14.cnf,1,0.0197,0.7066,0.6813,0.5941,0.1696,0.1608,0.1483,36.2144
./SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k100.cnf,1,0.0008,0.6509,0.8031,0.9056,0.1374,0.1797,0.3526,22.4466
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_18_SAT.cnf,1,0,1.39,0.5166,0.9101,0.0077,28.2554,0.0194,0
./SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_19_UNKNOWN.cnf,1,0,1.5232,0.5472,0.9754,0.1853,80.865,0.0132,72.7285
SAT-Race-2010-CNF/hardware-verification/velev/1dlx_c_iq57_a.cnf,1,0,2.2924,0.5516,1,0.0367,917.005,0.8645,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom26.cnf,1,0.0351,0.7255,0.6777,0.6029,0.1712,0.2684,0.1155,26.8132
SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf,1,0.0007,0.1864,0.4341,0.3649,0.0415,0.1939,0.0807,17.0385
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k55.cnf,1,0.0024,0.6187,1.0305,0.9108,0.0671,1.0989,0.5114,15.537
./SAT09/APPLICATIONS/diagnosis/UTI-20-10p0.cnf,1,0,0.441,0.9157,0.9504,0.0342,2.7968,0.5243,138
./SAT11/application/manthey/traffic/traffic_3b_unknown.cnf,1,0,0.172,2.8765,0.4457,0.1157,4.2166,0.0913,0
./SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug4_q0.used-as.sat04-723.cnf,1,0,2.8162,0.385,1,0.2075,156.153,0.8292,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom17.cnf,1,0.024,0.7084,0.6785,0.5938,0.1703,0.2686,0.134,35.1416
./SAT11/application/leberre/2dimensionalstrippacking/E04N18.cnf,1,0.0005,0.5701,0.4955,0.9146,0.0061,1.9827,0.1734,25.1141
./SAT09/APPLICATIONS/diagnosis/UCG-15-5p0.cnf,1,0,0.4535,0.9167,0.8863,0.0377,2.0995,0.555,80.2857
./SAT02/industrial/goldberg/rand_net/rand_net70-60-10.shuffled.cnf,1,0.0097,0.6465,0.868,0.7484,0.0556,0.3646,0.5332,75.9501
./SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.001,0.5974,0.557,0.8979,0.0077,1.6657,0.2109,52.4933
./SAT04/industrial/hoonsang/vis-bmc/dekker.used-as.sat04-989.cnf,1,0.0005,1.2719,0.6983,0.6904,0.2402,0.5754,0.1653,28.5184
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_3_keyfind_1.cnf,1,0.0036,0.254,0.7311,0.1518,0.1358,0.2421,0.0526,36.9847
./SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.0083,5.8326,1.2016,0.9971,0.3138,19.7818,0.9903,0
./SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0,0.157,2.8746,0.5533,0.066,0.8557,0.0716,0
./SAT07/industrial/palacios/medium/cube-11-h14-sat.cnf,1,0.0193,0.3088,0.552,0.678,0.1304,4.9473,0.1646,0
./SAT07/industrial/crypto/mizh-sha0-36-2.cnf,1,0.0007,0.1863,0.4339,0.3649,0.0417,0.1879,0.0805,14.2681
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.130-NOTKNOWN.cnf,1,0.0086,3.3721,0.5011,0.9945,0.0576,25.6352,0.9612,0
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_4_keyfind_1.cnf,1,0.0037,0.2523,0.7273,0.152,0.1363,0.2116,0.0478,30.1963
./SAT07/industrial/anbulagan/hard-sat/partial-10-13-s.cnf,1,0,0.4929,0.9963,0.8816,0.0256,2.0432,0.6156,10.9058
./SAT09/APPLICATIONS/bitverif/countbitswegner/countbitswegner128.cnf,1,0.0023,0.7675,0.8913,0.8193,0.0305,0.3856,0.4499,11.5147
./SAT09/APPLICATIONS/crypto/desgen/gss-14-s100.cnf,1,0.0131,1.0757,1.5626,0.9251,0.0428,0.6282,0.666,0
SAT_RACE08/cnf/ibm-2004-01-k90.cnf,1,0.0027,0.6092,1.0647,0.8666,0.0497,0.9366,0.5476,16.7733
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_15_SAT.cnf,1,0,1.2804,0.5316,0.9253,0.0032,21.8953,0.0214,73.7838
./SAT09/APPLICATIONS/diagnosis/UR-10-10p1.cnf,1,0.0001,0.4645,0.9326,0.8873,0.0349,7.9267,0.5979,123.1111
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-rovers-18-step11.cnf,1,0,1.1962,1.0137,0.9648,0.0363,0.9116,0.9287,14.8154
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top29.cnf,1,0.0302,0.5719,0.6618,0.5899,0.0818,0.4988,0.1424,27.5458
./SAT02/industrial/aloul/Bart/bart17.shuffled.cnf,1,0.2186,1.0481,1.0462,0.8328,0.2386,2.0855,0.7749,39.9411
./SAT07/industrial/vliw_unsat_2.0/9dlx_vliw_at_b_iq7.cnf,1,0,2.2587,0.5254,1,0.0769,1355.73,0.9225,0
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.160-NOTKNOWN.cnf,1,0.0087,3.3298,0.5043,0.9945,0.0575,30.1882,0.9607,0
./SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w9.shuffled.cnf,1,0,0.8758,1.026,0.7443,0.0006,6.2955,0.7903,33.5661
./SAT09/APPLICATIONS/diagnosis/UCG-15-10p0.cnf,1,0,0.4568,0.9243,0.9044,0.0375,1.3859,0.5625,53.7582
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtviseisenberg1-tseitin.cnf,1,0.0016,0.4267,0.7078,0.683,0.0834,0.6142,0.2785,18.8487
./SAT11/application/fuhs/AProVE11/AProVE11-13.cnf,1,0.0423,0.2115,0.5296,0.6289,0.1447,3.7759,0.1302,0
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf,1,0,2.3975,0.5109,1,0.0569,3940.39,0.9227,0
./SAT02/industrial/aloul/Homer/homer17.shuffled.cnf,1,0.1813,1.0232,1.0802,0.8378,0.1962,3.1828,0.8293,35.0124
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-nlzbe256-tseitin.cnf,1,0,0.2647,0.7842,1,0.0283,4.6808,0.1875,0
./SAT04/industrial/vangelder/cnf-color/abb313GPIA-9-c.used-as.sat04-317.cnf,1,0.3092,0.0783,0.8021,0.9047,0.5,0.4998,0.0097,12.3497
SAT-Race-2010-CNF/software-verification/nec/hard-6-U-7061.cnf,1,0,1.7641,0.748,0.9919,0.0758,1.2611,0.4233,0
SAT-Race-2010-CNF/hardware-verification/velev/1dlx_c_iq60_a.cnf,1,0,2.3455,0.5468,1,0.0363,1136.87,0.8664,0
./SAT11/application/fuhs/AProVE11/AProVE11-10.cnf,1,0.0231,0.2117,0.5413,0.5343,0.0675,1.6475,0.1104,0
./SAT09/APPLICATIONS/diagnosis/UR-20-10p1.cnf,1,0,0.4389,0.9044,0.9647,0.0277,2.8392,0.5147,32
./SAT11/application/leberre/2dimensionalstrippacking/korf-15.cnf,1,0.0008,0.7076,0.6316,0.8762,0.0327,1.2622,0.2501,38.74
