@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC

@DATA
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.93,4.386667
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.33,5.133333
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.753769,1.326667,3.31,5.106667
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,0.264624,3.778947,7.557895,7.557895
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,0.666667,1.5,3.995,6.7
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.926667,4.453333
normalized-25s-smv.xml.mzn_AND_NODATA,1,0.535303,1.868099,7.048107,12.044558
normalized-44s-smv.xml.mzn_AND_NODATA,1,0.781991,1.278788,5.705051,11.357576
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,0.454545,2.2,6.085,10.2
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.933333,4.413333
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.926667,4.373333
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,0.666667,1.5,3.995,6.7
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,0.769231,1.3,3.3975,5.665
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,0.769231,1.3,3.3975,5.595
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,0.210721,4.745614,9.491228,9.491228
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.834492,1.198333,2.926667,4.39
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,0.145023,6.895448,13.790896,13.790896
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,0.151677,6.592965,13.18593,13.18593
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.93,4.43
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,0.103759,9.637681,19.275362,19.275362
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.75188,1.33,3.323333,5.186667
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.933333,4.48
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.931667,4.426667
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.83682,1.195,2.916667,4.43
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.326667,5.146667
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.926667,4.393333
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.326667,5.166667
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.325,5.196667
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,0.50641,1.974684,3.949367,3.949367
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,0.095217,10.502304,21.004608,21.004608
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.753769,1.326667,3.306667,5.14
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,0.769231,1.3,3.395,5.59
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.933333,4.406667
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,0.06983,14.320423,28.640845,28.640845
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.55607,1.798333,4.725,7.61
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.852273,1.173333,2.846667,4.146667
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,0.454545,2.2,6.1,10.24
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,0.666667,1.5,3.9975,6.69
normalized-43s-smv.xml.mzn_AND_NODATA,1,0.508486,1.966621,6.894938,11.444596
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.931667,4.44
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,0.769231,1.3,3.4,5.61
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,0.769231,1.3,3.395,5.58
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.931667,4.443333
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.379267,2.636667,7.231667,12.48
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,0.060146,16.626108,33.252217,33.252217
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,0.666667,1.5,3.9975,6.73
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,0.114926,8.701235,17.402469,17.402469
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,0.666667,1.5,4,6.7
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,0.666667,1.5,3.995,6.715
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.75188,1.33,3.323333,5.126667
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.55607,1.798333,4.725,7.573333
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,0.666667,1.5,3.99,6.75
normalized-army8-9ls.xml.mzn_AND_NODATA,1,0.662651,1.509091,7.236364,49.290909
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.333333,5.16
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.326667,5.193333
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,0.095217,10.502304,21.004608,21.004608
normalized-army13-24bt.xml.mzn_AND_NODATA,1,0.451613,2.214286,12.265306,137.967347
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.840336,1.19,2.9,4.393333
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,0.454545,2.2,6.095,10.425
normalized-anna-10.xml.mzn_AND_NODATA,1,0.279919,3.572464,7.144928,7.144928
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.752823,1.328333,3.316667,5.106667
normalized-army12-21bt.xml.mzn_AND_NODATA,1,0.454352,2.200935,12.058411,118.088785
normalized-army10-14ls.xml.mzn_AND_NODATA,1,0.663866,1.506329,7.696203,76.316456
normalized-army12-21ls.xml.mzn_AND_NODATA,1,0.664596,1.504673,8.056075,110.682243
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,0.288809,3.4625,9.87,17.75
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,0.287356,3.48,9.9275,17.855
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0.557103,1.795,4.715,7.59
normalized-army10-14bt.xml.mzn_AND_NODATA,1,0.460641,2.170886,11.518987,83.221519
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,0.130783,7.646226,15.292453,15.292453
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.325,5.136667
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,0.287977,3.4725,9.8975,17.885
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.926667,4.306667
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.377596,2.648333,7.266667,12.613333
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,0.454545,2.2,6.095,10.31
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.333333,5.206667
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,0.455063,2.1975,6.0875,10.36
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.328333,5.2
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,0.454545,2.2,6.095,10.415
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,0.769231,1.3,3.4,5.6
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,0.769231,1.3,3.4,5.68
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,0.769231,1.3,3.38,5.48
normalized-anna-9.xml.mzn_AND_NODATA,1,0.279919,3.572464,7.144928,7.144928
normalized-army9-12ls.xml.mzn_AND_NODATA,1,0.663342,1.507519,7.481203,61.902256
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,0.286533,3.49,9.95,17.975
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,1.278928,0.781905,3.428571,53.285714
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,0.769231,1.3,3.39,5.59
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,1.284404,0.778571,3.428571,63.285714
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,0.155023,6.450658,12.901316,12.901316
normalized-army9-12bt.xml.mzn_AND_NODATA,1,0.464223,2.154135,11.157895,68.105263
normalized-22s-smv.xml.mzn_AND_NODATA,1,0.453822,2.203509,7.934002,12.895572
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,0.666667,1.5,3.9975,6.73
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.326667,5.166667
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1.235294,0.809524,3.5,45.5
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,0.454545,2.2,6.095,10.4
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,0.095217,10.502304,21.004608,21.004608
normalized-army13-24ls.xml.mzn_AND_NODATA,1,0.664858,1.504082,8.208163,130.681633
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,0.769231,1.3,3.3975,5.64
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1.270802,0.786905,3.428571,43.285714
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.326667,5.146667
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,1.288344,0.77619,3.428571,73.285714
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.379027,2.638333,7.24,12.513333
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.333333,5.146667
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,1.22807,0.814286,3.5,38.5
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,1.176471,0.85,3.6,39.8
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,1.247525,0.801587,3.5,66.5
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1.205742,0.829365,3.555556,45.666667
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1.050193,0.952206,3.764706,20.294118
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,1.295497,0.771905,3.428571,103.285714
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,0.153206,6.52714,13.05428,13.05428
normalized-army11-17bt.xml.mzn_AND_NODATA,1,0.457355,2.186486,11.775676,99.372973
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,0.671164,1.48995,3.349964,4.313711
normalized-anna-8.xml.mzn_AND_NODATA,1,0.279919,3.572464,7.144928,7.144928
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,1.10303,0.906593,3.714286,30.142857
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,1.252033,0.798701,3.5,80.5
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,1.217391,0.821429,3.5,31.5
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,0.454545,2.2,6.1,10.42
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,1.188679,0.84127,3.555556,31.666667
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,1.186161,0.843056,3.6,51.8
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,1.291314,0.774405,3.428571,83.285714
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,0.029181,34.268465,68.53693,68.53693
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,1.118644,0.893939,3.666667,26
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,0.060146,16.626108,33.252217,33.252217
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,1.179976,0.847475,3.636364,93.909091
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,1.149826,0.869697,3.636364,33.909091
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,1.214458,0.823413,3.555556,59.666667
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,0.029181,34.268465,68.53693,68.53693
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,1.293634,0.773016,3.428571,93.285714
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,1.073684,0.931373,3.764706,28.294118
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,1.25641,0.795918,3.5,101.5
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.93,4.393333
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,0.80303,1.245283,2.962264,12.169811
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,0.515362,1.940385,4.813942,6.233654
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,1.074169,0.930952,3.75,25.25
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,1.25,0.8,3.5,73.5
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,0.289813,3.450505,6.69697,6.492929
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,1.10567,0.904429,3.692308,26.076923
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,1.104294,0.905556,3.75,49.25
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,0.625807,1.597936,3.772936,4.948624
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,0.819767,1.219858,2.964539,13.702128
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326,33.014652,33.014652
normalized-bibd-8-70-35-4-15_glb.xml.mzn_AND_NODATA,1,1.219748,0.819841,3.555556,73.666667
normalized-aim-50-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.933333,4.413333
normalized-BlackHole-4-4-e-9_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326,33.014652,33.014652
normalized-bibd-10-60-18-3-4_glb.xml.mzn_AND_NODATA,1,1.172291,0.85303,3.636364,63.909091
normalized-bqwh-18-141-23_glb.xml.mzn_AND_NODATA,1,0.810345,1.234043,2.978723,13.702128
normalized-bqwh-18-141-21_ext.xml.mzn_AND_NODATA,1,0.285714,3.5,6.794562,6.589124
normalized-bqwh-18-141-14_ext.xml.mzn_AND_NODATA,1,0.284549,3.514329,6.820513,6.612368
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,0.265344,3.768688,7.339915,7.142454
normalized-bibd-9-108-36-3-9_glb.xml.mzn_AND_NODATA,1,1.202673,0.831481,3.6,111.8
normalized-aim-200-3-4-sat-2_ext.xml.mzn_AND_NODATA,1,0.55607,1.798333,4.728333,7.606667
normalized-bqwh-18-141-27_ext.xml.mzn_AND_NODATA,1,0.292016,3.424471,6.641994,6.435045
normalized-bqwh-18-141-29_ext.xml.mzn_AND_NODATA,1,0.277349,3.605572,7.010264,6.809384
normalized-BlackHole-4-4-e-3_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326,33.014652,33.014652
normalized-bqwh-18-141-14_glb.xml.mzn_AND_NODATA,1,0.810345,1.234043,2.978723,13.702128
normalized-4-fullins-5-8.xml.mzn_AND_NODATA,1,0.053632,18.645683,37.291365,37.291365
normalized-bqwh-18-141-23_ext.xml.mzn_AND_NODATA,1,0.2692,3.714706,7.226471,7.023529
normalized-bqwh-18-141-19_glb.xml.mzn_AND_NODATA,1,0.83432,1.198582,2.943262,13.702128
normalized-bibd-9-72-24-3-6_glb.xml.mzn_AND_NODATA,1,1.196013,0.836111,3.6,75.8
normalized-bqwh-18-141-2_ext.xml.mzn_AND_NODATA,1,0.275456,3.630339,7.057437,6.854197
normalized-bibd-12-44-11-3-2_glb.xml.mzn_AND_NODATA,1,1.134171,0.881702,3.692308,48.076923
normalized-4-fullins-5-5.xml.mzn_AND_NODATA,1,0.053632,18.645683,37.291365,37.291365
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,1.244444,0.803571,3.5,59.5
normalized-bqwh-18-141-22_glb.xml.mzn_AND_NODATA,1,0.801136,1.248227,2.992908,13.702128
normalized-BlackHole-4-4-e-6_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326,33.014652,33.014652
normalized-bqwh-18-141-17_ext.xml.mzn_AND_NODATA,1,0.297003,3.366972,6.524465,6.314985
normalized-bibd-7-49-21-3-7_glb.xml.mzn_AND_NODATA,1,1.240506,0.806122,3.5,52.5
normalized-bibd-14-26-13-7-6_glb.xml.mzn_AND_NODATA,1,1.093312,0.914652,3.733333,30.2
normalized-bqwh-18-141-57_ext.xml.mzn_AND_NODATA,1,0.298988,3.344615,6.483077,6.276923
normalized-bqwh-18-141-52_ext.xml.mzn_AND_NODATA,1,0.280922,3.559701,6.914925,6.710448
normalized-bqwh-18-141-32_ext.xml.mzn_AND_NODATA,1,0.278723,3.587798,6.974702,6.77381
normalized-bibd-7-210-60-2-10_glb.xml.mzn_AND_NODATA,1,1.26506,0.790476,3.5,213.5
normalized-BlackHole-4-4-e-4_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326,33.014652,33.014652
normalized-bqwh-18-141-40_glb.xml.mzn_AND_NODATA,1,0.79661,1.255319,3,13.702128
normalized-BlackHole-4-4-e-7_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326,33.014652,33.014652
normalized-bqwh-18-141-59_ext.xml.mzn_AND_NODATA,1,0.284384,3.516369,6.834821,6.636905
normalized-bqwh-18-141-40_ext.xml.mzn_AND_NODATA,1,0.275779,3.626087,7.047826,6.843478
normalized-bqwh-18-141-15_ext.xml.mzn_AND_NODATA,1,0.287879,3.473684,6.742857,6.538346
normalized-bqwh-18-141-39_ext.xml.mzn_AND_NODATA,1,0.285163,3.506767,6.804511,6.595489
normalized-bqwh-18-141-5_ext.xml.mzn_AND_NODATA,1,0.279703,3.575221,6.946903,6.743363
normalized-bqwh-18-141-46_ext.xml.mzn_AND_NODATA,1,0.276459,3.617176,7.033479,6.832606
normalized-bqwh-18-141-41_glb.xml.mzn_AND_NODATA,1,0.815029,1.22695,2.971631,13.702128
normalized-bibd-6-30-15-3-6_glb.xml.mzn_AND_NODATA,1,1.257485,0.795238,3.428571,33.285714
normalized-bqwh-18-141-10_ext.xml.mzn_AND_NODATA,1,0.283966,3.521545,6.842496,6.641902
normalized-bqwh-18-141-71_glb.xml.mzn_AND_NODATA,1,0.819767,1.219858,2.964539,13.702128
normalized-bqwh-18-141-29_glb.xml.mzn_AND_NODATA,1,0.815029,1.22695,2.971631,13.702128
normalized-bqwh-18-141-73_glb.xml.mzn_AND_NODATA,1,0.810345,1.234043,2.978723,13.702128
normalized-bqwh-18-141-19_ext.xml.mzn_AND_NODATA,1,0.277256,3.606775,7.017673,6.821797
normalized-bqwh-18-141-36_glb.xml.mzn_AND_NODATA,1,0.819767,1.219858,2.964539,13.702128
normalized-bqwh-18-141-7_glb.xml.mzn_AND_NODATA,1,0.810345,1.234043,2.978723,13.702128
normalized-bqwh-18-141-6_ext.xml.mzn_AND_NODATA,1,0.286701,3.487952,6.768072,6.560241
normalized-bqwh-18-141-79_ext.xml.mzn_AND_NODATA,1,0.301255,3.319444,6.429012,6.219136
normalized-bqwh-18-141-72_ext.xml.mzn_AND_NODATA,1,0.296228,3.375776,6.540373,6.329193
normalized-bqwh-18-141-49_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135,2.985816,13.702128
normalized-bqwh-18-141-7_ext.xml.mzn_AND_NODATA,1,0.285714,3.5,6.79403,6.58806
normalized-bibd-8-56-28-4-12_glb.xml.mzn_AND_NODATA,1,1.214458,0.823413,3.555556,59.666667
normalized-BlackHole-4-4-e-5_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326,33.014652,33.014652
normalized-bqwh-18-141-3_ext.xml.mzn_AND_NODATA,1,0.286142,3.494768,6.781764,6.573991
normalized-bqwh-18-141-64_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135,2.985816,13.702128
normalized-bibd-11-55-15-3-3_glb.xml.mzn_AND_NODATA,1,1.153846,0.866667,3.666667,59
normalized-bqwh-18-141-87_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135,2.985816,13.702128
normalized-bqwh-18-141-66_ext.xml.mzn_AND_NODATA,1,0.279418,3.578869,6.958333,6.758929
normalized-BlackHole-4-4-e-8_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326,33.014652,33.014652
normalized-bqwh-18-141-74_ext.xml.mzn_AND_NODATA,1,0.2507,3.988827,7.780726,7.583799
normalized-bqwh-18-141-58_glb.xml.mzn_AND_NODATA,1,0.815029,1.22695,2.971631,13.702128
normalized-bqwh-18-141-82_glb.xml.mzn_AND_NODATA,1,0.801136,1.248227,2.992908,13.702128
normalized-bqwh-18-141-61_ext.xml.mzn_AND_NODATA,1,0.278005,3.597059,6.988235,6.782353
normalized-bqwh-18-141-3_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135,2.985816,13.702128
normalized-bqwh-18-141-55_ext.xml.mzn_AND_NODATA,1,0.292563,3.41807,6.621746,6.407351
normalized-bqwh-15-106-14_ext.xml.mzn_AND_NODATA,1,0.256836,3.893536,7.593156,7.39924
normalized-bqwh-18-141-41_ext.xml.mzn_AND_NODATA,1,0.293697,3.404871,6.601218,6.392694
normalized-bqwh-18-141-9_glb.xml.mzn_AND_NODATA,1,0.815029,1.22695,2.971631,13.702128
normalized-bqwh-18-141-77_ext.xml.mzn_AND_NODATA,1,0.270588,3.695652,7.188406,6.985507
normalized-bqwh-18-141-90_ext.xml.mzn_AND_NODATA,1,0.299354,3.340524,6.466872,6.252696
normalized-bibd-22-22-7-7-2_glb.xml.mzn_AND_NODATA,1,1.039014,0.962451,3.826087,26.478261
normalized-bqwh-18-141-42_ext.xml.mzn_AND_NODATA,1,0.28832,3.468373,6.731928,6.527108
normalized-C1-1-20.xml.mzn_AND_NODATA,1,0.853448,1.171717,5.279461,13.737374
normalized-C1-2-20.xml.mzn_AND_NODATA,1,0.850384,1.17594,5.317293,13.855639
normalized-bqwh-18-141-20_glb.xml.mzn_AND_NODATA,1,0.79661,1.255319,3,13.702128
normalized-bqwh-18-141-83_ext.xml.mzn_AND_NODATA,1,0.296989,3.367127,6.525346,6.316436
normalized-bqwh-18-141-90_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135,2.985816,13.702128
normalized-bqwh-18-141-47_ext.xml.mzn_AND_NODATA,1,0.281513,3.552239,6.897015,6.689552
normalized-bqwh-18-141-71_ext.xml.mzn_AND_NODATA,1,0.284139,3.519403,6.835821,6.632836
