@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC

@DATA
./SAT05/crafted/sabharwal05/ordering/gt-ordering/sat/gt-030.shuffled-as.sat05-1295.cnf,1,0.5096,0.5877,0.0175,0.0975,11.0015,1.261,0.4986
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes2.cnf,1,0.9494,0.0157,0.9494,0.2129,40.4446,525.9,0.9964
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_505.cnf,1,0.073,0,0.0099,0.321,27.3145,22.1837,1
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-17_279.cnf,1,0.1062,0,0,0.3384,15.8477,22.3273,1
./SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.7577,0,0.0306,0.682,6.8911,0.0069,1
./SAT05/crafted/sorge05/QG7a/gensys-ukn004.shuffled-as.sat05-3844.cnf,1,0.14,0.8845,0.0794,2.1248,0.7141,51.2065,0.3079
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_388.cnf,1,0.0915,0,0,0.3059,21.2435,33.6683,1
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes10.cnf,1,0.9546,0.0126,0.9546,0.1933,51.0022,2695.93,0.9973
./SAT05/crafted/sabharwal05/pebbling/grid-pebbling/unsat/grid-pbl-0250.shuffled-as.sat05-1349.shuffled-as.sat05-1349.cnf,1,0.3109,0.8866,0.0018,0.0472,0.5364,7.9255,0.375
./SAT11/crafted/skvortsov/battleship/battleship-9-17-sat.cnf,1,0.8831,0,0.8831,0.3607,2.2866,0.8798,1
./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf,1,0.8448,0.4686,0,0.4835,3.1008,61.9426,0.6621
./SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,1,0.8372,0,0.8372,0.4443,1.9216,1.0747,1
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p15-s44266159.cnf,1,0.9682,0.0127,0.9682,0.2214,37.763,99.2536,0.998
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.7118,1.0161,0.9756,0.1369,39.5103,11.5737,0.4897
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p15-s58217873.cnf,1,0.9669,0.0159,0.9669,0.237,30.9983,14.0778,0.9973
./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf,1,0.8432,0.4676,0,0.4846,3.4495,51.8103,0.6627
./SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,1,0.7619,0,0.7619,0.5489,1.5092,1.0035,1
./SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf,1,0.5443,0.9202,0.5255,1.6365,2.6775,15.6248,0.4536
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf,1,0.9536,0.0131,0.9536,0.197,50.2069,318.667,0.9971
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.9822,0,0.9822,0.0895,13.5107,0.0195,1
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-12_135.cnf,1,0.1451,0,0,0.4141,8.702,9.3027,1
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-15_218.cnf,1,0.119,0,0,0.3649,12.7827,17.521,1
./SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf,1,0.3456,0.7882,0.0101,1.1397,1.2794,4.1596,0.4245
./SAT05/crafted/sorge05/QG7a/gensys-icl005.shuffled-as.sat05-3826.cnf,1,0.1458,0.8781,0.0801,2.1398,0.7022,51.67,0.3124
./SAT11/crafted/spence/sgen/sgen3-n140-s20078956-unsat.cnf,1,0.5034,0.5767,0,0,0.746,1.1037,0.4886
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf,1,0.7058,1.0222,0.9694,0.1486,36.7272,8.8963,0.4862
./SAT11/crafted/skvortsov/battleship/battleship-14-27-sat.cnf,1,0.9261,0,0.9261,0.2636,3.109,1.4099,1
./SAT03/handmade/anton/UNSAT/SGI_30_70_22_70_7-dir.shuffled-as.sat03-154.cnf,1,0.7131,1.0131,0.9718,0.1452,41.3467,7.5683,0.4902
./SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf,1,0.3636,0.8418,0,0.4741,1.3984,1.0228,0.3939
./SAT03/handmade/bevan/cnf/marg3x3add8.shuffled-as.sat03-1449.cnf,1,0.2545,0.6736,0,0.5983,1.6543,1,0.3839
./SAT05/crafted/sorge05/QG7a/gensys-ukn003.shuffled-as.sat05-3843.cnf,1,0.1264,0.8703,0.07,2.1369,0.6316,53.4433,0.309
./SAT11/crafted/skvortsov/battleship/battleship-13-13-unsat.cnf,1,0.8571,0,0.8571,0.4101,3.0163,13.3747,1
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-6_2072.cnf,1,0.1004,0.3454,0,0.9982,6.9805,87.2564,0.775
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p30-s48700942.cnf,1,0.9713,0.01,0.9713,0.1744,43.9567,16.9612,0.9984
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_464.cnf,1,0.08,0,0.0027,0.2994,25.4655,20.4194,1
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p30-s19690873.cnf,1,0.979,0.0066,0.979,0.142,70.3192,616.4,0.9991
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,1,0.7195,1.0163,0.9697,0.1562,36.4543,6.7374,0.4885
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_99_u.cnf,1,0.2961,0.9479,0.0323,0.495,0.3286,8.6223,0.2855
./SAT04/handmade/anton/l4k4/lksat-n900-m6174-k4-l4-s819398222.used-as.sat04-929.cnf,1,0.3081,0.8892,0.0017,0.0696,0.6928,31.42,0.3696
./SAT04/handmade/anton/l5k3/lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf,1,0.4563,0.6136,0.0049,0.4319,0.7915,19.4106,0.4802
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p15-s2076598.cnf,1,0.9871,0.0048,0.9871,0.1118,26.3538,23.9741,0.9998
./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf,1,0.5419,0.7424,0.2396,0.9063,0.6973,108.052,0.4775
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-18_312.cnf,1,0.1007,0,0,0.3267,17.2726,29.7086,1
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v1375c111739g4.cnf,1,0.9349,0.0236,0.9349,0.2616,26.832,56.4521,0.9939
./SAT05/crafted/roussel05/visbmc-PHNF/phnf-size10-exclusive-philo.used-as.sat04-988.shuffled-as.sat05-4195.cnf,1,0.6449,1.0213,0.8588,0.6065,25.6627,4568.5,0.467
./SAT04/handmade/kexu/frb-0.8/frb45-21-1.used-as.sat04-883.cnf,1,0.9348,0.0236,0.9348,0.2623,27.6208,28.7069,0.9939
./SAT11/crafted/skvortsov/battleship/battleship-11-21-sat.cnf,1,0.9052,0,0.9052,0.3136,2.6288,1.5199,1
./SAT05/crafted/sorge05/QG7a/gensys-brn002.shuffled-as.sat05-3935.cnf,1,0.1178,0.8806,0.0801,2.0261,0.6482,47.0583,0.311
./SAT04/handmade/kexu/frb-0.8/frb59-26-2.used-as.sat04-892.cnf,1,0.9463,0.0174,0.9463,0.2246,36.5561,43.092,0.9959
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes2.cnf,1,0.9552,0.013,0.9552,0.194,49.8732,55,0.9972
./SAT11/crafted/spence/sgen/sgen3-n260-s62321009-sat.cnf,1,0.6298,0.8947,0.8333,0.4506,1.0406,4.9794,0.5237
./SAT11/crafted/mosoi/289/289-sat-6x19.cnf,1,0.7581,0,0.0323,0.6867,6.6574,0.0007,1
./SAT11/crafted/skvortsov/automata-synchronization/rnd_100_28_u.cnf,1,0.6326,0.6266,0.272,1.5594,1.5156,18.511,0.5839
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0.1925,0.6696,0,0.2162,1.3049,9.0018,0.3779
./SAT11/crafted/skvortsov/battleship/battleship-16-31-sat.cnf,1,0.9356,0,0.9356,0.2389,3.4461,3.0186,1
./SAT11/crafted/mosoi/289/289-unsat-9x32.cnf,1,0.753,0,0.012,0.6204,12.7416,48.0057,1
./SAT11/crafted/skvortsov/battleship/battleship-15-29-sat.cnf,1,0.9312,0,0.9312,0.2505,3.2788,1.955,1
./SAT11/crafted/spence/sgen/sgen3-n140-s18527668-sat.cnf,1,0.6756,0.9534,0.8333,0.4506,1.1919,3.0262,0.494
./SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0.6117,0.9821,0.8333,0.4506,1.0796,4.3764,0.478
./SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0.7674,0,0.0698,0.7761,3.8406,0,1
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1327.5-n60-p15-s1351253.cnf,1,0.9798,0.005,0.9798,0.1482,109.81,88.3333,0.9993
./SAT11/crafted/mosoi/289/289-unsat-17x27.cnf,1,0.7518,0,0.0072,0.6008,17.0365,228.306,1
./SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.1419,0.9222,0.1019,2.6115,1.0203,14.9506,0.294
./SAT11/crafted/skvortsov/battleship/battleship-10-18-sat.cnf,1,0.8901,0,0.8901,0.3463,2.4348,0.9264,1
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1150c84314gyes1.cnf,1,0.9349,0.0236,0.9349,0.2605,26.8379,27.0723,0.9939
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_508.cnf,1,0.077,0,0.0025,0.2904,27.5149,22.3921,1
./SAT05/crafted/sabharwal05/counting/php/unsat/easier/php-010-008.shuffled-as.sat05-1171.cnf,1,0.5667,1.1471,0.7667,0.6033,2.5407,2,0.4016
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-24_567.cnf,1,0.0707,0,0.0088,0.3102,30.3236,27.7181,1
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g5.cnf,1,0.9519,0.0143,0.9519,0.2047,42.2852,53.5417,0.9968
./SAT11/crafted/mosoi/289/289-sat-4x35.cnf,1,0.7571,0,0.0286,0.676,7.5948,0,1
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p15-s54275047.cnf,1,0.9757,0.0074,0.9757,0.163,75.7992,38.5806,0.9989
./SAT05/crafted/sabharwal05/counting/php/unsat/easier/php-045-035.shuffled-as.sat05-1181.cnf,1,0.6999,1.0205,0.9438,0.2212,10.9682,12.9289,0.4836
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g3.cnf,1,0.9523,0.0142,0.9523,0.2041,43.9316,53,0.9969
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_445.cnf,1,0.0753,0,0.0112,0.3344,24.4192,23.0805,1
./SAT11/crafted/spence/sgen/sgen3-n300-s12830984-sat.cnf,1,0.6361,0.9873,0.8333,0.4506,1.0144,5.5777,0.4778
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_060.shuffled.cnf,1,0.2105,0.7008,0,0.4757,1.6243,4.1504,0.3719
./SAT05/crafted/lynce05/social-golfer-problem/sgp_5-6-8.shuffled-as.sat05-2669.cnf,1,0.6758,0.9623,0.798,0.6593,9.0277,822,0.4876
./SAT09/CRAFTED/parity-games/instance_n8_i8_pp_ci_ce.cnf,1,0.8164,0.6201,0.1575,1.2695,2.5805,844.889,0.5329
./SAT04/handmade/connamacher/connm-d0.02/connm-ue-csp-sat-n800-d0.02-s111845174.used-as.sat04-958.cnf,1,0.8423,0.4669,0,0.4852,3.4226,49.8299,0.6631
./SAT04/handmade/kexu/frb-0.8/frb59-26-1.used-as.sat04-891.cnf,1,0.9463,0.0174,0.9463,0.2239,36.3003,276.616,0.9959
./SAT09/CRAFTED/edgematching/fbcolors/em_8_4_5_fbc.cnf,1,0.7631,0.5509,0.4286,1.1418,3.5783,29.0846,0.6035
./SAT05/crafted/sorge05/QG7a/gensys-ukn006.shuffled-as.sat05-3846.cnf,1,0.1384,0.878,0.0727,2.135,0.6452,51.6197,0.3077
./SAT11/crafted/skvortsov/battleship/battleship-6-9-unsat.cnf,1,0.7895,0,0.7895,0.5147,1.7588,1.0574,1
./SAT11/crafted/skvortsov/automata-synchronization/crn_20_361_s.cnf,1,0.2739,0.9728,0.0153,0.2972,0.1959,31.6777,0.2665
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g6.cnf,1,0.4111,0.597,0.0337,1.5069,11.4962,12.1485,0.4323
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-220-3.shuffled-as.sat05-2490.cnf,1,0.2555,0.8294,0,0.7595,1.5759,24.3157,0.368
./SAT05/crafted/sabharwal05/counting/fphp/unsat/harder/fphp-030-029.shuffled-as.sat05-1234.cnf,1,0.729,1.0211,0.9646,0.1573,14.5742,1,0.4855
./SAT02/handmade/pehoushek/twentyvars/7cnf20_90000_90000_7.shuffled.cnf,1,0.0685,0.6873,0,0,2.5884,1.9969,0.3193
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes3.cnf,1,0.9545,0.0126,0.9545,0.1939,49.5251,64,0.9973
./SAT03/handmade/anton/UNSAT/SGI_30_70_29_50_3-dir.shuffled-as.sat03-179.cnf,1,0.6839,1.0092,0.9662,0.1647,38.5622,12.7917,0.4914
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes2.cnf,1,0.9534,0.0132,0.9534,0.1972,45.0726,54.5294,0.9971
./SAT03/handmade/stanion/hwb/hwb-n28-01-S136611085.shuffled-as.sat03-1627.cnf,1,0.3472,0.7724,0.0101,1.1838,1.294,4.3166,0.43
./SAT04/handmade/kexu/frb-0.6/frb80-14-2.used-as.sat04-880.cnf,1,0.9049,0.0425,0.9049,0.3513,15.5662,42.2937,0.9867
./SAT11/crafted/skvortsov/battleship/battleship-10-19-sat.cnf,1,0.8953,0,0.8953,0.3353,2.4202,0.3796,1
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1521_s.cnf,1,0.2615,0.9866,0.0069,0.1647,0.2739,455.2,0.2575
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v945c61409gyes1.cnf,1,0.933,0.0239,0.933,0.2642,26.9584,26.9686,0.9937
./SAT11/crafted/spence/sgen/sgen3-n240-s78945233-sat.cnf,1,0.6406,0.9852,0.8333,0.4506,1.0583,4.663,0.4764
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-5_4231.cnf,1,0.0997,0.0509,0,0.3476,1.9432,170.5,0.997
./SAT07/crafted/spence/hard/s113-100.cnf,1,0.5,0,0,0,0.8284,1.0868,1
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-5_4232.cnf,1,0.0997,0.0474,0,0.345,2.2986,160.5,0.9974
./SAT11/crafted/mosoi/289/289-unsat-6x34.cnf,1,0.7545,0,0.0179,0.6419,8.9036,12.3425,1
./SAT11/crafted/mosoi/289/289-sat-6x8.cnf,1,0.7697,0,0.0789,0.7941,3.5405,0,1
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1820c171155gyes3.cnf,1,0.944,0.0184,0.944,0.2317,34.3049,38.71,0.9956
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_60_1-dir.shuffled-as.sat03-167.cnf,1,0.7289,1.0202,0.966,0.1686,38.5468,31.0703,0.4865
./SAT11/crafted/mosoi/289/289-sat-9x13.cnf,1,0.7576,0,0.0303,0.6811,6.8892,0.0046,1
./SAT11/crafted/mosoi/289/289-sat-12x14.cnf,1,0.7551,0,0.0205,0.6509,7.7862,0.0411,1
./SAT09/CRAFTED/edgematching/compact/em_12_2_4_cmp.cnf,1,0.6253,0.4832,0.1112,1.0192,2.6966,1446.37,0.4311
./SAT03/handmade/anton/UNSAT/SGI_30_60_29_30_6-dir.shuffled-as.sat03-130.cnf,1,0.7352,1.0077,0.98,0.1198,36.237,10.5625,0.4941
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-4_512.cnf,1,0.5,0,0,0,1.0291,18.3205,1
./SAT04/handmade/marijn/equilarge-l/equilarge_l2.used-as.sat04-894.cnf,1,0.5045,0.3924,0.0763,0.594,0.4517,90.7405,0.4807
./SAT05/crafted/sorge05/QG7/dead-dnd003.shuffled-as.sat05-3109.cnf,1,0.5164,0.9228,0.5065,1.4978,6.0914,13.8978,0.4455
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2400c266431g10.cnf,1,0.9554,0.0129,0.9554,0.1943,46.1257,61.7241,0.9972
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_3-log.shuffled-as.sat03-109.cnf,1,0.0106,0.8063,0,0.0081,1.289,10.7641,0.245
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_443.cnf,1,0.0753,0,0.0112,0.3344,24.4672,17.1252,1
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-16_238.cnf,1,0.1119,0,0,0.3506,13.681,16.2529,1
./SAT03/handmade/anton/UNSAT/SGI_30_70_21_60_7-log.shuffled-as.sat03-151.cnf,1,0.0114,0.8095,0,0.0082,1.5338,6.9102,0.2476
./SAT11/crafted/spence/sgen/sgen3-n190-s29985700-unsat.cnf,1,0.5,0.5759,0,0,0.6532,1.1276,0.4832
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p30-s33692332.cnf,1,0.9793,0.0072,0.9793,0.1304,57.9307,650.414,0.9991
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes6.cnf,1,0.9259,0.0277,0.9259,0.2824,24.4985,23.006,0.9923
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_1-log.shuffled-as.sat03-107.cnf,1,0.0104,0.8062,0,0.0083,1.2817,9.9479,0.2464
./SAT02/handmade/simon/satex-challenges/par32-3.shuffled.cnf,1,0.4086,0.8047,0.0805,0.8658,0.5539,44.5087,0.4183
./SAT11/crafted/skvortsov/battleship/battleship-14-14-unsat.cnf,1,0.8667,0,0.8667,0.3927,3.2711,12.9404,1
./SAT11/crafted/mosoi/289/289-sat-4x8.cnf,1,0.7813,0,0.125,0.8688,2.638,0,1
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes7.cnf,1,0.956,0.0124,0.956,0.1903,52.8931,63.9545,0.9974
./SAT11/crafted/mosoi/289/289-unsat-21x14.cnf,1,0.7529,0,0.0114,0.6183,10.1197,43.403,1
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes5.cnf,1,0.9405,0.0207,0.9405,0.2433,30.5551,32.7113,0.9949
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1504.5-n60-p30-s88600538.cnf,1,0.987,0.0035,0.987,0.0929,131.404,21234.2,0.9996
./SAT05/crafted/sorge05/QG7a/gensys-ukn009.shuffled-as.sat05-3849.cnf,1,0.1382,0.884,0.0712,2.1405,0.6236,53.422,0.3059
