@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC

@DATA
2-fullins-3-4.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615,263,7.730769,263,0,0.148669,0.063836,263,263,52,0.038462,0.038462,0.151584
2-fullins-3-5.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615,184,7.730769,184,0,0.148669,0.063836,184,184,52,0.038462,0.038462,0.151584
2-fullins-4-4.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,263,15.292453,263,0,0.072134,0.021882,263,263,212,0.009434,0.009434,0.072476
2-fullins-4-5.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,184,15.292453,184,0,0.072134,0.021882,184,184,212,0.009434,0.009434,0.072476
2-fullins-4-6.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,169,15.292453,169,0,0.072134,0.021882,169,169,212,0.009434,0.009434,0.072476
2-fullins-5-4.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,263,28.640845,263,0,0.033616,0.007851,263,263,852,0.002347,0.002347,0.033656
2-fullins-5-5.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,184,28.640845,184,0,0.033616,0.007851,184,184,852,0.002347,0.002347,0.033656
2-fullins-5-6.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,169,28.640845,169,0,0.033616,0.007851,169,169,852,0.002347,0.002347,0.033656
2-fullins-5-7.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,154,28.640845,154,0,0.033616,0.007851,154,154,852,0.002347,0.002347,0.033656
2-insertions-3-3.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108,324,3.891892,324,0,0.105186,0,324,324,37,0.054054,0.054054,0.108108
2-insertions-3-4.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108,263,3.891892,263,0,0.105186,0,263,263,37,0.054054,0.054054,0.108108
2-insertions-4-3.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,324,7.261745,324,0,0.048737,0,324,324,149,0.013423,0.013423,0.049066
2-insertions-4-4.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,263,7.261745,263,0,0.048737,0,263,263,149,0.013423,0.013423,0.049066
2-insertions-4-5.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,184,7.261745,184,0,0.048737,0,184,184,149,0.013423,0.013423,0.049066
2-insertions-5-3.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,324,13.18593,324,0,0.022087,0,324,324,597,0.00335,0.00335,0.022124
2-insertions-5-4.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,263,13.18593,263,0,0.022087,0,263,263,597,0.00335,0.00335,0.022124
2-insertions-5-5.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,184,13.18593,184,0,0.022087,0,184,184,597,0.00335,0.00335,0.022124
2-insertions-5-6.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,169,13.18593,169,0,0.022087,0,169,169,597,0.00335,0.00335,0.022124
3-fullins-3-5.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875,184,8.65,184,0,0.108125,0.051742,184,184,80,0.025,0.025,0.109494
3-fullins-3-6.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875,169,8.65,169,0,0.108125,0.051742,169,169,80,0.025,0.025,0.109494
3-fullins-4-5.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,184,17.402469,184,0,0.042969,0.01485,184,184,405,0.004938,0.004938,0.043075
3-fullins-4-6.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,169,17.402469,169,0,0.042969,0.01485,169,169,405,0.004938,0.004938,0.043075
3-fullins-4-7.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,154,17.402469,154,0,0.042969,0.01485,154,154,405,0.004938,0.004938,0.043075
3-fullins-5-5.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,184,33.252217,184,0,0.01638,0.004678,184,184,2030,0.000985,0.000985,0.016388
3-fullins-5-6.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,169,33.252217,169,0,0.01638,0.004678,169,169,2030,0.000985,0.000985,0.016388
3-fullins-5-7.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,154,33.252217,154,0,0.01638,0.004678,154,154,2030,0.000985,0.000985,0.016388
3-fullins-5-8.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,136,33.252217,136,0,0.01638,0.004678,136,136,2030,0.000985,0.000985,0.016388
3-insertions-3-3.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429,324,3.928571,324,0,0.070153,0,324,324,56,0.035714,0.035714,0.071429
3-insertions-3-4.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429,263,3.928571,263,0,0.070153,0,263,263,56,0.035714,0.035714,0.071429
3-insertions-4-3.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,324,7.44484,324,0,0.026494,0,324,324,281,0.007117,0.007117,0.026589
3-insertions-4-4.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,263,7.44484,263,0,0.026494,0,263,263,281,0.007117,0.007117,0.026589
3-insertions-4-5.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,184,7.44484,184,0,0.026494,0,184,184,281,0.007117,0.007117,0.026589
3-insertions-5-3.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,324,13.790896,324,0,0.009809,0,324,324,1406,0.001422,0.001422,0.009816
3-insertions-5-4.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,263,13.790896,263,0,0.009809,0,263,263,1406,0.001422,0.001422,0.009816
3-insertions-5-5.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,184,13.790896,184,0,0.009809,0,184,184,1406,0.001422,0.001422,0.009816
3-insertions-5-6.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,169,13.790896,169,0,0.009809,0,169,169,1406,0.001422,0.001422,0.009816
4-fullins-3-6.xml.watchless.minion.gz,1,0.061404,0.289676,0.201754,0.061404,169,9.491228,169,0,0.083256,0.044685,169,169,114,0.017544,0.017544,0.083993
4-fullins-3-7.xml.watchless.minion.gz,1,0.061404,0.289676,0.201754,0.061404,154,9.491228,154,0,0.083256,0.044685,154,154,114,0.017544,0.017544,0.083993
4-fullins-4-6.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,169,19.275362,169,0,0.027935,0.011068,169,169,690,0.002899,0.002899,0.027976
4-fullins-4-7.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,154,19.275362,154,0,0.027935,0.011068,154,154,690,0.002899,0.002899,0.027976
4-fullins-4-8.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,136,19.275362,136,0,0.027935,0.011068,136,136,690,0.002899,0.002899,0.027976
4-fullins-5-5.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,184,37.291365,184,0,0.008995,0.003157,184,184,4146,0.000482,0.000482,0.008997
4-fullins-5-6.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,169,37.291365,169,0,0.008995,0.003157,169,169,4146,0.000482,0.000482,0.008997
4-fullins-5-7.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,154,37.291365,154,0,0.008995,0.003157,154,154,4146,0.000482,0.000482,0.008997
4-fullins-5-8.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,136,37.291365,136,0,0.008995,0.003157,136,136,4146,0.000482,0.000482,0.008997
4-insertions-3-3.xml.watchless.minion.gz,1,0.037975,0.450984,0.164557,0.050633,324,3.949367,324,0,0.049992,0,324,324,79,0.025316,0.025316,0.050633
4-insertions-3-4.xml.watchless.minion.gz,1,0.037975,0.450984,0.164557,0.050633,263,3.949367,263,0,0.049992,0,263,263,79,0.025316,0.025316,0.050633
4-insertions-4-3.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,324,7.557895,324,0,0.015911,0,324,324,475,0.004211,0.004211,0.015945
4-insertions-4-4.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,263,7.557895,263,0,0.015911,0,263,263,475,0.004211,0.004211,0.015945
4-insertions-4-5.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,184,7.557895,184,0,0.015911,0,184,184,475,0.004211,0.004211,0.015945
5-fullins-3-6.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,169,10.285714,169,0,0.06679,0.039801,169,169,154,0.012987,0.012987,0.067227
5-fullins-3-7.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,154,10.285714,154,0,0.06679,0.039801,154,154,154,0.012987,0.012987,0.067227
5-fullins-3-8.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,136,10.285714,136,0,0.06679,0.039801,136,136,154,0.012987,0.012987,0.067227
5-fullins-4-6.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,169,21.004608,169,0,0.019359,0.008712,169,169,1085,0.001843,0.001843,0.019377
5-fullins-4-7.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,154,21.004608,154,0,0.019359,0.008712,154,154,1085,0.001843,0.001843,0.019377
5-fullins-4-8.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,136,21.004608,136,0,0.019359,0.008712,136,136,1085,0.001843,0.001843,0.019377
5-fullins-4-9.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,96,21.004608,96,0,0.019359,0.008712,96,96,1085,0.001843,0.001843,0.019377
abb313GPIA-10.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,104,83.994862,104,0,0.044019,0.440231,104,104,1557,0.001285,0.001285,0.044047
abb313GPIA-5.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,184,83.994862,184,0,0.044019,0.440231,184,184,1557,0.001285,0.001285,0.044047
abb313GPIA-7.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,154,83.994862,154,0,0.044019,0.440231,154,154,1557,0.001285,0.001285,0.044047
abb313GPIA-8.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,136,83.994862,136,0,0.044019,0.440231,136,136,1557,0.001285,0.001285,0.044047
abb313GPIA-9.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,96,83.994862,96,0,0.044019,0.440231,96,96,1557,0.001285,0.001285,0.044047
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.05,0.796046,0.11,0.07,131.24026,4.61,121,154,0.0712,0.300758,136,114,100,0.029935,0.029935,0.071919
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.05,0.795805,0.09,0.07,127.647436,4.67,114,156,0.071,0.291397,128,114,100,0.029936,0.029936,0.071717
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.05,0.795776,0.09,0.07,126.884615,4.68,114,156,0.0734,0.292261,128,114,100,0.03,0.03,0.074141
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.05,0.795656,0.11,0.07,125.949045,4.71,114,157,0.0726,0.283001,128,114,100,0.03,0.03,0.073333
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.06,0.795656,0.13,0.08,127.726115,4.71,114,157,0.082,0.256906,136,114,100,0.03,0.03,0.082828
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.05,0.796552,0.13,0.08,136.14,4.48,121,150,0.078,0.244708,136,114,100,0.029867,0.029867,0.078788
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.05,0.796287,0.1,0.08,130.105263,4.55,121,152,0.0796,0.262989,136,114,100,0.029934,0.029934,0.080404
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.06,0.79571,0.12,0.08,130.146497,4.69,121,157,0.0812,0.233664,136,114,100,0.029873,0.029873,0.08202
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.07,0.791291,0.11,0.09,127.85567,5.81,121,194,0.0896,0.256198,128,114,100,0.029948,0.029948,0.090505
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.07,0.790977,0.12,0.09,129.040609,5.89,121,197,0.0928,0.266276,136,114,100,0.029898,0.029898,0.093737
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.06,0.791635,0.1,0.09,132.303665,5.72,121,191,0.089,0.240865,136,114,100,0.029948,0.029948,0.089899
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.07,0.79115,0.12,0.09,127.6,5.85,121,195,0.0922,0.266799,136,114,100,0.03,0.03,0.093131
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.07,0.791037,0.12,0.105,128.943878,5.88,121,196,0.1034,0.203524,136,114,100,0.03,0.03,0.104444
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.07,0.791492,0.11,0.1,128.71875,5.76,114,192,0.1014,0.210251,136,114,100,0.03,0.03,0.102424
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.08,0.791431,0.12,0.1,128.911917,5.77,114,193,0.0988,0.213915,136,114,100,0.029896,0.029896,0.099798
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.07,0.791607,0.11,0.1,130.308901,5.73,114,191,0.0998,0.208253,136,114,100,0.03,0.03,0.100808
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.11,0.780003,0.17,0.15,132.43125,9.59,121,320,0.1494,0.223638,136,114,100,0.029969,0.029969,0.150909
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.12,0.780308,0.18,0.15,136.14557,9.45,121,316,0.15,0.22448,136,114,100,0.029905,0.029905,0.151515
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.11,0.780538,0.18,0.15,135.653846,9.36,114,312,0.1476,0.229624,136,114,100,0.03,0.03,0.149091
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.12,0.780208,0.17,0.15,133.725552,9.5,114,317,0.149,0.224893,136,114,100,0.029968,0.029968,0.150505
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.2,0.769331,0.26,0.24,135.445438,16.74,121,559,0.2414,0.276498,136,114,100,0.029946,0.029946,0.243838
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.19,0.769318,0.25,0.24,134.50805,16.76,121,559,0.2398,0.275169,136,114,100,0.029982,0.029982,0.242222
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.2,0.769267,0.28,0.25,133.966132,16.81,121,561,0.2466,0.270754,136,114,100,0.029964,0.029964,0.249091
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.2,0.769022,0.26,0.24,132.085965,17.06,121,570,0.241,0.271467,136,114,100,0.02993,0.02993,0.243434
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.025,0.795331,0.055,0.035,126.387302,4.72,121,315,0.037,0.265766,128,114,200,0.014984,0.014984,0.037186
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.025,0.795271,0.065,0.035,126.990506,4.735,114,316,0.03695,0.274864,136,114,200,0.014984,0.014984,0.037136
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.025,0.79557,0.055,0.035,128.553055,4.66,121,311,0.0368,0.264593,136,114,200,0.014984,0.014984,0.036985
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.025,0.795191,0.06,0.035,127.578616,4.75,121,318,0.03695,0.270617,136,114,200,0.014937,0.014937,0.037136
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.03,0.795749,0.055,0.04,129.62987,4.615,114,308,0.0418,0.203094,136,114,200,0.014984,0.014984,0.04201
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.03,0.796105,0.085,0.04,131.463576,4.525,121,302,0.0419,0.207924,136,114,200,0.014983,0.014983,0.042111
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.025,0.795703,0.06,0.04,130.414239,4.625,121,309,0.04035,0.224664,136,114,200,0.014968,0.014968,0.040553
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.03,0.795257,0.06,0.04,125.993671,4.74,114,316,0.04245,0.213373,128,114,200,0.015,0.015,0.042663
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.035,0.791154,0.055,0.045,128.178756,5.785,121,386,0.0463,0.221781,136,114,200,0.014987,0.014987,0.046533
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.035,0.791381,0.055,0.045,129.712042,5.725,121,382,0.04625,0.222263,128,114,200,0.014987,0.014987,0.046482
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.03,0.791097,0.055,0.045,128.891473,5.8,121,387,0.04625,0.223516,136,114,200,0.014987,0.014987,0.046482
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.035,0.790997,0.06,0.045,128.282776,5.825,121,389,0.0463,0.220676,136,114,200,0.014974,0.014974,0.046533
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.035,0.790984,0.06,0.055,128.323907,5.83,121,389,0.0518,0.175146,136,114,200,0.014987,0.014987,0.05206
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.04,0.791324,0.06,0.05,130.506527,5.74,114,383,0.0514,0.168009,136,114,200,0.014987,0.014987,0.051658
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.04,0.791054,0.06,0.05,130.451031,5.81,121,388,0.0516,0.170337,136,114,200,0.014974,0.014974,0.051859
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.04,0.790842,0.06,0.055,128.561224,5.865,121,392,0.0522,0.170823,136,114,200,0.014962,0.014962,0.052462
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.06,0.779643,0.095,0.075,131.900929,9.68,121,646,0.0775,0.164085,136,114,200,0.014985,0.014985,0.077889
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.06,0.779963,0.09,0.075,133.382075,9.54,121,636,0.0766,0.163052,136,114,200,0.015,0.015,0.076985
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.06,0.77981,0.085,0.075,132.792512,9.605,121,641,0.077,0.166277,136,114,200,0.014984,0.014984,0.077387
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.06,0.779743,0.095,0.075,131.953344,9.635,121,643,0.07685,0.16644,136,114,200,0.014984,0.014984,0.077236
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.12,0.768757,0.165,0.1525,128.321181,17.24,114,1152,0.1515,0.172551,136,114,200,0.014965,0.014965,0.152261
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.12,0.768523,0.16,0.155,128.079555,17.5,121,1169,0.1527,0.175753,136,114,200,0.01497,0.01497,0.153467
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.125,0.768748,0.165,0.155,128.948785,17.255,114,1152,0.1524,0.172687,136,114,200,0.014978,0.014978,0.153166
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.12,0.768699,0.16,0.155,128.551038,17.305,121,1156,0.1515,0.176531,136,114,200,0.01497,0.01497,0.152261
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.1,0.79658,0.2,0.14,128.766234,4.62,114,77,0.1416,0.337595,136,114,50,0.06,0.06,0.14449
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.1,0.796826,0.14,0.14,130.631579,4.56,121,76,0.1416,0.33219,136,114,50,0.06,0.06,0.14449
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.1,0.796433,0.18,0.14,133.833333,4.64,121,78,0.14,0.312619,136,114,50,0.059487,0.059487,0.142857
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.1,0.796679,0.16,0.14,133.701299,4.58,121,77,0.1376,0.325632,145,114,50,0.059481,0.059481,0.140408
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.1,0.798562,0.16,0.14,138.681159,4.12,114,69,0.1392,0.329455,136,114,50,0.05971,0.05971,0.142041
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.1,0.79658,0.2,0.16,130.441558,4.62,121,77,0.152,0.328612,136,114,50,0.06,0.06,0.155102
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.1,0.798329,0.22,0.14,144.714286,4.18,121,70,0.14,0.307429,136,114,50,0.059714,0.059714,0.142857
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.1,0.796826,0.22,0.14,132.526316,4.56,121,76,0.1544,0.305962,136,114,50,0.06,0.06,0.157551
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.12,0.792436,0.22,0.18,130.744681,5.64,121,94,0.1744,0.299101,128,114,50,0.06,0.06,0.177959
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.14,0.792021,0.18,0.18,130.854167,5.74,114,96,0.172,0.303186,136,114,50,0.059792,0.059792,0.17551
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.14,0.791967,0.18,0.18,129.104167,5.76,121,96,0.176,0.308798,128,114,50,0.06,0.06,0.179592
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.12,0.79249,0.18,0.16,134.297872,5.62,121,94,0.1632,0.292651,136,114,50,0.059787,0.059787,0.166531
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.16,0.791735,0.22,0.2,127.639175,5.82,114,97,0.1976,0.266245,128,114,50,0.06,0.06,0.201633
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.14,0.792436,0.22,0.2,132.202128,5.64,114,94,0.192,0.291019,136,114,50,0.06,0.06,0.195918
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.14,0.79291,0.22,0.18,134.902174,5.52,121,92,0.1864,0.254244,136,114,50,0.06,0.06,0.190204
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.14,0.792302,0.2,0.2,131.578947,5.66,121,95,0.1864,0.284263,136,114,50,0.059579,0.059579,0.190204
