@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC

@DATA
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0.5733,0.6186,0.4079,0.135,0.4828,0.2042,1.4091,0.8766,0.291,0.4628,0.0691,2.6635,0.0181,0.0676,0.1317,0.0533
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,2.3211,0.7889,0.5045,0.438,0.7211,0.2072,1.2865,1.001,0.6056,0.4177,0.0712,2.7282,0.1174,0.0543,0.1155,0.0386
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.515,0.6051,0.4036,0.135,0.4731,0.2023,1.3961,0.8682,0.2829,0.4648,0.0683,2.6419,0.0161,0.068,0.1317,0.0541
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.2666,0.5036,0.9607,0.5,0.9978,0.0571,0.6491,0.1789,1.9072,0.7893,0.326,1.7591,0.9607,0.0354,0.0733,0.0142
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,1.092,0.9944,0.7393,0.1588,0.8754,0.176,1.3813,1.0292,0.5067,0.3878,0.1634,2.5698,0.5987,0.0158,0.0301,0.0156
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.0308,2.124,0.2316,0.5,0.3436,0.1019,0.6002,0.8757,0.8793,0.0881,0.0605,4.0874,0.1396,0.2415,0.3457,0.2835
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.9554,0.9814,0.7314,0.1312,0.8711,0.1739,1.3793,1.0378,0.5444,0.3892,0.1635,2.5548,0.5856,0.0159,0.0298,0.0165
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,2.1871,1.0463,0.7631,0.2037,0.8874,0.1843,1.3814,1.006,0.4013,0.3767,0.1552,2.6926,0.6356,0.0158,0.0323,0.0141
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,6.9416,0.7266,0.4556,0.5,0.6942,0.1531,1.85,1.6907,3.4805,0.5243,0.1921,3.2201,0.4006,0.2014,0.4009,0.2375
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,0.1772,0.9241,0.9746,0.5,0.9692,0.025,0.9209,0.9077,3.6567,0.2175,0.2414,4.8329,0.4047,0.1099,0.5,0.0123
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,1.5064,0.4117,0.5294,0.1579,0.5407,0.1696,1.0047,0.9018,0.6085,0.4056,0.0385,2.3627,0.0718,0.0312,0.0485,0.0291
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,8.085,0.5895,0.3976,0.26,0.5433,0.1443,1.5499,1.1992,1.2728,0.3964,0.1052,2.6941,0.0742,0.037,0.084,0.0326
SAT_RACE2008/post-c32s-ss-8.cnf,1,2.9061,0.7935,0.5865,0.217,0.8711,0.2086,1.3213,1.0619,1.065,0.444,0.124,2.1911,0.4161,0.0658,0.1335,0.0496
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0.0891,2.8746,0.1254,0.3768,0.1929,0.0454,0.4423,0.627,1.515,0.0543,0.0506,4.8535,0.0716,0.0436,0.1562,0.0047
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,3.1589,0.66,0.5371,1,0.7589,0.1138,1.3954,1.2942,1.4973,0.4971,0.1635,3.0333,0.1814,0.0629,0.126,0.0556
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,5.0535,0.7173,0.4731,0.4628,0.4602,0.1295,1.7932,1.6396,1.548,0.3744,0.1496,2.9175,0.1344,0.0744,0.1496,0.0705
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,4.8307,0.7062,0.4543,0.443,0.4693,0.1328,1.7619,1.6207,1.5143,0.3748,0.1516,3.0647,0.1229,0.0786,0.1473,0.0738
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0,0.5487,0.9993,0,0.9993,0.0085,0.677,0.6749,0.0058,0.5937,0.0021,0.7668,0.3914,0,0,0
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,0.1466,0.9923,0.6226,0.0827,0.8234,0.1484,1.3864,0.9445,1.552,0.4665,0.1231,2.6774,0.7751,0.0178,0.0259,0.0189
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.675,0.5657,0.8911,0.1719,0.8911,0.0114,0.6857,0.5773,1.086,0.4564,0.2792,4.1294,0.028,0.0054,0.0232,0
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,2.6433,1.1117,0.6426,0.3221,0.6952,0.1562,1.8346,1.5217,0.9423,0.3278,0.1366,3.4864,0.5517,0.0331,0.0849,0.0184
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,0.0534,2.8706,0.121,0.3432,0.1885,0.0416,0.4411,0.6182,1.4593,0.0539,0.0395,4.9338,0.0669,0.0397,0.1493,0.0029
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,4.7944,0.7078,0.4583,0.439,0.4697,0.1341,1.7915,1.6385,1.3359,0.3755,0.1548,3.1408,0.127,0.079,0.1482,0.0736
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,1.9531,1.0178,0.7373,0.2021,0.9035,0.1628,1.3521,1.021,0.5586,0.3624,0.1595,2.8214,0.5669,0.0148,0.0317,0.013
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,5.5414,0.7279,0.5068,0.435,0.483,0.1236,1.8652,1.7163,1.7985,0.3647,0.1523,2.9222,0.1298,0.0721,0.1481,0.066
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,3.0739,0.7719,0.6098,0.9998,0.7678,0.2187,1.5615,1.3846,1.9496,0.415,0.136,2.8718,0.1966,0.1651,0.3185,0.1963
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,0.1264,0.752,0.9461,0.5,0.953,0.0429,1.3269,0.9783,7.5865,0.5373,0.2587,4.3628,0.6001,0.0854,0.3485,0.0024
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,1.1328,1.0067,0.7554,0.1341,0.8637,0.1882,1.3876,1.0079,0.4219,0.3982,0.1602,2.5265,0.6423,0.0169,0.0327,0.0165
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,55.6739,0.7297,0.0627,0.5,0.0352,0.0192,1.9686,1.0838,2.0992,0.31,0.1396,3.9039,0.0114,0.2,0.4164,0.1667
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,0.6139,0.5701,0.9173,0.1933,0.9173,0.0067,0.6531,0.4562,1.1579,0.4652,0.2849,4.1497,0.0167,0.0052,0.0175,0
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.4801,0.5919,0.4053,0.135,0.4674,0.2012,1.383,0.863,0.2778,0.4671,0.0678,2.6242,0.0149,0.0682,0.1317,0.0566
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,11.0477,1.699,0.8265,0.5,0.7843,0.0234,1.4036,1.4949,1.8552,0.201,0.312,5.724,0.7171,0.1515,0.4541,0.0607
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.4541,0.8349,0.5004,0.3218,0.8775,0.241,1.1951,0.9511,0.2991,0.3448,0.0901,2.4287,0.217,0.0486,0.072,0.0455
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-17-u.cnf,1,0.9945,0.9844,0.734,0.1344,0.8711,0.1752,1.3819,1.0364,0.5262,0.39,0.1632,2.5867,0.5908,0.0157,0.0292,0.0156
SAT_Competition2007/industrial/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,2.1871,1.0463,0.7631,0.2037,0.8874,0.1843,1.3814,1.006,0.4013,0.3767,0.1552,2.6926,0.6356,0.0158,0.0323,0.0141
SAT_Competition2011/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.1567,1.0326,0.5948,1,0.7657,0.0322,1.2198,0.6022,0.8492,0.4471,0.0352,4.8554,0.7657,0.0122,0.015,0
SAT_RACE2006/SAT-Race-Benchmarks/simon-s03-fifo8-400.cnf,1,7.5232,0.7893,0.4966,0.4804,0.7081,0.2155,1.4823,1.2217,0.3834,0.4599,0.163,2.8308,0.2358,0.0618,0.2055,0.0375
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,69.0141,0.5235,0.8552,0.4995,0.8398,0.063,1.3928,1.3418,4.4161,0.6938,0.2535,3.1268,0.5524,0.071,0.169,0.0364
SAT_Competition2009/APPLICATION/SAT_RACE06/velev-pipe-o-uns-1.1-6.cnf,1,0.5216,0.4716,0.9116,0.4999,0.9129,0.0402,1.0185,0.6874,2.1893,0.7982,0.2954,4.6271,0.8894,0.0477,0.1985,0.0004
SAT_Competition2011/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k80.cnf,1,1.6489,0.7929,0.5954,0.2916,0.5075,0.1415,1.6208,1.404,2.1859,0.4086,0.1608,2.9998,0.3465,0.0691,0.1402,0.0376
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,1.5656,0.6797,0.3838,0.2404,0.7261,0.1817,1.532,1.37,1.7564,0.4362,0.2415,2.5211,0.1424,0.1022,0.2402,0.0727
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,0.004,2.8639,0.1144,0.2793,0.1821,0.0349,0.4399,0.5907,1.308,0.0538,0.0361,5.1632,0.0599,0.0244,0.1005,0.0006
SAT_RACE2008/babic-dspam-vc973.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2002-26r-k45.cnf,1,1.5249,1.4648,0.7788,0.4749,0.7819,0.0986,1.5314,1.2223,2.889,0.251,0.2391,3.3368,0.7174,0.038,0.0773,0.0131
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_12_UNKNOWN.cnf,1,0.5751,0.5467,0.9242,0.2005,0.9242,0.0102,0.5883,0.4552,1.0769,0.4294,0.3064,3.8425,0.0237,0.0066,0.0251,0
SAT_RACE2008/ibm-2004-29-k25.cnf,1,1.2454,1.0767,0.646,0.2987,0.7359,0.1482,1.6896,1.4571,0.8601,0.3503,0.1604,3.386,0.529,0.0348,0.0927,0.0176
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-03.cnf,1,12.3283,0.7979,0.5194,0.9992,0.6806,0.1869,1.7628,1.5955,2.3322,0.3836,0.2476,3.2312,0.2645,0.1201,0.2878,0.0685
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,2.0774,1.0243,0.7403,0.2026,0.8998,0.1666,1.3599,1.0226,0.5379,0.3638,0.1573,2.8292,0.5776,0.0151,0.032,0.013
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top22.cnf,1,1.7349,0.6693,0.4238,0.2397,0.8328,0.1961,1.268,1.1507,1.8918,0.3926,0.1809,2.1631,0.1551,0.0813,0.1749,0.0638
SAT-Race-2010-CNF/software-verification/nec/hard-11-U-7061.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/hard/safe-50-h49-unsat.cnf,1,29.2074,0.9472,0.657,0.5,0.6377,0.0267,2.117,2.3533,2.1775,0.3814,0.3201,5.697,0.3787,0.1419,0.4508,0.0184
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,0.0446,0.9351,0.9718,0.5,0.9761,0.0499,0.865,0.1953,2.1803,0.5283,0.3145,3.3715,0.9718,0.1654,0.4978,0.0236
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-15.cnf,1,1.4845,0.5303,0.5965,0.3002,0.5909,0.1905,1.1358,1.0535,1.5687,0.3638,0.0665,1.9084,0.1532,0.039,0.0608,0.0259
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c7_i.cnf,1,4.5535,0.7522,0.5427,0.4353,0.5576,0.1475,1.8346,1.7118,1.1242,0.3701,0.1738,3.5237,0.1608,0.072,0.1513,0.0543
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-f6nid.cnf,1,5.4583,0.7379,0.4807,0.4729,0.4535,0.128,1.847,1.6954,1.3211,0.3681,0.1564,3.0606,0.1365,0.0749,0.1485,0.0689
SAT_Competition2007/industrial/industrial/fuhs/medium/AProVE07-15.cnf,1,2.3864,0.6555,0.6119,0.2875,0.6128,0.1831,1.2995,1.2175,0.7131,0.3356,0.1129,2.357,0.2219,0.0377,0.074,0.025
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bioinfo/q_query_3_L100_coli.sat.cnf,1,5.5013,0.6289,0.4554,1,0.7891,0.0959,1.3489,1.1431,2.3738,0.4963,0.1599,2.4733,0.1038,0.0613,0.1019,0.0741
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.025-NOTKNOWN.cnf,1,2.1649,1.2592,0.9666,0.5198,0.9791,0.157,0.8474,0.2193,1.2604,0.3827,0.1617,2.5028,0.9701,0.0776,0.249,0.0073
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1033.cnf,1,2.8017,0.658,0.3475,1,0.8861,0.2176,1.0636,0.7984,3.4168,0.4135,0.0829,1.7813,0.0765,0.061,0.0793,0.0505
SAT_RACE2008/mizh-md5-48-2.cnf,1,1.5069,0.4116,0.5293,0.1579,0.5407,0.1696,1.0045,0.9018,0.6084,0.4055,0.0385,2.3624,0.0718,0.0312,0.0485,0.0291
SAT_RACE2006/SAT-Race_TS_2/miza-sr06-md5-47-03.cnf,1,1.5106,0.4127,0.5294,0.1579,0.5427,0.1699,1.0057,0.9025,0.604,0.4052,0.0385,2.3705,0.0722,0.0312,0.0485,0.0291
SAT-Race-2010-CNF/software-verification/babic/dspam_dump_vc972.cnf,1,0.8076,0.5886,0.3023,0.4034,0.9771,0.2225,0.6449,0.2317,1.7456,0.4308,0.0289,1.0642,0.0228,0.0521,0.0619,0.0547
SAT_RACE2008/manol-pipe-f7nidw.cnf,1,5.7814,0.7214,0.4827,0.4512,0.4591,0.1255,1.8339,1.6816,1.5803,0.3682,0.1536,2.9467,0.1277,0.0758,0.1515,0.0744
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc12070.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc909.cnf,1,2.5842,0.6702,0.3342,1,0.8473,0.2108,1.1591,0.9191,5.4321,0.4034,0.0879,1.8742,0.0703,0.0657,0.1095,0.0519
SAT_RACE2006/SAT-Race_TS_1/narai-vpn-10s.cnf,1,2.6391,0.8575,0.5406,0.5,0.7765,0.1954,1.6332,1.2829,21.041,0.4647,0.1631,1.5685,0.4582,0.3134,0.5,0.3285
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,3.218,0.7574,0.4528,0.4333,0.5634,0.1666,1.8983,1.689,2.2849,0.4649,0.1293,2.996,0.2421,0.0751,0.1372,0.074
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,0.1213,0.9221,0.9636,0.4918,0.9665,0.0606,0.8961,0.2302,1.2586,0.5334,0.3087,3.2813,0.9636,0.0865,0.4295,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/icbrt/icbrt1_32.cnf,1,1.0804,0.8167,0.5018,0.3705,0.8044,0.2217,1.3744,1.1605,1.4899,0.3943,0.0961,2.09,0.3324,0.0338,0.0478,0.0251
SAT-Race-2010-CNF/mixed/diagnosis/UCG-20-10p1.cnf,1,0.8793,0.9088,0.6933,0.092,0.8694,0.1442,1.4096,1.093,0.7411,0.4011,0.1483,3.0927,0.515,0.0191,0.0476,0.0094
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-uns-2.0-iq1.cnf,1,0.4568,0.5863,0.9028,0.4654,0.9168,0.0692,1.1578,0.7494,3.2113,0.7209,0.2492,4.2835,0.8694,0.0514,0.2028,0.0058
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-03.cnf,1,0.7119,0.385,0.9404,0.5,0.9407,0.0178,0.8953,0.74,3.3795,0.8349,0.3272,5.2312,0.8293,0.0967,0.3607,0.0003
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rpoc_xits_12_UNKNOWN.cnf,1,0.5751,0.5722,0.9241,0.2003,0.9241,0.0094,0.6745,0.4548,1.1242,0.4662,0.3078,3.876,0.0219,0.0068,0.0267,0
