@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE stats_dom_mean NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_mean NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE median_degree NUMERIC
@ATTRIBUTE maximum_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_0 NUMERIC
@ATTRIBUTE stats_literal_tightness_100 NUMERIC
@ATTRIBUTE width_of_graph NUMERIC
@ATTRIBUTE standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_coeff_of_variation NUMERIC
@ATTRIBUTE width_of_ordering NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE minimum_degree NUMERIC
@ATTRIBUTE normalised_SAC_literals NUMERIC
@ATTRIBUTE stats_arity_mean NUMERIC
@ATTRIBUTE stats_unary_proportion NUMERIC
@ATTRIBUTE stats_table_proportion NUMERIC
@ATTRIBUTE stats_dom_not2_2_ratio NUMERIC
@ATTRIBUTE stats_unary_count NUMERIC
@ATTRIBUTE stats_arity_25 NUMERIC
@ATTRIBUTE stats_arity_0 NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE stats_alldiff_proportion NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_arity_100 NUMERIC
@ATTRIBUTE stats_var_bool NUMERIC
@ATTRIBUTE stats_arity_50 NUMERIC
@ATTRIBUTE stats_alldiff_count NUMERIC
@ATTRIBUTE stats_arity_75 NUMERIC
@ATTRIBUTE stats_occurrence_count NUMERIC
@ATTRIBUTE stats_occurrence_proportion NUMERIC

@DATA
1-insertions-5-5.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,184,12.148515,184,0,0.060141,0,184,184,202,0.009901,0.009901,0.06044,202,202,184,12.148515,5,1227,5,0.331683,0.024752,20,5,17,5,184,21,0.032959,23,0.149959,5,5,10,67,16,23,8,6.657663,0.148324,67,0,5,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-insertions-5-6.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,169,12.148515,169,0,0.060141,0,169,169,202,0.009901,0.009901,0.06044,202,202,169,12.148515,6,1227,6,0.331683,0.024752,16.666667,6,14,6,169,18,0.032959,19,0.137734,6,6,10,67,13,20,8,6.657663,0.153623,67,0,5,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-insertions-6-4.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,263,20.879736,263,0,0.034398,0,263,263,607,0.003295,0.003295,0.034455,607,607,263,20.879736,4,6337,4,0.332784,0.009885,25,4,26,4,263,27,0.024126,27,0.041502,4,4,18,202,20,27,14,14.644509,0.116619,202,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-insertions-6-5.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,184,20.879736,184,0,0.034398,0,184,184,607,0.003295,0.003295,0.034455,607,607,184,20.879736,5,6337,5,0.332784,0.009885,20,5,17,5,184,21,0.024126,23,0.029036,5,5,18,202,16,23,14,14.644509,0.148324,202,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-insertions-6-6.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,169,20.879736,169,0,0.034398,0,169,169,607,0.003295,0.003295,0.034455,607,607,169,20.879736,6,6337,6,0.332784,0.009885,16.666667,6,14,6,169,18,0.024126,19,0.026669,6,6,18,202,13,20,14,14.644509,0.153623,202,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-insertions-6-7.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,154,20.879736,154,0,0.034398,0,154,154,607,0.003295,0.003295,0.034455,607,607,154,20.879736,7,6337,7,0.332784,0.009885,14.285714,7,13,7,154,13,0.024126,16,0.024302,7,7,18,202,12,19,14,14.644509,0.15748,202,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-fullins-3-4.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615,263,7.730769,263,0,0.148669,0.063836,263,263,52,0.038462,0.038462,0.151584,52,52,263,7.730769,4,201,4,0.288462,0.076923,25,4,26,4,263,27,0.058075,27,1.308458,4,4,7,15,20,27,5,3.019904,0.116619,15,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-fullins-3-5.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615,184,7.730769,184,0,0.148669,0.063836,184,184,52,0.038462,0.038462,0.151584,52,52,184,7.730769,5,201,5,0.288462,0.076923,20,5,17,5,184,21,0.058075,23,0.915423,5,5,7,15,16,23,5,3.019904,0.148324,15,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-fullins-4-4.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,263,15.292453,263,0,0.072134,0.021882,263,263,212,0.009434,0.009434,0.072476,212,212,263,15.292453,4,1621,4,0.259434,0.028302,25,4,26,4,263,27,0.038637,27,0.162246,4,4,13,55,20,27,10,8.191075,0.116619,55,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-fullins-4-5.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,184,15.292453,184,0,0.072134,0.021882,184,184,212,0.009434,0.009434,0.072476,212,212,184,15.292453,5,1621,5,0.259434,0.028302,20,5,17,5,184,21,0.038637,23,0.11351,5,5,13,55,16,23,10,8.191075,0.148324,55,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-fullins-4-6.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,169,15.292453,169,0,0.072134,0.021882,169,169,212,0.009434,0.009434,0.072476,212,212,169,15.292453,6,1621,6,0.259434,0.028302,16.666667,6,14,6,169,18,0.038637,19,0.104257,6,6,13,55,13,20,10,8.191075,0.153623,55,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-fullins-5-4.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,263,28.640845,263,0,0.033616,0.007851,263,263,852,0.002347,0.002347,0.033656,852,852,263,28.640845,4,12201,4,0.252347,0.00939,25,4,26,4,263,27,0.023979,27,0.021556,4,4,25,215,20,27,18,20.42989,0.116619,215,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-fullins-5-5.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,184,28.640845,184,0,0.033616,0.007851,184,184,852,0.002347,0.002347,0.033656,852,852,184,28.640845,5,12201,5,0.252347,0.00939,20,5,17,5,184,21,0.023979,23,0.015081,5,5,25,215,16,23,18,20.42989,0.148324,215,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-fullins-5-6.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,169,28.640845,169,0,0.033616,0.007851,169,169,852,0.002347,0.002347,0.033656,852,852,169,28.640845,6,12201,6,0.252347,0.00939,16.666667,6,14,6,169,18,0.023979,19,0.013851,6,6,25,215,13,20,18,20.42989,0.153623,215,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-fullins-5-7.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,154,28.640845,154,0,0.033616,0.007851,154,154,852,0.002347,0.002347,0.033656,852,852,154,28.640845,7,12201,7,0.252347,0.00939,14.285714,7,13,7,154,13,0.023979,16,0.012622,7,7,25,215,12,19,18,20.42989,0.15748,215,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-insertions-3-3.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108,324,3.891892,324,0,0.105186,0,324,324,37,0.054054,0.054054,0.108108,37,37,324,3.891892,3,72,3,0.243243,0.081081,33.333333,3,32,3,324,33,0.025743,35,4.5,3,3,4,9,32,35,3,0.952487,0.037417,9,0,3,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-insertions-3-4.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108,263,3.891892,263,0,0.105186,0,263,263,37,0.054054,0.054054,0.108108,37,37,263,3.891892,4,72,4,0.243243,0.081081,25,4,26,4,263,27,0.025743,27,3.652778,4,4,4,9,20,27,3,0.952487,0.116619,9,0,3,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-insertions-4-3.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,324,7.261745,324,0,0.048737,0,324,324,149,0.013423,0.013423,0.049066,149,149,324,7.261745,3,541,3,0.248322,0.026846,33.333333,3,32,3,324,33,0.021708,35,0.598891,3,3,8,37,32,35,5,3.234454,0.037417,37,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-insertions-4-4.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,263,7.261745,263,0,0.048737,0,263,263,149,0.013423,0.013423,0.049066,149,149,263,7.261745,4,541,4,0.248322,0.026846,25,4,26,4,263,27,0.021708,27,0.486137,4,4,8,37,20,27,5,3.234454,0.116619,37,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-insertions-4-5.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,184,7.261745,184,0,0.048737,0,184,184,149,0.013423,0.013423,0.049066,149,149,184,7.261745,5,541,5,0.248322,0.026846,20,5,17,5,184,21,0.021708,23,0.340111,5,5,8,37,16,23,5,3.234454,0.148324,37,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-insertions-5-3.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,324,13.18593,324,0,0.022087,0,324,324,597,0.00335,0.00335,0.022124,597,597,324,13.18593,3,3936,3,0.249581,0.008375,33.333333,3,32,3,324,33,0.014236,35,0.082317,3,3,12,149,32,35,9,8.498927,0.037417,149,0,5,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-insertions-5-4.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,263,13.18593,263,0,0.022087,0,263,263,597,0.00335,0.00335,0.022124,597,597,263,13.18593,4,3936,4,0.249581,0.008375,25,4,26,4,263,27,0.014236,27,0.066819,4,4,12,149,20,27,9,8.498927,0.116619,149,0,5,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-insertions-5-5.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,184,13.18593,184,0,0.022087,0,184,184,597,0.00335,0.00335,0.022124,597,597,184,13.18593,5,3936,5,0.249581,0.008375,20,5,17,5,184,21,0.014236,23,0.046748,5,5,12,149,16,23,9,8.498927,0.148324,149,0,5,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
2-insertions-5-6.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,169,13.18593,169,0,0.022087,0,169,169,597,0.00335,0.00335,0.022124,597,597,169,13.18593,6,3936,6,0.249581,0.008375,16.666667,6,14,6,169,18,0.014236,19,0.042937,6,6,12,149,13,20,9,8.498927,0.153623,149,0,5,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-fullins-3-5.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875,184,8.65,184,0,0.108125,0.051742,184,184,80,0.025,0.025,0.109494,80,80,184,8.65,5,346,5,0.2375,0.05,20,5,17,5,184,21,0.049847,23,0.531792,5,5,7,19,16,23,6,3.987794,0.148324,19,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-fullins-3-6.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875,169,8.65,169,0,0.108125,0.051742,169,169,80,0.025,0.025,0.109494,80,80,169,8.65,6,346,6,0.2375,0.05,16.666667,6,14,6,169,18,0.049847,19,0.488439,6,6,7,19,13,20,6,3.987794,0.153623,19,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-fullins-4-5.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,184,17.402469,184,0,0.042969,0.01485,184,184,405,0.004938,0.004938,0.043075,405,405,184,17.402469,5,3524,5,0.207407,0.014815,20,5,17,5,184,21,0.026781,23,0.052213,5,5,15,84,16,23,11,10.846334,0.148324,84,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-fullins-4-6.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,169,17.402469,169,0,0.042969,0.01485,169,169,405,0.004938,0.004938,0.043075,405,405,169,17.402469,6,3524,6,0.207407,0.014815,16.666667,6,14,6,169,18,0.026781,19,0.047957,6,6,15,84,13,20,11,10.846334,0.153623,84,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-fullins-4-7.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,154,17.402469,154,0,0.042969,0.01485,154,154,405,0.004938,0.004938,0.043075,405,405,154,17.402469,7,3524,7,0.207407,0.014815,14.285714,7,13,7,154,13,0.026781,16,0.0437,7,7,15,84,12,19,11,10.846334,0.15748,84,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-fullins-5-5.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,184,33.252217,184,0,0.01638,0.004678,184,184,2030,0.000985,0.000985,0.016388,2030,2030,184,33.252217,5,33751,5,0.201478,0.003941,20,5,17,5,184,21,0.013841,23,0.005452,5,5,29,409,16,23,21,28.096271,0.148324,409,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-fullins-5-6.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,169,33.252217,169,0,0.01638,0.004678,169,169,2030,0.000985,0.000985,0.016388,2030,2030,169,33.252217,6,33751,6,0.201478,0.003941,16.666667,6,14,6,169,18,0.013841,19,0.005007,6,6,29,409,13,20,21,28.096271,0.153623,409,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-fullins-5-7.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,154,33.252217,154,0,0.01638,0.004678,154,154,2030,0.000985,0.000985,0.016388,2030,2030,154,33.252217,7,33751,7,0.201478,0.003941,14.285714,7,13,7,154,13,0.013841,16,0.004563,7,7,29,409,12,19,21,28.096271,0.15748,409,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-fullins-5-8.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,136,33.252217,136,0,0.01638,0.004678,136,136,2030,0.000985,0.000985,0.016388,2030,2030,136,33.252217,8,33751,8,0.201478,0.003941,12.5,8,9,8,136,13,0.013841,20,0.00403,8,8,29,409,6,20,21,28.096271,0.401995,409,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-insertions-3-3.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429,324,3.928571,324,0,0.070153,0,324,324,56,0.035714,0.035714,0.071429,56,56,324,3.928571,3,110,3,0.196429,0.053571,33.333333,3,32,3,324,33,0.01844,35,2.945455,3,3,4,11,32,35,3,1.032631,0.037417,11,0,3,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-insertions-3-4.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429,263,3.928571,263,0,0.070153,0,263,263,56,0.035714,0.035714,0.071429,56,56,263,3.928571,4,110,4,0.196429,0.053571,25,4,26,4,263,27,0.01844,27,2.390909,4,4,4,11,20,27,3,1.032631,0.116619,11,0,3,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-insertions-4-3.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,324,7.44484,324,0,0.026494,0,324,324,281,0.007117,0.007117,0.026589,281,281,324,7.44484,3,1046,3,0.199288,0.014235,33.333333,3,32,3,324,33,0.013027,35,0.309751,3,3,8,56,32,35,5,3.660599,0.037417,56,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-insertions-4-4.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,263,7.44484,263,0,0.026494,0,263,263,281,0.007117,0.007117,0.026589,281,281,263,7.44484,4,1046,4,0.199288,0.014235,25,4,26,4,263,27,0.013027,27,0.251434,4,4,8,56,20,27,5,3.660599,0.116619,56,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-insertions-4-5.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,184,7.44484,184,0,0.026494,0,184,184,281,0.007117,0.007117,0.026589,281,281,184,7.44484,5,1046,5,0.199288,0.014235,20,5,17,5,184,21,0.013027,23,0.175908,5,5,8,56,16,23,5,3.660599,0.148324,56,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-insertions-5-3.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,324,13.790896,324,0,0.009809,0,324,324,1406,0.001422,0.001422,0.009816,1406,1406,324,13.790896,3,9695,3,0.199858,0.003556,33.333333,3,32,3,324,33,0.007218,35,0.033419,3,3,16,281,32,35,9,10.148279,0.037417,281,0,5,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
3-insertions-5-4.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,263,13.790896,263,0,0.009809,0,263,263,1406,0.001422,0.001422,0.009816,1406,1406,263,13.790896,4,9695,4,0.199858,0.003556,25,4,26,4,263,27,0.007218,27,0.027127,4,4,16,281,20,27,9,10.148279,0.116619,281,0,5,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
