@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC

@DATA
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.326662,0.573816,155.347826,0.74272
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.309191,0.577547,41.97561,0.731461
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.321902,0.57431,67.024691,0.74122
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321574,0.572065,40.86,0.748054
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.329473,0.572631,201.317241,0.746325
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.328303,0.572007,89.69863,0.74823
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330601,0.571744,152.424893,0.749035
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.323152,0.571518,41.807339,0.749726
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.313812,0.576866,55.242424,0.733505
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.327858,0.572948,133.680412,0.745358
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.316119,0.572319,34.254237,0.747278
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.328987,0.571663,90.753425,0.749283
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.330171,0.571709,127.452632,0.749142
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.317612,0.568471,25.137931,0.759106
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.331648,0.571117,142.669565,0.750953
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.333275,0.571386,652,0.750131
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.320236,0.574747,59.561798,0.739896
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.329063,0.572797,189.246753,0.745819
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321629,0.571642,37.576271,0.749346
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.328103,0.571528,70.040816,0.749694
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.320904,0.571996,37.767857,0.748263
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.327708,0.57169,69.247312,0.749201
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330348,0.571568,120.185185,0.749572
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.331071,0.571535,154.892183,0.749675
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330516,0.571752,147.007782,0.749009
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.313494,0.567702,20.06422,0.761487
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.324537,0.569792,34.067485,0.755027
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.331656,0.571119,141.184805,0.750948
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.333319,0.571418,1513.166667,0.750032
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.294955,0.594019,7183,0.683448
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.302049,0.580409,38.302326,0.722922
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.328287,0.572847,138.389474,0.745666
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.312658,0.577039,45.268657,0.732984
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.302202,0.583333,57.413793,0.714286
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.32693,0.572063,68.761364,0.74806
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.318761,0.572678,35.678899,0.746182
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.308946,0.566842,16.878261,0.76416
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.322417,0.569396,28.069767,0.756245
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.333326,0.571423,2118.5,0.750016
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.313278,0.578143,62.346939,0.729675
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.325854,0.573903,123.907216,0.742455
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.328148,0.573141,167.403101,0.744772
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.327513,0.573516,172.669291,0.74363
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.324962,0.572552,61.677686,0.746566
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.329675,0.571921,121.985782,0.748495
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.319996,0.574543,55.043011,0.740514
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.328967,0.572444,133.822511,0.746897
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.325951,0.571493,51.866242,0.749803
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.329985,0.57146,101.072993,0.749903
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330511,0.571455,117.888179,0.749918
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.330896,0.571452,134.795455,0.749928
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.33119,0.571449,151.767263,0.749936
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.304681,0.572441,22.413333,0.746906
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.319697,0.571921,34.571429,0.748494
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.329499,0.571571,94.138462,0.749563
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.323965,0.569685,32.3875,0.755357
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,0.330306,0.570869,82.009404,0.751715
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,0.333328,0.571425,2735.666667,0.750011
BLOCKS3i.5.3-shuffled,1,0.45332,0.606983,141,0.647492
BLOCKS3ii.5.2-shuffled,1,0.388992,0.636961,139,0.569954
BLOCKS3iii.5-shuffled,1,0.140599,0.703248,126,0.421973
BLOCKS4ii.7.2-shuffled,1,0.292749,0.69301,454,0.442981
BLOCKS4iii.7-shuffled,1,0.092011,0.765071,424,0.307068
blocks_enc_2_b3_ser--opt-9_-shuffled,1,0.301922,0.698101,222,0.432458
blocks_enc_2_b4_ser--opt-26_-shuffled,1,0.197129,0.763818,1518,0.309212
c1_BMC_p1_k2048-shuffled,1,0.248582,0.512647,1101387,0.950659
c1_BMC_p2_k1024-shuffled,1,0.261124,0.512122,556139,0.95266
c1_BMC_p2_k128-shuffled,1,0.402277,0.507665,79047,0.969804
c1_BMC_p2_k8-shuffled,1,0.634657,0.503841,14328,0.984751
c2_Debug_s5_f1_e1_v3-shuffled,1,0.956197,0.507151,21446,0.971799
c3_BMC_p1_k256-shuffled,1,0.367935,0.487572,24963.5,1.050977
c3_BMC_p2_k1024-shuffled,1,0.279523,0.483398,92043.5,1.068689
c3_BMC_p2_k2048-shuffled,1,0.262448,0.482413,181483.5,1.072911
c3_BMC_p2_k512-shuffled,1,0.311498,0.48507,47323.5,1.06156
c3_Debug_s3_f2_e2_v2-shuffled,1,0.912075,0.677261,289060.5,0.476536
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.223767,0.546586,278,0.829539
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.223456,0.546226,278.5,0.830744
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.219858,0.548469,296,0.823258
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.219575,0.548134,296.5,0.824373
C499.blif_0.10_0.20_0_0_inp_exact,1,0.327728,0.529218,89.4,0.889582
C499.blif_0.10_0.20_0_0_out_exact,1,0.34183,0.529463,413,0.888705
C499.blif_0.10_0.20_0_1_out_exact,1,0.34183,0.529288,413,0.889331
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.33256,0.530655,446,0.884462
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.333592,0.530735,444,0.884178
c4_BMC_p1_k1024-shuffled,1,0.299671,0.487941,8390,1.049428
c4_BMC_p1_k2048-shuffled,1,0.286811,0.487389,16614,1.051749
c4_BMC_p1_k512-shuffled,1,0.324102,0.488912,4278,1.04536
c4_BMC_p2_k2048-shuffled,1,0.286811,0.487389,16614,1.051749
c4_Debug_s3_f1_e1_v3-shuffled,1,0.998997,0.508285,25156.5,0.967399
c4_Debug_s3_f1_e2_v3-shuffled,1,0.998997,0.508284,25156.5,0.967404
c4_Debug_s3_f2_e1_v3-shuffled,1,0.581431,0.725155,27181.5,0.379015
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.211832,0.556652,337.5,0.796455
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.216053,0.557659,2614.5,0.793211
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,0.211803,0.556645,337.5625,0.796476
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.216022,0.557652,2615,0.793233
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.214314,0.557518,2802.5,0.793665
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.21437,0.557531,2801.5,0.793622
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.214314,0.557489,2802.5,0.793756
c5_BMC_p1_k32-shuffled,1,0.566464,0.507652,16467.5,0.969852
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.336524,0.569414,2285,0.756192
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.335352,0.569252,2337,0.756691
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.335303,0.569213,2337.5,0.756812
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.33644,0.569396,2310.5,0.756247
c6_BMC_p1_k1024-shuffled,1,0.283393,0.514498,67844,0.943641
c6_BMC_p1_k256-shuffled,1,0.316645,0.512922,17468,0.949615
c6_BMC_p2_k128-shuffled,1,0.356642,0.511285,9072,0.955855
c6_BMC_p2_k2048-shuffled,1,0.277549,0.514799,135012,0.942504
c6_BMC_p2_k64-shuffled,1,0.424566,0.509005,4874,0.964618
C880.blif_0.10_0.20_0_0_inp_exact,1,0.248109,0.551508,93.636364,0.81321
C880.blif_0.10_0.20_0_0_out_exact,1,0.256844,0.552976,479.5,0.808396
C880.blif_0.10_0.20_0_1_inp_exact,1,0.248109,0.551343,93.636364,0.813752
C880.blif_0.10_0.20_0_1_out_exact,1,0.256844,0.552976,479.5,0.808396
C880.blif_0.10_1.00_0_0_inp_exact,1,0.254789,0.552689,504.5,0.809337
C880.blif_0.10_1.00_0_0_out_exact,1,0.259419,0.553495,490,0.806699
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.259419,0.553325,490,0.807255
CHAIN23v.24-shuffled,1,0.107613,0.743712,1633.5,0.344607
cmu.dme1.B-f2,1,0.333203,0.571333,469,0.750293
cmu.dme1.B-f3,1,0.33326,0.571375,816.5,0.750165
cmu.dme1.B-f4-shuffled,1,0.333284,0.571392,1209,0.750111
cmu.dme2.B-f2,1,0.333234,0.571355,601.5,0.750224
cmu.periodic.N-d2-shuffled,1,0.33331,0.571412,2475,0.750052
cmu.periodic.N-d4-shuffled,1,0.333323,0.571421,5629,0.750023
cmu.periodic.N-f4-shuffled,1,0.333324,0.571422,6009,0.750021
comp.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.269555,0.516146,76.5,0.937438
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.275534,0.51712,152.5,0.933788
connect_5x4_3_R-shuffled,1,0.981203,0.366656,453.090909,1.727349
connect_5x4_4_W-shuffled,1,0.97723,0.374149,391.272727,1.672735
connect_6x5_4_D-shuffled,1,0.985032,0.376675,617.875,1.654808
connect_6x5_5_R-shuffled,1,0.981946,0.378828,546.625,1.639719
connect_7x6_4_R-shuffled,1,0.989133,0.378211,900.954545,1.644024
connect_7x6_6_W-shuffled,1,0.985066,0.382138,725.318182,1.616857
connect_8x7_3_D-shuffled,1,0.992032,0.366493,1375.586207,1.728562
connect_8x7_7_D-shuffled,1,0.987274,0.384616,927.586207,1.599993
connect_9x8_3_R-shuffled,1,0.993396,0.36651,1795.72973,1.728439
connect_9x8_6_D-shuffled,1,0.991929,0.392242,1363.72973,1.549446
connect_9x8_8_D-shuffled,1,0.988921,0.386529,1153.567568,1.58713
Core1108_tbm_02.tex.moduleQ3.2S.000007,1,0.719164,0.654185,143.1,0.52862
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,0.720612,0.654968,142.6,0.526792
Core1108_tbm_02.tex.moduleQ3.2S.000026,1,0.713432,0.652106,145.1,0.533494
Core1108_tbm_02.tex.moduleQ3.2S.000056,1,0.719887,0.654861,142.6,0.527041
Core1108_tbm_02.tex.moduleQ3.2S.000077,1,0.719164,0.654185,143.1,0.52862
Core1108_tbm_02.tex.moduleQ3.2S.000095,1,0.716287,0.653313,144.1,0.530659
Core1108_tbm_02.tex.moduleQ3.2S.000098,1,0.714856,0.652537,144.6,0.53248
Core1108_tbm_02.tex.moduleQ3.2S.000099,1,0.717004,0.653643,143.6,0.529888
Core1108_tbm_02.tex.moduleQ3.2S.000108,1,0.717004,0.653643,143.6,0.529888
Core1108_tbm_03.tex.module.000003,1,0.562066,0.588453,67.3,0.69937
Core1108_tbm_03.tex.module.000019,1,0.573348,0.587103,61.3,0.703278
Core1108_tbm_03.tex.module.000021,1,0.574958,0.585288,61.3,0.70856
Core1108_tbm_03.tex.module.000023,1,0.573348,0.584127,61.3,0.711957
Core1108_tbm_03.tex.module.000031,1,0.566999,0.582318,62.3,0.717274
Core1108_tbm_03.tex.module.000034,1,0.567991,0.583763,61.8,0.713023
Core1108_tbm_03.tex.module.000037,1,0.571098,0.583367,59.4,0.714185
Core1108_tbm_03.tex.module.000038,1,0.57218,0.583851,58.9,0.712766
Core1108_tbm_03.tex.module.000039,1,0.57218,0.583851,58.9,0.712766
Core1108_tbm_03.tex.module.000048,1,0.573286,0.584554,58.4,0.710705
Core1108_tbm_03.tex.module.000056,1,0.57797,0.583151,56.4,0.714822
Core1108_tbm_03.tex.module.000057,1,0.579211,0.58278,55,0.715913
Core1108_tbm_03.tex.module.000058,1,0.580482,0.5824,53.6,0.717032
Core1108_tbm_03.tex.module.000064,1,0.581783,0.582012,53.1,0.718178
Core1108_tbm_03.tex.module.000065,1,0.583117,0.581614,52.6,0.719354
Core1108_tbm_03.tex.module.000090,1,0.588798,0.581608,47.9,0.719371
Core1108_tbm_03.tex.module.000092,1,0.590311,0.583374,46.5,0.714166
Core1108_tbm_03.tex.moduleQ3.2S.000002,1,0.714777,0.633607,135.6,0.578266
Core1108_tbm_03.tex.moduleQ3.2S.000003,1,0.713141,0.632761,136.1,0.580375
Core1108_tbm_03.tex.moduleQ3.2S.000009,1,0.711512,0.632308,136.6,0.581507
Core1108_tbm_03.tex.moduleQ3.2S.000011,1,0.713958,0.633503,135.6,0.578526
Core1108_tbm_03.tex.moduleQ3.2S.000018,1,0.714777,0.633607,135.6,0.578266
