@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE CLAUSES NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC

@DATA
aim-50-1_6-yes1-4-50-shuffled,1,0.203608,0.594142,88,0.683099,79,1.78866,226,10.48,0.277197,176,0.576229,388,0.31701,0.145397,0.675258,956,4.92,50,0.525773,0.618156,0.618156,3.172566,352,0.932175,0.303618,0.64006,0.320845,0.755282,1.716814,309,0.843524,204
aim-50-1_6-yes1-4-90-shuffled,1,0.238671,0.597813,69,0.672764,79,1.752266,188,9.72,0.252734,138,0.615775,331,0.371601,0.145808,0.734139,823,4.92,50,0.501511,0.641379,0.641379,3.308511,295,0.960079,0.296774,0.639629,0.303226,0.756098,1.760638,252,0.823524,166
aim-50-2_0-yes1-1-90-shuffled,1,0.240964,0.599226,80,0.668821,100,1.751807,210,12.24,0.254598,160,0.589545,415,0.363855,0.150048,0.737349,1033,6.04,50,0.510843,0.638239,0.638239,3.690476,363,0.923705,0.286221,0.642692,0.303789,0.749596,1.971429,315,0.801048,212
aim-50-2_0-yes1-2-50-shuffled,1,0.209205,0.594915,101,0.680912,100,1.786611,252,13.04,0.277119,202,0.557157,478,0.3159,0.148305,0.682008,1180,6.04,50,0.541841,0.617096,0.617096,3.496032,422,0.90287,0.293625,0.64187,0.320243,0.750712,1.896825,378,0.819883,259
aim-50-2_0-yes1-3-90-shuffled,1,0.242788,0.598456,80,0.670968,101,1.754808,210,12.24,0.255792,160,0.589105,416,0.362981,0.149614,0.735577,1036,6.04,50,0.504808,0.636986,0.636986,3.7,366,0.924831,0.287034,0.642265,0.304487,0.75,1.980952,315,0.802365,210
aim-50-3_4-yes1-2-90-shuffled,1,0.246753,0.59919,114,0.668919,171,1.751804,278,20.6,0.253904,228,0.546533,693,0.366522,0.150954,0.743146,1729,10.16,50,0.505051,0.638386,0.638386,4.658273,604,0.856118,0.264495,0.643054,0.302925,0.748069,2.492806,522,0.740994,350
aim-50-3_4-yes1-3-90-shuffled,1,0.24569,0.599078,115,0.669231,171,1.752874,280,20.64,0.255184,230,0.544881,696,0.363506,0.151498,0.741379,1736,10.12,50,0.50431,0.636885,0.636885,4.639286,607,0.85554,0.265072,0.643328,0.303831,0.747115,2.485714,525,0.74318,351
aim-50-6_0-yes1-3-50-shuffled,1,0.236378,0.59897,193.5,0.669533,295,1.757212,437,36.56,0.256839,387,0.506995,1248,0.358974,0.149984,0.732372,3107,17.92,50,0.513622,0.636115,0.636115,5.331808,1093,0.797017,0.248316,0.642693,0.305561,0.749597,2.851259,953,0.694966,641
aim-50-6_0-yes1-4-90-shuffled,1,0.246903,0.599735,179,0.667402,299,1.749794,408,36.16,0.251406,358,0.51234,1211,0.371594,0.150182,0.746491,3023,18,50,0.500413,0.64134,0.64134,5.558824,1062,0.798859,0.24556,0.642778,0.301255,0.749586,2.965686,912,0.687417,606
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.333284,0.571392,589,0.750112,2231,2.151479,3041,51.333333,0.389679,2945,0.54982,6694,0.090828,0.038929,0.181655,15618,25.666667,96,0.520317,0.57742,0.57742,16.50707,4998,0.952201,0.409161,0.583302,0.413145,0.931869,2.20125,4462,0.981912,3483
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.333315,0.571415,1185.666667,0.750041,6114,2.08292,7349,98.042553,0.374939,7114,0.534873,18343,0.12517,0.053646,0.250341,42799,49.021277,235,0.508913,0.579998,0.579998,22.460063,13732,0.922197,0.399161,0.584612,0.41018,0.906117,2.495986,12228,0.960935,9335
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.304421,0.588151,7543,0.700244,3443,2.217683,7543,0,0.411849,7543,0.588151,11310,0,0,0,25082,0,0,0.581874,0.588151,0.588151,1.369482,8796,1,0.411849,0.588151,0.411849,1,1.369482,6886,1,6581
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.326662,0.573816,155.347826,0.74272,11213,2.213716,14383,2969.494505,0.40494,14292,0.556089,34326,0.049117,0.021245,0.098235,79360,1484.747253,91,0.515498,0.577091,0.577091,348.669401,25906,0.963607,0.406458,0.584931,0.413126,0.962976,2.351526,22608,0.979254,17695
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.309191,0.577547,41.97561,0.731461,841,2.229412,1761,110,0.414341,1721,0.58267,2720,0.018382,0.008112,0.036765,6164,55,40,0.564706,0.578826,0.578826,98.168086,2082,1.006642,0.421936,0.582333,0.416782,0.985955,1.478705,1762,1.01022,1536
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.321902,0.57431,67.024691,0.74122,3689,2.200349,5509,942,0.4037,5429,0.560459,11460,0.050611,0.02199,0.101222,26376,471,80,0.5274,0.577728,0.577728,262.698856,8668,0.970108,0.410014,0.585139,0.412981,0.961711,2.038119,7538,0.988316,6044
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321574,0.572065,40.86,0.748054,2689,2.215977,4185,622.787879,0.40759,4086,0.565086,8362,0.046998,0.020346,0.093997,19316,311.393939,99,0.527745,0.575121,0.575121,308.780167,6298,0.982551,0.414163,0.585752,0.412519,0.964434,1.975149,5576,0.999795,4413
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.329473,0.572631,201.317241,0.746325,25121,2.221992,29335,6843.333333,0.405902,29191,0.553883,76246,0.049839,0.021467,0.099677,177018,3421.666667,144,0.50619,0.575889,0.575889,603.871553,57332,0.961788,0.405412,0.585036,0.412955,0.962512,2.578899,50530,0.976981,38595
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.328303,0.572007,89.69863,0.74823,10681,2.223643,13241,2666.537931,0.406788,13096,0.556901,32534,0.049241,0.021205,0.098482,75548,1333.268966,145,0.509098,0.575196,0.575196,562.505853,24442,0.968192,0.407409,0.586315,0.411791,0.962929,2.441961,21652,0.984829,16563
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330601,0.571744,152.424893,0.749035,31663,2.218494,35747,9240.137931,0.40489,35515,0.55196,95774,0.054378,0.023366,0.108756,222890,4620.068966,232,0.502997,0.575261,0.575261,999.371975,71893,0.959496,0.40476,0.585429,0.412392,0.959132,2.670266,63790,0.976333,48174
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.323152,0.571518,41.807339,0.749726,3121,2.224891,4665,688.888889,0.409026,4557,0.565146,9658,0.04504,0.019456,0.090081,22358,344.444444,108,0.520087,0.574414,0.574414,346.191854,7254,0.983865,0.413397,0.586653,0.411665,0.965957,2.053591,6458,1.00012,5023
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.313812,0.576866,55.242424,0.733505,927,2.244414,1855,88,0.415998,1823,0.57973,2954,0.016249,0.007136,0.032498,6726,44,32,0.551117,0.577979,0.577979,78.825876,2247,1.00303,0.417744,0.58547,0.413842,0.987629,1.534232,1918,1.007755,1628
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.327858,0.572948,133.680412,0.745358,10319,2.227045,13063,2440,0.407529,12967,0.557523,31474,0.045244,0.019522,0.090487,72942,1220,96,0.510326,0.575912,0.575912,367.310266,23669,0.96807,0.406946,0.585938,0.412289,0.965926,2.384598,20830,0.982813,16062
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.316119,0.572319,34.254237,0.747278,1059,2.239403,2079,196.137931,0.414697,2021,0.575387,3350,0.029851,0.012984,0.059701,7702,98.068966,58,0.543881,0.574247,0.574247,145.326599,2522,1.001986,0.418829,0.585043,0.413607,0.977314,1.584416,2234,1.009332,1822
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.328987,0.571663,90.753425,0.749283,10875,2.225375,13395,2742.537931,0.40697,13250,0.556317,33056,0.049673,0.021367,0.099347,76846,1371.268966,145,0.508017,0.574862,0.574862,564.695931,24801,0.967741,0.407041,0.586496,0.411582,0.962622,2.457335,22040,0.984369,16793
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.330171,0.571709,127.452632,0.749142,20983,2.214753,24405,6222.645503,0.404249,24216,0.55194,63552,0.055938,0.024043,0.111877,147862,3111.322751,189,0.505901,0.575331,0.575331,788.477812,47733,0.959344,0.404849,0.585624,0.412151,0.957946,2.594878,42344,0.977007,32151
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.317612,0.568471,25.137931,0.759106,1165,2.242094,2273,269.255814,0.415294,2187,0.573951,3668,0.037623,0.016235,0.075245,8500,134.627907,86,0.537077,0.570768,0.570768,215.976243,2741,1.005576,0.421049,0.585096,0.413205,0.97144,1.613726,2502,1.014811,1970
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.331648,0.571117,142.669565,0.750953,45193,2.217513,49565,13781.255814,0.404409,49221,0.550464,136268,0.057064,0.024474,0.114128,317728,6890.627907,344,0.500587,0.574778,0.574778,1520.351458,102159,0.957699,0.404158,0.585613,0.412096,0.957148,2.749279,91074,0.975313,68214
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.333275,0.571386,652,0.750131,1911,2.185909,2737,20.837209,0.39707,2608,0.566544,5734,0.073596,0.031544,0.147192,13378,10.418605,129,0.514998,0.576193,0.576193,11.814395,4307,0.983254,0.416762,0.585659,0.411285,0.944793,2.094995,3822,1.005844,2953
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.320236,0.574747,59.561798,0.739896,3529,2.182214,5389,1020.727273,0.400284,5301,0.558905,11020,0.05735,0.024968,0.114701,25312,510.363636,88,0.524501,0.578676,0.578676,278.531082,8324,0.965835,0.408155,0.586126,0.411686,0.956558,1.997402,7234,0.986183,5780
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.329063,0.572797,189.246753,0.745819,24993,2.214083,29297,7261.202614,0.404318,29144,0.552799,75952,0.053099,0.022885,0.106199,176230,3630.601307,153,0.505029,0.576289,0.576289,636.223811,57089,0.95924,0.404406,0.585349,0.412488,0.960047,2.569751,50292,0.975292,38358
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321629,0.571642,37.576271,0.749346,2977,2.211322,4551,734.153846,0.406627,4434,0.564422,9256,0.050238,0.021731,0.100475,21398,367.076923,117,0.51707,0.574897,0.574897,361.990991,6939,0.981778,0.412291,0.587556,0.41052,0.961985,2.014063,6188,0.999629,4786
