@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC

@DATA
aim-200-1_6-yes1-4-90-shuffled,1,0.236039,0.598265,282,0.6715,317,1.760238
aim-200-2_0-yes1-2-90-shuffled,1,0.23964,0.59894,322,0.669618,399,1.757958
aim-200-3_4-yes1-1-90-shuffled,1,0.244324,0.599278,459.5,0.668675,678,1.754595
aim-200-3_4-yes1-4-90-shuffled,1,0.243253,0.599452,461,0.668191,676,1.753508
aim-50-1_6-yes1-1-00-shuffled,1,0.173077,0.590909,114,0.692308,81,1.824786
aim-50-1_6-yes1-1-90-shuffled,1,0.243243,0.598311,69,0.671371,81,1.753754
aim-50-1_6-yes1-2-00-shuffled,1,0.171306,0.59071,114,0.692878,80,1.82227
aim-50-1_6-yes1-2-50-shuffled,1,0.201005,0.593878,91,0.683849,80,1.791457
aim-50-1_6-yes1-3-00-shuffled,1,0.169528,0.59051,114,0.693452,79,1.824034
aim-50-1_6-yes1-4-50-shuffled,1,0.203608,0.594142,88,0.683099,79,1.78866
aim-50-1_6-yes1-4-90-shuffled,1,0.238671,0.597813,69,0.672764,79,1.752266
aim-50-2_0-yes1-1-90-shuffled,1,0.240964,0.599226,80,0.668821,100,1.751807
aim-50-2_0-yes1-2-50-shuffled,1,0.209205,0.594915,101,0.680912,100,1.786611
aim-50-2_0-yes1-3-90-shuffled,1,0.242788,0.598456,80,0.670968,101,1.754808
aim-50-3_4-yes1-2-90-shuffled,1,0.246753,0.59919,114,0.668919,171,1.751804
aim-50-3_4-yes1-3-90-shuffled,1,0.24569,0.599078,115,0.669231,171,1.752874
aim-50-6_0-yes1-3-50-shuffled,1,0.236378,0.59897,193.5,0.669533,295,1.757212
aim-50-6_0-yes1-4-90-shuffled,1,0.246903,0.599735,179,0.667402,299,1.749794
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.333284,0.571392,589,0.750112,2231,2.151479
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.333315,0.571415,1185.666667,0.750041,6114,2.08292
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.304421,0.588151,7543,0.700244,3443,2.217683
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.326662,0.573816,155.347826,0.74272,11213,2.213716
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.309191,0.577547,41.97561,0.731461,841,2.229412
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.321902,0.57431,67.024691,0.74122,3689,2.200349
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321574,0.572065,40.86,0.748054,2689,2.215977
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.329473,0.572631,201.317241,0.746325,25121,2.221992
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.328303,0.572007,89.69863,0.74823,10681,2.223643
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330601,0.571744,152.424893,0.749035,31663,2.218494
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.323152,0.571518,41.807339,0.749726,3121,2.224891
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.313812,0.576866,55.242424,0.733505,927,2.244414
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.327858,0.572948,133.680412,0.745358,10319,2.227045
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.316119,0.572319,34.254237,0.747278,1059,2.239403
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.328987,0.571663,90.753425,0.749283,10875,2.225375
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.330171,0.571709,127.452632,0.749142,20983,2.214753
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.317612,0.568471,25.137931,0.759106,1165,2.242094
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.331648,0.571117,142.669565,0.750953,45193,2.217513
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.333275,0.571386,652,0.750131,1911,2.185909
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.320236,0.574747,59.561798,0.739896,3529,2.182214
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.329063,0.572797,189.246753,0.745819,24993,2.214083
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321629,0.571642,37.576271,0.749346,2977,2.211322
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.328103,0.571528,70.040816,0.749694,11313,2.200348
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.320904,0.571996,37.767857,0.748263,2797,2.200321
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.327708,0.57169,69.247312,0.749201,10505,2.192725
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330348,0.571568,120.185185,0.749572,31907,2.188702
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.331071,0.571535,154.892183,0.749675,52735,2.187449
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330516,0.571752,147.007782,0.749009,33825,2.212761
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.313494,0.567702,20.06422,0.761487,1143,2.222161
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.324537,0.569792,34.067485,0.755027,3997,2.213219
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.331656,0.571119,141.184805,0.750948,64129,2.198521
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.333319,0.571418,1513.166667,0.750032,7924,2.102006
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.294955,0.594019,7183,0.683448,2923,2.179818
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.302049,0.580409,38.302326,0.722922,737,2.2
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.328287,0.572847,138.389474,0.745666,22269,2.173129
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.312658,0.577039,45.268657,0.732984,1729,2.168174
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.302202,0.583333,57.413793,0.714286,741,2.200653
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.32693,0.572063,68.761364,0.74806,9717,2.191306
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.318761,0.572678,35.678899,0.746182,2501,2.184553
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.308946,0.566842,16.878261,0.76416,967,2.202556
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.322417,0.569396,28.069767,0.756245,3377,2.186939
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.333326,0.571423,2118.5,0.750016,15468,2.029803
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.313278,0.578143,62.346939,0.729675,1661,2.195775
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.325854,0.573903,123.907216,0.742455,9251,2.209863
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.328148,0.573141,167.403101,0.744772,17911,2.211755
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.327513,0.573516,172.669291,0.74363,17913,2.195378
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.324962,0.572552,61.677686,0.746566,5499,2.210968
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.329675,0.571921,121.985782,0.748495,22317,2.210683
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.319996,0.574543,55.043011,0.740514,3399,2.168518
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.328967,0.572444,133.822511,0.746897,26643,2.149821
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.325951,0.571493,51.866242,0.749803,6255,2.198749
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.329985,0.57146,101.072993,0.749903,24405,2.189973
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330511,0.571455,117.888179,0.749918,33143,2.188496
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.330896,0.571452,134.795455,0.749928,43225,2.187354
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.33119,0.571449,151.767263,0.749936,54651,2.186445
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.304681,0.572441,22.413333,0.746906,755,2.19209
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.319697,0.571921,34.571429,0.748494,2493,2.18851
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.329499,0.571571,94.138462,0.749563,21285,2.17595
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.323965,0.569685,32.3875,0.755357,3677,2.207048
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,0.330306,0.570869,82.009404,0.751715,23171,2.19541
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,0.333328,0.571425,2735.666667,0.750011,22843,2.066599
BLOCKS3i.5.3-shuffled,1,0.45332,0.606983,141,0.647492,1311,3.0861
BLOCKS3ii.5.2-shuffled,1,0.388992,0.636961,139,0.569954,1053,2.663835
BLOCKS3iii.5-shuffled,1,0.140599,0.703248,126,0.421973,258,2.217984
BLOCKS4ii.7.2-shuffled,1,0.292749,0.69301,454,0.442981,4405,2.495248
BLOCKS4iii.7-shuffled,1,0.092011,0.765071,424,0.307068,1040,2.12855
blocks_enc_2_b3_ser--opt-9_-shuffled,1,0.301922,0.698101,222,0.432458,1461,2.711097
blocks_enc_2_b4_ser--opt-26_-shuffled,1,0.197129,0.763818,1518,0.309212,11262,2.497742
c1_BMC_p1_k2048-shuffled,1,0.248582,0.512647,1101387,0.950659,1375872,2.233156
c1_BMC_p2_k1024-shuffled,1,0.261124,0.512122,556139,0.95266,734400,2.229424
c1_BMC_p2_k128-shuffled,1,0.402277,0.507665,79047,0.969804,173112,2.187424
c1_BMC_p2_k8-shuffled,1,0.634657,0.503841,14328,0.984751,56487,2.113253
c2_Debug_s5_f1_e1_v3-shuffled,1,0.956197,0.507151,21446,0.971799,268504,1.872267
c3_BMC_p1_k256-shuffled,1,0.367935,0.487572,24963.5,1.050977,50544,2.216507
c3_BMC_p2_k1024-shuffled,1,0.279523,0.483398,92043.5,1.068689,135552,2.245338
c3_BMC_p2_k2048-shuffled,1,0.262448,0.482413,181483.5,1.072911,248896,2.250906
c3_BMC_p2_k512-shuffled,1,0.311498,0.48507,47323.5,1.06156,78880,2.234911
c3_Debug_s3_f2_e2_v2-shuffled,1,0.912075,0.677261,289060.5,0.476536,2851883,2.903736
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.223767,0.546586,278,0.829539,322,2.257818
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.223456,0.546226,278.5,0.830744,322,2.25746
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.219858,0.548469,296,0.823258,341,2.29207
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.219575,0.548134,296.5,0.824373,341,2.291693
C499.blif_0.10_0.20_0_0_inp_exact,1,0.327728,0.529218,89.4,0.889582,838,2.337896
C499.blif_0.10_0.20_0_0_out_exact,1,0.34183,0.529463,413,0.888705,818,2.356038
C499.blif_0.10_0.20_0_1_out_exact,1,0.34183,0.529288,413,0.889331,818,2.356038
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.33256,0.530655,446,0.884462,860,2.37471
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.333592,0.530735,444,0.884178,860,2.375873
c4_BMC_p1_k1024-shuffled,1,0.299671,0.487941,8390,1.049428,11840,2.275323
c4_BMC_p1_k2048-shuffled,1,0.286811,0.487389,16614,1.051749,22272,2.280192
c4_BMC_p1_k512-shuffled,1,0.324102,0.488912,4278,1.04536,6624,2.266073
c4_BMC_p2_k2048-shuffled,1,0.286811,0.487389,16614,1.051749,22272,2.280192
c4_Debug_s3_f1_e1_v3-shuffled,1,0.998997,0.508285,25156.5,0.967399,573867,1.629977
c4_Debug_s3_f1_e2_v3-shuffled,1,0.998997,0.508284,25156.5,0.967404,573867,1.629977
c4_Debug_s3_f2_e1_v3-shuffled,1,0.581431,0.725155,27181.5,0.379015,364879,2.490067
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.211832,0.556652,337.5,0.796455,3090,2.2494
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.216053,0.557659,2614.5,0.793211,3074,2.25745
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,0.211803,0.556645,337.5625,0.796476,3090,2.249366
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.216022,0.557652,2615,0.793233,3074,2.257414
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.214314,0.557518,2802.5,0.793665,3264,2.308536
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.21437,0.557531,2801.5,0.793622,3264,2.308617
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.214314,0.557489,2802.5,0.793756,3264,2.308536
c5_BMC_p1_k32-shuffled,1,0.566464,0.507652,16467.5,0.969852,56882,2.232373
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.336524,0.569414,2285,0.756192,4571,2.32629
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.335352,0.569252,2337,0.756691,4652,2.331099
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.335303,0.569213,2337.5,0.756812,4652,2.331051
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.33644,0.569396,2310.5,0.756247,4621,2.332144
c6_BMC_p1_k1024-shuffled,1,0.283393,0.514498,67844,0.943641,102080,2.270595
c6_BMC_p1_k256-shuffled,1,0.316645,0.512922,17468,0.949615,29840,2.258558
c6_BMC_p2_k128-shuffled,1,0.356642,0.511285,9072,0.955855,17800,2.244079
c6_BMC_p2_k2048-shuffled,1,0.277549,0.514799,135012,0.942504,198400,2.272711
c6_BMC_p2_k64-shuffled,1,0.424566,0.509005,4874,0.964618,11780,2.219491
C880.blif_0.10_0.20_0_0_inp_exact,1,0.248109,0.551508,93.636364,0.81321,656,2.274206
C880.blif_0.10_0.20_0_0_out_exact,1,0.256844,0.552976,479.5,0.808396,638,2.288647
C880.blif_0.10_0.20_0_1_inp_exact,1,0.248109,0.551343,93.636364,0.813752,656,2.274206
C880.blif_0.10_0.20_0_1_out_exact,1,0.256844,0.552976,479.5,0.808396,638,2.288647
C880.blif_0.10_1.00_0_0_inp_exact,1,0.254789,0.552689,504.5,0.809337,665,2.283142
C880.blif_0.10_1.00_0_0_out_exact,1,0.259419,0.553495,490,0.806699,661,2.288462
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.259419,0.553325,490,0.807255,661,2.288462
CHAIN23v.24-shuffled,1,0.107613,0.743712,1633.5,0.344607,2116,2.204597
cmu.dme1.B-f2,1,0.333203,0.571333,469,0.750293,854,2.012095
cmu.dme1.B-f3,1,0.33326,0.571375,816.5,0.750165,1513,2.104405
cmu.dme1.B-f4-shuffled,1,0.333284,0.571392,1209,0.750111,2247,2.147137
cmu.dme2.B-f2,1,0.333234,0.571355,601.5,0.750224,1115,2.051405
cmu.periodic.N-d2-shuffled,1,0.33331,0.571412,2475,0.750052,4854,2.156767
cmu.periodic.N-d4-shuffled,1,0.333323,0.571421,5629,0.750023,11098,2.115903
cmu.periodic.N-f4-shuffled,1,0.333324,0.571422,6009,0.750021,11858,2.114378
comp.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.269555,0.516146,76.5,0.937438,224,2.326113
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.275534,0.51712,152.5,0.933788,232,2.356295
connect_5x4_3_R-shuffled,1,0.981203,0.366656,453.090909,1.727349,15295,3.487105
connect_5x4_4_W-shuffled,1,0.97723,0.374149,391.272727,1.672735,12575,3.431147
connect_6x5_4_D-shuffled,1,0.985032,0.376675,617.875,1.654808,32509,3.502409
connect_6x5_5_R-shuffled,1,0.981946,0.378828,546.625,1.639719,26869,3.441509
connect_7x6_4_R-shuffled,1,0.989133,0.378211,900.954545,1.644024,70175,3.544301
connect_7x6_6_W-shuffled,1,0.985066,0.382138,725.318182,1.616857,50855,3.448476
connect_8x7_3_D-shuffled,1,0.992032,0.366493,1375.586207,1.728562,141441,3.566445
