@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC

@DATA
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.515,0.6051,0.4036,0.135,0.4731,0.2023,1.3961,0.8682,0.2829,0.4648,0.0683,2.6419,0.0161,0.068,0.1317,0.0541,7.5624,9,6,0.0501,0.0252,0.0083,0.1635,0.2773,0.0721,0.172,1.3317,0.1112,0.0165,0.6657,0.25,0.2247
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.2666,0.5036,0.9607,0.5,0.9978,0.0571,0.6491,0.1789,1.9072,0.7893,0.326,1.7591,0.9607,0.0354,0.0733,0.0142,140,140,140,0.4263,0.9835,0.0024,3.3352,0.6947,0.9612,0.2984,0.1007,0.0575,0.0087,1.1995,0.9938,0.9945
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,1.092,0.9944,0.7393,0.1588,0.8754,0.176,1.3813,1.0292,0.5067,0.3878,0.1634,2.5698,0.5987,0.0158,0.0301,0.0156,16,16,16,0.2637,0.7566,0.0001,0.4802,0.4918,0.5821,0.7083,0.5447,0.0225,0,0.8092,0.8,0.885
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.0308,2.124,0.2316,0.5,0.3436,0.1019,0.6002,0.8757,0.8793,0.0881,0.0605,4.0874,0.1396,0.2415,0.3457,0.2835,21,21,21,0.0726,0.5335,0.0002,0.207,0.942,0.5081,0.0033,0.4912,0.3295,0.0519,0.455,0.5,0.8319
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.9554,0.9814,0.7314,0.1312,0.8711,0.1739,1.3793,1.0378,0.5444,0.3892,0.1635,2.5548,0.5856,0.0159,0.0298,0.0165,15.8333,16,15,0.2625,0.7541,0.0001,0.4831,0.5111,0.5673,0.6035,0.5735,0.0254,0,0.8057,0.8182,0.8804
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,2.1871,1.0463,0.7631,0.2037,0.8874,0.1843,1.3814,1.006,0.4013,0.3767,0.1552,2.6926,0.6356,0.0158,0.0323,0.0141,13.4655,14,13,0.2522,0.6706,0.0004,0.4555,0.4251,0.5492,1.6066,0.5442,0.0262,0.0001,0.8471,0.7333,0.8596
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,6.9416,0.7266,0.4556,0.5,0.6942,0.1531,1.85,1.6907,3.4805,0.5243,0.1921,3.2201,0.4006,0.2014,0.4009,0.2375,7,7,7,0.2178,0.7295,0.0096,2.6773,3.268,0.6373,2.6273,0.5481,0.3404,0,0.8178,0.9858,1
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,0.1772,0.9241,0.9746,0.5,0.9692,0.025,0.9209,0.9077,3.6567,0.2175,0.2414,4.8329,0.4047,0.1099,0.5,0.0123,4,4,4,0.3373,0.9811,0.0008,1.4774,3.4105,0.8303,0.0089,0.3091,0.1385,0,1.515,0.9618,1
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,1.5064,0.4117,0.5294,0.1579,0.5407,0.1696,1.0047,0.9018,0.6085,0.4056,0.0385,2.3627,0.0718,0.0312,0.0485,0.0291,12.8919,13,12,0.0205,0.0104,0.0002,0.1822,0.4883,0.082,0.7748,1.7491,0.0407,0.0001,0.5777,0.3333,0.3671
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,8.085,0.5895,0.3976,0.26,0.5433,0.1443,1.5499,1.1992,1.2728,0.3964,0.1052,2.6941,0.0742,0.037,0.084,0.0326,19.248,25,14,0.061,0.0635,0.0046,0.5453,1.2705,0.1968,2.9107,1.3432,0.0403,0.0151,0.7004,0.9403,0.7079
SAT_RACE2008/post-c32s-ss-8.cnf,1,2.9061,0.7935,0.5865,0.217,0.8711,0.2086,1.3213,1.0619,1.065,0.444,0.124,2.1911,0.4161,0.0658,0.1335,0.0496,7.7668,9,7,0.19,0.6957,0.0073,1.6766,0.8326,0.5567,1.2495,0.4995,0.1328,0.0101,0.8274,0.9592,0.7511
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0.0891,2.8746,0.1254,0.3768,0.1929,0.0454,0.4423,0.627,1.515,0.0543,0.0506,4.8535,0.0716,0.0436,0.1562,0.0047,6.2737,8,5,0.0314,0.1663,0.0003,0.157,1.116,0.2471,0.0059,0.9661,0.066,0,1.5233,0.5556,0.5533
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,3.1589,0.66,0.5371,1,0.7589,0.1138,1.3954,1.2942,1.4973,0.4971,0.1635,3.0333,0.1814,0.0629,0.126,0.0556,5.4373,6,2,0.3658,0.6832,0.0012,0.3787,1.9526,0.6122,1.3836,0.3336,0.1186,0.0002,0.9877,1,0.8211
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,5.0535,0.7173,0.4731,0.4628,0.4602,0.1295,1.7932,1.6396,1.548,0.3744,0.1496,2.9175,0.1344,0.0744,0.1496,0.0705,7.6563,8,7,0.1729,0.6495,0.0009,0.3873,1.4393,0.5996,1.3278,0.4125,0.1174,0.0004,0.8306,0.9732,0.8688
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,4.8307,0.7062,0.4543,0.443,0.4693,0.1328,1.7619,1.6207,1.5143,0.3748,0.1516,3.0647,0.1229,0.0786,0.1473,0.0738,7.4831,9,7,0.1711,0.6206,0.0016,0.385,1.4341,0.5643,1.2922,0.4458,0.1195,0.0006,0.8212,0.9487,0.8512
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0,0.5487,0.9993,0,0.9993,0.0085,0.677,0.6749,0.0058,0.5937,0.0021,0.7668,0.3914,0,0,0,3,3,3,0.5229,0.6934,0.0417,0.2856,0.086,0.6935,0,0.0033,0,0,0,0.5333,0.6986
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,0.1466,0.9923,0.6226,0.0827,0.8234,0.1484,1.3864,0.9445,1.552,0.4665,0.1231,2.6774,0.7751,0.0178,0.0259,0.0189,5.8902,6,5,0.1386,0.8851,0.0114,1.0211,0.5487,0.7969,0.0399,0.3063,0.0222,0.0041,0.5655,0.7273,0.9369
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.675,0.5657,0.8911,0.1719,0.8911,0.0114,0.6857,0.5773,1.086,0.4564,0.2792,4.1294,0.028,0.0054,0.0232,0,3.7557,5,3,0.2882,0.5448,0.0315,0.9288,0.9001,0.544,0.013,0.4333,0.0003,0,3.1047,0.9284,0.9397
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,2.6433,1.1117,0.6426,0.3221,0.6952,0.1562,1.8346,1.5217,0.9423,0.3278,0.1366,3.4864,0.5517,0.0331,0.0849,0.0184,17.8783,23,13,0.1777,0.6283,0.0014,0.5977,0.7595,0.561,1.3674,0.5044,0.0451,0.0009,1.1671,0.6923,0.8824
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,0.0534,2.8706,0.121,0.3432,0.1885,0.0416,0.4411,0.6182,1.4593,0.0539,0.0395,4.9338,0.0669,0.0397,0.1493,0.0029,5.5526,6,5,0.0227,0.1451,0.0003,0.154,1.0746,0.2324,0.003,0.986,0.062,0,1.5928,0.5,0.513
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,4.7944,0.7078,0.4583,0.439,0.4697,0.1341,1.7915,1.6385,1.3359,0.3755,0.1548,3.1408,0.127,0.079,0.1482,0.0736,7.4968,9,7,0.1757,0.6132,0.002,0.3926,1.2956,0.5529,1.2967,0.4576,0.1206,0.0004,0.8465,0.9658,0.8481
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,1.9531,1.0178,0.7373,0.2021,0.9035,0.1628,1.3521,1.021,0.5586,0.3624,0.1595,2.8214,0.5669,0.0148,0.0317,0.013,15,15,15,0.2463,0.6454,0.0001,0.4267,0.5364,0.5245,1.262,0.6002,0.0251,0,0.8696,0.8182,0.8627
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,5.5414,0.7279,0.5068,0.435,0.483,0.1236,1.8652,1.7163,1.7985,0.3647,0.1523,2.9222,0.1298,0.0721,0.1481,0.066,8.6176,10,7,0.1969,0.6814,0.0007,0.4106,1.6184,0.6164,1.4117,0.4497,0.1191,0.0009,0.8171,0.9699,0.9245
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,3.0739,0.7719,0.6098,0.9998,0.7678,0.2187,1.5615,1.3846,1.9496,0.415,0.136,2.8718,0.1966,0.1651,0.3185,0.1963,8.3636,9,7,0.1862,0.2098,0.005,1.1914,1.0773,0.352,1.4621,0.8604,0.2452,0.0037,0.8264,1,0.963
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,0.1264,0.752,0.9461,0.5,0.953,0.0429,1.3269,0.9783,7.5865,0.5373,0.2587,4.3628,0.6001,0.0854,0.3485,0.0024,4.25,5,4,0.4607,0.9969,0.0265,2.9522,1.3152,0.8642,0.0118,0.2737,0.0912,0,1.7769,1,1
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,1.1328,1.0067,0.7554,0.1341,0.8637,0.1882,1.3876,1.0079,0.4219,0.3982,0.1602,2.5265,0.6423,0.0169,0.0327,0.0165,15.3636,16,15,0.2707,0.7517,0.0001,0.503,0.4483,0.5849,0.7867,0.5226,0.0283,0.0001,0.8597,0.7333,0.879
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,55.6739,0.7297,0.0627,0.5,0.0352,0.0192,1.9686,1.0838,2.0992,0.31,0.1396,3.9039,0.0114,0.2,0.4164,0.1667,9.8105,12,8,0.0949,0.0659,0.013,0.1708,0.923,0.1755,5.2796,1.3411,0.3517,0.0064,0.7763,0.8,0.5134
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,0.6139,0.5701,0.9173,0.1933,0.9173,0.0067,0.6531,0.4562,1.1579,0.4652,0.2849,4.1497,0.0167,0.0052,0.0175,0,4,4,4,0.2881,0.5652,0.023,1.1667,0.9829,0.5503,0.0059,0.4694,0.0004,0,3.2101,0.9392,0.9433
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.4801,0.5919,0.4053,0.135,0.4674,0.2012,1.383,0.863,0.2778,0.4671,0.0678,2.6242,0.0149,0.0682,0.1317,0.0566,8.2616,10,6,0.0496,0.0252,0.0066,0.1624,0.2757,0.0719,0.1505,1.3328,0.1115,0.0164,0.6715,0.25,0.2247
