@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_num_cons NUMERIC

@DATA
normalized-46s-smv.xml.mzn_AND_NODATA,1,0.580065,1.723945,6.377792,10.408189,1,2779,1612,3.649874,0.378053,2904,1.801489,13,3.379324,1292,1.350737,2779
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,0.268642,3.72242,7.44484,7.44484,1,1046,281,3.169925,0.439498,843,3,3.169925,1.588719,445.374463,0,1046
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,0.258706,3.865385,7.730769,7.730769,1,201,52,4,0.590743,208,4,4,2.609496,104,0,201
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,0.769231,1.3,3.4,5.62,1,260,200,2.615385,0.604333,400,2,3,1.157745,200,0.961237,260
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.933333,4.46,0.555556,200,300,2.444444,0.736667,600,2,3,1.693646,300,0.991076,360
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,0.103759,9.637681,19.275362,19.275362,1,6650,690,5.169925,0.406858,4140,6,5.169925,3.730763,1783.624125,0,6650
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,0.06983,14.320423,28.640845,28.640845,1,12201,852,5.169925,0.272923,5112,6,5.169925,5.055056,2202.388051,0,12201
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,0.145023,6.895448,13.790896,13.790896,1,9695,1406,4,0.335645,5624,4,4,2.317467,2812,0,9695
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,0.145023,6.895448,13.790896,13.790896,1,9695,1406,4.643856,0.419556,7030,5,4.643856,2.317467,3264.630901,0,9695
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,0.666667,1.5,4,6.71,1,300,200,2.666667,0.5,400,2,3,0,200,0.918296,300
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.93,4.386667,0.555556,200,300,2.441667,0.737286,600,2,3,1.690855,300,0.990159,360
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.33,5.133333,0.5,200,300,2.4975,0.667222,600,2,3,0.948572,300,0.999982,400
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.753769,1.326667,3.31,5.106667,0.502513,200,300,2.494975,0.670556,600,2,3,1.064214,300,0.999927,398
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,0.264624,3.778947,7.557895,7.557895,1,1795,475,3.169925,0.429377,1425,3,3.169925,1.408585,752.857188,0,1795
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,0.666667,1.5,3.995,6.7,1,300,200,2.663333,0.500833,400,2,3,0.045415,200,0.921593,300
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.926667,4.453333,0.555556,200,300,2.438889,0.737444,600,2,3,1.690855,300,0.989197,360
normalized-25s-smv.xml.mzn_AND_NODATA,1,0.535303,1.868099,7.048107,12.044558,1,9475,5072,3.716095,0.396665,9067,1.787658,15,3.022216,3995,1.29745,9475
normalized-44s-smv.xml.mzn_AND_NODATA,1,0.781991,1.278788,5.705051,11.357576,1,633,495,4.35861,0.405183,872,1.761616,13,3.364944,377,1.455197,633
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,0.454545,2.2,6.085,10.2,1,440,200,2.765909,0.329631,400,2,3,0.591386,200,0.785075,440
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.933333,4.413333,0.555556,200,300,2.444444,0.736222,600,2,3,1.690126,300,0.991076,360
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.926667,4.373333,0.555556,200,300,2.438889,0.739222,600,2,3,1.709178,300,0.989197,360
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,0.666667,1.5,3.995,6.7,1,300,200,2.663333,0.500833,400,2,3,0.045415,200,0.921593,300
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,0.769231,1.3,3.3975,5.665,1,520,400,2.613462,0.60525,800,2,3,1.173211,400,0.962529,520
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,0.769231,1.3,3.3975,5.595,1,520,400,2.613462,0.604917,800,2,3,1.166676,400,0.962529,520
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,0.210721,4.745614,9.491228,9.491228,1,541,114,5.169925,0.786161,684,6,5.169925,2.572158,294.685725,0,541
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.834492,1.198333,2.926667,4.39,0.556328,400,600,2.442281,0.737722,1200,2,3,1.692595,600,0.990366,719
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,0.145023,6.895448,13.790896,13.790896,1,9695,1406,3.169925,0.251734,4218,3,3.169925,2.317467,2228.457276,0,9695
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,0.151677,6.592965,13.18593,13.18593,1,3936,597,4.643856,0.446332,2985,5,4.643856,2.650763,1386.191073,0,3936
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.93,4.43,0.555556,400,600,2.441667,0.737056,1200,2,3,1.694765,600,0.990159,720
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,0.103759,9.637681,19.275362,19.275362,1,6650,690,5.61471,0.474668,4830,7,5.61471,3.730763,1937.074896,0,6650
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.75188,1.33,3.323333,5.186667,0.501253,200,300,2.498747,0.668333,600,2,3,0.993203,300,0.999995,399
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.933333,4.48,0.555556,400,600,2.444444,0.736865,1200,2,3,1.707944,600,0.991076,720
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.931667,4.426667,0.555556,400,600,2.443056,0.736722,1200,2,3,1.689969,600,0.990623,720
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.83682,1.195,2.916667,4.43,0.55788,400,600,2.440725,0.740921,1200,2,3,1.696523,600,0.989838,717
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.326667,5.146667,0.500626,400,600,2.498123,0.667778,1200,2,3,0.972158,600,0.99999,799
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.926667,4.393333,0.555556,400,600,2.438889,0.737833,1200,2,3,1.691436,600,0.989197,720
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.326667,5.166667,0.500626,400,600,2.498123,0.667778,1200,2,3,0.972158,600,0.99999,799
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.325,5.196667,0.500626,400,600,2.496871,0.668056,1200,2,3,0.982926,600,0.999972,799
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,0.50641,1.974684,3.949367,3.949367,1,156,79,3.169925,0.784567,237,3,3.169925,0.739735,125.212038,0,156
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,0.095217,10.502304,21.004608,21.004608,1,11395,1085,6,0.516058,8680,8,6,3.541915,3255,0,11395
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.753769,1.326667,3.306667,5.14,0.502513,200,300,2.492462,0.671111,600,2,3,1.079824,300,0.999836,398
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,0.769231,1.3,3.395,5.59,1,260,200,2.611538,0.6045,400,2,3,1.141914,200,0.9638,260
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.933333,4.406667,0.555556,200,300,2.444444,0.736444,600,2,3,1.700554,300,0.991076,360
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,0.06983,14.320423,28.640845,28.640845,1,12201,852,4.643856,0.227436,4260,5,4.643856,5.055056,1978.282737,0,12201
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.55607,1.798333,4.725,7.61,0.370714,400,600,2.627433,0.552905,1200,2,3,1.278513,600,0.952623,1079
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.852273,1.173333,2.846667,4.146667,0.568182,100,150,2.426136,0.761111,300,2,3,1.675398,150,0.9842,176
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,0.454545,2.2,6.1,10.24,1,440,200,2.772727,0.328631,400,2,3,0.481202,200,0.773227,440
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,0.666667,1.5,3.9975,6.69,1,600,400,2.665,0.500417,800,2,3,0.025212,400,0.919953,600
normalized-43s-smv.xml.mzn_AND_NODATA,1,0.508486,1.966621,6.894938,11.444596,1,7188,3655,3.463829,0.386944,6791,1.858003,15,3.323245,3136,1.264645,7188
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.931667,4.44,0.555556,400,600,2.443056,0.737111,1200,2,3,1.704794,600,0.990623,720
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,0.769231,1.3,3.4,5.61,1,260,200,2.615385,0.604667,400,2,3,1.173387,200,0.961237,260
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,0.769231,1.3,3.395,5.58,1,260,200,2.611538,0.605929,400,2,3,1.158838,200,0.9638,260
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.931667,4.443333,0.555556,400,600,2.443056,0.736833,1200,2,3,1.700436,600,0.990623,720
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.379267,2.636667,7.231667,12.48,0.252845,400,600,2.742731,0.468954,1200,2,3,1.344808,600,0.822598,1582
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,0.060146,16.626108,33.252217,33.252217,1,33751,2030,5.61471,0.282717,14210,7,5.61471,4.858298,5698.930492,0,33751
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,0.666667,1.5,3.9975,6.73,1,600,400,2.665,0.500417,800,2,3,0.025212,400,0.919953,600
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,0.114926,8.701235,17.402469,17.402469,1,3524,405,5.169925,0.434514,2430,6,5.169925,3.790965,1046.909813,0,3524
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,0.666667,1.5,4,6.7,1,150,100,2.666667,0.5,200,2,3,0,100,0.918296,150
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,0.666667,1.5,3.995,6.715,1,600,400,2.663333,0.500833,800,2,3,0.045415,400,0.921593,600
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.75188,1.33,3.323333,5.126667,0.501253,200,300,2.498747,0.668333,600,2,3,0.993203,300,0.999995,399
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.55607,1.798333,4.725,7.573333,0.370714,400,600,2.627433,0.552976,1200,2,3,1.302519,600,0.952623,1079
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,0.666667,1.5,3.99,6.75,1,300,200,2.66,0.501667,400,2,3,0.080793,200,0.924819,300
normalized-army8-9ls.xml.mzn_AND_NODATA,1,0.662651,1.509091,7.236364,49.290909,1,332,220,4.795181,0.295613,440,2,64,1.899486,220,2.097437,332
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.333333,5.16,0.5,200,300,2.5,0.666667,600,2,3,0.918296,300,1,400
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.326667,5.193333,0.500626,400,600,2.498123,0.667778,1200,2,3,0.972158,600,0.99999,799
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,0.095217,10.502304,21.004608,21.004608,1,11395,1085,5.61471,0.451551,7595,7,5.61471,3.541915,3045.98009,0,11395
normalized-army13-24bt.xml.mzn_AND_NODATA,1,0.451613,2.214286,12.265306,137.967347,1,1085,490,5.539171,0.201246,980,2,169,2.844593,490,2.195563,1085
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.840336,1.19,2.9,4.393333,0.560224,200,300,2.436975,0.744111,600,2,3,1.668793,300,0.988508,357
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,0.454545,2.2,6.095,10.425,1,880,400,2.770455,0.328857,800,2,3,0.485862,400,0.777218,880
normalized-anna-10.xml.mzn_AND_NODATA,1,0.279919,3.572464,7.144928,7.144928,1,493,138,6.643856,3.763869,1380,10,6.643856,3.71276,458.426077,0,493
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.752823,1.328333,3.316667,5.106667,0.501882,400,600,2.496863,0.669444,1200,2,3,1.030736,600,0.999972,797
normalized-army12-21bt.xml.mzn_AND_NODATA,1,0.454352,2.200935,12.058411,118.088785,1,942,428,5.478769,0.201373,856,2,144,2.885871,428,2.21476,942
normalized-army10-14ls.xml.mzn_AND_NODATA,1,0.663866,1.506329,7.696203,76.316456,1,476,316,5.109244,0.280994,632,2,100,1.867368,316,2.096156,476
normalized-army12-21ls.xml.mzn_AND_NODATA,1,0.664596,1.504673,8.056075,110.682243,1,644,428,5.354037,0.272422,856,2,144,1.810577,428,2.07194,644
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,0.288809,3.4625,9.87,17.75,1,1385,400,2.850542,0.202917,800,2,3,0.573851,400,0.608483,1385
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,0.287356,3.48,9.9275,17.855,1,1392,400,2.85273,0.201653,800,2,3,0.380518,400,0.602966,1392
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0.557103,1.795,4.715,7.59,0.371402,400,600,2.626741,0.553623,1200,2,3,1.355202,600,0.953142,1077
normalized-army10-14bt.xml.mzn_AND_NODATA,1,0.460641,2.170886,11.518987,83.221519,1,686,316,5.306122,0.203979,632,2,100,2.92837,316,2.251027,686
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,0.130783,7.646226,15.292453,15.292453,1,1621,212,4.643856,0.396645,1060,5,4.643856,3.879839,492.248756,0,1621
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.325,5.136667,0.500626,400,600,2.496871,0.668056,1200,2,3,0.982926,600,0.999972,799
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,0.287977,3.4725,9.8975,17.885,1,1389,400,2.850252,0.202278,800,2,3,0.476871,400,0.609209,1389
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.926667,4.306667,0.555556,100,150,2.438889,0.737333,300,2,3,1.687307,150,0.989197,180
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.377596,2.648333,7.266667,12.613333,0.251731,400,600,2.743864,0.468185,1200,2,3,1.239471,600,0.820859,1589
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,0.454545,2.2,6.095,10.31,1,440,200,2.770455,0.328905,400,2,3,0.513648,200,0.777218,440
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.333333,5.206667,0.5,200,300,2.5,0.666667,600,2,3,0.918296,300,1,400
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,0.455063,2.1975,6.0875,10.36,1,879,400,2.770193,0.329464,800,2,3,0.576335,400,0.777674,879
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.328333,5.2,0.5,400,600,2.49625,0.6675,1200,2,3,0.960777,600,0.999959,800
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,0.454545,2.2,6.095,10.415,1,880,400,2.770455,0.328935,800,2,3,0.522467,400,0.777218,880
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,0.769231,1.3,3.4,5.6,1,130,100,2.615385,0.604,200,2,3,1.153399,100,0.961237,130
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,0.769231,1.3,3.4,5.68,1,130,100,2.615385,0.602333,200,2,3,1.082921,100,0.961237,130
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,0.769231,1.3,3.38,5.48,1,130,100,2.6,0.607333,200,2,3,1.127169,100,0.970951,130
normalized-anna-9.xml.mzn_AND_NODATA,1,0.279919,3.572464,7.144928,7.144928,1,493,138,6.33985,3.387482,1242,9,6.33985,3.71276,437.44965,0,493
normalized-army9-12ls.xml.mzn_AND_NODATA,1,0.663342,1.507519,7.481203,61.902256,1,401,266,4.962594,0.287301,532,2,81,1.888089,266,2.100949,401
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,0.286533,3.49,9.95,17.975,1,1396,400,2.851003,0.201125,800,2,3,0.289811,400,0.607325,1396
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,1.278928,0.781905,3.428571,53.285714,1,821,1050,4.384896,0.795918,2100,2,50,-5.958841,1050,0.500372,821
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,0.769231,1.3,3.39,5.59,1,520,400,2.607692,0.60675,800,2,3,1.159711,400,0.966273,520
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,1.284404,0.778571,3.428571,63.285714,1,981,1260,4.40367,0.795918,2520,2,60,-6.146723,1260,0.479337,981
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,0.155023,6.450658,12.901316,12.901316,1,7844,1216,4,0.328255,4864,4,4,3.443623,2432,0,7844
normalized-army9-12bt.xml.mzn_AND_NODATA,1,0.464223,2.154135,11.157895,68.105263,1,573,266,5.179756,0.20725,532,2,81,2.92331,266,2.254488,573
normalized-22s-smv.xml.mzn_AND_NODATA,1,0.453822,2.203509,7.934002,12.895572,1,13188,5985,3.56741,0.397666,11246,1.879031,15,2.737918,5261,1.283164,13188
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,0.666667,1.5,3.9975,6.73,1,600,400,2.665,0.500417,800,2,3,0.025212,400,0.919953,600
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.326667,5.166667,0.5,200,300,2.495,0.667778,600,2,3,0.972158,300,0.999928,400
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1.235294,0.809524,3.5,45.5,1,952,1176,4.323529,0.8125,2352,2,42,-6.527198,1176,0.450352,952
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,0.454545,2.2,6.095,10.4,1,440,200,2.770455,0.328964,400,2,3,0.525895,200,0.777218,440
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,0.095217,10.502304,21.004608,21.004608,1,11395,1085,5.169925,0.387044,6510,6,5.169925,3.541915,2804.684313,0,11395
normalized-army13-24ls.xml.mzn_AND_NODATA,1,0.664858,1.504082,8.208163,130.681633,1,737,490,5.457259,0.269517,980,2,169,1.778284,490,2.055656,737
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,0.769231,1.3,3.3975,5.64,1,520,400,2.613462,0.605083,800,2,3,1.157509,400,0.962529,520
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1.270802,0.786905,3.428571,43.285714,1,661,840,4.357035,0.795918,1680,2,40,-5.728893,840,0.529767,661
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667,3.326667,5.146667,0.500626,400,600,2.498123,0.667778,1200,2,3,0.972158,600,0.99999,799
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,1.288344,0.77619,3.428571,73.285714,1,1141,1470,4.417178,0.795918,2940,2,70,-6.305575,1470,0.463471,1141
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.379027,2.638333,7.24,12.513333,0.252685,400,600,2.744157,0.468796,1200,2,3,1.324786,600,0.820409,1583
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.75,1.333333,3.333333,5.146667,0.5,100,150,2.5,0.666667,300,2,3,0.918296,150,1,200
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,1.22807,0.814286,3.5,38.5,1,798,980,4.298246,0.8125,1960,2,35,-6.329922,980,0.476702,798
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,1.176471,0.85,3.6,39.8,1,1377,1620,4.235294,0.84,3240,2,36,-7.549952,1620,0.381056,1377
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,1.247525,0.801587,3.5,66.5,1,1414,1764,4.366337,0.8125,3528,2,63,-6.96592,1764,0.40181,1414
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1.205742,0.829365,3.555556,45.666667,1,1254,1512,4.287081,0.82716,3024,2,42,-7.168874,1512,0.398056,1254
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1.050193,0.952206,3.764706,20.294118,1,2072,2176,3.953668,0.896194,4352,2,16,-9.101168,2176,0.378336,2072
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,1.295497,0.771905,3.428571,103.285714,1,1621,2100,4.441703,0.795918,4200,2,100,-6.673127,2100,0.432721,1621
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,0.153206,6.52714,13.05428,13.05428,1,12506,1916,4,0.323664,7664,4,4,3.501116,3832,0,12506
normalized-army11-17bt.xml.mzn_AND_NODATA,1,0.457355,2.186486,11.775676,99.372973,1,809,370,5.385661,0.202985,740,2,121,2.893584,370,2.233478,809
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,0.671164,1.48995,3.349964,4.313711,1,4151,2786,2.226451,0.583881,5236,1.879397,5,2.689019,2450,0.843055,4151
normalized-anna-8.xml.mzn_AND_NODATA,1,0.279919,3.572464,7.144928,7.144928,1,493,138,6,3.011095,1104,8,6,3.71276,414,0,493
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,1.10303,0.906593,3.714286,30.142857,1,2145,2366,4.09697,0.877551,4732,2,26,-8.824763,2366,0.347084,2145
