@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC

@DATA
SAT_Competition2009/CRAFTED/edgematching/explicit/em_7_3_6_exp.cnf,1,0.0413,0.053,1.117,0.7047,0.0809,0.5,0.0259,0.0269,0.9908,0.064,0.4888,0.7921,0.7721,0.9624,1.4442,5.7022
SAT_Competition2011/SAT07/crafted/spence/hard/s113-100.cnf,1,0.3225,0.3237,0,1,0.3245,0.2,0.3148,0.3217,0.8011,0.4788,0,0.0398,0.086,0.0685,0.114,5.8661
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.373,0.3786,1.1977,0.3879,0.3797,0.4737,0.3561,0.3662,0.7797,0.2629,0.8477,0,0.0467,0,0.1136,5
SAT_Competition2007/crafted/Medium/contest05/others/QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf,1,0.0398,0.4198,1.3824,0.4093,0.9774,0.9592,0.0834,0.0345,0.9939,0.0369,0.9132,0.8691,0.8192,0.9234,1.5667,3.88
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf,1,0.3832,0.3832,1.0038,0.3643,0.3832,0.5325,0.3831,0.3831,0.7383,0.25,0.9544,0,0,0,0,7
SAT_Competition2009/CRAFTED/Hard/contest04/others/ramsey.sat05-511.reshuffled-07.cnf,1,0.0005,0.0005,1.1311,0.3057,0.0005,?,0.0005,0.0005,0.8758,0.025,0.8518,0,?,0,?,2
SAT_Competition2011/SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf,1,0.3717,0.3777,1.23,0.3892,0.3804,0.5325,0.3501,0.3644,0.7511,0.2658,0.8484,0,0.0681,0,0.1287,6.8802
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.2006,0.2009,1.0987,0.4599,0.2198,0.1858,0.1935,0.1925,0.995,0.1636,1.0372,0.8139,0.3794,0.8242,0.9449,3
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-17x30.cnf,1,0,0,0,1,0,?,0,0,0.9634,0.0064,0,0.3425,?,0.376,?,2
SAT_Competition2007/crafted/Medium/contest05/sabharwal/sat-strips-gripper-10t19.sat05-1143.reshuffled-07.cnf,1,0.0126,0.1492,1.168,0.4608,0.2756,0.5238,0.0294,0.0006,0.9897,0.0438,0.9848,0.8894,0.9156,0.9942,0.7316,14.3455
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hidden-k3-s0-r5-n700-01-S2069048075.sat05-488.reshuffled-07.cnf,1,0.0612,0.1009,0.6373,0.5036,0.2992,0.2418,0.0462,0.0342,0.8378,0.1984,0.5796,0.387,0.227,0.559,0.2142,4
SAT_Competition2009/CRAFTED/edgematching/explicit/em_11_3_4_exp.cnf,1,0.0242,0.0384,0.7715,0.8453,0.0601,?,0.0164,0.01,0.9985,0.0226,0.3314,0.901,?,0.9862,?,5.0667
SAT_Competition2007/crafted/Medium/contest05/pebbling/sat-pbl-00400.sat05-1322.reshuffled-07.cnf,1,0.4715,0.4842,2.69,0.2918,0.4994,?,0.4079,0.4376,0.9956,0.0182,0.7862,0.545,?,0.7497,?,5.0889
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes7.cnf,1,0,0,0.1921,0.9969,0,?,0,0,1.0214,0.0096,0.0142,0.8299,?,0.8815,?,3.2522
SAT_Competition2007/crafted/Medium/contest05/others/QG-gensys-brn008.sat05-2685.reshuffled-07.cnf,1,0.4999,0.5,2.9219,0.2822,1,?,0.4508,0.4996,0.9546,0.2217,0.9249,0.6983,?,0.7998,?,4.5216
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG8-gensys-ukn005.sat05-3584.reshuffled-07.cnf,1,0.5,0.5,1.5704,0.3316,0.5,?,0.2601,0.4948,0.9899,0.0215,0.8393,0.8489,?,0.9951,?,3.9192
SAT_Competition2011/SAT04/handmade/hirsch03/hgen8-n320-01-S1432474240.shuffled-as.sat03-890.used-as.sat04-841.cnf,1,0.3303,0.359,1.2178,0.4024,0.4643,0.5,0.2986,0.2757,0.9038,0.4434,1.1112,0.5725,0.3882,0.627,0.6292,4.8798
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes5.cnf,1,0,0,0.272,0.9923,0,?,0,0,1.0027,0.0168,0.0278,0.79,?,0.8021,?,3
SAT_Competition2009/CRAFTED/Hard/contest02/hgen2-v500-s1216665065.sat05-467.reshuffled-07.cnf,1,0.0846,0.0886,0.5537,0.4949,0.0975,0.125,0.0761,0.0784,0.7977,0.2857,0.5772,0.0858,0.0444,0.1543,0.0485,4
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.3887,0.3904,1.0749,0.2847,0.3907,0.9048,0.3335,0.3853,0.7222,0.3177,0.9523,0.1128,0.1608,0.1855,0.1933,36.9301
SAT_Competition2009/CRAFTED/rbsat/random/forced/rbsat-v760c43649gyes1.cnf,1,0,0,0.2678,0.9925,0,?,0,0,0.9995,0.0169,0.0274,0.7956,?,0.808,?,3
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-16-10-11.sat05-1253.reshuffled-07.cnf,1,0.1601,0.1696,1.2234,0.4509,0.1935,?,0.0874,0.0828,0.9983,0.0281,0.6629,0.836,?,0.8369,?,3.0841
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-230-3.shuffled-as.sat05-2505.cnf,1,0.119,0.1384,1.6431,0.3739,0.1901,0.6517,0.1092,0.1042,0.9642,0.1398,0.7972,0.0395,0.1589,0.0347,0.2462,6.0185
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0.3429,0.3429,0,1,0.343,0.0488,0.3429,0.3429,1,0.0698,0,0.619,0.6898,0.6191,0.645,2
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s34713902-sat.cnf,1,0.2295,0.2295,1.0976,0.438,0.2295,0.4,0.2295,0.2295,0.9027,0.4167,1.067,0.5832,0.3252,0.5832,0.8944,4.1899
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-14x8.cnf,1,0.006,0.006,0,1,0.006,?,0.006,0.006,0.9987,0.0319,0,0.5077,?,0.5077,?,2
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.1608,0.1658,1.1095,0.4639,0.1712,0.1066,0.161,0.1608,0.997,0.0997,1.0418,0.8845,0.3027,0.8888,1.4052,3
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes10.cnf,1,0,0,0.1803,0.9974,0.0023,?,0,0,1.0003,0.0085,0.0124,0.8512,?,0.9364,?,3
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v1820c171155gyes6.cnf,1,0,0,0.2053,0.9963,0,?,0,0,0.9998,0.0104,0.0159,0.829,?,0.8548,?,3
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl004.sat05-2716.reshuffled-07.cnf,1,0.4999,0.5,3.0185,0.299,1,?,0.4549,0.4995,0.9433,0.2249,0.8604,0.7018,?,0.7998,?,4.8162
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.4991,0.4997,2.5461,0.3101,0.9999,?,0.4471,0.496,0.9103,0.1672,0.8835,0.7352,?,0.8261,?,4.871
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x39.cnf,1,0.3496,0.4057,0,1,0.5,?,0.2646,0.2689,1.0018,0.0039,0,0.6441,?,0.8119,?,2
SAT_Competition2007/crafted/spence/hard/s97-100.cnf,1,0.3214,0.3224,0,1,0.3232,0.2,0.313,0.3199,0.8028,0.4755,0,0.0432,0.0846,0.0616,0.1125,5.2708
SAT_Competition2009/CRAFTED/Hard/contest04/connamacher/connm-ue-csp-sat-n1200-d-0.02-s383740539.sat05-534.reshuffled-07.cnf,1,0.0089,0.0107,1.0488,0.4781,0.0176,0.399,0.0044,0.0012,0.9765,0.0658,0.5945,0.6284,0.3055,0.67,0.5609,6.5124
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.0455,0.0647,1.4994,0.4544,0.0651,0.4062,0.032,0.0454,0.837,0.163,0.7255,0.2021,0.3858,0.3509,0.5309,6.2006
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.1201,0.151,1.7119,0.3645,0.2242,0.671,0.111,0.1044,0.963,0.1369,0.8508,0.0385,0.1809,0.0479,0.3183,6.0101
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1820c171155gyes3.cnf,1,0,0,0.2012,0.9964,0,?,0,0,0.9998,0.0104,0.0157,0.8314,?,0.8559,?,3.0465
SAT_Competition2009/CRAFTED/sgi/new-difficult-28-302-26-75.cnf,1,0,0,0.0857,0.9988,0.0004,?,0,0,1.0014,0.0147,0.0092,0.9024,?,0.9129,?,2
SAT_Competition2009/CRAFTED/edgematching/compact/em_8_4_5_cmp.cnf,1,0.1709,0.2279,1.1741,0.4042,0.3407,0.5,0.0847,0.0215,0.883,0.1081,0.5383,0.7466,1.5363,0.9638,0.528,5.7665
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v2640c305320g2.cnf,1,0,0.0001,0.1807,0.9974,0.0047,?,0,0,1.0094,0.0085,0.0124,0.8522,?,0.9362,?,3
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-12-12-unsat.cnf,1,0.0415,0.0415,0,1,0.0416,0.08,0.0415,0.0415,0.9687,0.1538,0,0.7088,0.3348,0.7088,0.9594,3
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-127-100.cnf,1,0.3237,0.3248,0,1,0.3252,0.2,0.3166,0.3225,0.8008,0.4813,0,0.0354,0.0747,0.0526,0.1013,6
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-13_160.cnf,1,0.0001,0.0003,0,1,0.0009,?,0.0001,0,0.9904,0.0219,0,0.6068,?,0.6339,?,2.9874
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,0.3832,0.3832,0.9882,0.3656,0.3833,0.5325,0.3831,0.3831,0.7362,0.25,0.9265,0,0,0,0,8.2453
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00090.sat05-1326.reshuffled-07.cnf,1,0.4741,0.4919,2.5647,0.3176,0.4979,?,0.4067,0.4335,0.9902,0.031,0.7124,0.5452,?,0.7594,?,4.0568
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0.0218,0.0219,0,1,0.0221,?,0.0216,0.0216,0.9987,0.0358,0,0.9295,?,0.9296,?,2
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.0256,0.0406,0.9764,0.7784,0.0826,?,0.0169,0.0142,0.9964,0.0356,0.4033,0.8451,?,0.9797,?,5.5011
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v945c61409gyes8.cnf,1,0,0,0.2488,0.9937,0,?,0,0,0.9996,0.0149,0.0239,0.8053,?,0.8153,?,3
SAT_Competition2007/crafted/spence/medium/s69-100.cnf,1,0.3177,0.3191,0,1,0.3195,0.2,0.307,0.3132,0.8119,0.4662,0,0.0541,0.0973,0.0697,0.1255,5
SAT_Competition2007/crafted/Hard/contest05/QG/QG7-dead-dnd001.sat05-3419.reshuffled-07.cnf,1,0.4983,0.4996,2.0719,0.4322,0.9994,0.9777,0.3311,0.4841,0.9867,0.1227,0.9149,0.7544,0.8773,0.8436,0.9086,4.6592
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0,0,0.222,0.9956,0,?,0,0,0.9997,0.012,0.0184,0.8324,?,0.8429,?,3.1818
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g8.cnf,1,0,0,0.261,0.9928,0,?,0,0,1.0024,0.0169,0.027,0.7995,?,0.814,?,3.0097
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.0289,0.0426,1.0674,0.7423,0.0797,0.5,0.0198,0.0168,0.9944,0.0468,0.4419,0.8185,0.733,0.9734,1.6306,5.7241
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x40.cnf,1,0.3482,0.4046,0,1,0.5,?,0.2625,0.2671,1.0023,0.0038,0,0.6443,?,0.8139,?,2
SAT_Competition2009/CRAFTED/Hard/contest04/others/CompositeRSA576.sat05-509.reshuffled-07.cnf,1,0.5,0.5,1.3113,0.3999,0.5,?,0.4216,0.5,0.9967,0.1009,0.7211,0.1544,?,0.1429,?,0
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-5x41.cnf,1,0.0001,0.0001,0,1,0.0001,?,0.0001,0.0001,0.9959,0.0184,0,0.4464,?,0.4465,?,2
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g4.cnf,1,0,0,0.2611,0.9928,0.0001,?,0,0,0.9995,0.0169,0.027,0.7989,?,0.8121,?,3.0709
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0,0.6262,0.5002,0,0.0666,0,0,0.998,0.035,0.5881,0.5268,0.0703,0.5268,0.4743,3
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-19_348.cnf,1,0,0,0,1,0,?,0,0,0.997,0.0106,0,0.6849,?,0.7086,?,2.104
SAT_Competition2009/CRAFTED/parity-games/instance_n6_i6_pp_ci_ce.cnf,1,0.0693,0.2554,1.6226,0.5163,0.3602,?,0.0695,0.0352,0.949,0.0847,0.6558,0.5572,?,0.8266,?,6.1183
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hgen7-n390-02-S178568232.sat05-479.reshuffled-07.cnf,1,0.0384,0.039,0.5708,0.5052,0.0404,0.1176,0.0294,0.0369,0.839,0.2265,0.5772,0,0.0725,0,0.0784,4.7841
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0.0249,0.0425,0.9573,0.7883,0.0826,?,0.0144,0.0003,0.9904,0.0384,0.3974,0.8496,?,0.9771,?,5.7302
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_18_80_10-dir.shuffled-as.sat03-140.cnf,1,0,0,0.845,0.4856,0.0001,?,0,0,0.9998,0.0131,1.0233,0.881,?,0.8958,?,3
SAT_Competition2009/CRAFTED/sgi/satsgi-n25himBHm27-p0-q251.cnf,1,0.0408,0.041,0,1,0.0413,?,0.0406,0.0406,1.0003,0.0401,0,0.9324,?,0.9325,?,2
SAT_Competition2009/CRAFTED/sgi/satsgi-n22himBHm25-p0-q229.cnf,1,0.0623,0.0623,0,1,0.0624,0.0909,0.0623,0.0623,0.9996,0.0446,0,0.9332,0.3401,0.9332,3.479,2
SAT_Competition2011/SAT09/CRAFTED/modcircuits/mod4block_3vars_7gates.cnf,1,0.4602,0.4621,2.0155,0.4192,1,?,0.2283,0.1594,0.9989,0.0068,0.5631,0.3005,?,0.7681,?,3.3989
SAT_Competition2007/crafted/Hard/contest03/others/color-11-3.sat05-445.reshuffled-07.cnf,1,0,0,2.1245,0.362,0.0001,?,0,0,0.9555,0.0263,0.7739,0.0628,?,0.075,?,2
SAT_Competition2011/SAT11/crafted/manthey/sudoku-single-hard/sudoku_81x81_unknown.cnf,1,0.0034,0.0037,0,1,0.0042,0.2857,0.0031,0.0031,0.9805,0.064,0,0.8441,0.1872,0.8931,3.0231,6.7397
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s33098896-unsat.cnf,1,0.3253,0.3257,0.5623,0.5,0.3262,0.2,0.3198,0.3238,0.7955,0.4866,0.5774,0.0271,0.064,0.0171,0.0884,6.3556
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0.042,0.042,0.5623,0.5,0.042,0.4286,0.042,0.042,0.8742,0.25,0.5774,0,0.0619,0,0.0109,6.0457
SAT_Competition2009/CRAFTED/edgematching/all/em_12_2_4_all.cnf,1,0.0013,0.0227,0.6581,0.8786,0.0663,?,0.0049,0.0003,0.9994,0.0172,0.2871,0.9254,?,0.99,?,5.25
SAT_Competition2009/CRAFTED/sgen/sat/sgen1-sat-230-100.cnf,1,0.2295,0.2295,0,1,0.2296,0.4,0.2295,0.2295,0.9021,0.4167,0,0.5832,0.3252,0.5832,0.8944,4.8559
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-6x34.cnf,1,0.0001,0.0001,0,1,0.0001,?,0.0001,0.0001,0.997,0.0179,0,0.4431,?,0.4432,?,2
SAT_Competition2009/CRAFTED/edgematching/compact/em_7_3_6_cmp.cnf,1,0.1492,0.2345,1.2069,0.4161,0.3397,0.5,0.0813,0.0218,0.9318,0.1267,0.6183,0.71,1.3015,0.95,0.5576,5.7022
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,0.499,0.4997,2.5306,0.314,0.9999,?,0.4382,0.4958,0.912,0.1631,0.8811,0.7356,?,0.826,?,4.8618
SAT_Competition2007/crafted/Hard/contest05/counting-php/harder-fphp-035-034.sat05-1235.reshuffled-07.cnf,1,0.0099,0.01,0.8447,0.4886,0.01,?,0.0098,0.0099,1,0.0298,1.0166,0.93,?,0.9301,?,3
SAT_Competition2011/SAT09/CRAFTED/ramseycube/Q3inK10.cnf,1,0.4988,0.4988,0,1,0.4988,?,0.4988,0.4988,0.9268,0.0006,0,0,?,0,?,2
SAT_Competition2009/CRAFTED/ramseycube/Q3inK09.cnf,1,0.4997,0.4997,0,1,0.4997,?,0.4997,0.4997,0.4909,0.0024,0,0,?,0,?,2
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,0.499,0.4997,2.5489,0.3151,0.9999,?,0.4444,0.496,0.9128,0.1663,0.8766,0.7348,?,0.8263,?,4.8809
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-12.sat05-2587.reshuffled-07.cnf,1,0.3791,0.3804,1.1751,0.3621,0.3813,0.4737,0.3649,0.3741,0.7857,0.2586,0.9751,0,0.038,0,0.0975,5
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-4x35.cnf,1,0.003,0.003,0,1,0.003,?,0.003,0.003,0.9997,0.0286,0,0.4948,?,0.4948,?,2
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s55656844-unsat.cnf,1,0.3231,0.3241,0.5534,0.4947,0.3248,0.2,0.3159,0.3223,0.8006,0.4802,0.5772,0.0369,0.0768,0.0581,0.1038,5.9417
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0,0,0,1,0,?,0,0,0.9984,0.013,0,0.4081,?,0.4081,?,2
SAT_Competition2009/CRAFTED/parity-games/instance_n7_i8_pp.cnf,1,0.0684,0.2557,1.5922,0.5316,0.3654,?,0.0671,0.0296,0.9549,0.0736,0.628,0.5973,?,0.8446,?,6.3112
SAT_Competition2007/crafted/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0.1626,0.2899,1.2297,0.467,0.5,?,0.1056,0.0576,0.9975,0.0192,1.0218,0.8362,?,0.9864,?,6.5
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf,1,0.1075,0.1077,0.9599,0.4825,0.1115,?,0.1058,0.1057,1.0009,0.05,1.0234,0.9351,?,0.9363,?,3
