@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC

@DATA
2-fullins-5-6.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343
2-fullins-5-7.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343
2-insertions-3-3.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108
2-insertions-3-4.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108
2-insertions-4-3.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691
2-insertions-4-4.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691
2-insertions-4-5.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691
2-insertions-5-3.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101
2-insertions-5-4.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101
2-insertions-5-5.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101
2-insertions-5-6.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101
3-fullins-3-5.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875
3-fullins-3-6.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875
3-fullins-4-5.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037
3-fullins-4-6.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037
3-fullins-4-7.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037
3-fullins-5-5.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286
3-fullins-5-6.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286
3-fullins-5-7.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286
3-fullins-5-8.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286
3-insertions-3-3.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429
3-insertions-3-4.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429
3-insertions-4-3.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847
3-insertions-4-4.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847
3-insertions-4-5.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847
3-insertions-5-3.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138
3-insertions-5-4.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138
3-insertions-5-5.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138
3-insertions-5-6.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138
4-fullins-3-6.xml.watchless.minion.gz,1,0.061404,0.289676,0.201754,0.061404
4-fullins-3-7.xml.watchless.minion.gz,1,0.061404,0.289676,0.201754,0.061404
4-fullins-4-6.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739
4-fullins-4-7.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739
4-fullins-4-8.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739
4-fullins-5-5.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477
4-fullins-5-6.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477
4-fullins-5-7.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477
4-fullins-5-8.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477
4-insertions-3-3.xml.watchless.minion.gz,1,0.037975,0.450984,0.164557,0.050633
4-insertions-3-4.xml.watchless.minion.gz,1,0.037975,0.450984,0.164557,0.050633
4-insertions-4-3.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842
4-insertions-4-4.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842
4-insertions-4-5.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842
5-fullins-3-6.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455
5-fullins-3-7.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455
5-fullins-3-8.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455
5-fullins-4-6.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825
5-fullins-4-7.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825
5-fullins-4-8.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825
5-fullins-4-9.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825
abb313GPIA-10.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105
abb313GPIA-5.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105
abb313GPIA-7.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105
abb313GPIA-8.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105
abb313GPIA-9.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.05,0.796046,0.11,0.07
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.05,0.795805,0.09,0.07
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.05,0.795776,0.09,0.07
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.05,0.795656,0.11,0.07
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.06,0.795656,0.13,0.08
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.05,0.796552,0.13,0.08
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.05,0.796287,0.1,0.08
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.06,0.79571,0.12,0.08
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.07,0.791291,0.11,0.09
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.07,0.790977,0.12,0.09
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.06,0.791635,0.1,0.09
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.07,0.79115,0.12,0.09
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.07,0.791037,0.12,0.105
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.07,0.791492,0.11,0.1
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.08,0.791431,0.12,0.1
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.07,0.791607,0.11,0.1
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.11,0.780003,0.17,0.15
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.12,0.780308,0.18,0.15
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.11,0.780538,0.18,0.15
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.12,0.780208,0.17,0.15
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.2,0.769331,0.26,0.24
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.19,0.769318,0.25,0.24
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.2,0.769267,0.28,0.25
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.2,0.769022,0.26,0.24
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.025,0.795331,0.055,0.035
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.025,0.795271,0.065,0.035
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.025,0.79557,0.055,0.035
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.025,0.795191,0.06,0.035
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.03,0.795749,0.055,0.04
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.03,0.796105,0.085,0.04
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.025,0.795703,0.06,0.04
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.03,0.795257,0.06,0.04
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.035,0.791154,0.055,0.045
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.035,0.791381,0.055,0.045
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.03,0.791097,0.055,0.045
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.035,0.790997,0.06,0.045
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.035,0.790984,0.06,0.055
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.04,0.791324,0.06,0.05
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.04,0.791054,0.06,0.05
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.04,0.790842,0.06,0.055
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.06,0.779643,0.095,0.075
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.06,0.779963,0.09,0.075
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.06,0.77981,0.085,0.075
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.06,0.779743,0.095,0.075
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.12,0.768757,0.165,0.1525
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.12,0.768523,0.16,0.155
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.125,0.768748,0.165,0.155
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.12,0.768699,0.16,0.155
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.1,0.79658,0.2,0.14
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.1,0.796826,0.14,0.14
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.1,0.796433,0.18,0.14
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.1,0.796679,0.16,0.14
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.1,0.798562,0.16,0.14
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.1,0.79658,0.2,0.16
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.1,0.798329,0.22,0.14
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.1,0.796826,0.22,0.14
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.12,0.792436,0.22,0.18
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.14,0.792021,0.18,0.18
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.14,0.791967,0.18,0.18
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.12,0.79249,0.18,0.16
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.16,0.791735,0.22,0.2
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.14,0.792436,0.22,0.2
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.14,0.79291,0.22,0.18
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.14,0.792302,0.2,0.2
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.24,0.780861,0.3,0.28
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.22,0.780167,0.34,0.28
aim-50-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.22,0.780167,0.32,0.28
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.22,0.780504,0.3,0.26
aim-50-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.36,0.768922,0.46,0.44
aim-50-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.34,0.769284,0.48,0.44
aim-50-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.34,0.770237,0.44,0.42
aim-50-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.36,0.769912,0.46,0.44
ash331GPIA-3.xml.watchless.minion.gz,1,0.018127,0.236166,0.022659,0.019637
ash331GPIA-4.xml.watchless.minion.gz,1,0.018127,0.236166,0.022659,0.019637
ash608GPIA-3.xml.watchless.minion.gz,1,0.009868,0.232574,0.009868,0.010691
ash608GPIA-4.xml.watchless.minion.gz,1,0.009868,0.232574,0.009868,0.010691
ash958GPIA-3.xml.watchless.minion.gz,1,0.006785,0.230512,0.007829,0.006785
ash958GPIA-4.xml.watchless.minion.gz,1,0.006785,0.230512,0.007829,0.006785
bf-0432-007_ext.xml.minion.converted.minion.gz,1,0.006186,0.839212,0.01134,0.006186
bf-1355-075_ext.xml.minion.converted.minion.gz,1,0.0044,0.816032,0.006051,0.00165
bf-1355-638_ext.xml.minion.converted.minion.gz,1,0.007519,0.773016,0.009398,0.003759
bf-2670-001_ext.xml.minion.converted.minion.gz,1,0.003215,0.861272,0.006431,0.001608
BlackHole-4-13-e-0_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808
BlackHole-4-13-e-1_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808
BlackHole-4-13-e-2_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808
BlackHole-4-13-e-3_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808
BlackHole-4-13-m-0_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808
BlackHole-4-13-m-1_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808
BlackHole-4-13-m-2_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808
BlackHole-4-4-e-0_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-0_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-1_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-1_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-2_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-2_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-3_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-3_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-4_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-4_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-5_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-5_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-6_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-6_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-7_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-7_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-8_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-8_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-9_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-4-e-9_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625
BlackHole-4-7-e-0_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-e-1_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-e-2_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-e-3_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-e-4_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-e-5_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-e-6_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-e-7_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-e-8_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-e-9_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-h-0_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-h-1_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-h-2_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-h-3_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-h-4_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-h-5_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-h-6_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-h-7_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-h-8_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
BlackHole-4-7-h-9_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929
bqwh-15-106-0_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-10_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-11_ext.xml.minion.converted.minion.gz,1,0.084906,0.813791,0.113208,0.113208
bqwh-15-106-11_glb.xml.minion.conv.minion,1,0.113208,0.468439,0.113208,0.113208
bqwh-15-106-13_ext.xml.minion.converted.minion.gz,1,0.075472,0.816022,0.113208,0.103774
bqwh-15-106-13_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-14_glb.xml.minion.conv.minion,1,0.103774,0.44468,0.122642,0.113208
bqwh-15-106-15_ext.xml.minion.converted.minion.gz,1,0.075472,0.81385,0.113208,0.113208
bqwh-15-106-15_glb.xml.minion.conv.minion,1,0.113208,0.376238,0.113208,0.113208
bqwh-15-106-17_ext.xml.minion.converted.minion.gz,1,0.075472,0.813643,0.122642,0.113208
bqwh-15-106-18_glb.xml.minion.conv.minion,1,0.113208,0.419818,0.113208,0.113208
bqwh-15-106-19_ext.xml.minion.converted.minion.gz,1,0.075472,0.812998,0.103774,0.103774
bqwh-15-106-19_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-1_ext.xml.minion.converted.minion.gz,1,0.075472,0.812797,0.113208,0.103774
bqwh-15-106-1_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-20_glb.xml.minion.conv.minion,1,0.113208,0.385393,0.113208,0.113208
bqwh-15-106-21_ext.xml.minion.converted.minion.gz,1,0.075472,0.815304,0.103774,0.103774
bqwh-15-106-21_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-22_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-23_ext.xml.minion.converted.minion.gz,1,0.075472,0.815014,0.113208,0.103774
bqwh-15-106-23_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-24_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-25_ext.xml.minion.converted.minion.gz,1,0.084906,0.814489,0.132075,0.108491
bqwh-15-106-25_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-26_glb.xml.minion.conv.minion,1,0.113208,0.37128,0.122642,0.113208
bqwh-15-106-27_ext.xml.minion.converted.minion.gz,1,0.075472,0.814425,0.113208,0.103774
bqwh-15-106-28_glb.xml.minion.conv.minion,1,0.113208,0.378533,0.113208,0.113208
bqwh-15-106-29_ext.xml.minion.converted.minion.gz,1,0.075472,0.815775,0.113208,0.113208
bqwh-15-106-29_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-2_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-30_glb.xml.minion.conv.minion,1,0.113208,0.346085,0.122642,0.113208
bqwh-15-106-31_ext.xml.minion.converted.minion.gz,1,0.075472,0.815127,0.122642,0.113208
bqwh-15-106-31_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-32_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-33_ext.xml.minion.converted.minion.gz,1,0.075472,0.815699,0.113208,0.103774
bqwh-15-106-33_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-34_glb.xml.minion.conv.minion,1,0.113208,0.378161,0.113208,0.113208
bqwh-15-106-35_ext.xml.minion.converted.minion.gz,1,0.084906,0.810194,0.122642,0.113208
bqwh-15-106-35_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-36_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-37_ext.xml.minion.converted.minion.gz,1,0.075472,0.81485,0.103774,0.103774
bqwh-15-106-37_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-38_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-39_ext.xml.minion.converted.minion.gz,1,0.084906,0.812582,0.113208,0.113208
bqwh-15-106-39_glb.xml.minion.conv.minion,1,0.113208,0.357077,0.113208,0.113208
bqwh-15-106-3_ext.xml.minion.converted.minion.gz,1,0.075472,0.814517,0.113208,0.113208
bqwh-15-106-3_glb.xml.minion.conv.minion,1,0.113208,0.388101,0.113208,0.113208
bqwh-15-106-40_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-41_ext.xml.minion.converted.minion.gz,1,0.075472,0.814238,0.113208,0.103774
bqwh-15-106-41_glb.xml.minion.conv.minion,1,0.113208,0.383365,0.113208,0.113208
bqwh-15-106-42_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-43_ext.xml.minion.converted.minion.gz,1,0.075472,0.814929,0.113208,0.103774
bqwh-15-106-43_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-44_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-45_ext.xml.minion.converted.minion.gz,1,0.09434,0.812863,0.113208,0.113208
bqwh-15-106-45_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-46_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-47_ext.xml.minion.converted.minion.gz,1,0.075472,0.815404,0.113208,0.103774
bqwh-15-106-47_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-48_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-49_ext.xml.minion.converted.minion.gz,1,0.084906,0.814767,0.113208,0.113208
bqwh-15-106-49_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-4_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-50_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-51_ext.xml.minion.converted.minion.gz,1,0.084906,0.814144,0.122642,0.113208
bqwh-15-106-51_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-53_ext.xml.minion.converted.minion.gz,1,0.084906,0.815134,0.113208,0.113208
bqwh-15-106-53_glb.xml.minion.conv.minion,1,0.113208,0.40632,0.113208,0.113208
bqwh-15-106-54_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-55_ext.xml.minion.converted.minion.gz,1,0.084906,0.813846,0.113208,0.113208
bqwh-15-106-55_glb.xml.minion.conv.minion,1,0.113208,0.375078,0.113208,0.113208
bqwh-15-106-56_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-57_ext.xml.minion.converted.minion.gz,1,0.084906,0.809256,0.122642,0.113208
bqwh-15-106-57_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-58_glb.xml.minion.conv.minion,1,?,?,?,?
