@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE stats_dom_mean NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_mean NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC

@DATA
1-insertions-5-5.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,184,12.148515,184,0,0.060141,0,184,184,202,0.009901,0.009901,0.06044,202,202,184,12.148515,5,1227,5,0.331683,0.024752,20,5,17,5,184,21,0.032959
1-insertions-5-6.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,169,12.148515,169,0,0.060141,0,169,169,202,0.009901,0.009901,0.06044,202,202,169,12.148515,6,1227,6,0.331683,0.024752,16.666667,6,14,6,169,18,0.032959
1-insertions-6-4.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,263,20.879736,263,0,0.034398,0,263,263,607,0.003295,0.003295,0.034455,607,607,263,20.879736,4,6337,4,0.332784,0.009885,25,4,26,4,263,27,0.024126
1-insertions-6-5.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,184,20.879736,184,0,0.034398,0,184,184,607,0.003295,0.003295,0.034455,607,607,184,20.879736,5,6337,5,0.332784,0.009885,20,5,17,5,184,21,0.024126
1-insertions-6-6.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,169,20.879736,169,0,0.034398,0,169,169,607,0.003295,0.003295,0.034455,607,607,169,20.879736,6,6337,6,0.332784,0.009885,16.666667,6,14,6,169,18,0.024126
1-insertions-6-7.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,154,20.879736,154,0,0.034398,0,154,154,607,0.003295,0.003295,0.034455,607,607,154,20.879736,7,6337,7,0.332784,0.009885,14.285714,7,13,7,154,13,0.024126
2-fullins-3-4.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615,263,7.730769,263,0,0.148669,0.063836,263,263,52,0.038462,0.038462,0.151584,52,52,263,7.730769,4,201,4,0.288462,0.076923,25,4,26,4,263,27,0.058075
2-fullins-3-5.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615,184,7.730769,184,0,0.148669,0.063836,184,184,52,0.038462,0.038462,0.151584,52,52,184,7.730769,5,201,5,0.288462,0.076923,20,5,17,5,184,21,0.058075
2-fullins-4-4.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,263,15.292453,263,0,0.072134,0.021882,263,263,212,0.009434,0.009434,0.072476,212,212,263,15.292453,4,1621,4,0.259434,0.028302,25,4,26,4,263,27,0.038637
2-fullins-4-5.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,184,15.292453,184,0,0.072134,0.021882,184,184,212,0.009434,0.009434,0.072476,212,212,184,15.292453,5,1621,5,0.259434,0.028302,20,5,17,5,184,21,0.038637
2-fullins-4-6.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,169,15.292453,169,0,0.072134,0.021882,169,169,212,0.009434,0.009434,0.072476,212,212,169,15.292453,6,1621,6,0.259434,0.028302,16.666667,6,14,6,169,18,0.038637
2-fullins-5-4.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,263,28.640845,263,0,0.033616,0.007851,263,263,852,0.002347,0.002347,0.033656,852,852,263,28.640845,4,12201,4,0.252347,0.00939,25,4,26,4,263,27,0.023979
2-fullins-5-5.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,184,28.640845,184,0,0.033616,0.007851,184,184,852,0.002347,0.002347,0.033656,852,852,184,28.640845,5,12201,5,0.252347,0.00939,20,5,17,5,184,21,0.023979
2-fullins-5-6.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,169,28.640845,169,0,0.033616,0.007851,169,169,852,0.002347,0.002347,0.033656,852,852,169,28.640845,6,12201,6,0.252347,0.00939,16.666667,6,14,6,169,18,0.023979
2-fullins-5-7.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,154,28.640845,154,0,0.033616,0.007851,154,154,852,0.002347,0.002347,0.033656,852,852,154,28.640845,7,12201,7,0.252347,0.00939,14.285714,7,13,7,154,13,0.023979
2-insertions-3-3.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108,324,3.891892,324,0,0.105186,0,324,324,37,0.054054,0.054054,0.108108,37,37,324,3.891892,3,72,3,0.243243,0.081081,33.333333,3,32,3,324,33,0.025743
2-insertions-3-4.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108,263,3.891892,263,0,0.105186,0,263,263,37,0.054054,0.054054,0.108108,37,37,263,3.891892,4,72,4,0.243243,0.081081,25,4,26,4,263,27,0.025743
2-insertions-4-3.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,324,7.261745,324,0,0.048737,0,324,324,149,0.013423,0.013423,0.049066,149,149,324,7.261745,3,541,3,0.248322,0.026846,33.333333,3,32,3,324,33,0.021708
2-insertions-4-4.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,263,7.261745,263,0,0.048737,0,263,263,149,0.013423,0.013423,0.049066,149,149,263,7.261745,4,541,4,0.248322,0.026846,25,4,26,4,263,27,0.021708
2-insertions-4-5.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,184,7.261745,184,0,0.048737,0,184,184,149,0.013423,0.013423,0.049066,149,149,184,7.261745,5,541,5,0.248322,0.026846,20,5,17,5,184,21,0.021708
2-insertions-5-3.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,324,13.18593,324,0,0.022087,0,324,324,597,0.00335,0.00335,0.022124,597,597,324,13.18593,3,3936,3,0.249581,0.008375,33.333333,3,32,3,324,33,0.014236
2-insertions-5-4.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,263,13.18593,263,0,0.022087,0,263,263,597,0.00335,0.00335,0.022124,597,597,263,13.18593,4,3936,4,0.249581,0.008375,25,4,26,4,263,27,0.014236
2-insertions-5-5.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,184,13.18593,184,0,0.022087,0,184,184,597,0.00335,0.00335,0.022124,597,597,184,13.18593,5,3936,5,0.249581,0.008375,20,5,17,5,184,21,0.014236
2-insertions-5-6.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,169,13.18593,169,0,0.022087,0,169,169,597,0.00335,0.00335,0.022124,597,597,169,13.18593,6,3936,6,0.249581,0.008375,16.666667,6,14,6,169,18,0.014236
3-fullins-3-5.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875,184,8.65,184,0,0.108125,0.051742,184,184,80,0.025,0.025,0.109494,80,80,184,8.65,5,346,5,0.2375,0.05,20,5,17,5,184,21,0.049847
3-fullins-3-6.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875,169,8.65,169,0,0.108125,0.051742,169,169,80,0.025,0.025,0.109494,80,80,169,8.65,6,346,6,0.2375,0.05,16.666667,6,14,6,169,18,0.049847
3-fullins-4-5.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,184,17.402469,184,0,0.042969,0.01485,184,184,405,0.004938,0.004938,0.043075,405,405,184,17.402469,5,3524,5,0.207407,0.014815,20,5,17,5,184,21,0.026781
3-fullins-4-6.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,169,17.402469,169,0,0.042969,0.01485,169,169,405,0.004938,0.004938,0.043075,405,405,169,17.402469,6,3524,6,0.207407,0.014815,16.666667,6,14,6,169,18,0.026781
3-fullins-4-7.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,154,17.402469,154,0,0.042969,0.01485,154,154,405,0.004938,0.004938,0.043075,405,405,154,17.402469,7,3524,7,0.207407,0.014815,14.285714,7,13,7,154,13,0.026781
3-fullins-5-5.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,184,33.252217,184,0,0.01638,0.004678,184,184,2030,0.000985,0.000985,0.016388,2030,2030,184,33.252217,5,33751,5,0.201478,0.003941,20,5,17,5,184,21,0.013841
3-fullins-5-6.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,169,33.252217,169,0,0.01638,0.004678,169,169,2030,0.000985,0.000985,0.016388,2030,2030,169,33.252217,6,33751,6,0.201478,0.003941,16.666667,6,14,6,169,18,0.013841
3-fullins-5-7.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,154,33.252217,154,0,0.01638,0.004678,154,154,2030,0.000985,0.000985,0.016388,2030,2030,154,33.252217,7,33751,7,0.201478,0.003941,14.285714,7,13,7,154,13,0.013841
3-fullins-5-8.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,136,33.252217,136,0,0.01638,0.004678,136,136,2030,0.000985,0.000985,0.016388,2030,2030,136,33.252217,8,33751,8,0.201478,0.003941,12.5,8,9,8,136,13,0.013841
3-insertions-3-3.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429,324,3.928571,324,0,0.070153,0,324,324,56,0.035714,0.035714,0.071429,56,56,324,3.928571,3,110,3,0.196429,0.053571,33.333333,3,32,3,324,33,0.01844
3-insertions-3-4.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429,263,3.928571,263,0,0.070153,0,263,263,56,0.035714,0.035714,0.071429,56,56,263,3.928571,4,110,4,0.196429,0.053571,25,4,26,4,263,27,0.01844
3-insertions-4-3.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,324,7.44484,324,0,0.026494,0,324,324,281,0.007117,0.007117,0.026589,281,281,324,7.44484,3,1046,3,0.199288,0.014235,33.333333,3,32,3,324,33,0.013027
3-insertions-4-4.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,263,7.44484,263,0,0.026494,0,263,263,281,0.007117,0.007117,0.026589,281,281,263,7.44484,4,1046,4,0.199288,0.014235,25,4,26,4,263,27,0.013027
3-insertions-4-5.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,184,7.44484,184,0,0.026494,0,184,184,281,0.007117,0.007117,0.026589,281,281,184,7.44484,5,1046,5,0.199288,0.014235,20,5,17,5,184,21,0.013027
3-insertions-5-3.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,324,13.790896,324,0,0.009809,0,324,324,1406,0.001422,0.001422,0.009816,1406,1406,324,13.790896,3,9695,3,0.199858,0.003556,33.333333,3,32,3,324,33,0.007218
3-insertions-5-4.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,263,13.790896,263,0,0.009809,0,263,263,1406,0.001422,0.001422,0.009816,1406,1406,263,13.790896,4,9695,4,0.199858,0.003556,25,4,26,4,263,27,0.007218
3-insertions-5-5.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,184,13.790896,184,0,0.009809,0,184,184,1406,0.001422,0.001422,0.009816,1406,1406,184,13.790896,5,9695,5,0.199858,0.003556,20,5,17,5,184,21,0.007218
3-insertions-5-6.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,169,13.790896,169,0,0.009809,0,169,169,1406,0.001422,0.001422,0.009816,1406,1406,169,13.790896,6,9695,6,0.199858,0.003556,16.666667,6,14,6,169,18,0.007218
4-fullins-3-6.xml.watchless.minion.gz,1,0.061404,0.289676,0.201754,0.061404,169,9.491228,169,0,0.083256,0.044685,169,169,114,0.017544,0.017544,0.083993,114,114,169,9.491228,6,541,6,0.201754,0.035088,16.666667,6,14,6,169,18,0.043477
4-fullins-3-7.xml.watchless.minion.gz,1,0.061404,0.289676,0.201754,0.061404,154,9.491228,154,0,0.083256,0.044685,154,154,114,0.017544,0.017544,0.083993,114,114,154,9.491228,7,541,7,0.201754,0.035088,14.285714,7,13,7,154,13,0.043477
4-fullins-4-6.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,169,19.275362,169,0,0.027935,0.011068,169,169,690,0.002899,0.002899,0.027976,690,690,169,19.275362,6,6650,6,0.172464,0.008696,16.666667,6,14,6,169,18,0.019555
4-fullins-4-7.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,154,19.275362,154,0,0.027935,0.011068,154,154,690,0.002899,0.002899,0.027976,690,690,154,19.275362,7,6650,7,0.172464,0.008696,14.285714,7,13,7,154,13,0.019555
4-fullins-4-8.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,136,19.275362,136,0,0.027935,0.011068,136,136,690,0.002899,0.002899,0.027976,690,690,136,19.275362,8,6650,8,0.172464,0.008696,12.5,8,9,8,136,13,0.019555
4-fullins-5-5.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,184,37.291365,184,0,0.008995,0.003157,184,184,4146,0.000482,0.000482,0.008997,4146,4146,184,37.291365,5,77305,5,0.167631,0.00193,20,5,17,5,184,21,0.008725
4-fullins-5-6.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,169,37.291365,169,0,0.008995,0.003157,169,169,4146,0.000482,0.000482,0.008997,4146,4146,169,37.291365,6,77305,6,0.167631,0.00193,16.666667,6,14,6,169,18,0.008725
4-fullins-5-7.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,154,37.291365,154,0,0.008995,0.003157,154,154,4146,0.000482,0.000482,0.008997,4146,4146,154,37.291365,7,77305,7,0.167631,0.00193,14.285714,7,13,7,154,13,0.008725
4-fullins-5-8.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,136,37.291365,136,0,0.008995,0.003157,136,136,4146,0.000482,0.000482,0.008997,4146,4146,136,37.291365,8,77305,8,0.167631,0.00193,12.5,8,9,8,136,13,0.008725
4-insertions-3-3.xml.watchless.minion.gz,1,0.037975,0.450984,0.164557,0.050633,324,3.949367,324,0,0.049992,0,324,324,79,0.025316,0.025316,0.050633,79,79,324,3.949367,3,156,3,0.164557,0.037975,33.333333,3,32,3,324,33,0.013793
4-insertions-3-4.xml.watchless.minion.gz,1,0.037975,0.450984,0.164557,0.050633,263,3.949367,263,0,0.049992,0,263,263,79,0.025316,0.025316,0.050633,79,79,263,3.949367,4,156,4,0.164557,0.037975,25,4,26,4,263,27,0.013793
4-insertions-4-3.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,324,7.557895,324,0,0.015911,0,324,324,475,0.004211,0.004211,0.015945,475,475,324,7.557895,3,1795,3,0.166316,0.008421,33.333333,3,32,3,324,33,0.008453
4-insertions-4-4.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,263,7.557895,263,0,0.015911,0,263,263,475,0.004211,0.004211,0.015945,475,475,263,7.557895,4,1795,4,0.166316,0.008421,25,4,26,4,263,27,0.008453
4-insertions-4-5.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,184,7.557895,184,0,0.015911,0,184,184,475,0.004211,0.004211,0.015945,475,475,184,7.557895,5,1795,5,0.166316,0.008421,20,5,17,5,184,21,0.008453
5-fullins-3-6.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,169,10.285714,169,0,0.06679,0.039801,169,169,154,0.012987,0.012987,0.067227,154,154,169,10.285714,6,792,6,0.175325,0.025974,16.666667,6,14,6,169,18,0.038464
5-fullins-3-7.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,154,10.285714,154,0,0.06679,0.039801,154,154,154,0.012987,0.012987,0.067227,154,154,154,10.285714,7,792,7,0.175325,0.025974,14.285714,7,13,7,154,13,0.038464
5-fullins-3-8.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,136,10.285714,136,0,0.06679,0.039801,136,136,154,0.012987,0.012987,0.067227,154,154,136,10.285714,8,792,8,0.175325,0.025974,12.5,8,9,8,136,13,0.038464
5-fullins-4-6.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,169,21.004608,169,0,0.019359,0.008712,169,169,1085,0.001843,0.001843,0.019377,1085,1085,169,21.004608,6,11395,6,0.147465,0.00553,16.666667,6,14,6,169,18,0.014867
5-fullins-4-7.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,154,21.004608,154,0,0.019359,0.008712,154,154,1085,0.001843,0.001843,0.019377,1085,1085,154,21.004608,7,11395,7,0.147465,0.00553,14.285714,7,13,7,154,13,0.014867
5-fullins-4-8.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,136,21.004608,136,0,0.019359,0.008712,136,136,1085,0.001843,0.001843,0.019377,1085,1085,136,21.004608,8,11395,8,0.147465,0.00553,12.5,8,9,8,136,13,0.014867
5-fullins-4-9.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,96,21.004608,96,0,0.019359,0.008712,96,96,1085,0.001843,0.001843,0.019377,1085,1085,96,21.004608,9,11395,9,0.147465,0.00553,11.111111,9,10,9,96,11,0.014867
abb313GPIA-10.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,104,83.994862,104,0,0.044019,0.440231,104,104,1557,0.001285,0.001285,0.044047,1557,1557,104,68.53693,10,65390,10,0.096981,0,10,10,8,10,104,11,0.012787
abb313GPIA-5.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,184,83.994862,184,0,0.044019,0.440231,184,184,1557,0.001285,0.001285,0.044047,1557,1557,184,68.53693,5,65390,5,0.096981,0,20,5,17,5,184,21,0.012787
abb313GPIA-7.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,154,83.994862,154,0,0.044019,0.440231,154,154,1557,0.001285,0.001285,0.044047,1557,1557,154,68.53693,7,65390,7,0.096981,0,14.285714,7,13,7,154,13,0.012787
abb313GPIA-8.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,136,83.994862,136,0,0.044019,0.440231,136,136,1557,0.001285,0.001285,0.044047,1557,1557,136,68.53693,8,65390,8,0.096981,0,12.5,8,9,8,136,13,0.012787
abb313GPIA-9.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,96,83.994862,96,0,0.044019,0.440231,96,96,1557,0.001285,0.001285,0.044047,1557,1557,96,68.53693,9,65390,9,0.096981,0,11.111111,9,10,9,96,11,0.012787
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.05,0.796046,0.11,0.07,131.24026,4.61,121,154,0.0712,0.300758,136,114,100,0.029935,0.029935,0.071919,100,100,121,7.12,2,154,2,0.14,0.05,13.132506,2,11.25,2,273,13,0.016204
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.05,0.795805,0.09,0.07,127.647436,4.67,114,156,0.071,0.291397,128,114,100,0.029936,0.029936,0.071717,100,100,121,7.1,2,156,2,0.11,0.04,12.961821,2,11,2,260,12.8,0.013229
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.05,0.795776,0.09,0.07,126.884615,4.68,114,156,0.0734,0.292261,128,114,100,0.03,0.03,0.074141,100,100,121,7.34,2,156,2,0.12,0.05,12.936726,2,11,2,257,13,0.015951
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.05,0.795656,0.11,0.07,125.949045,4.71,114,157,0.0726,0.283001,128,114,100,0.03,0.03,0.073333,100,100,121,7.26,2,157,2,0.13,0.04,12.887589,2,11.25,2,273,13,0.01671
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.06,0.795656,0.13,0.08,127.726115,4.71,114,157,0.082,0.256906,136,114,100,0.03,0.03,0.082828,100,100,121,8.2,2,157,2,0.13,0.04,12.882089,2,11,2,273,13,0.019079
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.05,0.796552,0.13,0.08,136.14,4.48,121,150,0.078,0.244708,136,114,100,0.029867,0.029867,0.078788,100,100,121,7.8,2,150,2,0.15,0.04,13.83125,2,11.25,2,273,13.222222,0.019131
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.05,0.796287,0.1,0.08,130.105263,4.55,121,152,0.0796,0.262989,136,114,100,0.029934,0.029934,0.080404,100,100,121,7.96,2,152,2,0.12,0.04,13.173119,2,11,2,273,13,0.017025
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.06,0.79571,0.12,0.08,130.146497,4.69,121,157,0.0812,0.233664,136,114,100,0.029873,0.029873,0.08202,100,100,121,8.12,2,157,2,0.14,0.05,12.959446,2,11,2,266,13,0.018126
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.07,0.791291,0.11,0.09,127.85567,5.81,121,194,0.0896,0.256198,128,114,100,0.029948,0.029948,0.090505,100,100,121,8.96,2,194,2,0.11,0.06,13.069333,2,11.833333,2,257,13,0.011307
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.07,0.790977,0.12,0.09,129.040609,5.89,121,197,0.0928,0.266276,136,114,100,0.029898,0.029898,0.093737,100,100,121,9.28,2,197,2,0.12,0.07,12.953833,2,11.833333,2,260,13,0.011232
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.06,0.791635,0.1,0.09,132.303665,5.72,121,191,0.089,0.240865,136,114,100,0.029948,0.029948,0.089899,100,100,121,8.9,2,191,2,0.12,0.06,13.306,2,11.833333,2,273,13,0.01253
