@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC

@DATA
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,75600,75031,0.0002,17527,0.0004,0.0002,0.0002,3804,0.0001,3840,0,3760,3309.43,18000,1371.43,0.0003,3863,308.067,0.0001,0,0.2391,1.0179,3808.6,0.048,3874,0,5.2043,0.0288,8,0.441,0.0005,0.0799
SAT_Competition2007/random/OnTreshold/7SAT/v75/unif-k7-r89-v75-c6675-S1762817022-10.UNSAT.shuffled.cnf,1,6675,6675,0.0933,75,0.0111,0.0933,0.0933,13,0.0057,16,10,10,12.8651,75,9.5164,0.0933,13,8.9854,0.0111,0.0851,0.6746,2.0542,12.8971,0,16,0.0042,2,0,4376,0.1987,0.105,0.0001
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/110/unif-k5-r21.3-v110-c2343-S257485978-084.cnf,1,2343,2343,0.0455,110,0.0456,0.0455,0.0455,22,0.0088,27,17,18,21.9356,110,9.8923,0.0455,22,8.9041,0.0431,0.0359,0.5592,1.5687,21.9807,0.001,27,0.0051,2.8257,0.0007,4249,0.1622,0.0563,0.0015
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S1172355929-14.SAT.shuffled.cnf,1,2769,2744,0.0047,633,0.0095,0.0048,0.0048,140,0.0024,152,129,130,140.408,650,20.4265,0.0079,140,16.5324,0.0036,0.0018,0.31,0.8944,140.333,0.0486,152,0.0004,4.0047,0.0285,3736,0.0634,0.0095,0.082
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/100/unif-k5-r21.3-v100-c2130-S1920888253-090.cnf,1,2130,2130,0.05,100,0.046,0.05,0.05,20,0.0101,25,16,16,20.1016,100,8.7154,0.05,20,7.8161,0.0441,0.0376,0.5668,1.617,20.0942,0.001,24,0.0052,2.6364,0.0006,4286,0.1681,0.0629,0.0016
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1909130260-19-SAT.cnf,1,9344,8079,0.0008,2574,0.0024,0.0012,0.0012,539,0.0005,557,515,517,536.403,3500,45.5847,0.0035,537,37.1889,0.0001,0.0001,0.2236,0.5798,538.215,0.1031,561,0,5.5196,0.058,2126,0.0649,0.0045,0.1673
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S236776564-037.SATISFIABLE.cnf,1,2662,2662,0.04,125,0.0451,0.04,0.04,25,0.0074,30,20,20,24.9176,125,10.7963,0.04,25,9.6553,0.0432,0.0319,0.5531,1.5481,24.8788,0.0009,30,0.0038,2.9839,0.0006,4173,0.1513,0.0511,0.0014
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1516725086-012.UNKNOWN.cnf,1,6230,6230,0.1,70,0.0111,0.1,0.1,12,0.0065,15,9,9,12.0581,70,8.9636,0.1,12,8.6014,0.0111,0.0928,0.6792,2.0366,12.0504,0,15,0.0043,2,0,4430,0.2096,0.1085,0.0001
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/220/unif-k7-r85-v220-c18700-S1961115887-052.cnf,1,18700,18700,0.0318,220,0.0117,0.0318,0.0318,36,0.002,42,30,30,36.0753,220,19.5931,0.0318,36,20.0629,0.0117,0.0281,0.6297,1.5636,36,0.0001,42,0.0012,2,0.0001,355,0.1407,0.0355,0.0001
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/500/unif-k3-r4.25-v500-c2125-S1494961823-060.cnf,1,2125,2114,0.0061,488,0.0123,0.0062,0.0062,107,0.003,117,98,98,107.667,500,17.4766,0.0102,108,14.3831,0.0043,0.0024,0.3184,0.9304,107.542,0.0446,117,0,4,0.0261,3811,0.0707,0.0142,0.0764
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S248192082-054.UNKNOWN.cnf,1,2556,2538,0.0052,582,0.0104,0.0052,0.0052,128,0.0026,139,118,117,128.049,600,22.0558,0.0086,128,17.357,0.0016,0.0008,0.3103,0.905,127.932,0.044,138,0,4.0155,0.0246,3791,0.0668,0.0106,0.0753
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/520/unif-k3-r4.25-v520-c2210-S227954525-082.cnf,1,2210,2202,0.0059,512,0.0117,0.0059,0.0059,113,0.0029,123,104,103,113.286,520,18.3676,0.0078,113,14.8412,0.0045,0.0023,0.3195,0.925,113.096,0.0431,124,0,4,0.0273,3839,0.0704,0.0109,0.0741
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/900/unif-k5-r20-v900-c18000-S1119648091-064.cnf,1,18000,18000,0.0056,900,0.0179,0.0056,0.0056,172,0.001,187,159,158,172.208,900,50.1095,0.0056,172,40.7395,0.0136,0.0038,0.4784,1.0624,172.177,0.0016,185,0.0004,3,0.0011,49,0.0758,0.0075,0.0023
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1617626827-069.SATISFIABLE.cnf,1,1917,1908,0.0068,441,0.0136,0.0069,0.0069,98,0.0032,107,89,89,97.9801,450,15.3263,0.0113,98,12.4421,0.0052,0.0026,0.3284,0.9408,97.9555,0.0451,107,0.0005,4,0.03,3904,0.0758,0.0157,0.0794
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S869604189-077.UNKNOWN.cnf,1,2556,2549,0.0051,591,0.01,0.0051,0.0051,131,0.0025,142,120,120,130.431,600,23.1834,0.0068,130,18.656,0.0024,0.0012,0.3072,0.9123,130.654,0.0425,141,0,4.0051,0.028,3744,0.0665,0.0098,0.072
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,6230,6230,0.1,70,0.0111,0.1,0.1,12,0.0069,15,9,9,12.0972,70,8.7181,0.1,12,8.4534,0.0111,0.0894,0.6794,2.0192,12.1367,0,15,0.0045,2,0,4447,0.2057,0.1104,0.0001
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S1510966387-018.cnf,1,50400,50088,0.0003,11696,0.0005,0.0003,0.0003,2547,0.0001,2577,0,2504,2299.5,12000,437.2,0.0005,2554.5,228,0.0001,0,0.2346,0.6772,2546.45,0.0469,2599,0,5.0194,0.0277,13,0.3519,0.0008,0.0781
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,15300,15300,0.0389,180,0.0117,0.0389,0.0389,29,0.0026,35,25,24,29.7098,180,16.5683,0.0389,29,16.5455,0.0117,0.0349,0.6357,1.6327,29.6766,0.0001,35,0.0015,2,0.0001,4162,0.1443,0.0429,0.0001
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,5785,5785,0.1077,65,0.0111,0.1077,0.1077,11,0.0067,14,8,8,11.2868,65,8.5152,0.1077,11,8.0183,0.0111,0.0984,0.6863,2.1171,11.2707,0,14,0.0045,2,0,4509,0.2107,0.12,0.0001
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S139794312-098.cnf,1,16800,16683,0.0008,3902,0.0016,0.0008,0.0008,851,0.0004,876,819,816,851.661,4000,110.587,0.0015,853,73.313,0.0005,0.0002,0.2563,0.6525,849.574,0.0469,877,0,4.9991,0.0279,55,0.0246,0.002,0.0803
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1295462378-089.cnf,1,15300,15300,0.0389,180,0.0117,0.0389,0.0389,30,0.0024,35,25,25,29.971,180,16.4436,0.0389,30,16.9709,0.0117,0.0352,0.6311,1.6255,29.7648,0.0001,36,0.0016,2,0.0001,4186,0.1517,0.0435,0.0001
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/75/unif-k7-r89-v75-c6675-S819692891-023.cnf,1,6675,6675,0.0933,75,0.0111,0.0933,0.0933,13,0.0053,16,10,10,12.9799,75,9.3947,0.0933,13,8.972,0.0111,0.0863,0.6731,2.0479,12.9642,0,16,0.0036,2,0,4398,0.1972,0.1061,0.0001
SAT_Competition2007/random/2+p/p0.9/v990/unif2p-p0.9-v990-c3583-S516218553-20-SAT.cnf,1,3582,3526,0.0021,935,0.0062,0.0032,0.0032,205,0.0016,218,192,191,204.819,990,26.034,0.0064,205,20.2177,0.0011,0.0006,0.2859,0.8067,204.688,0.0668,218,0,4.4593,0.0369,3363,0.057,0.0094,0.1094
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/400/unif-k3-r4.25-v400-c1700-S419666888-007.cnf,1,1700,1679,0.0078,383,0.0158,0.008,0.008,85,0.0039,94,76,77,84.8677,400,13.6748,0.0131,85,11.193,0.006,0.003,0.3402,0.9796,84.9997,0.0479,93,0.0006,4,0.0298,3943,0.0793,0.0149,0.0805
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S252359291-002.SATISFIABLE.cnf,1,2556,2545,0.0051,589,0.0102,0.0051,0.0051,131,0.0025,141,120,119,130.384,600,20.6966,0.0085,130,16.557,0.0039,0.002,0.3114,0.8961,130.4,0.0462,141,0.0004,4,0.0247,3767,0.0678,0.0106,0.0746
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S285324961-078-UNKNOWN.cnf,1,126000,125223,0.0001,29275,0.0002,0.0001,0.0001,6362,0.0001,6370,6334,0,6397.5,30000,946.5,0.0002,6397.5,2758.71,0,0,0.2275,0.6556,5436.86,0.0479,6334,0,5.7857,0.0285,4,0.014,0.0003,0.0801
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S34055288-072.SATISFIABLE.cnf,1,2662,2662,0.04,125,0.0452,0.04,0.04,25,0.0078,30,20,20,25.0527,125,9.7014,0.04,25,8.6685,0.0417,0.0323,0.5541,1.543,25.0874,0.0011,30,0.0041,2.9355,0.0007,4198,0.1528,0.0492,0.0017
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v700-c2982-S812011128-009.SATISFIABLE.cnf,1,2982,2973,0.0044,688,0.0087,0.0044,0.0044,152,0.0021,164,141,140,152.384,700,22.5126,0.0073,152,17.6738,0.0034,0.0017,0.3056,0.8779,152.195,0.0425,164,0,4.0029,0.0263,3659,0.0632,0.0091,0.0756
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S506401817-075.UNKNOWN.cnf,1,2556,2545,0.0051,589,0.0101,0.0051,0.0051,129,0.0025,140,119,119,129.25,600,25.5682,0.0085,129,20.5025,0.0024,0.0012,0.3015,0.9143,129.468,0.038,140,0,4.0187,0.0217,3840,0.0637,0.0118,0.0667
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/440/unif-k3-r4.25-v440-c1870-S1112524719-021.cnf,1,1870,1857,0.007,427,0.0141,0.0071,0.0071,94,0.0036,104,85,85,94.3491,440,15.3033,0.0141,94,12.6312,0.0054,0.0027,0.3211,0.9458,94.2871,0.0443,104,0.0005,4,0.0235,3947,0.0777,0.0188,0.0819
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S650356257-052.cnf,1,50400,50039,0.0003,11682,0.0005,0.0003,0.0003,2531,0.0001,2584,2470,2504,2364.21,12000,432.5,0.0004,2552.5,234.739,0.0001,0,0.2401,0.6497,2539.22,0.0469,2579,0,5.0346,0.0278,13,0.2882,0.0008,0.0789
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S541740666-063-UNKNOWN.cnf,1,20000,20000,0.005,1000,0.0165,0.005,0.005,191,0.0009,207,177,178,191.7,1000,53.7224,0.005,191,44.5358,0.0119,0.0033,0.474,1.0547,191.279,0.0015,207,0.0003,3,0.001,41,0.061,0.0069,0.0023
SAT_Competition2007/random/LargeSize/5SAT/v600/unif-k5-r20-v600-c12000-S1556473581-06.cnf,1,12000,12000,0.0083,600,0.0243,0.0083,0.0083,115,0.0016,127,105,104,115.258,600,34.0797,0.0083,115,28.0362,0.019,0.0058,0.4945,1.1445,115.132,0.0015,126,0.0006,3,0.001,88,0.074,0.0109,0.0023
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v250-c21250-S317257086-003-UNKNOWN.cnf,1,21250,21250,0.028,250,0.0117,0.028,0.028,42,0.0017,49,35,35,41.2177,250,21.7953,0.028,41,22.0776,0.0117,0.0246,0.6192,1.5302,41.6614,0.0001,48,0.001,2,0.0001,198,0.1279,0.0313,0.0001
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v550-c2343-S943066845-088.UNKNOWN.cnf,1,2343,2328,0.0056,539,0.011,0.0056,0.0056,118,0.0027,129,108,108,118.127,550,24.0121,0.0074,118,19.2121,0.0043,0.0021,0.3076,0.9291,118.42,0.0401,128,0,4.0037,0.0227,3843,0.0703,0.0125,0.0704
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/460/unif-k3-r4.25-v460-c1955-S321371087-018.cnf,1,1955,1944,0.0067,448,0.0134,0.0068,0.0068,100,0.0033,109,91,90,99.8806,460,13.1467,0.0089,100,11.0115,0.0041,0.0021,0.3299,0.9367,99.778,0.0498,110,0.0005,4,0.0286,3864,0.075,0.0159,0.0827
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v250-c21250-S655589261-059-UNKNOWN.cnf,1,21250,21250,0.028,250,0.0117,0.028,0.028,41,0.0018,48,35,35,41.0161,250,21.7645,0.028,41,22.3873,0.0117,0.0249,0.621,1.5345,41.4119,0.0001,48,0.0011,2,0.0001,215,0.1248,0.0307,0.0001
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/540/unif-k3-r4.25-v540-c2295-S1137823545-077.cnf,1,2295,2284,0.0057,529,0.0113,0.0057,0.0057,117,0.0029,127,106,107,116.392,540,19.1984,0.0095,116,15.3372,0.0044,0.0022,0.3143,0.9262,116.618,0.0485,127,0.0004,4.0038,0.027,3891,0.0702,0.0153,0.079
SAT_Competition2007/random/2+p/p0.9/v1170/unif2p-p0.9-v1170-c4235-S622482268-08-UNKNOWN.cnf,1,4234,4155,0.0018,1099,0.0053,0.0027,0.0027,238,0.0014,253,224,223,238.521,1170,34.7205,0.0045,239,26.6429,0.0005,0.0005,0.2662,0.7726,237.967,0.0598,253,0,4.7386,0.0344,963,0.0478,0.007,0.1072
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v15000-c63000-S38529837-091-UNKNOWN.cnf,1,63000,62631,0.0002,14668,0.0004,0.0002,0.0002,3187,0.0001,3255,0,3126,2841.11,15000,1004.33,0.0004,3189,264,0.0001,0,0.2271,0.9252,3198.19,0.0474,3244,0,5.014,0.0285,10,0.3754,0.0005,0.0802
SAT_Competition2007/random/2+p/p0.8/v1665/unif2p-p0.8-v1665-c5178-S1363528912-04-SAT.cnf,1,5177,4888,0.0014,1452,0.004,0.002,0.002,311,0.001,328,295,296,311.145,1665,33.5139,0.0055,311,26.9339,0.0004,0.0002,0.2483,0.6972,311.154,0.0824,328,0,5.0145,0.048,1689,0.0427,0.0055,0.1386
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/560/unif-k3-r4.25-v560-c2380-S688769362-007.cnf,1,2380,2356,0.0055,542,0.0112,0.0056,0.0056,119,0.0027,130,109,109,119.573,560,19.7035,0.0092,120,16.1215,0.0042,0.0021,0.3121,0.9204,119.422,0.0442,130,0,4.0037,0.0265,3843,0.07,0.0127,0.0734
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S1036996799-006.cnf,1,1615,1607,0.0081,369,0.0162,0.0082,0.0082,82,0.0041,91,74,74,82.5433,380,12.3751,0.0136,82,10.0821,0.0068,0.0037,0.3415,0.9696,82.6059,0.0471,91,0.0006,4,0.0268,3960,0.0818,0.0156,0.0778
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S1804335510-002.cnf,1,1615,1603,0.008,373,0.0158,0.0081,0.0081,83,0.0039,92,75,75,83.0862,380,12.837,0.0134,83,10.7822,0.0037,0.0019,0.3339,0.9703,83.2452,0.0446,92,0.0006,4,0.0247,3937,0.0822,0.0181,0.0827
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1100/unif-k5-r20-v1100-c22000-S1388268034-092.cnf,1,22000,22000,0.0045,1100,0.0152,0.0045,0.0045,210,0.0008,225,195,196,210.691,1100,61.2559,0.0045,210,49.3402,0.0109,0.0031,0.4724,1.0218,210.352,0.0015,226,0.0002,3,0.001,36,0.0569,0.006,0.0023
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,13600,13600,0.0437,160,0.0117,0.0437,0.0437,26,0.0027,32,21,21,26.4366,160,14.9294,0.0437,26,15.0191,0.0117,0.0393,0.6389,1.6519,26.5309,0.0001,32,0.0018,2,0.0001,4251,0.1523,0.049,0.0001
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1223878722-065.cnf,1,5785,5785,0.1077,65,0.0111,0.1077,0.1077,11,0.0068,14,8,8,11.271,65,8.4612,0.1077,11,7.9626,0.0111,0.0978,0.6866,2.1037,11.3157,0,14,0.0041,2,0,4442,0.2149,0.1184,0.0001
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,2769,2769,0.0385,130,0.045,0.0385,0.0385,26,0.0077,31,21,21,25.8344,130,10.7459,0.0385,26,9.8506,0.0401,0.0267,0.5494,1.511,25.9668,0.001,31,0.0036,2.9922,0.0006,4187,0.1508,0.0466,0.0015
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S326477539-068.cnf,1,1615,1600,0.008,374,0.0158,0.0081,0.0081,83,0.0038,92,74,74,82.7028,380,12.6361,0.0107,83,10.5131,0.0056,0.0031,0.3391,0.9715,82.7771,0.0477,91,0,4,0.0295,0,0.0812,0.0206,0.0806
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/8000/unif-k3-r4.2-v8000-c33600-S195213520-027.cnf,1,33600,33418,0.0004,7809,0.0008,0.0004,0.0004,1712,0.0002,1738,1659,1688,1652.1,8000,277,0.0006,1710,121.789,0.0001,0.0001,0.2447,0.6545,1711.66,0.0477,1747,0,5.0036,0.0287,23,0.1865,0.001,0.0806
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1771223975-021.cnf,1,2343,2343,0.0455,110,0.0455,0.0455,0.0455,22,0.009,27,18,18,22.1134,110,9.1162,0.0455,22,8.1174,0.0427,0.0324,0.5609,1.5668,22.1211,0.001,27,0.0047,2.8899,0.0008,4227,0.1612,0.0576,0.0015
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v10000-c42000-S677627694-051-UNKNOWN.cnf,1,42000,41704,0.0003,9738,0.0006,0.0003,0.0003,2122.5,0.0002,2163,2074,2084,2123.6,10000,253.6,0.0005,2123.5,167.269,0,0,0.2398,0.5713,2126.19,0.0482,2152,0,5.1091,0.028,17,0.0124,0.0008,0.0805
