@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC

@DATA
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,8.085,0.5895,0.3976,0.26,0.5433,0.1443,1.5499
SAT_RACE2008/post-c32s-ss-8.cnf,1,2.9061,0.7935,0.5865,0.217,0.8711,0.2086,1.3213
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0.0891,2.8746,0.1254,0.3768,0.1929,0.0454,0.4423
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,3.1589,0.66,0.5371,1,0.7589,0.1138,1.3954
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,5.0535,0.7173,0.4731,0.4628,0.4602,0.1295,1.7932
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,4.8307,0.7062,0.4543,0.443,0.4693,0.1328,1.7619
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0,0.5487,0.9993,0,0.9993,0.0085,0.677
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,0.1466,0.9923,0.6226,0.0827,0.8234,0.1484,1.3864
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?,?,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.675,0.5657,0.8911,0.1719,0.8911,0.0114,0.6857
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,2.6433,1.1117,0.6426,0.3221,0.6952,0.1562,1.8346
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,0.0534,2.8706,0.121,0.3432,0.1885,0.0416,0.4411
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,4.7944,0.7078,0.4583,0.439,0.4697,0.1341,1.7915
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,1.9531,1.0178,0.7373,0.2021,0.9035,0.1628,1.3521
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,5.5414,0.7279,0.5068,0.435,0.483,0.1236,1.8652
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,3.0739,0.7719,0.6098,0.9998,0.7678,0.2187,1.5615
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,0.1264,0.752,0.9461,0.5,0.953,0.0429,1.3269
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,1.1328,1.0067,0.7554,0.1341,0.8637,0.1882,1.3876
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,55.6739,0.7297,0.0627,0.5,0.0352,0.0192,1.9686
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,0.6139,0.5701,0.9173,0.1933,0.9173,0.0067,0.6531
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.4801,0.5919,0.4053,0.135,0.4674,0.2012,1.383
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,11.0477,1.699,0.8265,0.5,0.7843,0.0234,1.4036
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.4541,0.8349,0.5004,0.3218,0.8775,0.241,1.1951
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-17-u.cnf,1,0.9945,0.9844,0.734,0.1344,0.8711,0.1752,1.3819
SAT_Competition2007/industrial/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,2.1871,1.0463,0.7631,0.2037,0.8874,0.1843,1.3814
SAT_Competition2011/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.1567,1.0326,0.5948,1,0.7657,0.0322,1.2198
SAT_RACE2006/SAT-Race-Benchmarks/simon-s03-fifo8-400.cnf,1,7.5232,0.7893,0.4966,0.4804,0.7081,0.2155,1.4823
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,69.0141,0.5235,0.8552,0.4995,0.8398,0.063,1.3928
SAT_Competition2009/APPLICATION/SAT_RACE06/velev-pipe-o-uns-1.1-6.cnf,1,0.5216,0.4716,0.9116,0.4999,0.9129,0.0402,1.0185
SAT_Competition2011/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k80.cnf,1,1.6489,0.7929,0.5954,0.2916,0.5075,0.1415,1.6208
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,1.5656,0.6797,0.3838,0.2404,0.7261,0.1817,1.532
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,0.004,2.8639,0.1144,0.2793,0.1821,0.0349,0.4399
SAT_RACE2008/babic-dspam-vc973.cnf,1,?,?,?,?,?,?,?
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2002-26r-k45.cnf,1,1.5249,1.4648,0.7788,0.4749,0.7819,0.0986,1.5314
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_12_UNKNOWN.cnf,1,0.5751,0.5467,0.9242,0.2005,0.9242,0.0102,0.5883
SAT_RACE2008/ibm-2004-29-k25.cnf,1,1.2454,1.0767,0.646,0.2987,0.7359,0.1482,1.6896
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-03.cnf,1,12.3283,0.7979,0.5194,0.9992,0.6806,0.1869,1.7628
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,2.0774,1.0243,0.7403,0.2026,0.8998,0.1666,1.3599
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top22.cnf,1,1.7349,0.6693,0.4238,0.2397,0.8328,0.1961,1.268
SAT-Race-2010-CNF/software-verification/nec/hard-11-U-7061.cnf,1,?,?,?,?,?,?,?
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/hard/safe-50-h49-unsat.cnf,1,29.2074,0.9472,0.657,0.5,0.6377,0.0267,2.117
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,0.0446,0.9351,0.9718,0.5,0.9761,0.0499,0.865
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-15.cnf,1,1.4845,0.5303,0.5965,0.3002,0.5909,0.1905,1.1358
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c7_i.cnf,1,4.5535,0.7522,0.5427,0.4353,0.5576,0.1475,1.8346
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-f6nid.cnf,1,5.4583,0.7379,0.4807,0.4729,0.4535,0.128,1.847
SAT_Competition2007/industrial/industrial/fuhs/medium/AProVE07-15.cnf,1,2.3864,0.6555,0.6119,0.2875,0.6128,0.1831,1.2995
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bioinfo/q_query_3_L100_coli.sat.cnf,1,5.5013,0.6289,0.4554,1,0.7891,0.0959,1.3489
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.025-NOTKNOWN.cnf,1,2.1649,1.2592,0.9666,0.5198,0.9791,0.157,0.8474
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1033.cnf,1,2.8017,0.658,0.3475,1,0.8861,0.2176,1.0636
SAT_RACE2008/mizh-md5-48-2.cnf,1,1.5069,0.4116,0.5293,0.1579,0.5407,0.1696,1.0045
SAT_RACE2006/SAT-Race_TS_2/miza-sr06-md5-47-03.cnf,1,1.5106,0.4127,0.5294,0.1579,0.5427,0.1699,1.0057
SAT-Race-2010-CNF/software-verification/babic/dspam_dump_vc972.cnf,1,0.8076,0.5886,0.3023,0.4034,0.9771,0.2225,0.6449
SAT_RACE2008/manol-pipe-f7nidw.cnf,1,5.7814,0.7214,0.4827,0.4512,0.4591,0.1255,1.8339
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc12070.cnf,1,?,?,?,?,?,?,?
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc909.cnf,1,2.5842,0.6702,0.3342,1,0.8473,0.2108,1.1591
SAT_RACE2006/SAT-Race_TS_1/narai-vpn-10s.cnf,1,2.6391,0.8575,0.5406,0.5,0.7765,0.1954,1.6332
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,3.218,0.7574,0.4528,0.4333,0.5634,0.1666,1.8983
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,0.1213,0.9221,0.9636,0.4918,0.9665,0.0606,0.8961
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/icbrt/icbrt1_32.cnf,1,1.0804,0.8167,0.5018,0.3705,0.8044,0.2217,1.3744
SAT-Race-2010-CNF/mixed/diagnosis/UCG-20-10p1.cnf,1,0.8793,0.9088,0.6933,0.092,0.8694,0.1442,1.4096
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-uns-2.0-iq1.cnf,1,0.4568,0.5863,0.9028,0.4654,0.9168,0.0692,1.1578
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-03.cnf,1,0.7119,0.385,0.9404,0.5,0.9407,0.0178,0.8953
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rpoc_xits_12_UNKNOWN.cnf,1,0.5751,0.5722,0.9241,0.2003,0.9241,0.0094,0.6745
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-f10ni.cnf,1,5.5414,0.7279,0.5068,0.435,0.483,0.1236,1.8652
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,1,?,?,?,?,?,?,?
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,10.4181,1.4194,0.7734,0.5,0.7264,0.0313,1.6811
SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf,1,1.4334,0.4341,0.5289,0.2106,0.5286,0.171,1.0359
SAT_Competition2011/SAT_RACE06/ibm-2002-21r-k95.cnf,1,2.2757,0.9999,0.5996,0.34,0.6574,0.1352,1.9733
SAT_Competition2011/SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate032.cnf,1,0.8373,0.8011,0.4947,0.2787,0.8666,0.243,1.1679
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11803.cnf,1,?,?,?,?,?,?,?
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-18-U-10652.cnf,1,5.9733,0.7687,0.4577,0.5,0.7758,0.1458,1.7401
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-17-u.cnf,1,0.9628,0.9826,0.7333,0.1387,0.869,0.1758,1.3819
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.1-7.cnf,1,0.5503,0.4187,0.9143,0.5,0.9161,0.0332,0.9113
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_3_keyfind_1.cnf,1,0.17,0.7268,0.1288,0.1504,0.1617,0.0819,2.1853
SAT_Competition2007/industrial/industrial/palacios/medium/cube-11-h14-sat.cnf,1,2.7759,0.552,0.4893,0.3151,0.5858,0.1524,1.4746
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c10nid_s.cnf,1,5.3176,0.7028,0.4657,0.4429,0.4488,0.1249,1.7943
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/partial-10-19-u.cnf,1,0.9649,0.9786,0.7289,0.138,0.8738,0.1714,1.3768
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/crypto/desgen/gss-28-s100.cnf,1,1.2435,1.5315,0.8891,0.1714,0.9402,0.2407,1.1395
SAT_RACE2006/SAT-Race-Benchmarks/simon-s02b-k2f-gr-rcs-w8.cnf,1,0.1567,1.0326,0.5948,1,0.7657,0.0322,1.2198
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/diagnosis/UR-15-5p0.cnf,1,0.8984,0.9243,0.7103,0.1581,0.8554,0.1568,1.4364
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-uns-1.0-08.cnf,1,0.1435,0.3128,0.9564,1,0.9566,0.0233,0.6014
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-19-s.cnf,1,1.9313,1.0086,0.7309,0.1967,0.9069,0.1577,1.3408
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F20.cnf,1,0.1593,0.2748,0.9498,0.2693,0.1107,0.023,0.4001
SAT_RACE2008/schup-l2s-bc56s-1-k391.cnf,1,2.6981,0.7488,0.5509,0.3176,0.8345,0.1867,1.3321
SAT_Competition2011/SAT09/APPLICATIONS/crypto/desgen/gss-22-s100.cnf,1,1.2804,1.5399,0.8909,0.1713,0.9386,0.2406,1.1426
SAT_Competition2007/industrial/industrial/crypto/mizh-md5-47-4.cnf,1,1.5081,0.413,0.5294,0.1579,0.5428,0.17,1.0062
SAT_RACE2008/babic-dspam-vc1080.cnf,1,?,?,?,?,?,?,?
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc972.cnf,1,0.8076,0.5886,0.3023,0.4034,0.9771,0.2225,0.6449
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-07.cnf,1,0.1674,0.6168,0.9764,0.5,0.9743,0.0308,1.0885
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c6ni_s.cnf,1,5.0368,0.7059,0.4539,0.4939,0.4553,0.1301,1.8343
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-10-13-s.cnf,1,1.0588,0.9963,0.7444,0.1302,0.8676,0.1814,1.3871
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,1.0622,0.9946,0.7414,0.1412,0.8708,0.1789,1.3841
SAT_Competition2009/APPLICATION/SAT07/industrial/jarvisalo/eq.atree.braun.9.unsat.cnf,1,0.4768,0.8269,0.4886,0.3211,0.8799,0.2409,1.1684
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-gcdm16-22.cnf,1,8.085,0.5895,0.3976,0.26,0.5433,0.1443,1.5499
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.050-SAT.cnf,1,0.4847,1.228,0.9899,0.616,0.99,0.1447,0.736
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l06-ipc5-h31-unknown.cnf,1,12.0039,1.581,0.8062,0.5,0.7614,0.0242,1.5168
SAT_Competition2007/industrial/industrial/palacios/medium/cube-9-h11-sat.cnf,1,2.7848,0.5638,0.4853,0.187,0.5844,0.1511,1.492
SAT_Competition2011/SAT09/APPLICATIONS/bitverif/maxxor/maxxor064.cnf,1,1.7657,0.7707,0.5142,0.447,0.8199,0.2143,1.4165
SAT_RACE2006/SAT-Race_TS_1/goldb-heqc-desmul.cnf,1,0.0349,0.7281,0.2613,0.3045,0.6957,0.1578,1.2679
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate128.cnf,1,0.8011,0.7987,0.4988,0.2788,0.8801,0.2434,1.1433
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.0-01.cnf,1,0.1143,0.2668,0.976,0.5,0.9761,0.0121,0.5294
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/medium/emptyroom-4-h21-unsat.cnf,1,2.933,0.5479,0.4853,0.1811,0.5821,0.1488,1.4412
SAT_Competition2007/industrial/industrial/fuhs/hard/AProVE07-03.cnf,1,1.388,0.5859,0.5369,0.2659,0.5653,0.1746,1.3002
SAT_RACE2006/SAT-Race_TS_1/manol-pipe-f6b.cnf,1,5.534,0.7696,0.535,0.4472,0.5288,0.135,1.8599
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-05.cnf,1,0.151,1.0135,0.6219,0.0732,0.8207,0.148,1.3838
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,1.0682,1.2016,0.9904,0.6587,0.9906,0.1424,0.7405
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand128.cnf,1,2.778,0.7377,0.4965,0.4513,0.7481,0.1801,1.6028
SAT_Competition2009/APPLICATION/SAT07/industrial/jarvisalo/eq.atree.braun.10.unsat.cnf,1,0.4638,0.8264,0.4922,0.3213,0.8826,0.2403,1.1785
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf,1,2.152,1.2703,0.9674,0.5198,0.9795,0.1547,0.8415
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,1.7447,0.7789,0.5216,0.4592,0.826,0.214,1.3966
SAT-Race-2010-CNF/software-verification/post/zfcp.cnf,1,?,?,?,?,?,?,?
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h32-unknown.cnf,1,12.3547,1.5326,0.7969,0.5,0.7509,0.0247,1.5662
SAT_Competition2011/SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug4_q0.used-as.sat04-723.cnf,1,0.7066,0.385,0.9403,0.5,0.9405,0.0178,0.895
SAT_Competition2007/industrial/industrial/palacios/hard/safe-50-h49-unsat.cnf,1,29.2074,0.9472,0.657,0.5,0.6377,0.0267,2.117
SAT_RACE2006/SAT-Race_TS_2/schup-l2s-s04s2-09.cnf,1,2.1745,0.7792,0.5202,0.2407,0.811,0.2059,1.4974
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl128.cnf,1,1.7414,0.9581,0.543,0.2858,0.6726,0.196,1.4219
SAT_Competition2011/SAT07/industrial/vliw_sat_4.0/9vliw_m_9stages_iq3_C1_bug6.cnf,1,0.078,0.6954,0.9568,0.5,0.9588,0.0364,1.2843
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.080-SAT.cnf,1,0.3931,0.6823,0.9589,0.1855,0.9647,0.0714,0.8567
SAT_RACE2008/anbul-part-10-13-s.cnf,1,1.0588,0.9963,0.7444,0.1302,0.8676,0.1814,1.3871
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-f7idw.cnf,1,5.3701,0.7139,0.4753,0.4531,0.4442,0.1264,1.8279
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0.1111,0.2924,0.9563,1,0.9567,0.0193,0.5625
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.150-SAT.cnf,1,0.3178,0.4991,0.9614,0.5,0.9979,0.0563,0.6433
SAT_RACE2006/SAT-Race-Benchmarks/schup-l2s-guid-1-k56.cnf,1,2.1198,0.8761,0.5508,0.4378,0.7505,0.2058,1.5853
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11813.cnf,1,?,?,?,?,?,?,?
