@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC

@DATA
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.1765,0.5705,0.0931,0.1247,126000,0.2902,0.2938,0.711
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.2009,0.8242,0.1935,0.2006,672,0,0.231,1.0987
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.0049,0.2433,0.0027,0.0034,20000,0.0977,0.082,0.835
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.1472,0.7406,0.0786,0.1195,388000,1.5143,1.4341,1.7619
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0002,0.0945,0.0001,0.0001,13600,0.0408,0,1.0012
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.0037,0.255,0.0019,0.0023,2769,0.0957,0.0206,0.8395
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.1768,0.5699,0.0919,0.1235,16800,0.2902,0.2929,0.7277
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.1481,0.8418,0.0721,0.1191,1100000,1.7985,1.6184,1.8652
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.032,0.805,0.0151,0.0258,856000,0.5379,0.5205,1.3599
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.005,0.2445,0.0028,0.0035,25000,0.0991,0.0864,0.829
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0.0316,0.9306,0.0312,0.0314,18954,0,0,0
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.1641,0.5321,0.084,0.1085,1491,0.2831,0.2766,0.6795
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.5,0.7998,0.4212,0.4999,7095,4.3842,1.4947,2.9316
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0.0001,0.0897,0.0001,0.0001,6230,0.0352,0,0.9933
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.004,0.2477,0.002,0.0024,3195,0.1023,0.0264,0.8085
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.1658,0.8888,0.161,0.1608,3630,0,0.2279,1.1095
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.4997,0.8262,0.4471,0.4991,16065,1.2435,1.3838,2.5461
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.0647,0.3509,0.032,0.0455,2464,0.9001,0.8863,1.4994
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.151,0.0479,0.111,0.1201,2176,0.3387,0.1199,1.7119
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl032.cnf,1,0.0519,0.2214,0.0267,0.0457,55724,1.1831,1.0531,1.4348
SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf,1,0.0052,0.2615,0.0029,0.0037,18000,0.1006,0.0817,0.8332
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1136141672-041.cnf,1,0.1698,0.5546,0.0904,0.1263,1785,0.2941,0.2874,0.6938
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,0.1372,0.6155,0.0751,0.1098,210000,2.2849,1.6796,1.8983
SAT_RACE2006/SAT-Race-Benchmarks/goldb-heqc-dalumul.cnf,1,0.0819,0.7327,0.0438,0.0543,59991,4.4289,2.8301,1.2701
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0.0219,0.9296,0.0216,0.0218,23548,0,0,0
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.0406,0.9797,0.0169,0.0256,108000,0.5915,0.2745,0.9764
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?,?
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.0426,0.9734,0.0198,0.0289,51668,0.5971,0.2907,1.0674
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0.5268,0,0,24825,0,0,0.6262
SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S2109328271-14.cnf,1,0.0048,0.2368,0.0027,0.0033,16000,0.0961,0.0751,0.8371
SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1426208256-08.cnf,1,0.0001,0.1008,0.0001,0.0001,11900,0.0352,0,1.0031
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0.0425,0.9771,0.0144,0.0249,62900,0.6398,0.3167,0.9573
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1126657927-015.SATISFIABLE.cnf,1,0.0034,0.2403,0.0018,0.0022,3727,0.0977,0.0325,0.8412
SAT_Competition2009/CRAFTED/parity-games/instance_n5_i5_pp.cnf,1,0.2547,0.785,0.079,0.0769,26264,1.1086,0.965,1.6268
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0.042,0,0.042,0.042,880,0,0.0273,0.5623
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.4075,0.9833,0.155,0.3138,4120000,4.7326,0.7991,0.7405
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S72635791-098-UNKNOWN.cnf,1,0.0047,0.2266,0.0027,0.0034,20000,0.0988,0.0835,0.8303
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,0.4997,0.826,0.4382,0.499,15960,1.2324,1.3286,2.5306
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1406921020-013.UNKNOWN.cnf,1,0.1595,0.5524,0.0839,0.1129,1917,0.2773,0.2746,0.6283
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,0.4997,0.8263,0.4444,0.499,16016,1.1824,1.3887,2.5489
SAT_Competition2011/SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.0125,0.9889,0.0112,0.0119,88373,0.2523,0.2918,0.897
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf,1,0.1077,0.9363,0.1058,0.1075,30460,0,0.262,0.9599
SAT_Competition2007/random/OnTreshold/7SAT/v70/unif-k7-r89-v70-c6230-S1084572666-19.SAT.shuffled.cnf,1,0.0001,0.0944,0.0001,0.0001,6230,0.0352,0,0.9952
SAT-Race-2010-CNF/hardware-verification/velev/12pipe_q0_k.cnf,1,0.36,1,0.0979,0.2199,4220000,3.6777,2.4033,0.6842
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S762724712-048.cnf,1,0.1758,0.5674,0.0931,0.1237,25200,0.2884,0.2917,0.7245
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v500-c2130-S9113894-047.SATISFIABLE.cnf,1,0.1689,0.5902,0.0915,0.1211,2130,0.2784,0.2746,0.6875
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1492329924-074.cnf,1,0.0033,0.2175,0.0018,0.0025,2343,0.102,0.0153,0.822
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_9_all.cnf,1,0.0665,0.975,0.0232,0.0368,40187,0.4995,0.3677,0.9164
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray02_32.cnf,1,0.0446,0.1434,0.0258,0.0387,12563,0.1969,0.4531,1.3728
SAT_RACE2008/cmu-bmc-longmult15.cnf,1,0.0474,0.3016,0.0267,0.0419,24351,1.179,0.9753,0.9448
SAT_RACE2008/schup-l2s-motst-2-k315.cnf,1,0.252,0.4605,0.1013,0.1834,1600000,1.2442,1.2043,1.3062
SAT_Competition2011/SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.0559,0.9011,0.0331,0.0424,93904,0.8045,0.7561,1.1292
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/60/unif-k7-r89-v60-c5340-S1858385213-060.cnf,1,0.0001,0.0979,0.0001,0.0001,5340,0.038,0,1.0119
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v40000-c168000-S845438593-067-UNKNOWN.cnf,1,0.1751,0.5674,0.0923,0.124,168000,0.2922,0.2962,0.7206
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/2000/unif-k3-r4.2-v2000-c8400-S1442480583-017.cnf,1,0.1767,0.5627,0.0917,0.1246,8400,0.2879,0.2883,0.6923
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/460/unif-k3-r4.25-v460-c1955-S2035161427-020.cnf,1,0.1737,0.5945,0.0906,0.1219,1955,0.291,0.2883,0.7292
SAT_Competition2009/CRAFTED/sgi/sgi-difficult7.cnf,1,0.0028,0.9132,0.0012,0.0016,28986,0.1473,0,0.0552
SAT_RACE2008/goldb-heqc-alu4mul.cnf,1,0.0968,0.7383,0.0489,0.0609,30465,3.6102,2.2483,1.2715
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/diagnosis/UR-10-5p0.cnf,1,0.053,0.8264,0.0193,0.0361,501000,0.7045,0.6419,1.4502
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v250-c1065-S931339469-052.UNKNOWN.cnf,1,0.1568,0.5478,0.079,0.1065,1065,0.2855,0.2769,0.706
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s12930489-sat.cnf,1,0.2295,0.5832,0.2295,0.2295,288,0,0.0315,1.1149
SAT_Competition2009/CRAFTED/edgematching/fbcolors/em_12_2_4_fbc.cnf,1,0.0913,0.9812,0.0161,0.0018,203000,2.1932,0.2362,1.2043
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/480/unif-k3-r4.25-v480-c2040-S1002348653-090.cnf,1,0.168,0.5738,0.0918,0.1241,2040,0.2862,0.2816,0.6594
SAT_Competition2007/random/OnTreshold/3SAT/v600/unif-k3-r4.261-v600-c2556-S1104692480-03.SAT.shuffled.cnf,1,0.1751,0.576,0.0911,0.125,2556,0.3072,0.3057,0.761
SAT_Competition2007/random/OnTreshold/5SAT/v80/unif-k5-r21.3-v80-c1704-S1317485140-08.UNSAT.shuffled.cnf,1,0.0029,0.241,0.0018,0.0022,1704,0.0861,0.009,0.8537
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g5.cnf,1,0,0.811,0,0,43649,0.2241,0.2101,0.2608
SAT_Competition2009/CRAFTED/ramseycube/Q3inK10.cnf,1,0.4988,0,0.4988,0.4988,75600,0,0,0
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.0298,0.8379,0.0159,0.0254,1190000,0.5444,0.5111,1.3793
SAT_Competition2011/SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0.0039,0.034,0.0035,0.0037,2924,0.0121,0.0257,1.043
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_34.cnf,1,0,0.6917,0,0,194000,0.0034,0.0747,0.6745
SAT_Competition2009/CRAFTED/rbsat/crafted/unforced/rbsat-v1375c111739g6.cnf,1,0,0.8377,0,0,112000,0.1472,0.1641,0.2255
SAT_RACE2006/SAT-Race_TS_2/hoons-vbmc-s04-07.cnf,1,0.2403,0.3923,0.153,0.2403,77643,1.552,1.5269,1.4572
SAT_RACE2008/ibm-2002-30r-k85.cnf,1,0.1211,0.8409,0.0401,0.0541,890000,0.9596,0.7488,1.5838
SAT_RACE2006/SAT-Race_TS_1/manol-pipe-c6n.cnf,1,0.152,0.793,0.0716,0.1126,110000,1.2354,1.1417,1.7799
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-09.cnf,1,0.3607,1,0.0966,0.2062,4690000,3.3786,2.354,0.8933
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-240-2.shuffled-as.sat05-2519.cnf,1,0.126,0.0276,0.1036,0.1103,2376,0.2691,0.1169,1.617
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.2295,0.5832,0.2295,0.2295,384,0,0.0252,1.108
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,0.3085,0.6298,0.1812,0.2397,9344,0.4002,0.4341,1.353
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/400/unif-k3-r4.25-v400-c1700-S418266958-049.cnf,1,0.1623,0.5779,0.0912,0.1253,1700,0.2696,0.264,0.6687
SAT-Race-2010-CNF/software-verification/nec/hard-12-U-7061.cnf,1,0.3043,0.9979,0.1269,0.2568,1290000,2.717,2.3827,1.5021
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-24.cnf,1,0.0926,0.3651,0.0484,0.0581,209000,1.3478,1.8082,1.2531
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.151,0.0479,0.111,0.1201,2176,0.3387,0.1199,1.7119
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S906020180-093.cnf,1,0.1734,0.5715,0.0911,0.1222,16800,0.2832,0.2864,0.7138
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,0.0576,0.1034,0.0313,0.0398,225000,0.586,0.4568,1.0578
SAT_Competition2011/SAT05/industrial/maris05/Rovers/rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0.1345,0.9304,0.0399,0.0293,5423,0.5241,0.4914,0.9256
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_fb_unknown.cnf,1,0.1731,0.4201,0.0432,0.064,774000,1.5018,1.1167,0.4487
SAT_Competition2009/RANDOM/MEDIUM/7SAT/UNKNOWN/60/unif-k7-r89-v60-c5340-S1772751287-054.cnf,1,0.0001,0.087,0.0001,0.0001,5340,0.0378,0,1.007
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/560/unif-k3-r4.25-v560-c2380-S45592023-054.cnf,1,0.1756,0.5836,0.0928,0.1231,2380,0.2977,0.2932,0.6805
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl008.sat05-2720.reshuffled-07.cnf,1,0.5,0.7998,0.4474,0.4999,8277,4.1778,1.5253,2.9077
SAT_Competition2011/SAT09/CRAFTED/edgematching/compact/em_12_2_4_cmp.cnf,1,0.3371,0.9548,0.1195,0.1673,156000,2.2842,0.2403,1.0709
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v945c61409gyes5.cnf,1,0,0.8212,0,0,61409,0.2208,0.2234,0.2437
SAT_Competition2009/CRAFTED/Hard/contest04/connamacher/connm-ue-csp-sat-n800-d0.02-s925928766.sat05-538.reshuffled-07.cnf,1,0.0097,0.6615,0.0037,0.0078,8767,0.3858,0.3308,1.0565
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,1,0.4215,0.9641,0.1733,0.3173,3870000,3.3383,0.7623,0.7456
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf,1,0.3832,0,0.3831,0.3832,720,0,0.0909,0.9678
SAT_Competition2007/crafted/Hard/contest05/others/mod2c-rand3bip-sat-220-1.sat05-2488.reshuffled-07.cnf,1,0.1482,0.0358,0.1099,0.1213,2216,0.2983,0.1214,1.6738
SAT_Competition2007/random/LargeSize/3SAT/v19000/unif-k3-r4.2-v19000-c79800-S1330787624-15.cnf,1,0.1743,0.567,0.0922,0.124,79800,0.2897,0.2931,0.708
SAT_RACE2008/velev-fvp-sat-3.0-b18.cnf,1,0.4959,0.9971,0.1745,0.2773,1010000,1.1802,1.8787,1.0885
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1910317962-059.UNKNOWN.cnf,1,0.1533,0.5362,0.0813,0.1153,1917,0.2819,0.2783,0.7033
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/crypto/desgen/gss-17-s100.cnf,1,0.0559,0.901,0.033,0.0424,94116,0.8034,0.7572,1.1314
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-7x6.cnf,1,0.3528,0.5993,0.3528,0.3528,1554,0,0,0
SAT_Competition2007/random/OnTreshold/5SAT/v90/unif-k5-r21.3-v90-c1917-S1282416669-17.SAT.shuffled.cnf,1,0.0031,0.2095,0.0018,0.0023,1917,0.0882,0.0101,0.8222
SAT_Competition2007/industrial/industrial/anbulagan/diag-sat/dated-10-19-s.cnf,1,0.0307,0.7829,0.0137,0.0239,1180000,0.622,0.6174,1.291
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf,1,0,0.9021,0,0,71378,0.1782,0,0.8405
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/90/unif-k5-r21.3-v90-c1917-S845966893-046.cnf,1,0.0033,0.2017,0.0017,0.0022,1917,0.0928,0.0111,0.826
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-ukn002.sat05-3842.reshuffled-07.cnf,1,0.4997,0.827,0.4406,0.499,18753,1.2917,1.3969,2.6066
SAT_Competition2011/SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf,1,0.0447,0.061,0.0308,0.0415,210000,0.5124,0.5197,1.0359
SAT_Competition2009/CRAFTED/sgen/sat/sgen1-sat-180-100.cnf,1,0.2296,0.5832,0.2295,0.2295,432,0,0.0225,0
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes8.cnf,1,0,0.8024,0,0,43649,0.1338,0.1627,0.2692
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-12.sat05-2587.reshuffled-07.cnf,1,0.3804,0,0.3649,0.3791,232,0.1053,0.069,1.1751
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_443.cnf,1,0,0.733,0,0,26201,0.2403,0.0021,0
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-g7nidw.cnf,1,0.1495,0.7349,0.0785,0.1204,222000,1.2239,1.1611,1.854
SAT_Competition2011/SAT09/CRAFTED/parity-games/instance_n8_i8_pp_ci_ce.cnf,1,0.183,0.8569,0.0625,0.0653,258000,1.7537,1.3877,1.5703
SAT_Competition2009/CRAFTED/parity-games/instance_n4_i4_pp_ci_ce.cnf,1,0.2541,0.7391,0.0868,0.1194,9175,0.9094,0.8088,1.5959
SAT_RACE2006/SAT-Race_TS_1/grieu-vmpc-s05-24s.cnf,1,0,0.6934,0,0,67872,0.0058,0.086,1.0494
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-12-07-08.sat05-1251.reshuffled-07.cnf,1,0.2241,0.7805,0.1215,0.2094,4514,0.7001,0.453,1.393
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom13.cnf,1,0.2402,0.5279,0.0997,0.168,66333,1.6275,1.4523,1.5391
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.3904,0.1855,0.3335,0.3887,2355,0.9092,0.3976,1.0749
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/440/unif-k3-r4.25-v440-c1870-S1339293988-069.cnf,1,0.1583,0.5709,0.0893,0.1239,1870,0.2797,0.2714,0.7272
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libmsrpc_vc1225336-tseitin.cnf,1,0.1219,0.523,0.0576,0.0651,599000,2.9341,2.8496,1.4861
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v400-c1704-S1409021001-079.UNKNOWN.cnf,1,0.171,0.5729,0.0884,0.1181,1704,0.2917,0.2846,0.7374
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S446351158-079.SATISFIABLE.cnf,1,0.0031,0.2419,0.0018,0.0021,2662,0.0831,0.0167,0.8353
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.026,0.8784,0.0125,0.0113,187000,3.5238,1.2345,0.5612
SAT_RACE2008/simon-s02b-r4b1k1.1.cnf,1,0.0259,0.9142,0.0178,0.0222,14812,1.552,0.5486,1.3864
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-4_511.cnf,1,0.0812,0,0.0285,0.0303,4478,0.3019,0.2773,0
