@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE cl_size_min NUMERIC

@DATA
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.7281,1.0016,0.9511,0.267,20.538,141.434,0.4917,0.9728,18.45,0.5835,0.9235,0.8863,0.897,0.7011,2.805,25.6108,17.2005,0.0112,0.9512,0,1380,0,0.5513,0.9432,0.0119,27.8585,0.0024,0.5791,0.0003,0,0.0011,25.6108
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,0.1265,0,0,0.3797,11.2954,14.2115,1,0.8735,10.7719,0.8326,0.6217,0.809,0,0.5519,2.0373,34.7772,10.9847,0,0.5767,0,4597,1,0,0.56,0,37.7223,?,0.5364,0,0.0014,0.0161,34.7772
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,0.9714,0.0101,0.9714,0.2079,53.1227,346.25,0.9984,0.9714,35.494,1.989,0.8872,0.9483,0.1399,0.857,13.3554,56.4608,53.8444,0,0.8879,0,54,0.8824,0.0327,0.8722,0,66.9394,?,0.8144,0,0.0008,0.0019,56.4608
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,0.8333,0,0.8333,0.4506,2.6539,10.5361,1,0.8333,11.0207,0.9583,0.692,0.8269,0,0.6919,0.0014,41.8992,2.0976,0.0467,0.6919,0.0466,4916,1,0,0.6919,0.0468,48.2732,0.018,0.6918,0.0467,0.0138,0.0165,41.8992
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,0.9819,0.0049,0.9819,0.1198,88.9836,25.5625,0.9994,0.9819,160.4,2.5629,0.9762,0.9362,0.0895,0.9515,1.2831,95.5521,78.0606,0.027,0.9884,0,6,0.9412,0.0199,0.9705,0.0409,112.4,?,0.2354,0.0028,0.0003,0.0008,91.0931
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,0.0831,0,0.0031,0.3096,23.0011,15.7566,1,0.9169,13.692,1.105,0.7056,0.8066,0,0.6449,2.3313,45.0426,25.1053,0,0.6856,0,4621,1,0,0.657,0,49.7635,?,0.6329,0,0.0008,0.0099,45.0426
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,0.0782,0,0.0124,0.3469,22.3937,15.4287,1,0.9218,13.9374,1.0967,0.7095,0.8034,0,0.6474,2.3077,36.5443,23.8414,0,0.6884,0,4500,1,0,0.6648,0,37.9927,?,0.6213,0,0.0008,0.01,36.5443
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.9299,0.027,0.9299,0.2767,23.9299,24.5809,0.9927,0.9299,42.4065,1.3783,0.7983,0.9048,0.2608,0.7734,4.4534,40.1006,28.2714,0,0.7982,0,406,0.7143,0.0556,0.7848,0,44.7709,?,0.7384,0,0.0014,0.0028,40.1006
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0.0107,0.8114,0,0.0081,1.6871,6.1613,0.2437,0,7.1515,0.016,0.1178,0.6947,1.3492,0.0375,0.0013,17.4623,0.9785,0.494,0.0713,0.4932,2232,0,0,0.0647,0.4943,18.5081,?,0.0348,0.4935,0.0006,0.0526,17.4623
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_390.cnf,1,0.0873,0,0.0032,0.3202,21.9479,20.8631,1,0.9127,13.3078,1.0699,0.6932,0.803,0,0.6301,2.3978,36.6908,24.563,0,0.6708,0,4669,1,0,0.6422,0,40.4414,?,0.6107,0,0.001,0.0103,36.6908
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,1,0.2504,0.8453,0,0.9205,1.572,27.7525,0.3599,0,27.6506,0.1608,0.0391,0.4878,1.6919,0.0002,0.2011,11.8748,0.9852,0.1055,0.0134,0.0812,727,0,0,0.0025,0.1154,32.4906,0.3262,0,0.0901,0.0012,0.0113,11.8748
./SAT11/crafted/skvortsov/battleship/battleship-16-16-unsat.cnf,1,0.8824,0,0.8824,0.3622,3.5387,16.5052,1,0.8824,15.9889,1.2368,0.7578,0.8745,0,0.7576,0.0023,78.9748,2.9757,0.0275,0.7579,0.0274,4872,1,0,0.7577,0.0276,80.8087,0.0083,0.7575,0.0274,0.0069,0.0078,78.9748
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_506.cnf,1,0.0769,0,0.0024,0.2903,27.3461,27.2359,1,0.9231,18.2982,1.1742,0.7191,0.8383,0,0.6664,2.5317,52.4617,31.1432,0,0.7016,0,1496,1,0,0.6777,0,58.5868,?,0.6532,0,0.0006,0.0079,52.4617
./SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.6484,0.8849,0.8333,0.4506,1.1568,3.377,0.5302,0.8333,5.8605,0.4472,0.5832,0.8353,1.108,0.5831,0.0001,29.0705,0.6404,0.2295,0.5832,0.2294,4527,0,0,0.5832,0.2295,30.1183,0.0952,0.5831,0.2295,0,0.0125,29.0705
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.2945,0.9523,0.0371,0.4854,0.33,8.4172,0.2847,0.1398,7.7162,0.1226,0.1128,0.6422,1.0749,0.0047,0.2819,9.5839,0.1286,0.3335,0.0374,0.0212,438,0,1.1104,0.0153,0.3887,11.9361,0.25,0.0001,0.3418,0.0005,0.0032,8.6826
./SAT11/crafted/skvortsov/automata-synchronization/rnd_150_42_s.cnf,1,0.5668,0.6874,0.2481,1.5412,1.4237,23.3935,0.5454,0.5538,18.9421,0.3607,0.2458,0.2912,1.6908,0.0339,0.2901,11.9613,0.2982,0.293,0.1899,0,1173,0,1.6948,0.0814,0.3395,17.2678,?,0.0001,0.2893,0,0.0008,11.132
./SAT05/crafted/sabharwal05/ordering/gt-ordering/sat/gt-030.shuffled-as.sat05-1295.cnf,1,0.5096,0.5877,0.0175,0.0975,11.0015,1.261,0.4986,0.9988,5.8135,0.3031,0.5268,0.9146,0.6221,0.5267,0.0142,32.1439,9.087,0,0.5268,0,1380,0,0,0.5267,0,40.4414,0.0347,0.5186,0,0.0011,0.0023,30.8127
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes2.cnf,1,0.9494,0.0157,0.9494,0.2129,40.4446,525.9,0.9964,0.9494,552.595,1.7337,0.8314,0.8976,0.2012,0.7825,6.3213,51,48.0292,0,0.8351,0,26,0.8333,0.037,0.8085,0,56.4847,?,0.7356,0,0.0006,0.0011,50.0085
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_505.cnf,1,0.073,0,0.0099,0.321,27.3145,22.1837,1,0.927,14.9568,1.1668,0.7216,0.7873,0,0.668,2.4589,43.3438,30.593,0,0.702,0,4262,1,0,0.6803,0,45.6619,?,0.647,0,0.0005,0.0079,43.3438
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-17_279.cnf,1,0.1062,0,0,0.3384,15.8477,22.3273,1,0.8938,15.6557,0.9613,0.6592,0.81,0,0.6021,2.2495,47.9128,16.5202,0,0.6206,0,1292,1,0,0.6083,0,52.8652,?,0.5916,0,0.0008,0.0108,47.9128
./SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.7577,0,0.0306,0.682,6.8911,0.0069,1,0.0306,0.2882,0.592,0.5028,0.9962,0,0.5027,0.0003,29.2469,6.7749,0.0046,0.5028,0.0046,3840,1,0.3333,0.5027,0.0046,29.2469,?,0.5026,0.0046,0.0082,0.0056,29.2469
./SAT05/crafted/sorge05/QG7a/gensys-ukn004.shuffled-as.sat05-3844.cnf,1,0.14,0.8845,0.0794,2.1248,0.7141,51.2065,0.3079,0.0985,39.9948,0.386,0.735,0.5014,2.5766,0.6063,0.3457,14.8156,0.0912,0.4419,0.7762,0,747,0,0.0321,0.6662,0.499,16.3387,?,0,0.4742,0,0.0008,12.0295
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_388.cnf,1,0.0915,0,0,0.3059,21.2435,33.6683,1,0.9085,22.3005,1.0759,0.6903,0.8318,0,0.6427,2.4221,48.7235,23.8546,0,0.6564,0,271,1,0,0.6469,0,51.7031,?,0.6326,0,0.0005,0.0077,47.9868
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes10.cnf,1,0.9546,0.0126,0.9546,0.1933,51.0022,2695.93,0.9973,0.9546,956.105,1.9116,0.8489,0.9271,0.1846,0.6876,9.358,70.4737,55.1258,0,0.8962,0,31,0.8824,0.0313,0.8496,0,81.5904,?,0.1356,0,0.0004,0.0008,67.9664
./SAT05/crafted/sabharwal05/pebbling/grid-pebbling/unsat/grid-pbl-0250.shuffled-as.sat05-1349.shuffled-as.sat05-1349.cnf,1,0.3109,0.8866,0.0018,0.0472,0.5364,7.9255,0.375,0.0031,7.8171,0.0275,0.0519,0.6806,1.0083,0,0.011,6.2137,0.1313,0.4604,0,0.3839,102,0,53.8514,0,0.4604,8.201,0.1176,0,0.4604,0,0.0017,5.1273
./SAT11/crafted/skvortsov/battleship/battleship-9-17-sat.cnf,1,0.8831,0,0.8831,0.3607,2.2866,0.8798,1,0.8831,1.8504,1.284,0.8006,0.9273,0,0.8006,0,0,1.7426,0.2577,0.8006,0.2577,0,1,0,0.8006,0.2577,0,0.0146,0.8006,0.2577,0.0115,0.0131,0
./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf,1,0.8448,0.4686,0,0.4835,3.1008,61.9426,0.6621,0.8448,47.7751,0.2498,0.6283,0.7147,0.9999,0.5395,1.0254,41.6621,2.9724,0.0044,0.6289,0,2187,0.3333,0.3333,0.5808,0.0088,46.4552,0.0403,0.4265,0.0005,0.002,0.0036,41.6621
./SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,1,0.8372,0,0.8372,0.4443,1.9216,1.0747,1,0.8372,1.8401,1.0176,0.757,0.9116,0,0.7569,0,33.9456,1.4979,0.2851,0.7569,0.2851,4836,1,0,0.7569,0.2851,35.9611,0.0274,0.7569,0.2851,0.0199,0.0238,33.9456
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p15-s44266159.cnf,1,0.9682,0.0127,0.9682,0.2214,37.763,99.2536,0.998,0.9682,92.1546,1.7983,0.8751,0.957,0.1561,0.8374,15.7362,49.2151,39.9038,0,0.8796,0,125,0.8571,0.0394,0.8619,0,54.0684,?,0.7717,0,0.001,0.0026,49.2151
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.7118,1.0161,0.9756,0.1369,39.5103,11.5737,0.4897,0.9756,8.6485,1.9114,0.8977,0.9522,0.8223,0.8685,3.1726,57.779,40.138,0,0.8994,0,111,0,0.0345,0.8879,0,62.8876,?,0.8382,0,0.0007,0.0027,57.499
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p15-s58217873.cnf,1,0.9669,0.0159,0.9669,0.237,30.9983,14.0778,0.9973,0.9669,13.4185,1.5366,0.8682,0.9466,0.1769,0.8245,4.5829,52.37,28.6553,0,0.8744,0,793,0.8667,0.0476,0.854,0,60.2725,?,0.7183,0,0.0017,0.0038,52.37
./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf,1,0.8432,0.4676,0,0.4846,3.4495,51.8103,0.6627,0.8432,42.3919,0.2489,0.6203,0.6844,1.0025,0.5258,1.1816,28.5177,3.3594,0.0036,0.6142,0,4501,0.3333,0.3333,0.5674,0.0075,29.285,0.0435,0.4494,0.0001,0.0027,0.0052,28.5177
./SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,1,0.7619,0,0.7619,0.5489,1.5092,1.0035,1,0.7619,1.326,0.7454,0.6799,0.9249,0,0.6799,0.0001,0,1.3375,0.3148,0.6799,0.3148,0,1,0,0.6799,0.3148,0,0.0606,0.6799,0.3148,0.0381,0.05,0
./SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf,1,0.5443,0.9202,0.5255,1.6365,2.6775,15.6248,0.4536,0.7192,11.2841,0.7449,0.7766,0.8422,1.8513,0.425,0.7789,0,1.0838,0.4897,0.8126,0.0016,0,0,1.0575,0.6636,0.9381,0,0.0315,0.0007,0.0261,0,0.0033,0
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf,1,0.9536,0.0131,0.9536,0.197,50.2069,318.667,0.9971,0.9536,2068.63,1.8783,0.8473,0.9403,0.1879,0.6709,6.4195,67.626,56.4269,0.0001,0.8967,0,28,0.8947,0.0323,0.8497,0,78.7411,?,0.1467,0,0.0005,0.0009,67.2117
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.9822,0,0.9822,0.0895,13.5107,0.0195,1,0.9822,0.0009,2.3509,0.9305,1,0,0.9303,0.0094,0,13.5515,0.0312,0.9305,0.0306,0,1,0.037,0.9304,0.0314,0,0.001,0.9302,0.031,0.0028,0.0028,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-12_135.cnf,1,0.1451,0,0,0.4141,8.702,9.3027,1,0.8549,8.1399,0.7362,0.5916,0.8003,0,0.5092,1.8631,26.6204,8.015,0.0002,0.5383,0,4645,1,0,0.5185,0.0002,27.4099,0.0014,0.4959,0,0.0023,0.0222,26.6204
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-15_218.cnf,1,0.119,0,0,0.3649,12.7827,17.521,1,0.881,13.5208,0.8775,0.6338,0.8151,0,0.5694,2.1374,39.446,13.0056,0,0.5926,0,4506,1,0,0.5764,0,44.0231,?,0.5548,0,0.0011,0.0138,39.446
./SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf,1,0.3456,0.7882,0.0101,1.1397,1.2794,4.1596,0.4245,0.3899,4.7117,0.2894,0.0316,0.9373,1.6601,0.0007,1.0462,24.4369,0.9764,0.0484,0.0054,0.012,4121,0,0.4046,0.0015,0.0485,25.1827,0.246,0.0003,0.0247,0.0038,0.0153,24.4369
./SAT05/crafted/sorge05/QG7a/gensys-icl005.shuffled-as.sat05-3826.cnf,1,0.1458,0.8781,0.0801,2.1398,0.7022,51.67,0.3124,0.1014,40.2964,0.3885,0.7356,0.5283,2.5725,0.6251,0.3399,16.4056,0.0812,0.4359,0.7777,0,1605,0,0.0325,0.6664,0.499,18.2685,?,0,0.4737,0,0.0008,15.8453
./SAT11/crafted/spence/sgen/sgen3-n140-s20078956-unsat.cnf,1,0.5034,0.5767,0,0,0.746,1.1037,0.4886,1,2.6965,0,0.0326,0.9605,0.5427,0.0007,0.0473,18.0832,0.4445,0.3175,0.0113,0.2644,3652,0.3333,0,0.003,0.3242,19.2993,0.1538,0.0001,0.3166,0,0.0213,18.0832
