@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE BINARYp NUMERIC

@DATA
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.9299,0.027,0.9299
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0.0107,0.8114,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_390.cnf,1,0.0873,0,0.0032
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,1,0.2504,0.8453,0
./SAT11/crafted/skvortsov/battleship/battleship-16-16-unsat.cnf,1,0.8824,0,0.8824
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_506.cnf,1,0.0769,0,0.0024
./SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.6484,0.8849,0.8333
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.2945,0.9523,0.0371
./SAT11/crafted/skvortsov/automata-synchronization/rnd_150_42_s.cnf,1,0.5668,0.6874,0.2481
./SAT05/crafted/sabharwal05/ordering/gt-ordering/sat/gt-030.shuffled-as.sat05-1295.cnf,1,0.5096,0.5877,0.0175
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes2.cnf,1,0.9494,0.0157,0.9494
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_505.cnf,1,0.073,0,0.0099
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-17_279.cnf,1,0.1062,0,0
./SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.7577,0,0.0306
./SAT05/crafted/sorge05/QG7a/gensys-ukn004.shuffled-as.sat05-3844.cnf,1,0.14,0.8845,0.0794
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_388.cnf,1,0.0915,0,0
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes10.cnf,1,0.9546,0.0126,0.9546
./SAT05/crafted/sabharwal05/pebbling/grid-pebbling/unsat/grid-pbl-0250.shuffled-as.sat05-1349.shuffled-as.sat05-1349.cnf,1,0.3109,0.8866,0.0018
./SAT11/crafted/skvortsov/battleship/battleship-9-17-sat.cnf,1,0.8831,0,0.8831
./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf,1,0.8448,0.4686,0
./SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,1,0.8372,0,0.8372
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p15-s44266159.cnf,1,0.9682,0.0127,0.9682
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.7118,1.0161,0.9756
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p15-s58217873.cnf,1,0.9669,0.0159,0.9669
./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf,1,0.8432,0.4676,0
./SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,1,0.7619,0,0.7619
./SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf,1,0.5443,0.9202,0.5255
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf,1,0.9536,0.0131,0.9536
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.9822,0,0.9822
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-12_135.cnf,1,0.1451,0,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-15_218.cnf,1,0.119,0,0
./SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf,1,0.3456,0.7882,0.0101
./SAT05/crafted/sorge05/QG7a/gensys-icl005.shuffled-as.sat05-3826.cnf,1,0.1458,0.8781,0.0801
./SAT11/crafted/spence/sgen/sgen3-n140-s20078956-unsat.cnf,1,0.5034,0.5767,0
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf,1,0.7058,1.0222,0.9694
./SAT11/crafted/skvortsov/battleship/battleship-14-27-sat.cnf,1,0.9261,0,0.9261
./SAT03/handmade/anton/UNSAT/SGI_30_70_22_70_7-dir.shuffled-as.sat03-154.cnf,1,0.7131,1.0131,0.9718
./SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf,1,0.3636,0.8418,0
./SAT03/handmade/bevan/cnf/marg3x3add8.shuffled-as.sat03-1449.cnf,1,0.2545,0.6736,0
./SAT05/crafted/sorge05/QG7a/gensys-ukn003.shuffled-as.sat05-3843.cnf,1,0.1264,0.8703,0.07
./SAT11/crafted/skvortsov/battleship/battleship-13-13-unsat.cnf,1,0.8571,0,0.8571
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-6_2072.cnf,1,0.1004,0.3454,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p30-s48700942.cnf,1,0.9713,0.01,0.9713
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_464.cnf,1,0.08,0,0.0027
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p30-s19690873.cnf,1,0.979,0.0066,0.979
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,1,0.7195,1.0163,0.9697
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_99_u.cnf,1,0.2961,0.9479,0.0323
./SAT04/handmade/anton/l4k4/lksat-n900-m6174-k4-l4-s819398222.used-as.sat04-929.cnf,1,0.3081,0.8892,0.0017
./SAT04/handmade/anton/l5k3/lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf,1,0.4563,0.6136,0.0049
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p15-s2076598.cnf,1,0.9871,0.0048,0.9871
./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf,1,0.5419,0.7424,0.2396
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-18_312.cnf,1,0.1007,0,0
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v1375c111739g4.cnf,1,0.9349,0.0236,0.9349
./SAT05/crafted/roussel05/visbmc-PHNF/phnf-size10-exclusive-philo.used-as.sat04-988.shuffled-as.sat05-4195.cnf,1,0.6449,1.0213,0.8588
./SAT04/handmade/kexu/frb-0.8/frb45-21-1.used-as.sat04-883.cnf,1,0.9348,0.0236,0.9348
./SAT11/crafted/skvortsov/battleship/battleship-11-21-sat.cnf,1,0.9052,0,0.9052
./SAT05/crafted/sorge05/QG7a/gensys-brn002.shuffled-as.sat05-3935.cnf,1,0.1178,0.8806,0.0801
./SAT04/handmade/kexu/frb-0.8/frb59-26-2.used-as.sat04-892.cnf,1,0.9463,0.0174,0.9463
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes2.cnf,1,0.9552,0.013,0.9552
./SAT11/crafted/spence/sgen/sgen3-n260-s62321009-sat.cnf,1,0.6298,0.8947,0.8333
./SAT11/crafted/mosoi/289/289-sat-6x19.cnf,1,0.7581,0,0.0323
./SAT11/crafted/skvortsov/automata-synchronization/rnd_100_28_u.cnf,1,0.6326,0.6266,0.272
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0.1925,0.6696,0
./SAT11/crafted/skvortsov/battleship/battleship-16-31-sat.cnf,1,0.9356,0,0.9356
./SAT11/crafted/mosoi/289/289-unsat-9x32.cnf,1,0.753,0,0.012
./SAT11/crafted/skvortsov/battleship/battleship-15-29-sat.cnf,1,0.9312,0,0.9312
./SAT11/crafted/spence/sgen/sgen3-n140-s18527668-sat.cnf,1,0.6756,0.9534,0.8333
./SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0.6117,0.9821,0.8333
./SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0.7674,0,0.0698
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1327.5-n60-p15-s1351253.cnf,1,0.9798,0.005,0.9798
./SAT11/crafted/mosoi/289/289-unsat-17x27.cnf,1,0.7518,0,0.0072
./SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.1419,0.9222,0.1019
./SAT11/crafted/skvortsov/battleship/battleship-10-18-sat.cnf,1,0.8901,0,0.8901
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1150c84314gyes1.cnf,1,0.9349,0.0236,0.9349
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_508.cnf,1,0.077,0,0.0025
./SAT05/crafted/sabharwal05/counting/php/unsat/easier/php-010-008.shuffled-as.sat05-1171.cnf,1,0.5667,1.1471,0.7667
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-24_567.cnf,1,0.0707,0,0.0088
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g5.cnf,1,0.9519,0.0143,0.9519
./SAT11/crafted/mosoi/289/289-sat-4x35.cnf,1,0.7571,0,0.0286
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p15-s54275047.cnf,1,0.9757,0.0074,0.9757
./SAT05/crafted/sabharwal05/counting/php/unsat/easier/php-045-035.shuffled-as.sat05-1181.cnf,1,0.6999,1.0205,0.9438
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g3.cnf,1,0.9523,0.0142,0.9523
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_445.cnf,1,0.0753,0,0.0112
./SAT11/crafted/spence/sgen/sgen3-n300-s12830984-sat.cnf,1,0.6361,0.9873,0.8333
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_060.shuffled.cnf,1,0.2105,0.7008,0
./SAT05/crafted/lynce05/social-golfer-problem/sgp_5-6-8.shuffled-as.sat05-2669.cnf,1,0.6758,0.9623,0.798
./SAT09/CRAFTED/parity-games/instance_n8_i8_pp_ci_ce.cnf,1,0.8164,0.6201,0.1575
./SAT04/handmade/connamacher/connm-d0.02/connm-ue-csp-sat-n800-d0.02-s111845174.used-as.sat04-958.cnf,1,0.8423,0.4669,0
./SAT04/handmade/kexu/frb-0.8/frb59-26-1.used-as.sat04-891.cnf,1,0.9463,0.0174,0.9463
./SAT09/CRAFTED/edgematching/fbcolors/em_8_4_5_fbc.cnf,1,0.7631,0.5509,0.4286
./SAT05/crafted/sorge05/QG7a/gensys-ukn006.shuffled-as.sat05-3846.cnf,1,0.1384,0.878,0.0727
./SAT11/crafted/skvortsov/battleship/battleship-6-9-unsat.cnf,1,0.7895,0,0.7895
./SAT11/crafted/skvortsov/automata-synchronization/crn_20_361_s.cnf,1,0.2739,0.9728,0.0153
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g6.cnf,1,0.4111,0.597,0.0337
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-220-3.shuffled-as.sat05-2490.cnf,1,0.2555,0.8294,0
./SAT05/crafted/sabharwal05/counting/fphp/unsat/harder/fphp-030-029.shuffled-as.sat05-1234.cnf,1,0.729,1.0211,0.9646
./SAT02/handmade/pehoushek/twentyvars/7cnf20_90000_90000_7.shuffled.cnf,1,0.0685,0.6873,0
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes3.cnf,1,0.9545,0.0126,0.9545
./SAT03/handmade/anton/UNSAT/SGI_30_70_29_50_3-dir.shuffled-as.sat03-179.cnf,1,0.6839,1.0092,0.9662
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes2.cnf,1,0.9534,0.0132,0.9534
./SAT03/handmade/stanion/hwb/hwb-n28-01-S136611085.shuffled-as.sat03-1627.cnf,1,0.3472,0.7724,0.0101
./SAT04/handmade/kexu/frb-0.6/frb80-14-2.used-as.sat04-880.cnf,1,0.9049,0.0425,0.9049
./SAT11/crafted/skvortsov/battleship/battleship-10-19-sat.cnf,1,0.8953,0,0.8953
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1521_s.cnf,1,0.2615,0.9866,0.0069
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v945c61409gyes1.cnf,1,0.933,0.0239,0.933
./SAT11/crafted/spence/sgen/sgen3-n240-s78945233-sat.cnf,1,0.6406,0.9852,0.8333
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-5_4231.cnf,1,0.0997,0.0509,0
./SAT07/crafted/spence/hard/s113-100.cnf,1,0.5,0,0
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-5_4232.cnf,1,0.0997,0.0474,0
./SAT11/crafted/mosoi/289/289-unsat-6x34.cnf,1,0.7545,0,0.0179
./SAT11/crafted/mosoi/289/289-sat-6x8.cnf,1,0.7697,0,0.0789
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1820c171155gyes3.cnf,1,0.944,0.0184,0.944
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_60_1-dir.shuffled-as.sat03-167.cnf,1,0.7289,1.0202,0.966
./SAT11/crafted/mosoi/289/289-sat-9x13.cnf,1,0.7576,0,0.0303
./SAT11/crafted/mosoi/289/289-sat-12x14.cnf,1,0.7551,0,0.0205
./SAT09/CRAFTED/edgematching/compact/em_12_2_4_cmp.cnf,1,0.6253,0.4832,0.1112
./SAT03/handmade/anton/UNSAT/SGI_30_60_29_30_6-dir.shuffled-as.sat03-130.cnf,1,0.7352,1.0077,0.98
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-4_512.cnf,1,0.5,0,0
./SAT04/handmade/marijn/equilarge-l/equilarge_l2.used-as.sat04-894.cnf,1,0.5045,0.3924,0.0763
./SAT05/crafted/sorge05/QG7/dead-dnd003.shuffled-as.sat05-3109.cnf,1,0.5164,0.9228,0.5065
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2400c266431g10.cnf,1,0.9554,0.0129,0.9554
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_3-log.shuffled-as.sat03-109.cnf,1,0.0106,0.8063,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_443.cnf,1,0.0753,0,0.0112
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-16_238.cnf,1,0.1119,0,0
./SAT03/handmade/anton/UNSAT/SGI_30_70_21_60_7-log.shuffled-as.sat03-151.cnf,1,0.0114,0.8095,0
./SAT11/crafted/spence/sgen/sgen3-n190-s29985700-unsat.cnf,1,0.5,0.5759,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p30-s33692332.cnf,1,0.9793,0.0072,0.9793
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes6.cnf,1,0.9259,0.0277,0.9259
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_1-log.shuffled-as.sat03-107.cnf,1,0.0104,0.8062,0
./SAT02/handmade/simon/satex-challenges/par32-3.shuffled.cnf,1,0.4086,0.8047,0.0805
./SAT11/crafted/skvortsov/battleship/battleship-14-14-unsat.cnf,1,0.8667,0,0.8667
./SAT11/crafted/mosoi/289/289-sat-4x8.cnf,1,0.7813,0,0.125
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes7.cnf,1,0.956,0.0124,0.956
./SAT11/crafted/mosoi/289/289-unsat-21x14.cnf,1,0.7529,0,0.0114
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes5.cnf,1,0.9405,0.0207,0.9405
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1504.5-n60-p30-s88600538.cnf,1,0.987,0.0035,0.987
./SAT05/crafted/sorge05/QG7a/gensys-ukn009.shuffled-as.sat05-3849.cnf,1,0.1382,0.884,0.0712
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes3.cnf,1,0.9548,0.013,0.9548
./SAT03/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,0.7612,1.0138,0.9893
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-5-5_34309.cnf,1,0.5,0,0
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2100c215164gyes4.cnf,1,0.9506,0.0144,0.9506
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0.9397,0.0208,0.9397
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1327.5-n60-p30-s52708253.cnf,1,0.9834,0.004,0.9834
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-240-3.shuffled-as.sat05-2520.cnf,1,0.2583,0.8136,0
./SAT09/CRAFTED/parity-games/instance_n9_i9_pp.cnf,1,0.8316,0.5975,0.145
./SAT11/crafted/skvortsov/battleship/battleship-12-23-sat.cnf,1,0.9134,0,0.9134
./SAT11/crafted/mosoi/289/289-unsat-5x41.cnf,1,0.7546,0,0.0184
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_110.shuffled.cnf,1,0.1908,0.6786,0
./SAT05/crafted/sorge05/QG8/iso-ukn009.shuffled-as.sat05-3632.cnf,1,0.5507,0.9899,0.7141
./SAT11/crafted/skvortsov/automata-synchronization/rnd_150_29_u.cnf,1,0.6256,0.6408,0.2953
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2400c266431gyes7.cnf,1,0.9523,0.0142,0.9523
./SAT11/crafted/skvortsov/automata-synchronization/rnd_100_28_s.cnf,1,0.5073,0.7307,0.1883
./SAT05/crafted/markstrom05/eulcbip/eulcbip-7-UNSAT.shuffled-as.sat05-3936.cnf,1,0.297,0.9336,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q918.75-n50-p15-s98191766.cnf,1,0.9802,0.0056,0.9802
./SAT11/crafted/mosoi/289/289-sat-11x4.cnf,1,0.7727,0,0.0909
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m47-q841.5-n45-p30-s84954709.cnf,1,0.9818,0.0052,0.9818
./SAT11/crafted/mosoi/289/289-sat-14x8.cnf,1,0.758,0,0.0319
./SAT11/crafted/mosoi/289/289-sat-11x10.cnf,1,0.7581,0,0.0323
./SAT11/crafted/mosoi/289/289-sat-12x15.cnf,1,0.7548,0,0.0191
./SAT03/handmade/stanion/hwb/hwb-n32-02-S1478512323.shuffled-as.sat03-1638.cnf,1,0.3685,0.7546,0.0209
./SAT05/crafted/sorge05/QG8/gensys-ukn007.shuffled-as.sat05-3586.cnf,1,0.2739,0.7632,0.1475
./SAT11/crafted/spence/sgen/sgen3-n120-s55656844-unsat.cnf,1,0.5238,0.5772,0
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2400c266431gyes1.cnf,1,0.9446,0.0183,0.9446
./SAT11/crafted/mosoi/289/289-unsat-21x39.cnf,1,0.751,0,0.0039
./SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g7.cnf,1,0.9261,0.0276,0.9261
./SAT03/handmade/gomes/bqwh/bqwh.60.1152.shuffled-as.sat03-1650.cnf,1,0.713,0.9983,0.9532
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v1150c84314g7.cnf,1,0.3379,0.623,0.0203
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q505.75-n35-p30-s59841049.cnf,1,0.9742,0.0079,0.9742
./SAT09/CRAFTED/modcircuits/mod3block_2vars_11gates_u2_autoenc.cnf,1,0.9725,0.0122,0.9725
./SAT09/CRAFTED/edgematching/compact/em_7_3_6_cmp.cnf,1,0.698,0.6183,0.2051
./SAT11/crafted/spence/sgen/sgen3-n130-s30940966-unsat.cnf,1,0.5072,0.5763,0
./SAT04/handmade/andrew/composite/Composite-024BitPrimes-1.used-as.sat04-861.cnf,1,0.3576,0.6818,0.104
./SAT11/crafted/skvortsov/automata-synchronization/rnd_100_27_s.cnf,1,0.5526,0.7382,0.2415
./SAT11/crafted/spence/sgen/sgen3-n180-s34713902-sat.cnf,1,0.6713,1.067,0.8333
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q369.75-n30-p15-s59317012.cnf,1,0.962,0.0126,0.962
./SAT03/handmade/anton/UNSAT/SGI_30_80_28_70_8-dir.shuffled-as.sat03-215.cnf,1,0.7483,1.0135,0.9797
./SAT11/crafted/mosoi/289/289-sat-7x6.cnf,1,0.7727,0,0.0909
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q918.75-n50-p30-s52376212.cnf,1,0.9855,0.0044,0.9855
./SAT03/handmade/anton/UNSAT/SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,1,0.7508,1.0105,0.9798
./SAT03/handmade/anton/UNSAT/SGI_30_70_15_90_1-dir.shuffled-as.sat03-136.cnf,1,0.7269,1.0134,0.9723
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q663-n40-p30-s67876261.cnf,1,0.9772,0.0068,0.9772
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v1375c111739g6.cnf,1,0.4588,0.5631,0.0236
./SAT11/crafted/mosoi/289/289-unsat-14x34.cnf,1,0.7517,0,0.0069
./SAT02/handmade/simon/satex-challenges/f600.shuffled.cnf,1,0.5262,0.5791,0
./SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v945c61409g3.cnf,1,0.932,0.024,0.932
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-230-3.shuffled-as.sat05-2505.cnf,1,0.2633,0.7972,0
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-6_2071.cnf,1,0.1004,0.3454,0
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2400c266431g3.cnf,1,0.935,0.0236,0.935
./SAT11/crafted/skvortsov/battleship/battleship-8-15-sat.cnf,1,0.8678,0,0.8678
./SAT11/crafted/skvortsov/battleship/battleship-14-26-sat.cnf,1,0.9235,0,0.9235
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_220.shuffled.cnf,1,0.1911,0.6637,0
./SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v2400c266431g9.cnf,1,0.9534,0.0132,0.9534
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m47-q742.5-n45-p15-s28972035.cnf,1,0.9787,0.0062,0.9787
