@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC

@DATA
4-fullins-5-8.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,136,37.291365,136
4-insertions-3-3.xml.watchless.minion.gz,1,0.037975,0.450984,0.164557,0.050633,324,3.949367,324
4-insertions-3-4.xml.watchless.minion.gz,1,0.037975,0.450984,0.164557,0.050633,263,3.949367,263
4-insertions-4-3.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,324,7.557895,324
4-insertions-4-4.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,263,7.557895,263
4-insertions-4-5.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,184,7.557895,184
5-fullins-3-6.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,169,10.285714,169
5-fullins-3-7.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,154,10.285714,154
5-fullins-3-8.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,136,10.285714,136
5-fullins-4-6.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,169,21.004608,169
5-fullins-4-7.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,154,21.004608,154
5-fullins-4-8.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,136,21.004608,136
5-fullins-4-9.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,96,21.004608,96
abb313GPIA-10.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,104,83.994862,104
abb313GPIA-5.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,184,83.994862,184
abb313GPIA-7.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,154,83.994862,154
abb313GPIA-8.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,136,83.994862,136
abb313GPIA-9.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,96,83.994862,96
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.05,0.796046,0.11,0.07,131.24026,4.61,121
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.05,0.795805,0.09,0.07,127.647436,4.67,114
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.05,0.795776,0.09,0.07,126.884615,4.68,114
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.05,0.795656,0.11,0.07,125.949045,4.71,114
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.06,0.795656,0.13,0.08,127.726115,4.71,114
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.05,0.796552,0.13,0.08,136.14,4.48,121
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.05,0.796287,0.1,0.08,130.105263,4.55,121
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.06,0.79571,0.12,0.08,130.146497,4.69,121
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.07,0.791291,0.11,0.09,127.85567,5.81,121
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.07,0.790977,0.12,0.09,129.040609,5.89,121
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.06,0.791635,0.1,0.09,132.303665,5.72,121
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.07,0.79115,0.12,0.09,127.6,5.85,121
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.07,0.791037,0.12,0.105,128.943878,5.88,121
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.07,0.791492,0.11,0.1,128.71875,5.76,114
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.08,0.791431,0.12,0.1,128.911917,5.77,114
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.07,0.791607,0.11,0.1,130.308901,5.73,114
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.11,0.780003,0.17,0.15,132.43125,9.59,121
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.12,0.780308,0.18,0.15,136.14557,9.45,121
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.11,0.780538,0.18,0.15,135.653846,9.36,114
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.12,0.780208,0.17,0.15,133.725552,9.5,114
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.2,0.769331,0.26,0.24,135.445438,16.74,121
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.19,0.769318,0.25,0.24,134.50805,16.76,121
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.2,0.769267,0.28,0.25,133.966132,16.81,121
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.2,0.769022,0.26,0.24,132.085965,17.06,121
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.025,0.795331,0.055,0.035,126.387302,4.72,121
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.025,0.795271,0.065,0.035,126.990506,4.735,114
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.025,0.79557,0.055,0.035,128.553055,4.66,121
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.025,0.795191,0.06,0.035,127.578616,4.75,121
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.03,0.795749,0.055,0.04,129.62987,4.615,114
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.03,0.796105,0.085,0.04,131.463576,4.525,121
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.025,0.795703,0.06,0.04,130.414239,4.625,121
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.03,0.795257,0.06,0.04,125.993671,4.74,114
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.035,0.791154,0.055,0.045,128.178756,5.785,121
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.035,0.791381,0.055,0.045,129.712042,5.725,121
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.03,0.791097,0.055,0.045,128.891473,5.8,121
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.035,0.790997,0.06,0.045,128.282776,5.825,121
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.035,0.790984,0.06,0.055,128.323907,5.83,121
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.04,0.791324,0.06,0.05,130.506527,5.74,114
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.04,0.791054,0.06,0.05,130.451031,5.81,121
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.04,0.790842,0.06,0.055,128.561224,5.865,121
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.06,0.779643,0.095,0.075,131.900929,9.68,121
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.06,0.779963,0.09,0.075,133.382075,9.54,121
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.06,0.77981,0.085,0.075,132.792512,9.605,121
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.06,0.779743,0.095,0.075,131.953344,9.635,121
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.12,0.768757,0.165,0.1525,128.321181,17.24,114
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.12,0.768523,0.16,0.155,128.079555,17.5,121
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.125,0.768748,0.165,0.155,128.948785,17.255,114
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.12,0.768699,0.16,0.155,128.551038,17.305,121
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0.1,0.79658,0.2,0.14,128.766234,4.62,114
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0.1,0.796826,0.14,0.14,130.631579,4.56,121
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0.1,0.796433,0.18,0.14,133.833333,4.64,121
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0.1,0.796679,0.16,0.14,133.701299,4.58,121
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0.1,0.798562,0.16,0.14,138.681159,4.12,114
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0.1,0.79658,0.2,0.16,130.441558,4.62,121
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0.1,0.798329,0.22,0.14,144.714286,4.18,121
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0.1,0.796826,0.22,0.14,132.526316,4.56,121
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.12,0.792436,0.22,0.18,130.744681,5.64,121
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.14,0.792021,0.18,0.18,130.854167,5.74,114
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.14,0.791967,0.18,0.18,129.104167,5.76,121
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.12,0.79249,0.18,0.16,134.297872,5.62,121
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0.16,0.791735,0.22,0.2,127.639175,5.82,114
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0.14,0.792436,0.22,0.2,132.202128,5.64,114
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0.14,0.79291,0.22,0.18,134.902174,5.52,121
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0.14,0.792302,0.2,0.2,131.578947,5.66,121
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0.24,0.780861,0.3,0.28,136.141026,9.36,121
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0.22,0.780167,0.34,0.28,133.881988,9.66,121
aim-50-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0.22,0.780167,0.32,0.28,130.869565,9.66,114
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0.22,0.780504,0.3,0.26,134.855346,9.5,121
aim-50-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0.36,0.768922,0.46,0.44,129.013793,17.38,114
aim-50-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0.34,0.769284,0.48,0.44,133.098592,16.98,121
aim-50-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0.34,0.770237,0.44,0.42,139.238806,16.04,121
aim-50-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0.36,0.769912,0.46,0.44,137.996337,16.36,121
ash331GPIA-3.xml.watchless.minion.gz,1,0.018127,0.236166,0.022659,0.019637,324,12.643505,324
ash331GPIA-4.xml.watchless.minion.gz,1,0.018127,0.236166,0.022659,0.019637,263,12.643505,263
ash608GPIA-3.xml.watchless.minion.gz,1,0.009868,0.232574,0.009868,0.010691,324,12.901316,324
ash608GPIA-4.xml.watchless.minion.gz,1,0.009868,0.232574,0.009868,0.010691,263,12.901316,263
ash958GPIA-3.xml.watchless.minion.gz,1,0.006785,0.230512,0.007829,0.006785,324,13.05428,324
ash958GPIA-4.xml.watchless.minion.gz,1,0.006785,0.230512,0.007829,0.006785,263,13.05428,263
bf-0432-007_ext.xml.minion.converted.minion.gz,1,0.006186,0.839212,0.01134,0.006186,266.301081,4.782474,237
bf-1355-075_ext.xml.minion.converted.minion.gz,1,0.0044,0.816032,0.006051,0.00165,182.930698,3.026403,121
bf-1355-638_ext.xml.minion.converted.minion.gz,1,0.007519,0.773016,0.009398,0.003759,219.436578,1.503759,253
bf-2670-001_ext.xml.minion.converted.minion.gz,1,0.003215,0.861272,0.006431,0.001608,353.213442,2.471865,136
BlackHole-4-13-e-0_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808,75.241878,40.543269,28
BlackHole-4-13-e-1_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808,75.241878,40.543269,28
BlackHole-4-13-e-2_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808,75.241878,40.543269,28
BlackHole-4-13-e-3_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808,75.241878,40.543269,28
BlackHole-4-13-m-0_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808,75.241878,40.543269,28
BlackHole-4-13-m-1_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808,75.241878,40.543269,28
BlackHole-4-13-m-2_ext.xml.minion.converted.minion.gz,1,0.254808,0.704805,0.490385,0.129808,75.241878,40.543269,28
BlackHole-4-4-e-0_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-0_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-1_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-1_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-2_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-2_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-3_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-3_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-4_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-4_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-5_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-5_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-6_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-6_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-7_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-7_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-8_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-8_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-9_ext.xml.minion.converted.minion.gz,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-4-e-9_ext.xml.minion.conv.minion,1,0.265625,0.765547,0.46875,0.140625,177.902552,13.453125,69
BlackHole-4-7-e-0_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-e-1_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-e-2_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-e-3_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-e-4_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-e-5_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-e-6_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-e-7_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-e-8_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-e-9_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-h-0_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-h-1_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-h-2_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-h-3_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-h-4_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-h-5_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-h-6_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-h-7_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-h-8_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
BlackHole-4-7-h-9_ext.xml.minion.converted.minion.gz,1,0.258929,0.731359,0.482143,0.133929,106.211737,22.508929,39
bqwh-15-106-0_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-10_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-11_ext.xml.minion.converted.minion.gz,1,0.084906,0.813791,0.113208,0.113208,71.660813,15.924528,30
bqwh-15-106-11_glb.xml.minion.conv.minion,1,0.113208,0.468439,0.113208,0.113208,160.278656,6.490566,88
bqwh-15-106-13_ext.xml.minion.converted.minion.gz,1,0.075472,0.816022,0.113208,0.103774,68.234416,16.169811,24
bqwh-15-106-13_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-14_glb.xml.minion.conv.minion,1,0.103774,0.44468,0.122642,0.113208,147.649635,6.886792,78
bqwh-15-106-15_ext.xml.minion.converted.minion.gz,1,0.075472,0.81385,0.113208,0.113208,62.3593,17.433962,21
bqwh-15-106-15_glb.xml.minion.conv.minion,1,0.113208,0.376238,0.113208,0.113208,128.534384,8.301887,75
bqwh-15-106-17_ext.xml.minion.converted.minion.gz,1,0.075472,0.813643,0.122642,0.113208,61.327817,17.575472,22
bqwh-15-106-18_glb.xml.minion.conv.minion,1,0.113208,0.419818,0.113208,0.113208,142.58794,7.349057,80
bqwh-15-106-19_ext.xml.minion.converted.minion.gz,1,0.075472,0.812998,0.103774,0.103774,60.783931,17.575472,20
bqwh-15-106-19_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-1_ext.xml.minion.converted.minion.gz,1,0.075472,0.812797,0.113208,0.103774,61.340392,17.471698,20
bqwh-15-106-1_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-20_glb.xml.minion.conv.minion,1,0.113208,0.385393,0.113208,0.113208,132.758519,8.084906,78
bqwh-15-106-21_ext.xml.minion.converted.minion.gz,1,0.075472,0.815304,0.103774,0.103774,65.333904,16.330189,22
