@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE bflb NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC
@ATTRIBUTE top-good-min NUMERIC
@ATTRIBUTE top-good-stdev NUMERIC
@ATTRIBUTE top-good-max NUMERIC
@ATTRIBUTE top-good-mean NUMERIC

@DATA
BF19_cpmp_20_5_60_24_36_8,1,2.4,0.6,20,0.75,0,0.36,39,5,4,0.848528,0.25,0,4,4.9189,21,11.2667
BF19_cpmp_20_5_60_24_36_9,1,2.4,0.6,20,0.65,0,0.36,38,5,5,0.894427,0.25,0.05,3,4.12956,16,8.84615
BF2_cpmp_16_5_48_10_36_1,1,4.36364,0.6,16,625,0,0.45,36,5,7,1.66639,0.3125,0.3125,2,2.6,10,4.8
BF2_cpmp_16_5_48_10_36_11,1,4.36364,0.6,16,625,0,0.45,36,5,6,1.49379,0.3125,0.25,2,2.2,8,4.6
BF2_cpmp_16_5_48_10_36_12,1,4.36364,0.6,16,625,0,0.45,36,5,9,2.1436,0.3125,0.25,2,2.44949,9,5
BF2_cpmp_16_5_48_10_36_13,1,4.36364,0.6,16,0.6875,0,0.45,36,5,7,1.87193,0.3125,0.3125,2,2.4663,10,5.90909
BF2_cpmp_16_5_48_10_36_14,1,4.36364,0.6,16,625,0,0.45,36,5,7,1.82272,0.3125,0.3125,2,2.02237,8,4.9
BF2_cpmp_16_5_48_10_36_15,1,4.36364,0.6,16,625,0,0.45,36,5,7,1.66639,0.3125,0.3125,2,2.79285,10,5
BF2_cpmp_16_5_48_10_36_17,1,4.36364,0.6,16,0.6875,0,0.45,36,5,5,1.43164,0.3125,0.3125,2,2.38799,10,5.45455
BF2_cpmp_16_5_48_10_36_18,1,4.36364,0.6,16,625,0,0.45,36,5,6,1.55346,0.3125,0.3125,2,2.90517,10,5.4
BF2_cpmp_16_5_48_10_36_19,1,4.36364,0.6,16,625,0,0.45,36,5,6,1.61091,0.3125,0.3125,2,2.40832,8,5
BF2_cpmp_16_5_48_10_36_2,1,4.36364,0.6,16,0.6875,0,0.45,36,5,7,1.72008,0.3125,0.25,2,2.35312,9,5.90909
BF2_cpmp_16_5_48_10_36_20,1,4.36364,0.6,16,625,0,0.45,36,5,7,1.87193,0.3125,0.25,2,2.40832,10,5
BF2_cpmp_16_5_48_10_36_3,1,4.36364,0.6,16,625,0,0.45,36,5,6,1.55346,0.3125,0.3125,2,1.74642,7,4.5
BF2_cpmp_16_5_48_10_36_4,1,4.36364,0.6,16,625,0,0.45,36,5,7,1.77214,0.3125,0.3125,2,2.4,9,5.8
BF2_cpmp_16_5_48_10_36_5,1,4.36364,0.6,16,625,0,0.45,36,5,6,1.55346,0.3125,0.3125,2,2.37487,10,5.4
BF2_cpmp_16_5_48_10_36_6,1,4.36364,0.6,16,625,0,0.45,36,5,6,1.55346,0.3125,0.3125,2,2.2891,9,4.6
BF2_cpmp_16_5_48_10_36_7,1,4.36364,0.6,16,625,0,0.45,36,5,8,1.82272,0.3125,375,2,2.34307,9,4.9
BF2_cpmp_16_5_48_10_36_8,1,4.36364,0.6,16,625,0,0.45,36,5,6,1.55346,0.3125,0.3125,2,1.93907,8,5.2
BF2_cpmp_16_5_48_10_36_9,1,4.36364,0.6,16,625,0,0.45,36,5,7,1.77214,0.3125,0.3125,2,2.3,8,5.1
BF20_cpmp_20_5_60_24_45_1,1,2.4,0.6,20,0.6,0,0.45,45,5,5,0.938083,0.25,0.3,2,7.31817,23,10.6667
BF20_cpmp_20_5_60_24_45_10,1,2.4,0.6,20,0.6,0,0.45,45,5,4,0.848528,0.25,0.4,3,5.86124,22,11.75
BF20_cpmp_20_5_60_24_45_11,1,2.4,0.6,20,0.65,0,0.45,45,5,7,1.49666,0.25,0.35,2,5.28591,22,7.53846
BF20_cpmp_20_5_60_24_45_12,1,2.4,0.6,20,0.65,0,0.45,45,5,5,1.09545,0.25,0.3,3,6.02559,24,11
BF20_cpmp_20_5_60_24_45_13,1,2.4,0.6,20,0.65,0,0.45,45,5,5,1.2,0.25,0.3,3,5.87845,21,11.5385
BF20_cpmp_20_5_60_24_45_14,1,2.4,0.6,20,0.6,0,0.45,45,5,4,0.979796,0.25,0.35,3,5.66912,20,10.8333
BF20_cpmp_20_5_60_24_45_15,1,2.4,0.6,20,0.6,0,0.45,45,5,4,0.8,0.25,0.3,2,5.57275,21,9.66667
BF20_cpmp_20_5_60_24_45_17,1,2.4,0.6,20,0.65,0,0.45,45,5,5,0.979796,0.25,0.25,6,4.76178,23,13.6923
BF20_cpmp_20_5_60_24_45_2,1,2.4,0.6,20,0.6,0,0.45,45,5,4,0.894427,0.25,0.4,4,5.64887,22,12.0833
BF20_cpmp_20_5_60_24_45_20,1,2.4,0.6,20,0.6,0,0.45,45,5,5,0.894427,0.25,0.25,3,5.34569,21,12.5833
BF20_cpmp_20_5_60_24_45_3,1,2.4,0.6,20,0.65,0,0.45,45,5,5,1.09545,0.25,0.3,2,5.83805,22,10.6154
BF20_cpmp_20_5_60_24_45_5,1,2.4,0.6,20,0.6,0,0.45,45,5,4,0.894427,0.25,0.3,7,4.17,21,12.6667
BF20_cpmp_20_5_60_24_45_6,1,2.4,0.6,20,0.6,0,0.45,45,5,4,1.0198,0.25,0.3,4,3937,17,10
BF20_cpmp_20_5_60_24_45_7,1,2.4,0.6,20,0.6,0,0.45,45,5,5,1.0198,0.25,0.3,2,5.63225,22,9.33333
BF20_cpmp_20_5_60_24_45_8,1,2.4,0.6,20,0.6,0,0.45,45,5,5,1.0198,0.25,0.35,3,5.1228,19,9.41667
BF20_cpmp_20_5_60_24_45_9,1,2.4,0.6,20,0.6,0,0.45,45,5,5,1.0583,0.25,0.3,2,5.95586,23,13.1667
BF21_cpmp_20_5_80_16_48_11,1,4.70588,0.8,20,0.8,0,0.48,51,5,6,1.22545,0.25,0,2,3.72282,15,7375
BF21_cpmp_20_5_80_16_48_14,1,4.70588,0.8,20,0.9,0,0.48,52,5,6,1.36186,0.25,0,2,2.71314,13,5.83333
BF21_cpmp_20_5_80_16_48_16,1,4.70588,0.8,20,0.85,0,0.48,50,5,7,1.4858,0.25,0,2,3.40364,14,7.94118
BF21_cpmp_20_5_80_16_48_18,1,4.70588,0.8,20,0.8,0,0.48,50,5,9,1.63652,0.25,0,2,4.40835,15,7.9375
BF21_cpmp_20_5_80_16_48_19,1,4.70588,0.8,20,1,0,0.48,54,5,7,1.52488,0.25,0,2,3.89358,16,6.2
BF21_cpmp_20_5_80_16_48_2,1,4.70588,0.8,20,0.8,0,0.48,52,5,6,1.44567,0.25,0,2,3.28764,13,5.9375
BF21_cpmp_20_5_80_16_48_3,1,4.70588,0.8,20,0.75,0,0.48,49,5,9,1.80733,0.25,0,2,3.0037,11,5.66667
BF21_cpmp_20_5_80_16_48_4,1,4.70588,0.8,20,0.85,0,0.48,50,5,6,1.40439,0.25,0,2,3.48998,14,6.76471
BF21_cpmp_20_5_80_16_48_5,1,4.70588,0.8,20,0.85,0,0.48,50,5,6,1.36186,0.25,0,2,4.10502,16,6.82353
BF21_cpmp_20_5_80_16_48_7,1,4.70588,0.8,20,0.75,0,0.48,51,5,6,1.31796,0.25,0,2,2.9409,13,4.86667
BF21_cpmp_20_5_80_16_48_8,1,4.70588,0.8,20,0.75,0,0.48,51,5,7,1.52488,0.25,0,2,3.61847,12,6.8
BF21_cpmp_20_5_80_16_48_9,1,4.70588,0.8,20,0.75,0,0.48,50,5,7,1.52488,0.25,0,2,2.93182,12,6.06667
BF22_cpmp_20_5_80_16_60_11,1,4.70588,0.8,20,0.8,0,0.6,60,5,6,1.36186,0.25,0.1,2,4.08503,16,8.75
BF22_cpmp_20_5_80_16_60_16,1,4.70588,0.8,20,0.85,0,0.6,61,5,7,1.67208,0.25,0.15,2,3.85732,16,8.05882
BF22_cpmp_20_5_80_16_60_4,1,4.70588,0.8,20,0.9,0,0.6,62,5,8,1.7069,0.25,0.05,3,3.13089,15,8.44444
BF22_cpmp_20_5_80_16_60_6,1,4.70588,0.8,20,0.8,0,0.6,61,5,8,1.52488,0.25,0.15,2,3.23071,12,7.25
BF22_cpmp_20_5_80_16_60_7,1,4.70588,0.8,20,0.8,0,0.6,62,5,7,1.77448,0.25,0.2,2,2.97647,11,6375
BF22_cpmp_20_5_80_16_60_9,1,4.70588,0.8,20,0.85,0,0.6,62,5,7,1.52488,0.25,0.15,2,3.32132,12,6.70588
BF23_cpmp_20_5_80_32_48_10,1,2.42424,0.8,20,0.9,0,0.48,52,5,5,1.07394,0.25,0,2,5.04425,17,8.66667
BF23_cpmp_20_5_80_32_48_11,1,2.42424,0.8,20,0.85,0,0.48,51,5,4,0.985664,0.25,0,2,6.27292,25,10.0588
BF23_cpmp_20_5_80_32_48_12,1,2.42424,0.8,20,0.9,0,0.48,49,5,6,1.20681,0.25,0,2,7.32997,28,10.7778
BF23_cpmp_20_5_80_32_48_15,1,2.42424,0.8,20,0.8,0,0.48,51,5,5,0.922129,0.25,0,2,7.48932,30,14.3125
BF23_cpmp_20_5_80_32_48_16,1,2.42424,0.8,20,0.9,0,0.48,51,5,7,1.39328,0.25,0,2,7.68757,28,11.8889
BF23_cpmp_20_5_80_32_48_18,1,2.42424,0.8,20,0.65,0,0.48,51,5,5,1.25602,0.25,0,2,8.21314,24,15.0769
BF23_cpmp_20_5_80_32_48_3,1,2.42424,0.8,20,0.85,0,0.48,51,5,4,0.888659,0.25,0,3,6.51907,27,11.1765
BF23_cpmp_20_5_80_32_48_4,1,2.42424,0.8,20,0.75,0,0.48,50,5,5,0.922129,0.25,0,2,7.28164,25,12.3333
BF23_cpmp_20_5_80_32_48_6,1,2.42424,0.8,20,0.85,0,0.48,50,5,6,1.41486,0.25,0.05,5,5.38998,23,14.3529
BF23_cpmp_20_5_80_32_48_7,1,2.42424,0.8,20,0.75,0,0.48,51,5,5,1.04534,0.25,0,2,7.11493,25,13.6667
BF24_cpmp_20_5_80_32_60_13,1,2.42424,0.8,20,0.85,0,0.6,64,5,4,0.853879,0.25,0,2,8.13298,26,11.8235
BF24_cpmp_20_5_80_32_60_17,1,2.42424,0.8,20,0.8,0,0.6,60,5,4,0.779678,0.25,0.15,4,7.43198,30,15125
BF24_cpmp_20_5_80_32_60_2,1,2.42424,0.8,20,0.8,0,0.6,61,5,5,0.888659,0.25,0.1,2,7.40671,32,14625
BF24_cpmp_20_5_80_32_60_8,1,2.42424,0.8,20,0.8,0,0.6,60,5,5,1.1018,0.25,0.2,2,7.61475,27,13375
BF25_cpmp_20_8_96_20_58_20,1,4.57143,0.6,20,0.8,0,0.3625,62,8,9,1.56057,0.4,0,2,3.70599,13,6875
BF26_cpmp_20_8_96_20_72_5,1,4.57143,0.6,20,0.6,0,0.45,72,8,8,1.62045,0.4,0.2,2,4.99096,17,9.91667
BF27_cpmp_20_8_96_39_58_12,1,2.4,0.6,20,0.8,0,0.3625,59,8,4,0.830662,0.4,0,3,7.70146,27,15.25
BF27_cpmp_20_8_96_39_58_6,1,2.4,0.6,20,0.8,0,0.3625,60,8,4,0.860233,0.4,0,2,10.1794,34,14.5625
BF27_cpmp_20_8_96_39_58_9,1,2.4,0.6,20,0.9,0,0.3625,61,8,5,0.943398,0.4,0,2,8.2964,30,15.0556
BF28_cpmp_20_8_96_39_72_19,1,2.4,0.6,20,0.7,0,0.45,72,8,6,1.09087,0.4,0.05,2,9.88634,32,16.7857
BF3_cpmp_16_5_48_20_29_1,1,2.28571,0.6,16,0.6875,0,0.3625,29,5,6,1.45219,0.3125,0.1875,3,3.82251,15,8.45455
BF3_cpmp_16_5_48_20_29_11,1,2.28571,0.6,16,0.5625,0,0.3625,29,5,3,0.764875,0.3125,125,2,4.91659,18,8.22222
BF3_cpmp_16_5_48_20_29_13,1,2.28571,0.6,16,625,0,0.3625,29,5,4,0.933139,0.3125,125,2,3.98121,14,8.5
BF3_cpmp_16_5_48_20_29_14,1,2.28571,0.6,16,0.75,0,0.3625,30,5,5,1.16058,0.3125,0.0625,3,3.85861,17,7.33333
BF3_cpmp_16_5_48_20_29_16,1,2.28571,0.6,16,0.5625,0,0.3625,29,5,5,1.07539,0.3125,0.0625,2,5.25874,19,10.1111
BF3_cpmp_16_5_48_20_29_19,1,2.28571,0.6,16,625,0,0.3625,30,5,6,1.20091,0.3125,0,3,2.69072,12,6.6
BF3_cpmp_16_5_48_20_29_20,1,2.28571,0.6,16,625,0,0.3625,29,5,5,0.982846,0.3125,0.1875,2,4.98096,19,7.3
BF3_cpmp_16_5_48_20_29_3,1,2.28571,0.6,16,0.5625,0,0.3625,29,5,5,0.982846,0.3125,0.0625,2,3.49956,12,6.44444
BF3_cpmp_16_5_48_20_29_5,1,2.28571,0.6,16,0.6875,0,0.3625,29,5,4,0.824786,0.3125,0.1875,3,5.16024,19,8.09091
BF3_cpmp_16_5_48_20_29_6,1,2.28571,0.6,16,625,0,0.3625,29,5,4,0.933139,0.3125,125,3,5.08331,18,9.6
BF3_cpmp_16_5_48_20_29_8,1,2.28571,0.6,16,0.75,0,0.3625,29,5,4,0.824786,0.3125,0.1875,2,4.78641,18,9.08333
BF3_cpmp_16_5_48_20_29_9,1,2.28571,0.6,16,625,0,0.3625,29,5,4,0.880631,0.3125,0.0625,2,2.94109,10,5.5
BF4_cpmp_16_5_48_20_36_1,1,2.28571,0.6,16,625,0,0.45,36,5,4,0.764875,0.3125,375,3,3.7,14,8.1
BF4_cpmp_16_5_48_20_36_10,1,2.28571,0.6,16,625,0,0.45,36,5,5,0.933139,0.3125,375,4,4.51664,19,10
BF4_cpmp_16_5_48_20_36_11,1,2.28571,0.6,16,625,0,0.45,36,5,5,0.933139,0.3125,375,2,2.93258,13,7
BF4_cpmp_16_5_48_20_36_13,1,2.28571,0.6,16,625,0,0.45,36,5,7,1.35023,0.3125,0.3125,3,5.38609,19,9.3
BF4_cpmp_16_5_48_20_36_14,1,2.28571,0.6,16,625,0,0.45,36,5,5,1.11879,0.3125,375,3,5.04381,19,13.4
BF4_cpmp_16_5_48_20_36_15,1,2.28571,0.6,16,625,0,0.45,36,5,6,1.20091,0.3125,0.3125,2,5.9,19,9.3
BF4_cpmp_16_5_48_20_36_16,1,2.28571,0.6,16,625,0,0.45,36,5,4,0.880631,0.3125,375,3,5.0636,19,12.4
BF4_cpmp_16_5_48_20_36_17,1,2.28571,0.6,16,625,0,0.45,36,5,4,0.982846,0.3125,0.3125,3,4.38292,19,9.7
BF4_cpmp_16_5_48_20_36_18,1,2.28571,0.6,16,625,0,0.45,36,5,5,0.933139,0.3125,0.3125,2,4.65725,19,7.1
BF4_cpmp_16_5_48_20_36_19,1,2.28571,0.6,16,0.5625,0,0.45,36,5,4,1.11879,0.3125,0.25,4,4.02155,18,9.77778
BF4_cpmp_16_5_48_20_36_2,1,2.28571,0.6,16,0.5625,0,0.45,36,5,4,0.933139,0.3125,0.3125,4,4.78681,20,10.4444
BF4_cpmp_16_5_48_20_36_20,1,2.28571,0.6,16,0.6875,0,0.45,36,5,6,1.27775,0.3125,0.25,2,5.26174,18,10.3636
BF4_cpmp_16_5_48_20_36_3,1,2.28571,0.6,16,0.6875,0,0.45,36,5,4,0.933139,0.3125,0.3125,2,5.40125,20,10.0909
BF4_cpmp_16_5_48_20_36_5,1,2.28571,0.6,16,625,0,0.45,36,5,8,1.54744,0.3125,0.3125,2,3.87814,14,6.4
