@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC

@DATA
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,0.666667,1.5
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,0.210721,4.745614
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.834492,1.198333
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,0.145023,6.895448
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,0.151677,6.592965
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,0.103759,9.637681
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.75188,1.33
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.83682,1.195
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,0.50641,1.974684
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,0.095217,10.502304
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.753769,1.326667
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,0.06983,14.320423
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.55607,1.798333
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.852273,1.173333
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,0.454545,2.2
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,0.666667,1.5
normalized-43s-smv.xml.mzn_AND_NODATA,1,0.508486,1.966621
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.379267,2.636667
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,0.060146,16.626108
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,0.666667,1.5
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,0.114926,8.701235
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,0.666667,1.5
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,0.666667,1.5
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.75188,1.33
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.55607,1.798333
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,0.666667,1.5
normalized-army8-9ls.xml.mzn_AND_NODATA,1,0.662651,1.509091
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.75,1.333333
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,0.095217,10.502304
normalized-army13-24bt.xml.mzn_AND_NODATA,1,0.451613,2.214286
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.840336,1.19
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,0.454545,2.2
normalized-anna-10.xml.mzn_AND_NODATA,1,0.279919,3.572464
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.752823,1.328333
normalized-army12-21bt.xml.mzn_AND_NODATA,1,0.454352,2.200935
normalized-army10-14ls.xml.mzn_AND_NODATA,1,0.663866,1.506329
normalized-army12-21ls.xml.mzn_AND_NODATA,1,0.664596,1.504673
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,0.288809,3.4625
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,0.287356,3.48
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0.557103,1.795
normalized-army10-14bt.xml.mzn_AND_NODATA,1,0.460641,2.170886
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,0.130783,7.646226
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,0.287977,3.4725
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.377596,2.648333
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,0.454545,2.2
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.75,1.333333
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,0.455063,2.1975
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.75,1.333333
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,0.454545,2.2
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-anna-9.xml.mzn_AND_NODATA,1,0.279919,3.572464
normalized-army9-12ls.xml.mzn_AND_NODATA,1,0.663342,1.507519
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,0.286533,3.49
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,1.278928,0.781905
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,1.284404,0.778571
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,0.155023,6.450658
normalized-army9-12bt.xml.mzn_AND_NODATA,1,0.464223,2.154135
normalized-22s-smv.xml.mzn_AND_NODATA,1,0.453822,2.203509
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,0.666667,1.5
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.75,1.333333
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1.235294,0.809524
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,0.454545,2.2
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,0.095217,10.502304
normalized-army13-24ls.xml.mzn_AND_NODATA,1,0.664858,1.504082
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1.270802,0.786905
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.750939,1.331667
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,1.288344,0.77619
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.379027,2.638333
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.75,1.333333
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,1.22807,0.814286
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,1.176471,0.85
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,1.247525,0.801587
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1.205742,0.829365
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1.050193,0.952206
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,1.295497,0.771905
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,0.153206,6.52714
normalized-army11-17bt.xml.mzn_AND_NODATA,1,0.457355,2.186486
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,0.671164,1.48995
normalized-anna-8.xml.mzn_AND_NODATA,1,0.279919,3.572464
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,1.10303,0.906593
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,1.252033,0.798701
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,1.217391,0.821429
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,0.454545,2.2
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,1.188679,0.84127
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,1.186161,0.843056
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,1.291314,0.774405
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,0.029181,34.268465
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,1.118644,0.893939
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,0.060146,16.626108
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,1.179976,0.847475
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,1.149826,0.869697
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,1.214458,0.823413
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,0.029181,34.268465
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,1.293634,0.773016
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,1.073684,0.931373
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,1.25641,0.795918
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,0.80303,1.245283
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,0.515362,1.940385
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,1.074169,0.930952
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,1.25,0.8
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,0.289813,3.450505
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,1.10567,0.904429
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,1.104294,0.905556
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,0.625807,1.597936
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,0.819767,1.219858
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326
normalized-bibd-8-70-35-4-15_glb.xml.mzn_AND_NODATA,1,1.219748,0.819841
normalized-aim-50-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-BlackHole-4-4-e-9_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326
normalized-bibd-10-60-18-3-4_glb.xml.mzn_AND_NODATA,1,1.172291,0.85303
normalized-bqwh-18-141-23_glb.xml.mzn_AND_NODATA,1,0.810345,1.234043
normalized-bqwh-18-141-21_ext.xml.mzn_AND_NODATA,1,0.285714,3.5
normalized-bqwh-18-141-14_ext.xml.mzn_AND_NODATA,1,0.284549,3.514329
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,0.265344,3.768688
normalized-bibd-9-108-36-3-9_glb.xml.mzn_AND_NODATA,1,1.202673,0.831481
normalized-aim-200-3-4-sat-2_ext.xml.mzn_AND_NODATA,1,0.55607,1.798333
normalized-bqwh-18-141-27_ext.xml.mzn_AND_NODATA,1,0.292016,3.424471
normalized-bqwh-18-141-29_ext.xml.mzn_AND_NODATA,1,0.277349,3.605572
normalized-BlackHole-4-4-e-3_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326
normalized-bqwh-18-141-14_glb.xml.mzn_AND_NODATA,1,0.810345,1.234043
normalized-4-fullins-5-8.xml.mzn_AND_NODATA,1,0.053632,18.645683
normalized-bqwh-18-141-23_ext.xml.mzn_AND_NODATA,1,0.2692,3.714706
normalized-bqwh-18-141-19_glb.xml.mzn_AND_NODATA,1,0.83432,1.198582
normalized-bibd-9-72-24-3-6_glb.xml.mzn_AND_NODATA,1,1.196013,0.836111
normalized-bqwh-18-141-2_ext.xml.mzn_AND_NODATA,1,0.275456,3.630339
normalized-bibd-12-44-11-3-2_glb.xml.mzn_AND_NODATA,1,1.134171,0.881702
normalized-4-fullins-5-5.xml.mzn_AND_NODATA,1,0.053632,18.645683
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,1.244444,0.803571
normalized-bqwh-18-141-22_glb.xml.mzn_AND_NODATA,1,0.801136,1.248227
normalized-BlackHole-4-4-e-6_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326
normalized-bqwh-18-141-17_ext.xml.mzn_AND_NODATA,1,0.297003,3.366972
normalized-bibd-7-49-21-3-7_glb.xml.mzn_AND_NODATA,1,1.240506,0.806122
normalized-bibd-14-26-13-7-6_glb.xml.mzn_AND_NODATA,1,1.093312,0.914652
normalized-bqwh-18-141-57_ext.xml.mzn_AND_NODATA,1,0.298988,3.344615
normalized-bqwh-18-141-52_ext.xml.mzn_AND_NODATA,1,0.280922,3.559701
normalized-bqwh-18-141-32_ext.xml.mzn_AND_NODATA,1,0.278723,3.587798
normalized-bibd-7-210-60-2-10_glb.xml.mzn_AND_NODATA,1,1.26506,0.790476
normalized-BlackHole-4-4-e-4_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326
normalized-bqwh-18-141-40_glb.xml.mzn_AND_NODATA,1,0.79661,1.255319
normalized-BlackHole-4-4-e-7_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326
normalized-bqwh-18-141-59_ext.xml.mzn_AND_NODATA,1,0.284384,3.516369
normalized-bqwh-18-141-40_ext.xml.mzn_AND_NODATA,1,0.275779,3.626087
normalized-bqwh-18-141-15_ext.xml.mzn_AND_NODATA,1,0.287879,3.473684
normalized-bqwh-18-141-39_ext.xml.mzn_AND_NODATA,1,0.285163,3.506767
normalized-bqwh-18-141-5_ext.xml.mzn_AND_NODATA,1,0.279703,3.575221
normalized-bqwh-18-141-46_ext.xml.mzn_AND_NODATA,1,0.276459,3.617176
normalized-bqwh-18-141-41_glb.xml.mzn_AND_NODATA,1,0.815029,1.22695
normalized-bibd-6-30-15-3-6_glb.xml.mzn_AND_NODATA,1,1.257485,0.795238
normalized-bqwh-18-141-10_ext.xml.mzn_AND_NODATA,1,0.283966,3.521545
normalized-bqwh-18-141-71_glb.xml.mzn_AND_NODATA,1,0.819767,1.219858
normalized-bqwh-18-141-29_glb.xml.mzn_AND_NODATA,1,0.815029,1.22695
normalized-bqwh-18-141-73_glb.xml.mzn_AND_NODATA,1,0.810345,1.234043
normalized-bqwh-18-141-19_ext.xml.mzn_AND_NODATA,1,0.277256,3.606775
normalized-bqwh-18-141-36_glb.xml.mzn_AND_NODATA,1,0.819767,1.219858
normalized-bqwh-18-141-7_glb.xml.mzn_AND_NODATA,1,0.810345,1.234043
normalized-bqwh-18-141-6_ext.xml.mzn_AND_NODATA,1,0.286701,3.487952
normalized-bqwh-18-141-79_ext.xml.mzn_AND_NODATA,1,0.301255,3.319444
normalized-bqwh-18-141-72_ext.xml.mzn_AND_NODATA,1,0.296228,3.375776
normalized-bqwh-18-141-49_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135
normalized-bqwh-18-141-7_ext.xml.mzn_AND_NODATA,1,0.285714,3.5
normalized-bibd-8-56-28-4-12_glb.xml.mzn_AND_NODATA,1,1.214458,0.823413
normalized-BlackHole-4-4-e-5_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326
normalized-bqwh-18-141-3_ext.xml.mzn_AND_NODATA,1,0.286142,3.494768
normalized-bqwh-18-141-64_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135
normalized-bibd-11-55-15-3-3_glb.xml.mzn_AND_NODATA,1,1.153846,0.866667
normalized-bqwh-18-141-87_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135
normalized-bqwh-18-141-66_ext.xml.mzn_AND_NODATA,1,0.279418,3.578869
normalized-BlackHole-4-4-e-8_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326
normalized-bqwh-18-141-74_ext.xml.mzn_AND_NODATA,1,0.2507,3.988827
normalized-bqwh-18-141-58_glb.xml.mzn_AND_NODATA,1,0.815029,1.22695
normalized-bqwh-18-141-82_glb.xml.mzn_AND_NODATA,1,0.801136,1.248227
normalized-bqwh-18-141-61_ext.xml.mzn_AND_NODATA,1,0.278005,3.597059
normalized-bqwh-18-141-3_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135
normalized-bqwh-18-141-55_ext.xml.mzn_AND_NODATA,1,0.292563,3.41807
normalized-bqwh-15-106-14_ext.xml.mzn_AND_NODATA,1,0.256836,3.893536
normalized-bqwh-18-141-41_ext.xml.mzn_AND_NODATA,1,0.293697,3.404871
normalized-bqwh-18-141-9_glb.xml.mzn_AND_NODATA,1,0.815029,1.22695
normalized-bqwh-18-141-77_ext.xml.mzn_AND_NODATA,1,0.270588,3.695652
normalized-bqwh-18-141-90_ext.xml.mzn_AND_NODATA,1,0.299354,3.340524
normalized-bibd-22-22-7-7-2_glb.xml.mzn_AND_NODATA,1,1.039014,0.962451
normalized-bqwh-18-141-42_ext.xml.mzn_AND_NODATA,1,0.28832,3.468373
normalized-C1-1-20.xml.mzn_AND_NODATA,1,0.853448,1.171717
normalized-C1-2-20.xml.mzn_AND_NODATA,1,0.850384,1.17594
normalized-bqwh-18-141-20_glb.xml.mzn_AND_NODATA,1,0.79661,1.255319
normalized-bqwh-18-141-83_ext.xml.mzn_AND_NODATA,1,0.296989,3.367127
normalized-bqwh-18-141-90_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135
normalized-bqwh-18-141-47_ext.xml.mzn_AND_NODATA,1,0.281513,3.552239
normalized-bqwh-18-141-71_ext.xml.mzn_AND_NODATA,1,0.284139,3.519403
normalized-4-fullins-5-6.xml.mzn_AND_NODATA,1,0.053632,18.645683
normalized-block.xml.mzn_AND_NODATA,1,0.752959,1.328093
normalized-bibd-8-98-49-4-21_glb.xml.mzn_AND_NODATA,1,1.225851,0.81576
normalized-bqwh-18-141-98_ext.xml.mzn_AND_NODATA,1,0.290917,3.437406
normalized-bqwh-18-141-69_ext.xml.mzn_AND_NODATA,1,0.304924,3.279503
normalized-bqwh-18-141-97_glb.xml.mzn_AND_NODATA,1,0.815029,1.22695
normalized-bqwh-18-141-20_ext.xml.mzn_AND_NODATA,1,0.261013,3.831224
normalized-bqwh-18-141-62_ext.xml.mzn_AND_NODATA,1,0.27757,3.602699
normalized-bqwh-18-141-49_ext.xml.mzn_AND_NODATA,1,0.273585,3.655172
normalized-bqwh-18-141-25_ext.xml.mzn_AND_NODATA,1,0.289956,3.448795
normalized-bqwh-18-141-89_ext.xml.mzn_AND_NODATA,1,0.269414,3.711765
normalized-bqwh-18-141-64_ext.xml.mzn_AND_NODATA,1,0.277438,3.604412
normalized-bibd-7-91-39-3-13_glb.xml.mzn_AND_NODATA,1,1.255172,0.796703
normalized-bqwh-18-141-88_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135
normalized-bqwh-18-141-82_ext.xml.mzn_AND_NODATA,1,0.291776,3.427286
normalized-bqwh-18-141-84_glb.xml.mzn_AND_NODATA,1,0.801136,1.248227
normalized-bqwh-18-141-59_glb.xml.mzn_AND_NODATA,1,0.83432,1.198582
normalized-bqwh-18-141-94_glb.xml.mzn_AND_NODATA,1,0.819767,1.219858
normalized-bqwh-18-141-46_glb.xml.mzn_AND_NODATA,1,0.810345,1.234043
normalized-bqwh-18-141-94_ext.xml.mzn_AND_NODATA,1,0.266055,3.758621
normalized-abb313GPIA-7.xml.mzn_AND_NODATA,1,0.029181,34.268465
normalized-bqwh-18-141-43_ext.xml.mzn_AND_NODATA,1,0.2671,3.74392
normalized-C2-2-15.xml.mzn_AND_NODATA,1,0.834545,1.198257
normalized-bqwh-18-141-39_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135
normalized-C3-1-30.xml.mzn_AND_NODATA,1,0.830904,1.203509
normalized-bibd-9-84-28-3-7_glb.xml.mzn_AND_NODATA,1,1.198858,0.834127
normalized-C1-2-21.xml.mzn_AND_NODATA,1,0.850384,1.17594
normalized-bqwh-18-141-47_glb.xml.mzn_AND_NODATA,1,0.805714,1.241135
normalized-bqwh-18-141-32_glb.xml.mzn_AND_NODATA,1,0.824561,1.212766
normalized-BlackHole-4-4-e-0_ext.xml.mzn_AND_NODATA,1,0.060579,16.507326
normalized-chnl10-11-pb-cnf-cr.xml.mzn_AND_NODATA,1,5.238095,0.190909
normalized-chnl10-15-pb-cnf-cr.xml.mzn_AND_NODATA,1,6,0.166667
normalized-bibd-12-88-22-3-4_glb.xml.mzn_AND_NODATA,1,1.148979,0.870338
normalized-bqwh-18-141-60_ext.xml.mzn_AND_NODATA,1,0.27972,3.575
normalized-bqwh-18-141-88_ext.xml.mzn_AND_NODATA,1,0.271495,3.68331
normalized-C2-2-16.xml.mzn_AND_NODATA,1,0.834545,1.198257
normalized-bqwh-18-141-61_glb.xml.mzn_AND_NODATA,1,0.801136,1.248227
normalized-chnl-15-16.xml.mzn_AND_NODATA,1,7.741935,0.129167
normalized-chnl15-25-pb-cnf-cr.xml.mzn_AND_NODATA,1,9.375,0.106667
normalized-bibd-9-96-32-3-8_glb.xml.mzn_AND_NODATA,1,1.201001,0.832639
normalized-C2-1-15.xml.mzn_AND_NODATA,1,0.834545,1.198257
normalized-C2-1-16.xml.mzn_AND_NODATA,1,0.834545,1.198257
normalized-blast-floppy1-8.xml.mzn_AND_NODATA,1,0.920611,1.086235
normalized-C4-2-60.xml.mzn_AND_NODATA,1,0.817784,1.222816
normalized-bqwh-18-141-43_glb.xml.mzn_AND_NODATA,1,0.810345,1.234043
normalized-abb313GPIA-5.xml.mzn_AND_NODATA,1,0.029181,34.268465
normalized-chnl15-16-pb-cnf-cr.xml.mzn_AND_NODATA,1,7.741935,0.129167
normalized-C4-1-60.xml.mzn_AND_NODATA,1,0.817784,1.222816
normalized-C3-3-30.xml.mzn_AND_NODATA,1,0.830904,1.203509
normalized-cc-7-7-2.xml.mzn_AND_NODATA,1,0.757576,1.32
normalized-bqwh-18-141-97_ext.xml.mzn_AND_NODATA,1,0.292956,3.413476
normalized-chnl10-20-pb-cnf-cr.xml.mzn_AND_NODATA,1,6.666667,0.15
normalized-bqwh-18-141-73_ext.xml.mzn_AND_NODATA,1,0.275362,3.631579
normalized-chnl-20-25.xml.mzn_AND_NODATA,1,11.111111,0.09
normalized-C4-1-61.xml.mzn_AND_NODATA,1,0.817784,1.222816
normalized-C4-3-61.xml.mzn_AND_NODATA,1,0.817784,1.222816
normalized-cc-7-7-3.xml.mzn_AND_NODATA,1,0.757576,1.32
normalized-C3-3-31.xml.mzn_AND_NODATA,1,0.830904,1.203509
