@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC

@DATA
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,0.3424,0.7888,0.0047,1.1714,1.2997,4.458,0.4094,0.3768,5.0736,0.2548,0.0251,0.934,1.6647,0.0003,1.0607,24.9333,0.9793,0.046,0.0029,0.0137,4150,0,0.3957,0.0007,0.0481,26.4121,0.244,0,0.0238,0.0024,0.0144,24.9333,0.0071,0.4406,0.6154,0.1647,1.6672,0.0147,0.1303,0,0.0474,0.0688,0.0162,0.5345,0.2547,0.0147,0.0166,954,4150,0.3736,0.0288,0.0504,0.8596,0.0138,25.3229,0.8684,2.5823,0.1012,0.0468,4183,844,27.6767,0.0148,0.7017
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,0.4888,0.5767,0,0,0.6854,1.1161,0.4888,1,2.7912,0,0.0281,0.9625,0.543,0.0008,0.0432,21.4828,0.4058,0.3193,0.0107,0.2645,3552,0.3333,0,0.0026,0.325,22.594,0.1538,0,0.3217,0,0.0173,21.4828,0.0169,0.2209,0.3333,0.486,0.2209,0.0193,0,0,0.0197,0.0678,0.0179,0.0901,0.0654,0.3145,0.0169,356,3552,0.2153,0.3236,0.0173,0.7969,0.017,21.7369,0.8305,1.7821,0.3253,0.026,3934,356,27.2694,0.0666,0.0385
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,0.0105,0.8027,0,0.0085,1.1552,9.7488,0.2473,0,10.4022,0.0165,0.1157,0.6443,1.3548,0.0004,0.0024,15.6726,0.6999,0.4943,0.0979,0.4913,1156,0,0,0.0886,0.4951,16.878,?,0.0002,0.4939,0.0004,0.0333,15.6245,0.0027,1.5326,0.1204,0.0027,2.0433,0.0603,0,0,0.0027,0.2072,0.1876,?,?,0.4924,0.0401,55222,1203,0.2135,0.4945,0.0667,0.8501,0.0027,15.7149,0.8622,0.6385,0.496,?,1258,55222,23.3741,0.2024,0
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,0.7538,0,0.0152,0.6323,11.6955,20.6012,1,0.0152,20.037,0.5846,0.4251,0.8664,0,0.425,0.0011,25.8554,11.5795,0,0.4251,0,325,1,0.3333,0.4251,0,29.0299,?,0.425,0,0.0041,0.0028,25.6211,0.0151,0,0.0051,0.0152,0,0.0051,0.0202,0.0051,0.0151,0.4252,0.4252,?,?,0,0.0082,48480,380,0.4254,0,0.0167,0.999,0.0151,26.7907,0.9987,0.0002,0,?,438,47520,34.762,1.1173,0
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,0.7188,1.0013,0.9443,0.3209,2.4735,196.581,0.4905,0.947,138.3,0.4568,0.7946,0.7013,0.9452,0.7097,0.1079,19.3545,2.9634,0.015,0.8099,0.0095,22,0,0,0.7644,0.0162,24.0455,0.0089,0.1221,0.0138,0.0001,0.0004,17.4112,0.0001,2.5469,0.8125,0.1138,2.5781,0.6848,0,0.25,0.0007,0.8663,0.8437,2.0788,0.2232,0.0128,0.0002,43754,56,0.9203,0.015,0.0024,0.9878,0.0004,21.5465,0.9828,0.0932,0.0171,0.0002,85,43754,44.3182,0.3552,0.1927
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,0.231,0.7276,0,0.6882,1.8582,2.9395,0.3737,0.0262,3.62,0.1105,0.0696,0.7689,1.4646,0.0179,0.3152,0,1.4998,0.0049,0.0704,0.0027,0,0,0,0.0355,0.0053,0,0.2793,0.007,0.004,0.0214,0.1,0,0.069,1.4434,0.0625,0.0714,1.6996,0.0235,0,0,0.069,0.1298,0.0943,0.1006,0.0366,0.0033,0.1476,420,0,0.1644,0.0047,0.1667,0.862,0.069,0,0.9092,0.5914,0.0084,0.3232,0,420,0,0,0
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.9523,0.0142,0.9523,0.2043,44.9564,184.575,0.9969,0.9523,1242.18,1.8079,0.8304,0.8974,0.1919,0.7211,12.1838,53.2021,51.7307,0,0.8495,0,53,0.8,0.0345,0.791,0,58.9625,?,0.6041,0,0.0004,0.001,51.9048,0.001,2.6827,0.3231,0.0096,5.3448,0.1682,0.0128,0.0856,0.0033,0.9039,0.8821,?,?,0,0.0008,215164,68,0.9303,0,0.0281,1.0029,0.002,56.25,1.073,0.082,0,?,159,212446,81.5094,0.2694,0.1721
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,0.9829,0.005,0.9829,0.1235,97.7881,5744.47,0.9994,0.9829,1273.77,2.4667,0.9761,0.9574,0.0868,0.9566,1.5082,88.8889,99.2626,0.0214,0.9924,0,14,0.9394,0.0209,0.9785,0.0288,97.0272,?,0.1076,0.0026,0.0003,0.0008,87.8406,0.0048,3.3344,0.6236,0.0048,5.8426,0.3575,0.0049,0.1628,0.0048,0.9999,0.998,?,?,0.0001,0.0005,498568,25,1,0.0106,0.0426,1.1731,0.0048,94.0535,1.0114,0.0701,0.0535,?,32,496124,115.56,0.7786,0
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,0.2613,0.9871,0.0073,0.163,0.2524,822,0.2574,0.0332,373.5,0.0583,0.0192,0.1106,0.8321,0.0001,0.2287,0,0.2318,0.3151,0.0002,0,0,0,1.0256,0.0001,0.3325,0,0.2278,0,0.3316,0,0.0001,0,0.0001,0.4008,0.9024,0.2676,0.5885,0.0173,0.052,0,0.0007,0.1214,0.0069,0.1043,0.0602,0.3284,0,123900,0,0.9357,0.3325,0.0001,0.7394,0.0001,0,0.6826,3.1172,0.3325,0.001,0,117774,0,0,1.1315
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.7532,0,0.013,0.6243,11.9471,45.6368,1,0.013,47.1391,0.5836,0.4081,0.8098,0,0.408,0.0018,26.6054,10.8717,0,0.408,0,337,1,0.3333,0.408,0,28.708,?,0.4077,0,0.0036,0.0024,26.1269,0.013,0,0.0044,0.013,0,0.0044,0.0173,0.0044,0.013,0.4082,0.4081,?,?,0,0.0073,64155,370,0.4085,0,0.0147,1.0165,0.013,27.0061,0.994,0.0003,0,?,401,63063,36.7606,1.1442,0
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.7551,0,0.0203,0.65,7.0723,1.5435,1,0.0203,0.6013,0.5871,0.457,0.9633,0,0.457,0.0004,25.5971,5.9841,0.0002,0.457,0.0002,278,1,0.3333,0.457,0.0002,27.5762,?,0.4568,0.0002,0.0055,0.0037,25.3638,0.0202,0,0.0068,0.0203,0,0.0068,0.027,0.0068,0.0202,0.4571,0.457,?,?,0.0002,0.011,27360,284,0.4571,0.0002,0.0222,0.9933,0.0202,26.493,0.9949,0.0001,0.0002,?,428,26640,38.1584,1.204,0
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,0.7464,1.0111,0.9787,0.1227,38.6444,11.9654,0.4921,0.9787,45.4502,1.8278,0.9087,0.9711,0.8149,0.8796,2.6608,64.6269,37.6613,0,0.9129,0,78,0,0.0345,0.8978,0,87.8974,?,0.8552,0,0.0009,0.0034,64.6269,0.0119,3.0492,0.6349,0.012,4.206,0.458,0.0124,0.2718,0.0119,0.9322,0.9216,?,?,0,0.0028,49070,78,0.9581,0,0.1,1.0003,0.0119,73.157,1.0552,0.0217,0,?,453,48470,99.181,0.7473,0
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.7281,1.0016,0.9511,0.267,20.538,141.434,0.4917,0.9728,18.45,0.5835,0.9235,0.8863,0.897,0.7011,2.805,25.6108,17.2005,0.0112,0.9512,0,1380,0,0.5513,0.9432,0.0119,27.8585,0.0024,0.5791,0.0003,0,0.0011,25.6108,0.0002,2.4732,0.9669,0.0221,2.759,0.7649,0.1154,0.0667,0.0027,0.9926,0.9889,2.9351,0.8347,0,0.0002,88373,1380,0.9971,0.0065,0.0131,0.9931,0.0014,27.4614,0.9991,0.1168,0.0125,0.0005,4681,79229,27.8652,0.3739,0.2918
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,0.1265,0,0,0.3797,11.2954,14.2115,1,0.8735,10.7719,0.8326,0.6217,0.809,0,0.5519,2.0373,34.7772,10.9847,0,0.5767,0,4597,1,0,0.56,0,37.7223,?,0.5364,0,0.0014,0.0161,34.7772,0.0146,2.8836,0.7358,0.019,4.4077,0.2271,0,0.125,0.0188,0.7793,0.6558,?,?,0,0.0108,9795,4597,0.9589,0,0.0753,0.9915,0.0163,35.3844,0.9894,0.1629,0.0001,?,4602,9795,39.3333,0.004,0.0705
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,0.9714,0.0101,0.9714,0.2079,53.1227,346.25,0.9984,0.9714,35.494,1.989,0.8872,0.9483,0.1399,0.857,13.3554,56.4608,53.8444,0,0.8879,0,54,0.8824,0.0327,0.8722,0,66.9394,?,0.8144,0,0.0008,0.0019,56.4608,0.0083,3.2305,0.5246,0.0084,5.1389,0.3272,0.0086,0.1588,0.0083,0.9172,0.9016,?,?,0,0.0013,129272,54,0.9432,0,0.0672,0.9898,0.0083,59.5803,1,0.0254,0,?,66,128166,92.5301,1.4244,0
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,0.8333,0,0.8333,0.4506,2.6539,10.5361,1,0.8333,11.0207,0.9583,0.692,0.8269,0,0.6919,0.0014,41.8992,2.0976,0.0467,0.6919,0.0466,4916,1,0,0.6919,0.0468,48.2732,0.018,0.6918,0.0467,0.0138,0.0165,41.8992,0.1653,0,0.0476,0.1667,0,0.0476,0,0.0476,0.1653,0.6921,0.692,0.8944,0.3404,0.0467,0.0289,726,4916,0.6922,0.0467,0.0909,0.968,0.1653,47.0053,0.9718,0.0001,0.0468,0.0505,4917,726,48.5704,0.0021,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,0.9819,0.0049,0.9819,0.1198,88.9836,25.5625,0.9994,0.9819,160.4,2.5629,0.9762,0.9362,0.0895,0.9515,1.2831,95.5521,78.0606,0.027,0.9884,0,6,0.9412,0.0199,0.9705,0.0409,112.4,?,0.2354,0.0028,0.0003,0.0008,91.0931,0.0051,3.3492,0.5465,0.0051,6.1822,0.3131,0.0053,0.122,0.0051,0.9999,0.9979,?,?,0.0002,0.0004,490309,9,1,0.0159,0.0406,0.9999,0.0051,99.3162,1.0011,0.0496,0.0645,?,25,487748,133.48,0.8904,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,0.0831,0,0.0031,0.3096,23.0011,15.7566,1,0.9169,13.692,1.105,0.7056,0.8066,0,0.6449,2.3313,45.0426,25.1053,0,0.6856,0,4621,1,0,0.657,0,49.7635,?,0.6329,0,0.0008,0.0099,45.0426,0.009,3.3339,0.8349,0.0091,5.0456,0.2552,0,0.1279,0.0091,0.7743,0.7242,?,?,0,0.0098,22241,4621,0.9822,0,0.1034,0.9972,0.0091,45.0426,0.9943,0.1013,0,?,4621,22241,49.7635,0.0108,0.0022
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,0.0782,0,0.0124,0.3469,22.3937,15.4287,1,0.9218,13.9374,1.0967,0.7095,0.8034,0,0.6474,2.3077,36.5443,23.8414,0,0.6884,0,4500,1,0,0.6648,0,37.9927,?,0.6213,0,0.0008,0.01,36.5443,0.0092,3.5664,0.8326,0.0093,4.9825,0.2851,0,0.1272,0.0093,0.7802,0.7265,?,?,0,0.01,21509,4500,0.9774,0,0.1045,0.9967,0.0093,36.5443,0.9941,0.1024,0,?,4500,21509,39.059,0.0178,0.002
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.9299,0.027,0.9299,0.2767,23.9299,24.5809,0.9927,0.9299,42.4065,1.3783,0.7983,0.9048,0.2608,0.7734,4.4534,40.1006,28.2714,0,0.7982,0,406,0.7143,0.0556,0.7848,0,44.7709,?,0.7384,0,0.0014,0.0028,40.1006,0.0026,2.9323,0.36,0.0169,4.9022,0.2071,0.0236,0.0922,0.0087,0.8244,0.811,?,?,0,0.0025,43649,406,0.8585,0,0.0486,0.9994,0.005,41.0017,0.9957,0.0248,0,?,492,42641,65.1125,0.9611,0.2101
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0.0107,0.8114,0,0.0081,1.6871,6.1613,0.2437,0,7.1515,0.016,0.1178,0.6947,1.3492,0.0375,0.0013,17.4623,0.9785,0.494,0.0713,0.4932,2232,0,0,0.0647,0.4943,18.5081,?,0.0348,0.4935,0.0006,0.0526,17.4623,0.0025,1.6947,0.136,0.0026,1.6892,0.0642,0,0.0183,0.0025,0.2405,0.1784,?,?,0.4933,0.0711,36888,2232,0.241,0.4937,0.1053,0.8789,0.0025,18.0426,0.9114,0.6574,0.495,?,2406,36888,19.7884,0.1842,0
