@relation 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@attribute stats_tightness_100 numeric
@attribute normalised_standard_deviation_of_node_degree numeric
@attribute clustering_coefficient numeric
@attribute normalised_maximum_degree numeric
@attribute algorithm {standard,learning,allfair}

@data
257,0.011307,0.256198,0.11,standard
260,0.011232,0.266276,0.12,allfair
273,0.01253,0.240865,0.12,standard
259,0.012048,0.266799,0.12,standard
257,0.012347,0.203524,0.12,allfair
273,0.012571,0.210251,0.12,standard
266,0.01227,0.213915,0.12,standard
264,0.01183,0.208253,0.12,standard
260,0.015989,0.223638,0.19,standard
273,0.017263,0.22448,0.19,standard
273,0.019551,0.229624,0.19,standard
266,0.014177,0.224893,0.19,standard
273,0.023496,0.276498,0.29,standard
273,0.023874,0.275169,0.28,standard
273,0.020602,0.270754,0.3,standard
273,0.023043,0.271467,0.3,standard
257,0.008139,0.265766,0.065,standard
259,0.008672,0.274864,0.07,standard
273,0.007906,0.264593,0.065,standard
257,0.008074,0.270617,0.075,allfair
273,0.008747,0.203094,0.075,allfair
273,0.010423,0.207924,0.09,allfair
266,0.008937,0.224664,0.07,allfair
273,0.009513,0.213373,0.095,allfair
259,0.005836,0.221781,0.06,allfair
273,0.005868,0.222263,0.06,allfair
273,0.00622,0.223516,0.06,allfair
273,0.005684,0.220676,0.06,allfair
266,0.006306,0.175146,0.06,allfair
273,0.006268,0.168009,0.06,allfair
273,0.005739,0.170337,0.06,allfair
266,0.005887,0.170823,0.06,allfair
273,0.008515,0.164085,0.105,allfair
273,0.008059,0.163052,0.1,standard
273,0.008322,0.166277,0.1,standard
273,0.009073,0.16644,0.105,standard
273,0.012855,0.172551,0.175,standard
273,0.012112,0.175753,0.175,standard
273,0.011968,0.172687,0.175,standard
273,0.013105,0.176531,0.18,allfair
257,0.0288,0.337595,0.22,standard
273,0.022214,0.33219,0.18,standard
273,0.025298,0.312619,0.2,standard
257,0.026725,0.325632,0.22,standard
259,0.035091,0.329455,0.22,standard
266,0.032,0.328612,0.22,standard
273,0.040398,0.307429,0.26,standard
273,0.03465,0.305962,0.24,standard
257,0.026242,0.299101,0.22,standard
257,0.021166,0.303186,0.22,standard
273,0.021909,0.308798,0.22,standard
273,0.019333,0.292651,0.2,standard
257,0.0232,0.266245,0.24,standard
266,0.032496,0.291019,0.24,standard
257,0.028408,0.254244,0.24,standard
260,0.029241,0.284263,0.24,standard
273,0.027701,0.344264,0.34,standard
266,0.033072,0.343478,0.34,standard
266,0.036538,0.316866,0.38,standard
273,0.031241,0.335023,0.34,standard
257,0.04859,0.466783,0.54,standard
273,0.045782,0.451878,0.54,standard
273,0.039992,0.430054,0.5,standard
363,0.043774,0.453989,0.54,standard
324,0.004302,0.040998,0.034743,standard
263,0.004302,0.040998,0.034743,standard
324,0.002198,0.036705,0.016447,standard
263,0.002198,0.036705,0.016447,standard
324,0.001466,0.037053,0.012526,standard
263,0.001466,0.037053,0.012526,standard
501,0.002785,0.290862,0.027835,standard
513,0.001586,0.566259,0.006601,standard
253,0.002872,0.232331,0.011278,standard
487,0.001986,0.202673,0.023312,standard
936,0.20237,0.434877,0.5,allfair
936,0.20237,0.434877,0.5,allfair
936,0.20237,0.434877,0.5,allfair
936,0.20237,0.434877,0.5,allfair
936,0.20237,0.434877,0.5,allfair
936,0.20237,0.434877,0.5,allfair
936,0.20237,0.434877,0.5,allfair
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
759,0.191663,0.428978,0.5,standard
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
868,0.198221,0.432617,0.5,allfair
?,?,?,?,standard
?,?,?,?,standard
335,0.012019,0.431746,0.132075,standard
993,0.003617,0.455535,0.132075,standard
913,0.014989,0.415549,0.122642,standard
?,?,?,?,standard
991,0.004576,0.456206,0.122642,standard
335,0.01145,0.418575,0.122642,standard
951,0.003617,0.455535,0.132075,standard
335,0.016119,0.427939,0.132075,standard
980,0.003617,0.455535,0.132075,standard
913,0.014827,0.416137,0.122642,standard
?,?,?,?,standard
335,0.015675,0.416096,0.132075,allfair
?,?,?,?,standard
969,0.003377,0.455601,0.122642,standard
243,0.018709,0.410245,0.122642,standard
?,?,?,?,standard
?,?,?,?,standard
243,0.015899,0.4176,0.122642,standard
?,?,?,?,standard
?,?,?,?,standard
243,0.012977,0.423463,0.132075,standard
?,?,?,?,standard
963,0.003617,0.455535,0.132075,standard
883,0.014573,0.412876,0.122642,allfair
960,0.003617,0.455535,0.132075,allfair
882,0.016536,0.42709,0.132075,standard
?,?,?,?,standard
?,?,?,?,standard
977,0.003377,0.455601,0.122642,standard
793,0.0121,0.430103,0.132075,standard
?,?,?,?,standard
?,?,?,?,standard
904,0.015967,0.421113,0.122642,standard
?,?,?,?,standard
962,0.003617,0.455535,0.132075,standard
335,0.009893,0.444315,0.122642,allfair
?,?,?,?,standard
?,?,?,?,standard
335,0.01737,0.405607,0.122642,standard
?,?,?,?,standard
?,?,?,?,standard
243,0.012104,0.436741,0.122642,standard
982,0.003617,0.455535,0.132075,standard
335,0.012547,0.428388,0.122642,allfair
972,0.003377,0.455601,0.122642,standard
?,?,?,?,standard
335,0.014877,0.409754,0.132075,standard
975,0.003617,0.455535,0.132075,standard
?,?,?,?,standard
870,0.015047,0.419717,0.122642,standard
?,?,?,?,standard
?,?,?,?,standard
335,0.013592,0.445996,0.122642,allfair
?,?,?,?,standard
?,?,?,?,standard
335,0.01571,0.42258,0.132075,standard
?,?,?,?,standard
?,?,?,?,standard
962,0.014242,0.425322,0.122642,standard
?,?,?,?,standard
?,?,?,?,standard
?,?,?,?,standard
243,0.014128,0.435756,0.122642,standard
?,?,?,?,standard
243,0.012349,0.428081,0.122642,standard
992,0.003617,0.455535,0.132075,standard
?,?,?,?,standard
335,0.010997,0.430498,0.122642,allfair
982,0.003617,0.455535,0.132075,standard
?,?,?,?,standard
811,0.015359,0.42915,0.132075,standard
?,?,?,?,standard
?,?,?,?,standard
243,0.011073,0.430434,0.132075,allfair
978,0.003617,0.455535,0.132075,standard
987,0.017128,0.431513,0.132075,standard
?,?,?,?,standard
?,?,?,?,standard
853,0.016623,0.429157,0.122642,allfair
?,?,?,?,standard
?,?,?,?,standard
876,0.014586,0.421897,0.122642,standard
?,?,?,?,standard
513,0.016746,0.43177,0.132075,standard
?,?,?,?,standard
?,?,?,?,standard
335,0.013709,0.414869,0.132075,standard
979,0.003617,0.455535,0.132075,standard
?,?,?,?,standard
223,0.010384,0.432962,0.122642,standard
?,?,?,?,standard
?,?,?,?,standard
954,0.003617,0.455535,0.132075,standard
324,0.009534,0.433252,0.122642,standard
981,0.003377,0.455601,0.122642,standard
?,?,?,?,standard
335,0.013901,0.411261,0.122642,standard
?,?,?,?,allfair
?,?,?,?,standard
335,0.010403,0.438657,0.132075,allfair
961,0.003617,0.455535,0.132075,standard
?,?,?,?,standard
694,0.013474,0.421499,0.132075,standard
?,?,?,?,standard
?,?,?,?,standard
940,0.015185,0.423599,0.132075,standard
?,?,?,?,standard
243,0.015167,0.419787,0.122642,standard
?,?,?,?,standard
959,0.003617,0.455535,0.132075,standard
767,0.011862,0.420299,0.132075,allfair
978,0.003617,0.455535,0.132075,standard
243,0.013495,0.428577,0.132075,allfair
?,?,?,?,standard
?,?,?,?,standard
335,0.013092,0.418286,0.132075,standard
965,0.003617,0.455535,0.132075,standard
968,0.003617,0.455535,0.132075,standard
335,0.01504,0.416355,0.132075,allfair
?,?,?,?,standard
949,0.003617,0.455535,0.132075,standard
335,0.012399,0.428707,0.122642,standard
?,?,?,?,standard
?,?,?,?,standard
978,0.003617,0.455535,0.132075,standard
335,0.010214,0.434757,0.132075,standard
?,?,?,?,standard
243,0.012187,0.430809,0.132075,standard
?,?,?,?,standard
?,?,?,?,standard
793,0.014062,0.426205,0.132075,allfair
?,?,?,?,standard
?,?,?,?,standard
882,0.013016,0.430533,0.132075,standard
?,?,?,?,standard
975,0.003617,0.455535,0.132075,standard
249,0.008176,0.442925,0.122642,allfair
966,0.003377,0.455601,0.122642,standard
335,0.013197,0.430063,0.122642,standard
972,0.003617,0.455535,0.132075,standard
876,0.013146,0.425965,0.099291,standard
970,0.014105,0.418347,0.099291,standard
335,0.010469,0.426967,0.099291,allfair
868,0.013448,0.416239,0.099291,standard
335,0.011555,0.430005,0.099291,allfair
335,0.011568,0.42562,0.099291,allfair
335,0.010661,0.4299,0.099291,allfair
988,0.009878,0.426948,0.099291,allfair
335,0.010316,0.426047,0.099291,standard
868,0.015455,0.420402,0.099291,allfair
335,0.012123,0.431651,0.099291,allfair
243,0.009749,0.440725,0.099291,allfair
870,0.014282,0.423479,0.099291,standard
240,0.01202,0.420448,0.099291,allfair
335,0.012315,0.429845,0.099291,standard
335,0.01178,0.424615,0.099291,allfair
335,0.011962,0.427065,0.099291,allfair
243,0.012162,0.422733,0.099291,allfair
243,0.010218,0.445089,0.099291,allfair
243,0.012369,0.429756,0.099291,standard
335,0.010134,0.430533,0.099291,standard
335,0.01402,0.430053,0.099291,standard
243,0.010428,0.442073,0.099291,standard
243,0.010048,0.435255,0.099291,allfair
335,0.013517,0.415783,0.099291,allfair
870,0.014934,0.409586,0.099291,allfair
335,0.013761,0.419658,0.099291,allfair
694,0.015725,0.425918,0.099291,allfair
335,0.011131,0.441875,0.099291,allfair
335,0.011697,0.431658,0.099291,allfair
945,0.013714,0.408668,0.099291,allfair
492,0.014116,0.424668,0.099291,standard
360,0.01247,0.411038,0.099291,allfair
931,0.013281,0.427557,0.099291,allfair
335,0.009442,0.427853,0.099291,allfair
853,0.011156,0.429539,0.099291,allfair
914,0.008692,0.437859,0.099291,allfair
335,0.013698,0.411394,0.099291,standard
335,0.012779,0.419672,0.099291,standard
243,0.013377,0.421001,0.099291,allfair
911,0.015272,0.40696,0.099291,standard
940,0.009997,0.421904,0.099291,allfair
243,0.011353,0.433874,0.099291,allfair
243,0.011825,0.428229,0.099291,allfair
335,0.011324,0.420024,0.099291,standard
335,0.013326,0.423683,0.099291,allfair
335,0.011529,0.438501,0.099291,allfair
992,0.012404,0.423219,0.099291,standard
335,0.010835,0.431985,0.099291,allfair
335,0.01291,0.42922,0.099291,allfair
528,0.067932,0.427803,0.295238,standard
542,0.068489,0.44064,0.314286,standard
537,0.068439,0.466889,0.295238,standard
534,0.068059,0.440817,0.295238,standard
538,0.070159,0.455311,0.314286,standard
536,0.068942,0.448695,0.304762,standard
543,0.067511,0.430059,0.285714,standard
532,0.068552,0.454307,0.304762,standard
539,0.068287,0.452605,0.285714,standard
538,0.06854,0.455749,0.295238,standard
677,0.14214,0.664398,0.575758,standard
674,0.149207,0.683885,0.606061,standard
669,0.147896,0.673324,0.636364,standard
675,0.143697,0.663741,0.606061,standard
675,0.147708,0.662739,0.636364,standard
677,0.125162,0.581515,0.636364,standard
674,0.136437,0.574522,0.666667,standard
669,0.134175,0.567024,0.69697,standard
675,0.124269,0.562902,0.606061,standard
675,0.129747,0.564386,0.666667,standard
673,0.128019,0.566704,0.636364,standard
670,0.12867,0.575202,0.636364,standard
676,0.128237,0.56709,0.636364,standard
666,0.135824,0.574442,0.666667,standard
680,0.133343,0.56931,0.636364,standard
673,0.146952,0.670412,0.636364,standard
670,0.147331,0.672753,0.606061,standard
676,0.145047,0.661122,0.575758,standard
666,0.147519,0.67409,0.606061,standard
680,0.149952,0.667431,0.606061,standard
677,0.115994,0.555803,0.666667,standard
674,0.131297,0.568,0.727273,standard
669,0.127207,0.558631,0.757576,standard
675,0.114058,0.550562,0.636364,standard
675,0.118838,0.54616,0.666667,standard
673,0.118368,0.55894,0.666667,standard
670,0.118133,0.566287,0.666667,standard
676,0.120696,0.569049,0.666667,standard
666,0.126768,0.560348,0.69697,standard
680,0.122527,0.557759,0.69697,standard
677,0.089361,0.581501,0.727273,standard
674,0.11736,0.608253,0.787879,standard
669,0.101052,0.588095,0.787879,standard
675,0.090598,0.596033,0.727273,standard
675,0.099665,0.585685,0.787879,standard
673,0.09826,0.586212,0.757576,standard
670,0.095386,0.586212,0.787879,standard
676,0.09121,0.588976,0.727273,standard
666,0.095386,0.576743,0.69697,standard
680,0.092121,0.582989,0.727273,standard
668,0.052681,0.262333,0.289157,standard
668,0.058978,0.269018,0.301205,standard
671,0.052348,0.268823,0.277108,standard
679,0.052979,0.254974,0.277108,standard
684,0.055368,0.261224,0.325301,standard
668,0.049057,0.224882,0.301205,standard
668,0.05385,0.226102,0.301205,standard
671,0.047426,0.231866,0.277108,standard
679,0.048807,0.217754,0.289157,standard
684,0.05098,0.224724,0.337349,allfair
686,0.054624,0.230807,0.313253,standard
681,0.051152,0.244278,0.313253,standard
687,0.052368,0.228724,0.301205,allfair
666,0.051865,0.236119,0.337349,standard
678,0.054463,0.234371,0.349398,standard
686,0.05787,0.269393,0.301205,standard
681,0.054637,0.278807,0.289157,standard
687,0.057446,0.264417,0.301205,standard
666,0.055746,0.277364,0.337349,standard
678,0.057385,0.263939,0.337349,standard
668,0.046377,0.212898,0.313253,standard
668,0.050941,0.215697,0.313253,allfair
671,0.04527,0.224195,0.289157,standard
679,0.045655,0.209122,0.289157,standard
684,0.048659,0.213297,0.337349,standard
686,0.052096,0.220757,0.313253,standard
681,0.048117,0.23043,0.325301,standard
687,0.050111,0.217124,0.325301,standard
666,0.050111,0.230956,0.337349,standard
678,0.052696,0.227325,0.349398,allfair
668,0.041661,0.204861,0.313253,allfair
668,0.049701,0.213763,0.313253,standard
671,0.044738,0.221543,0.289157,standard
679,0.042244,0.207188,0.301205,standard
684,0.044777,0.211376,0.337349,standard
686,0.047763,0.215537,0.313253,standard
681,0.045088,0.224287,0.337349,allfair
687,0.047543,0.214484,0.325301,allfair
666,0.046988,0.224434,0.349398,standard
678,0.046614,0.215048,0.349398,standard
999,0.082224,0.513473,0.333333,standard
1000,0.075065,0.534663,0.307692,standard
1000,0.068818,0.553993,0.285714,standard
1000,0.063359,0.572873,0.266667,standard
1000,0.058574,0.590109,0.25,standard
1000,0.054362,0.606573,0.235294,standard
1000,0.050636,0.621673,0.222222,standard
1000,0.047325,0.635974,0.210526,standard
1000,0.044369,0.649163,0.2,standard
1000,0.041719,0.661621,0.190476,allfair
1000,0.039332,0.67317,0.181818,allfair
966,0.064984,0.523506,0.203704,standard
966,0.064984,0.523506,0.203704,standard
665,0.0245,0.120583,0.168269,allfair
674,0.023195,0.116815,0.153846,allfair
989,0,1,0.977778,allfair
931,0,1,0.97619,allfair
984,0,0.563636,0.305556,allfair
984,0,0.563636,0.305556,allfair
976,0,0.563636,0.305556,allfair
976,0,0.563636,0.305556,allfair
1000,0.141162,0.750563,0.686147,standard
1000,0.094767,0.775067,0.671958,standard
1000,0.186192,0.846985,0.841026,standard
1000,0.17313,0.857354,0.868421,standard
1000,0.155686,0.817292,0.771987,standard
1000,0.146779,0.798746,0.753378,allfair
1000,0.195385,0.806651,0.80429,allfair
1000,0.173286,0.84144,0.836461,standard
1000,0.175303,0.807163,0.809399,standard
1000,0.177828,0.840542,0.862069,allfair
1000,0.167334,0.791326,0.806818,standard
1000,0.19955,0.867889,0.869663,allfair
546,0.031851,0.417952,0.140845,allfair
710,0.048551,0.526019,0.212625,allfair
759,0.062421,0.530598,0.275735,allfair
759,0.059147,0.563739,0.273504,allfair
759,0.07049,0.589244,0.286765,allfair
759,0.07049,0.589244,0.286765,allfair
806,0.051434,0.588281,0.212308,allfair
263,0.026269,0.099674,0.184,allfair
184,0.026269,0.099674,0.184,allfair
501,0.000382,0.337778,0.013333,allfair
501,0.004157,0.355556,0.066667,allfair
501,0.003871,0.354497,0.063492,allfair
501,0.003615,0.353535,0.060606,allfair
501,0.003387,0.352657,0.057971,allfair
501,0.003181,0.351852,0.055556,allfair
501,0.002996,0.351111,0.053333,allfair
501,0.002828,0.350427,0.051282,allfair
501,0.002675,0.349794,0.049383,allfair
501,0.002535,0.349206,0.047619,allfair
501,0.002407,0.348659,0.045977,allfair
501,0.00229,0.348148,0.044444,allfair
501,0.001074,0.342222,0.026667,allfair
886,0.0047,0.3692,0.10101,allfair
875,0.004979,0.366267,0.10101,allfair
879,0.004852,0.364352,0.10101,allfair
896,0.00462,0.367008,0.10101,allfair
891,0.004672,0.367219,0.10101,allfair
880,0.00469,0.364807,0.10101,allfair
880,0.004279,0.359789,0.10101,allfair
875,0.004108,0.361876,0.10101,allfair
886,0.004895,0.364956,0.10101,allfair
885,0.004397,0.360326,0.10101,allfair
885,0.004192,0.359699,0.10101,standard
777,0.004269,0.361811,0.10101,allfair
777,0.004704,0.36371,0.10101,allfair
870,0.004513,0.364791,0.10101,allfair
879,0.00466,0.365139,0.10101,standard
868,0.004118,0.358785,0.10101,standard
777,0.004558,0.360952,0.10101,allfair
880,0.004656,0.366501,0.10101,allfair
885,0.005392,0.363809,0.10101,allfair
883,0.0055,0.365374,0.10101,allfair
885,0.004756,0.365323,0.10101,allfair
885,0.004876,0.36105,0.10101,standard
885,0.005052,0.361218,0.10101,allfair
875,0.004376,0.359064,0.10101,allfair
875,0.005296,0.366094,0.10101,standard
777,0.004265,0.362369,0.10101,allfair
880,0.004717,0.366952,0.10101,allfair
891,0.004755,0.363439,0.10101,allfair
875,0.004636,0.363903,0.10101,allfair
886,0.004659,0.364509,0.10101,standard
873,0.005079,0.364532,0.10101,allfair
777,0.004371,0.359998,0.10101,standard
877,0.004186,0.358864,0.10101,allfair
881,0.004918,0.361629,0.10101,allfair
877,0.004298,0.35821,0.10101,allfair
777,0.004762,0.365826,0.10101,allfair
896,0.004413,0.357575,0.10101,allfair
885,0.004482,0.362484,0.10101,standard
885,0.004504,0.357736,0.10101,allfair
886,0.005221,0.366767,0.10101,allfair
777,0.00475,0.364164,0.10101,allfair
868,0.004678,0.362021,0.10101,allfair
872,0.004871,0.362577,0.10101,allfair
886,0.005148,0.363635,0.10101,allfair
875,0.004703,0.360006,0.10101,allfair
885,0.004477,0.362436,0.10101,allfair
896,0.00519,0.36995,0.10101,standard
880,0.004572,0.365528,0.10101,allfair
876,0.004886,0.360718,0.10101,standard
875,0.004712,0.363642,0.10101,allfair
866,0.00463,0.36381,0.10101,allfair
777,0.004745,0.36245,0.10101,allfair
891,0.004443,0.362419,0.10101,allfair
878,0.004538,0.358664,0.10101,standard
873,0.004979,0.36227,0.10101,standard
880,0.004695,0.366758,0.10101,allfair
873,0.004487,0.362854,0.10101,allfair
777,0.004626,0.363234,0.10101,allfair
777,0.004554,0.363925,0.10101,allfair
777,0.004318,0.360557,0.10101,allfair
882,0.004319,0.361993,0.10101,allfair
878,0.004566,0.362004,0.10101,allfair
873,0.004832,0.36559,0.10101,allfair
891,0.004795,0.364784,0.10101,standard
777,0.004209,0.358314,0.10101,allfair
891,0.004607,0.360982,0.10101,allfair
886,0.005408,0.372653,0.10101,allfair
877,0.004894,0.366812,0.10101,standard
877,0.005543,0.364726,0.10101,allfair
868,0.004582,0.360177,0.10101,allfair
891,0.005185,0.365221,0.10101,allfair
881,0.00449,0.362517,0.10101,allfair
878,0.005066,0.361403,0.10101,standard
892,0.004852,0.366011,0.10101,allfair
871,0.004409,0.35985,0.10101,allfair
886,0.004196,0.364202,0.10101,allfair
885,0.005091,0.366308,0.10101,standard
777,0.00552,0.363033,0.10101,standard
881,0.004222,0.360229,0.10101,standard
873,0.005121,0.364313,0.10101,allfair
871,0.004361,0.361819,0.10101,standard
880,0.005054,0.367004,0.10101,allfair
777,0.004352,0.3639,0.10101,allfair
885,0.005039,0.364421,0.10101,standard
885,0.005489,0.370466,0.10101,allfair
880,0.004403,0.359499,0.10101,allfair
891,0.004555,0.360081,0.10101,standard
876,0.004853,0.362575,0.10101,allfair
878,0.004892,0.365008,0.10101,allfair
872,0.004875,0.361459,0.10101,allfair
882,0.004828,0.364928,0.10101,standard
878,0.00476,0.364301,0.10101,allfair
777,0.004943,0.363406,0.10101,standard
877,0.005011,0.363387,0.10101,standard
879,0.004581,0.363057,0.10101,allfair
877,0.004058,0.361005,0.10101,standard
880,0.005164,0.368381,0.10101,standard
891,0.004609,0.357899,0.10101,allfair
777,0.004528,0.361386,0.10101,allfair
878,0.005134,0.361627,0.10101,standard
886,0.00523,0.367237,0.095238,allfair
875,0.004724,0.363494,0.095238,allfair
879,0.005068,0.360479,0.095238,allfair
896,0.005561,0.36509,0.095238,allfair
891,0.004544,0.358375,0.095238,allfair
880,0.004497,0.359829,0.095238,standard
880,0.003965,0.360562,0.095238,allfair
777,0.004243,0.357452,0.095238,allfair
886,0.004216,0.362031,0.095238,standard
885,0.003962,0.358401,0.095238,allfair
885,0.003746,0.35884,0.095238,allfair
777,0.00376,0.357079,0.095238,allfair
872,0.00427,0.358544,0.095238,standard
870,0.004468,0.36042,0.095238,allfair
885,0.004864,0.362094,0.095238,standard
868,0.00383,0.359226,0.095238,standard
777,0.004259,0.359045,0.095238,allfair
880,0.00392,0.355551,0.095238,allfair
777,0.004366,0.359205,0.095238,allfair
883,0.004261,0.36098,0.095238,allfair
885,0.004848,0.361009,0.095238,allfair
885,0.004504,0.357736,0.095238,standard
896,0.004447,0.35689,0.095238,allfair
882,0.004238,0.358434,0.095238,allfair
875,0.004205,0.357781,0.095238,standard
777,0.004405,0.359832,0.095238,allfair
777,0.004172,0.362316,0.095238,allfair
891,0.004067,0.354848,0.095238,allfair
875,0.004238,0.359538,0.095238,standard
879,0.004743,0.360592,0.095238,standard
873,0.004452,0.360658,0.095238,allfair
777,0.004008,0.359095,0.095238,allfair
877,0.003685,0.35521,0.095238,allfair
861,0.004335,0.360064,0.095238,allfair
877,0.00426,0.35744,0.095238,allfair
777,0.004241,0.357734,0.095238,allfair
896,0.004434,0.359361,0.095238,allfair
885,0.004899,0.360496,0.095238,standard
885,0.00397,0.35427,0.095238,allfair
886,0.004034,0.357031,0.095238,allfair
777,0.004247,0.361965,0.095238,allfair
868,0.004317,0.356213,0.095238,allfair
872,0.003946,0.359264,0.095238,allfair
886,0.004612,0.364249,0.095238,allfair
777,0.004271,0.36139,0.095238,allfair
885,0.004256,0.358848,0.095238,allfair
896,0.005,0.365598,0.095238,allfair
880,0.00494,0.362495,0.095238,allfair
876,0.004077,0.358587,0.095238,allfair
875,0.004795,0.359861,0.095238,allfair
777,0.004169,0.360013,0.095238,allfair
878,0.00448,0.35894,0.095238,allfair
868,0.004352,0.359601,0.095238,allfair
878,0.003789,0.358166,0.095238,standard
873,0.004694,0.358793,0.095238,allfair
880,0.004771,0.363561,0.095238,allfair
873,0.004548,0.360183,0.095238,allfair
873,0.004084,0.358502,0.095238,standard
777,0.004257,0.360579,0.095238,allfair
885,0.004628,0.359193,0.095238,allfair
