@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,1.5958,1.8731,2.5162,0.6446,0.6339,0,0,2.4534,1.6811,12.597,0,0.9939,0.4208,0,0,0,0.471,0,0.0313,0,1.4194,0,1.7495,0.017,0.6786,0,0,0,0,8357,0.0004,536.3,0,15,10.418,0.3135,0,0.8295,0,0.0006,0.1631,0.4197,1.039,0,0.3644,440000,2585.8,0.4493,166.9,0.9759,2746.7,2756.5,0.0002,0,0.5,0,0.15,10,0.7264,0.0052,267000,0,0.9448,95421
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.8326,1.065,1.2377,1.2495,0.4161,10.497,10.497,1.6766,1.3213,7.5977,11.558,0.8829,0.1102,550,550,0.0001,0.4995,1045,0.2086,0,0.7935,13.599,1.0619,0.0134,0.5567,730,594,13.306,664.75,13761,0.0001,908.22,1045,8,2.9061,0.1328,571,0.6957,0.0001,0.0007,0.0658,0.5636,0.8274,0,0.19,148000,4293.4,0.1335,1358,0.7511,3854,4491,0.0001,0,0.2171,15.168,0,7,0.8711,0.7519,65966,0.2346,0.7286,53752
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.2462,0.5907,0.3127,0,0.8788,0,0,0.8469,0.4809,5.4615,0,0.9997,0.1986,0,0,0,0.1476,0,0.0129,0,0.2326,0,0.4533,0.0038,0.9558,0,0,0,0,24352,0.0001,94,0,7,0.0002,0.0119,0,0.9876,0,0.0001,0.0108,0.9849,1.2403,0,0.9396,1880000,11627,0.0232,64392,0.9987,5747.5,5747.5,0.0001,0.0022,0.2259,0,0.9636,5,0.9732,0.247,1880000,0,0.9935,24356
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.2966,0.3002,0.3827,0.0062,0,22.295,22.295,0.073,0.7327,4,23.155,0.841,0.318,3849,3849,0.0045,0.6244,3962,0.2306,0,0.5906,23.401,0.163,0.0378,0.3674,3953,3901,23.965,3903.4,409,0.0036,14.635,3962,4,0.0269,0.1147,3873,0.3438,0.0023,0.0146,0.0835,0.1756,0.7322,0.0037,0.2137,1785,89.741,0.1706,17.772,0.682,89.94,90,0.0073,0.0005,0.3832,26.48,0.0623,4,0.9662,0.0404,1774,0.0098,0.5326,420
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0,0.0398,0.1638,0,0,51.943,51.943,0,1.0093,2,52.702,0.8647,0.6357,3968,3968,0.0117,0.7112,4373,0.0118,0.1429,0.6756,54.855,0,0.0001,0.0672,4373,4162,53.617,4134,180,0.0026,16.546,4373,2,0,0.0001,4033,0.061,0.0349,0.0117,0.0001,0.0284,0.3721,0,0.033,15300,29.677,0.0002,16.568,0.1367,29.71,29,0.0389,0.0028,0.0002,54.969,0.0117,2,0,0.0684,15300,0.0374,0.0998,180
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0,0.0429,0.1388,0,0,23.922,23.922,0,0.9999,2,24.017,0.875,0.6863,4397,4397,0.0111,0.7402,4588,0.0112,0.1429,0.6794,24.212,0,0,0.0547,4516,4509,24.193,4477.5,65,0.0067,8.0183,4588,2,0,0.0001,4406,0.0483,0.0984,0.0111,0.0001,0.0175,0.3991,0,0.0269,5785,11.271,0.0001,8.5152,0.1044,11.287,11,0.1077,0.001,0.0001,24.234,0.0095,2,0,0.1018,5785,0.015,0.0784,65
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,3.4014,5.6053,5.2206,0.0095,0.9475,0,0,2.5842,0.5625,3.8333,0,1.0128,0.2162,0,0,0,0.232,0,0.0193,0,0.2924,0,0.3769,0,0.9248,0,0,0,0,44203,0,6992,0,4,0.1111,0.0134,0,0.9999,0,0.0001,0.0523,0.9906,2.474,0,0.5357,2320000,0,0.2684,10453,1,0,0,0,0,1,0,0.6866,3,0.9567,0,2300000,0,1,49112
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.9218,0.5453,0.908,0.1157,0.0451,28.225,28.225,0.1406,1.2804,6.8981,55.107,0.7411,0.0498,730,730,0.0002,1.3487,1376,0.1601,0,0.842,66.835,0.6155,0.0548,0.0997,1280,955,71.188,1017,2840,0.0005,190.56,1376,8,0.082,0.0697,838,0.0188,0.0005,0.0004,0.0598,0.0061,0.2261,0,0.0256,19785,458.2,0.0698,110.62,0.3249,458.5,457,0.0007,0,0.1012,90.097,0,5,0.2051,0.0275,17733,0.2142,0.1343,3073
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.28,0.2856,0.3978,0.0028,0,25.819,25.819,0.0423,0.6081,4.0041,25.998,0.839,0.311,3768,3768,0.0047,0.6029,3976,0.2316,0,0.5782,26.573,0.0803,0.038,0.3713,3961,3892,27.289,3892.6,492,0.003,18.099,3976,5,0.0163,0.1097,3880,0.3631,0.0024,0.012,0.0806,0.1857,0.7194,0.0034,0.2024,2130,108.21,0.1583,22.355,0.6943,108.18,108,0.0061,0,0.3342,30.246,0.0793,4,0.9849,0.0366,2124,0.0154,0.5516,500
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.0799,0.1231,0.437,0,0,19.013,19.096,0.0782,1.1977,5,19.236,0.7797,0.9971,3635,3428,0.0216,0,4112,0.2629,0,0.8477,19.786,0.3326,0.3222,0,3975,3858,19.71,3820.3,61,0.0205,1.0062,4112,5,0.4262,0.373,3683,0,0.0517,0.0246,0.3561,0,0.068,0.3149,0,232,6.9076,0.3786,1.8726,0,6.9261,7,0.0492,0,0.3797,19.849,0,5,0.1035,0.1587,232,0.05,0,87
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.2938,0.2902,0.4017,0.0064,0,31,49.5,0.0635,0.711,5.6705,59.4,0.8508,0.2247,3,1,0,0.5775,18,0.2337,0,0.5869,74,0.156,0.0474,0.3946,6,5,76.543,5.1825,29259,0.0001,884.86,9,6,0.0253,0.1247,3,0.3874,0,0.0002,0.0931,0.2073,0.6587,0.0008,0.2294,126000,6344.6,0.1765,961.5,0.7073,6394,6394,0.0001,0,0.7443,90.833,0.0856,5,0.9653,0.0186,125000,0.5479,0.5705,30000
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.231,0,0.3559,0.0182,0.8121,29.059,29.059,0.9538,1.0987,3,29.123,0.995,0.8708,4779,4779,0.0455,0.0152,4891,0.1636,0,1.0372,30.194,0.5281,0.185,0.8139,4869,4868,29.941,4837.7,108,0.0119,2,4891,3,0.1111,0.2006,4797,0.8154,0.0333,0.071,0.1935,0.806,0.0479,0.1848,0,672,42.498,0.2009,2.0573,0.8258,42.415,42,0.0185,0.7776,0.2198,30.523,0.8041,3,0.8121,0.0051,660,0.0085,0.8242,120
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.082,0.0977,0.2305,0,0,46.089,50.038,0,0.835,3,54.667,0.8452,0.4764,33,27,0.0124,0.6848,92,0.05,0.2,0.6497,58.104,0,0.0015,0.1692,48,41,57.746,42.594,1000,0.0009,44.849,54,3,0,0.0034,36,0.1523,0.0036,0.0165,0.0027,0.0809,0.626,0.0002,0.0803,20000,192.23,0.0049,55.559,0.3306,190.57,191,0.005,0.0001,0.0118,61.371,0.0288,3,0,0.2599,20000,0.2182,0.2433,1000
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,1.4341,1.5143,1.8133,1.2922,0.1229,9.0179,9.6053,0.385,1.7619,7.4831,10.56,0.9099,0.0333,245,206,0,0.4458,479,0.1328,0,0.7062,11.178,1.6207,0.024,0.5643,388,340,11.533,351.84,22468,0.0001,971.67,475,9,4.8307,0.1195,312,0.6206,0,0.0001,0.0786,0.4333,0.8212,0,0.1711,388000,6121.4,0.1472,991.75,0.8512,4608.3,6120,0.0001,0,0.443,12.364,0.1263,7,0.4693,0.1506,169000,0.1916,0.7406,131000
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0,0.0408,0.1466,0,0,47.623,47.623,0,1.0012,2,47.79,0.868,0.6389,4032,4032,0.0117,0.7341,4388,0.0118,0.1429,0.6787,49.062,0,0.0001,0.0634,4388,4251,48.615,4187.8,160,0.0027,15.019,4388,2,0,0.0001,4080,0.0525,0.0393,0.0117,0.0001,0.0259,0.3728,0,0.0311,13600,26.531,0.0002,14.929,0.1247,26.437,26,0.0437,0,0.0002,49.984,0.0138,2,0,0.0731,13600,0.0338,0.0945,160
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.0206,0.0957,0.2359,0,0,27.587,27.587,0,0.8395,2.9922,28.54,0.8585,0.5494,4116,4116,0.0401,0.641,4437,0.0469,0.2,0.6418,28.621,0,0.001,0.1723,4353,4187,28.783,4221.6,130,0.0077,9.8506,4437,3,0,0.0023,4171,0.1611,0.0267,0.045,0.0019,0.0748,0.7725,0.0004,0.0821,2769,25.967,0.0037,10.746,0.3286,25.834,26,0.0385,0.0052,0.0121,29.517,0.0444,2,0,0.072,2769,0.0253,0.255,130
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.2929,0.2902,0.3962,0.007,0,31.717,34.978,0.0673,0.7277,4.9984,37.099,0.8336,0.2529,43,33,0.0004,0.567,155,0.2333,0,0.5878,39.319,0.1744,0.0461,0.3949,66,56,39.647,60.067,3893,0.0004,76.719,77,5,0.0275,0.1235,51,0.385,0.0002,0.0016,0.0919,0.2133,0.6517,0.0033,0.2285,16800,844.27,0.1768,115.28,0.7044,847.35,849,0.0008,0.0004,0.6623,42.298,0.0937,4,0.9595,0.0181,16684,0.2953,0.5699,4000
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,1.6184,1.7985,2.1584,1.4117,0.1298,11.225,11.225,0.4106,1.8652,8.6176,11.875,0.8952,0.0328,118,118,0,0.4497,395,0.1236,0,0.7279,23.458,1.7163,0.0164,0.6164,395,289,17.538,266.25,56393,0,2192.5,395,10,5.5414,0.1191,263,0.6814,0,0.0001,0.0721,0.5122,0.8171,0,0.1969,1100000,15457,0.1481,11511,0.9245,0,0,0,0,0.435,23.593,0.1059,7,0.483,0,456000,0.3713,0.8418,369000
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.5205,0.5379,0.5231,1.3917,0.5776,2.0133,2.0133,0.4291,1.3599,14.912,2.0133,1.0206,0.1311,75,75,0,0.5844,75,0.1666,0,1.0243,5.0933,1.0226,0.0018,0.5271,75,75,3.5533,75,59617,0,5612,75,16,2.0774,0.0258,75,0.6352,0,0,0.0151,0.2205,0.8788,0,0.2452,856000,13479,0.032,16813,0.8578,0,0,0,0,0.2025,5.0933,0.0552,14,0.8998,0,358000,0,0.805,183000
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.0864,0.0991,0.2278,0,0,47.333,54.559,0,0.829,3,57.294,0.8375,0.4732,24,17,0.0099,0.6712,59,0.05,0.2,0.6514,61.361,0,0.0015,0.1715,36,31,61.853,31.832,1250,0.0007,56.758,42,3,0,0.0035,27,0.1532,0.0027,0.0137,0.0028,0.0804,0.6575,0.0003,0.0815,25000,239.03,0.005,67.736,0.3328,238.77,239,0.004,0.0001,0.0202,65.593,0.0304,3,0,0.0422,25000,0.2265,0.2445,1250
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0,0,0,0.0399,0.9822,0,0,2.3509,0,2,0,0.9996,1,0,0,0.0385,0.0001,0,0.0385,1,0,0,0.0895,0.031,0.9305,0,0,0,0,702,0.0028,0.2229,0,2,0.037,0.0314,0,0.9305,0.0042,0.0385,0.0312,0.9304,0.0094,0.0306,0.3421,18954,326.55,0.0316,4.0787,0.9307,326.37,327,0.0028,0.9302,0.0319,0,0.9303,2,0.9822,0.0299,18226,0,0.9306,728
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.2766,0.2831,0.3916,0.0054,0,20.862,20.862,0.0578,0.6795,4,21.113,0.8459,0.3376,3882,3882,0.0074,0.5749,4090,0.232,0,0.5772,21.52,0.1406,0.0418,0.378,4036,3975,21.873,3970.6,344,0.0046,11.75,4090,4,0.0174,0.1085,3908,0.3795,0.004,0.0171,0.084,0.2096,0.6645,0.0064,0.2207,1491,75.996,0.1641,14.306,0.6861,76.013,76,0.0087,0.0004,0.2657,23.444,0.0894,4,0.9683,0.2345,1483,0.0172,0.5321,350
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,1.4947,4.3842,2.5423,0.2126,0.1019,17.936,18.064,0.4536,2.9316,3.9475,19.521,0.9613,0.4373,641,256,0.0012,0.232,2997,0.2118,0,0.9222,20.899,2.6115,0.4971,0.685,2653,1711,20.858,1802.8,1239,0.0003,15.051,2822,4,0.0807,0.4999,1323,0.7482,0.0002,0.0076,0.4212,0.6105,0.4237,0.0015,0.5333,7095,66.411,0.5,7.6079,0.8331,66.563,66,0.0016,0,1,22.142,0.5112,3,0.1759,0.0204,5851,0.4776,0.7998,1339
