@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE UNARY NUMERIC

@DATA
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,5.0736,0.4149,0.4312,0.4676,0.0251,0.3424,4.458,0.0047,0.2548,0.0007,1.2997,0.3957,1.0607,0.934,0.9793,954,2.5823,0.0003,844,0.0504,0,0.0806,0.0138,0.3768,0.0071,25.3229,0.0024,26.3131,0.4406,26.8427,27.6767,26.4121,0.0178,5.1232,24.9333,0.0029,27.6767,0.8684,24.9333,6,0.0148,0.4607,194,0.0786,4,0.7164,0.0468,0.1185,1.6672,0.0166,0.0611,0.1308,0.028,24.8103,0.0147,21,0.0088,0.3397,0.2493,0,0.6154,25,0.3736,0
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,2.7912,0.3258,0.5579,0.7878,0.0281,0.4888,1.1161,0,0,0.0026,0.6854,0,0.0432,0.9625,0.4058,356,1.7821,0.0008,356,0.0173,0,0.0253,0.017,1,0.0169,21.7369,0,23.4383,0.2209,23.7839,27.2694,22.594,0.0169,6.2326,21.4828,0.0107,27.2694,0.8305,21.4828,7,0.0666,0.1134,173,0.0778,6,0.2,0.026,0.0337,0.2209,0.0169,0.0719,0.1391,0.0173,24.6406,0.0193,20,0.0085,0.4223,0.279,0,0.3333,25,0.2153,0
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,10.4022,0.1753,0.1789,0.5127,0.1157,0.0105,9.7488,0,0.0165,0.0886,1.1552,0,0.0024,0.6443,0.6999,55222,0.6385,0.0004,55222,0.0667,0.0002,0.1131,0.0027,0,0.0027,15.7149,0.0004,17.8289,1.5326,19.6128,23.3741,16.878,0.0011,2,15.6726,0.0979,23.3741,0.8622,15.6245,2,0.2024,0.2775,150,0.0411,2,?,?,?,2.0433,0.0401,0.0871,0.1507,0.0666,17.2906,0.0603,14,0.0007,0.2621,0.3502,0,0.1204,17,0.2135,0
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,20.037,0.5229,0.0108,0.774,0.4251,0.7538,20.6012,0.0152,0.5846,0.4251,11.6955,0.3333,0.0011,0.8664,11.5795,48480,0.0002,0.425,47520,0.0167,0.425,0.0082,0.0151,0.0152,0.0151,26.7907,0.0041,28.8228,0,31.0847,31.3586,29.0299,0.0041,2,25.8554,0.4251,34.762,0.9987,25.6211,2,1.1173,0,960,0,2,?,?,?,0,0.0082,0.0007,0.0864,0.0082,179.791,0.0051,168,0.0041,0,0.1265,0.0051,0.0051,180,0.4254,0
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,138.3,0.4272,0.3587,0.4517,0.7946,0.7188,196.581,0.9443,0.4568,0.7644,2.4735,0,0.1079,0.7013,2.9634,43754,0.0932,0.7097,43754,0.0024,0.1221,0.0007,0.0004,0.947,0.0001,21.5465,0.0001,25.2998,2.5469,28.3841,32.1681,24.0455,0.0007,6.9313,19.3545,0.8099,44.3182,0.9828,17.4112,7,0.3552,0.1632,4979,0.0561,6,0.3333,0.0002,0.0051,2.5781,0.0002,0.0095,0.0192,0.0004,1852.58,0.6848,1794,0.0003,0.3737,0.2384,0.25,0.8125,1848,0.9203,0
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,3.62,0.3709,0.3712,0.6533,0.0696,0.231,2.9395,0,0.1105,0.0355,1.8582,0,0.3152,0.7689,1.4998,420,0.5914,0.0179,420,0.1667,0.007,0.1643,0.069,0.0262,0.069,0,0.0214,0,1.4434,0,0,0,0.0548,2,0,0.0704,0,0.9092,0,2,0,0.0238,30,0.0194,2,0.357,0.3232,0.3714,1.6996,0.1476,0.1297,0.2572,0.1562,6.5353,0.0235,4,0.0346,0.2273,0.3301,0,0.0625,6,0.1644,0
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,1242.18,4.5569,5.1787,0.7814,0.8304,0.9523,184.575,0.9523,1.8079,0.791,44.9564,0.0345,12.1838,0.8974,51.7307,215164,0.082,0.7211,212446,0.0281,0.6041,0.0026,0.002,0.9523,0.001,56.25,0.0004,61.3041,2.6827,67.8447,72.4554,58.9625,0.0015,3,53.2021,0.8495,81.5094,1.073,51.9048,3,0.2694,0.1721,2100,0.0363,3,?,?,?,5.3448,0.0008,0.3633,0.1635,0.0016,924.65,0.1682,926,0.0009,0.1646,0.3323,0.0856,0.3231,941.5,0.9303,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,1273.77,3.8441,3.5006,0.9186,0.9761,0.9829,5744.47,0.9829,2.4667,0.9785,97.7881,0.0209,1.5082,0.9574,99.2626,498568,0.0701,0.9566,496124,0.0426,0.1076,0.0017,0.0048,0.9829,0.0048,94.0535,0.0003,98.0399,3.3344,106.1429,108.2059,97.0272,0.0013,2,88.8889,0.9924,115.56,1.0114,87.8406,2,0.7786,0.1693,2444,0.0766,2,?,?,?,5.8426,0.0005,0.0411,0.2773,0.0012,1077.53,0.3575,1110,0.0008,0.2038,0.2223,0.1628,0.6236,1153,1,0
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,373.5,1.066,1.3271,0.0566,0.0192,0.2613,822,0.0073,0.0583,0.0001,0.2524,1.0256,0.2287,0.1106,0.2318,123900,3.1172,0.0001,117774,0.0001,0,0.0013,0.0001,0.0332,0.0001,0,0,0,0.4008,0,0,0,0.0003,748.525,0,0.0002,0,0.6826,0,759,0,2.0996,63840,0.0584,743,0.9048,0.001,0.0014,0.5885,0,0.0794,0.0108,0.0001,4303,0.0173,4267,0,2.0912,0.5891,0,0.9024,4322.5,0.9357,0
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,47.1391,3.9242,4.5011,0.7325,0.4081,0.7532,45.6368,0.013,0.5836,0.408,11.9471,0.3333,0.0018,0.8098,10.8717,64155,0.0003,0.408,63063,0.0147,0.4077,0.0073,0.013,0.013,0.013,27.0061,0.0036,29.3595,0,32.0355,32.9809,28.708,0.0036,2,26.6054,0.408,36.7606,0.994,26.1269,2,1.1442,0,1092,0,2,?,?,?,0,0.0073,0.0662,0.0945,0.0073,208.562,0.0044,190,0.0036,0,0.1651,0.0044,0.0044,209,0.4085,0
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.6013,28.5849,1.2241,0.8507,0.457,0.7551,1.5435,0.0203,0.5871,0.457,7.0723,0.3333,0.0004,0.9633,5.9841,27360,0.0001,0.457,26640,0.0222,0.4568,0.011,0.0202,0.0203,0.0202,26.493,0.0055,28.6955,0,30.0563,32.7169,27.5762,0.0055,2,25.5971,0.457,38.1584,0.9949,25.3638,2,1.204,0,720,0,2,?,?,?,0,0.011,0.0018,0.0863,0.011,137.143,0.0068,124,0.0055,0,0.172,0.0068,0.0068,137,0.4571,0
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,45.4502,9.5123,15.4138,0.9047,0.9087,0.7464,11.9654,0.9787,1.8278,0.8978,38.6444,0.0345,2.6608,0.9711,37.6613,49070,0.0217,0.8796,48470,0.1,0.8552,0.0071,0.0119,0.9787,0.0119,73.157,0.0009,83.1068,3.0492,90.232,99.181,87.8974,0.0056,2,64.6269,0.9129,99.181,1.0552,64.6269,2,0.7473,0.1659,600,0.0837,2,?,?,?,4.206,0.0028,0.8963,0.073,0.0046,272.007,0.458,257,0.0026,0.3897,0.1662,0.2718,0.6349,272,0.9581,0
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,18.45,10.5878,0.1085,0.445,0.9235,0.7281,141.434,0.9511,0.5835,0.9432,20.538,0.5513,2.805,0.8863,17.2005,88373,0.1168,0.7011,79229,0.0131,0.5791,0.0019,0.0014,0.9728,0.0002,27.4614,0,27.199,2.4732,27.8652,27.8652,27.8585,0.0015,4.7942,25.6108,0.9512,27.8652,0.9991,25.6108,5,0.3739,0.2523,2721,0.2302,4,0.6667,0.0005,0.0225,2.759,0.0002,0.0002,0.0835,0.0013,813.667,0.7649,796,0.0008,0.4208,0.0995,0.0667,0.9669,818,0.9971,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,10.7719,1.8442,0.2592,0.6767,0.6217,0.1265,14.2115,0,0.8326,0.56,11.2954,0,2.0373,0.809,10.9847,9795,0.1629,0.5519,9795,0.0753,0.5364,0.0321,0.0163,0.8735,0.0146,35.3844,0.0014,36.8043,2.8836,39.3333,39.3333,37.7223,0.0133,2.9946,34.7772,0.5767,39.3333,0.9894,34.7772,3,0.004,0.2615,186,0.1535,2,?,?,?,4.4077,0.0108,0.0058,0.1169,0.0236,64.7466,0.2271,56,0.0095,0.3688,0.2269,0.125,0.7358,65,0.9589,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,35.494,9.1035,2.3059,0.8669,0.8872,0.9714,346.25,0.9714,1.989,0.8722,53.1227,0.0327,13.3554,0.9483,53.8444,129272,0.0254,0.857,128166,0.0672,0.8144,0.0036,0.0083,0.9714,0.0083,59.5803,0.0008,70.1392,3.2305,75.1852,92.5301,66.9394,0.0025,2,56.4608,0.8879,92.5301,1,56.4608,2,1.4244,0.1529,1106,0.0631,2,?,?,?,5.1389,0.0013,0.003,0.1068,0.0028,496.04,0.3272,478,0.0018,0.1716,0.1027,0.1588,0.5246,502,0.9432,0
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,11.0207,0.0623,0.0844,0.7902,0.692,0.8333,10.5361,0.8333,0.9583,0.6919,2.6539,0,0.0014,0.8269,2.0976,726,0.0001,0.6919,726,0.0909,0.6918,0.0289,0.1653,0.8333,0.1653,47.0053,0.0138,46.437,0,48.5704,48.5704,48.2732,0.0138,2,41.8992,0.6919,48.5704,0.9718,41.8992,2,0.0021,0,121,0,2,0.087,0.0505,0.1515,0,0.0289,0.0147,0.1411,0.0289,39.7839,0.0476,33,0.0138,0,0.1601,0.0476,0.0476,40,0.6922,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,160.4,0.1525,3.3021,0.8838,0.9762,0.9819,25.5625,0.9819,2.5629,0.9705,88.9836,0.0199,1.2831,0.9362,78.0606,490309,0.0496,0.9515,487748,0.0406,0.2354,0.0019,0.0051,0.9819,0.0051,99.3162,0.0003,111.9684,3.3492,132.6667,133.1667,112.4,0.0014,2,95.5521,0.9884,133.48,1.0011,91.0931,2,0.8904,0.2668,2561,0.079,2,?,?,?,6.1822,0.0004,0.0045,0.0211,0.0012,1206.25,0.3131,1169,0.0008,0.2906,0.1255,0.122,0.5465,1206.5,1,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,13.692,0.2669,6.8078,0.7061,0.7056,0.0831,15.7566,0.0031,1.105,0.657,23.0011,0,2.3313,0.8066,25.1053,22241,0.1013,0.6449,22241,0.1034,0.6329,0.0295,0.0091,0.9169,0.009,45.0426,0.0008,47.403,3.3339,49.7635,49.7635,49.7635,0.0124,2.1139,45.0426,0.6856,49.7635,0.9943,45.0426,3,0.0108,0.2483,203,0.1558,2,?,?,?,5.0456,0.0098,0.0314,0.098,0.0221,80.1465,0.2552,70,0.0086,0.3591,0.2145,0.1279,0.8349,80,0.9822,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,13.9374,0.2613,5.9256,0.6597,0.7095,0.0782,15.4287,0.0124,1.0967,0.6648,22.3937,0,2.3077,0.8034,23.8414,21509,0.1024,0.6474,21509,0.1045,0.6213,0.0291,0.0093,0.9218,0.0092,36.5443,0.0008,37.8653,3.5664,39.059,39.059,37.9927,0.0123,2.145,36.5443,0.6884,39.059,0.9941,36.5443,3,0.0178,0.2393,201,0.1564,2,?,?,?,4.9825,0.01,0.0309,0.0952,0.0218,79.6543,0.2851,70,0.0081,0.3565,0.2165,0.1272,0.8326,80,0.9774,0
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,42.4065,0.1731,13.0574,0.7373,0.7983,0.9299,24.5809,0.9299,1.3783,0.7848,23.9299,0.0556,4.4534,0.9048,28.2714,43649,0.0248,0.7734,42641,0.0486,0.7384,0.0076,0.005,0.9299,0.0026,41.0017,0.0014,48.4489,2.9323,57.2583,65.1125,44.7709,0.0044,3,40.1006,0.7982,65.1125,0.9957,40.1006,3,0.9611,0.2241,760,0.0467,3,?,?,?,4.9022,0.0025,0.0522,0.0441,0.0045,324.91,0.2071,306,0.0026,0.2128,0.1359,0.0922,0.36,325,0.8585,0
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,7.1515,0.1839,0.2791,0.5703,0.1178,0.0107,6.1613,0,0.016,0.0647,1.6871,0,0.0013,0.6947,0.9785,36888,0.6574,0.0375,36888,0.1053,0.0348,0.1204,0.0025,0,0.0025,18.0426,0.0006,18.4401,1.6947,19.0106,19.7884,18.5081,0.0021,2,17.4623,0.0713,19.7884,0.9114,17.4623,2,0.1842,0.1413,95,0.0436,2,?,?,?,1.6892,0.0711,0.0852,0.1913,0.1052,11.043,0.0642,8,0.0011,0.3199,0.38,0.0183,0.136,11,0.241,0
