@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE FORALL_NEG_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC

@DATA
Adder2-6-s-shuffled,1,1.308137,2705,0.216597,2765,856.666667,0.726783,0.79617,0.55674,1485,0.885224,2570,2426,0.956611,1852,2.011384,8160,0.444877,7.415385,3.707692,0.414678,10.292308,0.433194,0.566513,0.840854,0.088603,195,6.54792,0.354657,0.216597,1,0.426414,1
adder-4-sat-shuffled,1,3,244,1.049057,280,87,0.030189,0.370044,0.729904,522,1.064863,174,16,0.741029,8,3.883019,3110,0.984906,9.924528,5.245283,0.14083,9.018868,1.984906,0.809953,0.781498,0.159486,106,6.328571,0.091318,0.935849,1.120968,0.108165,1.120968
adder-6-sat-shuffled,1,3.091049,570,1.052423,648,205.5,0.019063,0.331842,0.75084,1247,1.086332,411,24,0.725786,12,4.399523,8039,0.990469,10.548523,5.590717,0.123948,9.616034,1.985703,0.829222,0.805335,0.146162,237,6.516975,0.084339,0.93328,1.12766,0.094829,1.12766
adder-8-sat-shuffled,1,3.131849,1032,1.053136,1168,374,0.013937,0.30458,0.766531,2280,1.107439,748,32,0.719382,16,4.839721,15668,0.993031,10.847619,5.757143,0.112944,9.9,1.984321,0.842999,0.821982,0.136456,420,6.601027,0.079142,0.931185,1.130964,0.085781,1.130964
adder-8-unsat-shuffled,1,3.106599,1032,0.377768,1182,485,0.001737,0.192241,0.838756,2302,1.134441,970,4,0.842752,1,9.205818,22773,0.999566,7.415094,4.103774,0.08235,8.207547,0.682588,0.902284,0.963248,0.030826,212,4.773266,0.12304,0.30482,1.239316,0.071472,1.239316
aim-100-1_6-yes1-3-50-shuffled,1,1.722467,700,0.306905,454,177,0.530691,0.681185,0.594819,161,0.93163,354,415,0.8538,621,1.792839,1930,0.205882,5.28,2.4,0.304989,4.8,0.675192,0.642786,0.749129,0.149223,100,3.162996,0.280829,0.368286,0.833333,0.322537,0.833333
aim-100-1_6-yes1-3-90-shuffled,1,1.768617,583,0.360902,376,138,0.506767,0.670363,0.598672,161,0.960283,276,337,0.835395,504,1.756391,1657,0.242105,4.89,2.4,0.298424,4.8,0.735338,0.642775,0.748992,0.150272,100,3.300532,0.256488,0.374436,0.963855,0.304888,0.963855
aim-100-2_0-yes1-2-50-shuffled,1,1.90121,843,0.317073,496,198,0.52492,0.679395,0.595453,199,0.90487,396,495,0.821564,744,1.78579,2331,0.211029,6.47,2.99,0.293681,5.98,0.686108,0.642534,0.74928,0.149292,100,3.504032,0.276276,0.369035,0.859195,0.319507,0.859195
aim-100-2_0-yes1-2-90-shuffled,1,1.971564,732,0.359375,422,161,0.50601,0.670968,0.598456,199,0.924728,322,421,0.805914,633,1.757212,2072,0.239183,6.1,2.99,0.288118,5.98,0.733173,0.642495,0.749194,0.150097,100,3.680095,0.257239,0.373798,0.961415,0.305698,0.961415
aim-100-3_4-yes1-1-90-shuffled,1,2.482143,1219,0.367626,560,230,0.504317,0.668912,0.599193,340,0.855825,460,701,0.739047,1050,1.753957,3468,0.244604,10.3,5.11,0.264192,10.22,0.741007,0.642523,0.750241,0.149654,100,4.644643,0.25346,0.373381,0.984586,0.302722,0.984586
aim-100-6_0-yes1-1-90-shuffled,1,2.951456,2142,0.369092,824,362,0.498561,0.667948,0.599539,597,0.798915,724,1213,0.689271,1836,1.752158,6073,0.245376,18.1,8.98,0.246211,17.96,0.743938,0.642796,0.749519,0.150173,100,5.526699,0.252593,0.374846,0.984649,0.302114,0.984649
aim-100-6_0-yes1-3-90-shuffled,1,2.958637,2134,0.370066,822,361,0.501645,0.668132,0.599473,599,0.799128,722,1220,0.688503,1833,1.752467,6072,0.246299,18.1,9,0.246033,18,0.744243,0.642655,0.75,0.149868,100,5.540146,0.252306,0.374178,0.989011,0.301841,0.989011
aim-100-6_0-yes1-4-90-shuffled,1,2.952555,2135,0.369852,822,361,0.500412,0.668043,0.599505,595,0.798832,722,1215,0.688811,1833,1.751236,6060,0.245058,18.08,8.98,0.246112,17.96,0.744646,0.6427,0.749518,0.150165,100,5.53163,0.25231,0.374794,0.986813,0.301976,0.986813
aim-200-1_6-yes1-2-90-shuffled,1,1.762467,1193,0.360387,762,281,0.503351,0.670829,0.598505,320,0.958231,562,676,0.832761,1023,1.760238,3345,0.238273,4.905,2.42,0.29806,4.84,0.730454,0.642083,0.751748,0.14858,200,3.292651,0.256801,0.370067,0.973843,0.305269,0.973843
aim-200-1_6-yes1-4-90-shuffled,1,1.757853,1188,0.359643,764,282,0.509308,0.6715,0.598265,317,0.957911,564,684,0.833274,1026,1.760238,3343,0.236039,4.895,2.415,0.298532,4.83,0.728965,0.641736,0.752,0.14837,200,3.28534,0.257254,0.369322,0.97379,0.305864,0.97379
aim-200-2_0-yes1-2-90-shuffled,1,1.971564,1469,0.360961,844,322,0.504505,0.669618,0.59894,399,0.924562,644,840,0.803871,1266,1.757958,4149,0.23964,6.11,3.005,0.287235,6.01,0.733934,0.642685,0.750101,0.149675,200,3.683649,0.256206,0.372973,0.967794,0.304779,0.967794
aim-200-3_4-yes1-1-90-shuffled,1,2.479893,2431,0.367207,1119,459.5,0.505586,0.668675,0.599278,678,0.85612,919,1403,0.739676,2097,1.754595,6925,0.244324,10.28,5.095,0.264326,10.19,0.740901,0.642646,0.75012,0.149747,200,4.639857,0.253574,0.373694,0.982642,0.302774,0.982642
aim-200-3_4-yes1-4-90-shuffled,1,2.475045,2453,0.367398,1122,461,0.50018,0.668191,0.599452,676,0.855337,922,1390,0.739045,2103,1.753508,6933,0.243253,10.3,5.105,0.264035,10.21,0.741274,0.642734,0.75,0.149863,200,4.634581,0.253281,0.373875,0.982676,0.302635,0.982676
aim-50-1_6-yes1-1-00-shuffled,1,1.683453,431,0.262821,278,114,0.549145,0.692308,0.590909,81,0.91021,228,257,0.866003,387,1.824786,1144,0.173077,5.8,2.46,0.310489,4.92,0.619658,0.64147,0.752959,0.145979,50,3.053957,0.301573,0.356838,0.736527,0.337248,0.736527
aim-50-1_6-yes1-1-90-shuffled,1,1.771277,296,0.369369,188,69,0.501502,0.671371,0.598311,81,0.959704,138,167,0.825251,252,1.753754,829,0.243243,4.9,2.46,0.296293,4.92,0.735736,0.640967,0.754032,0.147165,50,3.319149,0.253317,0.366366,1.008197,0.302885,1.008197
aim-50-1_6-yes1-2-00-shuffled,1,1.679856,428,0.246253,278,114,0.537473,0.692878,0.59071,80,0.909398,228,251,0.885443,387,1.82227,1141,0.171306,5.8,2.3,0.314491,4.6,0.620985,0.64482,0.740356,0.153374,50,3.021583,0.308501,0.374732,0.657143,0.341737,0.657143
aim-50-1_6-yes1-2-50-shuffled,1,1.715517,359,0.288945,232,91,0.515075,0.683849,0.593878,80,0.927428,182,205,0.87033,318,1.791457,980,0.201005,5.34,2.3,0.308854,4.6,0.670854,0.64513,0.738832,0.155102,50,3.125,0.288776,0.38191,0.756579,0.328032,0.756579
aim-50-1_6-yes1-3-00-shuffled,1,1.676259,421,0.248927,278,114,0.555794,0.693452,0.59051,79,0.910724,228,259,0.88254,387,1.824034,1138,0.169528,5.76,2.32,0.314658,4.64,0.618026,0.643463,0.744048,0.151142,50,3.021583,0.307557,0.369099,0.674419,0.341573,0.674419
aim-50-1_6-yes1-4-50-shuffled,1,1.716814,352,0.31701,226,88,0.525773,0.683099,0.594142,79,0.932175,176,204,0.843524,309,1.78866,956,0.203608,5.24,2.46,0.303618,4.92,0.675258,0.64006,0.755282,0.145397,50,3.172566,0.277197,0.358247,0.884892,0.320845,0.884892
aim-50-1_6-yes1-4-90-shuffled,1,1.760638,295,0.371601,188,69,0.501511,0.672764,0.597813,79,0.960079,138,166,0.823524,252,1.752266,823,0.238671,4.86,2.46,0.296774,4.92,0.734139,0.639629,0.756098,0.145808,50,3.308511,0.252734,0.362538,1.025,0.303226,1.025
aim-50-2_0-yes1-1-90-shuffled,1,1.971429,363,0.363855,210,80,0.510843,0.668821,0.599226,100,0.923705,160,212,0.801048,315,1.751807,1033,0.240964,6.12,3.02,0.286221,6.04,0.737349,0.642692,0.749596,0.150048,50,3.690476,0.254598,0.373494,0.974194,0.303789,0.974194
aim-50-2_0-yes1-2-50-shuffled,1,1.896825,422,0.3159,252,101,0.541841,0.680912,0.594915,100,0.90287,202,259,0.819883,378,1.786611,1180,0.209205,6.52,3.02,0.293625,6.04,0.682008,0.64187,0.750712,0.148305,50,3.496032,0.277119,0.366109,0.862857,0.320243,0.862857
aim-50-2_0-yes1-3-90-shuffled,1,1.980952,366,0.362981,210,80,0.504808,0.670968,0.598456,101,0.924831,160,210,0.802365,315,1.754808,1036,0.242788,6.12,3.02,0.287034,6.04,0.735577,0.642265,0.75,0.149614,50,3.7,0.255792,0.372596,0.974194,0.304487,0.974194
aim-50-3_4-yes1-2-90-shuffled,1,2.492806,604,0.366522,278,114,0.505051,0.668919,0.59919,171,0.856118,228,350,0.740994,522,1.751804,1729,0.246753,10.3,5.08,0.264495,10.16,0.743146,0.643054,0.748069,0.150954,50,4.658273,0.253904,0.376623,0.97318,0.302925,0.97318
aim-50-3_4-yes1-3-90-shuffled,1,2.485714,607,0.363506,280,115,0.50431,0.669231,0.599078,171,0.85554,230,351,0.74318,525,1.752874,1736,0.24569,10.32,5.06,0.265072,10.12,0.741379,0.643328,0.747115,0.151498,50,4.639286,0.255184,0.377874,0.961977,0.303831,0.961977
aim-50-6_0-yes1-3-50-shuffled,1,2.851259,1093,0.358974,437,193.5,0.513622,0.669533,0.59897,295,0.797017,387,641,0.694966,953,1.757212,3107,0.236378,18.28,8.96,0.248316,17.92,0.732372,0.642693,0.749597,0.149984,50,5.331808,0.256839,0.373397,0.961373,0.305561,0.961373
aim-50-6_0-yes1-4-90-shuffled,1,2.965686,1062,0.371594,408,179,0.500413,0.667402,0.599735,299,0.798859,358,606,0.687417,912,1.749794,3023,0.246903,18.08,9,0.24556,18,0.746491,0.642778,0.749586,0.150182,50,5.558824,0.251406,0.374897,0.991189,0.301255,0.991189
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,2.20125,4998,0.090828,3041,589,0.520317,0.750112,0.571392,2231,0.952201,2945,3483,0.981912,4462,2.151479,15618,0.333284,12.666667,6.333333,0.409161,25.666667,0.181655,0.583302,0.931869,0.038929,96,16.50707,0.389679,0.090828,1,0.413145,1
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.495986,13732,0.12517,7349,1185.666667,0.508913,0.750041,0.571415,6114,0.922197,7114,9335,0.960935,12228,2.08292,42799,0.333315,19.540426,9.770213,0.399161,49.021277,0.250341,0.584612,0.906117,0.053646,235,22.460063,0.374939,0.12517,1,0.41018,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.369482,8796,0,7543,7543,0.581874,0.700244,0.588151,3443,1,7543,6581,1,6886,2.217683,25082,0.304421,0,0,0.411849,0,0,0.588151,1,0,0,1.369482,0.411849,0,0,0.411849,0
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,2.351526,25906,0.049117,14383,155.347826,0.515498,0.74272,0.573816,11213,0.963607,14292,17695,0.979254,22608,2.213716,79360,0.326662,37.054945,18.527473,0.406458,1484.747253,0.098235,0.584931,0.962976,0.021245,91,348.669401,0.40494,0.049117,1,0.413126,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.478705,2082,0.018382,1761,41.97561,0.564706,0.731461,0.577547,841,1.006642,1721,1536,1.01022,1762,2.229412,6164,0.309191,2.5,1.25,0.421936,55,0.036765,0.582333,0.985955,0.008112,40,98.168086,0.414341,0.018382,1,0.416782,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.038119,8668,0.050611,5509,67.024691,0.5274,0.74122,0.57431,3689,0.970108,5429,6044,0.988316,7538,2.200349,26376,0.321902,14.5,7.25,0.410014,471,0.101222,0.585139,0.961711,0.02199,80,262.698856,0.4037,0.050611,1,0.412981,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.975149,6298,0.046998,4185,40.86,0.527745,0.748054,0.572065,2689,0.982551,4086,4413,0.999795,5576,2.215977,19316,0.321574,7.939394,3.969697,0.414163,311.393939,0.093997,0.585752,0.964434,0.020346,99,308.780167,0.40759,0.046998,1,0.412519,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.578899,57332,0.049839,29335,201.317241,0.50619,0.746325,0.572631,25121,0.961788,29191,38595,0.976981,50530,2.221992,177018,0.329473,52.777778,26.388889,0.405412,3421.666667,0.099677,0.585036,0.962512,0.021467,144,603.871553,0.405902,0.049839,1,0.412955,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.441961,24442,0.049241,13241,89.69863,0.509098,0.74823,0.572007,10681,0.968192,13096,16563,0.984829,21652,2.223643,75548,0.328303,22.096552,11.048276,0.407409,1333.268966,0.098482,0.586315,0.962929,0.021205,145,562.505853,0.406788,0.049241,1,0.411791,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.670266,71893,0.054378,35747,152.424893,0.502997,0.749035,0.571744,31663,0.959496,35515,48174,0.976333,63790,2.218494,222890,0.330601,44.896552,22.448276,0.40476,4620.068966,0.108756,0.585429,0.959132,0.023366,232,999.371975,0.40489,0.054378,1,0.412392,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.053591,7254,0.04504,4665,41.807339,0.520087,0.749726,0.571518,3121,0.983865,4557,5023,1.00012,6458,2.224891,22358,0.323152,8.055556,4.027778,0.413397,344.444444,0.090081,0.586653,0.965957,0.019456,108,346.191854,0.409026,0.04504,1,0.411665,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.534232,2247,0.016249,1855,55.242424,0.551117,0.733505,0.576866,927,1.00303,1823,1628,1.007755,1918,2.244414,6726,0.313812,3,1.5,0.417744,44,0.032498,0.58547,0.987629,0.007136,32,78.825876,0.415998,0.016249,1,0.413842,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,2.384598,23669,0.045244,13063,133.680412,0.510326,0.745358,0.572948,10319,0.96807,12967,16062,0.982813,20830,2.227045,72942,0.327858,29.666667,14.833333,0.406946,1220,0.090487,0.585938,0.965926,0.019522,96,367.310266,0.407529,0.045244,1,0.412289,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.584416,2522,0.029851,2079,34.254237,0.543881,0.747278,0.572319,1059,1.001986,2021,1822,1.009332,2234,2.239403,7702,0.316119,3.448276,1.724138,0.418829,98.068966,0.059701,0.585043,0.977314,0.012984,58,145.326599,0.414697,0.029851,1,0.413607,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.457335,24801,0.049673,13395,90.753425,0.508017,0.749283,0.571663,10875,0.967741,13250,16793,0.984369,22040,2.225375,76846,0.328987,22.648276,11.324138,0.407041,1371.268966,0.099347,0.586496,0.962622,0.021367,145,564.695931,0.40697,0.049673,1,0.411582,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.594878,47733,0.055938,24405,127.452632,0.505901,0.749142,0.571709,20983,0.959344,24216,32151,0.977007,42344,2.214753,147862,0.330171,37.619048,18.809524,0.404849,3111.322751,0.111877,0.585624,0.957946,0.024043,189,788.477812,0.404249,0.055938,1,0.412151,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.613726,2741,0.037623,2273,25.137931,0.537077,0.759106,0.568471,1165,1.005576,2187,1970,1.014811,2502,2.242094,8500,0.317612,3.209302,1.604651,0.421049,134.627907,0.075245,0.585096,0.97144,0.016235,86,215.976243,0.415294,0.037623,1,0.413205,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.749279,102159,0.057064,49565,142.669565,0.500587,0.750953,0.571117,45193,0.957699,49221,68214,0.975313,91074,2.217513,317728,0.331648,45.209302,22.604651,0.404158,6890.627907,0.114128,0.585613,0.957148,0.024474,344,1520.351458,0.404409,0.057064,1,0.412096,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,2.094995,4307,0.073596,2737,652,0.514998,0.750131,0.571386,1911,0.983254,2608,2953,1.005844,3822,2.185909,13378,0.333275,6.542636,3.271318,0.416762,10.418605,0.147192,0.585659,0.944793,0.031544,129,11.814395,0.39707,0.073596,1,0.411285,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,1.997402,8324,0.05735,5389,59.561798,0.524501,0.739896,0.574747,3529,0.965835,5301,5780,0.986183,7234,2.182214,25312,0.320236,14.363636,7.181818,0.408155,510.363636,0.114701,0.586126,0.956558,0.024968,88,278.531082,0.400284,0.05735,1,0.411686,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.569751,57089,0.053099,29297,189.246753,0.505029,0.745819,0.572797,24993,0.95924,29144,38358,0.975292,50292,2.214083,176230,0.329063,52.718954,26.359477,0.404406,3630.601307,0.106199,0.585349,0.960047,0.022885,153,636.223811,0.404318,0.053099,1,0.412488,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,2.014063,6939,0.050238,4551,37.576271,0.51707,0.749346,0.571642,2977,0.981778,4434,4786,0.999629,6188,2.211322,21398,0.321629,7.948718,3.974359,0.412291,367.076923,0.100475,0.587556,0.961985,0.021731,117,361.990991,0.406627,0.050238,1,0.41052,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.465704,25851,0.061688,13923,70.040816,0.505452,0.749694,0.571528,11313,0.960356,13728,17428,0.981097,23016,2.200348,80122,0.328103,21.815385,10.907692,0.405516,1765.610256,0.123376,0.586671,0.953551,0.026547,195,757.517705,0.401925,0.061688,1,0.410926,1
