@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE gc_bool_lin NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE gc_table NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC

@DATA
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.370714,0,0.333333,0.666667,0,0.629286,0,0.552976,2,0,1200,0,0,4.725
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.501667,2,0,400,0,0,3.99
normalized-army8-9ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.295613,2,0,440,0,0,7.236364
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0,0.5,0,0.666667,2,0,600,0,0,3.333333
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0,0.499374,0,0.667778,2,0,1200,0,0,3.326667
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.451551,7,0,7595,0,0,21.004608
normalized-army13-24bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.201246,2,0,980,0,0,12.265306
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.560224,0,0.333333,0.666667,0,0.439776,0,0.744111,2,0,600,0,0,2.9
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.328857,2,0,800,0,0,6.095
normalized-anna-10.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,3.763869,10,0,1380,0,0,7.144928
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.501882,0,0.333333,0.666667,0,0.498118,0,0.669444,2,0,1200,0,0,3.316667
normalized-army12-21bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.201373,2,0,856,0,0,12.058411
normalized-army10-14ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.280994,2,0,632,0,0,7.696203
normalized-army12-21ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.272422,2,0,856,0,0,8.056075
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.202917,2,0,800,0,0,9.87
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.201653,2,0,800,0,0,9.9275
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.371402,0,0.333333,0.666667,0,0.628598,0,0.553623,2,0,1200,0,0,4.715
normalized-army10-14bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.203979,2,0,632,0,0,11.518987
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.396645,5,0,1060,0,0,15.292453
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0,0.499374,0,0.668056,2,0,1200,0,0,3.325
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.202278,2,0,800,0,0,9.8975
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737333,2,0,300,0,0,2.926667
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.251731,0,0.333333,0.666667,0,0.748269,0,0.468185,2,0,1200,0,0,7.266667
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.328905,2,0,400,0,0,6.095
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0,0.5,0,0.666667,2,0,600,0,0,3.333333
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.329464,2,0,800,0,0,6.0875
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0,0.5,0,0.6675,2,0,1200,0,0,3.328333
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.328935,2,0,800,0,0,6.095
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.604,2,0,200,0,0,3.4
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.602333,2,0,200,0,0,3.4
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.607333,2,0,200,0,0,3.38
normalized-anna-9.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,3.387482,9,0,1242,0,0,7.144928
normalized-army9-12ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.287301,2,0,532,0,0,7.481203
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.201125,2,0,800,0,0,9.95
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.795918,2,0.714286,2100,0,0,3.428571
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.60675,2,0,800,0,0,3.39
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.795918,2,0.714286,2520,0,0,3.428571
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.328255,4,0,4864,0,0,12.901316
normalized-army9-12bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.20725,2,0,532,0,0,11.157895
normalized-22s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.397666,1.879031,0,11246,0.173542,0,7.934002
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500417,2,0,800,0,0,3.9975
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0,0.5,0,0.667778,2,0,600,0,0,3.326667
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.8125,2,0.75,2352,0,0,3.5
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.328964,2,0,400,0,0,6.095
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.387044,6,0,6510,0,0,21.004608
normalized-army13-24ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.269517,2,0,980,0,0,8.208163
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.605083,2,0,800,0,0,3.3975
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.795918,2,0.714286,1680,0,0,3.428571
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0,0.499374,0,0.667778,2,0,1200,0,0,3.326667
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.795918,2,0.714286,2940,0,0,3.428571
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.252685,0,0.333333,0.666667,0,0.747315,0,0.468796,2,0,1200,0,0,7.24
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0,0.5,0,0.666667,2,0,300,0,0,3.333333
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.8125,2,0.75,1960,0,0,3.5
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.84,2,0.8,3240,0,0,3.6
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.8125,2,0.75,3528,0,0,3.5
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.82716,2,0.777778,3024,0,0,3.555556
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.896194,2,0.882353,4352,0,0,3.764706
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.795918,2,0.714286,4200,0,0,3.428571
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.323664,4,0,7664,0,0,13.05428
normalized-army11-17bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.202985,2,0,740,0,0,11.775676
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.583881,1.879397,0,5236,0.173282,0,3.349964
normalized-anna-8.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,3.011095,8,0,1104,0,0,7.144928
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.877551,2,0.857143,4732,0,0,3.714286
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.8125,2,0.75,4312,0,0,3.5
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.8125,2,0.75,1568,0,0,3.5
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.328601,2,0,800,0,0,6.1
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.82716,2,0.777778,2016,0,0,3.555556
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.84,2,0.8,4320,0,0,3.6
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.795918,2,0.714286,3360,0,0,3.428571
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.12892,8,0,12456,0,0,68.53693
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.861111,2,0.833333,2904,0,0,3.666667
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.20194,5,0,10150,0,0,33.252217
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.85124,2,0.818182,9900,0,0,3.636364
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.85124,2,0.818182,3300,0,0,3.636364
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.82716,2,0.777778,4032,0,0,3.555556
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.145035,9,0,14013,0,0,68.53693
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.795918,2,0.714286,3780,0,0,3.428571
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.896194,2,0.882353,6528,0,0,3.764706
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.8125,2,0.75,5488,0,0,3.5
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736333,2,0,600,0,0,2.93
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,0.772727,0,0,0,1,0,102,0,0,2.97327,8.858491,0,939,0.347225,0.995722,2.962264
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.487891,1.878846,0,3908,0.173674,0,4.813942
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.890625,2,0.875,5040,0,0,3.75
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.8125,2,0.75,3920,0,0,3.5
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,0.059133,0,0.227752,0,0.214141,0.785859,101,0.713115,0,0.69024,3.622222,0,1793,0.942265,1.106652,6.69697
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.869822,2,0.846154,3432,0,0,3.692308
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.890625,2,0.875,10800,0,0,3.75
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.48366,1.835321,0,8002,0.202085,0,3.772936
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,0.790698,0,0,0,1,0,136,0,0,3.520095,10.524823,0,1484,0.355613,1.218992,2.964539
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,0,0,0.053478,56,0.117216,0.882784,0,0.940308,306,0.284872,3,0.56044,1638,1.102777,0.33285,33.014652
