@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC

@DATA
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,2.014063,6939
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.465704,25851
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.984335,6553
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.440566,24069
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.676058,72483
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.748267,119519
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.681284,76800
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.588671,2714
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.155031,9204
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.792484,144924
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.542839,17857
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.220938,7796
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,1.359384,1880
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,2.536948,51067
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.716683,4211
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.346722,1901
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.40303,22353
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.931449,5917
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.523114,2337
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.095219,7839
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,2.675102,34830
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,1.637125,4028
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,2.306727,21383
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,2.485384,41053
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.448062,41223
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.207306,12724
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,2.596324,50824
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,1.992324,8020
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.581318,60868
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,2.298831,14386
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.637466,55453
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.688829,75190
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.72763,97951
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.757931,123736
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.375499,1869
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.933718,5862
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.602547,48482
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.12507,8481
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,2.649269,52551
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,2.736275,51396
BLOCKS3i.5.3-shuffled,1,12.594406,1989
BLOCKS3ii.5.2-shuffled,1,9.592199,2044
BLOCKS3iii.5-shuffled,1,4.996094,1679
BLOCKS4ii.7.2-shuffled,1,13.602186,12262
BLOCKS4iii.7-shuffled,1,7.433918,10635
blocks_enc_2_b3_ser--opt-9_-shuffled,1,9.261161,4472
blocks_enc_2_b4_ser--opt-26_-shuffled,1,11.868551,54618
c1_BMC_p1_k2048-shuffled,1,2.816883,4602842
c1_BMC_p2_k1024-shuffled,1,2.913312,2302874
c1_BMC_p2_k128-shuffled,1,4.088913,290402
c1_BMC_p2_k8-shuffled,1,5.669493,41747
c2_Debug_s5_f1_e1_v3-shuffled,1,16.391092,38731
c3_BMC_p1_k256-shuffled,1,4.03651,73224
c3_BMC_p2_k1024-shuffled,1,3.30486,290808
c3_BMC_p2_k2048-shuffled,1,3.170664,580920
c3_BMC_p2_k512-shuffled,1,3.562171,145752
c3_Debug_s3_f2_e2_v2-shuffled,1,5.093693,3118513
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.630282,1057
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,2.630931,1058
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,2.709949,1146
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.710438,1147
C499.blif_0.10_0.20_0_0_inp_exact,1,3.147903,1780
C499.blif_0.10_0.20_0_0_out_exact,1,3.201671,1644
C499.blif_0.10_0.20_0_1_out_exact,1,3.202864,1644
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,3.231803,1786
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,3.237345,1778
c4_BMC_p1_k1024-shuffled,1,2.914502,24622
c4_BMC_p1_k2048-shuffled,1,2.818157,49198
c4_BMC_p1_k512-shuffled,1,3.101519,12334
c4_BMC_p2_k2048-shuffled,1,2.818157,49198
c4_Debug_s3_f1_e1_v3-shuffled,1,76.384183,1388
c4_Debug_s3_f1_e2_v3-shuffled,1,76.384362,1387
c4_Debug_s3_f2_e1_v3-shuffled,1,8.395476,623110
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,2.71348,11468
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.734222,11137
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,2.71335,11469
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,2.734085,11138
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,2.774924,11925
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,2.775201,11921
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.775103,11924
c5_BMC_p1_k32-shuffled,1,5.344273,53822
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.950388,9458
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,2.966653,9667
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.96666,9668
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,2.971214,9554
c6_BMC_p1_k1024-shuffled,1,3.008792,290614
c6_BMC_p1_k256-shuffled,1,3.288294,72790
c6_BMC_p2_k128-shuffled,1,3.636599,36486
c6_BMC_p2_k2048-shuffled,1,2.960571,581046
c6_BMC_p2_k64-shuffled,1,4.260562,18334
C880.blif_0.10_0.20_0_0_inp_exact,1,2.601338,2055
C880.blif_0.10_0.20_0_0_out_exact,1,2.632066,1903
C880.blif_0.10_0.20_0_1_inp_exact,1,2.602294,2054
C880.blif_0.10_0.20_0_1_out_exact,1,2.632066,1903
C880.blif_0.10_1.00_0_0_inp_exact,1,2.629159,2022
C880.blif_0.10_1.00_0_0_out_exact,1,2.643505,1960
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,2.644512,1959
CHAIN23v.24-shuffled,1,3.391185,18076
cmu.dme1.B-f2,1,2.450287,1882
cmu.dme1.B-f3,1,2.529248,3308
cmu.dme1.B-f4-shuffled,1,2.559605,4890
cmu.dme2.B-f2,1,2.548363,2404
cmu.periodic.N-d2-shuffled,1,2.904467,9867
cmu.periodic.N-d4-shuffled,1,2.924205,22521
cmu.periodic.N-f4-shuffled,1,2.928948,24028
comp.blif_0.10_0.20_0_0_inp_exact-shuffled,1,3.045161,562
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,3.133987,564
connect_5x4_3_R-shuffled,1,6.991061,1332
connect_5x4_4_W-shuffled,1,6.52113,1332
connect_6x5_4_D-shuffled,1,7.385425,2713
connect_6x5_5_R-shuffled,1,6.803644,2713
connect_7x6_4_R-shuffled,1,7.986378,4970
connect_7x6_6_W-shuffled,1,7.023348,4970
connect_8x7_3_D-shuffled,1,8.168013,8415
connect_8x7_7_D-shuffled,1,7.191417,8415
connect_9x8_3_R-shuffled,1,8.366279,13408
connect_9x8_6_D-shuffled,1,8.634693,13408
connect_9x8_8_D-shuffled,1,7.329745,13408
Core1108_tbm_02.tex.moduleQ3.2S.000007,1,3.080319,4105
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,3.086983,4105
Core1108_tbm_02.tex.moduleQ3.2S.000026,1,3.073068,4120
Core1108_tbm_02.tex.moduleQ3.2S.000056,1,3.090068,4110
Core1108_tbm_02.tex.moduleQ3.2S.000077,1,3.080319,4105
Core1108_tbm_02.tex.moduleQ3.2S.000095,1,3.079829,4115
Core1108_tbm_02.tex.moduleQ3.2S.000098,1,3.073289,4115
Core1108_tbm_02.tex.moduleQ3.2S.000099,1,3.08313,4115
Core1108_tbm_02.tex.moduleQ3.2S.000108,1,3.08313,4115
Core1108_tbm_03.tex.module.000003,1,2.610302,1356
Core1108_tbm_03.tex.module.000019,1,2.498199,1258
Core1108_tbm_03.tex.module.000021,1,2.504202,1243
Core1108_tbm_03.tex.module.000023,1,2.516206,1243
Core1108_tbm_03.tex.module.000031,1,2.521945,1253
Core1108_tbm_03.tex.module.000034,1,2.502387,1244
Core1108_tbm_03.tex.module.000037,1,2.514215,1202
Core1108_tbm_03.tex.module.000038,1,2.5,1188
Core1108_tbm_03.tex.module.000039,1,2.5,1188
Core1108_tbm_03.tex.module.000048,1,2.484355,1184
Core1108_tbm_03.tex.module.000056,1,2.46124,1148
Core1108_tbm_03.tex.module.000057,1,2.496689,1139
Core1108_tbm_03.tex.module.000058,1,2.516869,1130
Core1108_tbm_03.tex.module.000064,1,2.506793,1121
Core1108_tbm_03.tex.module.000065,1,2.513774,1112
Core1108_tbm_03.tex.module.000090,1,2.61747,1056
Core1108_tbm_03.tex.module.000092,1,2.629231,1047
Core1108_tbm_03.tex.moduleQ3.2S.000002,1,2.974619,3623
Core1108_tbm_03.tex.moduleQ3.2S.000003,1,2.968474,3623
Core1108_tbm_03.tex.moduleQ3.2S.000009,1,2.968573,3628
Core1108_tbm_03.tex.moduleQ3.2S.000011,1,2.977792,3628
Core1108_tbm_03.tex.moduleQ3.2S.000018,1,2.974619,3623
Core1108_tbm_03.tex.moduleQ3.2S.000048,1,2.968573,3628
Core1108_tbm_09.tex.module.000008,1,2.80837,2057
Core1108_tbm_09.tex.module.000009,1,2.80837,2057
Core1108_tbm_09.tex.module.000010,1,2.80837,2057
Core1108_tbm_09.tex.module.000028,1,2.64411,1760
Core1108_tbm_09.tex.module.000033,1,2.591146,1679
Core1108_tbm_09.tex.moduleQ3.10S.000001,1,3.033658,8656
Core1108_tbm_09.tex.moduleQ3.2S.000003,1,3.036979,8651
Core1108_tbm_09.tex.moduleQ3.2S.000005,1,3.033658,8656
Core1108_tbm_09.tex.moduleQ3.2S.000007,1,3.0433,8671
Core1108_tbm_09.tex.moduleQ3.2S.000010,1,3.030322,8666
Core1108_tbm_09.tex.moduleQ3.2S.000011,1,3.033658,8656
Core1108_tbm_09.tex.moduleQ3.9S.000001,1,3.033658,8656
Core1108_tbm_21.tex.module.000008,1,2.741638,1383
Core1108_tbm_21.tex.module.000009,1,2.741638,1383
Core1108_tbm_21.tex.module.000010,1,2.741638,1383
Core1108_tbm_21.tex.module.000014,1,2.672749,1302
Core1108_tbm_21.tex.module.000017,1,2.672749,1302
Core1108_tbm_21.tex.module.000023,1,2.595882,1221
Core1108_tbm_21.tex.module.000026,1,2.632124,1206
Core1108_tbm_21.tex.module.000027,1,2.615187,1206
Core1108_tbm_21.tex.module.000030,1,2.620076,1216
Core1108_tbm_21.tex.module.000091,1,2.774074,943
Core1108_tbm_21.tex.moduleQ3.2S.000002,1,2.976871,3485
Core1108_tbm_21.tex.moduleQ3.2S.000007,1,2.983391,3470
Core1108_tbm_21.tex.moduleQ3.2S.000011,1,2.983448,3475
Core1108_tbm_21.tex.moduleQ3.2S.000014,1,2.976792,3480
Core1108_tbm_21.tex.moduleQ3.2S.000015,1,2.983448,3475
Core1108_tbm_21.tex.moduleQ3.2S.000019,1,2.983448,3475
Core1108_tbm_21.tex.moduleQ3.2S.000024,1,2.983448,3475
Core1108_tbm_21.tex.moduleQ3.2S.000027,1,2.983391,3470
Core1108_tbm_28.tex.moduleQ2.2S.000003,1,2.911273,3213
counter_16,1,3.917767,2242
counter_32-shuffled,1,3.958607,8578
counter_8-shuffled,1,3.837778,610
counter_e_16,1,3.952797,2306
counter_e_8-shuffled,1,3.897059,642
counter_r_16,1,3.951632,2322
counter_r_8-shuffled,1,3.892857,650
counter_re_16,1,4.002831,2386
cube_c11_par---13_-shuffled,1,207.401202,6312
cube_c3_ser--opt-6_-shuffled,1,8.8125,681
cube_c5_ser---14_-shuffled,1,16.251534,2961
cube_c7_ser---23_-shuffled,1,30.805274,6990
cube_c9_par--opt-11_-shuffled,1,123.436422,4284
eijk.S1238.S-d3-shuffled,1,2.828736,1893
eijk.S1423.S-d4-shuffled,1,2.913174,8123
eijk.S208o.S-d4-shuffled,1,2.789474,207
eijk.S208o.S-f4-shuffled,1,2.766922,3576
eijk.S298.S-f2-shuffled,1,2.713684,1950
eijk.S298.S-f4,1,2.857275,4676
eijk.S344.S-f3,1,2.787542,4338
eijk.S349.S-f3,1,2.785156,4321
eijk.S382.S-f4-shuffled,1,2.846483,5562
eijk.S386.S-f2,1,2.77412,3833
eijk.S420.S-f2,1,2.688048,4017
eijk.S526.S-f4-shuffled,1,2.862142,8326
eijk.S641.S-f2,1,2.696655,4664
eijk.S713.S-f2,1,2.698156,4702
emptyroom_e3_ser---19_-shuffled,1,9.286938,4472
emptyroom_e3_ser--opt-20_-shuffled,1,9.126273,4702
emptyroom_e4_par---21_-shuffled,1,22.39786,10396
emptyroom_e4_ser--opt-44_-shuffled,1,14.079268,21658
ev-pr-4x4-11-3-0-0-1-s-shuffled,1,14.476657,42769
ev-pr-4x4-13-3-0-0-1-s-shuffled,1,14.630823,49652
ev-pr-4x4-15-3-0-0-1-s-shuffled,1,14.741702,56535
ev-pr-4x4-17-3-0-0-1-lg-shuffled,1,14.744217,6707
ev-pr-4x4-17-3-0-0-1-s-shuffled,1,14.825281,63418
ev-pr-4x4-5-3-0-0-1-lg-shuffled,1,13.058036,2861
ev-pr-4x4-5-3-0-0-1-s-shuffled,1,13.142765,22120
ev-pr-4x4-7-3-0-0-1-s-shuffled,1,13.872139,29003
ev-pr-4x4-9-3-0-0-1-lg-shuffled,1,14.117061,4143
ev-pr-4x4-9-3-0-0-1-s-shuffled,1,14.247708,35886
ev-pr-6x6-11-5-0-1-2-lg-shuffled,1,17.771818,15556
ev-pr-6x6-13-5-0-1-2-lg-shuffled,1,17.944264,17713
ev-pr-6x6-15-5-0-1-2-lg-shuffled,1,18.071049,19870
ev-pr-6x6-5-5-0-1-2-lg-shuffled,1,16.443981,9085
ev-pr-6x6-5-5-0-1-2-s-shuffled,1,15.526762,159052
ev-pr-6x6-7-5-0-1-2-s-shuffled,1,16.245564,209391
ev-pr-8x8-11-7-0-1-2-lg-shuffled,1,19.687903,32445
