@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE VG_max NUMERIC

@DATA
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,0.0875,13.6877,28.3909,7120,0.0875,0.0875,7120,28.8393,28.4405,27.7896,0.0938,14,13.6385,0.0802,2,28.5321,28.8393,0.6726,17,17,14,80,10,0.1965,0.0055,4482,28.3985,1.7572,27.7896,9.6988,0.4162,0.0111
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,0.1,12.0651,25.3567,6230,0.1,0.1,6230,26.5947,25.5158,24.9568,0.1077,12,12.0849,0.0926,2,25.7795,26.5947,0.6772,15,15,12,70,9,0.2086,0.0063,4491,25.6407,1.856,24.9568,8.6501,0.4084,0.0111
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,0.0068,130.768,30.0397,2545,0.0051,0.0051,2556,39.9817,31.3884,29.6514,0.0118,131,130.73,0.002,4,35.6801,39.9817,0.3106,141,142,131,589,120,0.07,0.0025,3882,32.868,0.3094,29.6514,19.9066,0.395,0.0232
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,0.0003,3382,58.9474,83418,0.0002,0.0002,84000,120,68.3636,32.5385,0.0005,4222,4281.38,0,5,84.3333,94.6,0.2374,4227,4341,4267.5,19502,4215,0.0114,0.0001,11,71.4595,0.1166,50.7,1190,0.4046,0.0011
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,0.0467,25.0552,46.3281,12750,0.0467,0.0467,12750,47.2796,46.9429,45.2154,0.0521,25,24.8028,0.0418,2,47.2796,47.2796,0.6391,30,30,25,150,20,0.1543,0.003,4371,46.4415,1.4105,45.2154,14.056,0.4145,0.0117
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,0.05,20.117,22.8507,2130,0.05,0.05,2130,24.3948,23.6806,22.7653,0.0615,20,20.0829,0.039,2,23.708,24.3948,0.5661,25,24,20,100,16,0.1671,0.0089,4325,23.4234,1.1841,22.7653,8.8106,0.4267,0.0465
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,0.0002,3784,66,146021,0.0001,0.0001,147000,200,82.3333,40.3333,0.0002,3784,7454.75,0,5,105.8571,139,0.224,0,7465,7447.5,34143,7421,0.005,0,6,90.3884,0.1826,56.8571,2313.5,0.1115,0.0005
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1,0.05,20.2585,22.8297,2130,0.05,0.05,2130,25.7534,23.4317,22.8274,0.0601,20,20.2117,0.0371,2,24.0244,25.7534,0.5687,25,25,20,100,16,0.1688,0.0092,4350,23.6895,1.1978,22.8274,8.0772,0.4308,0.0465
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1,0.0002,8539,64,166897,0.0001,0.0001,168000,202,91.5,26.3333,0.0002,8539,8513.5,0,5,109.6667,140,0.2177,8539,8534,8515.5,39032,8474,0.004,0,6,91.8767,0.5718,53.2,1206,1.3145,0.0005
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S913491256-073-UNKNOWN.cnf,1,0.0002,6320,67.0769,125231,0.0001,0.0001,126000,233,83.6,42.875,0.0003,6320,6360.4,0,5,99.5,134,0.2194,6300,6396,6371,29270,6236,0.0125,0.0001,7,88.4753,0.2068,53.25,919,0.6466,0.0006
SAT11/random/large/unif-k5-r20-v1500-c30000-S303265982-092-UNKNOWN.cnf,1,0.0033,285.966,60.7097,30000,0.0033,0.0033,30000,90.0833,66.0435,46.16,0.0043,287,287.608,0.0023,3,71.85,76.6875,0.4692,306,304,287,1500,271,0.049,0.0006,31,66.4209,0.2714,55.65,79.6537,0.3771,0.0146
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S31505198-038.UNKNOWN.cnf,1,0.0333,29.7083,30.8469,3195,0.0333,0.0333,3195,33.0958,31.5157,30.3354,0.0423,30,29.7067,0.0244,3,32.9055,33.0958,0.5418,35,35,30,150,24,0.141,0.0059,4273,31.7884,1.0053,30.3354,12.501,0.4343,0.0463
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S375894551-007.UNKNOWN.cnf,1,0.0333,29.6066,31.6269,3195,0.0333,0.0333,3195,33.7334,31.972,30.955,0.0423,29,29.4587,0.0241,3,33.1368,33.7334,0.5405,35,35,29,150,24,0.1418,0.0066,4312,32.2049,1.0089,30.955,12.9832,0.4261,0.0463
SAT11/random/medium/unif-k7-r89-v80-c7120-S1623694027-006.SATISFIABLE.cnf,1,0.0875,13.7394,28.4267,7120,0.0875,0.0875,7120,29.1253,28.5106,27.9901,0.0958,14,13.8743,0.0801,2,28.5159,29.1253,0.6697,17,17,14,80,11,0.199,0.006,4452,28.5137,1.7419,27.9901,9.4743,0.4213,0.0111
SAT11/random/medium/unif-k7-r89-v80-c7120-S1901567697-013.UNKNOWN.cnf,1,0.0875,13.7505,28.2044,7120,0.0875,0.0875,7120,29.1588,28.3577,27.8808,0.0973,14,13.788,0.0801,2,28.4983,29.1588,0.6707,17,17,14,80,10,0.199,0.0054,4504,28.42,1.758,27.8808,9.8159,0.4224,0.0111
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S895193371-061.UNKNOWN.cnf,1,0.0129,86.5656,23.1441,1693,0.0078,0.0078,1704,23.8866,23.4128,22.463,0.0183,86,86.3066,0.003,4,23.8661,23.8866,0.3267,95,95,86,389,78,0.0802,0.0039,3966,23.4231,0.3739,22.463,14.7744,0.383,0.0366
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S874954918-011.SATISFIABLE.cnf,1,0.0112,118.939,29.3663,2331,0.0056,0.0056,2343,38.1678,30.0989,27.8871,0.0107,119,119.308,0.0021,4,32.9217,38.1678,0.3191,129,130,119,537,109,0.067,0.0028,3910,31.2851,0.3221,27.8871,18.4348,0.3584,0.021
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf,1,0.0021,527.222,32.2734,10427,0.0013,0.0013,10500,43.51,34.3874,29.3115,0.0035,528,529.8,0.0004,4,35.9032,36.9828,0.2639,547,551,529,2433,512,0.0298,0.0006,118,34.2843,0.1327,30.9029,78.3389,0.2952,0.0072
SAT11/random/medium/unif-k7-r89-v90-c8010-S2014736708-037.SATISFIABLE.cnf,1,0.0778,15.3491,31.0778,8010,0.0778,0.0778,8010,32.2223,31.0874,30.556,0.0876,15,15.3607,0.0702,2,31.3013,32.2223,0.6631,19,19,15,90,12,0.1847,0.0044,4454,31.249,1.7221,30.556,10.591,0.4155,0.0111
SAT11/random/medium/unif-k7-r89-v80-c7120-S199880667-010.UNKNOWN.cnf,1,0.0875,13.6807,28.2257,7120,0.0875,0.0875,7120,29.106,28.4435,28.0041,0.0934,14,13.7092,0.0824,2,28.7396,29.106,0.6703,17,17,14,80,10,0.1986,0.0051,4462,28.5038,1.7549,28.0041,9.9186,0.4115,0.0111
SAT11/random/medium/unif-k7-r89-v60-c5340-S239039906-021.SATISFIABLE.cnf,1,0.1167,10.4885,22.5787,5340,0.1167,0.1167,5340,23.0636,22.5915,22.5249,0.1255,10,10.4649,0.1064,2,22.6422,23.0636,0.6906,13,13,10,60,8,0.2163,0.0074,4517,22.6802,1.8856,22.5249,7.8041,0.4246,0.011
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S643238994-057-UNKNOWN.cnf,1,0.0002,6408.5,63.2857,125159,0.0001,0.0001,126000,261,77.125,42.5,0.0003,6408.5,6343,0,5,92.5,116.25,0.2233,6393,6355,6347,29224,6299,0.0041,0.0001,6,82.2434,0.1658,55.5,976,0.2624,0.0006
SAT11/random/medium/unif-k3-r4.26-v300-c1278-S1869766438-024.UNKNOWN.cnf,1,0.0169,65.6208,18.9747,1273,0.0102,0.0102,1278,22.3901,19.69,18.2385,0.0196,66,65.7542,0.0008,4,21.6365,22.3901,0.3492,73,73,66,295,58,0.0891,0.0051,4050,20.1429,0.4482,18.2385,11.4905,0.3983,0.0353
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S379804333-028-UNKNOWN.cnf,1,0.0002,6405.5,64.25,125227,0.0001,0.0001,126000,168,79,38.1429,0.0003,6405.5,6388.4,0,5,98.5,121,0.2125,6347,6412,6388,29267,6336,0.0067,0.0001,8,83.1979,0.164,51.75,1425,0.2233,0.0006
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S899463426-096.UNKNOWN.cnf,1,0.0073,151.459,34.5611,2970,0.0044,0.0044,2982,40.5037,34.9964,33.2303,0.0135,151,151.259,0.0017,4,38.9151,40.5037,0.3005,163,163,151,688,139,0.0611,0.0022,3734,36.0361,0.2785,33.2303,27.2708,0.3417,0.0266
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S222128792-011.SATISFIABLE.cnf,1,0.0114,97.6287,25.1837,1908,0.0069,0.0069,1917,29.0817,25.3925,24.795,0.0152,98,97.5881,0.0016,4,27.3746,29.0817,0.3257,107,107,97.5,439,88,0.0755,0.0034,3980,26.2126,0.3609,24.795,15.5148,0.396,0.0288
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S2088689288-085.SATISFIABLE.cnf,1,0.0114,97.7286,24.8321,1907,0.0069,0.0069,1917,30.9341,25.5448,24.3399,0.0168,98,97.8403,0.0031,4,29.6933,30.9341,0.3271,107,107,98,439,88,0.0791,0.0033,4036,26.7516,0.367,24.3399,14.2136,0.4254,0.0336
SAT11/random/large/unif-k3-r4.2-v25000-c105000-S92008434-079-UNKNOWN.cnf,1,0.0002,5315.33,63.5,104349,0.0001,0.0001,105000,161.25,79.8333,33.8,0.0004,5319,5328.33,0,5,92,111.7143,0.2386,5319,5354,5339,24381,5260,0.0076,0.0001,9,81.0534,0.1271,49.9091,992.333,0.0709,0.0008
SAT11/random/large/unif-k5-r20-v1500-c30000-S1305346115-067-UNKNOWN.cnf,1,0.0033,287.095,60.0417,30000,0.0033,0.0033,30000,93.2,66.2632,51.4643,0.0045,289,284.396,0.0023,3,71.12,76.0588,0.4711,307,304,286.5,1500,268,0.0996,0.0006,29,65.762,0.2863,55.7391,80.7,0.8477,0.0148
SAT11/random/medium/unif-k5-r21.3-v125-c2662-S1258495116-025.SATISFIABLE.cnf,1,0.04,24.8409,27.3432,2662,0.04,0.04,2662,29.7435,28.1858,26.915,0.0496,25,24.8983,0.0316,2,28.6993,29.7435,0.5522,30,30,25,125,20,0.152,0.0072,4336,28.0695,1.0878,26.915,10.4917,0.4311,0.0466
SAT11/random/medium/unif-k5-r21.3-v75-c1597-S445191369-092.SATISFIABLE.cnf,1,0.0667,15.197,18.5709,1597,0.0667,0.0667,1597,19.7982,19.1001,18.5133,0.0808,15,15.1587,0.0551,2,19.2159,19.7982,0.5869,19,19,15,75,12,0.1897,0.0119,4483,19.0161,1.3218,18.5133,7.3937,0.4228,0.0463
SAT11/random/large/unif-k7-r85-v250-c21250-S1116436500-050-UNKNOWN.cnf,1,0.028,41.5316,47.0904,21250,0.028,0.028,21250,60.0109,48.0049,44.3925,0.0317,41,41,0.0248,2,49.8137,51.1828,0.6217,48,48,41,250,35,0.132,0.0017,214,48.6555,1.2054,46.4354,21.6302,0.4533,0.0117
SAT11/random/large/unif-k3-r4.2-v25000-c105000-S109959541-056-UNKNOWN.cnf,1,0.0003,5268,55.3333,104285,0.0001,0.0001,105000,132.3333,72.875,39.6667,0.0004,5247,5314.5,0,5,89.2,103.4,0.2235,5247,5336,5300.5,24383,5280,0.0071,0.0001,8,74.6257,0.1453,47.7143,749.333,0.3674,0.0008
SAT11/random/large/unif-k5-r20-v750-c15000-S64285713-004-UNKNOWN.cnf,1,0.0067,143.194,47.25,15000,0.0067,0.0067,15000,59.7333,50.9516,41.1167,0.0086,143,142.95,0.0048,3,52.7209,55.8182,0.485,156,155,143,750,130,0.0692,0.0012,68,50.5573,0.3979,45.5441,42.0714,0.3759,0.0251
SAT11/random/medium/unif-k7-r89-v80-c7120-S1639347701-083.SATISFIABLE.cnf,1,0.0875,13.7451,28.4063,7120,0.0875,0.0875,7120,28.88,28.4205,28.0547,0.0931,14,13.835,0.0808,2,28.69,28.88,0.6706,17,17,14,80,10,0.1989,0.0054,4472,28.4903,1.7599,28.0547,9.6793,0.4177,0.0111
SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0.1,12.1619,25.5571,6230,0.1,0.1,6230,26.0076,25.8168,25.0936,0.1071,12,12.0252,0.0912,2,25.8362,26.0076,0.6786,15,15,12,70,9,0.2096,0.0063,4480,25.6623,1.8019,25.0936,8.8384,0.4229,0.0111
SAT11/random/large/unif-k5-r20-v750-c15000-S957625236-045-UNKNOWN.cnf,1,0.0067,143.701,48.28,15000,0.0067,0.0067,15000,60.1032,51.0213,43.8261,0.0087,144,143.345,0.0045,3,54.1982,55.8542,0.4836,156,156,144,750,130,0.0679,0.0012,69,51.0479,0.4171,46.3077,41.4089,0.4551,0.0258
SAT11/random/large/unif-k3-r4.2-v5000-c21000-S901912629-090-UNKNOWN.cnf,1,0.0012,1062.74,38.925,20886,0.0006,0.0006,21000,52.7363,41.7018,33.5333,0.0016,1061,1064,0.0001,5,44.9429,48.0588,0.2484,1085,1102,1064,4874,1023,0.0271,0.0003,54,42.0619,0.098,36.4615,141.585,0.2785,0.0034
SAT11/random/large/unif-k5-r20-v1250-c25000-S313445894-099-UNKNOWN.cnf,1,0.004,238.557,57.3824,25000,0.004,0.004,25000,76.9545,61.2308,50.3939,0.0054,240,239.385,0.0024,3,67.8571,72.5574,0.47,256,253,239,1250,225,0.05,0.0007,35,62.5204,0.3021,53.8095,68.7036,0.335,0.0178
SAT11/random/large/unif-k7-r85-v250-c21250-S381985918-018-UNKNOWN.cnf,1,0.028,41.4695,48.1209,21250,0.028,0.028,21250,58.9761,49.4682,45.7053,0.031,41,41.3307,0.0244,2,50.7773,53.3141,0.6215,49,49,41,250,34,0.1344,0.0017,245,49.6914,1.197,46.3158,21.7964,0.4152,0.0117
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S380157195-014.SATISFIABLE.cnf,1,0.0115,96.0299,25.0392,1901,0.007,0.007,1917,30.0567,25.4252,23.7679,0.0153,96,96.2443,0.0026,4,29.5908,30.0567,0.327,105,106,96,434,87,0.0759,0.0034,4021,26.4906,0.3625,23.7679,15.6735,0.3767,0.0279
SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1110880865-004.SATISFIABLE.cnf,1,0.0286,34.7645,34.5153,3727,0.0286,0.0286,3727,39.0749,35.031,33.5832,0.0365,35,34.8097,0.0217,3,37.7006,39.0749,0.5324,41,41,35,175,29,0.1312,0.0051,4239,35.9378,0.9292,33.5832,13.2272,0.4206,0.0456
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1336161514-068.UNKNOWN.cnf,1,0.05,20.0789,22.8011,2130,0.05,0.05,2130,25.2968,23.3401,22.7919,0.0596,20,20.0454,0.039,2,23.8163,25.2968,0.568,24,25,20,100,16,0.1687,0.0093,4316,23.5531,1.1989,22.7919,8.7535,0.4281,0.0465
SAT11/random/medium/unif-k7-r89-v60-c5340-S1831136826-075.UNKNOWN.cnf,1,0.1167,10.4062,22.5398,5340,0.1167,0.1167,5340,23.0966,22.5671,22.2968,0.1262,10,10.4551,0.1058,2,22.7132,23.0966,0.6903,13,13,10,60,8,0.2183,0.0074,4502,22.6427,1.9006,22.2968,7.8964,0.4248,0.011
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S1114532273-035.SATISFIABLE.cnf,1,0.0074,119.094,28.8798,2323,0.0056,0.0056,2343,32.6095,29.4887,28.1707,0.0116,119,119.005,0.0013,4,32.4091,32.6095,0.3148,129,129,119,538,109,0.0676,0.0027,3887,30.1399,0.3204,28.1707,19.0946,0.3739,0.0232
SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1592669696-022.SATISFIABLE.cnf,1,0.0286,34.508,34.2444,3727,0.0286,0.0286,3727,36.9425,35.5456,33.9285,0.0346,34,34.5415,0.0196,3,36.8459,36.9425,0.5333,41,41,34,175,29,0.1337,0.0053,4237,35.4899,0.9443,33.9285,14.0357,0.4329,0.0453
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S224791863-033.UNKNOWN.cnf,1,0.0085,130.664,30.5134,2544,0.0051,0.0051,2556,36.1614,31.568,29.7649,0.0106,130,130.429,0.002,4,34.998,36.1614,0.311,142,141,131,588,120,0.0653,0.0025,3907,32.1957,0.3001,29.7649,21.6727,0.3483,0.0216
SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,0.0875,13.7232,28.3487,7120,0.0875,0.0875,7120,29.3166,28.372,28.2105,0.0958,14,13.6838,0.0781,2,28.6203,29.3166,0.6703,17,17,14,80,10,0.2003,0.0055,4456,28.5736,1.7922,28.2105,9.8338,0.4134,0.0111
SAT11/random/medium/unif-k7-r89-v70-c6230-S2045410966-069.SATISFIABLE.cnf,1,0.1,12.1403,25.6296,6230,0.1,0.1,6230,26.182,25.6631,25.5792,0.1103,12,12.0567,0.0888,2,25.6641,26.182,0.6795,15,15,12,70,9,0.2076,0.0061,4512,25.7436,1.7996,25.5792,8.815,0.4178,0.0111
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S1339958817-007.UNKNOWN.cnf,1,0.0085,129.178,29.9869,2546,0.0051,0.0051,2556,37.217,30.3663,28.9764,0.0122,129,129.622,0.002,4,36.8109,37.217,0.3068,140,140,130,589,119,0.068,0.0025,3902,32.3752,0.2983,28.9764,24.6545,0.3828,0.0224
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S1744841484-003.SATISFIABLE.cnf,1,0.0073,151.66,34.025,2969,0.0044,0.0044,2982,42.4387,34.4658,33.9806,0.0101,152,151.452,0.001,4,38.2725,42.4387,0.3053,163,163,151,686,140,0.0616,0.0022,3714,36.1473,0.2793,33.9806,22.2332,0.3541,0.0199
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S1386494586-003-UNKNOWN.cnf,1,0.0003,2794.88,50.5714,62563,0.0002,0.0002,63000,105.0909,57.625,34.3846,0.0006,3173,3200.64,0,5,67.6875,78.1429,0.2336,3226,3243,3193,14604,3162,0.0112,0.0001,15,59.6007,0.0794,43.125,640.625,0.1602,0.0012
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S690749326-001.UNKNOWN.cnf,1,0.0128,86.1355,23.1007,1694,0.0078,0.0078,1704,25.4919,24.1292,21.327,0.0159,86,86.0802,0.0035,4,25.0661,25.4919,0.3315,95,95,86,390,77,0.0818,0.0039,3960,23.8191,0.3744,21.327,15.5977,0.4142,0.0319
SAT11/random/large/unif-k5-r20-v2000-c40000-S922811046-076-UNKNOWN.cnf,1,0.0025,379.756,66.4706,40000,0.0025,0.0025,40000,109.1875,71.5625,49.2857,0.0034,381,382.2,0.0017,3,78.875,87.8462,0.4634,403,401,381,2000,362,0.0399,0.0005,20,73.3461,0.2254,60.4545,111.21,0.2948,0.0122
SAT11/random/medium/unif-k7-r89-v90-c8010-S1475406203-080.UNKNOWN.cnf,1,0.0778,15.3228,31.2588,8010,0.0778,0.0778,8010,32.0622,31.3308,30.6324,0.0871,15,15.3914,0.072,2,32.0622,32.0622,0.6623,19,19,15,90,12,0.1895,0.005,4499,31.3211,1.692,30.6324,10.6857,0.4087,0.0111
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S1694067460-072.UNKNOWN.cnf,1,0.0093,118.109,27.3653,2330,0.0057,0.0057,2343,33.0964,27.8994,26.8871,0.012,118,117.815,0.0021,4,32.593,33.0964,0.3062,129,128,118,536,108,0.0675,0.0028,4016,29.303,0.3174,26.8871,19.7899,0.3741,0.0232
