@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_var_bool NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC

@DATA
2-insertions-3-4.xml.watchless.minion.gz,1,0,0,0.108108,37,37,37,0,0.054054,0.054054,72,0.105186,263,0,0,0,3.891892
2-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0,0.013423,0.013423,541,0.048737,324,0,0,0,7.261745
2-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0,0.013423,0.013423,541,0.048737,263,0,0,0,7.261745
2-insertions-4-5.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0,0.013423,0.013423,541,0.048737,184,0,0,0,7.261745
2-insertions-5-3.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,324,0,0,0,13.18593
2-insertions-5-4.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,263,0,0,0,13.18593
2-insertions-5-5.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,184,0,0,0,13.18593
2-insertions-5-6.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,169,0,0,0,13.18593
3-fullins-3-5.xml.watchless.minion.gz,1,0,0,0.109494,80,80,80,0,0.025,0.025,346,0.108125,184,0,0,0.051742,8.65
3-fullins-3-6.xml.watchless.minion.gz,1,0,0,0.109494,80,80,80,0,0.025,0.025,346,0.108125,169,0,0,0.051742,8.65
3-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0,0.004938,0.004938,3524,0.042969,184,0,0,0.01485,17.402469
3-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0,0.004938,0.004938,3524,0.042969,169,0,0,0.01485,17.402469
3-fullins-4-7.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0,0.004938,0.004938,3524,0.042969,154,0,0,0.01485,17.402469
3-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,184,0,0,0.004678,33.252217
3-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,169,0,0,0.004678,33.252217
3-fullins-5-7.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,154,0,0,0.004678,33.252217
3-fullins-5-8.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,136,0,0,0.004678,33.252217
3-insertions-3-3.xml.watchless.minion.gz,1,0,0,0.071429,56,56,56,0,0.035714,0.035714,110,0.070153,324,0,0,0,3.928571
3-insertions-3-4.xml.watchless.minion.gz,1,0,0,0.071429,56,56,56,0,0.035714,0.035714,110,0.070153,263,0,0,0,3.928571
3-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.026589,281,281,281,0,0.007117,0.007117,1046,0.026494,324,0,0,0,7.44484
3-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.026589,281,281,281,0,0.007117,0.007117,1046,0.026494,263,0,0,0,7.44484
3-insertions-4-5.xml.watchless.minion.gz,1,0,0,0.026589,281,281,281,0,0.007117,0.007117,1046,0.026494,184,0,0,0,7.44484
3-insertions-5-3.xml.watchless.minion.gz,1,0,0,0.009816,1406,1406,1406,0,0.001422,0.001422,9695,0.009809,324,0,0,0,13.790896
3-insertions-5-4.xml.watchless.minion.gz,1,0,0,0.009816,1406,1406,1406,0,0.001422,0.001422,9695,0.009809,263,0,0,0,13.790896
3-insertions-5-5.xml.watchless.minion.gz,1,0,0,0.009816,1406,1406,1406,0,0.001422,0.001422,9695,0.009809,184,0,0,0,13.790896
3-insertions-5-6.xml.watchless.minion.gz,1,0,0,0.009816,1406,1406,1406,0,0.001422,0.001422,9695,0.009809,169,0,0,0,13.790896
4-fullins-3-6.xml.watchless.minion.gz,1,0,0,0.083993,114,114,114,0,0.017544,0.017544,541,0.083256,169,0,0,0.044685,9.491228
4-fullins-3-7.xml.watchless.minion.gz,1,0,0,0.083993,114,114,114,0,0.017544,0.017544,541,0.083256,154,0,0,0.044685,9.491228
4-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.027976,690,690,690,0,0.002899,0.002899,6650,0.027935,169,0,0,0.011068,19.275362
4-fullins-4-7.xml.watchless.minion.gz,1,0,0,0.027976,690,690,690,0,0.002899,0.002899,6650,0.027935,154,0,0,0.011068,19.275362
4-fullins-4-8.xml.watchless.minion.gz,1,0,0,0.027976,690,690,690,0,0.002899,0.002899,6650,0.027935,136,0,0,0.011068,19.275362
4-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.008997,4146,4146,4146,0,0.000482,0.000482,77305,0.008995,184,0,0,0.003157,37.291365
4-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.008997,4146,4146,4146,0,0.000482,0.000482,77305,0.008995,169,0,0,0.003157,37.291365
4-fullins-5-7.xml.watchless.minion.gz,1,0,0,0.008997,4146,4146,4146,0,0.000482,0.000482,77305,0.008995,154,0,0,0.003157,37.291365
4-fullins-5-8.xml.watchless.minion.gz,1,0,0,0.008997,4146,4146,4146,0,0.000482,0.000482,77305,0.008995,136,0,0,0.003157,37.291365
4-insertions-3-3.xml.watchless.minion.gz,1,0,0,0.050633,79,79,79,0,0.025316,0.025316,156,0.049992,324,0,0,0,3.949367
4-insertions-3-4.xml.watchless.minion.gz,1,0,0,0.050633,79,79,79,0,0.025316,0.025316,156,0.049992,263,0,0,0,3.949367
4-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.015945,475,475,475,0,0.004211,0.004211,1795,0.015911,324,0,0,0,7.557895
4-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.015945,475,475,475,0,0.004211,0.004211,1795,0.015911,263,0,0,0,7.557895
4-insertions-4-5.xml.watchless.minion.gz,1,0,0,0.015945,475,475,475,0,0.004211,0.004211,1795,0.015911,184,0,0,0,7.557895
5-fullins-3-6.xml.watchless.minion.gz,1,0,0,0.067227,154,154,154,0,0.012987,0.012987,792,0.06679,169,0,0,0.039801,10.285714
5-fullins-3-7.xml.watchless.minion.gz,1,0,0,0.067227,154,154,154,0,0.012987,0.012987,792,0.06679,154,0,0,0.039801,10.285714
5-fullins-3-8.xml.watchless.minion.gz,1,0,0,0.067227,154,154,154,0,0.012987,0.012987,792,0.06679,136,0,0,0.039801,10.285714
5-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.019377,1085,1085,1085,0,0.001843,0.001843,11395,0.019359,169,0,0,0.008712,21.004608
5-fullins-4-7.xml.watchless.minion.gz,1,0,0,0.019377,1085,1085,1085,0,0.001843,0.001843,11395,0.019359,154,0,0,0.008712,21.004608
5-fullins-4-8.xml.watchless.minion.gz,1,0,0,0.019377,1085,1085,1085,0,0.001843,0.001843,11395,0.019359,136,0,0,0.008712,21.004608
5-fullins-4-9.xml.watchless.minion.gz,1,0,0,0.019377,1085,1085,1085,0,0.001843,0.001843,11395,0.019359,96,0,0,0.008712,21.004608
abb313GPIA-10.xml.watchless.minion.gz,1,0,0,0.044047,1557,1557,1557,0,0.001285,0.001285,65390,0.044019,104,0,0,0.440231,83.994862
abb313GPIA-5.xml.watchless.minion.gz,1,0,0,0.044047,1557,1557,1557,0,0.001285,0.001285,65390,0.044019,184,0,0,0.440231,83.994862
abb313GPIA-7.xml.watchless.minion.gz,1,0,0,0.044047,1557,1557,1557,0,0.001285,0.001285,65390,0.044019,154,0,0,0.440231,83.994862
abb313GPIA-8.xml.watchless.minion.gz,1,0,0,0.044047,1557,1557,1557,0,0.001285,0.001285,65390,0.044019,136,0,0,0.440231,83.994862
abb313GPIA-9.xml.watchless.minion.gz,1,0,0,0.044047,1557,1557,1557,0,0.001285,0.001285,65390,0.044019,96,0,0,0.440231,83.994862
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.071919,100,100,100,154,0.029935,0.029935,154,0.0712,273,100,0,0.300758,4.61
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.071717,100,100,100,156,0.029936,0.029936,156,0.071,260,100,0,0.291397,4.67
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.074141,100,100,100,156,0.03,0.03,156,0.0734,257,100,0,0.292261,4.68
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.073333,100,100,100,157,0.03,0.03,157,0.0726,273,0,0,0.283001,4.71
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.082828,100,100,100,157,0.03,0.03,157,0.082,273,0,0,0.256906,4.71
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.078788,100,100,100,150,0.029867,0.029867,150,0.078,273,0,0,0.244708,4.48
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.080404,100,100,100,152,0.029934,0.029934,152,0.0796,273,0,0,0.262989,4.55
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.08202,100,100,100,157,0.029873,0.029873,157,0.0812,266,0,0,0.233664,4.69
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.090505,100,100,100,194,0.029948,0.029948,194,0.0896,257,0,0,0.256198,5.81
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.093737,100,100,100,197,0.029898,0.029898,197,0.0928,260,0,0,0.266276,5.89
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.089899,100,100,100,191,0.029948,0.029948,191,0.089,273,100,0,0.240865,5.72
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.093131,100,100,100,195,0.03,0.03,195,0.0922,259,0,0,0.266799,5.85
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.104444,100,100,100,196,0.03,0.03,196,0.1034,257,0,0,0.203524,5.88
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.102424,100,100,100,192,0.03,0.03,192,0.1014,273,0,0,0.210251,5.76
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.099798,100,100,100,193,0.029896,0.029896,193,0.0988,266,0,0,0.213915,5.77
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.100808,100,100,100,191,0.03,0.03,191,0.0998,264,0,0,0.208253,5.73
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.150909,100,100,100,320,0.029969,0.029969,320,0.1494,260,100,0,0.223638,9.59
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.151515,100,100,100,316,0.029905,0.029905,316,0.15,273,0,0,0.22448,9.45
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.149091,100,100,100,312,0.03,0.03,312,0.1476,273,0,0,0.229624,9.36
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.150505,100,100,100,317,0.029968,0.029968,317,0.149,266,0,0,0.224893,9.5
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.243838,100,100,100,559,0.029946,0.029946,559,0.2414,273,100,0,0.276498,16.74
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.242222,100,100,100,559,0.029982,0.029982,559,0.2398,273,100,0,0.275169,16.76
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.249091,100,100,100,561,0.029964,0.029964,561,0.2466,273,100,0,0.270754,16.81
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.243434,100,100,100,570,0.02993,0.02993,570,0.241,273,100,0,0.271467,17.06
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.037186,200,200,200,315,0.014984,0.014984,315,0.037,257,200,0,0.265766,4.72
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.037136,200,200,200,316,0.014984,0.014984,316,0.03695,259,200,0,0.274864,4.735
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.036985,200,200,200,311,0.014984,0.014984,311,0.0368,273,200,0,0.264593,4.66
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.037136,200,200,200,318,0.014937,0.014937,318,0.03695,257,200,0,0.270617,4.75
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.04201,200,200,200,308,0.014984,0.014984,308,0.0418,273,0,0,0.203094,4.615
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.042111,200,200,200,302,0.014983,0.014983,302,0.0419,273,0,0,0.207924,4.525
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.040553,200,200,200,309,0.014968,0.014968,309,0.04035,266,4,0,0.224664,4.625
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.042663,200,200,200,316,0.015,0.015,316,0.04245,273,2,0,0.213373,4.74
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.046533,200,200,200,386,0.014987,0.014987,386,0.0463,259,200,0,0.221781,5.785
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.046482,200,200,200,382,0.014987,0.014987,382,0.04625,273,200,0,0.222263,5.725
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.046482,200,200,200,387,0.014987,0.014987,387,0.04625,273,1,0,0.223516,5.8
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.046533,200,200,200,389,0.014974,0.014974,389,0.0463,273,200,0,0.220676,5.825
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.05206,200,200,200,389,0.014987,0.014987,389,0.0518,266,0,0,0.175146,5.83
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.051658,200,200,200,383,0.014987,0.014987,383,0.0514,273,0,0,0.168009,5.74
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.051859,200,200,200,388,0.014974,0.014974,388,0.0516,273,0,0,0.170337,5.81
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.052462,200,200,200,392,0.014962,0.014962,392,0.0522,266,0,0,0.170823,5.865
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.077889,200,200,200,646,0.014985,0.014985,646,0.0775,273,0,0,0.164085,9.68
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.076985,200,200,200,636,0.015,0.015,636,0.0766,273,0,0,0.163052,9.54
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.077387,200,200,200,641,0.014984,0.014984,641,0.077,273,0,0,0.166277,9.605
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.077236,200,200,200,643,0.014984,0.014984,643,0.07685,273,0,0,0.16644,9.635
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.152261,200,200,200,1152,0.014965,0.014965,1152,0.1515,273,200,0,0.172551,17.24
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.153467,200,200,200,1169,0.01497,0.01497,1169,0.1527,273,0,0,0.175753,17.5
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.153166,200,200,200,1152,0.014978,0.014978,1152,0.1524,273,200,0,0.172687,17.255
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.152261,200,200,200,1156,0.01497,0.01497,1156,0.1515,273,200,0,0.176531,17.305
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.14449,50,50,50,77,0.06,0.06,77,0.1416,257,50,0,0.337595,4.62
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.14449,50,50,50,76,0.06,0.06,76,0.1416,273,50,0,0.33219,4.56
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.142857,50,50,50,78,0.059487,0.059487,78,0.14,273,50,0,0.312619,4.64
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.140408,50,50,50,77,0.059481,0.059481,77,0.1376,257,50,0,0.325632,4.58
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.142041,50,50,50,69,0.05971,0.05971,69,0.1392,259,13,0,0.329455,4.12
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.155102,50,50,50,77,0.06,0.06,77,0.152,266,0,0,0.328612,4.62
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.142857,50,50,50,70,0.059714,0.059714,70,0.14,273,13,0,0.307429,4.18
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.157551,50,50,50,76,0.06,0.06,76,0.1544,273,8,0,0.305962,4.56
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.177959,50,50,50,94,0.06,0.06,94,0.1744,257,50,0,0.299101,5.64
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.17551,50,50,50,96,0.059792,0.059792,96,0.172,257,0,0,0.303186,5.74
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.179592,50,50,50,96,0.06,0.06,96,0.176,273,0,0,0.308798,5.76
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.166531,50,50,50,94,0.059787,0.059787,94,0.1632,273,50,0,0.292651,5.62
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.201633,50,50,50,97,0.06,0.06,97,0.1976,257,0,0,0.266245,5.82
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.195918,50,50,50,94,0.06,0.06,94,0.192,266,1,0,0.291019,5.64
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.190204,50,50,50,92,0.06,0.06,92,0.1864,257,0,0,0.254244,5.52
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.190204,50,50,50,95,0.059579,0.059579,95,0.1864,260,0,0,0.284263,5.66
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.286531,50,50,50,156,0.06,0.06,156,0.2808,273,0,0,0.344264,9.36
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.28898,50,50,50,161,0.06,0.06,161,0.2832,266,0,0,0.343478,9.66
aim-50-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.292245,50,50,50,161,0.06,0.06,161,0.2864,266,1,0,0.316866,9.66
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.277551,50,50,50,159,0.059748,0.059748,159,0.272,273,0,0,0.335023,9.5
aim-50-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.453878,50,50,50,290,0.059931,0.059931,290,0.4448,257,50,0,0.466783,17.38
aim-50-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.440816,50,50,50,284,0.059789,0.059789,284,0.432,273,50,0,0.451878,16.98
aim-50-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.427755,50,50,50,268,0.059851,0.059851,268,0.4192,273,50,0,0.430054,16.04
aim-50-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.441633,50,50,50,273,0.059927,0.059927,273,0.4328,363,50,0,0.453989,16.36
ash331GPIA-3.xml.watchless.minion.gz,1,0,0,0.01911,662,662,662,0,0.003021,0.003021,4185,0.019081,324,0,0,0.040998,12.643505
ash331GPIA-4.xml.watchless.minion.gz,1,0,0,0.01911,662,662,662,0,0.003021,0.003021,4185,0.019081,263,0,0,0.040998,12.643505
ash608GPIA-3.xml.watchless.minion.gz,1,0,0,0.010618,1216,1216,1216,0,0.001645,0.001645,7844,0.01061,324,0,0,0.036705,12.901316
ash608GPIA-4.xml.watchless.minion.gz,1,0,0,0.010618,1216,1216,1216,0,0.001645,0.001645,7844,0.01061,263,0,0,0.036705,12.901316
ash958GPIA-3.xml.watchless.minion.gz,1,0,0,0.006817,1916,1916,1916,0,0.001044,0.001044,12506,0.006813,324,0,0,0.037053,13.05428
ash958GPIA-4.xml.watchless.minion.gz,1,0,0,0.006817,1916,1916,1916,0,0.001044,0.001044,12506,0.006813,263,0,0,0.037053,13.05428
bf-0432-007_ext.xml.minion.converted.minion.gz,1,0,0,0.006013,970,970,970,1942,0.002461,0.002461,1943,0.006007,501,32,0,0.290862,4.782474
bf-1355-075_ext.xml.minion.converted.minion.gz,1,0,0,0.002226,1818,1818,1818,2047,0.001477,0.001477,2049,0.002225,513,0,0,0.566259,3.026403
bf-1355-638_ext.xml.minion.converted.minion.gz,1,0,0,0.004439,532,532,532,339,0.004436,0.004436,339,0.004431,253,0,0,0.232331,1.503759
bf-2670-001_ext.xml.minion.converted.minion.gz,1,0,0,0.00222,1244,1244,1244,1354,0.001826,0.001826,1354,0.002218,487,0,0,0.202673,2.471865
BlackHole-4-13-e-0_ext.xml.minion.converted.minion.gz,1,0,0,0.195838,208,208,208,4216,0.009614,0.009614,4217,0.194896,936,0,0,0.434877,40.543269
BlackHole-4-13-e-1_ext.xml.minion.converted.minion.gz,1,0,0,0.195838,208,208,208,4216,0.009614,0.009614,4217,0.194896,936,0,0,0.434877,40.543269
BlackHole-4-13-e-2_ext.xml.minion.converted.minion.gz,1,0,0,0.195838,208,208,208,4216,0.009614,0.009614,4217,0.194896,936,0,0,0.434877,40.543269
