@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC

@DATA
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,0.0875,13.6877,28.3909,7120,0.0875,0.0875,7120,28.8393,28.4405,27.7896,0.0938,14,13.6385,0.0802,2,28.5321
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,0.1,12.0651,25.3567,6230,0.1,0.1,6230,26.5947,25.5158,24.9568,0.1077,12,12.0849,0.0926,2,25.7795
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,0.0068,130.768,30.0397,2545,0.0051,0.0051,2556,39.9817,31.3884,29.6514,0.0118,131,130.73,0.002,4,35.6801
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,0.0003,3382,58.9474,83418,0.0002,0.0002,84000,120,68.3636,32.5385,0.0005,4222,4281.38,0,5,84.3333
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,0.0467,25.0552,46.3281,12750,0.0467,0.0467,12750,47.2796,46.9429,45.2154,0.0521,25,24.8028,0.0418,2,47.2796
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,0.05,20.117,22.8507,2130,0.05,0.05,2130,24.3948,23.6806,22.7653,0.0615,20,20.0829,0.039,2,23.708
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,0.0002,3784,66,146021,0.0001,0.0001,147000,200,82.3333,40.3333,0.0002,3784,7454.75,0,5,105.8571
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1,0.05,20.2585,22.8297,2130,0.05,0.05,2130,25.7534,23.4317,22.8274,0.0601,20,20.2117,0.0371,2,24.0244
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1,0.0002,8539,64,166897,0.0001,0.0001,168000,202,91.5,26.3333,0.0002,8539,8513.5,0,5,109.6667
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S913491256-073-UNKNOWN.cnf,1,0.0002,6320,67.0769,125231,0.0001,0.0001,126000,233,83.6,42.875,0.0003,6320,6360.4,0,5,99.5
SAT11/random/large/unif-k5-r20-v1500-c30000-S303265982-092-UNKNOWN.cnf,1,0.0033,285.966,60.7097,30000,0.0033,0.0033,30000,90.0833,66.0435,46.16,0.0043,287,287.608,0.0023,3,71.85
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S31505198-038.UNKNOWN.cnf,1,0.0333,29.7083,30.8469,3195,0.0333,0.0333,3195,33.0958,31.5157,30.3354,0.0423,30,29.7067,0.0244,3,32.9055
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S375894551-007.UNKNOWN.cnf,1,0.0333,29.6066,31.6269,3195,0.0333,0.0333,3195,33.7334,31.972,30.955,0.0423,29,29.4587,0.0241,3,33.1368
SAT11/random/medium/unif-k7-r89-v80-c7120-S1623694027-006.SATISFIABLE.cnf,1,0.0875,13.7394,28.4267,7120,0.0875,0.0875,7120,29.1253,28.5106,27.9901,0.0958,14,13.8743,0.0801,2,28.5159
SAT11/random/medium/unif-k7-r89-v80-c7120-S1901567697-013.UNKNOWN.cnf,1,0.0875,13.7505,28.2044,7120,0.0875,0.0875,7120,29.1588,28.3577,27.8808,0.0973,14,13.788,0.0801,2,28.4983
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S895193371-061.UNKNOWN.cnf,1,0.0129,86.5656,23.1441,1693,0.0078,0.0078,1704,23.8866,23.4128,22.463,0.0183,86,86.3066,0.003,4,23.8661
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S874954918-011.SATISFIABLE.cnf,1,0.0112,118.939,29.3663,2331,0.0056,0.0056,2343,38.1678,30.0989,27.8871,0.0107,119,119.308,0.0021,4,32.9217
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf,1,0.0021,527.222,32.2734,10427,0.0013,0.0013,10500,43.51,34.3874,29.3115,0.0035,528,529.8,0.0004,4,35.9032
SAT11/random/medium/unif-k7-r89-v90-c8010-S2014736708-037.SATISFIABLE.cnf,1,0.0778,15.3491,31.0778,8010,0.0778,0.0778,8010,32.2223,31.0874,30.556,0.0876,15,15.3607,0.0702,2,31.3013
SAT11/random/medium/unif-k7-r89-v80-c7120-S199880667-010.UNKNOWN.cnf,1,0.0875,13.6807,28.2257,7120,0.0875,0.0875,7120,29.106,28.4435,28.0041,0.0934,14,13.7092,0.0824,2,28.7396
SAT11/random/medium/unif-k7-r89-v60-c5340-S239039906-021.SATISFIABLE.cnf,1,0.1167,10.4885,22.5787,5340,0.1167,0.1167,5340,23.0636,22.5915,22.5249,0.1255,10,10.4649,0.1064,2,22.6422
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S643238994-057-UNKNOWN.cnf,1,0.0002,6408.5,63.2857,125159,0.0001,0.0001,126000,261,77.125,42.5,0.0003,6408.5,6343,0,5,92.5
SAT11/random/medium/unif-k3-r4.26-v300-c1278-S1869766438-024.UNKNOWN.cnf,1,0.0169,65.6208,18.9747,1273,0.0102,0.0102,1278,22.3901,19.69,18.2385,0.0196,66,65.7542,0.0008,4,21.6365
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S379804333-028-UNKNOWN.cnf,1,0.0002,6405.5,64.25,125227,0.0001,0.0001,126000,168,79,38.1429,0.0003,6405.5,6388.4,0,5,98.5
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S899463426-096.UNKNOWN.cnf,1,0.0073,151.459,34.5611,2970,0.0044,0.0044,2982,40.5037,34.9964,33.2303,0.0135,151,151.259,0.0017,4,38.9151
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S222128792-011.SATISFIABLE.cnf,1,0.0114,97.6287,25.1837,1908,0.0069,0.0069,1917,29.0817,25.3925,24.795,0.0152,98,97.5881,0.0016,4,27.3746
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S2088689288-085.SATISFIABLE.cnf,1,0.0114,97.7286,24.8321,1907,0.0069,0.0069,1917,30.9341,25.5448,24.3399,0.0168,98,97.8403,0.0031,4,29.6933
SAT11/random/large/unif-k3-r4.2-v25000-c105000-S92008434-079-UNKNOWN.cnf,1,0.0002,5315.33,63.5,104349,0.0001,0.0001,105000,161.25,79.8333,33.8,0.0004,5319,5328.33,0,5,92
SAT11/random/large/unif-k5-r20-v1500-c30000-S1305346115-067-UNKNOWN.cnf,1,0.0033,287.095,60.0417,30000,0.0033,0.0033,30000,93.2,66.2632,51.4643,0.0045,289,284.396,0.0023,3,71.12
SAT11/random/medium/unif-k5-r21.3-v125-c2662-S1258495116-025.SATISFIABLE.cnf,1,0.04,24.8409,27.3432,2662,0.04,0.04,2662,29.7435,28.1858,26.915,0.0496,25,24.8983,0.0316,2,28.6993
SAT11/random/medium/unif-k5-r21.3-v75-c1597-S445191369-092.SATISFIABLE.cnf,1,0.0667,15.197,18.5709,1597,0.0667,0.0667,1597,19.7982,19.1001,18.5133,0.0808,15,15.1587,0.0551,2,19.2159
SAT11/random/large/unif-k7-r85-v250-c21250-S1116436500-050-UNKNOWN.cnf,1,0.028,41.5316,47.0904,21250,0.028,0.028,21250,60.0109,48.0049,44.3925,0.0317,41,41,0.0248,2,49.8137
SAT11/random/large/unif-k3-r4.2-v25000-c105000-S109959541-056-UNKNOWN.cnf,1,0.0003,5268,55.3333,104285,0.0001,0.0001,105000,132.3333,72.875,39.6667,0.0004,5247,5314.5,0,5,89.2
SAT11/random/large/unif-k5-r20-v750-c15000-S64285713-004-UNKNOWN.cnf,1,0.0067,143.194,47.25,15000,0.0067,0.0067,15000,59.7333,50.9516,41.1167,0.0086,143,142.95,0.0048,3,52.7209
SAT11/random/medium/unif-k7-r89-v80-c7120-S1639347701-083.SATISFIABLE.cnf,1,0.0875,13.7451,28.4063,7120,0.0875,0.0875,7120,28.88,28.4205,28.0547,0.0931,14,13.835,0.0808,2,28.69
SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0.1,12.1619,25.5571,6230,0.1,0.1,6230,26.0076,25.8168,25.0936,0.1071,12,12.0252,0.0912,2,25.8362
SAT11/random/large/unif-k5-r20-v750-c15000-S957625236-045-UNKNOWN.cnf,1,0.0067,143.701,48.28,15000,0.0067,0.0067,15000,60.1032,51.0213,43.8261,0.0087,144,143.345,0.0045,3,54.1982
SAT11/random/large/unif-k3-r4.2-v5000-c21000-S901912629-090-UNKNOWN.cnf,1,0.0012,1062.74,38.925,20886,0.0006,0.0006,21000,52.7363,41.7018,33.5333,0.0016,1061,1064,0.0001,5,44.9429
SAT11/random/large/unif-k5-r20-v1250-c25000-S313445894-099-UNKNOWN.cnf,1,0.004,238.557,57.3824,25000,0.004,0.004,25000,76.9545,61.2308,50.3939,0.0054,240,239.385,0.0024,3,67.8571
SAT11/random/large/unif-k7-r85-v250-c21250-S381985918-018-UNKNOWN.cnf,1,0.028,41.4695,48.1209,21250,0.028,0.028,21250,58.9761,49.4682,45.7053,0.031,41,41.3307,0.0244,2,50.7773
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S380157195-014.SATISFIABLE.cnf,1,0.0115,96.0299,25.0392,1901,0.007,0.007,1917,30.0567,25.4252,23.7679,0.0153,96,96.2443,0.0026,4,29.5908
SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1110880865-004.SATISFIABLE.cnf,1,0.0286,34.7645,34.5153,3727,0.0286,0.0286,3727,39.0749,35.031,33.5832,0.0365,35,34.8097,0.0217,3,37.7006
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1336161514-068.UNKNOWN.cnf,1,0.05,20.0789,22.8011,2130,0.05,0.05,2130,25.2968,23.3401,22.7919,0.0596,20,20.0454,0.039,2,23.8163
SAT11/random/medium/unif-k7-r89-v60-c5340-S1831136826-075.UNKNOWN.cnf,1,0.1167,10.4062,22.5398,5340,0.1167,0.1167,5340,23.0966,22.5671,22.2968,0.1262,10,10.4551,0.1058,2,22.7132
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S1114532273-035.SATISFIABLE.cnf,1,0.0074,119.094,28.8798,2323,0.0056,0.0056,2343,32.6095,29.4887,28.1707,0.0116,119,119.005,0.0013,4,32.4091
SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1592669696-022.SATISFIABLE.cnf,1,0.0286,34.508,34.2444,3727,0.0286,0.0286,3727,36.9425,35.5456,33.9285,0.0346,34,34.5415,0.0196,3,36.8459
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S224791863-033.UNKNOWN.cnf,1,0.0085,130.664,30.5134,2544,0.0051,0.0051,2556,36.1614,31.568,29.7649,0.0106,130,130.429,0.002,4,34.998
SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,0.0875,13.7232,28.3487,7120,0.0875,0.0875,7120,29.3166,28.372,28.2105,0.0958,14,13.6838,0.0781,2,28.6203
SAT11/random/medium/unif-k7-r89-v70-c6230-S2045410966-069.SATISFIABLE.cnf,1,0.1,12.1403,25.6296,6230,0.1,0.1,6230,26.182,25.6631,25.5792,0.1103,12,12.0567,0.0888,2,25.6641
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S1339958817-007.UNKNOWN.cnf,1,0.0085,129.178,29.9869,2546,0.0051,0.0051,2556,37.217,30.3663,28.9764,0.0122,129,129.622,0.002,4,36.8109
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S1744841484-003.SATISFIABLE.cnf,1,0.0073,151.66,34.025,2969,0.0044,0.0044,2982,42.4387,34.4658,33.9806,0.0101,152,151.452,0.001,4,38.2725
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S1386494586-003-UNKNOWN.cnf,1,0.0003,2794.88,50.5714,62563,0.0002,0.0002,63000,105.0909,57.625,34.3846,0.0006,3173,3200.64,0,5,67.6875
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S690749326-001.UNKNOWN.cnf,1,0.0128,86.1355,23.1007,1694,0.0078,0.0078,1704,25.4919,24.1292,21.327,0.0159,86,86.0802,0.0035,4,25.0661
SAT11/random/large/unif-k5-r20-v2000-c40000-S922811046-076-UNKNOWN.cnf,1,0.0025,379.756,66.4706,40000,0.0025,0.0025,40000,109.1875,71.5625,49.2857,0.0034,381,382.2,0.0017,3,78.875
SAT11/random/medium/unif-k7-r89-v90-c8010-S1475406203-080.UNKNOWN.cnf,1,0.0778,15.3228,31.2588,8010,0.0778,0.0778,8010,32.0622,31.3308,30.6324,0.0871,15,15.3914,0.072,2,32.0622
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S1694067460-072.UNKNOWN.cnf,1,0.0093,118.109,27.3653,2330,0.0057,0.0057,2343,33.0964,27.8994,26.8871,0.012,118,117.815,0.0021,4,32.593
SAT11/random/medium/unif-k7-r89-v70-c6230-S1960545292-083.UNKNOWN.cnf,1,0.1,12.0776,25.6508,6230,0.1,0.1,6230,26.0301,25.7323,25.5096,0.1133,12,12.1497,0.091,2,25.872
SAT11/random/medium/unif-k3-r4.26-v650-c2769-S510739670-068.UNKNOWN.cnf,1,0.0078,140.704,32.5426,2758,0.0047,0.0047,2769,38.9903,33.0278,30.6554,0.0105,141,140.519,0.0018,4,37.7324
SAT11/random/medium/unif-k7-r89-v60-c5340-S385597856-055.SATISFIABLE.cnf,1,0.1167,10.4927,22.6794,5340,0.1167,0.1167,5340,23.2204,22.6887,22.3918,0.126,10,10.5034,0.1062,2,22.796
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S890760919-021.SATISFIABLE.cnf,1,0.0051,174.318,29.0426,3393,0.0039,0.0039,3408,40.5682,33.7156,27.5865,0.0085,174,173.654,0.0015,4,38.1813
SAT11/random/large/unif-k7-r85-v300-c25500-S926861876-013-UNKNOWN.cnf,1,0.0233,49.5494,50.4254,25500,0.0233,0.0233,25500,60.0224,52.3613,48.6767,0.026,50,49.3486,0.0209,2,53.3431
SAT11/random/large/unif-k5-r20-v1500-c30000-S64154096-097-UNKNOWN.cnf,1,0.0033,288.781,61,30000,0.0033,0.0033,30000,89.1111,65.913,47.8125,0.0046,289,285.092,0.0023,3,71.8125
SAT11/random/large/unif-k5-r20-v1250-c25000-S1103412232-098-UNKNOWN.cnf,1,0.004,240.004,57.2188,25000,0.004,0.004,25000,83.16,61.375,47.3235,0.0054,241,240.94,0.0026,3,66.2
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S471691933-060-UNKNOWN.cnf,1,0.0002,4231,70.3333,167019,0.0001,0.0001,168000,207,91.8333,26.5,0.0002,4231,8591.5,0,5,120
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1406921020-013.UNKNOWN.cnf,1,0.0112,98.5054,25.6325,1912,0.0068,0.0068,1917,27.6225,26.1844,23.5663,0.0131,99,98.457,0.001,4,26.8127
SAT11/random/medium/unif-k3-r4.26-v650-c2769-S30721646-064.SATISFIABLE.cnf,1,0.0079,139.582,32.2526,2752,0.0048,0.0048,2769,38.5448,32.9579,32.07,0.0105,140,139.332,0.0018,4,34.6092
SAT11/random/large/unif-k5-r20-v1500-c30000-S1793954886-065-UNKNOWN.cnf,1,0.0033,286.574,63.9524,30000,0.0033,0.0033,30000,91.5,69.7083,46.8621,0.0044,288,285.631,0.0024,3,73.12
SAT11/random/medium/unif-k7-r89-v90-c8010-S1828831772-021.SATISFIABLE.cnf,1,0.0778,15.3776,31.3078,8010,0.0778,0.0778,8010,31.873,31.5558,30.7844,0.0841,15,15.3665,0.0687,2,31.873
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1465579926-097.UNKNOWN.cnf,1,0.05,19.9553,22.7303,2130,0.05,0.05,2130,23.9916,23.4902,22.3282,0.0634,20,19.9506,0.0399,2,23.9657
SAT11/random/medium/unif-k7-r89-v70-c6230-S560963242-048.UNKNOWN.cnf,1,0.1,12.0771,25.4865,6230,0.1,0.1,6230,26.3452,25.5722,25.4337,0.109,12,12.1263,0.0909,2,25.7826
SAT11/random/medium/unif-k7-r89-v50-c4450-S1082084494-034.UNKNOWN.cnf,1,0.14,8.8805,19.403,4450,0.14,0.14,4450,19.7432,19.6457,19.3015,0.1494,9,8.8336,0.1306,2,19.7221
SAT11/random/large/unif-k5-r20-v1000-c20000-S107009952-009-UNKNOWN.cnf,1,0.005,190.84,52.5556,20000,0.005,0.005,20000,68.697,55.55,44.2182,0.0066,191,191.038,0.0034,3,59.7941
SAT11/random/large/unif-k5-r20-v750-c15000-S3662714-068-UNKNOWN.cnf,1,0.0067,142.708,49.0417,15000,0.0067,0.0067,15000,62.4273,51.5393,45.2239,0.0093,142,144.407,0.0043,3,53.5088
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S816372663-049.UNKNOWN.cnf,1,0.0074,119.246,29.2055,2335,0.0056,0.0056,2343,34.5779,29.6781,28.386,0.0107,119,119.55,0.0021,4,32.6603
SAT11/random/large/unif-k7-r85-v300-c25500-S1286362348-008-UNKNOWN.cnf,1,0.0233,49.3793,50.313,25500,0.0233,0.0233,25500,60.2816,51.3095,46.0364,0.0257,49,49.0081,0.0207,2,53.8095
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S1023920765-089.SATISFIABLE.cnf,1,0.0127,87.8492,23.9974,1696,0.0077,0.0077,1704,27.6125,24.6048,22.2991,0.0147,88,87.763,0.0029,4,25.8802
SAT11/random/medium/unif-k3-r4.26-v500-c2130-S1514125851-037.UNKNOWN.cnf,1,0.0102,108.269,26.6677,2119,0.0062,0.0062,2130,34.0448,27.3516,25.8617,0.016,108,108.306,0.0024,4,29.1866
SAT11/random/medium/unif-k7-r89-v60-c5340-S969033069-088.SATISFIABLE.cnf,1,0.1167,10.4967,22.6497,5340,0.1167,0.1167,5340,23.5207,22.6949,22.2489,0.1266,10,10.4512,0.1077,2,22.9078
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S709305826-098-UNKNOWN.cnf,1,0.0002,8494,72.3333,166812,0.0001,0.0001,168000,253.5,91,42,0.0002,8494,6375.5,0,5,110.3333
SAT11/random/medium/unif-k7-r89-v70-c6230-S1351138814-007.SATISFIABLE.cnf,1,0.1,12.1041,25.5742,6230,0.1,0.1,6230,26.2869,25.6599,25.4811,0.1117,12,12.1536,0.091,2,26.0793
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S43885340-006-UNKNOWN.cnf,1,0.0004,3186.88,55.125,62521,0.0002,0.0002,63000,110.3333,63.8182,31.7857,0.0006,3196.5,3186.75,0,5,73.9167
SAT11/random/medium/unif-k3-r4.26-v300-c1278-S1452052526-056.UNKNOWN.cnf,1,0.0169,65.5259,17.3745,1274,0.0102,0.0102,1278,20.158,17.8407,16.7186,0.0228,66,65.552,0.0024,4,19.5479
SAT11/random/large/unif-k3-r4.2-v10000-c42000-S903594090-011-UNKNOWN.cnf,1,0.0005,2129.76,48.9286,41691,0.0003,0.0003,42000,84.375,54,34.6364,0.0008,2127,2114.95,0,5,59
SAT11/random/large/unif-k3-r4.2-v10000-c42000-S709804505-031-UNKNOWN.cnf,1,0.0005,2001.94,47,41704,0.0003,0.0003,42000,83.4167,54,32.0556,0.0007,2126,2128.76,0,5,59.7692
SAT11/random/large/unif-k5-r20-v2000-c40000-S1993071608-084-UNKNOWN.cnf,1,0.0025,380.661,65.8125,40000,0.0025,0.0025,40000,128.7,73,48.8667,0.0034,380,385.87,0.0016,3,80.5238
SAT11/random/medium/unif-k7-r89-v50-c4450-S1374457799-001.UNKNOWN.cnf,1,0.14,8.903,19.6593,4450,0.14,0.14,4450,19.9328,19.7488,19.3149,0.1492,9,8.8789,0.1261,2,19.8647
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1741857700-014.UNKNOWN.cnf,1,0.05,19.9537,22.6185,2130,0.05,0.05,2130,24.2734,23.3463,22.5391,0.0634,20,19.9764,0.0404,2,23.8518
SAT11/random/medium/unif-k5-r21.3-v75-c1597-S906725726-060.SATISFIABLE.cnf,1,0.0667,15.1997,18.3724,1597,0.0667,0.0667,1597,19.7261,18.7116,18.346,0.0852,15,15.2136,0.0513,2,18.9319
SAT11/random/medium/unif-k5-r21.3-v125-c2662-S1397972185-007.UNKNOWN.cnf,1,0.04,24.7812,26.4645,2662,0.04,0.04,2662,29.4311,27.8794,26.3975,0.0503,25,24.9165,0.0301,2,28.3767
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S1383380994-043.SATISFIABLE.cnf,1,0.0085,130.674,30.1524,2544,0.0051,0.0051,2556,35.3533,30.7453,29.3627,0.0106,131,130.633,0.0016,4,34.529
SAT11/random/medium/unif-k7-r89-v80-c7120-S1254315629-032.SATISFIABLE.cnf,1,0.0875,13.7363,28.2267,7120,0.0875,0.0875,7120,29.0205,28.426,27.907,0.0965,14,13.6028,0.0772,2,28.4667
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S1081907273-083.UNKNOWN.cnf,1,0.0104,85.1691,23.0978,1690,0.0079,0.0079,1704,27.1109,23.7399,21.9052,0.0195,85,84.9267,0.003,4,26.1837
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S89508070-083-UNKNOWN.cnf,1,0.0021,535.223,32.7021,10422,0.0013,0.0013,10500,42.0112,34.2881,30.3158,0.0031,535,530.961,0.0002,4,36.0885
SAT11/random/medium/unif-k7-r89-v60-c5340-S642174893-006.UNKNOWN.cnf,1,0.1167,10.5717,22.7396,5340,0.1167,0.1167,5340,23.3596,22.7875,22.5878,0.1311,10,10.49,0.1075,2,22.9292
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S707565158-096.SATISFIABLE.cnf,1,0.05,20.07,22.8825,2130,0.05,0.05,2130,24.9503,23.8384,22.8781,0.0596,20,20.075,0.0371,2,23.9312
SAT11/random/medium/unif-k7-r89-v60-c5340-S1675230100-032.UNKNOWN.cnf,1,0.1167,10.4404,22.7445,5340,0.1167,0.1167,5340,23.3776,22.7835,22.3981,0.1315,10,10.4176,0.1064,2,22.915
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S1462223811-042.SATISFIABLE.cnf,1,0.0102,87.5713,23.5205,1699,0.0077,0.0077,1704,28.6596,24.0384,21.6343,0.0171,87,87.6302,0.0029,4,28.3877
SAT11/random/medium/unif-k5-r21.3-v75-c1597-S25975519-056.SATISFIABLE.cnf,1,0.0667,15.203,18.3692,1597,0.0667,0.0667,1597,19.3372,18.6188,18.0883,0.0839,15,15.1965,0.0551,2,18.8684
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S2051088205-036.UNKNOWN.cnf,1,0.05,20.0243,22.7322,2130,0.05,0.05,2130,24.4422,23.535,22.4558,0.0643,20,20.0165,0.0366,2,23.6954
SAT11/random/medium/unif-k7-r89-v70-c6230-S1805176884-064.UNKNOWN.cnf,1,0.1,12.0648,25.523,6230,0.1,0.1,6230,26.3543,25.5761,25.3849,0.1064,12,12.1568,0.0928,2,25.9437
SAT11/random/medium/unif-k7-r89-v50-c4450-S1786071619-083.SATISFIABLE.cnf,1,0.14,8.9055,19.6172,4450,0.14,0.14,4450,20.1945,19.6651,19.463,0.1508,9,8.8919,0.1283,2,19.6693
