@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC

@DATA
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,1019.67,0.2047,0,0,0,0,0.0842,0.1932,6.4664,43.5979,0.9519,0.59,0.0025,0.0124,0,56.8601
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,4.3879,0.4506,0.2295,0.2295,0.2295,0.2295,0.0001,1.1161,0.0001,1.0772,0.6117,0.5831,0.0114,0,0.2295,32.4793
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,94,0.4533,0.0119,0.0085,0.0038,0.0232,0.1476,0.4809,1.2403,38.4923,0.9332,0.0022,0.0004,0,0.2259,0
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0013,0.682,0.0046,0.0046,0.0046,0.0046,0.0001,0,0.0003,6.8948,0.7577,0.5026,0.0163,0.0408,0.0046,29.2469
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-30-19-20.sat05-1256.reshuffled-07.cnf,1,5.1343,0.4109,0.0982,0.0655,0.0218,0.1116,0.0429,0.9766,0.6611,38.0219,0.4985,0.7289,0.0064,0.0003,0.1905,50.8289
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-1.sat05-2158.reshuffled-07.cnf,1,11.5888,0,0.042,0.042,0.042,0.042,0,0.5623,0.0001,1.2135,0.5024,0,0.0143,0,0.042,26.1346
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,3.1994,0,0.3832,0.3831,0.3831,0.3832,0,0.9882,0.0001,1.0493,0.2922,0,0.025,0,0.3833,21.3289
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g2.cnf,1,32.0559,0.2874,0,0,0,0,0.0218,0.2703,4.4549,24.1578,0.9256,0.7447,0.0064,0.0177,0,45.3485
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,190.561,0.6154,0.0697,0.0665,0.0548,0.0698,1.3487,1.2804,0.2261,0.4409,0.3628,0,0.0074,0.1157,0.1012,28.2247
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00080.sat05-1325.reshuffled-07.cnf,1,1.7432,1.54,0.4675,0.4293,0.361,0.4824,0.4894,2.402,0.2276,8.0375,0.0446,0.0088,0.2934,0.1312,0.4996,10.1159
SAT_Competition2009/CRAFTED/edgematching/explicit/em_7_3_6_exp.cnf,1,24.5971,0.9833,0.0413,0.0269,0.0033,0.053,0.3375,1.117,0.7872,4.8371,0.8469,0.0923,0.005,0,0.0809,15.0009
SAT_Competition2011/SAT07/crafted/spence/hard/s113-100.cnf,1,1.0871,0,0.3225,0.3217,0.314,0.3237,1.6635,0,0.0597,0.822,0.5,0.0001,0.0508,0,0.3245,16.0966
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,1.0062,0.3326,0.373,0.3662,0.3222,0.3786,0,1.1977,0.068,1.452,0.3233,0,0.069,0,0.3797,19.0963
SAT_Competition2007/crafted/Medium/contest05/others/QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf,1,13.1448,1.091,0.0398,0.0345,0.0262,0.4198,0.1143,1.3824,1.797,6.2979,0.4329,0.0003,0.0278,0.4619,0.9774,32.3552
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf,1,2.8108,0,0.3832,0.3831,0.3831,0.3832,0,1.0038,0.0001,1.1033,0.2946,0,0.0286,0,0.3832,22.0862
SAT_Competition2009/CRAFTED/Hard/contest04/others/ramsey.sat05-511.reshuffled-07.cnf,1,11.5101,0,0.0005,0.0005,0.0005,0.0005,0,1.1311,0.0001,1.8778,0.1047,0,0.0392,0,0.0005,30.6719
SAT_Competition2011/SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf,1,1.0426,0.3798,0.3717,0.3644,0.3186,0.3777,0,1.23,0.0776,1.0809,0.3339,0,0.0253,0.0032,0.3804,26.6047
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,2,0.5281,0.2006,0.1925,0.185,0.2009,0.0152,1.0987,0.0479,2.9631,0.6424,0.7776,0.0333,0.0182,0.2198,29.0587
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-17x30.cnf,1,702.467,0.5976,0,0,0,0,0.1556,0,13.8583,19.4733,0.7516,0.0044,0.0039,0.0086,0,28.7399
SAT_Competition2007/crafted/Medium/contest05/sabharwal/sat-strips-gripper-10t19.sat05-1143.reshuffled-07.cnf,1,10.3624,0.8195,0.0126,0.0006,0.0001,0.1492,0.2081,1.168,2.0204,6.7556,0.616,0.0038,0.0031,0.1902,0.2756,17.2676
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hidden-k3-s0-r5-n700-01-S2069048075.sat05-488.reshuffled-07.cnf,1,39.9026,0.0833,0.0612,0.0342,0.0189,0.1009,0.5903,0.6373,0.8491,0.9808,0.4961,0.0008,0.0094,0.002,0.2992,28.6595
SAT_Competition2009/CRAFTED/edgematching/explicit/em_11_3_4_exp.cnf,1,47.92,0.7105,0.0242,0.01,0.006,0.0384,0.26,0.7715,0.7755,12.9135,0.9005,0.0003,0.0009,0,0.0601,20.6051
SAT_Competition2007/crafted/Medium/contest05/pebbling/sat-pbl-00400.sat05-1322.reshuffled-07.cnf,1,3.1705,1.9367,0.4715,0.4376,0.3746,0.4842,0.4802,2.69,0.2259,5.9822,0.0522,0.0009,0.1098,0.0172,0.4994,8.5822
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes7.cnf,1,558.617,0.2045,0,0,0,0,0.0869,0.1921,9.1212,41.9114,0.9523,0.5578,0.0026,0.0126,0,54.2945
SAT_Competition2007/crafted/Medium/contest05/others/QG-gensys-brn008.sat05-2685.reshuffled-07.cnf,1,13.9409,2.5446,0.4999,0.4996,0.4947,0.5,0.2349,2.9219,0.3568,0.8645,0.1118,0,0.6456,0.2415,1,11.6017
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG8-gensys-ukn005.sat05-3584.reshuffled-07.cnf,1,22.6881,0.7151,0.5,0.4948,0,0.5,0.2088,1.5704,0.9579,5.6508,0.1554,0,0.0451,0.1316,0.5,31.5315
SAT_Competition2011/SAT04/handmade/hirsch03/hgen8-n320-01-S1432474240.shuffled-as.sat03-890.used-as.sat04-841.cnf,1,1.0314,1.0012,0.3303,0.2757,0.2654,0.359,0.1806,1.2178,0.1613,0.9831,0.5831,0.0604,0.0217,0.1711,0.4643,32.1482
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes5.cnf,1,39.3098,0.2884,0,0,0,0,0.0197,0.272,4.4328,24.6901,0.9252,0.7454,0.0063,0.0177,0,46.4618
SAT_Competition2009/CRAFTED/Hard/contest02/hgen2-v500-s1216665065.sat05-467.reshuffled-07.cnf,1,16.0699,0,0.0846,0.0784,0.0692,0.0886,0.9563,0.5537,0.1454,0.7624,0.5023,0,0.0069,0,0.0975,35.5037
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,8.4398,0.4854,0.3887,0.3853,0.3418,0.3904,1.3536,1.0749,0.2819,0.3306,0.2945,0.0001,0.0201,0.2145,0.3907,9.5839
SAT_Competition2009/CRAFTED/rbsat/random/forced/rbsat-v760c43649gyes1.cnf,1,23.9907,0.2807,0,0,0,0,0.0247,0.2678,6.6153,24.1377,0.9284,0.7346,0.0068,0.0228,0,46.3279
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-16-10-11.sat05-1253.reshuffled-07.cnf,1,4.0595,0.6664,0.1601,0.0828,0.0193,0.1696,0.0312,1.2234,0.7269,12.8518,0.4642,0.7833,0.0209,0.0018,0.1935,35.2666
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-230-3.shuffled-as.sat05-2505.cnf,1,25.4457,0.8437,0.119,0.1042,0.0923,0.1384,1.5117,1.6431,0.2068,1.5698,0.2633,0,0.0257,0,0.1901,8.3323
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0,0.7761,0.3429,0.3429,0.3429,0.3429,0,0,0,3.8687,0.7674,0.619,0.0353,0.093,0.343,35.2217
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s34713902-sat.cnf,1,3.6927,0.4506,0.2295,0.2295,0.2295,0.2295,0.0001,1.0976,0.0001,1.1291,0.6713,0.5831,0.0139,0,0.2295,29.6164
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-14x8.cnf,1,0.1661,0.6857,0.006,0.006,0.006,0.006,0.0001,0,0.0007,6.6725,0.758,0.5075,0.0175,0.0426,0.006,30.7394
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,1.005,0.3424,0.1608,0.1608,0.1562,0.1658,0.0045,1.1095,0.0269,4.5895,0.6632,0.8749,0.0105,0.0055,0.1712,59.106
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes10.cnf,1,93,0.1905,0,0,0,0,0.1795,0.1803,5.3636,54.2698,0.9561,0.1783,0.0021,0.0108,0.0023,59.6358
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v1820c171155gyes6.cnf,1,46.9875,0.2157,0,0,0,0,0.0422,0.2053,12.668,38.6442,0.9477,0.729,0.0027,0.0107,0,63.6571
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl004.sat05-2716.reshuffled-07.cnf,1,15.0514,2.5543,0.4999,0.4995,0.4923,0.5,0.2301,3.0185,0.3118,0.7673,0.1132,0,0.6068,0.2099,1,13.2415
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,47.5758,2.0397,0.4991,0.496,0.4735,0.4997,0.1909,2.5461,0.31,0.6705,0.1143,0,0.0204,0.1402,0.9999,14.3094
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x39.cnf,1,1128.64,0.5858,0.3496,0.2689,0.1988,0.4057,0.3374,0,0.4418,32.2208,0.751,0.0026,0.0024,0.0052,0.5,28.9153
SAT_Competition2007/crafted/spence/hard/s97-100.cnf,1,1.0765,0,0.3214,0.3199,0.3132,0.3224,1.4321,0,0.0544,0.9032,0.5,0.0001,0.0441,0,0.3232,15.4512
SAT_Competition2009/CRAFTED/Hard/contest04/connamacher/connm-ue-csp-sat-n1200-d-0.02-s383740539.sat05-534.reshuffled-07.cnf,1,63.9048,0.4845,0.0089,0.0012,0.0006,0.0107,0.1,1.0488,1.015,3.0742,0.4453,0.4614,0.0092,0.0219,0.0176,26.1271
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,23.9902,1.0891,0.0455,0.0454,0.012,0.0647,0.7198,1.4994,0.7102,1.139,0.4416,0,0.0435,0.1159,0.0651,19.2391
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,23.2316,0.9131,0.1201,0.1044,0.0894,0.151,1.4477,1.7119,0.2475,1.5751,0.2495,0,0.0331,0,0.2242,17.3457
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1820c171155gyes3.cnf,1,48.6203,0.2129,0,0,0,0,0.0409,0.2012,6.3213,38.2766,0.9494,0.7356,0.0029,0.0141,0,51
SAT_Competition2009/CRAFTED/sgi/new-difficult-28-302-26-75.cnf,1,20.8071,0.1332,0,0,0,0,0.018,0.0857,2.3846,30.3323,0.9769,0.8634,0.0054,0.0153,0.0004,49.5974
SAT_Competition2009/CRAFTED/edgematching/compact/em_8_4_5_cmp.cnf,1,36.7651,1.0969,0.1709,0.0215,0.0122,0.2279,0.3639,1.1741,1.1594,1.5101,0.644,0.0201,0.0078,0,0.3407,15.0823
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v2640c305320g2.cnf,1,678.316,0.1908,0,0,0,0.0001,0.1789,0.1807,5.1671,47.7567,0.9559,0.1705,0.0022,0.0108,0.0047,60.949
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-12-12-unsat.cnf,1,7.7257,0.4293,0.0415,0.0415,0.0414,0.0415,0.0001,0,0.001,2.7285,0.8462,0.7086,0.0246,0,0.0416,46.2762
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-127-100.cnf,1,1.0934,0,0.3237,0.3225,0.3157,0.3248,1.5741,0,0.0494,0.7952,0.5,0.0002,0.0336,0,0.3252,17.4313
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-13_160.cnf,1,10.967,0.3961,0.0001,0,0,0.0003,0.1774,0,1.9621,9.8656,0.1352,0.5173,0.0368,0,0.0009,30.8131
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,3.1834,0,0.3832,0.3831,0.3831,0.3832,0,0.9882,0.0001,1.0537,0.2922,0,0.025,0,0.3833,21.3289
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00090.sat05-1326.reshuffled-07.cnf,1,1.7708,1.8677,0.4741,0.4335,0.372,0.4919,0.4412,2.5647,0.2234,5.3458,0.0744,0.015,0.2644,0.0903,0.4979,10.3527
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,5.2557,0.0847,0.0218,0.0216,0.0215,0.0219,0.0001,0,0.0081,14.5318,0.9834,0.9293,0.0036,0.037,0.0221,0
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,37.1034,0.8881,0.0256,0.0142,0.0031,0.0406,0.325,0.9764,0.9193,8.4804,0.8706,0.0005,0.0021,0,0.0826,19.8297
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v945c61409gyes8.cnf,1,26.47,0.2638,0,0,0,0,0.0167,0.2488,3.2224,27.4461,0.9326,0.7669,0.0049,0.0156,0,46.9743
SAT_Competition2007/crafted/spence/medium/s69-100.cnf,1,1.0437,0,0.3177,0.3132,0.3095,0.3191,1.2847,0,0.061,1.0508,0.5,0,0.0608,0,0.3195,11.5139
SAT_Competition2007/crafted/Hard/contest05/QG/QG7-dead-dnd001.sat05-3419.reshuffled-07.cnf,1,20.4406,1.8528,0.4983,0.4841,0.0078,0.4996,0.2017,2.0719,0.7463,3.8525,0.4253,0,0.0366,0.623,0.9994,31.5492
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,37.4176,0.2317,0,0,0,0,0.0187,0.222,5.0278,33.5871,0.944,0.7832,0.0041,0.0161,0,43.9733
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g8.cnf,1,38.3819,0.2772,0,0,0,0,0.0242,0.261,3.5867,24.3055,0.9309,0.733,0.0068,0.0241,0,42.7593
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,34.1775,0.9584,0.0289,0.0168,0.004,0.0426,0.3358,1.0674,0.8989,6.4903,0.8459,0.0865,0.0034,0,0.0797,16.682
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x40.cnf,1,1196.89,0.5853,0.3482,0.2671,0.1964,0.4046,0.3413,0,0.4481,34.0197,0.751,0.0026,0.0024,0.0051,0.5,29.4734
SAT_Competition2009/CRAFTED/Hard/contest04/others/CompositeRSA576.sat05-509.reshuffled-07.cnf,1,25940,0.6615,0.5,0.5,0.3798,0.5,1.7068,1.3113,0.3057,20.3712,0.2793,0,0.0035,0.0124,0.5,0
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-5x41.cnf,1,1.0778,0.6438,0.0001,0.0001,0.0001,0.0001,0.0003,0,0.0012,7.9812,0.7546,0.4462,0.0096,0.0245,0.0001,23.8678
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g4.cnf,1,22.4579,0.2764,0,0,0,0,0.0257,0.2611,7.3712,24.2979,0.9304,0.7448,0.006,0.024,0.0001,61.9951
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,6.6269,0.0975,0,0,0,0,0,0.6262,0.0004,11.0297,0.4998,0.5267,0.0035,0,0,37.5582
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-19_348.cnf,1,15.6859,0.3319,0,0,0,0,0.1147,0,2.3225,20.085,0.0913,0.601,0.0339,0,0,34.2231
SAT_Competition2009/CRAFTED/parity-games/instance_n6_i6_pp_ci_ce.cnf,1,332.134,1.3288,0.0693,0.0352,0.008,0.2554,0.586,1.6226,1.4004,1.7855,0.7836,0,0.0139,0.101,0.3602,16.687
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hgen7-n390-02-S178568232.sat05-479.reshuffled-07.cnf,1,11.3172,0,0.0384,0.0369,0.0223,0.039,0,0.5708,0.3341,0.9799,0.5,0,0.0093,0,0.0404,29.6801
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,114.661,0.8605,0.0249,0.0003,0.0001,0.0425,0.2756,0.9573,1.3461,8.4074,0.8734,0.0153,0.0031,0,0.0826,26.7436
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_18_80_10-dir.shuffled-as.sat03-140.cnf,1,4.2344,0.1663,0,0,0,0,0.0216,0.845,3.9795,35.3847,0.7307,0.8408,0.0083,0.0135,0.0001,57.4828
SAT_Competition2009/CRAFTED/sgi/satsgi-n25himBHm27-p0-q251.cnf,1,1.4118,0.0921,0.0408,0.0406,0.0404,0.041,0.0001,0,0.0073,13.0061,0.9815,0.9322,0.0045,0.0416,0.0413,0
SAT_Competition2009/CRAFTED/sgi/satsgi-n22himBHm25-p0-q229.cnf,1,0.0009,0.0961,0.0623,0.0623,0.0623,0.0623,0,0,0.0006,11.8019,0.9805,0.9331,0.0055,0.0464,0.0624,0
SAT_Competition2011/SAT09/CRAFTED/modcircuits/mod4block_3vars_7gates.cnf,1,12.761,1.3963,0.4602,0.1594,0.0028,0.4621,1.2961,2.0155,0.8862,14.3579,0.4588,0,0.0807,1.2242,1,15.9327
SAT_Competition2007/crafted/Hard/contest03/others/color-11-3.sat05-445.reshuffled-07.cnf,1,18.0425,1.3966,0,0,0,0,0.3394,2.1245,0.7768,3.1751,0.2022,0.0234,0.0219,0.0395,0.0001,27.8536
SAT_Competition2011/SAT11/crafted/manthey/sudoku-single-hard/sudoku_81x81_unknown.cnf,1,796.235,0.2315,0.0034,0.0031,0.0027,0.0037,0.0916,0,0.1614,8.6845,0.9647,0.028,0.0003,0,0.0042,7.9048
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s33098896-unsat.cnf,1,1.1199,0,0.3253,0.3238,0.3217,0.3257,1.8056,0.5623,0.0418,0.6672,0.5376,0,0.0242,0,0.3262,22.4748
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,12.1606,0,0.042,0.042,0.042,0.042,0,0.5623,0.0001,1.2251,0.5068,0,0.0136,0,0.042,26.7559
SAT_Competition2009/CRAFTED/edgematching/all/em_12_2_4_all.cnf,1,50.1111,0.6289,0.0013,0.0003,0.0002,0.0227,0.232,0.6581,1.9119,18.3392,0.92,0.0001,0.0007,0.0001,0.0663,41.1852
SAT_Competition2009/CRAFTED/sgen/sat/sgen1-sat-230-100.cnf,1,4.5414,0.4506,0.2295,0.2295,0.2295,0.2295,0.0001,0,0.0001,1.0681,0.8333,0.583,0.0109,0,0.2296,34.609
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-6x34.cnf,1,8.0027,0.6419,0.0001,0.0001,0.0001,0.0001,0.0002,0,0.0009,8.8152,0.7545,0.443,0.0097,0.0238,0.0001,23.9542
SAT_Competition2009/CRAFTED/edgematching/compact/em_7_3_6_cmp.cnf,1,19.1633,1.1172,0.1492,0.0218,0.0119,0.2345,0.4244,1.2069,1.1273,1.5696,0.698,0.0045,0.0099,0,0.3397,15.0561
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,48.7458,2.039,0.499,0.4958,0.4719,0.4997,0.1873,2.5306,0.3296,0.7627,0.1602,0,0.0204,0.1283,0.9999,15.0051
SAT_Competition2007/crafted/Hard/contest05/counting-php/harder-fphp-035-034.sat05-1235.reshuffled-07.cnf,1,3.0495,0.1382,0.0099,0.0099,0.0098,0.01,0.0002,0.8447,0.0124,17.0014,0.7479,0.9295,0.0026,0.0307,0.01,78.655
SAT_Competition2011/SAT09/CRAFTED/ramseycube/Q3inK10.cnf,1,0.0043,0,0.4988,0.4988,0.4988,0.4988,0,0,0,7.1352,0.5,0,0.2667,0,0.4988,0
SAT_Competition2009/CRAFTED/ramseycube/Q3inK09.cnf,1,0,0,0.4997,0.4997,0.4997,0.4997,0,0,0,2.2279,0.5,0,0.3333,0,0.4997,0
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,47.6222,2.0383,0.499,0.496,0.4733,0.4997,0.1899,2.5489,0.3142,0.6975,0.157,0,0.0129,0.1389,0.9999,14.2297
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-12.sat05-2587.reshuffled-07.cnf,1,1.006,0.251,0.3791,0.3741,0.3677,0.3804,0,1.1751,0.0592,1.4676,0.3017,0,0.069,0,0.3813,16.7215
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-4x35.cnf,1,0.0061,0.676,0.003,0.003,0.003,0.003,0.0001,0,0.0002,7.6112,0.7571,0.4947,0.014,0.0381,0.003,0
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s55656844-unsat.cnf,1,1.0954,0,0.3231,0.3223,0.3157,0.3241,1.5509,0.5534,0.0503,0.7955,0.5238,0,0.0357,0,0.3248,19.1468
