@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC

@DATA
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,0.0875,13.6877,28.3909,7120,0.0875,0.0875,7120,28.8393,28.4405,27.7896,0.0938,14,13.6385,0.0802,2,28.5321,28.8393,0.6726,17,17,14,80,10,0.1965,0.0055,4482,28.3985,1.7572,27.7896,9.6988,0.4162,0.0111,80,4412.8,4315,4315,9.5465,4370,4525,4372,4525,0.202,0.007,0.7541,0.0875,1.9736,10,0.0111,0.012,0.0111,0.0112,0.0919,3.9053,0.0944,0.0177,2,0.3003,0.8779,0.254,0.0001,0.0001,2,0,0.0001
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,0.1,12.0651,25.3567,6230,0.1,0.1,6230,26.5947,25.5158,24.9568,0.1077,12,12.0849,0.0926,2,25.7795,26.5947,0.6772,15,15,12,70,9,0.2086,0.0063,4491,25.6407,1.856,24.9568,8.6501,0.4084,0.0111,70,4435.8,4353,4353,8.4824,4380,4552,4403,4552,0.2082,0.009,0.7619,0.1,2.0372,9,0.0111,0.0213,0.0111,0.0112,0.1036,3.7829,0.1012,0.0167,2,0.3187,0.8792,0.2746,0.0001,0.0001,2,0,0.0001
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,0.0068,130.768,30.0397,2545,0.0051,0.0051,2556,39.9817,31.3884,29.6514,0.0118,131,130.73,0.002,4,35.6801,39.9817,0.3106,141,142,131,589,120,0.07,0.0025,3882,32.868,0.3094,29.6514,19.9066,0.395,0.0232,600,3759,3611,3611,16.0006,3669,3995,3724,3995,0.0632,0.0063,0.5448,0.0051,0.9009,120,0.0101,0.1051,0.0035,0.2314,0.035,2.662,0.0325,0.0332,4.0068,0.2091,0.855,0.2679,0.3386,0.09,5,0.0449,0.0777
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,0.0003,3382,58.9474,83418,0.0002,0.0002,84000,120,68.3636,32.5385,0.0005,4222,4281.38,0,5,84.3333,94.6,0.2374,4227,4341,4267.5,19502,4215,0.0114,0.0001,11,71.4595,0.1166,50.7,1190,0.4046,0.0011,20000,9.101,4,2,397.875,6,15,8,23,0.559,0.0003,0.2805,0.0002,0.9947,0,0.0003,0.233,0,0.2338,0.007,2.712,0.3193,0.4807,5.2613,0.79,0.9865,0.1307,0.6433,0.0918,6,0.0464,0.0786
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,0.0467,25.0552,46.3281,12750,0.0467,0.0467,12750,47.2796,46.9429,45.2154,0.0521,25,24.8028,0.0418,2,47.2796,47.2796,0.6391,30,30,25,150,20,0.1543,0.003,4371,46.4415,1.4105,45.2154,14.056,0.4145,0.0117,150,4188.5,4057,4057,14.1247,4105,4371,4221,4371,0.1511,0.0042,0.7367,0.0467,1.6838,20,0.0117,0.0169,0.0117,0.0118,0.0701,4.2224,0.0677,0.0289,2,0.257,0.8716,0.2271,0.0002,0.0001,2,0.0001,0.0001
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,0.05,20.117,22.8507,2130,0.05,0.05,2130,24.3948,23.6806,22.7653,0.0615,20,20.0829,0.039,2,23.708,24.3948,0.5661,25,24,20,100,16,0.1671,0.0089,4325,23.4234,1.1841,22.7653,8.8106,0.4267,0.0465,100,4302.5714,4259,4259,7.8455,4261,4435,4278,4435,0.1688,0.0164,0.7254,0.05,1.5958,16,0.0459,0.0242,0.0441,0.0469,0.0821,3.4253,0.0808,0.0134,2.7374,0.2579,0.873,0.3113,0.0061,0.0018,3,0.001,0.0015
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,0.0002,3784,66,146021,0.0001,0.0001,147000,200,82.3333,40.3333,0.0002,3784,7454.75,0,5,105.8571,139,0.224,0,7465,7447.5,34143,7421,0.005,0,6,90.3884,0.1826,56.8571,2313.5,0.1115,0.0005,35000,4.4891,2,1,826.5,3,8,4,14,1.4142,0.0002,0.2486,0.0001,1.2218,0,0.0002,0.3691,0,0.2338,0.0037,2.7109,0.2742,0.5627,5.8837,0.8189,1.0527,0.0599,0.6867,0.0924,6,0.0471,0.0793
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1,0.05,20.2585,22.8297,2130,0.05,0.05,2130,25.7534,23.4317,22.8274,0.0601,20,20.2117,0.0371,2,24.0244,25.7534,0.5687,25,25,20,100,16,0.1688,0.0092,4350,23.6895,1.1978,22.8274,8.0772,0.4308,0.0465,100,4302.2857,4253,4253,7.2239,4256,4408,4276,4408,0.1668,0.015,0.7115,0.05,1.6119,16,0.0459,0.0402,0.0441,0.0469,0.0796,3.4143,0.0806,0.0126,2.7172,0.2615,0.8742,0.3428,0.0067,0.0019,3,0.0011,0.0016
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1,0.0002,8539,64,166897,0.0001,0.0001,168000,202,91.5,26.3333,0.0002,8539,8513.5,0,5,109.6667,140,0.2177,8539,8534,8515.5,39032,8474,0.004,0,6,91.8767,0.5718,53.2,1206,1.3145,0.0005,40000,4.3256,1,1,1612.5,3,7,4,12,0,0.0001,0.2587,0.0001,0.6536,8539,0.0002,0.375,0,0.2339,0.073,2.7136,0,0.5444,5.9444,0,0.8468,0.8052,0.755,0.0934,6,0.0475,0.0797
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S913491256-073-UNKNOWN.cnf,1,0.0002,6320,67.0769,125231,0.0001,0.0001,126000,233,83.6,42.875,0.0003,6320,6360.4,0,5,99.5,134,0.2194,6300,6396,6371,29270,6236,0.0125,0.0001,7,88.4753,0.2068,53.25,919,0.6466,0.0006,30000,5.2667,2,1,731.8,3,9,5,14,0.0045,0.0002,0.2641,0.0001,0.6447,6300,0.0002,0.3737,0,0.2337,0.0159,2.7133,0.0158,0.5354,5.7321,0.4222,0.8473,0.2422,0.9614,0.0928,6,0.0474,0.0792
SAT11/random/large/unif-k5-r20-v1500-c30000-S303265982-092-UNKNOWN.cnf,1,0.0033,285.966,60.7097,30000,0.0033,0.0033,30000,90.0833,66.0435,46.16,0.0043,287,287.608,0.0023,3,71.85,76.6875,0.4692,306,304,287,1500,271,0.049,0.0006,31,66.4209,0.2714,55.65,79.6537,0.3771,0.0146,1500,26.0924,18,15,61.4,20,36,24,48,0.0876,0.0011,0.5597,0.0033,0.979,269,0.0117,0.1277,0.0083,0.05,0.0207,3.6711,0.0596,0.2859,3,0.2651,0.8576,0.1403,0.0138,0.0027,3,0.0015,0.0023
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S31505198-038.UNKNOWN.cnf,1,0.0333,29.7083,30.8469,3195,0.0333,0.0333,3195,33.0958,31.5157,30.3354,0.0423,30,29.7067,0.0244,3,32.9055,33.0958,0.5418,35,35,30,150,24,0.141,0.0059,4273,31.7884,1.0053,30.3354,12.501,0.4343,0.0463,150,4163.2857,4078,4078,11.3072,4090,4320,4124,4320,0.1414,0.0097,0.704,0.0333,1.4788,24,0.044,0.0305,0.041,0.0469,0.0674,3.5051,0.0668,0.0212,3,0.2442,0.8665,0.2638,0.0084,0.0017,3,0.0009,0.0015
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S375894551-007.UNKNOWN.cnf,1,0.0333,29.6066,31.6269,3195,0.0333,0.0333,3195,33.7334,31.972,30.955,0.0423,29,29.4587,0.0241,3,33.1368,33.7334,0.5405,35,35,29,150,24,0.1418,0.0066,4312,32.2049,1.0089,30.955,12.9832,0.4261,0.0463,150,4176.5714,4038,4038,11.9093,4061,4363,4182,4363,0.1416,0.0103,0.6902,0.0333,1.4716,24,0.0441,0.0271,0.041,0.0469,0.0661,3.4139,0.0687,0.0276,3,0.2434,0.8663,0.2415,0.007,0.0016,3,0.001,0.0014
SAT11/random/medium/unif-k7-r89-v80-c7120-S1623694027-006.SATISFIABLE.cnf,1,0.0875,13.7394,28.4267,7120,0.0875,0.0875,7120,29.1253,28.5106,27.9901,0.0958,14,13.8743,0.0801,2,28.5159,29.1253,0.6697,17,17,14,80,11,0.199,0.006,4452,28.5137,1.7419,27.9901,9.4743,0.4213,0.0111,80,4408.6,4327,4327,9.2549,4357,4549,4358,4549,0.2003,0.0084,0.7574,0.0875,1.9693,10,0.0111,0.0127,0.0111,0.0112,0.0943,3.7462,0.0931,0.0186,2,0.2977,0.8781,0.2535,0.0001,0.0001,2,0.0001,0.0001
SAT11/random/medium/unif-k7-r89-v80-c7120-S1901567697-013.UNKNOWN.cnf,1,0.0875,13.7505,28.2044,7120,0.0875,0.0875,7120,29.1588,28.3577,27.8808,0.0973,14,13.788,0.0801,2,28.4983,29.1588,0.6707,17,17,14,80,10,0.199,0.0054,4504,28.42,1.758,27.8808,9.8159,0.4224,0.0111,80,4418,4315,4315,9.6484,4344,4514,4413,4514,0.2,0.0073,0.7522,0.0875,1.971,10,0.0111,0.0149,0.0111,0.0112,0.0934,3.9096,0.0948,0.0183,2,0.3024,0.8786,0.2486,0.0001,0.0001,2,0,0.0001
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S895193371-061.UNKNOWN.cnf,1,0.0129,86.5656,23.1441,1693,0.0078,0.0078,1704,23.8866,23.4128,22.463,0.0183,86,86.3066,0.003,4,23.8661,23.8866,0.3267,95,95,86,389,78,0.0802,0.0039,3966,23.4231,0.3739,22.463,14.7744,0.383,0.0366,400,3928.5714,3834,3834,12.1894,3892,4022,3922,4022,0.0804,0.0083,0.6303,0.0077,0.9499,78,0.0154,0.02,0.0059,0.2298,0.0396,2.7381,0.0405,0.0142,4,0.2068,0.8525,0.2723,0.3605,0.0851,4,0.042,0.074
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S874954918-011.SATISFIABLE.cnf,1,0.0112,118.939,29.3663,2331,0.0056,0.0056,2343,38.1678,30.0989,27.8871,0.0107,119,119.308,0.0021,4,32.9217,38.1678,0.3191,129,130,119,537,109,0.067,0.0028,3910,31.2851,0.3221,27.8871,18.4348,0.3584,0.021,550,3823.7143,3726,3726,14.8334,3776,3984,3791,3984,0.0706,0.0064,0.5563,0.0056,0.9208,109,0.0112,0.1002,0.0043,0.2304,0.0324,2.6706,0.0511,0.0218,4,0.2117,0.8551,0.2438,0.3785,0.0887,4,0.0444,0.0745
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf,1,0.0021,527.222,32.2734,10427,0.0013,0.0013,10500,43.51,34.3874,29.3115,0.0035,528,529.8,0.0004,4,35.9032,36.9828,0.2639,547,551,529,2433,512,0.0298,0.0006,118,34.2843,0.1327,30.9029,78.3389,0.2952,0.0072,2500,116.8571,90,74,52.6684,97,140,107,322,0.0317,0.0017,0.4112,0.0012,0.6974,505,0.0025,0.0748,0.0008,0.2333,0.0159,2.7449,0.0177,0.3352,4.9231,0.211,0.8469,0.1615,0.4806,0.0915,5,0.0464,0.0784
SAT11/random/medium/unif-k7-r89-v90-c8010-S2014736708-037.SATISFIABLE.cnf,1,0.0778,15.3491,31.0778,8010,0.0778,0.0778,8010,32.2223,31.0874,30.556,0.0876,15,15.3607,0.0702,2,31.3013,32.2223,0.6631,19,19,15,90,12,0.1847,0.0044,4454,31.249,1.7221,30.556,10.591,0.4155,0.0111,90,4372.2,4278,4278,10.5066,4280,4556,4293,4556,0.1856,0.006,0.7522,0.0778,1.9262,12,0.0111,0.0174,0.0111,0.0112,0.0883,3.9296,0.0874,0.0259,2,0.2904,0.8762,0.2406,0.0002,0.0001,2,0.0001,0.0001
SAT11/random/medium/unif-k7-r89-v80-c7120-S199880667-010.UNKNOWN.cnf,1,0.0875,13.6807,28.2257,7120,0.0875,0.0875,7120,29.106,28.4435,28.0041,0.0934,14,13.7092,0.0824,2,28.7396,29.106,0.6703,17,17,14,80,10,0.1986,0.0051,4462,28.5038,1.7549,28.0041,9.9186,0.4115,0.0111,80,4411.8,4302,4302,9.7029,4357,4530,4408,4530,0.1969,0.0076,0.7508,0.0875,1.9632,10,0.0111,0.0136,0.0111,0.0112,0.0937,3.6726,0.0937,0.018,2,0.3064,0.8772,0.244,0.0001,0.0001,2,0,0.0001
SAT11/random/medium/unif-k7-r89-v60-c5340-S239039906-021.SATISFIABLE.cnf,1,0.1167,10.4885,22.5787,5340,0.1167,0.1167,5340,23.0636,22.5915,22.5249,0.1255,10,10.4649,0.1064,2,22.6422,23.0636,0.6906,13,13,10,60,8,0.2163,0.0074,4517,22.6802,1.8856,22.5249,7.8041,0.4246,0.011,60,4487.6,4436,4436,7.4326,4439,4588,4458,4588,0.2175,0.0101,0.7683,0.1167,2.0999,8,0.011,0.0086,0.011,0.0112,0.1067,3.7534,0.1055,0.0129,2,0.3226,0.8845,0.2786,0.0001,0.0001,2,0,0.0001
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S643238994-057-UNKNOWN.cnf,1,0.0002,6408.5,63.2857,125159,0.0001,0.0001,126000,261,77.125,42.5,0.0003,6408.5,6343,0,5,92.5,116.25,0.2233,6393,6355,6347,29224,6299,0.0041,0.0001,6,82.2434,0.1658,55.5,976,0.2624,0.0006,30000,5.2165,3,2,669.8,3,9,5,15,0.0034,0.0002,0.2663,0.0001,0.6958,6393,0.0002,0.3411,0,0.2335,0.0074,2.7182,0.0151,0.4777,5.7931,0.4488,0.8529,0.105,0.84,0.0921,6,0.0473,0.0784
