@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC

@DATA
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S72635791-098-UNKNOWN.cnf,1,0.0835,0.0988,0.2274,0,0,41.808,50.378,0,0.8303,3,52.804,0.8427,0.4784,34,27,0.0124,0.6891,99,0.05,0.2,0.6504,56.25,0,0.0015,0.1615,46,42,56.363,44.383,1000,0.0009,45.112
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,1.3286,1.2324,2.4745,0.1283,0.0848,11.352,15.005,0.3857,2.5306,4.8618,16.138,0.912,0.238,1940,691,0.0001,0.1873,2543,0.1631,0,0.8811,17.448,2.039,0.4719,0.7356,2169,2052,17.738,1999.7,2307,0.0003,48.746
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1406921020-013.UNKNOWN.cnf,1,0.2746,0.2773,0.3849,0.0026,0,23.566,23.566,0.0454,0.6283,4.0113,25.633,0.8435,0.324,3851,3851,0.0021,0.6048,4064,0.2327,0,0.579,26.184,0.0593,0.0406,0.3836,4029,3921,25.89,3940.4,445,0.0035,15.525
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,1.3887,1.1824,2.3,0.1389,0.0809,12.154,14.23,0.3826,2.5489,4.8809,15.014,0.9128,0.2508,1647,1018,0.0001,0.1899,2254,0.1663,0,0.8766,16.358,2.0383,0.4733,0.7348,1988,1820,16.536,1817.4,2339,0.0003,47.622
SAT_Competition2011/SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.2918,0.2523,0.4208,0.1154,0.951,25.611,25.611,0.5835,0.897,4.8037,25.611,0.9999,0.4284,1380,1380,0.0002,0.1168,4769,0.0221,0,1.0016,27.461,0.2671,0.0003,0.9235,4769,4681,26.979,3610,1754,0.0008,32.171
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf,1,0.262,0,0.3466,0.0013,0.9495,234.68,234.68,2.1263,0.9599,3,234.68,1.0009,0.948,4886,4886,0.0038,0.0015,4886,0.05,0,1.0234,234.68,0.204,0.1041,0.9351,4886,4886,234.68,4886,1520,0.0009,8.6
SAT_Competition2007/random/OnTreshold/7SAT/v70/unif-k7-r89-v70-c6230-S1084572666-19.SAT.shuffled.cnf,1,0,0.0352,0.1599,0,0,25.496,25.496,0,0.9952,2,25.594,0.8743,0.6799,4379,4379,0.0111,0.6741,4541,0.0112,0.1429,0.678,25.723,0,0,0.0661,4533,4437,25.733,4455,70,0.0063,8.5442
SAT-Race-2010-CNF/hardware-verification/velev/12pipe_q0_k.cnf,1,2.4033,3.6777,2.8305,0.0299,0.9229,0,0,2.9494,0.6842,4,0,1.0386,0.1092,0,0,0,0.4528,0,0.0193,0,0.3239,0,0.4957,0,0.8019,0,0,0,0,78914,0,34752
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S762724712-048.cnf,1,0.2917,0.2884,0.3976,0.0076,0,33.923,38.516,0.0676,0.7245,5.0013,41.6,0.8283,0.247,24,18,0.0002,0.5914,64,0.2335,0,0.5878,45.514,0.1714,0.0478,0.39,40,32,45.373,33.751,5839,0.0003,99.448
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v500-c2130-S9113894-047.SATISFIABLE.cnf,1,0.2746,0.2784,0.4011,0.0076,0,26.772,26.772,0.0535,0.6875,4,27.747,0.8469,0.3266,3683,3683,0.0028,0.5943,3927,0.2313,0,0.5843,28.244,0.124,0.05,0.4027,3867,3818,28.874,3823.7,489,0.0032,12.169
