@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_var_bool NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_alldiff_count NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_lex_proportion NUMERIC
@ATTRIBUTE stats_literal_tightness_mean NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_0 NUMERIC
@ATTRIBUTE stats_unary_proportion NUMERIC
@ATTRIBUTE normalised_SAC_literals NUMERIC
@ATTRIBUTE width_of_ordering NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE stats_literal_tightness_100 NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE median_degree NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC
@ATTRIBUTE stats_literal_tightness_75 NUMERIC
@ATTRIBUTE stats_dom_mean NUMERIC
@ATTRIBUTE stats_literal_tightness_coeff_of_variation NUMERIC
@ATTRIBUTE stats_lex_count NUMERIC
@ATTRIBUTE stats_or_atleastk_proportion NUMERIC
@ATTRIBUTE stats_or_atleastk_count NUMERIC
@ATTRIBUTE maximum_degree NUMERIC
@ATTRIBUTE minimum_degree NUMERIC
@ATTRIBUTE stats_arity_100 NUMERIC
@ATTRIBUTE width_of_graph NUMERIC
@ATTRIBUTE stats_multi_shared_vars NUMERIC
@ATTRIBUTE stats_unary_count NUMERIC
@ATTRIBUTE stats_arity_25 NUMERIC
@ATTRIBUTE stats_table_proportion NUMERIC
@ATTRIBUTE stats_dom_not2_2_ratio NUMERIC
@ATTRIBUTE stats_arity_75 NUMERIC
@ATTRIBUTE stats_arity_50 NUMERIC

@DATA
1-insertions-5-5.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0,0.009901,0.009901,1227,0.060141,184,0,0,0,12.148515,184,0.039604,0,0.331683,0.049505,0.243809,0.032959,0.331683,184,5,184,184,12.148515,5,184,5,0.149959,0,20,17,0.024752,16,0,0,67,21,23,5,6.657663,10,5,23,5,0.148324,0,0,0,67,5,2,8,0,0,2,0,0,2,2
1-insertions-5-6.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0,0.009901,0.009901,1227,0.060141,169,0,0,0,12.148515,169,0.039604,0,0.331683,0.049505,0.243809,0.032959,0.331683,169,6,169,169,12.148515,6,169,6,0.137734,0,16.666667,14,0.024752,13,0,0,67,18,20,6,6.657663,10,6,19,6,0.153623,0,0,0,67,5,2,8,0,0,2,0,0,2,2
1-insertions-6-4.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,263,0,0,0,20.879736,263,0.023064,0,0.332784,0.029654,0.159787,0.024126,0.332784,263,4,263,263,20.879736,4,263,4,0.041502,0,25,26,0.009885,20,0,0,202,27,27,4,14.644509,18,4,27,4,0.116619,0,0,0,202,6,2,14,0,0,2,0,0,2,2
1-insertions-6-5.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,184,0,0,0,20.879736,184,0.023064,0,0.332784,0.029654,0.159787,0.024126,0.332784,184,5,184,184,20.879736,5,184,5,0.029036,0,20,17,0.009885,16,0,0,202,21,23,5,14.644509,18,5,23,5,0.148324,0,0,0,202,6,2,14,0,0,2,0,0,2,2
1-insertions-6-6.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,169,0,0,0,20.879736,169,0.023064,0,0.332784,0.029654,0.159787,0.024126,0.332784,169,6,169,169,20.879736,6,169,6,0.026669,0,16.666667,14,0.009885,13,0,0,202,18,20,6,14.644509,18,6,19,6,0.153623,0,0,0,202,6,2,14,0,0,2,0,0,2,2
1-insertions-6-7.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,154,0,0,0,20.879736,154,0.023064,0,0.332784,0.029654,0.159787,0.024126,0.332784,154,7,154,154,20.879736,7,154,7,0.024302,0,14.285714,13,0.009885,12,0,0,202,13,19,7,14.644509,18,7,16,7,0.15748,0,0,0,202,6,2,14,0,0,2,0,0,2,2
2-fullins-3-4.xml.watchless.minion.gz,1,0,0,0.151584,52,52,52,0,0.038462,0.038462,201,0.148669,263,0,0,0.063836,7.730769,263,0.096154,0,0.288462,0.134615,0.331856,0.058075,0.288462,263,4,263,263,7.730769,4,263,4,1.308458,0,25,26,0.076923,20,0,0,15,27,27,4,3.019904,7,4,27,4,0.116619,0,0,0,15,4,2,5,0,0,2,0,0,2,2
2-fullins-3-5.xml.watchless.minion.gz,1,0,0,0.151584,52,52,52,0,0.038462,0.038462,201,0.148669,184,0,0,0.063836,7.730769,184,0.096154,0,0.288462,0.134615,0.331856,0.058075,0.288462,184,5,184,184,7.730769,5,184,5,0.915423,0,20,17,0.076923,16,0,0,15,21,23,5,3.019904,7,5,23,5,0.148324,0,0,0,15,4,2,5,0,0,2,0,0,2,2
2-fullins-4-4.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0,0.009434,0.009434,1621,0.072134,263,0,0,0.021882,15.292453,263,0.04717,0,0.259434,0.061321,0.205428,0.038637,0.259434,263,4,263,263,15.292453,4,263,4,0.162246,0,25,26,0.028302,20,0,0,55,27,27,4,8.191075,13,4,27,4,0.116619,0,0,0,55,6,2,10,0,0,2,0,0,2,2
2-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0,0.009434,0.009434,1621,0.072134,184,0,0,0.021882,15.292453,184,0.04717,0,0.259434,0.061321,0.205428,0.038637,0.259434,184,5,184,184,15.292453,5,184,5,0.11351,0,20,17,0.028302,16,0,0,55,21,23,5,8.191075,13,5,23,5,0.148324,0,0,0,55,6,2,10,0,0,2,0,0,2,2
2-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0,0.009434,0.009434,1621,0.072134,169,0,0,0.021882,15.292453,169,0.04717,0,0.259434,0.061321,0.205428,0.038637,0.259434,169,6,169,169,15.292453,6,169,6,0.104257,0,16.666667,14,0.028302,13,0,0,55,18,20,6,8.191075,13,6,19,6,0.153623,0,0,0,55,6,2,10,0,0,2,0,0,2,2
2-fullins-5-4.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,263,0,0,0.007851,28.640845,263,0.021127,0,0.252347,0.029343,0.122158,0.023979,0.252347,263,4,263,263,28.640845,4,263,4,0.021556,0,25,26,0.00939,20,0,0,215,27,27,4,20.42989,25,4,27,4,0.116619,0,0,0,215,8,2,18,0,0,2,0,0,2,2
2-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,184,0,0,0.007851,28.640845,184,0.021127,0,0.252347,0.029343,0.122158,0.023979,0.252347,184,5,184,184,28.640845,5,184,5,0.015081,0,20,17,0.00939,16,0,0,215,21,23,5,20.42989,25,5,23,5,0.148324,0,0,0,215,8,2,18,0,0,2,0,0,2,2
2-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,169,0,0,0.007851,28.640845,169,0.021127,0,0.252347,0.029343,0.122158,0.023979,0.252347,169,6,169,169,28.640845,6,169,6,0.013851,0,16.666667,14,0.00939,13,0,0,215,18,20,6,20.42989,25,6,19,6,0.153623,0,0,0,215,8,2,18,0,0,2,0,0,2,2
2-fullins-5-7.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,154,0,0,0.007851,28.640845,154,0.021127,0,0.252347,0.029343,0.122158,0.023979,0.252347,154,7,154,154,28.640845,7,154,7,0.012622,0,14.285714,13,0.00939,12,0,0,215,13,19,7,20.42989,25,7,16,7,0.15748,0,0,0,215,8,2,18,0,0,2,0,0,2,2
2-insertions-3-3.xml.watchless.minion.gz,1,0,0,0.108108,37,37,37,0,0.054054,0.054054,72,0.105186,324,0,0,0,3.891892,324,0.081081,0,0.243243,0.108108,0.458347,0.025743,0.243243,324,3,324,324,3.891892,3,324,3,4.5,0,33.333333,32,0.081081,32,0,0,9,33,35,3,0.952487,4,3,35,3,0.037417,0,0,0,9,3,2,3,0,0,2,0,0,2,2
2-insertions-3-4.xml.watchless.minion.gz,1,0,0,0.108108,37,37,37,0,0.054054,0.054054,72,0.105186,263,0,0,0,3.891892,263,0.081081,0,0.243243,0.108108,0.458347,0.025743,0.243243,263,4,263,263,3.891892,4,263,4,3.652778,0,25,26,0.081081,20,0,0,9,27,27,4,0.952487,4,4,27,4,0.116619,0,0,0,9,3,2,3,0,0,2,0,0,2,2
2-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0,0.013423,0.013423,541,0.048737,324,0,0,0,7.261745,324,0.033557,0,0.248322,0.053691,0.340533,0.021708,0.248322,324,3,324,324,7.261745,3,324,3,0.598891,0,33.333333,32,0.026846,32,0,0,37,33,35,3,3.234454,8,3,35,3,0.037417,0,0,0,37,4,2,5,0,0,2,0,0,2,2
2-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0,0.013423,0.013423,541,0.048737,263,0,0,0,7.261745,263,0.033557,0,0.248322,0.053691,0.340533,0.021708,0.248322,263,4,263,263,7.261745,4,263,4,0.486137,0,25,26,0.026846,20,0,0,37,27,27,4,3.234454,8,4,27,4,0.116619,0,0,0,37,4,2,5,0,0,2,0,0,2,2
2-insertions-4-5.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0,0.013423,0.013423,541,0.048737,184,0,0,0,7.261745,184,0.033557,0,0.248322,0.053691,0.340533,0.021708,0.248322,184,5,184,184,7.261745,5,184,5,0.340111,0,20,17,0.026846,16,0,0,37,21,23,5,3.234454,8,5,23,5,0.148324,0,0,0,37,4,2,5,0,0,2,0,0,2,2
2-insertions-5-3.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,324,0,0,0,13.18593,324,0.015075,0,0.249581,0.020101,0.229052,0.014236,0.249581,324,3,324,324,13.18593,3,324,3,0.082317,0,33.333333,32,0.008375,32,0,0,149,33,35,3,8.498927,12,3,35,3,0.037417,0,0,0,149,5,2,9,0,0,2,0,0,2,2
2-insertions-5-4.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,263,0,0,0,13.18593,263,0.015075,0,0.249581,0.020101,0.229052,0.014236,0.249581,263,4,263,263,13.18593,4,263,4,0.066819,0,25,26,0.008375,20,0,0,149,27,27,4,8.498927,12,4,27,4,0.116619,0,0,0,149,5,2,9,0,0,2,0,0,2,2
2-insertions-5-5.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,184,0,0,0,13.18593,184,0.015075,0,0.249581,0.020101,0.229052,0.014236,0.249581,184,5,184,184,13.18593,5,184,5,0.046748,0,20,17,0.008375,16,0,0,149,21,23,5,8.498927,12,5,23,5,0.148324,0,0,0,149,5,2,9,0,0,2,0,0,2,2
2-insertions-5-6.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,169,0,0,0,13.18593,169,0.015075,0,0.249581,0.020101,0.229052,0.014236,0.249581,169,6,169,169,13.18593,6,169,6,0.042937,0,16.666667,14,0.008375,13,0,0,149,18,20,6,8.498927,12,6,19,6,0.153623,0,0,0,149,5,2,9,0,0,2,0,0,2,2
3-fullins-3-5.xml.watchless.minion.gz,1,0,0,0.109494,80,80,80,0,0.025,0.025,346,0.108125,184,0,0,0.051742,8.65,184,0.075,0,0.2375,0.0875,0.3083,0.049847,0.2375,184,5,184,184,8.65,5,184,5,0.531792,0,20,17,0.05,16,0,0,19,21,23,5,3.987794,7,5,23,5,0.148324,0,0,0,19,4,2,6,0,0,2,0,0,2,2
3-fullins-3-6.xml.watchless.minion.gz,1,0,0,0.109494,80,80,80,0,0.025,0.025,346,0.108125,169,0,0,0.051742,8.65,169,0.075,0,0.2375,0.0875,0.3083,0.049847,0.2375,169,6,169,169,8.65,6,169,6,0.488439,0,16.666667,14,0.05,13,0,0,19,18,20,6,3.987794,7,6,19,6,0.153623,0,0,0,19,4,2,6,0,0,2,0,0,2,2
3-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0,0.004938,0.004938,3524,0.042969,184,0,0,0.01485,17.402469,184,0.02716,0,0.207407,0.037037,0.185323,0.026781,0.207407,184,5,184,184,17.402469,5,184,5,0.052213,0,20,17,0.014815,16,0,0,84,21,23,5,10.846334,15,5,23,5,0.148324,0,0,0,84,6,2,11,0,0,2,0,0,2,2
3-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0,0.004938,0.004938,3524,0.042969,169,0,0,0.01485,17.402469,169,0.02716,0,0.207407,0.037037,0.185323,0.026781,0.207407,169,6,169,169,17.402469,6,169,6,0.047957,0,16.666667,14,0.014815,13,0,0,84,18,20,6,10.846334,15,6,19,6,0.153623,0,0,0,84,6,2,11,0,0,2,0,0,2,2
3-fullins-4-7.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0,0.004938,0.004938,3524,0.042969,154,0,0,0.01485,17.402469,154,0.02716,0,0.207407,0.037037,0.185323,0.026781,0.207407,154,7,154,154,17.402469,7,154,7,0.0437,0,14.285714,13,0.014815,12,0,0,84,13,19,7,10.846334,15,7,16,7,0.15748,0,0,0,84,6,2,11,0,0,2,0,0,2,2
3-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,184,0,0,0.004678,33.252217,184,0.010345,0,0.201478,0.014286,0.10708,0.013841,0.201478,184,5,184,184,33.252217,5,184,5,0.005452,0,20,17,0.003941,16,0,0,409,21,23,5,28.096271,29,5,23,5,0.148324,0,0,0,409,8,2,21,0,0,2,0,0,2,2
3-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,169,0,0,0.004678,33.252217,169,0.010345,0,0.201478,0.014286,0.10708,0.013841,0.201478,169,6,169,169,33.252217,6,169,6,0.005007,0,16.666667,14,0.003941,13,0,0,409,18,20,6,28.096271,29,6,19,6,0.153623,0,0,0,409,8,2,21,0,0,2,0,0,2,2
3-fullins-5-7.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,154,0,0,0.004678,33.252217,154,0.010345,0,0.201478,0.014286,0.10708,0.013841,0.201478,154,7,154,154,33.252217,7,154,7,0.004563,0,14.285714,13,0.003941,12,0,0,409,13,19,7,28.096271,29,7,16,7,0.15748,0,0,0,409,8,2,21,0,0,2,0,0,2,2
3-fullins-5-8.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,136,0,0,0.004678,33.252217,136,0.010345,0,0.201478,0.014286,0.10708,0.013841,0.201478,136,8,136,136,33.252217,8,136,8,0.00403,0,12.5,9,0.003941,6,0,0,409,13,20,8,28.096271,29,8,20,8,0.401995,0,0,0,409,8,2,21,0,0,2,0,0,2,2
3-insertions-3-3.xml.watchless.minion.gz,1,0,0,0.071429,56,56,56,0,0.035714,0.035714,110,0.070153,324,0,0,0,3.928571,324,0.053571,0,0.196429,0.071429,0.453656,0.01844,0.196429,324,3,324,324,3.928571,3,324,3,2.945455,0,33.333333,32,0.053571,32,0,0,11,33,35,3,1.032631,4,3,35,3,0.037417,0,0,0,11,3,2,3,0,0,2,0,0,2,2
3-insertions-3-4.xml.watchless.minion.gz,1,0,0,0.071429,56,56,56,0,0.035714,0.035714,110,0.070153,263,0,0,0,3.928571,263,0.053571,0,0.196429,0.071429,0.453656,0.01844,0.196429,263,4,263,263,3.928571,4,263,4,2.390909,0,25,26,0.053571,20,0,0,11,27,27,4,1.032631,4,4,27,4,0.116619,0,0,0,11,3,2,3,0,0,2,0,0,2,2
3-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.026589,281,281,281,0,0.007117,0.007117,1046,0.026494,324,0,0,0,7.44484,324,0.017794,0,0.199288,0.02847,0.334833,0.013027,0.199288,324,3,324,324,7.44484,3,324,3,0.309751,0,33.333333,32,0.014235,32,0,0,56,33,35,3,3.660599,8,3,35,3,0.037417,0,0,0,56,4,2,5,0,0,2,0,0,2,2
3-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.026589,281,281,281,0,0.007117,0.007117,1046,0.026494,263,0,0,0,7.44484,263,0.017794,0,0.199288,0.02847,0.334833,0.013027,0.199288,263,4,263,263,7.44484,4,263,4,0.251434,0,25,26,0.014235,20,0,0,56,27,27,4,3.660599,8,4,27,4,0.116619,0,0,0,56,4,2,5,0,0,2,0,0,2,2
3-insertions-4-5.xml.watchless.minion.gz,1,0,0,0.026589,281,281,281,0,0.007117,0.007117,1046,0.026494,184,0,0,0,7.44484,184,0.017794,0,0.199288,0.02847,0.334833,0.013027,0.199288,184,5,184,184,7.44484,5,184,5,0.175908,0,20,17,0.014235,16,0,0,56,21,23,5,3.660599,8,5,23,5,0.148324,0,0,0,56,4,2,5,0,0,2,0,0,2,2
3-insertions-5-3.xml.watchless.minion.gz,1,0,0,0.009816,1406,1406,1406,0,0.001422,0.001422,9695,0.009809,324,0,0,0,13.790896,324,0.006401,0,0.199858,0.01138,0.221368,0.007218,0.199858,324,3,324,324,13.790896,3,324,3,0.033419,0,33.333333,32,0.003556,32,0,0,281,33,35,3,10.148279,16,3,35,3,0.037417,0,0,0,281,5,2,9,0,0,2,0,0,2,2
3-insertions-5-4.xml.watchless.minion.gz,1,0,0,0.009816,1406,1406,1406,0,0.001422,0.001422,9695,0.009809,263,0,0,0,13.790896,263,0.006401,0,0.199858,0.01138,0.221368,0.007218,0.199858,263,4,263,263,13.790896,4,263,4,0.027127,0,25,26,0.003556,20,0,0,281,27,27,4,10.148279,16,4,27,4,0.116619,0,0,0,281,5,2,9,0,0,2,0,0,2,2
