@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE VG_min NUMERIC

@DATA
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.2745,0.5915,0.3694,0,0.6731,15.273,19.83,0.6771,0.9764,5.5011,22.691,0.9964,0.1688,339,332,0.0001
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.2907,0.5971,0.384,0,0.6285,15.845,16.682,0.627,1.0674,5.7241,19.338,0.9944,0.2032,457,403,0.0001
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0,0.1827,0,0.0175,26.922,37.558,0.303,0.6262,3,41.579,0.998,0.7251,2478,1435,0.0046
SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S2109328271-14.cnf,1,0.0751,0.0961,0.2261,0,0,43.682,46.66,0,0.8371,3,49.114,0.839,0.4855,45,38,0.0154
SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1426208256-08.cnf,1,0,0.0352,0.1691,0,0,42.762,42.762,0,1.0031,2,44.032,0.8682,0.6476,4142,4142,0.0117
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0.3167,0.6398,0.4768,0,0.6948,25.853,26.744,0.599,0.9573,5.7302,27.433,0.9904,0.373,319,295,0.0001
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1126657927-015.SATISFIABLE.cnf,1,0.0325,0.0977,0.2433,0,0,34.104,34.104,0,0.8412,3,34.657,0.8549,0.5327,4008,4008,0.0368
SAT_Competition2009/CRAFTED/parity-games/instance_n5_i5_pp.cnf,1,0.965,1.1086,1.2945,0.1306,0.1968,15.45,15.45,0.3012,1.6268,6.1038,15.45,0.9309,0.0855,1515,1515,0.0003
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0.0273,0,0.2996,0,0,26.756,26.756,0,0.5623,6.0457,27.128,0.8742,0.5694,4330,4330,0.0057
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.7991,4.7326,5.6617,0.6018,0.9903,0,0,5.8326,0.7405,22.889,0,1.7153,0.3416,0,0,0
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S72635791-098-UNKNOWN.cnf,1,0.0835,0.0988,0.2274,0,0,41.808,50.378,0,0.8303,3,52.804,0.8427,0.4784,34,27,0.0124
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,1.3286,1.2324,2.4745,0.1283,0.0848,11.352,15.005,0.3857,2.5306,4.8618,16.138,0.912,0.238,1940,691,0.0001
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1406921020-013.UNKNOWN.cnf,1,0.2746,0.2773,0.3849,0.0026,0,23.566,23.566,0.0454,0.6283,4.0113,25.633,0.8435,0.324,3851,3851,0.0021
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,1.3887,1.1824,2.3,0.1389,0.0809,12.154,14.23,0.3826,2.5489,4.8809,15.014,0.9128,0.2508,1647,1018,0.0001
SAT_Competition2011/SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.2918,0.2523,0.4208,0.1154,0.951,25.611,25.611,0.5835,0.897,4.8037,25.611,0.9999,0.4284,1380,1380,0.0002
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf,1,0.262,0,0.3466,0.0013,0.9495,234.68,234.68,2.1263,0.9599,3,234.68,1.0009,0.948,4886,4886,0.0038
SAT_Competition2007/random/OnTreshold/7SAT/v70/unif-k7-r89-v70-c6230-S1084572666-19.SAT.shuffled.cnf,1,0,0.0352,0.1599,0,0,25.496,25.496,0,0.9952,2,25.594,0.8743,0.6799,4379,4379,0.0111
SAT-Race-2010-CNF/hardware-verification/velev/12pipe_q0_k.cnf,1,2.4033,3.6777,2.8305,0.0299,0.9229,0,0,2.9494,0.6842,4,0,1.0386,0.1092,0,0,0
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S762724712-048.cnf,1,0.2917,0.2884,0.3976,0.0076,0,33.923,38.516,0.0676,0.7245,5.0013,41.6,0.8283,0.247,24,18,0.0002
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v500-c2130-S9113894-047.SATISFIABLE.cnf,1,0.2746,0.2784,0.4011,0.0076,0,26.772,26.772,0.0535,0.6875,4,27.747,0.8469,0.3266,3683,3683,0.0028
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1492329924-074.cnf,1,0.0153,0.102,0.2331,0,0,24.055,24.055,0,0.822,2.9266,24.916,0.8591,0.5598,4150,4150,0.0431
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_9_all.cnf,1,0.3677,0.4995,0.446,0,0.7132,24.108,24.108,0.51,0.9164,5.7608,28.799,0.9988,0.2737,418,418,0.0001
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray02_32.cnf,1,0.4531,0.1969,0.3157,0.3226,0.3412,8.7391,16.903,0.4226,1.3728,19.189,21.097,0.8278,0.237,554,542,0.0005
SAT_RACE2008/cmu-bmc-longmult15.cnf,1,0.9753,1.179,1.259,1.3653,0.1273,32.196,32.196,0.3347,0.9448,10.727,32.735,0.8457,0.1774,2796,2796,0.0006
SAT_RACE2008/schup-l2s-motst-2-k315.cnf,1,1.2043,1.2442,1.2849,1.5823,0.1924,0,0,1.1862,1.3062,8,0,0.9497,0.0828,0,0,0
SAT_Competition2011/SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.7561,0.8045,0.9456,0.6937,0.6633,0,0,1.0765,1.1292,8.5205,0,0.952,0.2507,0,0,0.0001
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/60/unif-k7-r89-v60-c5340-S1858385213-060.cnf,1,0,0.038,0.1361,0,0,22.455,22.455,0,1.0119,2,22.66,0.8757,0.693,4439,4439,0.011
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v40000-c168000-S845438593-067-UNKNOWN.cnf,1,0.2962,0.2922,0.4002,0.0071,0,33,58.8,0.0659,0.7206,5.907,67.5,0.9677,0.2142,1,1,0
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/2000/unif-k3-r4.2-v2000-c8400-S1442480583-017.cnf,1,0.2883,0.2879,0.3833,0.0044,0,28.208,29.731,0.0563,0.6923,4.7922,30.197,0.8316,0.2688,121,90,0.0007
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/460/unif-k3-r4.25-v460-c1955-S2035161427-020.cnf,1,0.2883,0.291,0.4144,0.0067,0,24.779,24.779,0.0671,0.7292,4,25.943,0.8436,0.3248,3758,3758,0.0051
SAT_Competition2009/CRAFTED/sgi/sgi-difficult7.cnf,1,0,0.1473,0.1713,0.0258,0.9792,0,0,2.1201,0.0552,2,0,0.9984,0.9839,0,0,0.0248
SAT_RACE2008/goldb-heqc-alu4mul.cnf,1,2.2483,3.6102,3.3286,0.0024,0.2303,18.329,18.49,0.3463,1.2715,8.2809,20.226,0.9866,0.1847,443,433,0.0002
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/diagnosis/UR-10-5p0.cnf,1,0.6419,0.7045,0.8682,0.6673,0.6039,20.435,20.435,0.4781,1.4502,17.213,24.6,1.1197,0.2258,7,7,0
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v250-c1065-S931339469-052.UNKNOWN.cnf,1,0.2769,0.2855,0.3872,0.0057,0,16.041,16.041,0.0642,0.706,3.9917,16.33,0.8445,0.352,3949,3949,0.0104
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s12930489-sat.cnf,1,0.0315,0,0.3372,0,0.8333,24.071,24.071,0.4472,1.1149,4,24.614,0.906,0.7135,4568,4568,0.0382
SAT_Competition2009/CRAFTED/edgematching/fbcolors/em_12_2_4_fbc.cnf,1,0.2362,2.1932,2.1078,0.0004,0.318,33.571,34.908,1.0661,1.2043,5.0423,37.25,2.2366,0.2809,19,14,0
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/480/unif-k3-r4.25-v480-c2040-S1002348653-090.cnf,1,0.2816,0.2862,0.3967,0.0034,0,24.212,24.212,0.0482,0.6594,4.0148,26.199,0.8435,0.3195,3775,3775,0.002
SAT_Competition2007/random/OnTreshold/3SAT/v600/unif-k3-r4.261-v600-c2556-S1104692480-03.SAT.shuffled.cnf,1,0.3057,0.3072,0.4039,0.0075,0,30.757,30.757,0.0799,0.761,4,31.185,0.8456,0.3125,3660,3660,0.0032
SAT_Competition2007/random/OnTreshold/5SAT/v80/unif-k5-r21.3-v80-c1704-S1317485140-08.UNSAT.shuffled.cnf,1,0.009,0.0861,0.1958,0,0,18.991,18.991,0,0.8537,2.3418,19.392,0.8621,0.581,4271,4271,0.0446
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g5.cnf,1,0.2101,0.2241,0.2128,0.0236,0.9299,40.101,40.101,1.3783,0.2608,3,41.002,0.9995,0.72,406,406,0.0026
SAT_Competition2009/CRAFTED/ramseycube/Q3inK10.cnf,1,0,0,0,0,0,0,0,0,0,2,0,0.9161,0.9977,0,0,0.0006
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.5111,0.5444,0.5373,0.6035,0.5856,0,0,0.4831,1.3793,15.778,0,0.9698,0.1165,0,0,0
SAT_Competition2011/SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0.0257,0.0121,0.1899,0,0,35.074,35.074,0.0467,1.043,3,35.492,0.8461,0.5539,3901,3901,0.0455
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_34.cnf,1,0.0747,0.0034,0.0035,0,0.3937,35.966,35.966,0.2919,0.6745,3,46.364,0.9998,0.7519,248,248,0.0007
SAT_Competition2009/CRAFTED/rbsat/crafted/unforced/rbsat-v1375c111739g6.cnf,1,0.1641,0.1472,0.1396,0.0125,0.9416,53,54.287,1.6356,0.2255,3,55.336,0.9998,0.8435,150,85,0.0019
SAT_RACE2006/SAT-Race_TS_2/hoons-vbmc-s04-07.cnf,1,1.5269,1.552,2.0137,1.54,0.1826,24.152,24.152,1.263,1.4572,4.8821,24.152,0.9706,0.1263,2680,2680,0.0002
SAT_RACE2008/ibm-2002-30r-k85.cnf,1,0.7488,0.9596,1.0149,0.3169,0.6204,9.9467,9.9467,0.7966,1.5838,82.682,9.9467,1.0829,0.0793,75,75,0
SAT_RACE2006/SAT-Race_TS_1/manol-pipe-c6n.cnf,1,1.1417,1.2354,1.3564,1.4322,0.133,11.095,11.282,0.4502,1.7799,6.6041,11.771,0.9034,0.0706,553,475,0.0001
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-09.cnf,1,2.354,3.3786,2.4764,0.0265,0.8296,0,0,2.8161,0.8933,4,0,1.0551,0.1462,0,0,0
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-240-2.shuffled-as.sat05-2519.cnf,1,0.1169,0.2691,0.2099,0,0,4.7791,23.493,0.1328,1.617,6.0178,28.896,0.9642,0.2112,1206,421,0.0025
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.0252,0,0.3902,0,0.8333,29.071,29.071,0.4472,1.108,4.1321,29.37,0.9033,0.6872,4527,4527,0.0286
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,0.4341,0.4002,0.4872,0.1584,0.2572,24.596,27.578,0.2568,1.353,5.6815,28.942,0.8367,0.2272,723,713,0.0001
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/400/unif-k3-r4.25-v400-c1700-S418266958-049.cnf,1,0.264,0.2696,0.3662,0.0035,0,22.287,22.287,0.0514,0.6687,4,23.714,0.8518,0.3362,3838,3838,0.0059
SAT-Race-2010-CNF/software-verification/nec/hard-12-U-7061.cnf,1,2.3827,2.717,1.7805,1.7476,0.4172,0,0,2.1383,1.5021,8,0,1.4546,0.16,0,0,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-24.cnf,1,1.8082,1.3478,1.994,0.3577,0.1576,14.258,14.258,0.2305,1.2531,9.1209,14.258,0.8578,0.0405,1017,1017,0
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.1199,0.3387,0.2092,0,0,17.346,17.346,0.1543,1.7119,6.0101,25.666,0.9633,0.2219,1082,1082,0.0028
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S906020180-093.cnf,1,0.2864,0.2832,0.3949,0.0068,0,31.057,35.127,0.0656,0.7138,5,37.172,0.8231,0.2578,42,30,0.0002
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,0.4568,0.586,0.5355,0.3875,0.0616,5.0588,5.5691,0.1777,1.0578,21.067,6.8719,0.8542,0.0293,224,192,0
SAT_Competition2011/SAT05/industrial/maris05/Rovers/rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0.4914,0.5241,0.4105,2.2089,0.816,0,0,0.8084,0.9256,4.1233,0,0.9902,0.424,0,0,0.003
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_fb_unknown.cnf,1,1.1167,1.5018,2.3847,0.0045,0.0691,0,0,0.1557,0.4487,5.934,0,0.9502,0.2271,0,0,0
SAT_Competition2009/RANDOM/MEDIUM/7SAT/UNKNOWN/60/unif-k7-r89-v60-c5340-S1772751287-054.cnf,1,0,0.0378,0.1373,0,0,22.461,22.461,0,1.007,2,22.526,0.8734,0.6899,4411,4411,0.011
